"code","id","decode","uuid:ID","codeSystemVersion","codeSystem"
"C25716","Code_28","Visit","48256eb7-6506-4eb3-9799-c8967347ebd1","2023-09-29","http://www.cdisc.org"
"C18002","Code_29","Home","225b50bb-ad72-4c94-95c5-b29b5c5a30e3","2023-09-29","http://www.cdisc.org"
"C171537","Code_30","Telephone Call","421daae6-255e-4c8d-a4ef-729ce4d54bb0","2023-09-29","http://www.cdisc.org"
"C20197","Code_72","Male","a9fdb3a5-6f53-4ec6-ae95-94a2613e68c0","2023-09-29","http://www.cdisc.org"
"C16576","Code_73","Female","5eb43f70-2aa2-4bcf-826a-6ab576b13f1e","2023-09-29","http://www.cdisc.org"
"C28421","Code_74","Sex","7a991da8-4007-4c24-8ba8-0068c50541fe","","NCI Thesaurus"
"C28421","Code_71","Sex","83856d84-6113-44c9-bddf-6a3a972fa911","","NCI Thesaurus"
"C17049","Code_76","Race","2111cb5c-0b1b-47ea-a438-976e475b3675","","NCI Thesaurus"
"C17049","Code_75","Race","7d06ae9b-13d1-43ef-b7ab-36e05291858a","","NCI Thesaurus"
"C173522","Code_78","Vital Signs Result","e346d12e-f838-4d43-a19a-793355dd4bfd","","NCI Thesaurus"
"C28252","Code_79","Kilogram","80e4202c-eb78-4af4-82cb-15eb0bb066d5","2023-09-29","http://www.cdisc.org"
"C48155","Code_80","Gram","2f7c5092-2271-4145-bc89-5f389ec0c099","2023-09-29","http://www.cdisc.org"
"C48531","Code_81","Pound","00b05a07-5964-4f05-a855-fb4a662084ec","2023-09-29","http://www.cdisc.org"
"C48208","Code_82","Unit of Weight","7d72ed27-bc6a-400b-bfb7-c835969bea3d","","NCI Thesaurus"
"C81328","Code_77","Body Weight","9db8f36e-65f3-4eaa-bc7d-48f35942f2c3","","NCI Thesaurus"
"C174267","Code_31","Active Comparator Arm","bd20c20e-72e5-4798-8361-b8b0e6bc32e7","2023-09-29","http://www.cdisc.org"
"C188866","Code_32","Data Generated Within Study","eca0d1de-2b54-454a-96ea-09ce4d492147","2023-09-29","http://www.cdisc.org"
"C174268","Code_33","Placebo Comparator Arm","f67c2e9e-5e17-4eaf-a740-af9818b44c14","2023-09-29","http://www.cdisc.org"
"C188866","Code_34","Data Generated Within Study","3a52c6a9-6b9c-43d6-994a-c821d3ec8727","2023-09-29","http://www.cdisc.org"
"C49659","Code_41","Open Label Study","74725213-a57d-4eaf-b256-f6bc5a035e59","2023-09-29","http://www.cdisc.org"
"C48262","Code_35","Trial Screening","98ef55f4-224d-4a2e-9424-3c8073eff0a0","2023-09-29","http://www.cdisc.org"
"C125938","Code_36","Baseline Epoch","8ece28ae-9835-49cc-8283-1e12c968b627","2023-09-29","http://www.cdisc.org"
"C101526","Code_37","Treatment Epoch","9f429062-4eec-4b36-93df-1b850bfb2c6e","2023-09-29","http://www.cdisc.org"
"C99158","Code_38","Clinical Study Follow-up","0e26dd93-8481-47cf-a9ed-675ce203e29c","2023-09-29","http://www.cdisc.org"
"12345","Code_83","Indication1","10cc6363-28d3-47c9-8c62-035a02f0f822","January 31, 2018","SNOMED"
"345678","Code_84","Indication2","f0a0c2bf-acdd-4977-a564-8ceb8d8088c7","January 31, 2018","SNOMED"
"role1","Code_90","role1","fcfd1ff3-ab0c-4264-b233-f965ac266935","None set","M11"
"C1909","Code_91","Pharmacologic Substance","6333777d-9347-464c-98c2-6bed2f3f5247","2023-09-29","http://www.cdisc.org"
"C25301","Code_94","Day","8dda4f0b-c6b6-44cf-898c-91c24beec2fc","2023-09-29","http://www.cdisc.org"
"A","Code_89","B","e199b293-2c5c-48fe-9fe2-e4f2bd9d5b11","12","SPONSOR"
"C25613","Code_85","Percentage","8dea65e8-e046-4916-9d8b-1ce7d1a5a73d","2023-09-29","http://www.cdisc.org"
"C28253","Code_87","Milligram","d1b47b8f-c890-4e63-b6ec-b5c2d8540309","2023-09-29","http://www.cdisc.org"
"C38197","Code_86","Dental Route of Administration","6c2baa0c-7359-45d8-99da-f8769406d7a6","2023-09-29","http://www.cdisc.org"
"C139179","Code_88","Ten Days Per Month","ae7fcaa1-d9fb-44bf-a1ce-0ce9d6322207","2023-09-29","http://www.cdisc.org"
"desig1","Code_93","desig_1","a94a7a50-5a6b-43c5-88dd-2c2bf741aad0","None set","M11"
"A","Code_92","B","f3b70664-ec37-47c3-9372-3d903388132c","None set","FDA"
"role2","Code_100","role2","4992d98b-f46b-4c8e-9fe3-29383b49c8da","None set","M11"
"C1909","Code_101","Pharmacologic Substance","30c3e95d-b776-4bd8-a27a-fc21effed066","2023-09-29","http://www.cdisc.org"
"C25301","Code_104","Day","64fcad6e-f04d-4eee-a85f-894e69d2f3a6","2023-09-29","http://www.cdisc.org"
"A","Code_99","B","076fdfb3-e4cb-4d42-bb53-5fec01d55ade","12","SPONSOR"
"C25613","Code_95","Percentage","aa4f045b-6dbf-4a29-a41a-f6c6d4ae0f13","2023-09-29","http://www.cdisc.org"
"C28253","Code_97","Milligram","af7cfbc9-4a41-4f19-85a1-cdabf5ac85f3","2023-09-29","http://www.cdisc.org"
"C38197","Code_96","Dental Route of Administration","62f71bc8-e6d6-4d20-9861-92a82b7411dc","2023-09-29","http://www.cdisc.org"
"C139179","Code_98","Ten Days Per Month","fd6c561a-d01b-4812-9cfa-8ade8c4868f3","2023-09-29","http://www.cdisc.org"
"desig2","Code_103","desig_2","aee964c3-eddf-4b50-823c-55dda4768a41","None set","M11"
"A","Code_102","B","52eebd84-4f1f-4e45-b45a-b069032bc11f","None set","FDA"
"C85826","Code_111","Trial Primary Objective","a0f4e9ba-e5d2-4dfd-8026-03202a1e23dc","2023-09-29","http://www.cdisc.org"
"C94496","Code_110","Primary Endpoint","123c4f4d-d5a0-44d9-98b6-998c4954209b","2023-09-29","http://www.cdisc.org"
"C85827","Code_113","Trial Secondary Objective","40d2c904-3e69-4ce2-b633-6eafa695f71c","2023-09-29","http://www.cdisc.org"
"C139173","Code_112","Secondary Endpoint","85c6207a-63f3-4160-8115-35b79b44d369","2023-09-29","http://www.cdisc.org"
"C139173","Code_114","Secondary Endpoint","1d7bf3dc-248c-4dc2-bea4-f0980aab533a","2023-09-29","http://www.cdisc.org"
"C139173","Code_115","Secondary Endpoint","42c46382-d6db-455d-b9d8-15783b0e228f","2023-09-29","http://www.cdisc.org"
"C139173","Code_116","Secondary Endpoint","643b1f56-60f2-4220-84f5-d5eaa03adc1b","2023-09-29","http://www.cdisc.org"
"C139173","Code_117","Secondary Endpoint","d036d153-312f-4b28-a688-6c55288631ac","2023-09-29","http://www.cdisc.org"
"C139173","Code_118","Secondary Endpoint","8325e1b7-193e-4432-a935-3414fd57e0b2","2023-09-29","http://www.cdisc.org"
"C139173","Code_119","Secondary Endpoint","aeec59b6-793b-46e0-ba1e-9a449dcc297d","2023-09-29","http://www.cdisc.org"
"C139173","Code_120","Secondary Endpoint","002601c0-9160-4353-bb53-8a49a65ce610","2023-09-29","http://www.cdisc.org"
"C139173","Code_121","Secondary Endpoint","b1e0078a-481a-4d1c-948d-7406e87314d6","2023-09-29","http://www.cdisc.org"
"C139173","Code_122","Secondary Endpoint","868dbf7a-8db8-432e-a974-58ab1ba7223f","2023-09-29","http://www.cdisc.org"
"C139173","Code_123","Secondary Endpoint","9501eaef-07a6-4507-bb83-e83ce9bb9efa","2023-09-29","http://www.cdisc.org"
"C201264","Code_48","Before","c69cfa78-dc77-456e-8872-6b9cfa19d0d5","2023-09-29","http://www.cdisc.org"
"C201265","Code_50","Start to Start","63f7840f-2bbb-49e9-b99c-73986ea41192","2023-09-29","http://www.cdisc.org"
"C201264","Code_53","Before","33e86815-ad74-4eab-8442-da2039e74c81","2023-09-29","http://www.cdisc.org"
"C201265","Code_55","Start to Start","c5a27bfa-c829-4b19-ab6e-4b2a5ff6ec5a","2023-09-29","http://www.cdisc.org"
"C201264","Code_56","Fixed Reference","71fb2c4d-4478-4595-9b42-cec99799829f","2023-09-29","http://www.cdisc.org"
"C201265","Code_60","Start to Start","f1a12522-bfe6-4bf8-99ea-580a1c5fc2cb","2023-09-29","http://www.cdisc.org"
"C201264","Code_62","After","140f27f9-abe9-4546-ab1a-9c3aa41ad793","2023-09-29","http://www.cdisc.org"
"C201265","Code_65","Start to Start","eb5631e1-984f-424b-82af-0270bef10bb1","2023-09-29","http://www.cdisc.org"
"C201264","Code_67","After","7af39a39-0e69-41c8-b7bb-c30ff02a7913","2023-09-29","http://www.cdisc.org"
"C201265","Code_70","Start to Start","2b30ab70-b9ef-4b45-85ec-d3959d0b0682","2023-09-29","http://www.cdisc.org"
"C85255","Code_5","Draft","c08b1d1f-e065-4324-a762-e46194456b69","2023-09-29","http://www.cdisc.org"
"C99903x1","Code_8","Protocol Effective Date","e2d8eb06-4334-4a1d-96cc-e5bc72843b23","2023-09-29","http://www.cdisc.org"
"C68846","Code_9","Global","51eb9b26-c364-4978-b742-0f60f366897c","2023-09-29","http://www.cdisc.org"
