"label","instanceType","id","name","synonyms","reference","uuid:ID"
"Creatinine Concentration in Urine","BiomedicalConcept","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","d9219023-0d3f-4eab-954a-4398298d06c7"
"Potassium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","2babb759-d3ac-4fbe-ae2e-e84ac737df83"
"Sodium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","3727b94f-0345-49ac-ad7b-0d2a531e5667"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","cb97b2ff-1ce1-4225-b6ba-733324ca94d2"
"Adverse Event Prespecified","BiomedicalConcept","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","a47c3894-b949-40b6-94a0-6fb143627a64"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","e6f58e47-f961-4962-9eb0-6fa7989d03c5"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","7dd2198b-6211-4a14-a1f5-a9ce5c12a7ea"
"Temperature","BiomedicalConcept","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","5d77b604-2d5b-4405-b15d-30fd55018651"
"Weight","BiomedicalConcept","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","e26ee65a-51a4-40ad-96ef-713a626991ea"
"Height","BiomedicalConcept","BiomedicalConcept_6","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","c3f8f51c-003c-4756-ac60-1b0ad29e5c63"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","5fe50693-dbd5-4e61-aded-0f0daaad2996"
"Albumin Presence in Urine","BiomedicalConcept","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","c4fa2083-3717-41a7-a0fa-aebcfd8536e1"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","450c8ea8-86a6-45f7-af8a-af8df8b69b70"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","aab3fe3d-5391-4b14-8bc4-8bcbbef767e7"
"Creatinine Concentration in Urine","BiomedicalConcept","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","a6e0b222-4115-4aed-bff2-aa0e64a90268"
"Potassium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","e6d7523b-687e-4838-a341-937590499cac"
"Sodium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","287b4e96-8a47-4437-935d-37b8ede37cdb"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","ec4f03ba-f67b-4a95-8e13-795ca0ada301"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","23888aa5-1b03-4020-ad7f-83b91897470c"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_16","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","a9680bd4-ce2d-4ddb-ac5e-bcbbaf5744b3"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","a8f41637-b8dd-4989-a6ec-3952cf738a60"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","66198ceb-1cbc-411b-9302-222e6792cf89"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_19","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","fb66bb0b-2ca8-4a7d-98a9-616d8c6e0c17"
