"id","sectionTitle","name","text","sectionNumber","uuid:ID"
"NarrativeContent_82","Participants Whose Partners Become Pregnant","SECTION 8.5.2","<div></div>","8.5.2","01195451-e76c-480e-a452-d597055659ae"
"NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","<div></div>","8.6","1ac1980d-2c16-4269-94fc-471e6c11d4bf"
"NarrativeContent_84","Definition of Medical Device Product Complaints","SECTION 8.6.1","<div></div>","8.6.1","312d6bb1-948a-48f4-b787-427db449a500"
"NarrativeContent_85","Recording of Medical Device Product Complaints","SECTION 8.6.2","<div></div>","8.6.2","562e756b-4c65-4772-aafc-2874755f3d73"
"NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","<div></div>","8.6.3","e85887e4-bbc3-4807-a138-7ccf2cd34513"
"NarrativeContent_87","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","<div></div>","8.6.4","d370750e-1473-45a9-870e-fb1e0aad6a2d"
"NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","<div></div>","8.6.5","7a82ac66-9a7b-4bab-99c8-689b65d8a053"
"NarrativeContent_89","Pharmacokinetics","SECTION 8.7","<div></div>","8.7","d3d621d0-fdaa-4be6-9408-5f46053d73e1"
"NarrativeContent_90","Genetics","SECTION 8.8","<div></div>","8.8","ba14ddef-0a9b-4eeb-bb45-6c4f9fc0c26c"
"NarrativeContent_91","Biomarkers","SECTION 8.9","<div></div>","8.9","aae3cb80-bdbd-4e69-86cc-51e16263f135"
"NarrativeContent_92","Immunogenicity Assessments","SECTION 8.1","<div></div>","8.1","b217003f-dc9f-43ab-91f7-61e7d72f2b09"
"NarrativeContent_93","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","<div></div>","8.1.1","864ee056-4a96-41ad-800f-52f0f86cb4c7"
"NarrativeContent_94","STATISTICAL CONSIDERATIONS","SECTION 9","<div></div>","9","66cd0510-2794-48d0-b03e-c240f6efc2f9"
"NarrativeContent_95","Analysis Sets","SECTION 9.1","<div></div>","9.1","88abffec-1e34-4984-9db7-cab448fffad1"
"NarrativeContent_96","Analyses Supporting Primary Objective(s)","SECTION 9.2","<div></div>","9.2","7c704f3c-5143-42e0-bfff-53dd35b13cdd"
"NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","<div></div>","9.2.1","ffaa409b-74c5-4691-b813-6e01d15b844f"
"NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","<div></div>","9.2.2","11acc5c8-9f3f-4d50-baf5-18cc0edf9648"
"NarrativeContent_99","Handling of Missing Data","SECTION 9.2.3","<div></div>","9.2.3","01ddb80e-eaa2-4f6f-90e4-f8dde47cc394"
"NarrativeContent_100","Sensitivity Analysis","SECTION 9.2.4","<div></div>","9.2.4","cf4f37bd-befa-4e73-966a-086047f7da85"
"NarrativeContent_101","Supplementary Analysis","SECTION 9.2.5","<div></div>","9.2.5","0d412908-c770-4171-ab8b-bda38f73a309"
"NarrativeContent_102","Analysis Supporting Secondary Objective(s)","SECTION 9.3","<div></div>","9.3","47688475-ecba-42d2-a687-8430f0435232"
"NarrativeContent_103","Analysis of Exploratory Objective(s)","SECTION 9.4","<div></div>","9.4","bee3c5a0-f417-43c5-adb0-1f51039373d0"
"NarrativeContent_104","Safety Analyses","SECTION 9.5","<div></div>","9.5","7370e333-eeee-44c4-b88a-89919400a0ad"
"NarrativeContent_105","Other Analyses","SECTION 9.6","<div></div>","9.6","f658fa3b-6bd5-4ae1-9e77-a7815b148559"
"NarrativeContent_106","Interim Analyses","SECTION 9.7","<div></div>","9.7","fc649d20-6792-4222-9970-f277754d4e5c"
"NarrativeContent_107","Sample Size Determination","SECTION 9.8","<div></div>","9.8","6b26908b-95e3-41a6-8541-9c9d820be550"
"NarrativeContent_108","Protocol Deviations","SECTION 9.9","<div></div>","9.9","a048e248-4e2a-4cc6-8ede-a24d1307565b"
"NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","<div></div>","10","1ef950c1-fa45-4e46-8be0-c79b772bcab6"
"NarrativeContent_110","Regulatory and Ethical Considerations","SECTION 10.1","<div></div>","10.1","7b6d498c-4ae1-4942-aa8a-d462ee88620e"
"NarrativeContent_111","Committees","SECTION 10.2","<div></div>","10.2","6b412737-5cab-481b-a281-12e9e307d808"
"NarrativeContent_112","Informed Consent Process","SECTION 10.3","<div></div>","10.3","cdb954c3-9ad4-4b43-983e-e9e95dedddb6"
"NarrativeContent_113","Data Protection","SECTION 10.4","<div></div>","10.4","f3c30a8d-5f2d-4a68-8f24-d1c1ead6de47"
"NarrativeContent_114","Early Site Closure or Trial Termination","SECTION 10.5","<div></div>","10.5","f1d0adda-ade4-4c27-9229-120e38bf1387"
"NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","<div></div>","11","952b1deb-0c6e-4351-9ff5-e9d255b9d153"
"NarrativeContent_116","Quality Tolerance Limits","SECTION 11.1","<div></div>","11.1","e46e3338-4743-44b8-9faa-754d84cb2b95"
"NarrativeContent_117","Data Quality Assurance","SECTION 11.2","<div></div>","11.2","1a180094-f192-4fa9-a001-e554ce4f99e1"
"NarrativeContent_118","Source Data","SECTION 11.3","<div></div>","11.3","401dfb31-dcdd-48d9-be1a-32f5431882b2"
"NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","<div></div>","12","9bbb4aa4-cd33-4bf3-95bd-63f177ae2a6b"
"NarrativeContent_120","Further Details and Clarifications on the AE Definition","SECTION 12.1","<div></div>","12.1","54c06656-14e8-4726-bbe7-231538d38fad"
"NarrativeContent_121","Further Details and Clarifications on the SAE Definition","SECTION 12.2","<div></div>","12.2","2c261a97-b499-4ad9-aa24-16a788970b90"
"NarrativeContent_122","Severity","SECTION 12.3","<div></div>","12.3","de85980b-a48a-476d-9ead-0e62fdf78b9a"
"NarrativeContent_123","Causality","SECTION 12.4","<div></div>","12.4","9ec36d9d-5d7c-4723-af17-0e1d9450fd30"
"NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","<div></div>","13","a1f5b885-10ff-4dc6-9202-063d4a07225f"
"NarrativeContent_125","Contraception and Pregnancy Testing","SECTION 13.1","<div></div>","13.1","350f56e1-3e19-467e-88a0-b2d4052edc3f"
"NarrativeContent_126","Definitions Related to Childbearing Potential","SECTION 13.1.1","<div></div>","13.1.1","440827da-d646-4fad-ad7c-9730ecd9a26e"
"NarrativeContent_127","Contraception","SECTION 13.1.2","<div></div>","13.1.2","e8fde97a-050d-46b1-a00d-ef52c398b657"
"NarrativeContent_128","Pregnancy Testing","SECTION 13.1.3","<div></div>","13.1.3","a81fd835-0b4c-4c0a-abee-810aaf9e626b"
"NarrativeContent_129","Clinical Laboratory Tests","SECTION 13.2","<div></div>","13.2","89d78473-5cdf-45dc-ba3c-d76e842c60b4"
"NarrativeContent_130","Country/Region-Specific Differences","SECTION 13.3","<div></div>","13.3","2ecf1d6d-bc63-43dc-8f45-e438fe96d46b"
"NarrativeContent_131","Prior Protocol Amendments","SECTION 13.4","<div></div>","13.4","49b36f7a-0b74-4405-8d28-d8e75c2ee9ff"
"NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","SECTION 14","<div></div>","14","6d6b26b1-944f-48c5-964d-b6848467020b"
"NarrativeContent_133","APPENDIX: REFERENCES","SECTION 15","<div></div>","15","45360bcc-3e8f-4bb3-85dc-26f813af3a33"
