"label","id","reference","name","synonyms","instanceType","uuid:ID"
"Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","dd4b839a-a32f-4c7c-b280-8f1503189bf2"
"Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","d1be7347-e4c3-4bd2-8099-214d86523dd2"
"Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","b44c8c9d-601e-48bb-85df-c38205c42ca9"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","86fad9e9-2c33-40b9-81d1-55c160e07086"
"Adverse Event Prespecified","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","e616cde5-ce65-4b87-ad0e-dd3a052c3122"
"Systolic Blood Pressure","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","87bbc557-3ac3-4399-b544-49f3b6a4be9d"
"Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","f8e67f6a-a83c-4f61-8109-6df09af40848"
"Temperature","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept","c0b3dc46-3dda-4abc-91df-cf78cd973405"
"Weight","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']","BiomedicalConcept","467e320d-41ce-4a77-91c4-a118d9fa6864"
"Height","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']","BiomedicalConcept","7eb689df-317e-45c4-bb77-5e7bdb508200"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","a1da61cb-b822-4a75-9070-3450a4120c57"
"Albumin Presence in Urine","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept","13fd2153-2880-4af5-b835-79791f08935f"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","4480ddb2-8a74-4ede-a30f-ba9b4a03b4ed"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","7a5acbe2-8895-4034-8193-64147e55cf63"
"Creatinine Concentration in Urine","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","5d3d4e9d-cae9-40ff-ad47-736d05bcded1"
"Potassium Concentration in Urine","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","ca4386ba-07ab-4c29-8398-4fc477249f2f"
"Sodium Concentration in Urine","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","71a75da8-3547-46c1-89b1-805a39dd0325"
"Systolic Blood Pressure","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","7f494f71-4177-4b0a-a0a5-124a21334fdd"
"Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","4c18bd2a-11ca-4ce6-aebd-6ec3b364e282"
"Heart Rate","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","['Heart Rate']","BiomedicalConcept","5b214de9-4e92-47e9-b294-6e737a62c273"
"Systolic Blood Pressure","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","82d05c48-0f63-4e76-96ce-0c9d706164f5"
"Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","7886ea2b-f0a9-40ba-9368-b0cd870276f0"
"Heart Rate","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","['Heart Rate']","BiomedicalConcept","6aad0f64-b2d2-43dc-a698-f799dc07076d"
