"label","id","synonyms","instanceType","reference","uuid:ID","name"
"Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","87f3a7a5-b989-4a1b-a594-d1ab95a536aa","Diastolic Blood Pressure"
"Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","9658bf34-3194-4cf8-ab96-06e574437517","Temperature"
"Weight","BiomedicalConcept_5","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","4c0d41dc-98b8-44a2-aec6-61d06f83f688","Weight"
"Height","BiomedicalConcept_6","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","f3b00baf-2119-47f9-95e9-1b5f874c98b4","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","16797b04-f6fb-4bee-adbf-f3ad6487e548","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","a88bde51-e76d-4abd-8d87-bdbf318ff31c","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","e1309a4c-fb93-47ef-b346-93331e16f443","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","50853ea9-dd1c-4824-98b1-22617ca7dafa","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","e710f967-21d1-4b90-97da-960d3d93df36","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","714b0ed5-a5e0-450e-84dc-c02b81336319","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","513989d9-478b-481d-965c-755080277209","Sodium Concentration in Urine"
"Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","61f6965b-8a5d-482e-a34c-46e76123a077","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","2c16a36d-463d-45f1-a8e3-ef5db6b781f7","Diastolic Blood Pressure"
"Heart Rate","BiomedicalConcept_16","['Heart Rate']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","d5ad6142-8ebd-43c9-8872-935fab1da4d4","Heart Rate"
"Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","c409a6bd-16d6-43e0-ba86-12a34392772a","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","6b78cae8-f894-43eb-8cbc-e15fbf00c15b","Diastolic Blood Pressure"
"Heart Rate","BiomedicalConcept_19","['Heart Rate']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","c21afe64-61d1-4fb7-a9e7-13aa4bc70619","Heart Rate"
