"decode","id","codeSystemVersion","code","instanceType","uuid:ID","codeSystem"
"Clinic","Code_110","2023-12-15","C51282","Code","e41752ff-fda0-4d2f-bba3-9844db366071","http://www.cdisc.org"
"In Person","Code_111","2023-12-15","C175574","Code","85d38a7a-1d1d-4d50-96cd-a244183a3a79","http://www.cdisc.org"
"Telephone Call","Code_112","2023-12-15","C171537","Code","5dd0ec6f-50a9-43ef-87ae-1f5d6a88e641","http://www.cdisc.org"
"Visit","Code_113","2023-12-15","C25716","Code","b5aaeb6f-382f-452f-abf7-37243f5a0aaf","http://www.cdisc.org"
"Clinic","Code_114","2023-12-15","C51282","Code","5b8e535b-ee71-40a0-97fa-833676bbcf85","http://www.cdisc.org"
"In Person","Code_115","2023-12-15","C175574","Code","0c9c1e15-de46-48f6-a2f7-63b0e3b9e600","http://www.cdisc.org"
"Telephone Call","Code_116","2023-12-15","C171537","Code","f5e418f9-06ac-4b75-81f7-44bcd82e1673","http://www.cdisc.org"
"Visit","Code_117","2023-12-15","C25716","Code","8e17682a-ead3-4ab5-b9de-6be6f4c448a2","http://www.cdisc.org"
"Clinic","Code_118","2023-12-15","C51282","Code","02dad5e5-9783-490d-9bf0-4ad0a94f430b","http://www.cdisc.org"
"In Person","Code_119","2023-12-15","C175574","Code","4e86ca76-4967-4286-b743-61920d2dc47d","http://www.cdisc.org"
"Visit","Code_120","2023-12-15","C25716","Code","80b50420-39c5-497f-8805-254db61fa7a6","http://www.cdisc.org"
"Clinic","Code_121","2023-12-15","C51282","Code","32235d46-d2f2-46a3-bd43-975f3f7bb55e","http://www.cdisc.org"
"In Person","Code_122","2023-12-15","C175574","Code","e5bc54b5-abef-4455-b7ff-75897d0af3dc","http://www.cdisc.org"
"CT of head without contrast","Code_80","January 31, 2018","383371000119108","Code","5237902a-2970-41de-82f8-8f9b0d9fe72b","SNOMED"
"Subject Supine","Code_81","12","123","Code","176b55b8-99fc-4934-b01d-76a7966947e9","SPONSOR"
"Subject Standing","Code_82","12","124","Code","ea2d495b-521f-45b8-836a-93ef255841c7","SPONSOR"
"Male","Code_429","2023-12-15","C20197","Code","822b9174-759f-47f1-9c74-506ccab36421","http://www.cdisc.org"
"Female","Code_430","2023-12-15","C16576","Code","29673f47-40b3-4da4-883d-970551142dd7","http://www.cdisc.org"
"Sex","Code_431","2023-12-15","C28421","Code","4465c14b-487a-45ba-9a28-899fbf4c8288","http://www.cdisc.org"
"Sex","Code_432","2023-12-15","C28421","Code","863fc30c-67d8-4a48-9af5-cea3ac000459","http://www.cdisc.org"
"Race","Code_433","2023-12-15","C17049","Code","858c9c15-fb78-4cc6-8f4d-664ce3c3dfa6","http://www.cdisc.org"
"Race","Code_434","2023-12-15","C17049","Code","bfaf7311-3f95-48f4-ba72-dc176a7e5a23","http://www.cdisc.org"
"TEMP","Code_435","2023-12-15","C174446","Code","51f2b280-c8f1-4454-88a9-2da3523e0256","http://www.cdisc.org"
"Clinical Test Result","Code_436","2023-12-15","C77140","Code","61dba552-3baa-4ab0-b85a-64c81b42adc2","http://www.cdisc.org"
"Degree Celsius","Code_437","2023-12-15","C42559","Code","d3f93081-421d-420e-9434-a1c3314da279","http://www.cdisc.org"
"Degree Fahrenheit","Code_438","2023-12-15","C44277","Code","0fd47d7e-11c0-4cec-8e6e-b396a1d3368a","http://www.cdisc.org"
"Kelvin","Code_439","2023-12-15","C42537","Code","4ba0f8b0-ae72-466c-8a6e-001976e666bf","http://www.cdisc.org"
"Unit of Temperature","Code_440","2023-12-15","C44276","Code","e7725459-7401-492b-baba-860fafdafb93","http://www.cdisc.org"
"Axilla","Code_441","2023-12-15","C12674","Code","9eb24ee7-ef55-49d4-802f-534bfe8416fe","http://www.cdisc.org"
"Ear","Code_442","2023-12-15","C12394","Code","377274e1-4484-4175-9554-e638cc7eed48","http://www.cdisc.org"
"Forehead","Code_443","2023-12-15","C89803","Code","6fec5f9c-091f-4db2-9278-c86ffa5564c1","http://www.cdisc.org"
"Oral Cavity","Code_444","2023-12-15","C12421","Code","7b0053bb-a0c7-4457-a7fd-62841b15fa16","http://www.cdisc.org"
"Rectum","Code_445","2023-12-15","C12390","Code","05fbc289-354f-47bf-bbfa-6f6d580d9267","http://www.cdisc.org"
"Anatomic Site","Code_446","2023-12-15","C13717","Code","d51c020e-9a30-4249-a62a-e8d192b5c314","http://www.cdisc.org"
"TEMP","Code_447","2023-12-15","C174446","Code","36c5939a-4f8c-48b0-8b2d-c0026e3d9287","http://www.cdisc.org"
"WEIGHT","Code_448","2023-12-15","C25208","Code","6d05d50f-ef48-47a1-ad78-4eebe67d3deb","http://www.cdisc.org"
"Clinical Test Result","Code_449","2023-12-15","C77140","Code","f028cd56-bd8f-418e-928c-04a52c47822d","http://www.cdisc.org"
"Pound","Code_450","2023-12-15","C48531","Code","d01c6b60-126b-47d1-b1b8-a3ed78595c39","http://www.cdisc.org"
"Gram","Code_451","2023-12-15","C48155","Code","4643d3f7-06c2-4b7f-8816-f286a6586913","http://www.cdisc.org"
"Kilogram","Code_452","2023-12-15","C28252","Code","75e16330-37f0-4e97-a8c3-0e5b4410a6a6","http://www.cdisc.org"
"Unit of Weight","Code_453","2023-12-15","C48208","Code","b131463c-edab-47fb-b125-9ce0ed6c653c","http://www.cdisc.org"
"WEIGHT","Code_454","2023-12-15","C25208","Code","e26f5c57-ba52-43d8-999a-61a852915914","http://www.cdisc.org"
"HEIGHT","Code_455","2023-12-15","C25347","Code","094c63e3-5219-45b7-aacf-e667f695a41f","http://www.cdisc.org"
"Clinical Test Result","Code_456","2023-12-15","C77140","Code","6548da2e-c01b-49f6-8b97-c3c684e5108f","http://www.cdisc.org"
"Centimeter","Code_457","2023-12-15","C49668","Code","6d09a2cb-49c7-4fcf-ae73-3252443374e0","http://www.cdisc.org"
"Inch","Code_458","2023-12-15","C48500","Code","077c879c-f2b0-4db9-9d1c-adaaaf88a93b","http://www.cdisc.org"
"Meter","Code_459","2023-12-15","C41139","Code","4aab3eb4-f77f-4753-a4f8-bc1e0f1bb645","http://www.cdisc.org"
"Unit of Height","Code_460","2023-12-15","C168688","Code","e693eb07-b1fb-433d-98da-429ab584bd38","http://www.cdisc.org"
"HEIGHT","Code_461","2023-12-15","C25347","Code","4b57f5ba-ea9b-4d78-8872-14bd3a5fc679","http://www.cdisc.org"
"ALT","Code_462","2023-12-15","C64433","Code","db4a33dd-57fb-49bb-a080-60a329170875","http://www.cdisc.org"
"Laboratory Test Result","Code_463","2023-12-15","C36292","Code","b74a2346-aabb-44de-8524-00b8499506ff","http://www.cdisc.org"
"Unit per Liter","Code_464","2023-12-15","C67456","Code","2df62b96-e91a-4033-9d44-fa1ddaf30ed2","http://www.cdisc.org"
"Microkatal per Liter","Code_465","2023-12-15","C67397","Code","8d4f3802-272d-433a-af13-3fe158c357f6","http://www.cdisc.org"
"International Unit per Liter","Code_466","2023-12-15","C67376","Code","87869bf8-15f1-4953-9a79-927284f514fb","http://www.cdisc.org"
"Nanokatal per Liter","Code_467","2023-12-15","C70510","Code","97cdf22e-ab1b-461e-a0f4-6eda41fc8b4e","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","Code_468","2023-12-15","C67365","Code","8e64112c-1dbd-45e5-b221-4960354afaf1","http://www.cdisc.org"
"Biospecimen Type","Code_469","2023-12-15","C70713","Code","bdc58f21-7b58-4cef-8400-bb719ac86dbd","http://www.cdisc.org"
"No","Code_470","2023-12-15","C49487","Code","5edd14a8-718d-426e-a6e1-93fa5b891ab9","http://www.cdisc.org"
"Yes","Code_471","2023-12-15","C49488","Code","bae6862c-67f6-4617-8afb-e98b71888a3c","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_472","2023-12-15","C83309","Code","bd7a6ee8-60a6-453d-8da7-cbd428a56a4c","http://www.cdisc.org"
"ALT","Code_473","2023-12-15","C64433","Code","856b4d38-d6b9-40b4-b6b7-ee71198b6e95","http://www.cdisc.org"
"ALB","Code_474","2023-12-15","C64431","Code","80e81442-91de-4aae-b010-1f09fee96934","http://www.cdisc.org"
"Laboratory Test Result","Code_475","2023-12-15","C36292","Code","ff5557ff-b31b-4127-869a-2838e27fbfa8","http://www.cdisc.org"
"Biospecimen Type","Code_476","2023-12-15","C70713","Code","7d761398-f9f0-470f-b6b7-65d192b4c3fd","http://www.cdisc.org"
"No","Code_477","2023-12-15","C49487","Code","820d6777-0bae-42d9-815b-49c6864357d2","http://www.cdisc.org"
"Yes","Code_478","2023-12-15","C49488","Code","03a0e2b6-e4dd-425b-9046-3e41ff6ca06e","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_479","2023-12-15","C83309","Code","69e18137-e425-40a1-9bb6-87a267b7a528","http://www.cdisc.org"
"ALB","Code_480","2023-12-15","C64431","Code","cb106348-381b-4e14-aa83-85dc5183ad31","http://www.cdisc.org"
"ALP","Code_481","2023-12-15","C64432","Code","4247d471-71ba-423f-9086-526f012fcf5b","http://www.cdisc.org"
"Laboratory Test Result","Code_482","2023-12-15","C36292","Code","03801106-8538-45d2-abda-fccba6bace45","http://www.cdisc.org"
"Unit per Liter","Code_483","2023-12-15","C67456","Code","9d447460-6363-46df-9d18-599a0354fbaf","http://www.cdisc.org"
"Microkatal per Liter","Code_484","2023-12-15","C67397","Code","cd1d80ff-a79c-443d-b931-33e68b262a31","http://www.cdisc.org"
"International Unit per Liter","Code_485","2023-12-15","C67376","Code","24e54de6-c3f7-4885-9b38-29d83f0c3bb8","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","Code_486","2023-12-15","C67365","Code","f790b300-e9f4-452b-a03f-595858fc0f95","http://www.cdisc.org"
"Biospecimen Type","Code_487","2023-12-15","C70713","Code","288f9bf5-ac97-4866-bd0a-0d3db0f7880b","http://www.cdisc.org"
"No","Code_488","2023-12-15","C49487","Code","3a10cc88-bb75-46d5-b6b2-f5b085b7e290","http://www.cdisc.org"
"Yes","Code_489","2023-12-15","C49488","Code","f84550af-53a3-456e-8587-b83ec9be43a0","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_490","2023-12-15","C83309","Code","b9c600e4-03b5-4891-b397-870e5de30c88","http://www.cdisc.org"
"ALP","Code_491","2023-12-15","C64432","Code","33420bb0-81be-420c-9b34-22bc4c8e934f","http://www.cdisc.org"
"AST","Code_492","2023-12-15","C64467","Code","c25a7be0-59fa-4afc-97f2-69c8877368b5","http://www.cdisc.org"
"Laboratory Test Result","Code_493","2023-12-15","C36292","Code","198d837e-5e8b-4de3-b17e-d8c089454210","http://www.cdisc.org"
"Unit per Liter","Code_494","2023-12-15","C67456","Code","a3f21c2a-94de-4713-8d1a-a0195e6c6a3b","http://www.cdisc.org"
"Microkatal per Liter","Code_495","2023-12-15","C67397","Code","235c5aa0-1009-437d-b05f-b78677a3ce37","http://www.cdisc.org"
"International Unit per Liter","Code_496","2023-12-15","C67376","Code","b3b86d90-7775-4a4e-bc36-8a45d6cd0615","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","Code_497","2023-12-15","C67365","Code","019d4250-27f2-468b-8517-f4f97c920d4e","http://www.cdisc.org"
"Biospecimen Type","Code_498","2023-12-15","C70713","Code","5c4c6928-1c6b-41f7-b598-fcad4e879921","http://www.cdisc.org"
"No","Code_499","2023-12-15","C49487","Code","3a1426b4-8212-493a-b237-c6031cddfbfc","http://www.cdisc.org"
"Yes","Code_500","2023-12-15","C49488","Code","0e0ff4c3-8b89-497a-91a6-8db69d426d0d","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_501","2023-12-15","C83309","Code","949cb072-6408-4f5f-b67c-b1075bd68662","http://www.cdisc.org"
"AST","Code_502","2023-12-15","C64467","Code","71711e2a-328f-41f0-8e15-54f93876b804","http://www.cdisc.org"
"CREAT","Code_503","2023-12-15","C64547","Code","425e26ad-dfdb-47c6-98cb-5ce3e22c72c1","http://www.cdisc.org"
"Laboratory Test Result","Code_504","2023-12-15","C36292","Code","bc8747de-b232-43ac-b243-97d98f7e97bb","http://www.cdisc.org"
"Milligram per Deciliter","Code_505","2023-12-15","C67015","Code","c499f984-609c-449b-9397-e02030463eec","http://www.cdisc.org"
"Microgram per Milliliter","Code_506","2023-12-15","C64572","Code","d855052d-a210-4542-bfd2-aae5f4e3f06d","http://www.cdisc.org"
"Millimole per Liter","Code_507","2023-12-15","C64387","Code","9d5755c8-336c-4296-a267-17f150e87b53","http://www.cdisc.org"
"Micromole per Liter","Code_508","2023-12-15","C48508","Code","eaee40f0-2e91-44df-882a-ebcf7da93aba","http://www.cdisc.org"
"Unit of Concentration","Code_509","2023-12-15","C48207","Code","bcc95d6f-8e59-4101-9d83-863f4d0d2194","http://www.cdisc.org"
"Biospecimen Type","Code_510","2023-12-15","C70713","Code","adf90a47-d536-4580-8c42-4d0f90817e61","http://www.cdisc.org"
"No","Code_511","2023-12-15","C49487","Code","bc7e0467-4158-4423-be01-245c224b2499","http://www.cdisc.org"
"Yes","Code_512","2023-12-15","C49488","Code","d524528e-8d8a-4a67-bbc9-e8c305b0d63f","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_513","2023-12-15","C83309","Code","79e62d4d-3705-439c-a3ec-7b51cace1ecf","http://www.cdisc.org"
"CREAT","Code_514","2023-12-15","C64547","Code","7e1720b6-aee1-4b52-ab64-b8428ce743d2","http://www.cdisc.org"
"K","Code_515","2023-12-15","C64853","Code","e6bcf850-bf1b-4412-8f6f-758a919b80ba","http://www.cdisc.org"
"Laboratory Test Result","Code_516","2023-12-15","C36292","Code","25a7b6c1-82ea-435a-8408-643b1537ada3","http://www.cdisc.org"
"Milliequivalent per Liter","Code_517","2023-12-15","C67474","Code","645efd87-b684-4f0b-9e38-ccc7090573c8","http://www.cdisc.org"
"Milliequivalent per Deciliter","Code_518","2023-12-15","C67473","Code","63283af2-7728-49b2-a124-9195c7c43f7c","http://www.cdisc.org"
"Millimole per Liter","Code_519","2023-12-15","C64387","Code","32c60c4a-55a9-4c1a-a8f8-b7b1d479bac3","http://www.cdisc.org"
"Molarity Unit","Code_520","2023-12-15","C64567","Code","7cd8815a-dc3a-4e68-bf3f-6818da8509e2","http://www.cdisc.org"
"Biospecimen Type","Code_521","2023-12-15","C70713","Code","963a4afc-4b51-4fd5-a620-9d6edc128f85","http://www.cdisc.org"
"No","Code_522","2023-12-15","C49487","Code","62058856-a952-4e06-b952-9299730816bb","http://www.cdisc.org"
"Yes","Code_523","2023-12-15","C49488","Code","43a692b9-df75-489a-a113-9cf3cf4e5baa","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_524","2023-12-15","C83309","Code","990c641e-868b-410a-b04d-4300846ace21","http://www.cdisc.org"
"K","Code_525","2023-12-15","C64853","Code","8146dc13-6fbc-43d0-9ab7-6f1f3ac11296","http://www.cdisc.org"
"SODIUM","Code_526","2023-12-15","C64809","Code","693a36fe-c4c6-4ae1-b48c-f558f7579b96","http://www.cdisc.org"
"Laboratory Test Result","Code_527","2023-12-15","C36292","Code","bb23df4c-8c39-4a3b-83ac-7082faa799ea","http://www.cdisc.org"
"Milliequivalent per Liter","Code_528","2023-12-15","C67474","Code","282b810a-671f-491c-a760-ec4e6374eae7","http://www.cdisc.org"
"Milliequivalent per Deciliter","Code_529","2023-12-15","C67473","Code","7e44aad2-2f76-4604-b464-e2e462ee6e51","http://www.cdisc.org"
"Millimole per Liter","Code_530","2023-12-15","C64387","Code","1e8197d5-f534-4f7a-9d9b-975372cb45e3","http://www.cdisc.org"
"Molarity Unit","Code_531","2023-12-15","C64567","Code","ec9c1eb9-8260-4ab7-81e6-b589f8237a2d","http://www.cdisc.org"
"Biospecimen Type","Code_532","2023-12-15","C70713","Code","2805b5ca-3bee-44a7-971d-2212c00d4cd9","http://www.cdisc.org"
"No","Code_533","2023-12-15","C49487","Code","9de813c7-b6b2-42c9-ba50-3828031d2420","http://www.cdisc.org"
"Yes","Code_534","2023-12-15","C49488","Code","3e51736e-d136-4443-83ec-699666043843","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_535","2023-12-15","C83309","Code","57bb386e-5e26-41cd-8b01-c1c82328e410","http://www.cdisc.org"
"SODIUM","Code_536","2023-12-15","C64809","Code","bf79a8e0-6e00-4b21-992d-7e97e32c5cfa","http://www.cdisc.org"
"HBA1C","Code_537","2023-12-15","C64849","Code","36e92970-22ac-4c2a-8139-aba003feb1ce","http://www.cdisc.org"
"Laboratory Test Result","Code_538","2023-12-15","C36292","Code","97eeeafa-bdf3-4cf9-965c-c6ccc2f431f2","http://www.cdisc.org"
"Gram per Deciliter","Code_539","2023-12-15","C64783","Code","426f8e18-644b-4ed7-b9f1-39ec197340a9","http://www.cdisc.org"
"LBORRESU","Code_540","2023-12-15","No Concept Code","Code","e9d7826c-7ebc-4e53-9826-4e1e3cd772e3","http://www.cdisc.org"
"Biospecimen Type","Code_541","2023-12-15","C70713","Code","ebb4fd0a-d32a-42f7-84cc-1200c079416f","http://www.cdisc.org"
"No","Code_542","2023-12-15","C49487","Code","97b7cc7b-db69-4306-8590-2deb8beca726","http://www.cdisc.org"
"Yes","Code_543","2023-12-15","C49488","Code","91cb4a9d-7b79-470e-8426-04bd59dbe929","http://www.cdisc.org"
"Laboratory Test Fasting Status","Code_544","2023-12-15","C83309","Code","bd6d2763-16b4-41ff-94b8-32a75f2648f1","http://www.cdisc.org"
"HBA1C","Code_545","2023-12-15","C64849","Code","a0e71044-98ff-4c4e-a521-ad6db19a2004","http://www.cdisc.org"
"Adverse Event Verbatim Description","Code_145","2023-12-15","C78541","Code","9fc950ab-386c-461f-8b1d-8bef26d0dde8","http://www.cdisc.org"
"Adverse Event Dictionary Derived Term","Code_146","2023-12-15","C83344","Code","a596905b-b793-484d-87ff-cbf686e45277","http://www.cdisc.org"
"No","Code_147","2023-12-15","C49487","Code","8738ad37-fc65-4c34-b63d-76664e3eef64","http://www.cdisc.org"
"Yes","Code_148","2023-12-15","C49488","Code","d1462cf5-a888-4aa1-86ad-f67570dcd2f5","http://www.cdisc.org"
"Adverse Event Pre-specified","Code_149","2023-12-15","C87840","Code","2868be60-642a-4508-b416-ae679c58bb20","http://www.cdisc.org"
"Adverse Event Location","Code_150","2023-12-15","C83205","Code","de168151-2b95-4873-999f-1f3f2bccf4d7","http://www.cdisc.org"
"Severity of Adverse Event","Code_151","2023-12-15","C53253","Code","6037e005-2d13-415f-a7ce-e5d23453035c","http://www.cdisc.org"
"No","Code_152","2023-12-15","C49487","Code","d50b5193-a74d-491a-b92a-bc950b6e2d93","http://www.cdisc.org"
"Yes","Code_153","2023-12-15","C49488","Code","adcca8fd-a7d2-4620-930c-fb187ed1ed08","http://www.cdisc.org"
"Seriousness of Adverse Event","Code_154","2023-12-15","C53252","Code","f52f3a7e-935a-44e8-9410-7fc0db057730","http://www.cdisc.org"
"Adverse Event Action Taken with Study Treatment","Code_155","2023-12-15","C83013","Code","a2036978-6275-406b-ae2e-464926692bbc","http://www.cdisc.org"
"Other Actions taken in Response to Adverse Event","Code_156","2023-12-15","C83109","Code","0695b49b-54f9-431d-8df8-d471788461e4","http://www.cdisc.org"
"Adverse Event Attribution to Product or Procedure","Code_157","2023-12-15","C41358","Code","9a14285e-53ec-4a6d-ac05-9a6d466748ce","http://www.cdisc.org"
"Adverse Event Relationship to Non Study Treatment","Code_158","2023-12-15","C83210","Code","aa7a623f-686e-4126-ae28-8e508d044eb3","http://www.cdisc.org"
"Adverse Event Pattern","Code_159","2023-12-15","C83208","Code","b7c0e38a-f578-4290-b977-dfa58f4f7c89","http://www.cdisc.org"
"Adverse Event Outcome","Code_160","2023-12-15","C49489","Code","cce0fea8-86b8-4ffa-aefe-6c777bc50377","http://www.cdisc.org"
"No","Code_161","2023-12-15","C49487","Code","27f5ac76-1ddc-415e-b3bb-55c4372d5774","http://www.cdisc.org"
"Yes","Code_162","2023-12-15","C49488","Code","8daaac19-5357-49a9-ba70-935c06a8edd8","http://www.cdisc.org"
"Adverse Event Involves Cancer","Code_163","2023-12-15","C83211","Code","227a5b72-9277-4246-bdc1-3978d2ab1c52","http://www.cdisc.org"
"No","Code_164","2023-12-15","C49487","Code","5a114a7f-863a-4e2c-ad25-b65f489251ba","http://www.cdisc.org"
"Yes","Code_165","2023-12-15","C49488","Code","68c0738c-9847-4470-8767-c0dc7495fe15","http://www.cdisc.org"
"Adverse Event Seriousness Due to Congenital Anomaly","Code_166","2023-12-15","C83117","Code","3f85aa76-eaee-4d63-80b7-7dc360818aa4","http://www.cdisc.org"
"No","Code_167","2023-12-15","C49487","Code","948d0258-2cd8-40b3-b404-f5cbe39b4145","http://www.cdisc.org"
"Yes","Code_168","2023-12-15","C49488","Code","3c692e76-d0e5-401f-b2f8-732f876cd0c3","http://www.cdisc.org"
"Disabling Adverse Event","Code_169","2023-12-15","C113380","Code","1bece597-ad4f-4447-beff-677d1c817186","http://www.cdisc.org"
"No","Code_170","2023-12-15","C49487","Code","fe9ccf71-176f-4e2b-90f0-b73cb9673486","http://www.cdisc.org"
"Yes","Code_171","2023-12-15","C49488","Code","033a8421-c8d7-46a2-ba3e-2ff047178d4f","http://www.cdisc.org"
"Death Related to Adverse Event","Code_172","2023-12-15","C48275","Code","1dced1c1-66c5-4b4a-8c53-10925869f082","http://www.cdisc.org"
"No","Code_173","2023-12-15","C49487","Code","5e06d271-9c8e-4c4e-9016-65ab2b1fc7ea","http://www.cdisc.org"
