"name","id","label","uuid:ID","datatype","isRequired","isEnabled"
"Adverse Event Verbatim Description","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","d7114ed7-e3cd-4440-9b93-8166747169d3","string","True","True"
"Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","838f5aa7-f795-4008-ac81-7f9bef599b29","string","True","True"
"Adverse Event Category","BiomedicalConceptProperty_3","Adverse Event Category","244f7369-e2d7-42ef-a0bc-96cdc0256636","string","True","True"
"Adverse Event Subcategory","BiomedicalConceptProperty_4","Adverse Event Subcategory","c0f48f83-31c1-4261-aa20-708f0e90e025","string","True","True"
"Adverse Event Pre-specified","BiomedicalConceptProperty_5","Adverse Event Pre-specified","541059ad-adbc-4c01-bab4-8a66ffcb6370","boolean","True","True"
"Severity of Adverse Event","BiomedicalConceptProperty_6","Severity of Adverse Event","89273423-81ef-42e3-8ecc-51daca4f6784","string","True","True"
"Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","c3e2901d-bbe5-4685-8260-f31b5430cba0","string","True","True"
"Seriousness of Adverse Event","BiomedicalConceptProperty_8","Seriousness of Adverse Event","82982fd2-a69c-44db-9372-6c3400028934","boolean","True","True"
"Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","751d161a-522a-4179-825f-c6ba08beeb66","string","True","True"
"Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","880bf78f-5884-4425-b17f-d3cbe89dbf3e","string","True","True"
"Adverse Event Pattern","BiomedicalConceptProperty_11","Adverse Event Pattern","d81e89c9-417a-43b3-94d9-c033b95f1706","string","True","True"
"Adverse Event Outcome","BiomedicalConceptProperty_12","Adverse Event Outcome","f4cc185f-663a-4899-b595-651f64c800aa","string","True","True"
"Adverse Event Start Date Time","BiomedicalConceptProperty_13","Adverse Event Start Date Time","bc20ad10-cc9a-45bf-a4a5-a12b7811fb70","datetime","True","True"
"Adverse Event End Date Time","BiomedicalConceptProperty_14","Adverse Event End Date Time","bbe3611a-2ea8-4707-85e6-c3a09f257475","datetime","True","True"
"Vital Signs Result","BiomedicalConceptProperty_15","Vital Signs Result","4f3117de-6915-40b5-874d-f8bb507bb5e0","decimal","True","True"
"Unit of Pressure","BiomedicalConceptProperty_16","Unit of Pressure","e2398a32-a05f-4f08-aa69-bd58a8dc83f5","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_17","Vital Signs Location","cd1d0cf2-cde3-4da4-982b-a18613d5e323","string","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_18","Vital Signs Laterality","7e78f04e-bf97-41e5-a9b2-14df93c14540","string","True","True"
"Test Method","BiomedicalConceptProperty_19","Test Method","bf1bbd10-7757-42d7-97cd-78c0d73f7443","string","True","True"
"Vital Signs Position","BiomedicalConceptProperty_20","Vital Signs Position","1a80eaf7-7d4d-47bc-9776-39007b8be38a","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_21","Vital Signs Result","df107856-63fe-4304-ad4a-06672f308959","decimal","True","True"
"Unit of Pressure","BiomedicalConceptProperty_22","Unit of Pressure","a8dd8238-7b0d-4f58-a214-8f6f7abd9d0e","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_23","Vital Signs Location","04a6f6ce-6d8f-45a7-ad83-18159932f50a","string","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_24","Vital Signs Laterality","979561de-8883-4f94-8435-1fb4ac18b338","string","True","True"
"Test Method","BiomedicalConceptProperty_25","Test Method","2d742094-9a5f-461b-b61b-85e603dabb8c","string","True","True"
"Vital Signs Position","BiomedicalConceptProperty_26","Vital Signs Position","3992ce6f-9d5b-41c8-9b6e-22d5e2468630","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_27","Vital Signs Result","52138191-a40d-453b-ad9f-63abec57910c","decimal","True","True"
"Unit of Temperature","BiomedicalConceptProperty_28","Unit of Temperature","ab8b9c85-96fa-45e6-95a1-23ff5600656a","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_29","Vital Signs Location","2cd362fe-ae2b-4d7b-996d-783f6e9ce8b5","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_30","Vital Signs Result","49bfab82-ab43-4164-951b-4fbc904e5ddc","decimal","True","True"
"Unit of Weight","BiomedicalConceptProperty_31","Unit of Weight","33b4ee11-0cc7-4de0-9c15-40de004ab9ce","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_32","Vital Signs Result","d251f9d6-8e5b-4c68-a740-56391797ed17","decimal","True","True"
"Unit of Height","BiomedicalConceptProperty_33","Unit of Height","bd7b74cc-2cde-4b34-b353-389312b1a80e","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_34","Laboratory Test Result","6022ab71-d65d-4b7b-8d21-90a47e30509b","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","337e01f5-d877-4ddc-a560-2213f1e36157","boolean","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","45690956-169d-4c8b-be79-95936b259b68","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_37","Biospecimen Type","056b59c3-e12a-4cce-bf8a-ddbd4f3d7b31","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_38","Laboratory Test Result","21a03e94-323c-4bb4-b9e0-20aa47ed9da7","string","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","b52a2f03-873a-4cf6-82fc-e2762f50d5fd","boolean","True","True"
"Unit of Concentration","BiomedicalConceptProperty_40","Unit of Concentration","36d5e68a-2460-4c4b-8ce0-36d934e265c3","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_41","Biospecimen Type","b7c903d6-c243-435d-8b5d-bc7a1b732e22","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_42","Laboratory Test Result","d4d92531-c3a0-4a05-baee-64898ed4309b","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","71f43637-5e96-427f-80f8-f2e20744f529","boolean","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","4a3e87c7-480e-4770-8a3d-74a760406f28","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_45","Biospecimen Type","35dec979-e11e-4e97-ac86-02c7445f5b3c","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_46","Laboratory Test Result","89f4575c-542b-4843-9e61-f31d350daf5d","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","652ad6a7-e23b-4f4a-8e41-85d9b812d37a","boolean","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","609949cf-786e-4809-9e1e-5cc321d4d1c6","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_49","Biospecimen Type","a2a5e01e-c772-409d-a9f4-ee1c5a8c59f5","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_50","Laboratory Test Result","3d5a94f7-323b-45d4-9809-d953fbd6754d","string","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","45ea0baa-1d6e-4cea-8ed0-5900d530119f","boolean","True","True"
"Unit of Concentration","BiomedicalConceptProperty_52","Unit of Concentration","0f788f7e-39d1-46c4-823e-9701012f075a","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_53","Biospecimen Type","77c86fef-6266-4427-a2f7-155130b51f35","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_54","Laboratory Test Result","e4f27251-960a-42b0-89ae-b0d32167998a","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","3aa73e81-262e-4903-8850-98ec715ed7e1","boolean","True","True"
"Molarity Unit","BiomedicalConceptProperty_56","Molarity Unit","63a70f97-1a15-433a-8201-38bbdaf57fd1","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_57","Biospecimen Type","ac0764f1-1031-4fa6-9bd6-490ec54e7850","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_58","Laboratory Test Result","4485b5e6-0c21-451d-8563-25357d02edd6","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","37e6a662-82c3-4a0b-a61e-d5eeca84d9d1","boolean","True","True"
"Molarity Unit","BiomedicalConceptProperty_60","Molarity Unit","04c68b84-36c1-4334-a393-08622c137856","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_61","Biospecimen Type","939bc4de-4755-4dfb-a144-c6c5ae476fc2","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_62","Vital Signs Result","c4a90da4-c7ad-47d1-bf79-e5529fba4f40","decimal","True","True"
"Unit of Pressure","BiomedicalConceptProperty_63","Unit of Pressure","c3d42b22-3a90-4cfe-9901-2edca9531c8c","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_64","Vital Signs Location","b05908e6-6c3f-4b87-a3f6-62f6599300e4","string","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_65","Vital Signs Laterality","0b5de106-cb26-46de-8990-04367c251815","string","True","True"
"Test Method","BiomedicalConceptProperty_66","Test Method","6c32a24a-32ba-4b0d-ac0c-468a49014dc8","string","True","True"
"Vital Signs Position","BiomedicalConceptProperty_67","Vital Signs Position","fea573fa-1568-4f02-9d73-e065f5690e74","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_68","Vital Signs Result","945c0e2f-3cf2-4151-b5eb-5b98e5ce3dda","decimal","True","True"
"Unit of Pressure","BiomedicalConceptProperty_69","Unit of Pressure","7bac7058-ab7c-4eae-b5fc-b7456a99e251","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_70","Vital Signs Location","964df3df-23d6-49ba-b82d-23862e53c27a","string","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_71","Vital Signs Laterality","3c2052e5-5b90-4d43-90cc-197e5315d97f","string","True","True"
"Test Method","BiomedicalConceptProperty_72","Test Method","f4f1dfc7-3932-4890-9509-6295ee0b8a18","string","True","True"
"Vital Signs Position","BiomedicalConceptProperty_73","Vital Signs Position","9935e667-c751-42b9-9986-d07c02429157","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_74","Vital Signs Result","ebd0cca3-f8c9-4a64-96fc-b911ead7d825","decimal","True","True"
"Unit of Pressure","BiomedicalConceptProperty_75","Unit of Pressure","4c419f35-52cf-476e-9b00-0c67474405bd","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_76","Vital Signs Location","83ec4126-ba1d-4eea-a235-6d68b6ca02aa","string","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_77","Vital Signs Laterality","773ca6f9-22f7-4947-aa50-4c3bc080aced","string","True","True"
"Test Method","BiomedicalConceptProperty_78","Test Method","4b9b44bf-925f-43fb-a5cf-bb636ce6bd28","string","True","True"
"Vital Signs Position","BiomedicalConceptProperty_79","Vital Signs Position","0f74ee10-eb3a-44f6-9850-dbc08ada95f8","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_80","Vital Signs Result","f41e2a84-dfc6-4755-9158-bbc3e55d2985","decimal","True","True"
"Unit of Pressure","BiomedicalConceptProperty_81","Unit of Pressure","9e53b589-28d2-4b6b-a82f-fda26c941afe","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_82","Vital Signs Location","568303cf-d848-47fa-b5c7-3716f104c4e9","string","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_83","Vital Signs Laterality","fb339aeb-0029-40b1-bc61-acb1da491a33","string","True","True"
"Test Method","BiomedicalConceptProperty_84","Test Method","c6420c1a-efd2-45c6-9f36-41e10cd16c7d","string","True","True"
"Vital Signs Position","BiomedicalConceptProperty_85","Vital Signs Position","e8c8485a-c54d-4a19-8272-80e2b4dd2887","string","True","True"
