"sectionNumber","name","id","uuid:ID","sectionTitle","text"
"5.1","SECTION 5.1","NarrativeContent_22","4e664807-a17f-4495-b142-cf0673693d74","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"5.2","SECTION 5.2","NarrativeContent_23","76f417f6-b626-42da-8da3-e5ff3da4f899","Rationale for Trial Population","<div></div>"
"5.3","SECTION 5.3","NarrativeContent_24","5f713e7a-f5ae-41f5-abeb-666ae3fc1c46","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>"
"5.4","SECTION 5.4","NarrativeContent_25","b9ca7cdd-835a-48ea-8623-eaa83e4d6155","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>"
"5.5","SECTION 5.5","NarrativeContent_26","292e7390-1e95-45d0-bddf-6329ccdef370","Lifestyle Considerations","<div></div>"
"5.5.1","SECTION 5.5.1","NarrativeContent_27","963dda0e-9bc3-4c0a-9c2d-948e6162a87d","Meals and Dietary Restrictions","<div></div>"
"5.5.2","SECTION 5.5.2","NarrativeContent_28","9311dc01-60d2-4e2a-9fb6-f15e7405e852","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>"
"5.5.3","SECTION 5.5.3","NarrativeContent_29","1a5d8c0e-1f4f-4586-9ad0-60f1c60a0adb","Physical Activity","<div></div>"
"5.5.4","SECTION 5.5.4","NarrativeContent_30","b7aaa3d3-1392-43b0-80d6-6500e18620fd","Other Activity","<div></div>"
"5.6","SECTION 5.6","NarrativeContent_31","e5195c46-e6b7-437e-a14b-f4de9db5fb7b","Screen Failures","<div></div>"
"6","SECTION 6","NarrativeContent_32","457b771f-8d51-4ba6-8fd6-873171c7f1d0","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>"
"6.1","SECTION 6.1","NarrativeContent_33","288342cd-3cdc-4c07-a39a-0cdc80ed54d3","Description of Trial Intervention","<div></div>"
"6.2","SECTION 6.2","NarrativeContent_34","9dbb2d54-f4d6-4f90-bf72-26a005f53be1","Rationale for Trial Intervention","<div></div>"
"6.3","SECTION 6.3","NarrativeContent_35","720b19d6-0251-4cb0-a977-c57b9ba8ca65","Dosing and Administration","<div></div>"
"6.3.1","SECTION 6.3.1","NarrativeContent_36","de0cec74-0ee4-4e3d-88cb-49b62042d316","Trial Intervention Dose Modification","<div></div>"
"6.4","SECTION 6.4","NarrativeContent_37","1605bc56-a0db-4538-ba44-0e065f797b49","Treatment of Overdose","<div></div>"
"6.5","SECTION 6.5","NarrativeContent_38","06a15473-9c8e-443e-b2fa-90ad4cc1be1c","Preparation, Handling, Storage and Accountability","<div></div>"
"6.5.1","SECTION 6.5.1","NarrativeContent_39","1d577db5-5cb8-45f4-9b21-fd0052759b1f","Preparation of Trial Intervention","<div></div>"
"6.5.2","SECTION 6.5.2","NarrativeContent_40","e6cf9821-7d75-48e3-8687-349ce9d101e9","Handling and Storage of Trial Intervention","<div></div>"
"6.5.3","SECTION 6.5.3","NarrativeContent_41","ddcc4b89-c59f-4aef-b43f-6f139abffa61","Accountability of Trial Intervention","<div></div>"
"6.6","SECTION 6.6","NarrativeContent_42","3308ac1c-3546-4257-9c47-db0bd9c7f3d1","Participant Assignment, Randomisation and Blinding","<div></div>"
"6.6.1","SECTION 6.6.1","NarrativeContent_43","cc5f1327-951b-4a6d-86d8-87134b86a018","Participant Assignment","<div></div>"
"6.6.2","SECTION 6.6.2","NarrativeContent_44","a8de689a-8e25-4ed4-8d40-4d8c65e65958","Randomisation","<div></div>"
"6.6.3","SECTION 6.6.3","NarrativeContent_45","c38c1d3a-7989-4963-ae59-05a20896493e","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"6.7","SECTION 6.7","NarrativeContent_46","26df5f7f-cbf1-4c65-9165-af94e2c0aa17","Trial Intervention Compliance","<div></div>"
"6.8","SECTION 6.8","NarrativeContent_47","2abd2880-9e15-470e-98bb-5c68f25e584f","Concomitant Therapy","<div></div>"
"6.8.1","SECTION 6.8.1","NarrativeContent_48","48d13eef-0f8d-4fec-b86a-b5c60842cd50","Prohibited Concomitant Therapy","<div></div>"
"6.8.2","SECTION 6.8.2","NarrativeContent_49","b2c3c243-1fdc-4049-ac74-f75dd2cf0954","Permitted Concomitant Therapy","<div></div>"
"6.8.3","SECTION 6.8.3","NarrativeContent_50","5364873d-c38a-479e-b967-2b37348f749c","Rescue Therapy","<div></div>"
"6.8.4","SECTION 6.8.4","NarrativeContent_51","8b98fd90-7e97-4c02-8a0c-39b31308d1bf","Other Therapy","<div></div>"
"7","SECTION 7","NarrativeContent_52","a1db66f1-4958-4e56-9a53-e786d439ee40","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>"
"7.1","SECTION 7.1","NarrativeContent_53","09967a42-14c4-44de-8856-8841d771550c","Discontinuation of Trial Intervention","<div></div>"
"7.1.1","SECTION 7.1.1","NarrativeContent_54","93d1e529-6a9c-4f2c-9f4a-b825ac167770","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>"
"7.1.2","SECTION 7.1.2","NarrativeContent_55","61c9c9bb-ed5e-4c10-8cb0-3e6862479bf6","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>"
"7.1.3","SECTION 7.1.3","NarrativeContent_56","87689411-48f2-4828-9447-06e4c2f4a3dd","Rechallenge","<div></div>"
"7.2","SECTION 7.2","NarrativeContent_57","00f2d0ac-3918-4cca-b48e-ca92387d4574","Participant Withdrawal from the Trial","<div></div>"
"7.3","SECTION 7.3","NarrativeContent_58","28902a55-05a9-4c8f-8884-4e191369cabd","Lost to Follow-Up","<div></div>"
"7.4","SECTION 7.4","NarrativeContent_59","2fe12218-f89d-44db-a56a-f33d2dce8501","Trial Stopping Rules","<div></div>"
"8","SECTION 8","NarrativeContent_60","52a4f405-b018-4124-bd79-61cb1aca05be","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>"
"8.1","SECTION 8.1","NarrativeContent_61","edd5aee7-4364-464d-a675-7dbc0476c3c6","Screening/Baseline Assessments and Procedures","<div></div>"
"8.2","SECTION 8.2","NarrativeContent_62","87a30888-8cc5-42e0-a407-8d5b134465dc","Efficacy Assessments and Procedures","<div></div>"
"8.3","SECTION 8.3","NarrativeContent_63","bbfe468a-ac89-4d0c-8ad2-44b04b96647b","Safety Assessments and Procedures","<div></div>"
"8.3.1","SECTION 8.3.1","NarrativeContent_64","282aa0a8-ac16-41e0-ba0b-bc880d4fa8e7","Physical Examination","<div></div>"
"8.3.2","SECTION 8.3.2","NarrativeContent_65","d2f0fbf0-87b6-4be9-9335-e9b1562ae9bd","Vital Signs","<div></div>"
"8.3.3","SECTION 8.3.3","NarrativeContent_66","22fbdeed-feec-481e-abbb-412c8b15bd4f","Electrocardiograms","<div></div>"
"8.3.4","SECTION 8.3.4","NarrativeContent_67","8e148ccb-777e-4cfc-840e-d5810e13d5df","Clinical Laboratory Assessments","<div></div>"
"8.3.5","SECTION 8.3.5","NarrativeContent_68","ea031b06-1135-4bec-92bf-1cf99ec45b66","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>"
"8.4","SECTION 8.4","NarrativeContent_69","ca15d6e8-63ca-4f95-a1be-91a0dda037dc","Adverse Events and Serious Adverse Events","<div></div>"
"8.4.1","SECTION 8.4.1","NarrativeContent_70","d2a8b6de-81e4-456d-bb03-dd1d882df687","Definitions of AE and SAE","<div></div>"
"8.4.2","SECTION 8.4.2","NarrativeContent_71","8c4d02c0-aaa7-4c62-a405-fb9cd9c72567","Time Period and Frequency for Collecting AE and SAE Information","<div></div>"
"8.4.3","SECTION 8.4.3","NarrativeContent_72","1bb97bb9-7a40-4b81-b718-91cd0a2acc82","Identifying AEs and SAEs","<div></div>"
"8.4.4","SECTION 8.4.4","NarrativeContent_73","1e73b3e6-d842-4274-b937-262af74f319c","Recording of AEs and SAEs","<div></div>"
"8.4.5","SECTION 8.4.5","NarrativeContent_74","cfcc8c6f-fc30-4278-9d9b-b35288b474c7","Follow-up of AEs and SAEs","<div></div>"
"8.4.6","SECTION 8.4.6","NarrativeContent_75","5d28a216-6e43-47ce-9ce6-638b116e5fa6","Reporting of SAEs","<div></div>"
"8.4.7","SECTION 8.4.7","NarrativeContent_76","4ca466b0-a5e8-4979-958e-695acc0ea452","Regulatory Reporting Requirements for SAEs","<div></div>"
"8.4.8","SECTION 8.4.8","NarrativeContent_77","39cd1d61-1a0a-49be-a038-734a5582ca5f","Serious and Unexpected Adverse Reaction Reporting","<div></div>"
"8.4.9","SECTION 8.4.9","NarrativeContent_78","bf4b73db-73fd-400a-84f9-4288bec0d1f5","Adverse Events of Special Interest","<div></div>"
"8.4.10","SECTION 8.4.10","NarrativeContent_79","9c609ef0-3838-47c5-80e5-7089f7b94691","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>"
"8.5","SECTION 8.5","NarrativeContent_80","dc586030-e37d-49bb-ae92-7184902ea990","Pregnancy and Postpartum Information","<div></div>"
"8.5.1","SECTION 8.5.1","NarrativeContent_81","9b9d1b32-8455-455e-b221-ac64e3f5d300","Participants Who Become Pregnant During the Trial","<div></div>"
"8.5.2","SECTION 8.5.2","NarrativeContent_82","35e6a5dd-0a88-4dec-a852-16ac897549f9","Participants Whose Partners Become Pregnant","<div></div>"
"8.6","SECTION 8.6","NarrativeContent_83","b7d24fac-2e6d-456f-85a4-a1ba585d61bf","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>"
"8.6.1","SECTION 8.6.1","NarrativeContent_84","7a5db442-2bd4-4f50-967b-4e9dc06c10c3","Definition of Medical Device Product Complaints","<div></div>"
"8.6.2","SECTION 8.6.2","NarrativeContent_85","1acc33ce-e520-4a95-afd0-45fba529bcfe","Recording of Medical Device Product Complaints","<div></div>"
"8.6.3","SECTION 8.6.3","NarrativeContent_86","426d6223-e67c-4b5d-b2b2-313fc99b24fc","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>"
"8.6.4","SECTION 8.6.4","NarrativeContent_87","9e5234c7-4712-4b70-bcc1-993d9ae6e5b8","Follow-Up of Medical Device Product Complaints","<div></div>"
"8.6.5","SECTION 8.6.5","NarrativeContent_88","91222a0e-1ce3-45e3-9256-dc26a54c4016","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>"
"8.7","SECTION 8.7","NarrativeContent_89","e0624772-fd57-44d1-8e0c-7a030c27b7cb","Pharmacokinetics","<div></div>"
"8.8","SECTION 8.8","NarrativeContent_90","c79fcf48-8266-4680-a453-e556c95bd788","Genetics","<div></div>"
"8.9","SECTION 8.9","NarrativeContent_91","85054cc4-8ac3-41ce-9bad-a30e4fa8d538","Biomarkers","<div></div>"
"8.1","SECTION 8.1","NarrativeContent_92","982dbe7b-8016-402c-a63d-10e55dde91c8","Immunogenicity Assessments","<div></div>"
"8.1.1","SECTION 8.1.1","NarrativeContent_93","058012d7-5335-40e0-b3b5-98626a6146cb","Medical Resource Utilisation and Health Economics","<div></div>"
"9","SECTION 9","NarrativeContent_94","f50abce0-6fb6-4dc5-826b-f73bdae8a63d","STATISTICAL CONSIDERATIONS","<div></div>"
"9.1","SECTION 9.1","NarrativeContent_95","06877c55-876e-43ba-b3f9-044cba1bcc8b","Analysis Sets","<div></div>"
"9.2","SECTION 9.2","NarrativeContent_96","cc0b77c7-422c-48cc-a70e-ff5382a75309","Analyses Supporting Primary Objective(s)","<div></div>"
"9.2.1","SECTION 9.2.1","NarrativeContent_97","02b9544e-3ca2-4263-bcdd-ec329ce81a7e","Statistical Model, Hypothesis, and Method of Analysis","<div></div>"
"9.2.2","SECTION 9.2.2","NarrativeContent_98","161fe32f-5b83-413d-bfb9-eb1e796f7fed","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>"
"9.2.3","SECTION 9.2.3","NarrativeContent_99","83138a93-e117-4647-b83a-e36728a9d43f","Handling of Missing Data","<div></div>"
"9.2.4","SECTION 9.2.4","NarrativeContent_100","db18278c-16b6-4eb4-b329-c669e0822c6e","Sensitivity Analysis","<div></div>"
"9.2.5","SECTION 9.2.5","NarrativeContent_101","ffd2c16e-d02c-4eed-b309-2a0b88c05c01","Supplementary Analysis","<div></div>"
"9.3","SECTION 9.3","NarrativeContent_102","ffca1479-683e-4f8d-88c2-f45beeddead6","Analysis Supporting Secondary Objective(s)","<div></div>"
"9.4","SECTION 9.4","NarrativeContent_103","6a2574e5-a781-403d-ab19-f1674ff90b5b","Analysis of Exploratory Objective(s)","<div></div>"
"9.5","SECTION 9.5","NarrativeContent_104","ac7a29b4-5eea-4e35-9ede-5369885784ca","Safety Analyses","<div></div>"
"9.6","SECTION 9.6","NarrativeContent_105","c6a40e91-3caa-483e-9a85-c4999121a56d","Other Analyses","<div></div>"
"9.7","SECTION 9.7","NarrativeContent_106","09c4486c-1544-43f7-b604-2e1629876a21","Interim Analyses","<div></div>"
"9.8","SECTION 9.8","NarrativeContent_107","2ca80d74-1e38-4700-ab74-fd03f07692f5","Sample Size Determination","<div></div>"
"9.9","SECTION 9.9","NarrativeContent_108","70767382-88d5-4ce6-ad75-5595aac0890b","Protocol Deviations","<div></div>"
"10","SECTION 10","NarrativeContent_109","beb0bdd3-40ce-4785-8fc8-ee34910943a3","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>"
"10.1","SECTION 10.1","NarrativeContent_110","b1db20ba-69a6-4d4f-afc6-f3b2d6140b86","Regulatory and Ethical Considerations","<div></div>"
"10.2","SECTION 10.2","NarrativeContent_111","7488f62f-a8bf-445c-9c5d-4f09e1cd5ee7","Committees","<div></div>"
"10.3","SECTION 10.3","NarrativeContent_112","d9cac186-e778-4966-a586-7673718963cf","Informed Consent Process","<div></div>"
"10.4","SECTION 10.4","NarrativeContent_113","06d19491-ac08-41f8-8f5f-c8e50dd45830","Data Protection","<div></div>"
"10.5","SECTION 10.5","NarrativeContent_114","f1c2f21c-0fe4-461e-81ef-961a0cb04da3","Early Site Closure or Trial Termination","<div></div>"
"11","SECTION 11","NarrativeContent_115","ea471493-65ff-49f0-b8b0-9b693ba43861","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>"
"11.1","SECTION 11.1","NarrativeContent_116","f54b4d5c-474a-4f93-a64e-e66bb0a9385f","Quality Tolerance Limits","<div></div>"
"11.2","SECTION 11.2","NarrativeContent_117","8bf53883-b0cb-4534-aedd-427c7eb99328","Data Quality Assurance","<div></div>"
"11.3","SECTION 11.3","NarrativeContent_118","8951c9d0-60e3-47cb-8506-e7624c21281e","Source Data","<div></div>"
"12","SECTION 12","NarrativeContent_119","7ca714dd-060c-44b5-a1da-3521dd085b06","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>"
"12.1","SECTION 12.1","NarrativeContent_120","65d0c86d-063d-4baa-8368-0b5a3e4894bf","Further Details and Clarifications on the AE Definition","<div></div>"
"12.2","SECTION 12.2","NarrativeContent_121","b005908e-af23-412a-beb2-4c69fe6409b4","Further Details and Clarifications on the SAE Definition","<div></div>"
"12.3","SECTION 12.3","NarrativeContent_122","d14ad055-0f96-44b9-961b-1fb7f3e74683","Severity","<div></div>"
"12.4","SECTION 12.4","NarrativeContent_123","4fe655f8-adf5-45d5-973e-a98cb3ce9905","Causality","<div></div>"
"13","SECTION 13","NarrativeContent_124","9f6da899-c151-459b-9972-352285197608","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>"
"13.1","SECTION 13.1","NarrativeContent_125","02f05d3d-d837-497d-bb99-dd863e3ea384","Contraception and Pregnancy Testing","<div></div>"
"13.1.1","SECTION 13.1.1","NarrativeContent_126","9bc21e45-2ebf-41ad-96c1-76ba05457909","Definitions Related to Childbearing Potential","<div></div>"
"13.1.2","SECTION 13.1.2","NarrativeContent_127","5960fb07-30b9-413d-81bb-58c20b9513e3","Contraception","<div></div>"
"13.1.3","SECTION 13.1.3","NarrativeContent_128","ce149fb6-99c6-4002-b04a-46a9c64091eb","Pregnancy Testing","<div></div>"
"13.2","SECTION 13.2","NarrativeContent_129","38433dbb-0ba0-4215-bb50-d532fe6ffecc","Clinical Laboratory Tests","<div></div>"
"13.3","SECTION 13.3","NarrativeContent_130","7eb4bd66-6d2f-4c83-acd9-bc0d7af5ffcb","Country/Region-Specific Differences","<div></div>"
"13.4","SECTION 13.4","NarrativeContent_131","fa8edf65-90d9-4bf6-8406-93b8f3082550","Prior Protocol Amendments","<div></div>"
"14","SECTION 14","NarrativeContent_132","c92de972-ed0d-4416-9f2d-e26c895119df","APPENDIX: GLOSSARY OF TERMS","<div></div>"
"15","SECTION 15","NarrativeContent_133","92496db8-afe0-4f1f-a7c7-10d69cfe7427","APPENDIX: REFERENCES","<div></div>"
