"id","synonyms","label","instanceType","reference","name","uuid:ID"
"BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","40242cef-90a1-4726-9691-a5bd0b0866a3"
"BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","f071f5e6-52a1-4371-bef2-85c90b118a14"
"BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","ced6d99d-ee1a-4a75-b30d-de171df69090"
"BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","66eda7f9-7d24-4995-ac8f-8f4849bfd9ac"
"BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","664ac014-3543-43c0-ad1b-ba193cb1dc5d"
"BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","c894ea21-1031-40d9-bc6a-c6a6064e4823"
"BiomedicalConcept_16","['Heart Rate']","Heart Rate","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","18be0daa-75ae-4d5a-bc25-25d92df4bbe8"
"BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","7fdaeaf7-dd81-425e-8e54-c6f0618b8935"
"BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","015658ca-329d-45fb-a11e-ef3cdb76ff59"
"BiomedicalConcept_19","['Heart Rate']","Heart Rate","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","b939289e-a604-4f37-80c7-c53f265834aa"
