"id","label","uuid:ID","name","instanceType","reference","synonyms"
"BiomedicalConcept_32","Sodium Concentration in Urine","3941b957-73d5-450a-b42c-bf2aedfc35fa","Sodium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","6f961893-6c52-430d-9ed3-053e991153ff","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"BiomedicalConcept_1","Adverse Event Prespecified","9739413e-011c-4591-acc6-e2b657f3811b","Adverse Event Prespecified","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']"
"BiomedicalConcept_2","Systolic Blood Pressure","07387caf-1e85-4969-9e8c-2dc6eed3d86e","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_3","Diastolic Blood Pressure","5f9d5ca4-44f4-406f-be09-e8286a5a883f","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_4","Temperature","2f1f2874-e8b1-4cf3-bd15-12498791d43a","Temperature","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']"
"BiomedicalConcept_5","Weight","75980938-6e02-4826-926d-04159d9f6a15","Weight","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']"
"BiomedicalConcept_6","Height","0107c71a-667c-4a93-aea0-ea263ce00960","Height","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","6e5377be-5369-431d-bf3e-4916b1d75fff","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_8","Albumin Presence in Urine","e901462c-0d83-42e2-acb4-b522c6de706c","Albumin Presence in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","cf42e2a2-8a2e-42d1-a597-d24eca5cfa30","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","1d29feaa-afe3-4a14-a7ed-6b261df70db2","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_11","Creatinine Concentration in Urine","4beb0add-3bb8-49c7-ae28-f5ee7dc1b02a","Creatinine Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_12","Potassium Concentration in Urine","4caefbcc-ae3d-4fdb-a3c3-48a26e8d3d51","Potassium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept_13","Sodium Concentration in Urine","bbb5accd-d35c-42c2-85a9-b400e47ec704","Sodium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept_14","Systolic Blood Pressure","71e2226f-0016-4f64-b757-c4110ca6b6e0","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_15","Diastolic Blood Pressure","7925cab7-6e55-4a21-9640-76a929d47bc3","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_16","Heart Rate","eeea5a04-4144-43b4-ba94-d6eae56f34ec","Heart Rate","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']"
"BiomedicalConcept_17","Systolic Blood Pressure","57f9db96-64a2-4c2c-848c-3780ead58c30","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_18","Diastolic Blood Pressure","ebfc2c1d-b2f4-4c6a-870b-d83d39e9bda2","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_19","Heart Rate","f5b16cd5-c4ce-4dab-a0ac-dfeea9e84dc0","Heart Rate","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']"
