"label","reference","uuid:ID","name","instanceType","synonyms","id"
"Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","1c085c3f-1068-4087-b40f-500860ed328e","Adverse Event","BiomedicalConcept","","BiomedicalConcept_1"
"Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","74b5cea9-1648-407d-92a7-df8d35ad66df","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","BiomedicalConcept_2"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","c195b000-0673-4317-9995-7d397c78124c","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","BiomedicalConcept_3"
"Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","babf8c70-7e5b-4feb-ac7c-7ca553b5fefa","Body Temperature","BiomedicalConcept","['Temperature']","BiomedicalConcept_4"
"Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","f71068d9-ea93-4cb1-9707-b8836dcae510","Body Weight","BiomedicalConcept","['Weight']","BiomedicalConcept_5"
"Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","d3fb0c1f-adfa-467a-9f5c-2fba4f83f308","Body Height","BiomedicalConcept","['Height']","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","298391b6-dff7-4d19-91ce-d95158ef2d4e","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","BiomedicalConcept_7"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","0bfddc26-0182-4c91-98a5-5ce96dee74e4","Albumin Measurement","BiomedicalConcept","['Albumin']","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","7a5a82d4-13c0-409a-a792-7d6062588b33","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","e542b5d3-69bf-4495-a58d-0b858ae89b0b","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","BiomedicalConcept_10"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","8fd4301d-8267-4d93-a843-6a4e8d6ef510","Creatinine Measurement","BiomedicalConcept","['Creatinine']","BiomedicalConcept_11"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","8676e5df-b94d-407d-9b6a-0fb999519272","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","BiomedicalConcept_12"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","af018df8-f418-41c1-8590-fb518169e85b","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","BiomedicalConcept_13"
"Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","129de3f5-f1a7-4508-9c66-15c03d636e3b","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","BiomedicalConcept_14"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","649788cb-1980-47b6-b086-b873cc0cc8e5","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","BiomedicalConcept_15"
"Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","1129880c-aa8d-44de-99d7-718833c4d06d","Heart Rate","BiomedicalConcept","","BiomedicalConcept_16"
"Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","55f40d1d-57db-4a1f-aa61-f8bedd6c4371","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","BiomedicalConcept_17"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","bd38fd7b-895e-4841-9443-269df39490dc","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","BiomedicalConcept_18"
"Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","e89edac0-36c8-4650-8740-62bcdbedfa90","Heart Rate","BiomedicalConcept","","BiomedicalConcept_19"
