"label","uuid:ID","name","instanceType","id","isRequired","isEnabled","datatype"
"Unit of Pressure","65621c55-e793-4dc5-9cac-3ee14a6f53bf","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_7","True","True","string"
"Anatomic Site","ea3a4ed6-a03c-4e71-b21a-cc7b5778b027","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_8","True","True","string"
"Laterality","f0fdf81c-a8fe-4fe0-8ed1-620a39922c11","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_9","True","True","string"
"Test Method","5051164b-3d08-451b-bdd6-92f3ec0ea2b1","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_10","True","True","string"
"Body Position","6c89d645-7fe8-4461-a836-2c6ab4b8d107","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_11","True","True","string"
"Clinical Test Result","43c2a8e5-bc2f-400c-b5ee-aa614ef1ab86","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_12","True","True","decimal"
"Unit of Pressure","8d770e33-9800-4fc4-b5cb-861244cc7127","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_13","True","True","string"
"Anatomic Site","93397b38-bb8b-4b93-a132-0a91178175c2","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_14","True","True","string"
"Laterality","3d18e7ad-1917-40ad-9211-f757877350b5","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_15","True","True","string"
"Test Method","62f329d2-3835-4c08-a4d8-d7cc1c25e662","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_16","True","True","string"
"Body Position","a5b546e4-5a1f-46bd-9253-7ffd532a53cb","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_17","True","True","string"
"Clinical Test Result","c6db382c-a5d7-4faf-a2f3-037946b22a12","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_18","True","True","decimal"
"Unit of Temperature","b5425e35-3da1-479b-a92b-000666d0eab3","Unit of Temperature","BiomedicalConceptProperty","BiomedicalConceptProperty_19","True","True","string"
"Anatomic Site","c1cf173f-12e9-4370-a634-fd3bc05fd438","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_20","True","True","string"
"Clinical Test Result","b5277569-874f-4222-b44c-5a5ee3e78688","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_21","True","True","decimal"
"Unit of Weight","b8fefe2d-23f4-402f-9f03-ec7b7b33f9e8","Unit of Weight","BiomedicalConceptProperty","BiomedicalConceptProperty_22","True","True","string"
"Clinical Test Result","60747c44-9c30-4055-98aa-cff3a8448d8e","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_23","True","True","decimal"
"Unit of Height","766f32ba-1c7f-48bc-9f49-964625e3a922","Unit of Height","BiomedicalConceptProperty","BiomedicalConceptProperty_24","True","True","string"
"Laboratory Test Result","6ad6bf2c-c658-41cb-9be7-c6886ddfbc33","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_25","True","True","decimal"
"Laboratory Test Fasting Status","37c04a9d-9376-4d3e-9a7c-15543c7092f4","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_26","True","True","boolean"
"Unit of Catalytic Activity Concentration","0d1590f9-9abe-4473-80b6-12580e9ecc77","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_27","True","True","string"
"Biospecimen Type","42ee288d-db3f-4561-b65d-0f1981ee65fb","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_28","True","True","string"
"Laboratory Test Result","e552febd-c668-4327-9ea6-8efc7e8ce955","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_29","True","True","string"
"Laboratory Test Fasting Status","0a250eaf-cbbf-425b-9439-0be81073f6eb","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_30","True","True","boolean"
"Unit of Concentration","e7ce8c61-d375-4aba-943d-f9717910e2ed","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_31","True","True","string"
"Biospecimen Type","81dddca2-2731-4dc5-a564-782f86e94ad2","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_32","True","True","string"
"Laboratory Test Result","357647ed-0737-4448-b1e9-ab54ec9826cd","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_33","True","True","decimal"
"Laboratory Test Fasting Status","68f5c6e5-bcab-4f19-a9ed-b547400414d8","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_34","True","True","boolean"
"Unit of Catalytic Activity Concentration","5acec100-16fd-4289-9570-e06f281b31f2","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_35","True","True","string"
"Biospecimen Type","4c67d3c2-9764-4032-8ba7-d35c0794e8bc","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_36","True","True","string"
"Laboratory Test Result","46213ad9-c42e-4c64-bc9c-ea2a6299a214","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_37","True","True","decimal"
"Laboratory Test Fasting Status","080d5a3b-fd89-4719-935d-0276f8ee2752","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_38","True","True","boolean"
"Unit of Catalytic Activity Concentration","1203bc0b-b9dd-492d-affd-988e4f7a83d4","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_39","True","True","string"
"Biospecimen Type","15e6c38f-5829-4367-acfb-73837dfa5e8a","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_40","True","True","string"
"Laboratory Test Result","0d7649f1-6b20-4f82-bbf7-0e04316cc954","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_41","True","True","string"
"Laboratory Test Fasting Status","1fc20856-1f82-4420-b967-37f1fa9d9554","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_42","True","True","boolean"
"Unit of Concentration","3b501781-97c2-4af3-98a6-908d1f613e36","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_43","True","True","string"
"Biospecimen Type","b26db4f6-c9b9-4c33-8eda-183890ae6452","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_44","True","True","string"
"Laboratory Test Result","112e4c0b-0695-433c-b6b0-4368a1542084","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_45","True","True","decimal"
"Laboratory Test Fasting Status","11dea7b8-123f-4871-a9ae-13ea037c540c","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_46","True","True","boolean"
"Molarity Unit","2435a6de-7778-48a1-95f3-76e01e01e40d","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_47","True","True","string"
"Biospecimen Type","e7147281-0a2b-475c-84c1-e54e7ff8fa57","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_48","True","True","string"
"Laboratory Test Result","d24e7c0e-6d1a-4fd6-8b8b-b4b3e0db2525","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_49","True","True","decimal"
"Laboratory Test Fasting Status","fbd7f006-f32b-419a-9952-75d9f64a6de2","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_50","True","True","boolean"
"Molarity Unit","b48b56c1-fcc2-44f8-8a09-5541268a7586","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_51","True","True","string"
"Biospecimen Type","bb85201e-e1fd-4bcf-8012-a4e4a6c827bb","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_52","True","True","string"
"Clinical Test Result","8eba2d8f-3168-458b-8f77-9f219cd8b7c5","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_53","True","True","decimal"
"Unit of Pressure","d972b8e9-5351-455d-9dae-272b0926b7cc","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_54","True","True","string"
"Anatomic Site","2e7b628c-db0a-454c-b6de-f767330ba05f","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_55","True","True","string"
"Laterality","1a3468e6-af44-4349-b0a3-05387891b25d","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_56","True","True","string"
"Test Method","0fa0d9a0-b71b-4221-a1c7-aa38e366a2b0","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_57","True","True","string"
"Body Position","e25f3f08-8bc9-47ae-9158-756aaeed84ac","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_58","True","True","string"
"Clinical Test Result","156ce2b7-6ab6-48ef-818f-d33aa6f40ed8","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_59","True","True","decimal"
"Unit of Pressure","b50f4955-628f-4e1d-a8c3-78830f055122","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_60","True","True","string"
"Anatomic Site","af11841c-58e7-45fc-b09d-72e161c13073","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_61","True","True","string"
"Laterality","8c0a2c4a-cd6e-4472-ad1a-a15e37c5e9a0","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_62","True","True","string"
"Test Method","28c88160-0277-469b-b0c2-a873323dc67f","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_63","True","True","string"
"Body Position","9768a1cb-83c5-4f54-9f6c-d3b47ade3d3a","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_64","True","True","string"
"Clinical Test Result","86a28bf8-bc34-4d0e-b107-df55d627e230","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_65","True","True","integer"
"Count per Minute","93a34f12-6057-4a53-a14f-4be6d9711813","Count per Minute","BiomedicalConceptProperty","BiomedicalConceptProperty_66","True","True","string"
"Anatomic Site","72363fe8-167b-4946-93e4-6a83c570193c","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_67","True","True","string"
"Laterality","2fa94c0a-934f-43db-8f05-5d7a42ded489","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_68","True","True","string"
"Test Method","521be084-01c3-45a8-94a1-7e9f5aed135d","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_69","True","True","string"
"Body Position","b3bbfb07-60d7-4f62-a58e-ed437a201452","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_70","True","True","string"
"Clinical Test Result","51378217-b0b8-4a75-b79a-67671d58e64c","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_71","True","True","decimal"
"Unit of Pressure","0c14e1df-021e-488d-9d91-a63b3b33e0f8","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_72","True","True","string"
"Anatomic Site","61cba549-1607-4693-8da8-1df36a2f9b3d","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_73","True","True","string"
"Laterality","c359dee9-d1fd-41fd-aa7c-58d63aa5f5e3","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_74","True","True","string"
"Test Method","c2393991-b90d-4e37-a6fc-b85f5cac59bb","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_75","True","True","string"
"Body Position","04873319-f75b-42de-af7f-1aaff0078cef","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_76","True","True","string"
"Clinical Test Result","a30670de-e869-4f1b-b0ff-f38c21dcb6b0","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_77","True","True","decimal"
"Unit of Pressure","039f2c48-95c0-4c70-b5c1-077f9559ac52","Unit of Pressure","BiomedicalConceptProperty","BiomedicalConceptProperty_78","True","True","string"
"Anatomic Site","f5eefb37-4abb-4e2c-a98e-7f8ab993b393","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_79","True","True","string"
"Laterality","9e928d41-db56-4dfc-8db5-cbdc800bdadf","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_80","True","True","string"
"Test Method","b37b2ae9-169c-4a86-8381-913160f75586","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_81","True","True","string"
"Body Position","d7e1c31a-6cb8-4622-b814-a02fb28b660d","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_82","True","True","string"
"Clinical Test Result","3661d8a8-4a5e-4fd4-a844-db5f82a89462","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_83","True","True","integer"
"Count per Minute","631ea8d3-bdd5-4272-a8d7-7f899c1e056e","Count per Minute","BiomedicalConceptProperty","BiomedicalConceptProperty_84","True","True","string"
"Anatomic Site","39e75cc7-2a24-4d56-a649-96516d90a444","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_85","True","True","string"
"Laterality","660c71b3-0c87-477f-8f5c-2b2336244a19","Laterality","BiomedicalConceptProperty","BiomedicalConceptProperty_86","True","True","string"
"Test Method","1d7fde07-9113-4a42-b15b-75de97d7b9bf","Test Method","BiomedicalConceptProperty","BiomedicalConceptProperty_87","True","True","string"
"Body Position","ece16de4-db01-4218-9f0e-4c8c29edd43b","Body Position","BiomedicalConceptProperty","BiomedicalConceptProperty_88","True","True","string"
