"label","name","bcPropertyEnabled","uuid:ID","bcPropertyDatatype","bcPropertyResponseCodes","id","bcPropertyRequired"
"Adverse Event Verbatim Description","Adverse Event Verbatim Description","True","f6be4c2f-500a-4490-8ce4-47d698eebe59","string","[]","BiomedicalConceptProperty_1","True"
"Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","True","c1c99f87-71ea-4458-9fac-280230555e4b","string","[]","BiomedicalConceptProperty_2","True"
"Adverse Event Category","Adverse Event Category","True","8445597f-7bbe-4696-99d6-0458adf0f398","string","[]","BiomedicalConceptProperty_3","True"
"Adverse Event Subcategory","Adverse Event Subcategory","True","7fc0d30f-dc6c-48b4-b821-6917f282c69f","string","[]","BiomedicalConceptProperty_4","True"
"Adverse Event Pre-specified","Adverse Event Pre-specified","True","4ff2680a-1ae5-42b9-ad79-7975d6cbd26c","boolean","[]","BiomedicalConceptProperty_5","True"
"Severity of Adverse Event","Severity of Adverse Event","True","170ce4b8-cb15-447f-bef9-73e2983d03c0","string","[]","BiomedicalConceptProperty_6","True"
"Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","True","c2c1c472-3a4f-40d4-a3dd-501ab7b314c8","string","[]","BiomedicalConceptProperty_7","True"
"Seriousness of Adverse Event","Seriousness of Adverse Event","True","cdc1bb39-5156-4328-bcea-a0187fff7413","boolean","[]","BiomedicalConceptProperty_8","True"
"Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","True","cf3fd250-ac10-4abb-87e6-12fd1fa2c023","string","","BiomedicalConceptProperty_9","True"
"Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","True","58ef4eef-0190-4334-8d85-4c22729d711b","string","[]","BiomedicalConceptProperty_10","True"
"Adverse Event Pattern","Adverse Event Pattern","True","ca7f4e4c-e734-4e35-9dfc-750eaaf31d05","string","[]","BiomedicalConceptProperty_11","True"
"Adverse Event Outcome","Adverse Event Outcome","True","6efd2ef1-2fc3-438f-965a-2185f1982482","string","","BiomedicalConceptProperty_12","True"
"Adverse Event Start Date Time","Adverse Event Start Date Time","True","7fd3c21e-274c-490b-9739-1cfc6d55ccaf","datetime","[]","BiomedicalConceptProperty_13","True"
"Adverse Event End Date Time","Adverse Event End Date Time","True","dbb3b41b-b1ce-466c-bcb4-423e34268f91","datetime","[]","BiomedicalConceptProperty_14","True"
"Vital Signs Result","Vital Signs Result","True","427c8fbb-be50-4e0d-9520-28bd905e4dc2","decimal","[]","BiomedicalConceptProperty_15","True"
"Unit of Pressure","Unit of Pressure","True","e1e4c138-6688-4921-ab66-602f88683502","string","","BiomedicalConceptProperty_16","True"
"Vital Signs Location","Vital Signs Location","True","bae009e8-1b2e-4dc9-a906-6cd96d9f55f8","string","[]","BiomedicalConceptProperty_17","True"
"Vital Signs Laterality","Vital Signs Laterality","True","e578b651-dff1-4a77-992c-a89fd7d6eb2e","string","[]","BiomedicalConceptProperty_18","True"
"Test Method","Test Method","True","bb0945b7-0e1f-41ce-9387-ce84391029ac","string","[]","BiomedicalConceptProperty_19","True"
"Vital Signs Position","Vital Signs Position","True","8ac8befa-8668-4413-957e-8831d524f862","string","[]","BiomedicalConceptProperty_20","True"
"Vital Signs Result","Vital Signs Result","True","1c6c95f9-8fc2-45ed-8731-9600890fadf7","decimal","[]","BiomedicalConceptProperty_21","True"
"Unit of Pressure","Unit of Pressure","True","be85b077-5872-4d4d-890e-d2f37b301ca2","string","","BiomedicalConceptProperty_22","True"
"Vital Signs Location","Vital Signs Location","True","552d6bc2-789d-448f-be7d-c695f78e029c","string","[]","BiomedicalConceptProperty_23","True"
"Vital Signs Laterality","Vital Signs Laterality","True","791de23a-77ad-4f29-9dbb-970a56a48171","string","[]","BiomedicalConceptProperty_24","True"
"Test Method","Test Method","True","61567296-b8ac-4d1e-8e74-69c2a91f2372","string","[]","BiomedicalConceptProperty_25","True"
"Vital Signs Position","Vital Signs Position","True","544f29c3-6f9a-4012-8d24-558213312da1","string","[]","BiomedicalConceptProperty_26","True"
"Vital Signs Result","Vital Signs Result","True","911e1935-bd9c-4b5e-b72f-b50065aefed6","decimal","[]","BiomedicalConceptProperty_27","True"
"Unit of Temperature","Unit of Temperature","True","7628d042-5238-4b5e-97c3-235efa550244","string","","BiomedicalConceptProperty_28","True"
"Vital Signs Location","Vital Signs Location","True","9649abb9-c85a-44f9-b415-579120a6a04d","string","[]","BiomedicalConceptProperty_29","True"
"Vital Signs Result","Vital Signs Result","True","f1ae1a54-6eec-44ff-a70a-b33648f822ee","decimal","[]","BiomedicalConceptProperty_30","True"
"Unit of Weight","Unit of Weight","True","5fbc18a4-543d-44c5-93ee-93dd25dd835b","string","","BiomedicalConceptProperty_31","True"
"Vital Signs Result","Vital Signs Result","True","8530ca58-c855-4d1d-95d4-e705fdea2c22","decimal","[]","BiomedicalConceptProperty_32","True"
"Unit of Height","Unit of Height","True","c668a5ca-63c5-4c6d-9fff-1bcef230e422","string","","BiomedicalConceptProperty_33","True"
"Laboratory Test Result","Laboratory Test Result","True","9b3065c4-6791-460c-9c6e-5d9a5fff560c","decimal","[]","BiomedicalConceptProperty_34","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","a1f1f20c-31ee-4dce-84a4-379fbe77b16f","boolean","[]","BiomedicalConceptProperty_35","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","e8fee209-33a3-4908-ac21-1af62c296c6a","string","[]","BiomedicalConceptProperty_36","True"
"Biospecimen Type","Biospecimen Type","True","f2c1d678-5383-48a0-8291-c0501df08c70","string","[]","BiomedicalConceptProperty_37","True"
"Laboratory Test Result","Laboratory Test Result","True","1a2d50f2-6a79-46a3-ada9-42baabf7dc84","string","[]","BiomedicalConceptProperty_38","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","61e88371-9a39-450c-88e5-66002cd6a04f","boolean","[]","BiomedicalConceptProperty_39","True"
"Unit of Concentration","Unit of Concentration","True","0d44aa98-2f43-43cd-ad09-b94d106992f8","string","[]","BiomedicalConceptProperty_40","True"
"Biospecimen Type","Biospecimen Type","True","971e3ea3-15cd-4c99-8ee2-ee93ac7d4852","string","[]","BiomedicalConceptProperty_41","True"
"Laboratory Test Result","Laboratory Test Result","True","ac9e2e27-06aa-44ae-aec8-fd77dd1f0489","decimal","[]","BiomedicalConceptProperty_42","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","d3a07259-6086-43cb-9f1d-724ceabeae8c","boolean","[]","BiomedicalConceptProperty_43","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","e685a544-11e8-42a7-94fd-5e0adc616106","string","[]","BiomedicalConceptProperty_44","True"
"Biospecimen Type","Biospecimen Type","True","e139cd47-5c3f-4601-b44d-c6bbd96c6839","string","[]","BiomedicalConceptProperty_45","True"
"Laboratory Test Result","Laboratory Test Result","True","f3e3de1b-79a7-430b-8962-e6695c0a55de","decimal","[]","BiomedicalConceptProperty_46","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","73faa4b9-f4bf-405e-a9c9-1d03cb373fd9","boolean","[]","BiomedicalConceptProperty_47","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","615e63d0-5f83-4535-80e3-116fef2450f0","string","[]","BiomedicalConceptProperty_48","True"
"Biospecimen Type","Biospecimen Type","True","3785c18b-d744-43c4-b60e-d0bf895113d3","string","[]","BiomedicalConceptProperty_49","True"
"Laboratory Test Result","Laboratory Test Result","True","8d6caa17-f73e-4009-92d0-414b060ac52c","string","[]","BiomedicalConceptProperty_50","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","d9836e8f-297b-4b6c-93cf-4350526f56f4","boolean","[]","BiomedicalConceptProperty_51","True"
"Unit of Concentration","Unit of Concentration","True","52e819b4-b79e-49d0-8df8-f617bff68fb7","string","[]","BiomedicalConceptProperty_52","True"
"Biospecimen Type","Biospecimen Type","True","c1f8a33c-4287-4768-bf14-a6735ba5de92","string","[]","BiomedicalConceptProperty_53","True"
"Laboratory Test Result","Laboratory Test Result","True","ad90cdc5-93dc-4d32-8157-1861ce9fdd1c","decimal","[]","BiomedicalConceptProperty_54","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","73995d7a-764b-4ffa-830b-0638b26d6f76","boolean","[]","BiomedicalConceptProperty_55","True"
"Molarity Unit","Molarity Unit","True","ee7ab5a7-9a69-4f10-8dbd-e74c38905d40","string","[]","BiomedicalConceptProperty_56","True"
"Biospecimen Type","Biospecimen Type","True","262f5a16-9e70-4e05-9f35-52792d9b8f95","string","[]","BiomedicalConceptProperty_57","True"
"Laboratory Test Result","Laboratory Test Result","True","fb5089f0-3f4a-48cc-bc33-7e7ab4266e89","decimal","[]","BiomedicalConceptProperty_58","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","b5c811db-8902-48fa-b25e-f4c76ec34a07","boolean","[]","BiomedicalConceptProperty_59","True"
"Molarity Unit","Molarity Unit","True","804feadd-665f-464a-b4c4-128dcf1001d9","string","[]","BiomedicalConceptProperty_60","True"
"Biospecimen Type","Biospecimen Type","True","36e05010-0559-4cd8-9c23-ac63554c35ae","string","[]","BiomedicalConceptProperty_61","True"
"Vital Signs Result","Vital Signs Result","True","e03575c1-d334-401d-a907-0b20eb266d2c","decimal","[]","BiomedicalConceptProperty_62","True"
"Unit of Pressure","Unit of Pressure","True","043a9486-52d6-4450-9244-3a83a006dcaa","string","","BiomedicalConceptProperty_63","True"
"Vital Signs Location","Vital Signs Location","True","089bd4bb-0d57-42c3-8883-941b672d4d4c","string","[]","BiomedicalConceptProperty_64","True"
"Vital Signs Laterality","Vital Signs Laterality","True","198355f9-3f39-446b-b09b-0a1bcb2f59cb","string","[]","BiomedicalConceptProperty_65","True"
"Test Method","Test Method","True","0e671a27-69ae-48b5-8633-d87b41dc29e5","string","[]","BiomedicalConceptProperty_66","True"
"Vital Signs Position","Vital Signs Position","True","c4a83c03-9f10-4471-a180-31e500f059f2","string","[]","BiomedicalConceptProperty_67","True"
"Vital Signs Result","Vital Signs Result","True","ce9f0210-9fa0-4d0c-a603-97b7a79dd845","decimal","[]","BiomedicalConceptProperty_68","True"
"Unit of Pressure","Unit of Pressure","True","d343f2f1-3ce6-47fe-b967-6aa894d4ae32","string","","BiomedicalConceptProperty_69","True"
"Vital Signs Location","Vital Signs Location","True","360e505a-0d89-496d-b9ad-d37d21e684ca","string","[]","BiomedicalConceptProperty_70","True"
"Vital Signs Laterality","Vital Signs Laterality","True","8f58d659-4193-46af-b59f-bcd1830a55f5","string","[]","BiomedicalConceptProperty_71","True"
"Test Method","Test Method","True","c500c895-bc26-429f-bc7f-a2571d7b25dc","string","[]","BiomedicalConceptProperty_72","True"
"Vital Signs Position","Vital Signs Position","True","20f1336d-5a5a-4189-8bc5-3702dbdd0185","string","[]","BiomedicalConceptProperty_73","True"
"Vital Signs Result","Vital Signs Result","True","7b2ab337-c188-4287-aee9-c80ca3c06d0f","decimal","[]","BiomedicalConceptProperty_74","True"
"Unit of Pressure","Unit of Pressure","True","2ae6355d-c8aa-4294-8120-73d46d7f7f0e","string","","BiomedicalConceptProperty_75","True"
"Vital Signs Location","Vital Signs Location","True","ad872380-4bb8-4365-a6ce-e3536132aa07","string","[]","BiomedicalConceptProperty_76","True"
"Vital Signs Laterality","Vital Signs Laterality","True","b9e4a4e6-6d8c-4826-ab03-485f733022e1","string","[]","BiomedicalConceptProperty_77","True"
"Test Method","Test Method","True","1eb762d7-edde-46e9-b7fa-509368496f71","string","[]","BiomedicalConceptProperty_78","True"
"Vital Signs Position","Vital Signs Position","True","d6b50cab-3efe-4c1d-8793-5bbc14d27223","string","[]","BiomedicalConceptProperty_79","True"
"Vital Signs Result","Vital Signs Result","True","9ebb4224-9d2f-47ac-acc4-0ca7ea180c7f","decimal","[]","BiomedicalConceptProperty_80","True"
"Unit of Pressure","Unit of Pressure","True","3ac042e6-ad19-43ea-83ab-5fbaecc36755","string","","BiomedicalConceptProperty_81","True"
"Vital Signs Location","Vital Signs Location","True","a8365771-ca76-4738-984b-7472a520ffcd","string","[]","BiomedicalConceptProperty_82","True"
"Vital Signs Laterality","Vital Signs Laterality","True","6a350953-4d3f-410b-838e-96b363d81956","string","[]","BiomedicalConceptProperty_83","True"
"Test Method","Test Method","True","6e56f92e-1002-4cbb-8546-250dc5325874","string","[]","BiomedicalConceptProperty_84","True"
"Vital Signs Position","Vital Signs Position","True","f88fe35c-fa6e-48e5-876a-55013355fb58","string","[]","BiomedicalConceptProperty_85","True"
