"label","name","uuid:ID","bcReference","id","bcSynonyms"
"Adverse Event","Adverse Event","ca6c3a59-01c3-437e-a208-bf945a383f95","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']"
"Systolic Blood Pressure","Systolic Blood Pressure","4874f033-a3f4-43b3-9d57-869751c64c10","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']"
"Diastolic Blood Pressure","Diastolic Blood Pressure","843863ee-0de1-47ef-b316-74c01fcb7045","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']"
"Body Temperature","Body Temperature","fab047df-d397-48e3-90e7-1d17fe7f5e08","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']"
"Body Weight","Body Weight","7302f735-242e-4821-a0dc-2f9f4e5ae030","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']"
"Body Height","Body Height","501654cb-fb38-4575-a0b7-682689dab8c6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","b17e2634-4688-4d77-bc64-cec0727f0e4c","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']"
"Albumin Measurement","Albumin Measurement","7978e66d-4694-49e9-ba4b-136af1a5b292","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","16c3ebc5-a914-4761-9aed-1876f5699781","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","5ab647fb-85b2-4a87-b4a1-a749a99d596a","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']"
"Creatinine Measurement","Creatinine Measurement","6be99e02-15d0-4574-aa9a-9c3efeb3f38c","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']"
"Potassium Measurement","Potassium Measurement","bad4283a-f09f-4093-9f79-b5b3822a4815","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']"
"Sodium Measurement","Sodium Measurement","07e1ef54-c435-4a98-a137-fb6b29577bcb","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']"
"Systolic Blood Pressure","Systolic Blood Pressure","fe3a01e7-1591-4d0f-be72-f9b41280049e","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']"
"Diastolic Blood Pressure","Diastolic Blood Pressure","258584c4-5dae-4e57-877b-4cd10c15d002","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']"
"Systolic Blood Pressure","Systolic Blood Pressure","1b043ec3-c56e-425b-af9c-a30c95bb2f44","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_16","['SYSBP']"
"Diastolic Blood Pressure","Diastolic Blood Pressure","bcb5e026-1bda-4285-a651-a0da7c0ed505","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_17","['DIABP']"
