"name","sectionNumber","uuid:ID","sectionTitle","text","id"
"SECTION 4.2","4.2","7ea64620-74bc-4e97-9afd-ee3131c0519f","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15"
"SECTION 4.2.1","4.2.1","10ee2391-1452-4c32-a718-4318b94fbf84","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16"
"SECTION 4.2.2","4.2.2","1950b9db-450a-4231-80ce-409619522a6b","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17"
"SECTION 4.2.3","4.2.3","9a6a8e96-a974-4fe1-a39b-de8b24d9d0d3","Other Trial Design Considerations","<div></div>","NarrativeContent_18"
"SECTION 4.3","4.3","295188b3-647e-47bd-abe4-a7e8a4aaed89","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19"
"SECTION 4.4","4.4","d8bc87ce-32d2-4b82-acd3-b672291c7bbf","Start of Trial and End of Trial","<div></div>","NarrativeContent_20"
"SECTION 5","5","05047766-de1b-4abe-be14-c874d9e3aad6","TRIAL POPULATION","<div></div>","NarrativeContent_21"
"SECTION 5.1","5.1","25132790-e412-4211-abb3-6d40553ed24f","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22"
"SECTION 5.2","5.2","1bec8a5c-5a04-48ca-a960-c74829db8975","Rationale for Trial Population","<div></div>","NarrativeContent_23"
"SECTION 5.3","5.3","bdaba011-0527-4678-b613-056fe95797e1","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24"
"SECTION 5.4","5.4","c11b8de0-42e6-41ca-9728-8dd3cacf8330","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25"
"SECTION 5.5","5.5","51196695-11f6-46ea-bf06-fa92a850d6df","Lifestyle Considerations","<div></div>","NarrativeContent_26"
"SECTION 5.5.1","5.5.1","72d3e36a-d86c-4d60-9952-e2cae6c7e20c","Meals and Dietary Restrictions","<div></div>","NarrativeContent_27"
"SECTION 5.5.2","5.5.2","41efaabf-c4b3-4c86-8d24-3e307006eff5","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","NarrativeContent_28"
"SECTION 5.5.3","5.5.3","8dacfc12-9786-4a06-8286-8ab692bf5c9e","Physical Activity","<div></div>","NarrativeContent_29"
"SECTION 5.5.4","5.5.4","27dcea40-4ad8-49f2-9e73-d933061293ed","Other Activity","<div></div>","NarrativeContent_30"
"SECTION 5.6","5.6","d9b3776a-f5c0-4d36-8c24-b9bb53bc3fd8","Screen Failures","<div></div>","NarrativeContent_31"
"SECTION 6","6","5163915b-e58d-4a77-bccc-d3e1fae9a7ce","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","NarrativeContent_32"
"SECTION 6.1","6.1","3c50ea8c-b1f9-4f3d-a09c-02821dc21b07","Description of Trial Intervention","<div></div>","NarrativeContent_33"
"SECTION 6.2","6.2","652054d7-1453-4531-8e0f-5f36f7564913","Rationale for Trial Intervention","<div></div>","NarrativeContent_34"
"SECTION 6.3","6.3","f5a8ab62-17bc-443e-968e-a44177e4253a","Dosing and Administration","<div></div>","NarrativeContent_35"
"SECTION 6.3.1","6.3.1","06680cf5-e233-4561-a769-fbb4c9bbe915","Trial Intervention Dose Modification","<div></div>","NarrativeContent_36"
"SECTION 6.4","6.4","d78f6760-ba42-433d-93be-e4820e1e7442","Treatment of Overdose","<div></div>","NarrativeContent_37"
"SECTION 6.5","6.5","06eb0232-d988-4b37-a108-1c8ba4b91bb1","Preparation, Handling, Storage and Accountability","<div></div>","NarrativeContent_38"
"SECTION 6.5.1","6.5.1","c2d1a6d3-1d35-4a5e-85c5-b1aecf08ccd2","Preparation of Trial Intervention","<div></div>","NarrativeContent_39"
"SECTION 6.5.2","6.5.2","03fa23c6-3bc4-420f-b481-a7925ca2f5bd","Handling and Storage of Trial Intervention","<div></div>","NarrativeContent_40"
"SECTION 6.5.3","6.5.3","be45b974-8b30-4191-b58c-ac3333bb534f","Accountability of Trial Intervention","<div></div>","NarrativeContent_41"
"SECTION 6.6","6.6","6ffa19cf-9df1-4c22-8644-200afd16452d","Participant Assignment, Randomisation and Blinding","<div></div>","NarrativeContent_42"
"SECTION 6.6.1","6.6.1","2b79a55d-bd3a-4d43-89d2-d89258ab10a4","Participant Assignment","<div></div>","NarrativeContent_43"
"SECTION 6.6.2","6.6.2","32499e4b-af58-425d-845e-4f1aab8b396e","Randomisation","<div></div>","NarrativeContent_44"
"SECTION 6.6.3","6.6.3","a4dbad31-18c2-4081-8adf-123570c6c5fb","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45"
"SECTION 6.7","6.7","9bec77ba-02d3-46b0-b445-e2ad1ca834b9","Trial Intervention Compliance","<div></div>","NarrativeContent_46"
"SECTION 6.8","6.8","30f193d9-0d43-4c3f-b510-47d9334ecdb9","Concomitant Therapy","<div></div>","NarrativeContent_47"
"SECTION 6.8.1","6.8.1","d8276ce2-8991-41ce-8e08-26f5f6cd3c4d","Prohibited Concomitant Therapy","<div></div>","NarrativeContent_48"
"SECTION 6.8.2","6.8.2","d55bab53-2e88-464e-a3e4-eb087caef329","Permitted Concomitant Therapy","<div></div>","NarrativeContent_49"
"SECTION 6.8.3","6.8.3","2f3cbaab-b1d7-4501-a07a-afde3727b224","Rescue Therapy","<div></div>","NarrativeContent_50"
"SECTION 6.8.4","6.8.4","7e2215fd-7832-4c5a-9fd1-6aaa9a080f8b","Other Therapy","<div></div>","NarrativeContent_51"
"SECTION 7","7","9dd5771c-d5f3-4ec6-a884-a841cfdd6b49","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","NarrativeContent_52"
"SECTION 7.1","7.1","e3f768dc-ea86-49cf-ab8e-4c282f2931a7","Discontinuation of Trial Intervention","<div></div>","NarrativeContent_53"
"SECTION 7.1.1","7.1.1","b4f2ac4f-b2c9-4e9b-a8c3-87998ddaf5c0","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","NarrativeContent_54"
"SECTION 7.1.2","7.1.2","ebdc88f6-d791-4798-bc62-3f1fa4e92b30","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","NarrativeContent_55"
"SECTION 7.1.3","7.1.3","f2fbb7b9-99e1-482b-82a2-79051eaf38a8","Rechallenge","<div></div>","NarrativeContent_56"
"SECTION 7.2","7.2","fbfe385c-3b4f-4fe0-b92a-2b5fabeeb45e","Participant Withdrawal from the Trial","<div></div>","NarrativeContent_57"
"SECTION 7.3","7.3","b39c9d37-86f8-4521-9e82-98645f3b5767","Lost to Follow-Up","<div></div>","NarrativeContent_58"
"SECTION 7.4","7.4","0d601166-5a0a-4d43-9493-0f4aa950fbc9","Trial Stopping Rules","<div></div>","NarrativeContent_59"
"SECTION 8","8","0d127d99-97a1-4803-82ce-8189dfcf4d97","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","NarrativeContent_60"
"SECTION 8.1","8.1","0bb42e32-11f6-4d0b-9c9d-0653949b3c88","Screening/Baseline Assessments and Procedures","<div></div>","NarrativeContent_61"
"SECTION 8.2","8.2","4cc20502-de79-4c9d-a517-d0da297d5d9f","Efficacy Assessments and Procedures","<div></div>","NarrativeContent_62"
"SECTION 8.3","8.3","00a39e55-c593-491e-a790-3152f7ecc61f","Safety Assessments and Procedures","<div></div>","NarrativeContent_63"
"SECTION 8.3.1","8.3.1","e74af284-ba84-409d-a495-a9ffe7eb7df9","Physical Examination","<div></div>","NarrativeContent_64"
"SECTION 8.3.2","8.3.2","d6add389-0e10-4da3-8223-7253729665fc","Vital Signs","<div></div>","NarrativeContent_65"
"SECTION 8.3.3","8.3.3","3ed0abbf-6beb-46f0-a944-f3c87b9ee716","Electrocardiograms","<div></div>","NarrativeContent_66"
"SECTION 8.3.4","8.3.4","7d493052-2a28-4bc4-ad2d-3d1b35f14cda","Clinical Laboratory Assessments","<div></div>","NarrativeContent_67"
"SECTION 8.3.5","8.3.5","200d8892-90ca-4a00-a156-513123ea1df0","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","NarrativeContent_68"
"SECTION 8.4","8.4","3f2164b0-e931-475c-af60-2be08e6a4936","Adverse Events and Serious Adverse Events","<div></div>","NarrativeContent_69"
"SECTION 8.4.1","8.4.1","368e4af7-45d1-4dab-aac7-65651b94909e","Definitions of AE and SAE","<div></div>","NarrativeContent_70"
"SECTION 8.4.2","8.4.2","54462fcc-4c9e-43fa-8e9a-6632caaf5b13","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","NarrativeContent_71"
"SECTION 8.4.3","8.4.3","1e85a142-adaa-4606-a4a7-5f1604de2451","Identifying AEs and SAEs","<div></div>","NarrativeContent_72"
"SECTION 8.4.4","8.4.4","57a94c2c-8a06-45c3-8e47-a5d0634e2ef5","Recording of AEs and SAEs","<div></div>","NarrativeContent_73"
"SECTION 8.4.5","8.4.5","7c10bd31-1c64-4524-95e6-e4ecdb8ed321","Follow-up of AEs and SAEs","<div></div>","NarrativeContent_74"
"SECTION 8.4.6","8.4.6","2b52cb97-05c8-4819-a105-8123acfda771","Reporting of SAEs","<div></div>","NarrativeContent_75"
"SECTION 8.4.7","8.4.7","306004a3-bed9-4ed5-bf2c-306b5f318aaa","Regulatory Reporting Requirements for SAEs","<div></div>","NarrativeContent_76"
"SECTION 8.4.8","8.4.8","89e050c3-188d-41aa-ab50-db954b87fa5f","Serious and Unexpected Adverse Reaction Reporting","<div></div>","NarrativeContent_77"
"SECTION 8.4.9","8.4.9","31e7fc3a-c750-4fb3-b6fa-54745645040b","Adverse Events of Special Interest","<div></div>","NarrativeContent_78"
"SECTION 8.4.10","8.4.10","6e128989-2b2a-4c16-8d29-979e0a33379a","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","NarrativeContent_79"
"SECTION 8.5","8.5","a387007c-0716-4afd-b43d-b5f4837b4549","Pregnancy and Postpartum Information","<div></div>","NarrativeContent_80"
"SECTION 8.5.1","8.5.1","9e12d779-8677-4a05-8df3-ab44e0d00e79","Participants Who Become Pregnant During the Trial","<div></div>","NarrativeContent_81"
"SECTION 8.5.2","8.5.2","b1f9e29f-6b79-41a2-8e91-6e7ab347edd7","Participants Whose Partners Become Pregnant","<div></div>","NarrativeContent_82"
"SECTION 8.6","8.6","4fbf6616-a4f0-46de-b853-fd513496ec68","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","NarrativeContent_83"
"SECTION 8.6.1","8.6.1","4cb37215-fba5-4994-9e18-74bc5778d5e5","Definition of Medical Device Product Complaints","<div></div>","NarrativeContent_84"
"SECTION 8.6.2","8.6.2","31c409c5-bba2-44d5-a07a-27eac46b319d","Recording of Medical Device Product Complaints","<div></div>","NarrativeContent_85"
"SECTION 8.6.3","8.6.3","fba75e22-f788-4e46-a6ca-c9a658a65dd6","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","NarrativeContent_86"
"SECTION 8.6.4","8.6.4","0fde4011-aae9-43ce-a3f3-073a5c6bcb8c","Follow-Up of Medical Device Product Complaints","<div></div>","NarrativeContent_87"
"SECTION 8.6.5","8.6.5","cce48bdf-628d-4bfc-a90c-b8cf9bd38544","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","NarrativeContent_88"
"SECTION 8.7","8.7","755c18fe-cff9-41ba-96e0-c99cc71be9ea","Pharmacokinetics","<div></div>","NarrativeContent_89"
"SECTION 8.8","8.8","5450f1c2-624b-4de3-bc52-b892d55f63a7","Genetics","<div></div>","NarrativeContent_90"
"SECTION 8.9","8.9","1f5aefb3-22ac-4094-af87-203bf9925fc1","Biomarkers","<div></div>","NarrativeContent_91"
"SECTION 8.1","8.1","daf8fcf7-48df-48fa-84ed-d793c8f79267","Immunogenicity Assessments","<div></div>","NarrativeContent_92"
"SECTION 8.1.1","8.1.1","e8b78d39-43e1-4f8e-b933-443b8aa7b292","Medical Resource Utilisation and Health Economics","<div></div>","NarrativeContent_93"
"SECTION 9","9","b0b423ff-f14a-4e8e-8962-0a465ffbdaa4","STATISTICAL CONSIDERATIONS","<div></div>","NarrativeContent_94"
"SECTION 9.1","9.1","101edc2e-3071-47ff-b148-f9d98cbfa562","Analysis Sets","<div></div>","NarrativeContent_95"
"SECTION 9.2","9.2","96637749-767a-4bd5-9356-d5656edd3d24","Analyses Supporting Primary Objective(s)","<div></div>","NarrativeContent_96"
"SECTION 9.2.1","9.2.1","d17aee63-0029-455e-84f5-b2d69e4a7b56","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","NarrativeContent_97"
"SECTION 9.2.2","9.2.2","b4660260-18f8-41e1-8735-b7b05b9742e8","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","NarrativeContent_98"
"SECTION 9.2.3","9.2.3","53bc9b5d-abe3-4def-b629-ef9e811a05ec","Handling of Missing Data","<div></div>","NarrativeContent_99"
"SECTION 9.2.4","9.2.4","28b5fe97-dfe3-4e75-ba5d-a58a2544e4d1","Sensitivity Analysis","<div></div>","NarrativeContent_100"
"SECTION 9.2.5","9.2.5","37d6c54b-20cf-4a07-b7fb-5b1c5c17ba75","Supplementary Analysis","<div></div>","NarrativeContent_101"
"SECTION 9.3","9.3","e137d416-2938-4cc5-a704-742bdd66be94","Analysis Supporting Secondary Objective(s)","<div></div>","NarrativeContent_102"
"SECTION 9.4","9.4","96f57c9c-1b15-4320-8899-a12c6ed8bf87","Analysis of Exploratory Objective(s)","<div></div>","NarrativeContent_103"
"SECTION 9.5","9.5","63838ae9-bb60-47ac-bfbc-f2ebecc9e253","Safety Analyses","<div></div>","NarrativeContent_104"
"SECTION 9.6","9.6","c81d72dd-110d-458e-b1d2-152a9970cc61","Other Analyses","<div></div>","NarrativeContent_105"
"SECTION 9.7","9.7","bc46ff48-a73f-498d-ad3a-81ad4bf2a84a","Interim Analyses","<div></div>","NarrativeContent_106"
"SECTION 9.8","9.8","ba27ffb3-ec7a-463d-bb79-fd829be12ab5","Sample Size Determination","<div></div>","NarrativeContent_107"
"SECTION 9.9","9.9","7f5d65ad-d277-4106-a704-942ddcabdeed","Protocol Deviations","<div></div>","NarrativeContent_108"
"SECTION 10","10","e786f82b-9f91-4d7b-8835-8eb06f1c0ee6","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","NarrativeContent_109"
"SECTION 10.1","10.1","a5b3e2d8-fd2a-486f-9dca-b2a09780d305","Regulatory and Ethical Considerations","<div></div>","NarrativeContent_110"
"SECTION 10.2","10.2","f55191c2-ec6b-4179-afb8-0c7c18895230","Committees","<div></div>","NarrativeContent_111"
"SECTION 10.3","10.3","2c683eb7-b3aa-49cc-92e1-810b283fe722","Informed Consent Process","<div></div>","NarrativeContent_112"
"SECTION 10.4","10.4","568eacbb-d7a5-4279-8e52-794e1376a811","Data Protection","<div></div>","NarrativeContent_113"
"SECTION 10.5","10.5","5e5c6504-b737-4782-8e01-bd7f8ef3b017","Early Site Closure or Trial Termination","<div></div>","NarrativeContent_114"
"SECTION 11","11","65792e26-4591-4a1d-ba05-54eb5f9b2ebb","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","NarrativeContent_115"
"SECTION 11.1","11.1","a668fad4-9a4a-4fd7-aaac-c536673b8940","Quality Tolerance Limits","<div></div>","NarrativeContent_116"
"SECTION 11.2","11.2","8b8744a3-8694-4f33-b3d4-b05eff7d91c6","Data Quality Assurance","<div></div>","NarrativeContent_117"
"SECTION 11.3","11.3","c9c7033f-b058-44a6-b175-dafdeac81bb2","Source Data","<div></div>","NarrativeContent_118"
"SECTION 12","12","e5a64224-96f6-4292-9425-3f92193ea281","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","NarrativeContent_119"
"SECTION 12.1","12.1","b6c0ca36-d8e2-4e0d-81bb-68a70d389d91","Further Details and Clarifications on the AE Definition","<div></div>","NarrativeContent_120"
"SECTION 12.2","12.2","e3190a43-d814-4178-a9a0-ded2b3c8a778","Further Details and Clarifications on the SAE Definition","<div></div>","NarrativeContent_121"
"SECTION 12.3","12.3","1ad465bd-370f-4386-92d2-b911e7b70a7d","Severity","<div></div>","NarrativeContent_122"
"SECTION 12.4","12.4","b64a0f2c-62fe-477a-8dc9-59a6f6660cb8","Causality","<div></div>","NarrativeContent_123"
"SECTION 13","13","8f987140-a9b3-4da4-b248-a0200cf497de","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","NarrativeContent_124"
"SECTION 13.1","13.1","12e19cc1-7f6d-4d1a-8437-e334c0233d17","Contraception and Pregnancy Testing","<div></div>","NarrativeContent_125"
"SECTION 13.1.1","13.1.1","472802c2-3353-4e9d-9a53-e4eafaeb10e2","Definitions Related to Childbearing Potential","<div></div>","NarrativeContent_126"
"SECTION 13.1.2","13.1.2","cdc981c8-bf39-409d-9151-8824ba0b3ce2","Contraception","<div></div>","NarrativeContent_127"
"SECTION 13.1.3","13.1.3","b41f1b04-c789-470a-8d3c-4a88a4c8c90b","Pregnancy Testing","<div></div>","NarrativeContent_128"
"SECTION 13.2","13.2","3b95745f-6c60-47c1-a729-91a55e7b46d6","Clinical Laboratory Tests","<div></div>","NarrativeContent_129"
"SECTION 13.3","13.3","9f751550-12f5-45d9-853b-ad409b8294ff","Country/Region-Specific Differences","<div></div>","NarrativeContent_130"
"SECTION 13.4","13.4","ccfb7ee6-e07d-4e5e-a23d-d80424dcd3a0","Prior Protocol Amendments","<div></div>","NarrativeContent_131"
"SECTION 14","14","dabe70b8-26dc-4f7a-81df-5ee4e899521d","APPENDIX: GLOSSARY OF TERMS","<div></div>","NarrativeContent_132"
"SECTION 15","15","bfce2c9c-cdd9-4db2-948b-dcf90dfad6a7","APPENDIX: REFERENCES","<div></div>","NarrativeContent_133"
