"id","text","sectionTitle","name","sectionNumber","uuid:ID"
"NarrativeContent_90","<div></div>","Biomarkers","SECTION 8.9","8.9","4ec8433f-6b48-479c-a382-d204ca81a646"
"NarrativeContent_91","<div></div>","Immunogenicity Assessments","SECTION 8.1","8.1","0f43d622-4ccc-4f22-bb89-ede34915505b"
"NarrativeContent_92","<div></div>","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","8.1.1","12d8a318-0ce5-4bfa-b106-8102c47c599e"
"NarrativeContent_93","<div></div>","STATISTICAL CONSIDERATIONS","SECTION 9","9","e209ca55-8d4f-4fa6-b76e-ae93bab50889"
"NarrativeContent_94","<div></div>","Analysis Sets","SECTION 9.1","9.1","42df4b38-2e9e-473e-9cca-45d78d93ea0c"
"NarrativeContent_95","<div></div>","Analyses Supporting Primary Objective(s)","SECTION 9.2","9.2","a659ddf0-6a06-4d70-9996-18ffbd3fce8e"
"NarrativeContent_96","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","9.2.1","c8640a1b-b9c9-430e-9d69-d76b0dcfe888"
"NarrativeContent_97","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","9.2.2","5076973a-b490-4c0f-b7b6-2f595bcef2ef"
"NarrativeContent_98","<div></div>","Handling of Missing Data","SECTION 9.2.3","9.2.3","e6e6b927-f230-476a-85b3-bbeb519c4606"
"NarrativeContent_99","<div></div>","Sensitivity Analysis","SECTION 9.2.4","9.2.4","0a18e67c-ab77-440f-a6ea-2a530882d797"
"NarrativeContent_100","<div></div>","Supplementary Analysis","SECTION 9.2.5","9.2.5","9c02bffd-7016-43cc-9ff1-06cc06978720"
"NarrativeContent_101","<div></div>","Analysis Supporting Secondary Objective(s)","SECTION 9.3","9.3","38724b96-5573-4bc7-8f37-d07ee0269385"
"NarrativeContent_102","<div></div>","Analysis of Exploratory Objective(s)","SECTION 9.4","9.4","7696a040-ba91-4bf5-beec-af96eb00c700"
"NarrativeContent_103","<div></div>","Safety Analyses","SECTION 9.5","9.5","266db433-5536-487e-af9d-87fb3b9af533"
"NarrativeContent_104","<div></div>","Other Analyses","SECTION 9.6","9.6","a803b5c1-1506-4429-ac98-ae9200b82d56"
"NarrativeContent_105","<div></div>","Interim Analyses","SECTION 9.7","9.7","257e3344-b77b-47e1-9288-0a9171fffaf0"
"NarrativeContent_106","<div></div>","Sample Size Determination","SECTION 9.8","9.8","59be51bc-b169-44e1-be9d-06364f63a4aa"
"NarrativeContent_107","<div></div>","Protocol Deviations","SECTION 9.9","9.9","3700f9bb-94fa-42ff-a52d-db464de5b745"
"NarrativeContent_108","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","10","222ee3b9-e389-46fb-9a23-1d31e79a83e7"
"NarrativeContent_109","<div></div>","Regulatory and Ethical Considerations","SECTION 10.1","10.1","c6c03fd9-e571-4c8a-ab6e-bb221607da92"
"NarrativeContent_110","<div></div>","Committees","SECTION 10.2","10.2","44e9c478-e51a-4184-a787-b19fd30f39a8"
"NarrativeContent_111","<div></div>","Informed Consent Process","SECTION 10.3","10.3","ca31cb54-273c-4d90-b42d-846eded2726b"
"NarrativeContent_112","<div></div>","Data Protection","SECTION 10.4","10.4","40981e96-3482-43d5-adbc-d5fad92c6626"
"NarrativeContent_113","<div></div>","Early Site Closure or Trial Termination","SECTION 10.5","10.5","1d503857-d0a7-4855-a63e-751dd5cae98d"
"NarrativeContent_114","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","11","b5a610df-16e2-4c5e-8fd4-91eaf5ea7496"
"NarrativeContent_115","<div></div>","Quality Tolerance Limits","SECTION 11.1","11.1","482ff2e7-5748-4fc9-9e99-88091e7f92e9"
"NarrativeContent_116","<div></div>","Data Quality Assurance","SECTION 11.2","11.2","1523aae6-efff-4f62-a790-3baf83b72c61"
"NarrativeContent_117","<div></div>","Source Data","SECTION 11.3","11.3","a4d0d44f-6f79-4369-9842-61eaee097b03"
"NarrativeContent_118","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","12","83d4bf42-280f-421c-994f-209d47a96293"
"NarrativeContent_119","<div></div>","Further Details and Clarifications on the AE Definition","SECTION 12.1","12.1","feec7ff8-21f6-4629-8a90-bb2edd826db8"
"NarrativeContent_120","<div></div>","Further Details and Clarifications on the SAE Definition","SECTION 12.2","12.2","9988d6ec-fb86-4323-91db-e75725b62f5e"
"NarrativeContent_121","<div></div>","Severity","SECTION 12.3","12.3","8e765195-77bf-4f59-a7fc-2108cdce3479"
"NarrativeContent_122","<div></div>","Causality","SECTION 12.4","12.4","3f055e39-7673-4a74-a913-00c418776b21"
"NarrativeContent_123","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","13","c8223525-8be9-4b54-a9e6-4dad05b75f30"
"NarrativeContent_124","<div></div>","Contraception and Pregnancy Testing","SECTION 13.1","13.1","6e1b5f24-4878-4156-9b60-9fcc94f3235e"
"NarrativeContent_125","<div></div>","Definitions Related to Childbearing Potential","SECTION 13.1.1","13.1.1","b6c307d8-e4c7-48cb-a2d7-5560a5715533"
"NarrativeContent_126","<div></div>","Contraception","SECTION 13.1.2","13.1.2","4231f896-ec5a-46a6-b56e-acd03fa85c2e"
"NarrativeContent_127","<div></div>","Pregnancy Testing","SECTION 13.1.3","13.1.3","2595ef28-f19e-4019-9ba1-71fbd5e45bee"
"NarrativeContent_128","<div></div>","Clinical Laboratory Tests","SECTION 13.2","13.2","b908c8d0-5a1b-48bb-8e1c-c3a34597f212"
"NarrativeContent_129","<div></div>","Country/Region-Specific Differences","SECTION 13.3","13.3","bef6d6f5-02bc-4aca-bb01-362fb32e35d7"
"NarrativeContent_130","<div></div>","Prior Protocol Amendments","SECTION 13.4","13.4","aeb8feed-3631-4fbf-957a-34e1b454375a"
"NarrativeContent_131","<div></div>","APPENDIX: GLOSSARY OF TERMS","SECTION 14","14","3fae7125-928d-4289-9be3-afb5626e93f1"
"NarrativeContent_132","<div></div>","APPENDIX: REFERENCES","SECTION 15","15","a4f9d7b7-6a68-4079-b5f6-d9bc9fd7c0f7"
