"name","bcPropertyRequired","id","uuid:ID","bcPropertyEnabled","label","bcPropertyDatatype"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_44","daee9cad-91d8-4156-8160-a5d13a534119","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_45","ea30e8f2-4f2d-455a-ac36-d8a70ed0d1af","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_46","6e76544d-146a-4e82-8093-c46540aac082","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_47","13b6cb80-4a1a-43cb-8997-0cbaf7c679cf","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_48","38aa14da-2ba2-4b62-9a91-473ce814f96b","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_49","7dbc7c9f-f45e-4d5c-9acc-f205354f1c09","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_50","2a759260-8fc5-476d-9673-3c0710a354e6","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_51","565869dc-df1c-4e71-9b1d-f66f43cef775","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_52","15c56999-fece-480f-94b1-c388f7440f5a","True","Unit of Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_53","69c923ce-3597-49db-950f-b351ff0f6762","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_54","09053c79-6105-471d-9730-7f93a3d21004","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_55","07159f36-13a5-45a2-9a82-47259fcedca9","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_56","d379f877-47f2-406b-9970-7f390f9d85c3","True","Molarity Unit","string"
"Biospecimen Type","True","BiomedicalConceptProperty_57","fc5847c9-59af-47be-9cb0-86175514e853","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_58","16cea2ca-c691-4127-924a-8dcf07c004b3","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_59","0576e81d-0db7-49e9-9237-3ab6e1bc43c1","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_60","9e323f51-ab54-487c-bc21-3f616471fac6","True","Molarity Unit","string"
"Biospecimen Type","True","BiomedicalConceptProperty_61","05a041df-7017-4746-8c59-c5547e7aafbf","True","Biospecimen Type","string"
"Vital Signs Result","True","BiomedicalConceptProperty_62","857038e3-f79f-4a47-94ae-c4976f3d83b9","True","Vital Signs Result","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_63","c395466e-ea59-492f-97dc-23618b16a20c","True","Unit of Pressure","string"
"Vital Signs Location","True","BiomedicalConceptProperty_64","52d606b2-7e7d-4a5f-99d0-626b7dc2896c","True","Vital Signs Location","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_65","31030352-2977-4777-817b-822e2b62cb08","True","Vital Signs Laterality","string"
"Test Method","True","BiomedicalConceptProperty_66","3a4aa668-9478-49c9-9d0d-51bfa9023560","True","Test Method","string"
"Vital Signs Position","True","BiomedicalConceptProperty_67","a85cb5a5-b08b-4d84-a65b-56bfaf4b4bb2","True","Vital Signs Position","string"
"Vital Signs Result","True","BiomedicalConceptProperty_68","b4bbe6c3-57f1-4015-8227-b70fd20e0328","True","Vital Signs Result","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_69","55bf0586-6907-46d2-9d44-ec815f979c8e","True","Unit of Pressure","string"
"Vital Signs Location","True","BiomedicalConceptProperty_70","76221c4f-c1f7-4844-902b-77765484f086","True","Vital Signs Location","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_71","d90e5e4b-0d30-42a5-abba-fb8419d96648","True","Vital Signs Laterality","string"
"Test Method","True","BiomedicalConceptProperty_72","7c885f24-4f05-4548-bcc6-4aa99817e447","True","Test Method","string"
"Vital Signs Position","True","BiomedicalConceptProperty_73","d036e099-b5c9-4cf2-810d-53b1933ea6c2","True","Vital Signs Position","string"
"Vital Signs Result","True","BiomedicalConceptProperty_74","448c2d7d-a27f-4385-ac66-674a975a0f00","True","Vital Signs Result","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_75","d54c7703-c612-4b91-9ba0-3510ba817a51","True","Unit of Pressure","string"
"Vital Signs Location","True","BiomedicalConceptProperty_76","7da8cfca-1a65-46bd-a5a7-3ce6acc6c063","True","Vital Signs Location","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_77","863d10c8-9edd-49cd-9dbe-ab558925e263","True","Vital Signs Laterality","string"
"Test Method","True","BiomedicalConceptProperty_78","398f2ca3-c2e2-477b-9b77-536d387336a5","True","Test Method","string"
"Vital Signs Position","True","BiomedicalConceptProperty_79","0b112d44-d965-4979-83ca-310d31dbc3b8","True","Vital Signs Position","string"
"Vital Signs Result","True","BiomedicalConceptProperty_80","d2506519-425f-4c1b-b6d5-e3c97e6a8bb4","True","Vital Signs Result","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_81","b9633850-a7f4-4fa7-a37e-2d65f9b42e6a","True","Unit of Pressure","string"
"Vital Signs Location","True","BiomedicalConceptProperty_82","4c649d1d-7c0c-4ac1-ad84-c740dd19547e","True","Vital Signs Location","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_83","fc453bf6-dc64-463f-8d19-72d78d42678b","True","Vital Signs Laterality","string"
"Test Method","True","BiomedicalConceptProperty_84","e8aa836b-4830-4afe-86af-acd1c63bc803","True","Test Method","string"
"Vital Signs Position","True","BiomedicalConceptProperty_85","749ea74a-c3f1-4fa4-964a-76353e5956a7","True","Vital Signs Position","string"
