"codeSystemVersion","id","decode","code","uuid:ID","codeSystem"
"12","Code_115","Mild to Moderate Alzheimer\'s Disease","MILD_MOD_ALZ","317abae6-904c-435e-a82f-5f9af0ba176a","SPONSOR"
"January 31, 2018","Code_116","Alzheimer\'s disease","26929004","6ece5a3f-e61e-4a6d-ac9a-f83e36a5f8f0","SNOMED"
"2023-09-29","Code_122","Parallel Study","C82639","f3c83db1-5083-43df-8f4f-ffa02ea7cf00","http://www.cdisc.org"
"2023-09-29","Code_64","Visit","C25716","cbd9ba70-9af0-412f-a436-1b7d901f3c60","http://www.cdisc.org"
"2023-09-29","Code_65","Clinic","C51282","6404878a-0b12-4343-9421-153f8dc2f760","http://www.cdisc.org"
"2023-09-29","Code_66","In Person","C175574","e41be1fd-12e7-4f38-b4af-13e581e35271","http://www.cdisc.org"
"2023-09-29","Code_67","Visit","C25716","7d6bbb51-11a6-4da1-a8d0-85f456723b92","http://www.cdisc.org"
"2023-09-29","Code_68","Clinic","C51282","54401c6c-f569-45db-98df-e99e1cb45d0f","http://www.cdisc.org"
"2023-09-29","Code_69","In Person","C175574","6f6fd407-6c7b-4c8e-97b4-1b3aa8cc6b6e","http://www.cdisc.org"
"2023-09-29","Code_70","Visit","C25716","a86fe36e-e8ef-4cbd-b933-6645d9642006","http://www.cdisc.org"
"2023-09-29","Code_71","Clinic","C51282","79ef3894-cdfe-4722-ae0e-0cef733a565d","http://www.cdisc.org"
"2023-09-29","Code_72","In Person","C175574","6c297591-f2c3-4add-a9b2-07ecfc1909ae","http://www.cdisc.org"
"2023-09-29","Code_73","Visit","C25716","85228fe9-8155-414a-8228-45e129889f66","http://www.cdisc.org"
"2023-09-29","Code_74","Clinic","C51282","ba495c1e-1216-4c0e-a400-14ba155d0d4a","http://www.cdisc.org"
"2023-09-29","Code_75","In Person","C175574","66c661fd-2ed9-4555-aee3-bc1aa034816b","http://www.cdisc.org"
"2023-09-29","Code_76","Visit","C25716","83378224-9c12-42d6-883d-1f0075396433","http://www.cdisc.org"
"2023-09-29","Code_77","Clinic","C51282","d8802c95-f276-49d0-bc4b-badc96e31123","http://www.cdisc.org"
"2023-09-29","Code_78","In Person","C175574","1adaaf12-bc54-4df3-93b4-e2b5e8f3b8c7","http://www.cdisc.org"
"2023-09-29","Code_79","Visit","C25716","6998ec51-3859-4e52-b94d-400f6fc2d45c","http://www.cdisc.org"
"2023-09-29","Code_80","Clinic","C51282","ab8db2fb-fbc9-4b33-b6b2-b2a4bfb5886a","http://www.cdisc.org"
"2023-09-29","Code_81","In Person","C175574","e999269d-653f-43ad-99e6-519bdeb96b8e","http://www.cdisc.org"
"2023-09-29","Code_82","Visit","C25716","3190cc4b-e94a-49b0-b62e-34aa2a09fa66","http://www.cdisc.org"
"2023-09-29","Code_83","Clinic","C51282","47752b8b-4c24-40a4-9756-e263df5afb08","http://www.cdisc.org"
"2023-09-29","Code_84","In Person","C175574","772abfaf-f9a4-4e8f-8e22-45a5a7ed3679","http://www.cdisc.org"
"2023-09-29","Code_85","Telephone Call","C171537","75046584-3891-4e60-a94a-393698cc84a9","http://www.cdisc.org"
"2023-09-29","Code_86","Visit","C25716","3473c186-4c51-4e16-a267-9a097d60b461","http://www.cdisc.org"
"2023-09-29","Code_87","Clinic","C51282","575e1539-d85f-4b54-aae1-0d5ee58d3a46","http://www.cdisc.org"
"2023-09-29","Code_88","In Person","C175574","3007809a-2444-498a-a521-70cd5a1d3450","http://www.cdisc.org"
"2023-09-29","Code_89","Telephone Call","C171537","b3c2db5c-254e-480d-9af7-033f10e7fb5a","http://www.cdisc.org"
"2023-09-29","Code_90","Visit","C25716","e96b89ea-4520-4f03-8727-dc1a6007bd69","http://www.cdisc.org"
"2023-09-29","Code_91","Clinic","C51282","a244ad49-f83b-4b76-a45f-7e955b49f6b2","http://www.cdisc.org"
"2023-09-29","Code_92","In Person","C175574","a25abb69-6e96-44fa-9f8b-13ebd79c9a30","http://www.cdisc.org"
"2023-09-29","Code_93","Telephone Call","C171537","cc7c9da8-0414-4608-b3b9-5bd40a009927","http://www.cdisc.org"
"2023-09-29","Code_94","Visit","C25716","9549865f-6501-4f92-96c4-5cad129f12f7","http://www.cdisc.org"
"2023-09-29","Code_95","Clinic","C51282","83e8483e-368f-423f-9a52-914176ebf88c","http://www.cdisc.org"
"2023-09-29","Code_96","In Person","C175574","04260f17-2b13-4722-b81f-87c647723f19","http://www.cdisc.org"
"2023-09-29","Code_97","Telephone Call","C171537","3696e272-444e-4bc3-829d-50a1339c4e98","http://www.cdisc.org"
"2023-09-29","Code_98","Visit","C25716","a3ffb9ae-0011-427a-8362-c66f8f288e85","http://www.cdisc.org"
"2023-09-29","Code_99","Clinic","C51282","417462e8-36b0-4eeb-a358-1f3fa8ec7dad","http://www.cdisc.org"
"2023-09-29","Code_100","In Person","C175574","7ef1764a-3341-45a6-a2c4-9f1ed67b740b","http://www.cdisc.org"
"2023-09-29","Code_101","Visit","C25716","effb5865-617b-47a9-88c9-1e0ccf7b8510","http://www.cdisc.org"
"2023-09-29","Code_102","Clinic","C51282","39ffb76d-7966-4c0a-9a4c-5065ae656957","http://www.cdisc.org"
"2023-09-29","Code_103","In Person","C175574","b68751c6-39ad-41ab-9298-047209a070e7","http://www.cdisc.org"
"January 31, 2018","Code_61","CT of head without contrast","383371000119108","95434b10-d9e0-48ca-b64c-18e2d9e1d495","SNOMED"
"12","Code_62","Supine for 5 minutes","123","88e1a556-76db-4311-92aa-4b63dc00122f","SPONSOR"
"12","Code_63","Standingfor 1-3 minutes","124","ac56eac6-e3d2-452a-a9ab-1858fe397dbd","SPONSOR"
"","Code_242","Vital Signs Result","C173522","c40d5d88-c919-4d5f-b06e-0a59bb2e33e3","NCI Thesaurus"
"2023-09-29","Code_243","Kelvin","C42537","b2e29a65-88db-4803-a090-8be08cc60bdb","http://www.cdisc.org"
"","Code_244","Unit of Temperature","C44276","7668c087-6032-4ebd-b201-4ddef2ae64fd","NCI Thesaurus"
"","Code_245","Vital Signs Location","C83088","b2367ec8-0ac1-486a-8ff5-9425d5017fe0","NCI Thesaurus"
"","Code_241","Body Temperature","C174446","a403c01b-f8fc-4460-8ea3-69c3dfc2911f","NCI Thesaurus"
"","Code_247","Vital Signs Result","C173522","edb557d4-c7ca-41c4-b8eb-3f8faae55b65","NCI Thesaurus"
"2023-09-29","Code_248","Kilogram","C28252","f88e7c82-7c09-48f2-b688-e0498940bc51","http://www.cdisc.org"
"2023-09-29","Code_249","Gram","C48155","997b4f7c-6712-4054-b834-98e7036ea4d1","http://www.cdisc.org"
"2023-09-29","Code_250","Pound","C48531","28481f6d-570e-46cd-aa1a-129183404bc9","http://www.cdisc.org"
"","Code_251","Unit of Weight","C48208","995cb20b-5011-4da8-a912-daa3781d22c8","NCI Thesaurus"
"","Code_246","Body Weight","C81328","30356adc-139e-4e34-84ca-3fc9b21a793d","NCI Thesaurus"
"","Code_253","Vital Signs Result","C173522","26a37dc2-914e-482f-b2f6-cac38113d27f","NCI Thesaurus"
"2023-09-29","Code_254","Centimeter","C49668","754ee4df-01c2-463f-b6b3-64446c5ad980","http://www.cdisc.org"
"2023-09-29","Code_255","Inch","C48500","e81db7c0-54ef-4908-9d55-5630d836574c","http://www.cdisc.org"
"2023-09-29","Code_256","Millimeter","C28251","accb5212-f610-4ead-aa90-5bfb1d96ef0b","http://www.cdisc.org"
"2023-09-29","Code_257","Meter","C41139","458570b7-94f1-4b6b-9a25-e6881311ab48","http://www.cdisc.org"
"","Code_258","Unit of Height","C168688","0ca43501-f06a-423b-b065-609172a005f0","NCI Thesaurus"
"","Code_252","Body Height","C164634","c956b209-2d2d-4c1c-99fd-632115099920","NCI Thesaurus"
"","Code_260","Laboratory Test Result","C36292","a478657f-e074-480f-8ab5-536bff5354fb","NCI Thesaurus"
"","Code_261","Laboratory Test Fasting Status","C83309","e1903a35-86b6-42c4-b1a8-7e2b4898c28e","NCI Thesaurus"
"","Code_262","Unit of Catalytic Activity Concentration","C67365","d2cc8ec2-d8d3-4d54-b601-1a4fa2c7f0a9","NCI Thesaurus"
"","Code_263","Biospecimen Type","C70713","f5603348-f159-4083-8a6c-390f108a66da","NCI Thesaurus"
"","Code_259","Alanine Aminotransferase Measurement","C64433","ff7a1715-0af4-409f-ae76-01e3a0fa372d","NCI Thesaurus"
"","Code_265","Laboratory Test Result","C36292","5847b343-996f-467c-8e74-d97342e67f0e","NCI Thesaurus"
"","Code_266","Laboratory Test Fasting Status","C83309","ad2f8e0a-01c3-4e9c-8a75-121badd37a35","NCI Thesaurus"
"","Code_267","Unit of Concentration","C48207","b0dd3389-caa3-4ecf-a551-37a58cfa3cb2","NCI Thesaurus"
"","Code_268","Biospecimen Type","C70713","6da7bbbd-8a0c-4025-be65-ea86ce3bf485","NCI Thesaurus"
"","Code_264","Albumin Measurement","C64431","7c354ddd-c7c0-4c39-8726-cd6ebddac6c6","NCI Thesaurus"
"","Code_270","Laboratory Test Result","C36292","b440af62-be9b-4131-b3dd-838ddf0d3224","NCI Thesaurus"
"","Code_271","Laboratory Test Fasting Status","C83309","8e5180b8-05b7-4f69-a5a1-72370c24c331","NCI Thesaurus"
"","Code_272","Unit of Catalytic Activity Concentration","C67365","7e034e3d-d08e-4fed-89f8-d790b78c65ce","NCI Thesaurus"
"","Code_273","Biospecimen Type","C70713","a5dca719-bf96-4355-a079-e5a09112d9f5","NCI Thesaurus"
"","Code_269","Alkaline Phosphatase Measurement","C64432","f6f996be-61f6-4927-b49e-438928779e5e","NCI Thesaurus"
"","Code_275","Laboratory Test Result","C36292","61552eec-c501-4d30-802f-251a1beace7f","NCI Thesaurus"
"","Code_276","Laboratory Test Fasting Status","C83309","fb5b1e85-a4e0-46dd-ae47-67f22ea2f18b","NCI Thesaurus"
"","Code_277","Unit of Catalytic Activity Concentration","C67365","7f67c26b-6730-4b69-bff5-1f06e587a001","NCI Thesaurus"
"","Code_278","Biospecimen Type","C70713","94265e89-5fa0-46ba-aa68-02c5b9d55b39","NCI Thesaurus"
"","Code_274","Aspartate Aminotransferase Measurement","C64467","c93ce73d-825d-484b-9212-a896eff4edf4","NCI Thesaurus"
"","Code_280","Laboratory Test Result","C36292","d89c431f-5ddf-4c8a-bbaf-6354aa470dc7","NCI Thesaurus"
"","Code_281","Laboratory Test Fasting Status","C83309","8c460e42-a91c-4af8-88c4-db4687bb9384","NCI Thesaurus"
"","Code_282","Unit of Concentration","C48207","8e8b4b34-2c51-44f1-b1ca-c0924842d169","NCI Thesaurus"
"","Code_283","Biospecimen Type","C70713","9e812599-da7f-420d-809c-0d2035493f45","NCI Thesaurus"
"","Code_279","Creatinine Measurement","C64547","48f9911b-b074-4441-8356-18996eeb719a","NCI Thesaurus"
"","Code_285","Laboratory Test Result","C36292","51a7554b-d7b8-4a36-8cc2-64cb953b4007","NCI Thesaurus"
"","Code_286","Laboratory Test Fasting Status","C83309","5ab5b385-9d4e-4918-a92d-019e710613b5","NCI Thesaurus"
"","Code_287","Molarity Unit","C64567","3f8c1125-2678-43f1-886b-0f3d46d8b5ef","NCI Thesaurus"
"","Code_288","Biospecimen Type","C70713","51e570d9-d3bb-43e2-af65-3ee115202a1a","NCI Thesaurus"
"","Code_284","Potassium Measurement","C64853","abc3973d-055c-4a87-b9dc-fa27bc4e880e","NCI Thesaurus"
"","Code_290","Laboratory Test Result","C36292","b30b172c-e04b-4863-8ad1-47f50f3c7c3e","NCI Thesaurus"
"","Code_291","Laboratory Test Fasting Status","C83309","325e3e16-e52b-460d-a565-181e294f444e","NCI Thesaurus"
"","Code_292","Molarity Unit","C64567","ce4a46d7-54eb-4844-aaa5-4add03f3ebd1","NCI Thesaurus"
"","Code_293","Biospecimen Type","C70713","a7e08aac-1253-4b2e-a1f3-91da91fc9c6f","NCI Thesaurus"
"","Code_289","Sodium Measurement","C64809","f126a7cb-87a1-4d34-a0aa-a085140ee054","NCI Thesaurus"
"","Code_124","Adverse Event Verbatim Description","C78541","8fd8fd70-911b-4bd0-9cbf-20489f240c30","NCI Thesaurus"
"","Code_125","Adverse Event Dictionary Derived Term","C83344","a4ec8852-ae2d-4626-b6bd-58e067a14af9","NCI Thesaurus"
"","Code_126","Adverse Event Category","C83198","e7a99367-9bce-4e50-9152-361149dd3df0","NCI Thesaurus"
"","Code_127","Adverse Event Subcategory","C83212","d43c808d-e9e4-426d-a33f-d83452795e6d","NCI Thesaurus"
"","Code_128","Adverse Event Pre-specified","C87840","1f4fe79d-d702-4fa4-8bc9-4ec9b42afee8","NCI Thesaurus"
"","Code_129","Severity of Adverse Event","C53253","9e859144-3ead-44c0-9ed0-f3e19e81e1a5","NCI Thesaurus"
"","Code_130","Adverse Event Toxicity Grade","C78605","d540eef1-cb84-49df-b315-0b5bc8766900","NCI Thesaurus"
"","Code_131","Seriousness of Adverse Event","C53252","61afb5e6-0888-415c-9638-bd808734ae79","NCI Thesaurus"
"2023-09-29","Code_132","Unknown","C17998","a5145744-3bfe-464f-80d4-9dbc4bac3339","http://www.cdisc.org"
"","Code_133","Adverse Event Action Taken with Study Treatment","C83013","888e8133-5f7b-424e-b783-ea688b4458c3","NCI Thesaurus"
"","Code_134","Adverse Event Attribution to Product or Procedure","C41358","106e477f-eeb6-48bb-b8d4-e760728d9066","NCI Thesaurus"
"","Code_135","Adverse Event Pattern","C83208","39b38a73-fade-4b8a-9d3e-e9b255018bd0","NCI Thesaurus"
"2023-09-29","Code_136","Unknown","C17998","5206e1c1-9fda-4478-ac0c-43a4b508156e","http://www.cdisc.org"
"","Code_137","Adverse Event Outcome","C49489","a7cf6854-9630-4c98-91e6-9ffd580d26c2","NCI Thesaurus"
"","Code_138","Adverse Event Start Date Time","C83215","f04a6372-9398-407c-8e9b-5958f51aba03","NCI Thesaurus"
"","Code_139","Adverse Event End Date Time","C83201","d5bfd35f-99d8-47bb-aa14-02ce606f6d39","NCI Thesaurus"
"","Code_123","Adverse Event","C41331","4dafc67a-308e-4a8f-91f7-3813cf59e7a5","NCI Thesaurus"
"","Code_141","Vital Signs Result","C173522","1049b287-4ea1-4a7e-b241-f52a65e4fb3c","NCI Thesaurus"
"2023-09-29","Code_142","Pascal","C42547","64a0af81-587d-438e-95d5-04fb5ccce287","http://www.cdisc.org"
"","Code_143","Unit of Pressure","C49669","2c277c00-d67b-4a69-9a1a-cbddef29c44f","NCI Thesaurus"
"","Code_144","Vital Signs Location","C83088","e6186737-dc93-41d1-9410-55b86b88a180","NCI Thesaurus"
"","Code_145","Vital Signs Laterality","C123975","6f7cce35-5d81-46f6-9700-45f8abf48d1a","NCI Thesaurus"
"","Code_146","Test Method","C82535","670f459d-8fe7-4d1e-8f6c-dcc540cb81ec","NCI Thesaurus"
"","Code_147","Vital Signs Position","C83114","47215a13-a568-421f-9bb8-ea53b6432578","NCI Thesaurus"
"","Code_140","Systolic Blood Pressure","C25298","bbb2ff56-d431-46c6-96af-4ea2efb566ef","NCI Thesaurus"
"","Code_149","Vital Signs Result","C173522","8842d8a2-0159-4f8c-aedc-216cf698a01f","NCI Thesaurus"
"2023-09-29","Code_150","Pascal","C42547","bc5928d0-0ae9-46bc-9b37-7bf2b4d211f5","http://www.cdisc.org"
"","Code_151","Unit of Pressure","C49669","df8d2f5f-de7f-4fa7-a15f-36288f5d608f","NCI Thesaurus"
"","Code_152","Vital Signs Location","C83088","902e17b6-046a-4edc-8c8a-ccff50ef6070","NCI Thesaurus"
"","Code_153","Vital Signs Laterality","C123975","1d5fbd63-3292-447c-8311-d48f55cca9ef","NCI Thesaurus"
"","Code_154","Test Method","C82535","b100513c-e3ca-407f-a0d6-762bf8602ee0","NCI Thesaurus"
"","Code_155","Vital Signs Position","C83114","c65796a6-c2d6-424a-b60a-04ed3ed4c7b8","NCI Thesaurus"
"","Code_148","Diastolic Blood Pressure","C25299","8688e3a8-ef16-44cf-90a8-1f65de4341e2","NCI Thesaurus"
"","Code_157","Vital Signs Result","C173522","a90fa17e-c58b-480f-bf0a-b297289dfd38","NCI Thesaurus"
"2023-09-29","Code_158","Kelvin","C42537","6d4d9982-23dd-4588-9eb9-376c68c27904","http://www.cdisc.org"
"","Code_159","Unit of Temperature","C44276","19d38d96-61c2-4edd-9aa3-cc0453b8293c","NCI Thesaurus"
"","Code_160","Vital Signs Location","C83088","0cea3cbd-69fd-4be6-9eda-ffea393ac2d9","NCI Thesaurus"
"","Code_156","Body Temperature","C174446","fb6c3483-6886-49d0-9fa8-08dc1c134fe7","NCI Thesaurus"
"","Code_162","Vital Signs Result","C173522","237e2ab9-52c7-479d-a057-a7ca390dd9a8","NCI Thesaurus"
"2023-09-29","Code_163","Kilogram","C28252","18d466f3-fd3b-481e-9c34-fe8a626acb56","http://www.cdisc.org"
"2023-09-29","Code_164","Gram","C48155","284b1a82-2372-49b8-9fe6-6de9f6f9fe8e","http://www.cdisc.org"
"2023-09-29","Code_165","Pound","C48531","bff1da3d-f728-4ff9-9a18-30e527eb6a17","http://www.cdisc.org"
"","Code_166","Unit of Weight","C48208","e96fb70a-2f31-46e9-89c2-d5b3f87bade5","NCI Thesaurus"
"","Code_161","Body Weight","C81328","6861f83a-9197-4f9d-a68d-6e2e2f148d4e","NCI Thesaurus"
"","Code_168","Vital Signs Result","C173522","b87f7b7f-c2d3-41fc-bb53-6f8298051839","NCI Thesaurus"
"2023-09-29","Code_169","Centimeter","C49668","42c02bdb-3e00-440c-903a-4e37e0c52e30","http://www.cdisc.org"
"2023-09-29","Code_170","Inch","C48500","36c4008f-ac8d-4649-9a16-f7e28418078c","http://www.cdisc.org"
"2023-09-29","Code_171","Millimeter","C28251","792913b6-c51a-4f02-85f8-faefe76daf59","http://www.cdisc.org"
"2023-09-29","Code_172","Meter","C41139","bb47b608-3ede-4264-9e4c-aeaf27e640d2","http://www.cdisc.org"
"","Code_173","Unit of Height","C168688","667bb56e-3b3f-41e9-868f-c5e8b2dcabb4","NCI Thesaurus"
"","Code_167","Body Height","C164634","3b7e9ce8-51eb-46e3-9c43-5b6f4b210833","NCI Thesaurus"
"","Code_175","Laboratory Test Result","C36292","aaf8931c-6daa-4be0-8438-3a293d596b51","NCI Thesaurus"
"","Code_176","Laboratory Test Fasting Status","C83309","c52212c1-e2fb-4baa-ab92-b7d153174bb6","NCI Thesaurus"
"","Code_177","Unit of Catalytic Activity Concentration","C67365","b043e630-84cd-433a-a46b-bd6167ad970a","NCI Thesaurus"
"","Code_178","Biospecimen Type","C70713","f080f188-24ae-4405-ba04-5625e042a14b","NCI Thesaurus"
"","Code_174","Alanine Aminotransferase Measurement","C64433","969af064-7bb4-423f-bc1d-f22998cde9c0","NCI Thesaurus"
"","Code_180","Laboratory Test Result","C36292","181457f3-3e10-459a-a82e-1f526a8ce105","NCI Thesaurus"
"","Code_181","Laboratory Test Fasting Status","C83309","1b5286f7-b151-41c2-aac6-226f160bbf7e","NCI Thesaurus"
"","Code_182","Unit of Concentration","C48207","3b1263e1-440a-4b71-80a8-829c12656c42","NCI Thesaurus"
"","Code_183","Biospecimen Type","C70713","3aa55978-fb11-4d8d-be7b-dbc17b8f0ad5","NCI Thesaurus"
"","Code_179","Albumin Measurement","C64431","2f2851b9-c694-40d7-9635-36a469e05881","NCI Thesaurus"
"","Code_185","Laboratory Test Result","C36292","80a0e0b3-5a59-47df-8713-ca33bce8b28e","NCI Thesaurus"
"","Code_186","Laboratory Test Fasting Status","C83309","02b703fd-6b38-4711-b263-6f07f5c353f5","NCI Thesaurus"
"","Code_187","Unit of Catalytic Activity Concentration","C67365","f749bbd3-33f7-43f9-ba2b-753d6f645d8c","NCI Thesaurus"
"","Code_188","Biospecimen Type","C70713","9d29f5dc-1e42-4887-95bd-180f8dc1deb9","NCI Thesaurus"
"","Code_184","Alkaline Phosphatase Measurement","C64432","aea6b6fc-a423-4ce1-a0e2-1de18fa3af52","NCI Thesaurus"
"","Code_190","Laboratory Test Result","C36292","33385020-d8f8-4dae-8dec-d18e07b164bc","NCI Thesaurus"
"","Code_191","Laboratory Test Fasting Status","C83309","e421a6eb-5133-485a-9354-7aa431386fb2","NCI Thesaurus"
"","Code_192","Unit of Catalytic Activity Concentration","C67365","f6858104-09cc-4816-8bfa-b0d941ccf387","NCI Thesaurus"
"","Code_193","Biospecimen Type","C70713","8f479197-9b3a-45f7-a714-4920ca2c9692","NCI Thesaurus"
"","Code_189","Aspartate Aminotransferase Measurement","C64467","052f7bc1-276a-487e-9789-1ec572ced479","NCI Thesaurus"
"","Code_195","Laboratory Test Result","C36292","1fb6e6ab-89bc-48d3-ba98-926f67c457a9","NCI Thesaurus"
"","Code_196","Laboratory Test Fasting Status","C83309","d507602b-c1ce-4c2f-b9c0-6eb7b4bb2509","NCI Thesaurus"
"","Code_197","Unit of Concentration","C48207","9d80bd30-4829-4167-80f9-fdbb29188e3a","NCI Thesaurus"
"","Code_198","Biospecimen Type","C70713","b55ac3c7-73c8-4793-94f7-599edf25567c","NCI Thesaurus"
"","Code_194","Creatinine Measurement","C64547","d6c3629a-1059-4e21-a15a-75018c85d52a","NCI Thesaurus"
"","Code_200","Laboratory Test Result","C36292","305ce0c9-4d18-419e-bda8-454e06712fd0","NCI Thesaurus"
"","Code_201","Laboratory Test Fasting Status","C83309","2b75fec9-cb65-49ad-8951-fd268d8184ff","NCI Thesaurus"
"","Code_202","Molarity Unit","C64567","d655f2cd-ca03-4dc3-9c4a-00fe75c2a2e0","NCI Thesaurus"
"","Code_203","Biospecimen Type","C70713","b4e2f0ee-ebc9-40e3-98cf-639bc8e8d498","NCI Thesaurus"
"","Code_199","Potassium Measurement","C64853","2408a615-327c-4153-a2cc-7df5b615b02b","NCI Thesaurus"
"","Code_205","Laboratory Test Result","C36292","2d9a160f-bf1c-4fcc-97d8-6856c26e7dde","NCI Thesaurus"
"","Code_206","Laboratory Test Fasting Status","C83309","d9b3c026-4853-4052-882c-72961fc636f2","NCI Thesaurus"
"","Code_207","Molarity Unit","C64567","f1424e6b-5c77-444e-beb2-5ef5d0f13177","NCI Thesaurus"
"","Code_208","Biospecimen Type","C70713","646bc6ad-5039-4c9c-a492-3bf9ef44f736","NCI Thesaurus"
"","Code_204","Sodium Measurement","C64809","45672170-7031-4d1d-83c6-a3d57896e021","NCI Thesaurus"
"","Code_210","Vital Signs Result","C173522","615bbad4-a9be-4d36-b4f0-1c504e0b2556","NCI Thesaurus"
"2023-09-29","Code_211","Pascal","C42547","08fc5272-0873-463a-921e-ef3a64c47665","http://www.cdisc.org"
"","Code_212","Unit of Pressure","C49669","a0e20c91-54a9-43a4-985f-fa2693ddac17","NCI Thesaurus"
"","Code_213","Vital Signs Location","C83088","84b78974-fc06-4802-a17b-902704cf5070","NCI Thesaurus"
"","Code_214","Vital Signs Laterality","C123975","24772499-98d0-4e0b-9e73-853430cb33d9","NCI Thesaurus"
"","Code_215","Test Method","C82535","e9c33a0c-62dc-48a3-8d46-6337f9711d0d","NCI Thesaurus"
"","Code_216","Vital Signs Position","C83114","7bd1adce-e355-4bdd-8f0e-3ea30a407930","NCI Thesaurus"
"","Code_209","Systolic Blood Pressure","C25298","efeb5ab5-c1dd-484f-81e8-7be44e44df24","NCI Thesaurus"
"","Code_218","Vital Signs Result","C173522","461cd01c-45f3-43fc-a94a-1e6e42d7c1f1","NCI Thesaurus"
"2023-09-29","Code_219","Pascal","C42547","0d6ee843-7a07-41e1-a401-3883603bfe91","http://www.cdisc.org"
"","Code_220","Unit of Pressure","C49669","333f85d4-6d13-4a03-82f6-cd31cfdd71bd","NCI Thesaurus"
"","Code_221","Vital Signs Location","C83088","eb0e27cf-81af-49da-a323-823ab10f369d","NCI Thesaurus"
"","Code_222","Vital Signs Laterality","C123975","8f2d8fdd-0313-4f30-963c-da58f9ff7661","NCI Thesaurus"
"","Code_223","Test Method","C82535","cb8627c5-d7c6-4b69-8b4b-523eff176b89","NCI Thesaurus"
"","Code_224","Vital Signs Position","C83114","2f03aea6-a728-4111-9a48-ba3ad522e15e","NCI Thesaurus"
"","Code_217","Diastolic Blood Pressure","C25299","f5f6058e-3e77-446c-bba4-0ff6f176054f","NCI Thesaurus"
"","Code_226","Vital Signs Result","C173522","d56a2743-9981-41ce-9ec3-126b2fdc0914","NCI Thesaurus"
"2023-09-29","Code_227","Pascal","C42547","a15107b5-80e9-4ffb-9225-e63f9d954328","http://www.cdisc.org"
"","Code_228","Unit of Pressure","C49669","58380b55-b155-4382-95aa-ba440f59032d","NCI Thesaurus"
"","Code_229","Vital Signs Location","C83088","260226f3-64e5-4a1b-b025-1d1243bc466a","NCI Thesaurus"
"","Code_230","Vital Signs Laterality","C123975","0c6d5695-c95b-42a5-be9d-36cf5c845b9f","NCI Thesaurus"
"","Code_231","Test Method","C82535","32fc6aa7-808c-46d7-9175-b7b4134de21f","NCI Thesaurus"
"","Code_232","Vital Signs Position","C83114","180d87d8-2ad1-4758-8fe1-558a0e13e5ae","NCI Thesaurus"
"","Code_225","Systolic Blood Pressure","C25298","fa0b0c50-7510-4998-9774-1ac531f6885a","NCI Thesaurus"
"","Code_234","Vital Signs Result","C173522","ce59eb9a-6e55-416f-b936-9a5045bb9d04","NCI Thesaurus"
"2023-09-29","Code_235","Pascal","C42547","70fdfecf-1044-42a9-a140-298c95812f58","http://www.cdisc.org"
"","Code_236","Unit of Pressure","C49669","8be38c31-b14b-459d-8d5c-f3734785b4e3","NCI Thesaurus"
"","Code_237","Vital Signs Location","C83088","9704d414-d8af-42df-b0fe-a91a4d918f6a","NCI Thesaurus"
"","Code_238","Vital Signs Laterality","C123975","2eac78ca-40f7-440a-9540-826d023f8724","NCI Thesaurus"
"","Code_239","Test Method","C82535","2d151993-1d28-434e-9cbb-f4be0909f953","NCI Thesaurus"
