"sectionTitle","name","text","uuid:ID","sectionNumber","instanceType","id"
"Rationale for Trial Population","SECTION 5.2","<div></div>","697e1b6e-12f3-4c9f-abb1-aa59692611dc","5.2","NarrativeContent","NarrativeContent_23"
"Inclusion Criteria","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","d7ab397a-1988-4319-8b55-82017c9e6362","5.3","NarrativeContent","NarrativeContent_24"
"Exclusion Criteria","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","f912277f-1582-4c3a-842e-a6e81b01d1ab","5.4","NarrativeContent","NarrativeContent_25"
"Lifestyle Considerations","SECTION 5.5","<div></div>","17aae73c-3bea-4510-8418-c38a98171e69","5.5","NarrativeContent","NarrativeContent_26"
"Meals and Dietary Restrictions","SECTION 5.5.1","<div></div>","82395281-3216-4033-9284-2690eeec007c","5.5.1","NarrativeContent","NarrativeContent_27"
"Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","<div><p>Not applicable</p></div>","7af4c375-656e-40b6-80ab-e9ed3c556172","5.5.2","NarrativeContent","NarrativeContent_28"
"Physical Activity","SECTION 5.5.3","<div></div>","98e0acf2-4dda-417a-9e7c-1a99235cbfa3","5.5.3","NarrativeContent","NarrativeContent_29"
"Other Activity","SECTION 5.5.4","<div></div>","2e9c8d65-6d66-42f4-adfa-a7f7a1b61c0a","5.5.4","NarrativeContent","NarrativeContent_30"
"Screen Failures","SECTION 5.6","<div></div>","87a025f9-9903-4d1c-b63e-6ac0b172d7b0","5.6","NarrativeContent","NarrativeContent_31"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","<div></div>","3c6e5852-d3c7-4f84-86e3-7b170b355cf2","6","NarrativeContent","NarrativeContent_32"
"Description of Trial Intervention","SECTION 6.1","<div></div>","f5e7e71f-941e-4a6c-8d93-0573d2a67cee","6.1","NarrativeContent","NarrativeContent_33"
"Rationale for Trial Intervention","SECTION 6.2","<div></div>","1d4e965b-90ab-4d7b-a60c-2c3eb17e00ea","6.2","NarrativeContent","NarrativeContent_34"
"Dosing and Administration","SECTION 6.3","<div></div>","976399bf-4e36-4fab-ad6a-57790c3409f7","6.3","NarrativeContent","NarrativeContent_35"
"Trial Intervention Dose Modification","SECTION 6.3.1","<div></div>","a29fa397-8cd1-40a2-b4d9-1cd115bdbe46","6.3.1","NarrativeContent","NarrativeContent_36"
"Treatment of Overdose","SECTION 6.4","<div></div>","77593321-0933-4578-84e0-8d6411b653c8","6.4","NarrativeContent","NarrativeContent_37"
"Preparation, Handling, Storage and Accountability","SECTION 6.5","<div></div>","735c0736-2538-412c-aae9-b9de02c0dec7","6.5","NarrativeContent","NarrativeContent_38"
"Preparation of Trial Intervention","SECTION 6.5.1","<div></div>","23e492df-1d3c-4233-90ad-03a3224ca28c","6.5.1","NarrativeContent","NarrativeContent_39"
"Handling and Storage of Trial Intervention","SECTION 6.5.2","<div></div>","dded2dcd-daec-42cf-9f2f-505589ff2f99","6.5.2","NarrativeContent","NarrativeContent_40"
"Accountability of Trial Intervention","SECTION 6.5.3","<div></div>","369fbaed-748c-4bb4-90df-eb82fc54bb7e","6.5.3","NarrativeContent","NarrativeContent_41"
"Participant Assignment, Randomisation and Blinding","SECTION 6.6","<div></div>","5ae6c12d-346a-4a3a-ba3a-1f0f74d94ddc","6.6","NarrativeContent","NarrativeContent_42"
"Participant Assignment","SECTION 6.6.1","<div></div>","8aefaf66-7e6d-4fbe-9d2a-e8b4186ea1b6","6.6.1","NarrativeContent","NarrativeContent_43"
"Randomisation","SECTION 6.6.2","<div></div>","dff61e9e-b207-47df-b3ef-c84b26a8651b","6.6.2","NarrativeContent","NarrativeContent_44"
"Blinding and Unblinding","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","9cba8570-f4ea-4ec5-8371-5b42b19f9046","6.6.3","NarrativeContent","NarrativeContent_45"
"Trial Intervention Compliance","SECTION 6.7","<div></div>","9a3fb8e8-01d6-4369-8ef3-895ff0cfe881","6.7","NarrativeContent","NarrativeContent_46"
"Concomitant Therapy","SECTION 6.8","<div></div>","5ac76a25-69e1-4dca-a00e-fec356c5bdc0","6.8","NarrativeContent","NarrativeContent_47"
"Prohibited Concomitant Therapy","SECTION 6.8.1","<div></div>","0dfe1ddb-188a-4405-b8fc-ec200c06473e","6.8.1","NarrativeContent","NarrativeContent_48"
"Permitted Concomitant Therapy","SECTION 6.8.2","<div></div>","17f004f1-8b08-4fbf-8a06-714d4933fb9e","6.8.2","NarrativeContent","NarrativeContent_49"
"Rescue Therapy","SECTION 6.8.3","<div></div>","9cef0ab3-948e-4cfe-909b-3cdab2eedcb2","6.8.3","NarrativeContent","NarrativeContent_50"
"Other Therapy","SECTION 6.8.4","<div></div>","79c61577-9adc-41c8-8117-9d184346c91e","6.8.4","NarrativeContent","NarrativeContent_51"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","<div></div>","e501fa57-8d61-4f1f-b313-d9bfd9652d27","7","NarrativeContent","NarrativeContent_52"
"Discontinuation of Trial Intervention","SECTION 7.1","<div></div>","f0f48a23-b4e5-42fe-87ba-8529875c0bdf","7.1","NarrativeContent","NarrativeContent_53"
"Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","<div></div>","6da70cce-ab3f-46d1-a608-23b0dd376202","7.1.1","NarrativeContent","NarrativeContent_54"
"Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","<div></div>","2fbd43d3-b03e-4318-8328-00792db072ec","7.1.2","NarrativeContent","NarrativeContent_55"
"Rechallenge","SECTION 7.1.3","<div></div>","df22ef20-2e3e-4aa1-95c0-533d6962ae10","7.1.3","NarrativeContent","NarrativeContent_56"
"Participant Withdrawal from the Trial","SECTION 7.2","<div></div>","a98e6a64-96c8-4173-b45c-d9ed7599eec8","7.2","NarrativeContent","NarrativeContent_57"
"Lost to Follow-Up","SECTION 7.3","<div></div>","2947c006-230a-4b6d-b10d-1289c4c82414","7.3","NarrativeContent","NarrativeContent_58"
"Trial Stopping Rules","SECTION 7.4","<div></div>","855f2cf8-ec65-49aa-ae8a-a2b675fe2a49","7.4","NarrativeContent","NarrativeContent_59"
"TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","<div></div>","796390f4-ba3f-4b0b-9033-42caafac599f","8","NarrativeContent","NarrativeContent_60"
"Screening/Baseline Assessments and Procedures","SECTION 8.1","<div></div>","8e6f80f6-35d2-414f-bba8-10df11923fea","8.1","NarrativeContent","NarrativeContent_61"
"Efficacy Assessments and Procedures","SECTION 8.2","<div></div>","b31341c2-d9d5-4396-8036-4f73eebde142","8.2","NarrativeContent","NarrativeContent_62"
"Safety Assessments and Procedures","SECTION 8.3","<div></div>","21c966e4-bbec-4081-9aaf-1b8f8bfd6f91","8.3","NarrativeContent","NarrativeContent_63"
"Physical Examination","SECTION 8.3.1","<div></div>","58535aff-39fa-4e15-8bef-3dd7493618f1","8.3.1","NarrativeContent","NarrativeContent_64"
"Vital Signs","SECTION 8.3.2","<div></div>","50ac5cd8-c34f-49f6-9a8b-58ed6211c066","8.3.2","NarrativeContent","NarrativeContent_65"
"Electrocardiograms","SECTION 8.3.3","<div></div>","b8116150-7837-4e80-bb51-47e70db0f084","8.3.3","NarrativeContent","NarrativeContent_66"
"Clinical Laboratory Assessments","SECTION 8.3.4","<div></div>","a7a8bd70-d249-4736-af81-d8cac851e1e3","8.3.4","NarrativeContent","NarrativeContent_67"
"Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","<div></div>","9801ef35-aec2-4359-9a18-6a8e766690fa","8.3.5","NarrativeContent","NarrativeContent_68"
"Adverse Events and Serious Adverse Events","SECTION 8.4","<div></div>","06f47e02-9da8-4192-b2f0-695fec47549b","8.4","NarrativeContent","NarrativeContent_69"
"Definitions of AE and SAE","SECTION 8.4.1","<div></div>","eff0fb0d-b40d-4068-9d02-8b263c1bc139","8.4.1","NarrativeContent","NarrativeContent_70"
"Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","<div></div>","792bb4b4-1d46-4ac7-8e2e-5d2790bb02e3","8.4.2","NarrativeContent","NarrativeContent_71"
"Identifying AEs and SAEs","SECTION 8.4.3","<div></div>","917f6b20-a339-42b7-8f22-a9f30bd1b9a1","8.4.3","NarrativeContent","NarrativeContent_72"
"Recording of AEs and SAEs","SECTION 8.4.4","<div></div>","32640fda-5d44-4a1a-b680-a585caa5b645","8.4.4","NarrativeContent","NarrativeContent_73"
"Follow-up of AEs and SAEs","SECTION 8.4.5","<div></div>","1c1474be-f5d1-4b99-bb96-db2ceed248bb","8.4.5","NarrativeContent","NarrativeContent_74"
"Reporting of SAEs","SECTION 8.4.6","<div></div>","408b0775-afc6-44c9-aa06-d74c5b25e0b6","8.4.6","NarrativeContent","NarrativeContent_75"
"Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","<div></div>","3ddd5f42-0962-4775-9c9c-784612fc4433","8.4.7","NarrativeContent","NarrativeContent_76"
"Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","<div></div>","bb196071-1dc5-4627-b5d8-0619f449ebd9","8.4.8","NarrativeContent","NarrativeContent_77"
"Adverse Events of Special Interest","SECTION 8.4.9","<div></div>","d08dab5a-4e60-4b22-a422-b9b35988ad64","8.4.9","NarrativeContent","NarrativeContent_78"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","<div></div>","e8b86a62-ed65-48bf-9a0d-cfd0c547d492","8.4.10","NarrativeContent","NarrativeContent_79"
"Pregnancy and Postpartum Information","SECTION 8.5","<div></div>","2d45f41e-4edb-440a-a5f7-b21c1224aca2","8.5","NarrativeContent","NarrativeContent_80"
"Participants Who Become Pregnant During the Trial","SECTION 8.5.1","<div></div>","7dbd9f6a-d07d-45c6-98aa-895c3fcd6fce","8.5.1","NarrativeContent","NarrativeContent_81"
"Participants Whose Partners Become Pregnant","SECTION 8.5.2","<div></div>","1c9cdf59-1c5d-4754-b387-f91d0e712e46","8.5.2","NarrativeContent","NarrativeContent_82"
"Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","<div></div>","ccdf22b0-7880-4f48-ac2f-f3616603e859","8.6","NarrativeContent","NarrativeContent_83"
"Definition of Medical Device Product Complaints","SECTION 8.6.1","<div></div>","c440cadf-6887-4bb5-8fc0-6d630a953698","8.6.1","NarrativeContent","NarrativeContent_84"
"Recording of Medical Device Product Complaints","SECTION 8.6.2","<div></div>","edbd48d5-7e1d-44cf-a3a6-c3c08c45a875","8.6.2","NarrativeContent","NarrativeContent_85"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","<div></div>","4e926f1a-57b3-4ac7-af02-a853858c4c88","8.6.3","NarrativeContent","NarrativeContent_86"
"Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","<div></div>","77a3f27a-c383-4655-8eff-4b3eb0102066","8.6.4","NarrativeContent","NarrativeContent_87"
"Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","<div></div>","9cbd4b5f-eb27-41df-95dc-46a9477e1ebe","8.6.5","NarrativeContent","NarrativeContent_88"
"Pharmacokinetics","SECTION 8.7","<div></div>","8f913e92-7fd8-4b64-b710-f1d0b4c2a384","8.7","NarrativeContent","NarrativeContent_89"
"Genetics","SECTION 8.8","<div></div>","3c72fc56-b69f-46cc-9e46-d589d93891fd","8.8","NarrativeContent","NarrativeContent_90"
"Biomarkers","SECTION 8.9","<div></div>","b0556436-6392-4689-be3d-ac7e43c0ec6e","8.9","NarrativeContent","NarrativeContent_91"
"Immunogenicity Assessments","SECTION 8.1","<div></div>","2d4493ce-105a-4ce2-972c-da548df3f8c3","8.1","NarrativeContent","NarrativeContent_92"
"Medical Resource Utilisation and Health Economics","SECTION 8.1.1","<div></div>","60a88b95-b141-491d-9e41-e39eb798fdab","8.1.1","NarrativeContent","NarrativeContent_93"
"STATISTICAL CONSIDERATIONS","SECTION 9","<div></div>","c20bb819-9c11-4a87-93ed-3c093be67d1f","9","NarrativeContent","NarrativeContent_94"
"Analysis Sets","SECTION 9.1","<div></div>","23cbaeef-23ae-4a6b-895d-3a022b575d31","9.1","NarrativeContent","NarrativeContent_95"
"Analyses Supporting Primary Objective(s)","SECTION 9.2","<div></div>","a254413f-74f3-42e2-b5b8-f0a891494b76","9.2","NarrativeContent","NarrativeContent_96"
"Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","<div></div>","91adab2e-1e5f-4afd-bd2e-0d3b16cc1d41","9.2.1","NarrativeContent","NarrativeContent_97"
"Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","<div></div>","2d82340b-bb66-4494-8276-aa9f86306fe4","9.2.2","NarrativeContent","NarrativeContent_98"
"Handling of Missing Data","SECTION 9.2.3","<div></div>","e2ce097b-fb98-4074-bb79-fb3f9ce5c348","9.2.3","NarrativeContent","NarrativeContent_99"
"Sensitivity Analysis","SECTION 9.2.4","<div></div>","69dc50cc-74a5-4160-99de-e675febfeb89","9.2.4","NarrativeContent","NarrativeContent_100"
"Supplementary Analysis","SECTION 9.2.5","<div></div>","dc6ca149-f3c8-42d0-bacf-a607c4821df9","9.2.5","NarrativeContent","NarrativeContent_101"
"Analysis Supporting Secondary Objective(s)","SECTION 9.3","<div></div>","3c00b0d3-4685-4115-b2f7-aee474369a7d","9.3","NarrativeContent","NarrativeContent_102"
"Analysis of Exploratory Objective(s)","SECTION 9.4","<div></div>","c6893cf5-8fd8-4c77-a424-82e489e99203","9.4","NarrativeContent","NarrativeContent_103"
"Safety Analyses","SECTION 9.5","<div></div>","ae861e75-bf7a-4ef8-afc7-a8b75d6f0a31","9.5","NarrativeContent","NarrativeContent_104"
"Other Analyses","SECTION 9.6","<div></div>","c1d247d0-06b6-4030-9e02-fe18103bd677","9.6","NarrativeContent","NarrativeContent_105"
"Interim Analyses","SECTION 9.7","<div></div>","e45a485f-3c36-45f3-b941-2cdd6423f0f5","9.7","NarrativeContent","NarrativeContent_106"
"Sample Size Determination","SECTION 9.8","<div></div>","d496a815-db2f-4d41-9ce8-b285821d5dd0","9.8","NarrativeContent","NarrativeContent_107"
"Protocol Deviations","SECTION 9.9","<div></div>","6cd10c7b-5130-4b31-8987-44afa08b1772","9.9","NarrativeContent","NarrativeContent_108"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","<div></div>","34a7a2de-07f1-483f-a583-0dcb36cf2d32","10","NarrativeContent","NarrativeContent_109"
"Regulatory and Ethical Considerations","SECTION 10.1","<div></div>","591ff6f2-3e4b-4a75-9fd4-e36c2edf41e9","10.1","NarrativeContent","NarrativeContent_110"
"Committees","SECTION 10.2","<div></div>","5ab0fa0b-2dd6-4d85-a691-3b8d8df70aa7","10.2","NarrativeContent","NarrativeContent_111"
"Informed Consent Process","SECTION 10.3","<div></div>","c4e51e7e-945c-4d18-9489-39f2b2d70b46","10.3","NarrativeContent","NarrativeContent_112"
"Data Protection","SECTION 10.4","<div></div>","dddf8163-8784-416a-8270-27da01b80e4a","10.4","NarrativeContent","NarrativeContent_113"
"Early Site Closure or Trial Termination","SECTION 10.5","<div></div>","c7da87d0-9149-440b-96ac-bd72f7af9bff","10.5","NarrativeContent","NarrativeContent_114"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","<div></div>","efa8da64-7d02-43b8-95a6-3a87c5c167c3","11","NarrativeContent","NarrativeContent_115"
"Quality Tolerance Limits","SECTION 11.1","<div></div>","476f5c6a-5d54-4aa2-9567-a17eb165b3a8","11.1","NarrativeContent","NarrativeContent_116"
"Data Quality Assurance","SECTION 11.2","<div></div>","ce734439-f23b-489a-abc3-7305962c7649","11.2","NarrativeContent","NarrativeContent_117"
"Source Data","SECTION 11.3","<div></div>","b92608d6-671b-4416-9413-0df6a0ff2c7c","11.3","NarrativeContent","NarrativeContent_118"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","<div></div>","0bed64cc-4485-42d1-b83b-af79a123428d","12","NarrativeContent","NarrativeContent_119"
"Further Details and Clarifications on the AE Definition","SECTION 12.1","<div></div>","2ad865cd-170f-49c7-b40d-c95fa5ec9d50","12.1","NarrativeContent","NarrativeContent_120"
"Further Details and Clarifications on the SAE Definition","SECTION 12.2","<div></div>","0e70fd61-ac45-4828-9697-e202b7fc8048","12.2","NarrativeContent","NarrativeContent_121"
"Severity","SECTION 12.3","<div></div>","0a675c29-b018-4d7b-89e1-c54ba9c143ac","12.3","NarrativeContent","NarrativeContent_122"
"Causality","SECTION 12.4","<div></div>","f0fac257-64a9-47d3-b2f9-c29239d4d9e3","12.4","NarrativeContent","NarrativeContent_123"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","<div></div>","892ad1bb-3571-4e0e-ba7d-1182b077f086","13","NarrativeContent","NarrativeContent_124"
"Contraception and Pregnancy Testing","SECTION 13.1","<div></div>","dca3868d-9615-43d4-b072-5a45fe0103b2","13.1","NarrativeContent","NarrativeContent_125"
"Definitions Related to Childbearing Potential","SECTION 13.1.1","<div></div>","c6ce545d-cf84-4972-983e-da768c391e0d","13.1.1","NarrativeContent","NarrativeContent_126"
"Contraception","SECTION 13.1.2","<div></div>","c847047d-825e-4d7e-9d39-6f5249bd84ce","13.1.2","NarrativeContent","NarrativeContent_127"
"Pregnancy Testing","SECTION 13.1.3","<div></div>","f7b74262-f5e9-4a21-9f66-9b269461c73e","13.1.3","NarrativeContent","NarrativeContent_128"
"Clinical Laboratory Tests","SECTION 13.2","<div></div>","38439686-a6f2-4bc2-b2fb-f67d1421cc19","13.2","NarrativeContent","NarrativeContent_129"
"Country/Region-Specific Differences","SECTION 13.3","<div></div>","f07d4d47-7977-417f-8d9e-ec4ea683eeae","13.3","NarrativeContent","NarrativeContent_130"
"Prior Protocol Amendments","SECTION 13.4","<div></div>","3be0bf56-f127-49c3-9d5f-aaa055efe261","13.4","NarrativeContent","NarrativeContent_131"
"APPENDIX: GLOSSARY OF TERMS","SECTION 14","<div></div>","2575a6f6-3cfa-44c1-b8f7-59524ba45bdd","14","NarrativeContent","NarrativeContent_132"
"APPENDIX: REFERENCES","SECTION 15","<div></div>","4e10074c-ef33-47fb-a9b5-e739fecf4d4f","15","NarrativeContent","NarrativeContent_133"
