"label","reference","name","uuid:ID","synonyms","instanceType","id"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","bc8ded0b-ccf9-4aa8-97d1-352635c98462","['Weight']","BiomedicalConcept","BiomedicalConcept_5"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","9cd0adc7-8509-4bb9-990c-dbf0b4536f44","['Height']","BiomedicalConcept","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","558ee197-8127-4d2b-815e-7a4ca47476ba","['ALT', 'SGPT']","BiomedicalConcept","BiomedicalConcept_7"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","b5a6c10e-4b46-435c-b77d-1526cb206050","['Albumin']","BiomedicalConcept","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","5bb60bbc-88ee-4e80-ad8a-cf3e26e7e705","['Alkaline Phosphatase']","BiomedicalConcept","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","93d978a6-add3-49d1-b8c6-399f1650b4e3","['AST', 'SGOT']","BiomedicalConcept","BiomedicalConcept_10"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","fcf96bcb-667f-4e9b-b574-7e6131073a0f","['Creatinine']","BiomedicalConcept","BiomedicalConcept_11"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","2d000d31-c00b-4a36-aa1f-43e6c705d7ce","['Potassium', 'K']","BiomedicalConcept","BiomedicalConcept_12"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","feabe030-1b1f-443e-861c-21ef6471a393","['Sodium', 'NA']","BiomedicalConcept","BiomedicalConcept_13"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","7e07e863-757b-48df-a013-8ca907dd51f1","['SYSBP']","BiomedicalConcept","BiomedicalConcept_14"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","07fce81e-1ca3-4a48-9771-e057d721799a","['DIABP']","BiomedicalConcept","BiomedicalConcept_15"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","7fd5ab57-9be0-4670-91c0-5a8e79a6efb4","","BiomedicalConcept","BiomedicalConcept_16"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","c522eee4-f88e-4efc-9c16-0103c91a2663","['SYSBP']","BiomedicalConcept","BiomedicalConcept_17"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","95e355c2-250d-4298-9dfd-32b30948011f","['DIABP']","BiomedicalConcept","BiomedicalConcept_18"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","25cae628-2eb6-44a5-8a60-51f65f8b58ef","","BiomedicalConcept","BiomedicalConcept_19"
