"id","sectionNumber","text","sectionTitle","name","uuid:ID"
"NarrativeContent_28","5.5.2","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","de9adb09-db10-4098-b47d-7bf8a4f4a841"
"NarrativeContent_29","5.5.3","<div></div>","Physical Activity","SECTION 5.5.3","884b38c5-1b9e-4dc9-a13e-2d3e849806d0"
"NarrativeContent_30","5.5.4","<div></div>","Other Activity","SECTION 5.5.4","201df47e-3f2d-4786-bd03-2120614d2ceb"
"NarrativeContent_31","5.6","<div></div>","Screen Failures","SECTION 5.6","53e1207d-a001-4262-add5-b80f6258e47b"
"NarrativeContent_32","6","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","564206ce-3600-4604-9aae-5540a8a52f13"
"NarrativeContent_33","6.1","<div></div>","Description of Trial Intervention","SECTION 6.1","a7a5a722-b2ea-4735-be6c-ace10fab260f"
"NarrativeContent_34","6.2","<div></div>","Rationale for Trial Intervention","SECTION 6.2","6a0661e0-b574-4d54-ae43-1a2f5e5e5bf2"
"NarrativeContent_35","6.3","<div></div>","Dosing and Administration","SECTION 6.3","2b988fbc-59c3-4791-b832-183e3adcb43e"
"NarrativeContent_36","6.3.1","<div></div>","Trial Intervention Dose Modification","SECTION 6.3.1","52c9e85b-5a9f-425f-94d0-67727fe3e94e"
"NarrativeContent_37","6.4","<div></div>","Treatment of Overdose","SECTION 6.4","b2bc6910-72ef-4fdc-a004-4273fad5e4f2"
"NarrativeContent_38","6.5","<div></div>","Preparation, Handling, Storage and Accountability","SECTION 6.5","c5657855-160f-46ec-9afc-8ddd0d207703"
"NarrativeContent_39","6.5.1","<div></div>","Preparation of Trial Intervention","SECTION 6.5.1","06c20069-761c-406f-8b52-0deaface993c"
"NarrativeContent_40","6.5.2","<div></div>","Handling and Storage of Trial Intervention","SECTION 6.5.2","4fb035ff-a322-4591-ab99-5151184bfc72"
"NarrativeContent_41","6.5.3","<div></div>","Accountability of Trial Intervention","SECTION 6.5.3","fa2e6f8b-9ad9-4230-8e06-e3ca3c2e4cf7"
"NarrativeContent_42","6.6","<div></div>","Participant Assignment, Randomisation and Blinding","SECTION 6.6","99eae4a3-6a1c-47b2-b5ca-99d3968d0cdc"
"NarrativeContent_43","6.6.1","<div></div>","Participant Assignment","SECTION 6.6.1","fe19df29-059a-40ce-8366-6ea6500457b6"
"NarrativeContent_44","6.6.2","<div></div>","Randomisation","SECTION 6.6.2","16dc0d83-56fa-4c80-9391-557c16b6e20d"
"NarrativeContent_45","6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding","SECTION 6.6.3","7dc8ae4a-f6a6-4286-adcf-241fc8554dbc"
"NarrativeContent_46","6.7","<div></div>","Trial Intervention Compliance","SECTION 6.7","411e00b8-e743-4dc0-b58b-a94085e7771c"
"NarrativeContent_47","6.8","<div></div>","Concomitant Therapy","SECTION 6.8","da6ad843-3f87-4103-a0a4-bdf8dc6fcc63"
"NarrativeContent_48","6.8.1","<div></div>","Prohibited Concomitant Therapy","SECTION 6.8.1","74987afd-f868-4d50-b8c5-6c1d039fe03e"
"NarrativeContent_49","6.8.2","<div></div>","Permitted Concomitant Therapy","SECTION 6.8.2","1c9b24ae-ce56-45c4-b77b-f6c8d6c65b7c"
"NarrativeContent_50","6.8.3","<div></div>","Rescue Therapy","SECTION 6.8.3","c39584ea-bc2c-4b8b-9274-8f0f8d0d3ea2"
"NarrativeContent_51","6.8.4","<div></div>","Other Therapy","SECTION 6.8.4","0580a8c2-6de8-41b8-9e2d-bcc88a6bcdf8"
"NarrativeContent_52","7","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","03f025f2-2374-4142-ab7f-aed61870fd08"
"NarrativeContent_53","7.1","<div></div>","Discontinuation of Trial Intervention","SECTION 7.1","5c0141fd-aa49-449f-b3d5-0f0e39d4d289"
"NarrativeContent_54","7.1.1","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","e10668d6-757b-49ee-8c42-2667bca2139c"
"NarrativeContent_55","7.1.2","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","78fd1392-6a7a-4d22-b1ea-80d862dc40ba"
"NarrativeContent_56","7.1.3","<div></div>","Rechallenge","SECTION 7.1.3","f27e6396-b1bc-426f-828a-85f8cf18a071"
"NarrativeContent_57","7.2","<div></div>","Participant Withdrawal from the Trial","SECTION 7.2","e3978c68-a30c-4576-94bb-f7a1eb5d38d0"
"NarrativeContent_58","7.3","<div></div>","Lost to Follow-Up","SECTION 7.3","f7b6b058-f682-4cdb-9d93-fa971e037d8d"
"NarrativeContent_59","7.4","<div></div>","Trial Stopping Rules","SECTION 7.4","725c48ce-6043-45c5-9fde-6c969b187a5c"
"NarrativeContent_60","8","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","a3b8b1f3-ad67-48b7-9e30-faca74df7bbe"
"NarrativeContent_61","8.1","<div></div>","Screening/Baseline Assessments and Procedures","SECTION 8.1","8eaa74a8-121a-48a4-8822-723b687f2b99"
"NarrativeContent_62","8.2","<div></div>","Efficacy Assessments and Procedures","SECTION 8.2","3c0355fe-5c00-44ee-9948-fc244271a625"
"NarrativeContent_63","8.3","<div></div>","Safety Assessments and Procedures","SECTION 8.3","634e1625-ab36-4fb3-952f-5e783b768dfb"
"NarrativeContent_64","8.3.1","<div></div>","Physical Examination","SECTION 8.3.1","5af23544-b30f-4dbf-b061-e50d6740214d"
"NarrativeContent_65","8.3.2","<div></div>","Vital Signs","SECTION 8.3.2","57f766dd-6103-4ae0-8861-443f40cd72d8"
"NarrativeContent_66","8.3.3","<div></div>","Electrocardiograms","SECTION 8.3.3","746d2cf5-0af4-4bf8-980e-ee527967b69a"
"NarrativeContent_67","8.3.4","<div></div>","Clinical Laboratory Assessments","SECTION 8.3.4","47031c99-cfa2-4269-818a-27838b52f49c"
"NarrativeContent_68","8.3.5","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","6581cc87-ec33-426e-8b5c-f1c4e956d5bb"
"NarrativeContent_69","8.4","<div></div>","Adverse Events and Serious Adverse Events","SECTION 8.4","f35d04fd-764e-4168-9d5e-b1410c655332"
"NarrativeContent_70","8.4.1","<div></div>","Definitions of AE and SAE","SECTION 8.4.1","0286eec9-7457-416e-9b5e-f5dc280eba6e"
"NarrativeContent_71","8.4.2","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","84d1eb6c-abe2-4254-b494-24fbae45e839"
"NarrativeContent_72","8.4.3","<div></div>","Identifying AEs and SAEs","SECTION 8.4.3","f5889370-d734-4fc9-8b5b-e9dff054820e"
"NarrativeContent_73","8.4.4","<div></div>","Recording of AEs and SAEs","SECTION 8.4.4","7f0e5a78-5c8d-4742-b595-5aa6300a3a95"
"NarrativeContent_74","8.4.5","<div></div>","Follow-up of AEs and SAEs","SECTION 8.4.5","9b310892-63dc-4045-9b01-e52db9504c14"
"NarrativeContent_75","8.4.6","<div></div>","Reporting of SAEs","SECTION 8.4.6","fe06cdf4-d136-4921-a37f-465cae074fbb"
"NarrativeContent_76","8.4.7","<div></div>","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","ef3fba71-299f-4c59-9966-7a8145a0c9ad"
"NarrativeContent_77","8.4.8","<div></div>","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","985662f2-c696-4408-81ec-d5f2a88671ca"
"NarrativeContent_78","8.4.9","<div></div>","Adverse Events of Special Interest","SECTION 8.4.9","129de6d6-4c58-4b44-8433-e42286546a7d"
"NarrativeContent_79","8.4.10","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","5ab9da0d-204c-46bc-8a36-0b1dfaa35078"
"NarrativeContent_80","8.5","<div></div>","Pregnancy and Postpartum Information","SECTION 8.5","9aa53c79-7dcc-496c-92f8-598fda06541b"
"NarrativeContent_81","8.5.1","<div></div>","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","42847a69-773f-417a-b545-b2d3a60500e1"
"NarrativeContent_82","8.5.2","<div></div>","Participants Whose Partners Become Pregnant","SECTION 8.5.2","db291c42-bee4-4e98-9045-3e9d6c0481a7"
"NarrativeContent_83","8.6","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","7c891be5-78b5-406f-82d2-d956dac44456"
"NarrativeContent_84","8.6.1","<div></div>","Definition of Medical Device Product Complaints","SECTION 8.6.1","35d8cae3-f976-4dbc-a5a0-2ac265c5085e"
"NarrativeContent_85","8.6.2","<div></div>","Recording of Medical Device Product Complaints","SECTION 8.6.2","84e97606-c607-47f1-929f-10efd5116974"
"NarrativeContent_86","8.6.3","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","b6ad52b0-30d9-4ff8-a6f1-ec95ddf77f3a"
"NarrativeContent_87","8.6.4","<div></div>","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","47ab1e27-b274-424d-b7f5-ffa2432e515f"
"NarrativeContent_88","8.6.5","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","7d8627ca-74dc-4678-892f-cb7e419b3329"
"NarrativeContent_89","8.7","<div></div>","Pharmacokinetics","SECTION 8.7","8c575bc6-24a8-45a4-a667-1f35a96e3064"
"NarrativeContent_90","8.8","<div></div>","Genetics","SECTION 8.8","77c2f9c5-9474-4bdf-84f1-65bc4ce47390"
"NarrativeContent_91","8.9","<div></div>","Biomarkers","SECTION 8.9","66fd52e4-227c-42e6-8c50-63aada1c08af"
"NarrativeContent_92","8.1","<div></div>","Immunogenicity Assessments","SECTION 8.1","ca1f54f0-901b-46e8-928b-6184fce1e489"
"NarrativeContent_93","8.1.1","<div></div>","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","226c9df9-e429-47e4-a626-3b9c2a53d81f"
"NarrativeContent_94","9","<div></div>","STATISTICAL CONSIDERATIONS","SECTION 9","030e1569-0e41-4254-ba6c-1842ce8de3d8"
"NarrativeContent_95","9.1","<div></div>","Analysis Sets","SECTION 9.1","0204547f-e5de-4a39-81af-3945b4163495"
"NarrativeContent_96","9.2","<div></div>","Analyses Supporting Primary Objective(s)","SECTION 9.2","ad7bd204-1570-48fd-8196-ec6c45c15143"
"NarrativeContent_97","9.2.1","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","674b9426-d79c-488e-8c37-c9a58d1847d4"
"NarrativeContent_98","9.2.2","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","2636318e-b93d-4e68-bf46-3a69488d43ee"
"NarrativeContent_99","9.2.3","<div></div>","Handling of Missing Data","SECTION 9.2.3","ab2e022d-db5f-4c46-b4ba-ec302f474cce"
"NarrativeContent_100","9.2.4","<div></div>","Sensitivity Analysis","SECTION 9.2.4","c7932e53-6f10-4df4-98fa-9dd285947703"
"NarrativeContent_101","9.2.5","<div></div>","Supplementary Analysis","SECTION 9.2.5","3ea63abd-0844-4d03-ac8c-9fd35d080afc"
"NarrativeContent_102","9.3","<div></div>","Analysis Supporting Secondary Objective(s)","SECTION 9.3","749f0a76-7539-410b-8607-0d8102ffc2e0"
"NarrativeContent_103","9.4","<div></div>","Analysis of Exploratory Objective(s)","SECTION 9.4","dade1aa5-ddc6-4912-8467-3b653e338e8b"
"NarrativeContent_104","9.5","<div></div>","Safety Analyses","SECTION 9.5","5afb9de9-d4d5-4846-a52d-2a29608c59dd"
"NarrativeContent_105","9.6","<div></div>","Other Analyses","SECTION 9.6","aae04aae-a456-4fbd-b2d0-fe1a02491ee2"
"NarrativeContent_106","9.7","<div></div>","Interim Analyses","SECTION 9.7","56c7b9d0-9c89-44ab-b839-b4e951b1f499"
"NarrativeContent_107","9.8","<div></div>","Sample Size Determination","SECTION 9.8","0279e22f-beed-4058-975b-dc4e24d35489"
"NarrativeContent_108","9.9","<div></div>","Protocol Deviations","SECTION 9.9","fcdee8f9-2d75-42cd-b71d-a8cf3443ce57"
"NarrativeContent_109","10","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","cb07680c-a3de-4471-87c3-227cea0d4af4"
"NarrativeContent_110","10.1","<div></div>","Regulatory and Ethical Considerations","SECTION 10.1","5da809e9-6266-448d-bc21-f4b5c2edc81b"
"NarrativeContent_111","10.2","<div></div>","Committees","SECTION 10.2","68ce9648-465d-490a-ae12-f57ecbf55f88"
"NarrativeContent_112","10.3","<div></div>","Informed Consent Process","SECTION 10.3","c03b4c52-f3ac-464e-aefd-77a119acfb2c"
"NarrativeContent_113","10.4","<div></div>","Data Protection","SECTION 10.4","b0576f12-10e6-41f5-925f-5ceb2109b1c1"
"NarrativeContent_114","10.5","<div></div>","Early Site Closure or Trial Termination","SECTION 10.5","b982efa0-f396-427b-ad86-8c721093ddfa"
"NarrativeContent_115","11","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","eeb9b74d-058e-4a85-a07d-eb9ae4e94072"
"NarrativeContent_116","11.1","<div></div>","Quality Tolerance Limits","SECTION 11.1","4b2a979c-315e-4399-a3ab-83c1a3817897"
"NarrativeContent_117","11.2","<div></div>","Data Quality Assurance","SECTION 11.2","9d760c26-6b36-4bec-af91-af99ffee892e"
"NarrativeContent_118","11.3","<div></div>","Source Data","SECTION 11.3","c935e097-6c8c-4f0a-b858-f65e31945a4d"
"NarrativeContent_119","12","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","25875d6a-a916-4b63-875f-09e0ba7705a3"
"NarrativeContent_120","12.1","<div></div>","Further Details and Clarifications on the AE Definition","SECTION 12.1","96ba9bdc-c418-482b-beeb-609b84aa83b2"
"NarrativeContent_121","12.2","<div></div>","Further Details and Clarifications on the SAE Definition","SECTION 12.2","4f1ffcb1-7c14-4181-8ea6-57e26f9e6ab3"
"NarrativeContent_122","12.3","<div></div>","Severity","SECTION 12.3","5df63526-6eec-4b19-a68b-c1bb9b103bfd"
"NarrativeContent_123","12.4","<div></div>","Causality","SECTION 12.4","33d0b78a-1851-4573-8980-d86ef8f4ee47"
"NarrativeContent_124","13","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","be1b111c-168a-41b6-85c4-1905bd7a5106"
"NarrativeContent_125","13.1","<div></div>","Contraception and Pregnancy Testing","SECTION 13.1","0cb991e0-5d1a-4ae1-b20d-f9784f6f11c9"
"NarrativeContent_126","13.1.1","<div></div>","Definitions Related to Childbearing Potential","SECTION 13.1.1","a344c3b6-d7d2-47a6-910b-6292e8c96e2a"
"NarrativeContent_127","13.1.2","<div></div>","Contraception","SECTION 13.1.2","ef4792dc-9c7e-4e14-bda7-000a79191778"
"NarrativeContent_128","13.1.3","<div></div>","Pregnancy Testing","SECTION 13.1.3","37886743-75ea-43e0-8574-7876682518d9"
"NarrativeContent_129","13.2","<div></div>","Clinical Laboratory Tests","SECTION 13.2","061d1ec7-22fd-448e-ac7d-652a419d885b"
"NarrativeContent_130","13.3","<div></div>","Country/Region-Specific Differences","SECTION 13.3","bad3e0b5-837a-4929-ad6c-3a7c4ab486f0"
"NarrativeContent_131","13.4","<div></div>","Prior Protocol Amendments","SECTION 13.4","327c4625-6ef2-48c9-bb86-e71231ff0afa"
"NarrativeContent_132","14","<div></div>","APPENDIX: GLOSSARY OF TERMS","SECTION 14","9289cb5a-87fc-485f-bb6c-bee0c48c424c"
"NarrativeContent_133","15","<div></div>","APPENDIX: REFERENCES","SECTION 15","d45db84d-74e6-4220-a367-c0c410a84e8a"
