"id","sectionNumber","uuid:ID","text","sectionTitle","name"
"NarrativeContent_58","7.3","c179a094-9d63-4cfc-ad66-6159a6ffa42d","<div></div>","Lost to Follow-Up","SECTION 7.3"
"NarrativeContent_59","7.4","7293bf84-7b27-49a4-a549-8e576377bcf2","<div></div>","Trial Stopping Rules","SECTION 7.4"
"NarrativeContent_60","8","0b1fbcc0-f054-473e-bf42-18bf4acc9a69","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8"
"NarrativeContent_61","8.1","029f8e37-0a7e-4470-bc79-8eb70cc453b0","<div></div>","Screening/Baseline Assessments and Procedures","SECTION 8.1"
"NarrativeContent_62","8.2","6c2ba66c-e387-4841-bec1-a59e4ca545e3","<div></div>","Efficacy Assessments and Procedures","SECTION 8.2"
"NarrativeContent_63","8.3","2212def4-7c7f-4dc8-8e72-fb494868ba6f","<div></div>","Safety Assessments and Procedures","SECTION 8.3"
"NarrativeContent_64","8.3.1","5262f3b5-33c0-40ed-9142-4b2e2dfa5b79","<div></div>","Physical Examination","SECTION 8.3.1"
"NarrativeContent_65","8.3.2","caec89ee-27f0-4a59-a197-e58417e4341f","<div></div>","Vital Signs","SECTION 8.3.2"
"NarrativeContent_66","8.3.3","82b5ed40-964d-4f85-97ba-4daae37ab06c","<div></div>","Electrocardiograms","SECTION 8.3.3"
"NarrativeContent_67","8.3.4","d901f210-70e7-45b9-8476-c3b1a1a67502","<div></div>","Clinical Laboratory Assessments","SECTION 8.3.4"
"NarrativeContent_68","8.3.5","80081fbb-c7b5-4070-852d-d10b4fc693b1","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5"
"NarrativeContent_69","8.4","6559b2dd-72ec-4a30-b4e0-70acb09b9f4c","<div></div>","Adverse Events and Serious Adverse Events","SECTION 8.4"
"NarrativeContent_70","8.4.1","02061c2b-fa83-46f8-9ffc-7b71389d1882","<div></div>","Definitions of AE and SAE","SECTION 8.4.1"
"NarrativeContent_71","8.4.2","83357ffc-29ed-4d23-acce-7605d5a5bb2c","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2"
"NarrativeContent_72","8.4.3","93ae0bfd-a074-4a47-88d3-e6af95326ffd","<div></div>","Identifying AEs and SAEs","SECTION 8.4.3"
"NarrativeContent_73","8.4.4","f38ec503-a87e-4a58-9558-e64189eea3e3","<div></div>","Recording of AEs and SAEs","SECTION 8.4.4"
"NarrativeContent_74","8.4.5","720e7eb2-78d4-4b9f-b476-b484c8b18f15","<div></div>","Follow-up of AEs and SAEs","SECTION 8.4.5"
"NarrativeContent_75","8.4.6","750e77cc-ac2c-45b1-9740-9676c7bb540a","<div></div>","Reporting of SAEs","SECTION 8.4.6"
"NarrativeContent_76","8.4.7","000e5bbf-a612-404a-8ca1-39e848a81a20","<div></div>","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7"
"NarrativeContent_77","8.4.8","d9b91527-848b-4d82-b833-56fb8512cf09","<div></div>","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8"
"NarrativeContent_78","8.4.9","86a27902-b55f-4ae1-b095-947d1ca66125","<div></div>","Adverse Events of Special Interest","SECTION 8.4.9"
"NarrativeContent_79","8.4.10","33238cc7-b363-4c9a-bf9c-e5a399ead088","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10"
"NarrativeContent_80","8.5","a3528c0e-a0ef-49b7-b841-2d1b7ecae448","<div></div>","Pregnancy and Postpartum Information","SECTION 8.5"
"NarrativeContent_81","8.5.1","b0a38223-f48c-4a8d-ae38-742ba91f3281","<div></div>","Participants Who Become Pregnant During the Trial","SECTION 8.5.1"
"NarrativeContent_82","8.5.2","1983453f-f3d5-494f-b95a-63b0c827b36f","<div></div>","Participants Whose Partners Become Pregnant","SECTION 8.5.2"
"NarrativeContent_83","8.6","5dfa77af-03f5-4530-9826-bd5036ef2b66","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6"
"NarrativeContent_84","8.6.1","e3bdc3d4-e2c6-473a-b70f-4efe29287dfc","<div></div>","Definition of Medical Device Product Complaints","SECTION 8.6.1"
"NarrativeContent_85","8.6.2","3e813960-f0d4-4510-9a16-6b2d3cca46f4","<div></div>","Recording of Medical Device Product Complaints","SECTION 8.6.2"
"NarrativeContent_86","8.6.3","a58a1546-53c8-41a3-8087-0c4bbd432afc","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3"
"NarrativeContent_87","8.6.4","721b4eb5-d7ea-4afc-aeaf-afff45ddcf22","<div></div>","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4"
"NarrativeContent_88","8.6.5","c6f653be-8fa7-45b9-8706-a54ab380420e","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5"
"NarrativeContent_89","8.7","a1c57070-aa78-475a-8152-a457f9194c53","<div></div>","Pharmacokinetics","SECTION 8.7"
"NarrativeContent_90","8.8","f38b9179-a266-4ebb-9daa-32af6516a9ee","<div></div>","Genetics","SECTION 8.8"
"NarrativeContent_91","8.9","802249dd-a6b1-4046-9c8a-0de1446135f8","<div></div>","Biomarkers","SECTION 8.9"
"NarrativeContent_92","8.1","3a22f36d-84ee-4126-b878-b756a845dd4d","<div></div>","Immunogenicity Assessments","SECTION 8.1"
"NarrativeContent_93","8.1.1","734fb3f1-0a43-43e0-a3aa-d5804fe294db","<div></div>","Medical Resource Utilisation and Health Economics","SECTION 8.1.1"
"NarrativeContent_94","9","9b0759fa-5c42-4bf2-82d9-0cb2bed01dc7","<div></div>","STATISTICAL CONSIDERATIONS","SECTION 9"
"NarrativeContent_95","9.1","bd0ac7cf-007c-4374-baee-47b552f2ccc6","<div></div>","Analysis Sets","SECTION 9.1"
"NarrativeContent_96","9.2","8fbfdd04-75f9-42f9-861e-08633e1b20d9","<div></div>","Analyses Supporting Primary Objective(s)","SECTION 9.2"
"NarrativeContent_97","9.2.1","9e963a8c-0cb2-45e1-9604-ac3b779a65d9","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1"
"NarrativeContent_98","9.2.2","6f6676d3-8d1e-46a1-ad34-84ef8316dd3d","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2"
"NarrativeContent_99","9.2.3","2ff49941-5b05-4c7f-ada2-a93c3385e235","<div></div>","Handling of Missing Data","SECTION 9.2.3"
"NarrativeContent_100","9.2.4","0cb56d28-73b3-4d61-999f-2d4db0dde397","<div></div>","Sensitivity Analysis","SECTION 9.2.4"
"NarrativeContent_101","9.2.5","db3a02d3-9625-4c8d-a6dd-20ee1098387c","<div></div>","Supplementary Analysis","SECTION 9.2.5"
"NarrativeContent_102","9.3","5a508826-3226-44af-a6a0-ff49ec58e8db","<div></div>","Analysis Supporting Secondary Objective(s)","SECTION 9.3"
"NarrativeContent_103","9.4","58eb73b9-9ed2-477e-aa19-2181c0c57b71","<div></div>","Analysis of Exploratory Objective(s)","SECTION 9.4"
"NarrativeContent_104","9.5","1887104f-c755-4ff2-adcb-ab5233932ab3","<div></div>","Safety Analyses","SECTION 9.5"
"NarrativeContent_105","9.6","9f3601c2-72a6-4b6a-aa73-7bfb75ef5cc2","<div></div>","Other Analyses","SECTION 9.6"
"NarrativeContent_106","9.7","1037350c-538e-4f13-9539-a2db18c324f8","<div></div>","Interim Analyses","SECTION 9.7"
"NarrativeContent_107","9.8","71cff6ca-04f9-4f66-a5c4-3dcf0f39d9fe","<div></div>","Sample Size Determination","SECTION 9.8"
"NarrativeContent_108","9.9","6648f0d7-1109-4c44-8a7e-2be5b58a7462","<div></div>","Protocol Deviations","SECTION 9.9"
"NarrativeContent_109","10","d7ab4de3-248b-4872-b2b6-a0204b837367","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10"
"NarrativeContent_110","10.1","fab2556f-e702-4c63-bd6d-87cd41314a15","<div></div>","Regulatory and Ethical Considerations","SECTION 10.1"
"NarrativeContent_111","10.2","03eb69d8-b6e5-44e9-9b88-da3b2d19a631","<div></div>","Committees","SECTION 10.2"
"NarrativeContent_112","10.3","1052a6ae-cde0-4a2c-b0c5-facbcb8cc3b4","<div></div>","Informed Consent Process","SECTION 10.3"
"NarrativeContent_113","10.4","bb17e834-c4a3-46c7-a9c5-ab324a8bb40d","<div></div>","Data Protection","SECTION 10.4"
"NarrativeContent_114","10.5","387a4fda-1d0b-4582-a500-287f7934a26e","<div></div>","Early Site Closure or Trial Termination","SECTION 10.5"
"NarrativeContent_115","11","dbb632c0-96b3-4550-8831-6a444cf61d09","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11"
"NarrativeContent_116","11.1","868d661b-f5e6-4092-8fe1-8274e79cdc6b","<div></div>","Quality Tolerance Limits","SECTION 11.1"
"NarrativeContent_117","11.2","ea993b71-fad3-49a0-af3a-c0b10392a56f","<div></div>","Data Quality Assurance","SECTION 11.2"
"NarrativeContent_118","11.3","30e7903c-e3bf-420a-9ab5-73edc6e32eba","<div></div>","Source Data","SECTION 11.3"
"NarrativeContent_119","12","4e1a95ac-00d5-4255-a528-3aba885f874d","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12"
"NarrativeContent_120","12.1","0336b89d-0f60-42d8-a475-afbac5586ff6","<div></div>","Further Details and Clarifications on the AE Definition","SECTION 12.1"
"NarrativeContent_121","12.2","bd12fdc4-39f5-4a33-825c-9ac4ea6b6416","<div></div>","Further Details and Clarifications on the SAE Definition","SECTION 12.2"
"NarrativeContent_122","12.3","0e2ebaeb-efa0-40d1-bced-fc6d9b069b04","<div></div>","Severity","SECTION 12.3"
"NarrativeContent_123","12.4","5f2372aa-dccd-4c21-b942-fcbc883401dc","<div></div>","Causality","SECTION 12.4"
"NarrativeContent_124","13","0ff60fc1-0b11-4aa6-9cb4-e9e46a81a335","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13"
"NarrativeContent_125","13.1","9cfeb772-f6ef-40e9-b4d7-5009cac81534","<div></div>","Contraception and Pregnancy Testing","SECTION 13.1"
"NarrativeContent_126","13.1.1","b223a361-aae6-4ec4-a224-bfe44461a5a3","<div></div>","Definitions Related to Childbearing Potential","SECTION 13.1.1"
"NarrativeContent_127","13.1.2","71cd4039-5c05-48a8-ae6f-d58bff84618f","<div></div>","Contraception","SECTION 13.1.2"
"NarrativeContent_128","13.1.3","13d6f5f5-6d90-4f74-ab4e-94eaea7173f0","<div></div>","Pregnancy Testing","SECTION 13.1.3"
"NarrativeContent_129","13.2","8c39c207-d756-4ac6-af85-6f965478d144","<div></div>","Clinical Laboratory Tests","SECTION 13.2"
"NarrativeContent_130","13.3","f7680cbc-c995-4eca-9f0e-47975295708f","<div></div>","Country/Region-Specific Differences","SECTION 13.3"
"NarrativeContent_131","13.4","541eaa4d-13ce-4c29-a739-7689c6bf52e0","<div></div>","Prior Protocol Amendments","SECTION 13.4"
"NarrativeContent_132","14","3ca9e0f2-e7e8-4c8e-826a-2b7fb0877875","<div></div>","APPENDIX: GLOSSARY OF TERMS","SECTION 14"
"NarrativeContent_133","15","f71ecc5c-7788-4fa1-9347-71fe04f5e4bd","<div></div>","APPENDIX: REFERENCES","SECTION 15"
