"label","id","datatype","uuid:ID","isEnabled","name","isRequired"
"Laboratory Test Result","BiomedicalConceptProperty_46","decimal","1beaaa05-b9d6-46d0-abfc-4015f525310b","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_47","boolean","5d99dbae-bb8e-4b5a-ba68-64a7053d0965","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","string","e259a12f-abba-4529-825b-0bc094f57617","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_49","string","461a38c9-0334-4dea-a925-603d84187378","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_50","string","9bfa28c0-5b7f-4a6f-91f9-23ad5faac7f1","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_51","boolean","d6ab9bde-649d-477a-8842-ac20ff20fee6","True","Laboratory Test Fasting Status","True"
"Unit of Concentration","BiomedicalConceptProperty_52","string","0846ea0b-a54f-43a3-bb51-aca99ead7851","True","Unit of Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_53","string","50a74bb9-ab1c-47d4-9fd4-9285c844c5ba","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_54","decimal","2e96ebc9-ce32-4dab-b9a3-f94fd8902867","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_55","boolean","49904e9a-6bfd-470e-b1fc-bb32e0282345","True","Laboratory Test Fasting Status","True"
"Molarity Unit","BiomedicalConceptProperty_56","string","8a9851e2-3cc2-40a2-b848-721a437b5a51","True","Molarity Unit","True"
"Biospecimen Type","BiomedicalConceptProperty_57","string","d2cbd80f-cae9-41fc-9364-5adb07fbaa63","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_58","decimal","ebfc66a7-26a8-4ff5-9953-a0fb3dc95b1e","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_59","boolean","2a5431d4-01ea-409b-b64e-7c1b89d1e6b5","True","Laboratory Test Fasting Status","True"
"Molarity Unit","BiomedicalConceptProperty_60","string","6255f2d7-fe7d-4b80-947b-69335807679a","True","Molarity Unit","True"
"Biospecimen Type","BiomedicalConceptProperty_61","string","322a121d-e4ad-4870-afb3-06c4157420bf","True","Biospecimen Type","True"
"Vital Signs Result","BiomedicalConceptProperty_62","decimal","c6998339-fec4-485f-b698-a250add3ab83","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_63","string","a25264f4-cab1-4c59-b05d-442cd91dad2b","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_64","string","88deea63-e74b-4bae-a7c2-4ce696e653e9","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_65","string","edeffe70-baaa-4c6c-b810-4577767d2d42","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_66","string","87825602-c01b-48ff-8457-1e428d530ba9","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_67","string","d5239737-a7d0-424e-b79e-349c41e3a5bc","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_68","decimal","200ca2b8-bcdb-4141-88b0-025f908d6181","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_69","string","20500295-10d6-40ef-ab02-215f2fc2b73c","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_70","string","92dd2fcc-ac53-41b0-959f-9ad3468f00af","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_71","string","60547542-62ed-4ae0-a804-81b877bffdd1","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_72","string","6ef3e23f-59e6-4a51-9a02-8c1163063cf2","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_73","string","b4ec4ff4-36ab-4684-9369-d87b871a1ba3","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_74","decimal","8df292ea-0e0c-4caf-bd63-62acd139e41b","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_75","string","d2a1f881-6af2-4e39-b69f-8c192b380f4e","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_76","string","01cd51cd-ba39-4a83-affb-8766cb1efc33","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_77","string","428a1fc1-068b-4f32-83a1-6f5b7f209732","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_78","string","8af71cf6-1f8d-4b9f-b60a-971b6204088b","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_79","string","d4c50013-7ffc-4a17-97f8-d1919b7454f5","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_80","decimal","c7ac1d4c-955b-48b2-97cf-7c2c056b4d27","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_81","string","21aa8f84-4360-4259-8c7c-49796fbe7063","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_82","string","9e26dc6a-8c4b-4e32-8ed4-334f079decf7","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_83","string","e5350d4a-cdc6-497f-b89e-5f75750b54d1","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_84","string","fb8a5727-8531-434e-bd96-1fb6c08d37f9","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_85","string","e42a97c0-9a36-46b9-9c48-e58c62440883","True","Vital Signs Position","True"
