"id","sectionTitle","text","name","sectionNumber","uuid:ID","instanceType"
"NarrativeContent_16","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","4.2.1","4e06a1d5-a2ee-4b3b-ac11-dd6334178091","NarrativeContent"
"NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","<div></div>","SECTION 4.2.2","4.2.2","9c6b06a4-25ac-4e0d-a453-436bea5ab641","NarrativeContent"
"NarrativeContent_18","Other Trial Design Considerations","<div></div>","SECTION 4.2.3","4.2.3","eb884e9b-6855-48ab-b2d7-be9af5edfec6","NarrativeContent"
"NarrativeContent_19","Access to Trial Intervention After End of Trial","<div></div>","SECTION 4.3","4.3","f67639b2-9f81-43a5-941e-e9d408e4ee9a","NarrativeContent"
"NarrativeContent_20","Start of Trial and End of Trial","<div></div>","SECTION 4.4","4.4","31060d52-e500-4aff-8218-2d19702703ed","NarrativeContent"
"NarrativeContent_21","TRIAL POPULATION","<div></div>","SECTION 5","5","9ce1e139-0596-412a-9c4b-bb48b951b343","NarrativeContent"
"NarrativeContent_22","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
<div><strong>Screen</strong></div>
<div>
<p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
<p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
</div>
</div>
<div>
<div>To <strong>enter</strong></div>
<div>
<p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
</div>
</div>
<div>
<div>To <strong>enroll</strong></div>
<div>
<p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
</div>

<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p>","SECTION 5.1","5.1","d3fdf8b0-89c3-4126-b58d-022e74eae22e","NarrativeContent"
"NarrativeContent_23","Rationale for Trial Population","<div></div>","SECTION 5.2","5.2","6a018659-1e56-4743-ae74-172210d26bed","NarrativeContent"
"NarrativeContent_24","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></usdm:section></div>","SECTION 5.3","5.3","e3e868ad-07d8-40a0-8919-f438e7ce9c0e","NarrativeContent"
"NarrativeContent_25","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></usdm:section></div>","SECTION 5.4","5.4","f0caa395-1646-474f-82f3-6a426bac3516","NarrativeContent"
"NarrativeContent_26","Lifestyle Considerations","<div></div>","SECTION 5.5","5.5","254f0301-2950-42bf-b6f2-63c37f5f5f7b","NarrativeContent"
"NarrativeContent_27","Meals and Dietary Restrictions","<div></div>","SECTION 5.5.1","5.5.1","5d47e4ea-82d7-49b3-88ac-a78e060bf8db","NarrativeContent"
"NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","SECTION 5.5.2","5.5.2","a30c0548-83e6-4437-aa50-f660405bde34","NarrativeContent"
"NarrativeContent_29","Physical Activity","<div></div>","SECTION 5.5.3","5.5.3","c1753d87-7219-415a-b57a-1197bf9d4aec","NarrativeContent"
"NarrativeContent_30","Other Activity","<div></div>","SECTION 5.5.4","5.5.4","eee0adba-d55f-4f48-9962-d4d7cc4695a3","NarrativeContent"
"NarrativeContent_31","Screen Failures","<div></div>","SECTION 5.6","5.6","9344edcd-027b-40f5-a156-01c06b35ea01","NarrativeContent"
"NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","SECTION 6","6","17ab6f8c-662c-4db3-a6e8-e5db3c418549","NarrativeContent"
"NarrativeContent_33","Description of Trial Intervention","<div></div>","SECTION 6.1","6.1","cc26cbec-48cb-4019-820d-e5fa1235bfc0","NarrativeContent"
"NarrativeContent_34","Rationale for Trial Intervention","<div></div>","SECTION 6.2","6.2","5af67574-ec05-407c-9e87-1a7af2415e22","NarrativeContent"
"NarrativeContent_35","Dosing and Administration","<div></div>","SECTION 6.3","6.3","7d4c839a-238a-4988-bd80-5da75104f280","NarrativeContent"
"NarrativeContent_36","Trial Intervention Dose Modification","<div></div>","SECTION 6.3.1","6.3.1","50ce2f08-662f-43ba-b1da-effe8d5c083a","NarrativeContent"
"NarrativeContent_37","Treatment of Overdose","<div></div>","SECTION 6.4","6.4","7bd1d6cc-00fb-4544-acb8-040df1f49023","NarrativeContent"
"NarrativeContent_38","Preparation, Handling, Storage and Accountability","<div></div>","SECTION 6.5","6.5","bf4f2c09-2427-4a8c-9448-c4ee192a8262","NarrativeContent"
"NarrativeContent_39","Preparation of Trial Intervention","<div></div>","SECTION 6.5.1","6.5.1","903cf751-db4c-439e-8628-f9dfcf3c860b","NarrativeContent"
"NarrativeContent_40","Handling and Storage of Trial Intervention","<div></div>","SECTION 6.5.2","6.5.2","6e043edb-cbbf-4ed7-9259-ed8b1cbcd151","NarrativeContent"
"NarrativeContent_41","Accountability of Trial Intervention","<div></div>","SECTION 6.5.3","6.5.3","f1677044-e861-42fa-b9b6-c119f4481c90","NarrativeContent"
"NarrativeContent_42","Participant Assignment, Randomisation and Blinding","<div></div>","SECTION 6.6","6.6","2e8f3ca5-cd93-4541-971a-7233fe9138c7","NarrativeContent"
"NarrativeContent_43","Participant Assignment","<div></div>","SECTION 6.6.1","6.6.1","061e6033-a8e3-4153-93b0-90e69d671fc1","NarrativeContent"
"NarrativeContent_44","Randomisation","<div></div>","SECTION 6.6.2","6.6.2","51077dab-4b28-4238-a59e-c99eee2be914","NarrativeContent"
"NarrativeContent_45","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","6.6.3","4c607de0-ad0f-4c80-b319-2f9f157b7843","NarrativeContent"
"NarrativeContent_46","Trial Intervention Compliance","<div></div>","SECTION 6.7","6.7","fb63e8f4-a5ce-47a6-8eca-125ef7a248af","NarrativeContent"
"NarrativeContent_47","Concomitant Therapy","<div></div>","SECTION 6.8","6.8","25aec56d-4c3d-4f3d-be0e-cb04e46f2c7a","NarrativeContent"
"NarrativeContent_48","Prohibited Concomitant Therapy","<div></div>","SECTION 6.8.1","6.8.1","88c144ee-a997-422a-aa0f-3666f522ec16","NarrativeContent"
"NarrativeContent_49","Permitted Concomitant Therapy","<div></div>","SECTION 6.8.2","6.8.2","db36fa5a-ade3-4c95-a99c-ed9b525f25e0","NarrativeContent"
"NarrativeContent_50","Rescue Therapy","<div></div>","SECTION 6.8.3","6.8.3","8f90990d-2386-4854-986f-9c8067dc4203","NarrativeContent"
"NarrativeContent_51","Other Therapy","<div></div>","SECTION 6.8.4","6.8.4","0adddf30-7ab9-4d68-ac29-42fedb568ac7","NarrativeContent"
"NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","SECTION 7","7","91afdcde-eee0-4751-9e34-e340d0622a35","NarrativeContent"
"NarrativeContent_53","Discontinuation of Trial Intervention","<div></div>","SECTION 7.1","7.1","4ccbd85c-8388-4c6e-9fce-73fd3ab30201","NarrativeContent"
"NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","SECTION 7.1.1","7.1.1","c60070da-2afd-49d8-9689-7c2f5a514a19","NarrativeContent"
"NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","SECTION 7.1.2","7.1.2","b2237c37-f67d-47e1-bb6e-84336ca1491e","NarrativeContent"
"NarrativeContent_56","Rechallenge","<div></div>","SECTION 7.1.3","7.1.3","38f1cb0a-2886-4382-81d7-e51a041ae2da","NarrativeContent"
"NarrativeContent_57","Participant Withdrawal from the Trial","<div></div>","SECTION 7.2","7.2","e2429d47-a35f-4cb8-aca9-0d690437550f","NarrativeContent"
"NarrativeContent_58","Lost to Follow-Up","<div></div>","SECTION 7.3","7.3","efbbe7b5-5abe-4a03-90c5-68c8a53a1c69","NarrativeContent"
"NarrativeContent_59","Trial Stopping Rules","<div></div>","SECTION 7.4","7.4","254aed37-e002-46e5-894a-4224e3db76ac","NarrativeContent"
"NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","SECTION 8","8","b0c59e97-9c50-40dd-855f-1bfda942b970","NarrativeContent"
"NarrativeContent_61","Screening/Baseline Assessments and Procedures","<div></div>","SECTION 8.1","8.1","c3d11692-5c1c-442a-84c5-56c6f3cb5d0e","NarrativeContent"
"NarrativeContent_62","Efficacy Assessments and Procedures","<div></div>","SECTION 8.2","8.2","4ae1967f-ca0e-4689-8ca0-f925fb497f22","NarrativeContent"
"NarrativeContent_63","Safety Assessments and Procedures","<div></div>","SECTION 8.3","8.3","186db14f-e556-4568-bba4-f59d688c2e9f","NarrativeContent"
"NarrativeContent_64","Physical Examination","<div></div>","SECTION 8.3.1","8.3.1","8c3cdcf2-7386-4a78-b1e5-fd0e5a558f05","NarrativeContent"
"NarrativeContent_65","Vital Signs","<div></div>","SECTION 8.3.2","8.3.2","b22ba647-fe0f-45dc-980c-d9e7bdb6561e","NarrativeContent"
"NarrativeContent_66","Electrocardiograms","<div></div>","SECTION 8.3.3","8.3.3","ca736112-ebbb-4a75-9f87-eed3ef79e160","NarrativeContent"
"NarrativeContent_67","Clinical Laboratory Assessments","<div></div>","SECTION 8.3.4","8.3.4","6fe895cb-9914-43e0-920c-dc117a451e93","NarrativeContent"
"NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","SECTION 8.3.5","8.3.5","96789d0f-5abb-4c3b-aa99-e6f38cfbd4a9","NarrativeContent"
"NarrativeContent_69","Adverse Events and Serious Adverse Events","<div></div>","SECTION 8.4","8.4","3511f41a-1006-47dd-af47-403e81ac9c59","NarrativeContent"
"NarrativeContent_70","Definitions of AE and SAE","<div></div>","SECTION 8.4.1","8.4.1","7a92912b-b5cf-4097-98de-3a9a86c84b80","NarrativeContent"
"NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","SECTION 8.4.2","8.4.2","f631650a-f04d-4e0b-8e50-19977a3cae3c","NarrativeContent"
"NarrativeContent_72","Identifying AEs and SAEs","<div></div>","SECTION 8.4.3","8.4.3","257db250-ac84-49d3-975f-49a267858675","NarrativeContent"
"NarrativeContent_73","Recording of AEs and SAEs","<div></div>","SECTION 8.4.4","8.4.4","52b7add6-4442-4c3a-b691-05a5e906a410","NarrativeContent"
"NarrativeContent_74","Follow-up of AEs and SAEs","<div></div>","SECTION 8.4.5","8.4.5","763ee1ae-36b2-446b-b717-f04d5c502267","NarrativeContent"
"NarrativeContent_75","Reporting of SAEs","<div></div>","SECTION 8.4.6","8.4.6","3988191f-b781-4a23-aa69-79e56d725806","NarrativeContent"
"NarrativeContent_76","Regulatory Reporting Requirements for SAEs","<div></div>","SECTION 8.4.7","8.4.7","fd1a0e44-0732-4fe3-8d7e-ec88a08168d3","NarrativeContent"
"NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","<div></div>","SECTION 8.4.8","8.4.8","81389e9c-6992-481d-9c0e-f25ac9f561de","NarrativeContent"
"NarrativeContent_78","Adverse Events of Special Interest","<div></div>","SECTION 8.4.9","8.4.9","df99112d-cdc3-40f9-817b-093d07f3a0e7","NarrativeContent"
"NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","SECTION 8.4.10","8.4.10","88e51f6e-729a-462e-97ba-4db15719d180","NarrativeContent"
"NarrativeContent_80","Pregnancy and Postpartum Information","<div></div>","SECTION 8.5","8.5","78047296-347a-4067-9161-0440d696a772","NarrativeContent"
"NarrativeContent_81","Participants Who Become Pregnant During the Trial","<div></div>","SECTION 8.5.1","8.5.1","ea759265-2bd5-4dcd-8bab-c4470fda5f5e","NarrativeContent"
"NarrativeContent_82","Participants Whose Partners Become Pregnant","<div></div>","SECTION 8.5.2","8.5.2","f6998e7d-b445-44f6-9d80-b926d2df1ddd","NarrativeContent"
"NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","SECTION 8.6","8.6","66f67417-bad0-487f-884c-f7b10fc60f68","NarrativeContent"
"NarrativeContent_84","Definition of Medical Device Product Complaints","<div></div>","SECTION 8.6.1","8.6.1","bb51c938-bbac-44e9-b23c-789a213c8584","NarrativeContent"
"NarrativeContent_85","Recording of Medical Device Product Complaints","<div></div>","SECTION 8.6.2","8.6.2","64f97934-7f07-4b04-bb7a-ec3b1976c501","NarrativeContent"
"NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","SECTION 8.6.3","8.6.3","21f1a362-37bd-42ec-8401-af00911a171f","NarrativeContent"
"NarrativeContent_87","Follow-Up of Medical Device Product Complaints","<div></div>","SECTION 8.6.4","8.6.4","fe8f0131-54e9-40dd-a893-07db4eb56314","NarrativeContent"
"NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","SECTION 8.6.5","8.6.5","93d5408c-4e71-4740-b922-610d067bf8f3","NarrativeContent"
"NarrativeContent_89","Pharmacokinetics","<div></div>","SECTION 8.7","8.7","24fd5a82-f0df-44a0-9aac-3137e03dac68","NarrativeContent"
"NarrativeContent_90","Genetics","<div></div>","SECTION 8.8","8.8","b7d6d820-2d8f-4cf1-85e9-7adaa02d1819","NarrativeContent"
"NarrativeContent_91","Biomarkers","<div></div>","SECTION 8.9","8.9","bb648a09-d9e4-42b4-9b84-24c810b7236f","NarrativeContent"
"NarrativeContent_92","Immunogenicity Assessments","<div></div>","SECTION 8.1","8.1","92248ea6-a32b-403d-ae1d-63d7332ee45b","NarrativeContent"
"NarrativeContent_93","Medical Resource Utilisation and Health Economics","<div></div>","SECTION 8.1.1","8.1.1","b2665461-a056-49ff-92a4-05b00778e9cf","NarrativeContent"
"NarrativeContent_94","STATISTICAL CONSIDERATIONS","<div></div>","SECTION 9","9","07491a86-130c-4ff8-914a-52557670c6c8","NarrativeContent"
"NarrativeContent_95","Analysis Sets","<div></div>","SECTION 9.1","9.1","b99a41ed-9418-4ed3-9f68-ed4ccdd47e64","NarrativeContent"
"NarrativeContent_96","Analyses Supporting Primary Objective(s)","<div></div>","SECTION 9.2","9.2","d8c70b77-a5a6-4d75-8c9d-1a531109290b","NarrativeContent"
"NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","SECTION 9.2.1","9.2.1","5823919c-0f62-490f-94b8-c2443b53bab0","NarrativeContent"
"NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","SECTION 9.2.2","9.2.2","e78df9c4-6844-4656-a5dc-a8a3e5509927","NarrativeContent"
"NarrativeContent_99","Handling of Missing Data","<div></div>","SECTION 9.2.3","9.2.3","048a672b-4018-4e7c-89e2-6f9827a3cb4c","NarrativeContent"
"NarrativeContent_100","Sensitivity Analysis","<div></div>","SECTION 9.2.4","9.2.4","ade47c31-32ad-4b16-889b-3a0b2144b410","NarrativeContent"
"NarrativeContent_101","Supplementary Analysis","<div></div>","SECTION 9.2.5","9.2.5","0c652c88-b6d3-4396-a6ee-ef25c4b4516a","NarrativeContent"
"NarrativeContent_102","Analysis Supporting Secondary Objective(s)","<div></div>","SECTION 9.3","9.3","6e175b0b-de41-4070-89ce-a59a04942fd7","NarrativeContent"
"NarrativeContent_103","Analysis of Exploratory Objective(s)","<div></div>","SECTION 9.4","9.4","9f94277b-dc3e-4890-905b-838c52edd03b","NarrativeContent"
"NarrativeContent_104","Safety Analyses","<div></div>","SECTION 9.5","9.5","32d4dbc9-dafe-4a8d-ae99-b73eaa3378f6","NarrativeContent"
"NarrativeContent_105","Other Analyses","<div></div>","SECTION 9.6","9.6","6fd3c8fd-9923-411a-98ab-ba71b1a715c2","NarrativeContent"
"NarrativeContent_106","Interim Analyses","<div></div>","SECTION 9.7","9.7","360709a9-4d32-47f1-bf40-8f002e08f66c","NarrativeContent"
"NarrativeContent_107","Sample Size Determination","<div></div>","SECTION 9.8","9.8","c50f1c0d-1087-440f-9b01-176ce464dd9e","NarrativeContent"
"NarrativeContent_108","Protocol Deviations","<div></div>","SECTION 9.9","9.9","89c94d52-37c0-478c-81d8-8c913019fbb9","NarrativeContent"
"NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","SECTION 10","10","e522cfa8-2f67-4420-9d78-653303c735ac","NarrativeContent"
"NarrativeContent_110","Regulatory and Ethical Considerations","<div></div>","SECTION 10.1","10.1","51398643-759a-461d-8c23-8f48fbff7b97","NarrativeContent"
"NarrativeContent_111","Committees","<div></div>","SECTION 10.2","10.2","ad7aa982-c624-4875-bfea-32b49effa7f3","NarrativeContent"
"NarrativeContent_112","Informed Consent Process","<div></div>","SECTION 10.3","10.3","e3c9b1a2-75a3-4213-9a84-3e7da0ac4236","NarrativeContent"
"NarrativeContent_113","Data Protection","<div></div>","SECTION 10.4","10.4","aaa1c771-c0e2-446a-8a41-969df3769204","NarrativeContent"
"NarrativeContent_114","Early Site Closure or Trial Termination","<div></div>","SECTION 10.5","10.5","0758b437-2b4f-4045-a8b0-14d1c46620ed","NarrativeContent"
"NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","SECTION 11","11","b4333346-7df1-46a4-a84a-70a4d3e0718d","NarrativeContent"
"NarrativeContent_116","Quality Tolerance Limits","<div></div>","SECTION 11.1","11.1","48088e4c-b171-4c9e-b888-5c42e2ff8443","NarrativeContent"
"NarrativeContent_117","Data Quality Assurance","<div></div>","SECTION 11.2","11.2","5dbbb59b-1fc3-4861-859a-cb401c11217c","NarrativeContent"
"NarrativeContent_118","Source Data","<div></div>","SECTION 11.3","11.3","ca0c97e6-199d-4e64-aa5f-c63da46c867f","NarrativeContent"
"NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","SECTION 12","12","db2ba030-9eb5-4ced-b705-09af6faf9eb9","NarrativeContent"
"NarrativeContent_120","Further Details and Clarifications on the AE Definition","<div></div>","SECTION 12.1","12.1","7c436a26-c16b-40a3-ae0b-cc3be0cc6a84","NarrativeContent"
"NarrativeContent_121","Further Details and Clarifications on the SAE Definition","<div></div>","SECTION 12.2","12.2","b5911313-5160-49f9-842a-894eb1f553be","NarrativeContent"
"NarrativeContent_122","Severity","<div></div>","SECTION 12.3","12.3","6fdc8007-b16d-4b1d-98f1-65d8e5b5da58","NarrativeContent"
"NarrativeContent_123","Causality","<div></div>","SECTION 12.4","12.4","0e63e8df-b7d5-44c8-8ff6-60c853163e8c","NarrativeContent"
"NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","SECTION 13","13","8f029b0a-f1a9-4caa-b8af-d7a56f79bca3","NarrativeContent"
"NarrativeContent_125","Contraception and Pregnancy Testing","<div></div>","SECTION 13.1","13.1","81a72c1e-3d43-45f8-b598-8d5682652d55","NarrativeContent"
"NarrativeContent_126","Definitions Related to Childbearing Potential","<div></div>","SECTION 13.1.1","13.1.1","37cda817-3e77-4b54-904a-b299dc63a0b1","NarrativeContent"
"NarrativeContent_127","Contraception","<div></div>","SECTION 13.1.2","13.1.2","5f502180-a7ad-44fe-a52b-dee34d157543","NarrativeContent"
"NarrativeContent_128","Pregnancy Testing","<div></div>","SECTION 13.1.3","13.1.3","f11e2106-7b3d-41c2-8ca8-ac1978c93c94","NarrativeContent"
"NarrativeContent_129","Clinical Laboratory Tests","<div></div>","SECTION 13.2","13.2","0b98a4b1-b837-4e34-84ce-955d874ce616","NarrativeContent"
"NarrativeContent_130","Country/Region-Specific Differences","<div></div>","SECTION 13.3","13.3","fe6575f3-a4d3-4855-9797-088d8854e3fe","NarrativeContent"
"NarrativeContent_131","Prior Protocol Amendments","<div></div>","SECTION 13.4","13.4","45083ef9-907b-4c53-b3b5-cefe0658b6a7","NarrativeContent"
"NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","<div></div>","SECTION 14","14","4ecec668-4e71-4f48-ab5c-36a92414b13d","NarrativeContent"
"NarrativeContent_133","APPENDIX: REFERENCES","<div></div>","SECTION 15","15","61cffd14-b6a4-4554-ba76-008283164fdd","NarrativeContent"
