"codeSystemVersion","id","code","decode","uuid:ID","instanceType","codeSystem"
"","Code_309","C70713","Biospecimen Type","e3e1e0ee-4e1b-4416-8cc2-c8d06da2f01e","Code","NCI Thesaurus"
"","Code_305","C64547","Creatinine Measurement","437a4bbd-ec10-40b8-9c02-2f475f8d3741","Code","NCI Thesaurus"
"","Code_311","C36292","Laboratory Test Result","059bb218-29bd-4f22-8251-1a00a8f1c6d2","Code","NCI Thesaurus"
"","Code_312","C83309","Laboratory Test Fasting Status","b7323bda-69a8-467b-aac9-655eafc38656","Code","NCI Thesaurus"
"","Code_313","C64567","Molarity Unit","83f002f3-3c33-40db-9122-3aee312bdff7","Code","NCI Thesaurus"
"","Code_314","C70713","Biospecimen Type","0d54867a-fd80-4e0c-9fea-49ff35e6bedb","Code","NCI Thesaurus"
"","Code_310","C64853","Potassium Measurement","9f9d4ba5-0dea-4842-bf0c-c803c46353e2","Code","NCI Thesaurus"
"","Code_316","C36292","Laboratory Test Result","1fa3dfd5-4534-4110-9f25-886444a0cf18","Code","NCI Thesaurus"
"","Code_317","C83309","Laboratory Test Fasting Status","aa75beeb-926c-45a5-815a-5d7721c7a60a","Code","NCI Thesaurus"
"","Code_318","C64567","Molarity Unit","0b5dd481-ba00-4689-8938-bee0c517f80b","Code","NCI Thesaurus"
"","Code_319","C70713","Biospecimen Type","8bd64211-97cf-4cc0-8810-e6b74d003fcf","Code","NCI Thesaurus"
"","Code_315","C64809","Sodium Measurement","388295e5-1c62-4d45-b07a-ff2f6760db3c","Code","NCI Thesaurus"
"","Code_145","C82571","Reported Event Term","91eee70e-d849-4b4f-ae4a-d1f4528636a1","Code","NCI Thesaurus"
"","Code_146","C82977","Dictionary-derived Term","fd5119fb-67a8-4d9e-b109-74b8ed40d919","Code","NCI Thesaurus"
"","Code_147","C25372","Category","1727f1b1-aaff-4108-9b14-7c4250c11daf","Code","NCI Thesaurus"
"","Code_148","C25692","Subcategory","b883efb9-cdf8-440c-bea5-aafc3548e70c","Code","NCI Thesaurus"
"","Code_149","C82517","Observation Start Date Time","2cc25314-6b5f-49cc-b89c-e71c107d895d","Code","NCI Thesaurus"
"","Code_144","C41331","Adverse Event","14947b89-98dd-4e84-8bfb-06e1412eb7ea","Code","NCI Thesaurus"
"","Code_151","C77140","Clinical Test Result","e4c12796-7cf9-49cb-be7c-5fffe2823de4","Code","NCI Thesaurus"
"2023-09-29","Code_152","C42547","Pascal","e2e276a6-26a1-483a-bb93-15912a55faa1","Code","http://www.cdisc.org"
"","Code_153","C49669","Unit of Pressure","ef7789c7-1002-4846-8b2f-0cde0262e153","Code","NCI Thesaurus"
"","Code_154","C13717","Anatomic Site","49124f6b-4689-451f-9a19-5d6d3a21ed5b","Code","NCI Thesaurus"
"","Code_155","C25185","Laterality","77d63879-ebe0-47cc-9cf6-f911061a6df7","Code","NCI Thesaurus"
"","Code_156","C82535","Test Method","acc1a2c8-b598-44f7-841c-033f2c440327","Code","NCI Thesaurus"
"","Code_157","C62164","Body Position","1dcbd866-510a-426a-8b73-8949f59d43d0","Code","NCI Thesaurus"
"","Code_150","C25298","Systolic Blood Pressure","679b5b18-58f0-40a7-8772-05a69065cec4","Code","NCI Thesaurus"
"","Code_159","C77140","Clinical Test Result","29576e81-8c71-402c-8598-296fbf0af531","Code","NCI Thesaurus"
"2023-09-29","Code_160","C42547","Pascal","b895a48d-f71d-4595-86bf-450dd1cc304c","Code","http://www.cdisc.org"
"","Code_161","C49669","Unit of Pressure","50e30a5b-095b-46da-b1c3-2d7b39973fea","Code","NCI Thesaurus"
"","Code_162","C13717","Anatomic Site","1489bb1a-5219-4f47-9a18-150c812de3e9","Code","NCI Thesaurus"
"","Code_163","C25185","Laterality","40ccef04-cc2d-4507-b079-f31491a9f17f","Code","NCI Thesaurus"
"","Code_164","C82535","Test Method","c32c4f5a-2ff8-4b08-b4c6-eaa86912d203","Code","NCI Thesaurus"
"","Code_165","C62164","Body Position","815c2d96-4c92-41df-8224-0566396d417b","Code","NCI Thesaurus"
"","Code_158","C25299","Diastolic Blood Pressure","58baa5aa-0233-4a9b-95cd-baaa32fb21d9","Code","NCI Thesaurus"
"","Code_167","C77140","Clinical Test Result","d082cfe9-a02a-4304-8749-45e2887dc751","Code","NCI Thesaurus"
"2023-09-29","Code_168","C42537","Kelvin","6760433c-bdb0-428c-b4ce-3741d327fb6d","Code","http://www.cdisc.org"
"","Code_169","C44276","Unit of Temperature","bfd29476-e1bd-4325-a48b-21ee385ecada","Code","NCI Thesaurus"
"","Code_170","C13717","Anatomic Site","51fb51ea-8114-4a48-86ad-8aa43878649d","Code","NCI Thesaurus"
"","Code_166","C174446","Body Temperature","0bf970c7-c605-4e25-b6f6-a118ae954f78","Code","NCI Thesaurus"
"","Code_172","C77140","Clinical Test Result","f8375184-649d-4a63-aaa6-a1e0361ab754","Code","NCI Thesaurus"
"2023-09-29","Code_173","C28252","Kilogram","e5dbb15b-657b-4efb-9ba9-ed5550edaa8b","Code","http://www.cdisc.org"
"2023-09-29","Code_174","C48155","Gram","2216f2a6-f2a8-4d51-98a1-32651d2267fc","Code","http://www.cdisc.org"
"2023-09-29","Code_175","C48531","Pound","378d6b39-117c-4ddc-a01b-1df043d3fbb2","Code","http://www.cdisc.org"
"","Code_176","C48208","Unit of Weight","4ff68ed7-f476-4dac-9af3-b6e0b85fa542","Code","NCI Thesaurus"
"","Code_171","C81328","Body Weight","02ccc556-e81a-4bfe-af1a-fe768ffa14e1","Code","NCI Thesaurus"
"","Code_178","C77140","Clinical Test Result","b712cce6-ed8c-4d42-9a08-1270e9341b24","Code","NCI Thesaurus"
"2023-09-29","Code_179","C49668","Centimeter","dd7590c3-8f90-40e7-a7af-d28906f76cd9","Code","http://www.cdisc.org"
"2023-09-29","Code_180","C48500","Inch","8d7d3ab1-959b-459e-b112-c9867ee3119e","Code","http://www.cdisc.org"
"2023-09-29","Code_181","C28251","Millimeter","8bd5983e-281f-4cfe-ae8a-65e0aeb0e10e","Code","http://www.cdisc.org"
"2023-09-29","Code_182","C41139","Meter","b4dd2833-4da7-46ff-957a-c96f461c4df8","Code","http://www.cdisc.org"
"","Code_183","C168688","Unit of Height","17710f3e-5165-4a7c-9036-272aa4315ef1","Code","NCI Thesaurus"
"","Code_177","C164634","Body Height","4af4c6c0-ab30-43d3-9fa0-19318b8a90d9","Code","NCI Thesaurus"
"","Code_185","C36292","Laboratory Test Result","127614b4-7daa-4ef6-b890-958a0f64a60c","Code","NCI Thesaurus"
"","Code_186","C83309","Laboratory Test Fasting Status","cfe3b507-8cc6-40f0-ae69-aca4df67af27","Code","NCI Thesaurus"
"","Code_187","C67365","Unit of Catalytic Activity Concentration","9d0811dd-7900-4681-ad8d-0ab353079c94","Code","NCI Thesaurus"
"","Code_188","C70713","Biospecimen Type","0842cf29-eb3c-4e55-ac7a-fd043e31a954","Code","NCI Thesaurus"
"","Code_184","C64433","Alanine Aminotransferase Measurement","212d7035-2e2d-422d-a397-2c915d5b4ff4","Code","NCI Thesaurus"
"","Code_190","C36292","Laboratory Test Result","548829a4-2373-4d7c-8c41-4670f09d9294","Code","NCI Thesaurus"
"","Code_191","C83309","Laboratory Test Fasting Status","fa04e4a1-c42a-4a6e-9300-7e40250a7eeb","Code","NCI Thesaurus"
"","Code_192","C48207","Unit of Concentration","6197715a-96e9-4297-8e92-12461ed4b6ad","Code","NCI Thesaurus"
"","Code_193","C70713","Biospecimen Type","f7615630-92bb-45f5-a2ca-43317f65551d","Code","NCI Thesaurus"
"","Code_189","C64431","Albumin Measurement","ebd462af-adca-4ed6-aee8-4e109101e8a2","Code","NCI Thesaurus"
"","Code_195","C36292","Laboratory Test Result","e0029a26-cc50-4118-ab62-b05d9259e6ea","Code","NCI Thesaurus"
"","Code_196","C83309","Laboratory Test Fasting Status","cb161b17-3ab1-4e99-8fd2-909853ecf84f","Code","NCI Thesaurus"
"","Code_197","C67365","Unit of Catalytic Activity Concentration","640c8c59-a9d1-4d39-8fb1-2e67c8ebb2a4","Code","NCI Thesaurus"
"","Code_198","C70713","Biospecimen Type","26fd36a2-6378-471a-b740-747c99a83dfd","Code","NCI Thesaurus"
"","Code_194","C64432","Alkaline Phosphatase Measurement","446f9af2-84df-456f-8f1c-ad380a1ad587","Code","NCI Thesaurus"
"","Code_200","C36292","Laboratory Test Result","975b4bc1-7591-4cb7-bad2-d635f1b0c652","Code","NCI Thesaurus"
"","Code_201","C83309","Laboratory Test Fasting Status","f2446678-6c57-49d0-9235-0fad88d44cd2","Code","NCI Thesaurus"
"","Code_202","C67365","Unit of Catalytic Activity Concentration","c5aff8d1-e452-4259-9025-729ed741ede9","Code","NCI Thesaurus"
"","Code_203","C70713","Biospecimen Type","1cbb9d66-99af-4b9e-87eb-8af2705cdc33","Code","NCI Thesaurus"
"","Code_199","C64467","Aspartate Aminotransferase Measurement","c20251e2-f6ee-4100-a7dc-141031180c60","Code","NCI Thesaurus"
"","Code_205","C36292","Laboratory Test Result","0ac9282f-2b7b-48e0-83d5-2c5908b6baa3","Code","NCI Thesaurus"
"","Code_206","C83309","Laboratory Test Fasting Status","a097df72-b8cd-422c-8e2d-bec735299c96","Code","NCI Thesaurus"
"","Code_207","C48207","Unit of Concentration","bd8f634c-8dff-4337-9a2a-74f6b3fbf99b","Code","NCI Thesaurus"
"","Code_208","C70713","Biospecimen Type","c74a2843-34ad-429c-b363-c31c6e144189","Code","NCI Thesaurus"
"","Code_204","C64547","Creatinine Measurement","432eda5a-ef4f-45f8-9879-5d0c3c5cce85","Code","NCI Thesaurus"
"","Code_210","C36292","Laboratory Test Result","913304a1-76d9-4c7c-b67e-6f934d53d885","Code","NCI Thesaurus"
"","Code_211","C83309","Laboratory Test Fasting Status","b5574267-59f9-4d78-b062-751557feae0f","Code","NCI Thesaurus"
"","Code_212","C64567","Molarity Unit","6d745d3d-646e-41d5-aead-39de18dfe00b","Code","NCI Thesaurus"
"","Code_213","C70713","Biospecimen Type","56f6927d-cf93-4577-8d38-6026fa58e674","Code","NCI Thesaurus"
"","Code_209","C64853","Potassium Measurement","d0af6ca6-ed08-4211-bfc7-42fc63962a80","Code","NCI Thesaurus"
"","Code_215","C36292","Laboratory Test Result","52787373-84cc-41bf-9a46-b5a7de7cc124","Code","NCI Thesaurus"
"","Code_216","C83309","Laboratory Test Fasting Status","898356e8-9652-43bc-b644-d3741cb4525b","Code","NCI Thesaurus"
"","Code_217","C64567","Molarity Unit","c1974fbb-0352-4943-9296-e99ddf9639ff","Code","NCI Thesaurus"
"","Code_218","C70713","Biospecimen Type","33bf6ce3-d5fb-4673-a3c8-f17cb528d4ef","Code","NCI Thesaurus"
"","Code_214","C64809","Sodium Measurement","44e3a117-f58e-484b-8c89-ef7341a603fe","Code","NCI Thesaurus"
"","Code_220","C77140","Clinical Test Result","4e62bae0-7476-4bb0-b180-0a9e484a6f13","Code","NCI Thesaurus"
"2023-09-29","Code_221","C42547","Pascal","da6dc6b6-e93c-4a13-b8f6-944004c0bce2","Code","http://www.cdisc.org"
"","Code_222","C49669","Unit of Pressure","c42e03fd-0ff5-43cd-925b-acc33c2776d4","Code","NCI Thesaurus"
"","Code_223","C13717","Anatomic Site","acba7215-d8de-4f59-9d5c-d0877d1935ae","Code","NCI Thesaurus"
"","Code_224","C25185","Laterality","6bba3cac-c3e3-4274-bf46-b65fcb84433f","Code","NCI Thesaurus"
"","Code_225","C82535","Test Method","42a50fed-1a76-4c58-b11d-9a3957812b42","Code","NCI Thesaurus"
"","Code_226","C62164","Body Position","8361e2d1-35bf-4e3c-b577-c4d19656c961","Code","NCI Thesaurus"
"","Code_219","C25298","Systolic Blood Pressure","fedadb2d-1745-4d6b-9b0f-4814a65269b1","Code","NCI Thesaurus"
"","Code_228","C77140","Clinical Test Result","e7b23a49-8a88-4178-8ddf-2e566b8b7915","Code","NCI Thesaurus"
"2023-09-29","Code_229","C42547","Pascal","bc19f8fe-0e76-42a9-bc86-bfc09cc2343f","Code","http://www.cdisc.org"
"","Code_230","C49669","Unit of Pressure","a906380b-b2f3-4450-9b42-10e6bfd0e306","Code","NCI Thesaurus"
"","Code_231","C13717","Anatomic Site","4318384c-1819-487f-a71c-d1c04f6f3c00","Code","NCI Thesaurus"
"","Code_232","C25185","Laterality","edef9f6b-f2aa-438c-9509-f4c533afcc73","Code","NCI Thesaurus"
"","Code_233","C82535","Test Method","2e50f428-8d40-45ba-8a60-4fdb7ab66525","Code","NCI Thesaurus"
"","Code_234","C62164","Body Position","f20a99f8-f23f-489e-809e-3f9c28302bd8","Code","NCI Thesaurus"
"","Code_227","C25299","Diastolic Blood Pressure","0e6bae99-019c-4039-94e9-5e5ede2c3a45","Code","NCI Thesaurus"
"","Code_236","C77140","Clinical Test Result","3f1ac961-47ee-42f3-b4d8-a75290e82dc5","Code","NCI Thesaurus"
"2023-09-29","Code_237","C49673","Beats per Minute","ada0035e-c235-4f60-9606-4f108115c4fe","Code","http://www.cdisc.org"
"","Code_238","C73688","Count per Minute","e2b442b9-1c79-48ee-94ac-ac2af8f8fbd9","Code","NCI Thesaurus"
"","Code_239","C13717","Anatomic Site","93d7a8a7-0fe5-4c04-a97f-c7ab56dc5fbe","Code","NCI Thesaurus"
"","Code_240","C25185","Laterality","7c2667a4-1df5-485a-bfe0-1a71c5fe2e01","Code","NCI Thesaurus"
"","Code_241","C82535","Test Method","7b11bdfe-abe8-4da6-be25-fc5edbe62877","Code","NCI Thesaurus"
"","Code_242","C62164","Body Position","8f204545-8077-4a31-838e-2f88b371f17c","Code","NCI Thesaurus"
"","Code_235","C49677","Heart Rate","cdf08ec8-32dd-441d-9fc6-3ba91f3cc09d","Code","NCI Thesaurus"
"","Code_244","C77140","Clinical Test Result","828ab80f-f792-4487-8955-5482b66d262e","Code","NCI Thesaurus"
"2023-09-29","Code_245","C42547","Pascal","56a6daf2-20f8-46ef-82ab-f016a1429f14","Code","http://www.cdisc.org"
"","Code_246","C49669","Unit of Pressure","875e5939-ab55-41d9-b61d-fc1c1586289a","Code","NCI Thesaurus"
"","Code_247","C13717","Anatomic Site","7b1cf5ae-1d1a-43e5-9088-cac91e478a60","Code","NCI Thesaurus"
"","Code_248","C25185","Laterality","5ef05dde-2a74-4be2-ba91-51cf5c7af665","Code","NCI Thesaurus"
