"sectionNumber","text","name","id","sectionTitle","uuid:ID","instanceType"
"4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","d6758718-2c02-465c-9b45-7b46bfeeb35f","NarrativeContent"
"4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","8a3681db-e297-4c7f-8aef-1bb085acbff0","NarrativeContent"
"4.2.2","<div></div>","SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","11842dae-f516-4342-81be-2708d3b1442a","NarrativeContent"
"4.2.3","<div></div>","SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","7b0d1528-9ff8-4168-aaeb-b74efb2eed67","NarrativeContent"
"4.3","<div></div>","SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","577068d2-6e5b-44df-baaf-e234b177a8fd","NarrativeContent"
"4.4","<div></div>","SECTION 4.4","NarrativeContent_20","Start of Trial and End of Trial","943c7860-e459-4909-9132-7e3e5f545482","NarrativeContent"
"5","<div></div>","SECTION 5","NarrativeContent_21","TRIAL POPULATION","e8daf674-6d32-43a6-a25a-72fdd984e778","NarrativeContent"
"5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","NarrativeContent_22","Selection of Trial Population","71ed2576-2a7a-42e3-b104-a214ff9bbaca","NarrativeContent"
"5.2","<div></div>","SECTION 5.2","NarrativeContent_23","Rationale for Trial Population","c617830e-f175-4a4e-882a-1453ce3ec297","NarrativeContent"
"5.3","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","NarrativeContent_24","Inclusion Criteria","474059c5-8851-4f88-80e7-d351a9d7dee6","NarrativeContent"
"5.4","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","NarrativeContent_25","Exclusion Criteria","e3f5b26f-cd46-4ef7-a593-e030711addce","NarrativeContent"
"5.5","<div></div>","SECTION 5.5","NarrativeContent_26","Lifestyle Considerations","0fa31e19-011c-41a6-a21d-4d95d8746f33","NarrativeContent"
"5.5.1","<div></div>","SECTION 5.5.1","NarrativeContent_27","Meals and Dietary Restrictions","f5841012-0e26-4c8c-a045-c2f60d61ad7d","NarrativeContent"
"5.5.2","<div><p>Not applicable</p></div>","SECTION 5.5.2","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","eb795cda-eb75-4141-826a-6c1ba20ac5c3","NarrativeContent"
"5.5.3","<div></div>","SECTION 5.5.3","NarrativeContent_29","Physical Activity","5d67187d-9af3-4dfb-a5cb-1d1ca1c8f2b1","NarrativeContent"
"5.5.4","<div></div>","SECTION 5.5.4","NarrativeContent_30","Other Activity","0072d047-02c3-4d78-8828-7bd37edf1179","NarrativeContent"
"5.6","<div></div>","SECTION 5.6","NarrativeContent_31","Screen Failures","f2ab310c-a2d4-4524-a929-06190413410b","NarrativeContent"
"6","<div></div>","SECTION 6","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","4341196c-b47c-462a-9579-45cbf6dfdb8b","NarrativeContent"
"6.1","<div></div>","SECTION 6.1","NarrativeContent_33","Description of Trial Intervention","03c20f65-d57b-43c7-bc8d-e98f49e588db","NarrativeContent"
"6.2","<div></div>","SECTION 6.2","NarrativeContent_34","Rationale for Trial Intervention","026a4141-a25b-463e-a8cc-ef74514bccda","NarrativeContent"
"6.3","<div></div>","SECTION 6.3","NarrativeContent_35","Dosing and Administration","79e508e7-fb2e-4698-96d6-e90e838c597f","NarrativeContent"
"6.3.1","<div></div>","SECTION 6.3.1","NarrativeContent_36","Trial Intervention Dose Modification","a20c0b5c-386f-445e-a2cd-63c02200b787","NarrativeContent"
"6.4","<div></div>","SECTION 6.4","NarrativeContent_37","Treatment of Overdose","114d0389-f06d-44e8-83d9-ec2f749ef4b5","NarrativeContent"
"6.5","<div></div>","SECTION 6.5","NarrativeContent_38","Preparation, Handling, Storage and Accountability","590d46dc-e39b-47c1-b064-6e19c993f473","NarrativeContent"
"6.5.1","<div></div>","SECTION 6.5.1","NarrativeContent_39","Preparation of Trial Intervention","e17d176c-0d26-4159-aba9-4f1760b3815e","NarrativeContent"
"6.5.2","<div></div>","SECTION 6.5.2","NarrativeContent_40","Handling and Storage of Trial Intervention","6a7598d0-df60-4ffc-b7b2-0fba07819221","NarrativeContent"
"6.5.3","<div></div>","SECTION 6.5.3","NarrativeContent_41","Accountability of Trial Intervention","f99c8a60-b0b3-442d-bdc3-1797a6337ea2","NarrativeContent"
"6.6","<div></div>","SECTION 6.6","NarrativeContent_42","Participant Assignment, Randomisation and Blinding","28ece34f-cc2f-49c3-a043-ab3f0994a067","NarrativeContent"
"6.6.1","<div></div>","SECTION 6.6.1","NarrativeContent_43","Participant Assignment","b47433b6-7f51-4eb0-b4c8-bc8244023b8a","NarrativeContent"
"6.6.2","<div></div>","SECTION 6.6.2","NarrativeContent_44","Randomisation","96e2ada1-ca99-4ada-b0b8-70eef8a123c4","NarrativeContent"
"6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","NarrativeContent_45","Blinding and Unblinding","57f3950e-5606-42e2-93b8-5b4f82ae0d1e","NarrativeContent"
"6.7","<div></div>","SECTION 6.7","NarrativeContent_46","Trial Intervention Compliance","e7705ae4-14dd-4fc2-973d-d0c0e7b84db1","NarrativeContent"
"6.8","<div></div>","SECTION 6.8","NarrativeContent_47","Concomitant Therapy","427de6c6-c3d3-4d43-b197-ba1e5348904e","NarrativeContent"
"6.8.1","<div></div>","SECTION 6.8.1","NarrativeContent_48","Prohibited Concomitant Therapy","fe227c99-311a-4bdd-92d8-5b0685de1c7c","NarrativeContent"
"6.8.2","<div></div>","SECTION 6.8.2","NarrativeContent_49","Permitted Concomitant Therapy","dcd61617-1bf4-4d20-bd21-9ec96e1b8e56","NarrativeContent"
"6.8.3","<div></div>","SECTION 6.8.3","NarrativeContent_50","Rescue Therapy","de086747-8ff2-4c08-89ad-5bc9ec23ff8f","NarrativeContent"
"6.8.4","<div></div>","SECTION 6.8.4","NarrativeContent_51","Other Therapy","37452ac8-5543-4216-b49b-3c13a15bf7fa","NarrativeContent"
"7","<div></div>","SECTION 7","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","bf2d053d-7adc-4ad0-8f15-fcd0bc6996cb","NarrativeContent"
"7.1","<div></div>","SECTION 7.1","NarrativeContent_53","Discontinuation of Trial Intervention","6d48c1a9-6dde-40e7-8938-0c3cf2415832","NarrativeContent"
"7.1.1","<div></div>","SECTION 7.1.1","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","3bb3efe5-75bf-4403-95cd-a3d91d8e8d53","NarrativeContent"
"7.1.2","<div></div>","SECTION 7.1.2","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","63c35696-e17c-430c-b90b-e33c8277a67d","NarrativeContent"
"7.1.3","<div></div>","SECTION 7.1.3","NarrativeContent_56","Rechallenge","b388a463-6d72-4223-a75e-51b81836f085","NarrativeContent"
"7.2","<div></div>","SECTION 7.2","NarrativeContent_57","Participant Withdrawal from the Trial","e7f45a0f-306a-4cb8-88d6-8909d55353f6","NarrativeContent"
"7.3","<div></div>","SECTION 7.3","NarrativeContent_58","Lost to Follow-Up","263178b2-307e-419e-ab6b-65ebb2108f74","NarrativeContent"
"7.4","<div></div>","SECTION 7.4","NarrativeContent_59","Trial Stopping Rules","930148ca-a33f-47ea-9339-462293319e17","NarrativeContent"
"8","<div></div>","SECTION 8","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","79aab6ee-2ee0-4726-af17-0efb9817d837","NarrativeContent"
"8.1","<div></div>","SECTION 8.1","NarrativeContent_61","Screening/Baseline Assessments and Procedures","e778b0ea-037b-4c33-982d-bff889043206","NarrativeContent"
"8.2","<div></div>","SECTION 8.2","NarrativeContent_62","Efficacy Assessments and Procedures","de7addbc-102c-450b-8074-3520ba3c3c11","NarrativeContent"
"8.3","<div></div>","SECTION 8.3","NarrativeContent_63","Safety Assessments and Procedures","ba33a463-d366-4693-bea6-3bf703ed8a8e","NarrativeContent"
"8.3.1","<div></div>","SECTION 8.3.1","NarrativeContent_64","Physical Examination","645a39b4-ba39-43c9-89de-94b03b18f46c","NarrativeContent"
"8.3.2","<div></div>","SECTION 8.3.2","NarrativeContent_65","Vital Signs","fb322b36-2771-479c-9947-14789e681793","NarrativeContent"
"8.3.3","<div></div>","SECTION 8.3.3","NarrativeContent_66","Electrocardiograms","93eb84e2-628c-4e6a-857d-0a6da258dd74","NarrativeContent"
"8.3.4","<div></div>","SECTION 8.3.4","NarrativeContent_67","Clinical Laboratory Assessments","359b1c4b-271e-49bd-be97-8e9e37daa598","NarrativeContent"
"8.3.5","<div></div>","SECTION 8.3.5","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","31845419-0709-4b9c-9853-159355d2df75","NarrativeContent"
"8.4","<div></div>","SECTION 8.4","NarrativeContent_69","Adverse Events and Serious Adverse Events","232b8832-c43e-49fe-be0e-a574e639df96","NarrativeContent"
"8.4.1","<div></div>","SECTION 8.4.1","NarrativeContent_70","Definitions of AE and SAE","7e105357-630b-4c77-951b-a5987a9488a7","NarrativeContent"
"8.4.2","<div></div>","SECTION 8.4.2","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","c49a3b63-f148-45b4-ba9a-315a4723f1d1","NarrativeContent"
"8.4.3","<div></div>","SECTION 8.4.3","NarrativeContent_72","Identifying AEs and SAEs","76036bd5-669c-4a03-b569-80a1400b9f09","NarrativeContent"
"8.4.4","<div></div>","SECTION 8.4.4","NarrativeContent_73","Recording of AEs and SAEs","f29f7fd3-a6d8-4431-a5dc-732cf5d00354","NarrativeContent"
"8.4.5","<div></div>","SECTION 8.4.5","NarrativeContent_74","Follow-up of AEs and SAEs","5e192c45-e2db-49da-bcee-4ccfcc34cc54","NarrativeContent"
"8.4.6","<div></div>","SECTION 8.4.6","NarrativeContent_75","Reporting of SAEs","4a8a2f3c-c668-47bb-bb41-251de5aecc27","NarrativeContent"
"8.4.7","<div></div>","SECTION 8.4.7","NarrativeContent_76","Regulatory Reporting Requirements for SAEs","7ef729c2-4dcc-4862-bea8-f3272f6f4ce5","NarrativeContent"
"8.4.8","<div></div>","SECTION 8.4.8","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","1a983a05-dad2-4c2b-b522-1e1cd3fa4611","NarrativeContent"
"8.4.9","<div></div>","SECTION 8.4.9","NarrativeContent_78","Adverse Events of Special Interest","c76b0098-baab-4859-a274-23333f215430","NarrativeContent"
"8.4.10","<div></div>","SECTION 8.4.10","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","cf4a0d09-5d98-43c8-ad76-2e7a6e63a551","NarrativeContent"
"8.5","<div></div>","SECTION 8.5","NarrativeContent_80","Pregnancy and Postpartum Information","70905bde-0c00-4355-8d33-5bb258e1fca1","NarrativeContent"
"8.5.1","<div></div>","SECTION 8.5.1","NarrativeContent_81","Participants Who Become Pregnant During the Trial","99a2699e-4591-4b98-b2df-eebc3737aeac","NarrativeContent"
"8.5.2","<div></div>","SECTION 8.5.2","NarrativeContent_82","Participants Whose Partners Become Pregnant","82aa894c-37d6-4fc0-af4b-d7c0a4f35fd0","NarrativeContent"
"8.6","<div></div>","SECTION 8.6","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","a7ffbfe0-fac9-452d-a515-e64ee2c8c50d","NarrativeContent"
"8.6.1","<div></div>","SECTION 8.6.1","NarrativeContent_84","Definition of Medical Device Product Complaints","e7eb92f5-f0c1-4217-9d9a-08b1e883f634","NarrativeContent"
"8.6.2","<div></div>","SECTION 8.6.2","NarrativeContent_85","Recording of Medical Device Product Complaints","e814bd1b-519c-4c46-b8cf-d4c537fd70dc","NarrativeContent"
"8.6.3","<div></div>","SECTION 8.6.3","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","c6a2e60b-b351-40b6-a224-fb21c7c90a2f","NarrativeContent"
"8.6.4","<div></div>","SECTION 8.6.4","NarrativeContent_87","Follow-Up of Medical Device Product Complaints","0c021eed-c548-4640-89b3-7c8ac14f923d","NarrativeContent"
"8.6.5","<div></div>","SECTION 8.6.5","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","235236f0-4932-40c4-b940-7d45b5d6f8af","NarrativeContent"
"8.7","<div></div>","SECTION 8.7","NarrativeContent_89","Pharmacokinetics","e3bb339d-f8d1-4ec8-afe4-7275efe39edc","NarrativeContent"
"8.8","<div></div>","SECTION 8.8","NarrativeContent_90","Genetics","4fd42fed-a577-4d10-bac4-c80283c821ef","NarrativeContent"
"8.9","<div></div>","SECTION 8.9","NarrativeContent_91","Biomarkers","34dd37b7-2461-424b-9ccf-5aad7476cfeb","NarrativeContent"
"8.1","<div></div>","SECTION 8.1","NarrativeContent_92","Immunogenicity Assessments","2d90a93d-3f31-42a0-8a7f-954ced737e81","NarrativeContent"
"8.1.1","<div></div>","SECTION 8.1.1","NarrativeContent_93","Medical Resource Utilisation and Health Economics","5fe92dee-6e48-4325-a0f9-a806301d31ab","NarrativeContent"
"9","<div></div>","SECTION 9","NarrativeContent_94","STATISTICAL CONSIDERATIONS","c9e98834-bd34-4648-ab7b-c1af7866b7de","NarrativeContent"
"9.1","<div></div>","SECTION 9.1","NarrativeContent_95","Analysis Sets","58532c8d-e7e5-4ea1-92dc-0b7d488096ec","NarrativeContent"
"9.2","<div></div>","SECTION 9.2","NarrativeContent_96","Analyses Supporting Primary Objective(s)","0a87c2eb-3770-442d-b616-4c47061e0142","NarrativeContent"
"9.2.1","<div></div>","SECTION 9.2.1","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","55888c5b-fd4a-4449-bc43-03675b86cf8f","NarrativeContent"
"9.2.2","<div></div>","SECTION 9.2.2","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","01fe2b09-e298-4e3b-b11a-ca946f75454a","NarrativeContent"
"9.2.3","<div></div>","SECTION 9.2.3","NarrativeContent_99","Handling of Missing Data","ac98f45b-c58f-479c-b3d6-bb717a91dbb2","NarrativeContent"
"9.2.4","<div></div>","SECTION 9.2.4","NarrativeContent_100","Sensitivity Analysis","d3b45d60-ea81-4177-9ead-8b617bd27dc3","NarrativeContent"
"9.2.5","<div></div>","SECTION 9.2.5","NarrativeContent_101","Supplementary Analysis","8a406d07-cb0c-4ef4-aef7-b6765c804da5","NarrativeContent"
"9.3","<div></div>","SECTION 9.3","NarrativeContent_102","Analysis Supporting Secondary Objective(s)","b2087c18-9625-490d-9f3f-422c2c4a3c61","NarrativeContent"
"9.4","<div></div>","SECTION 9.4","NarrativeContent_103","Analysis of Exploratory Objective(s)","745486d1-0128-49a9-b74c-694be98f2e9e","NarrativeContent"
"9.5","<div></div>","SECTION 9.5","NarrativeContent_104","Safety Analyses","68eba7af-243c-40c5-98cd-742f57817f0c","NarrativeContent"
"9.6","<div></div>","SECTION 9.6","NarrativeContent_105","Other Analyses","cf4a85dd-276f-4be2-8e63-046302d9ba18","NarrativeContent"
"9.7","<div></div>","SECTION 9.7","NarrativeContent_106","Interim Analyses","2c5b95f2-5d91-4b30-9be6-a2c5218d1a13","NarrativeContent"
"9.8","<div></div>","SECTION 9.8","NarrativeContent_107","Sample Size Determination","621a1ecd-73a0-4327-a708-4a0f87f4cfaf","NarrativeContent"
"9.9","<div></div>","SECTION 9.9","NarrativeContent_108","Protocol Deviations","6e21f037-4274-40d9-af6d-20433f8a4711","NarrativeContent"
"10","<div></div>","SECTION 10","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","92955713-3304-4ebe-83a6-caf82281c348","NarrativeContent"
"10.1","<div></div>","SECTION 10.1","NarrativeContent_110","Regulatory and Ethical Considerations","62914176-478b-416d-904f-5c3dd52718a6","NarrativeContent"
"10.2","<div></div>","SECTION 10.2","NarrativeContent_111","Committees","65ccc366-cf96-4237-8374-6ce7990feac3","NarrativeContent"
"10.3","<div></div>","SECTION 10.3","NarrativeContent_112","Informed Consent Process","7371530c-0ad5-4d0b-b0ee-d4c09529c5a4","NarrativeContent"
"10.4","<div></div>","SECTION 10.4","NarrativeContent_113","Data Protection","0f847af8-9d00-4985-be2f-f1d8c73d5c1d","NarrativeContent"
"10.5","<div></div>","SECTION 10.5","NarrativeContent_114","Early Site Closure or Trial Termination","47d61c50-e53d-4db6-9ba0-a1b02d2fa11b","NarrativeContent"
"11","<div></div>","SECTION 11","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","76a10b01-072d-4aa3-9c23-4c548eeffcb2","NarrativeContent"
"11.1","<div></div>","SECTION 11.1","NarrativeContent_116","Quality Tolerance Limits","41c3e240-47ca-43ab-9a51-af6cae00f54f","NarrativeContent"
"11.2","<div></div>","SECTION 11.2","NarrativeContent_117","Data Quality Assurance","f75660e8-36a6-4a63-bd0d-7cbc930c4508","NarrativeContent"
"11.3","<div></div>","SECTION 11.3","NarrativeContent_118","Source Data","1e726d30-eb70-41fd-813b-124783b3bf57","NarrativeContent"
"12","<div></div>","SECTION 12","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","bd8f6989-2b50-4ae1-8eb2-30cb0e3c1065","NarrativeContent"
"12.1","<div></div>","SECTION 12.1","NarrativeContent_120","Further Details and Clarifications on the AE Definition","5f665139-4568-496b-ad0a-a1cce34f7bd4","NarrativeContent"
"12.2","<div></div>","SECTION 12.2","NarrativeContent_121","Further Details and Clarifications on the SAE Definition","4fe1fac1-609f-46a3-adb3-24a7a1fa8b55","NarrativeContent"
"12.3","<div></div>","SECTION 12.3","NarrativeContent_122","Severity","223d20f1-1d5d-4e51-b638-337ae1240c40","NarrativeContent"
"12.4","<div></div>","SECTION 12.4","NarrativeContent_123","Causality","cb8500d2-4541-4947-8a05-90f69169bad2","NarrativeContent"
"13","<div></div>","SECTION 13","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","28f094fd-e4af-4dc0-8b6a-a2f458835150","NarrativeContent"
"13.1","<div></div>","SECTION 13.1","NarrativeContent_125","Contraception and Pregnancy Testing","6aa35bbe-f88d-4e83-a51e-887201496bae","NarrativeContent"
"13.1.1","<div></div>","SECTION 13.1.1","NarrativeContent_126","Definitions Related to Childbearing Potential","e6332d76-e3c7-4aa0-9a9d-a200f7a150cf","NarrativeContent"
"13.1.2","<div></div>","SECTION 13.1.2","NarrativeContent_127","Contraception","a11a3c9c-ca44-4792-a18b-db3c93841132","NarrativeContent"
"13.1.3","<div></div>","SECTION 13.1.3","NarrativeContent_128","Pregnancy Testing","9e8af2de-9e2a-4840-8297-0ec510083cd2","NarrativeContent"
"13.2","<div></div>","SECTION 13.2","NarrativeContent_129","Clinical Laboratory Tests","892a5b21-6bf5-4daf-be9a-9514cb552ad6","NarrativeContent"
"13.3","<div></div>","SECTION 13.3","NarrativeContent_130","Country/Region-Specific Differences","c8b26764-415a-48e5-9b13-21c68ac13d20","NarrativeContent"
"13.4","<div></div>","SECTION 13.4","NarrativeContent_131","Prior Protocol Amendments","9dbff0b3-38f9-419e-b943-ace825b13c9a","NarrativeContent"
"14","<div></div>","SECTION 14","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","39a85771-e217-4272-87c0-9d24550e48f2","NarrativeContent"
"15","<div></div>","SECTION 15","NarrativeContent_133","APPENDIX: REFERENCES","75d89567-2077-4166-8c77-96205c5b3062","NarrativeContent"
