"name","id","reference","synonyms","label","uuid:ID","instanceType"
"Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","389f1fee-32fb-4c86-b335-52b75a1cab0c","BiomedicalConcept"
"Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","948a7bce-53ed-4f96-bad2-5f47276a357a","BiomedicalConcept"
"Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","31b39187-ff56-4516-aaf7-c772affabba9","BiomedicalConcept"
"Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","7b917ebf-a6e4-4d1a-8101-121bfdafe4d3","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","e230a24c-4fa9-457f-a9a7-8e83fd6728f5","BiomedicalConcept"
"Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","1ec8399d-8254-4430-b7ce-968975f0abfb","BiomedicalConcept"
"Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","ce1eea9f-e6d1-4e85-b11c-c2bce07d5993","BiomedicalConcept"
"Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","3f7a8990-9eef-44c9-85f5-36a439863e2f","BiomedicalConcept"
"Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","9b054f43-eb64-43ee-9cb5-384159e5b20f","BiomedicalConcept"
"Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","9d30ed56-c5d9-42c8-ac5b-f194e2e88c4d","BiomedicalConcept"
"Heart Rate","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","Heart Rate","9aa15ce7-b0be-4882-83d7-71ad88d7878c","BiomedicalConcept"
"Systolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","c97d617d-3326-455b-adeb-77db8a570a9a","BiomedicalConcept"
"Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","c793b7e2-8e4e-485f-b688-4b45f4f4f73b","BiomedicalConcept"
"Heart Rate","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","Heart Rate","49ebc92e-a8cf-4f85-89a2-0b97417a9ed9","BiomedicalConcept"
