"bcPropertyEnabled","uuid:ID","bcPropertyResponseCodes","id","bcPropertyDatatype","label","name","bcPropertyRequired"
"True","27b559d1-1e56-4ac3-8512-12c5cbdf3dcd","[]","BiomedicalConceptProperty_99","string","Unit of Concentration","Unit of Concentration","True"
"True","b5729f0a-e0ff-4144-b046-53ff277de28b","[]","BiomedicalConceptProperty_100","string","Biospecimen Type","Biospecimen Type","True"
"True","f8fe99d0-de26-4d37-8d95-59a2dad0ba88","[]","BiomedicalConceptProperty_101","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","3dca7fb6-21fd-4a3e-9194-b5535819df6d","[]","BiomedicalConceptProperty_102","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","98b38eaf-ac92-4d97-9888-6b85dc121edd","[]","BiomedicalConceptProperty_103","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True"
"True","28db924d-703d-4db6-b4aa-4c90b04eb1a9","[]","BiomedicalConceptProperty_104","string","Biospecimen Type","Biospecimen Type","True"
"True","71f6e3e6-9e93-4cb4-91ff-467b1862e2a3","[]","BiomedicalConceptProperty_105","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","c102f8e7-1406-4633-a5af-4bbb3486d6d2","[]","BiomedicalConceptProperty_106","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","8ea6a78d-9f78-4ebd-97c4-8c439c39ca97","[]","BiomedicalConceptProperty_107","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True"
"True","296d9023-c8ba-4c54-84d2-414b8a7e541c","[]","BiomedicalConceptProperty_108","string","Biospecimen Type","Biospecimen Type","True"
"True","ff9adcb4-8cef-4048-93ef-00cc43c23864","[]","BiomedicalConceptProperty_109","string","Laboratory Test Result","Laboratory Test Result","True"
"True","cac0d03c-0002-4c65-84bd-7a1655596397","[]","BiomedicalConceptProperty_110","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","5233c0ed-76ed-42b9-97d6-78c0cedf08fa","[]","BiomedicalConceptProperty_111","string","Unit of Concentration","Unit of Concentration","True"
"True","1ca59ef4-ef4a-4c07-9237-3bb7c644caeb","[]","BiomedicalConceptProperty_112","string","Biospecimen Type","Biospecimen Type","True"
"True","09424390-9bb2-46a6-88b4-0853ebda86e4","[]","BiomedicalConceptProperty_113","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","54536ad0-fa6b-4694-a03f-219b517baafb","[]","BiomedicalConceptProperty_114","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","1ab239cf-09d4-49f7-92e4-831a294843fa","[]","BiomedicalConceptProperty_115","string","Molarity Unit","Molarity Unit","True"
"True","3b911970-36d5-4a30-89d8-2d709c011e8c","[]","BiomedicalConceptProperty_116","string","Biospecimen Type","Biospecimen Type","True"
"True","c7f5eaab-08e3-4226-bd83-49f41ead1409","[]","BiomedicalConceptProperty_117","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","04770249-6ac0-4c17-9a5a-75b1c83dc98b","[]","BiomedicalConceptProperty_118","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","9d5dd539-4732-4738-913e-64546fc76847","[]","BiomedicalConceptProperty_119","string","Molarity Unit","Molarity Unit","True"
"True","609c75d3-4573-4d42-8c65-d4805b439a17","[]","BiomedicalConceptProperty_120","string","Biospecimen Type","Biospecimen Type","True"
"True","c743871c-8bba-42d6-b8a0-0d96c8581d71","[]","BiomedicalConceptProperty_1","string","Adverse Event Verbatim Description","Adverse Event Verbatim Description","True"
"True","cd789f06-7be1-4c6d-a7bd-8f3e8da322ff","[]","BiomedicalConceptProperty_2","string","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","True"
"True","1c338db9-ea18-472f-aa57-920aa188122d","[]","BiomedicalConceptProperty_3","string","Adverse Event Category","Adverse Event Category","True"
"True","772d572c-05d9-48b1-b977-b4db7922b3e5","[]","BiomedicalConceptProperty_4","string","Adverse Event Subcategory","Adverse Event Subcategory","True"
"True","1f72ed38-f517-4278-b113-378bfdcc86ff","[]","BiomedicalConceptProperty_5","boolean","Adverse Event Pre-specified","Adverse Event Pre-specified","True"
"True","f071a3b9-716a-4f8d-af6f-5426112329ac","[]","BiomedicalConceptProperty_6","string","Severity of Adverse Event","Severity of Adverse Event","True"
"True","9e014d1e-a86c-40c5-8e76-fe2854cd9001","[]","BiomedicalConceptProperty_7","string","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","True"
"True","d9b1df72-1ecc-406e-9412-22090a5f5f10","[]","BiomedicalConceptProperty_8","boolean","Seriousness of Adverse Event","Seriousness of Adverse Event","True"
"True","739cb4c9-0d52-4895-b4f8-574d9d6bd810","","BiomedicalConceptProperty_9","string","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","True"
"True","f84ddfc5-3a98-46ba-a282-4bb51b87ed7b","[]","BiomedicalConceptProperty_10","string","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","True"
"True","e5314859-82c4-4761-abc2-63408659f5b7","[]","BiomedicalConceptProperty_11","string","Adverse Event Pattern","Adverse Event Pattern","True"
"True","52bd6649-dc77-4852-900e-538f118a77cd","","BiomedicalConceptProperty_12","string","Adverse Event Outcome","Adverse Event Outcome","True"
"True","8e69d2bd-b364-4ecc-8856-f6083dcb9007","[]","BiomedicalConceptProperty_13","datetime","Adverse Event Start Date Time","Adverse Event Start Date Time","True"
"True","56da1883-65f5-4125-8798-12632562d648","[]","BiomedicalConceptProperty_14","datetime","Adverse Event End Date Time","Adverse Event End Date Time","True"
"True","ad62d4a4-8765-47cf-ba2a-9648089121da","[]","BiomedicalConceptProperty_15","decimal","Vital Signs Result","Vital Signs Result","True"
"True","61985136-00c2-445f-81a9-0a99efb6a652","","BiomedicalConceptProperty_16","string","Unit of Pressure","Unit of Pressure","True"
"True","aeb1a4c7-f923-49e9-9339-2b852617c092","[]","BiomedicalConceptProperty_17","string","Vital Signs Location","Vital Signs Location","True"
"True","9dcc75ec-382c-426b-b8c0-a62079230f98","[]","BiomedicalConceptProperty_18","string","Vital Signs Laterality","Vital Signs Laterality","True"
"True","bb7595a7-69bb-4cbb-ab8c-dbd53da219cd","[]","BiomedicalConceptProperty_19","string","Test Method","Test Method","True"
"True","08b49d7d-477d-47d6-8e03-3ec7aa649352","[]","BiomedicalConceptProperty_20","string","Vital Signs Position","Vital Signs Position","True"
"True","50c583bb-3792-42a8-823d-68df95c01f06","[]","BiomedicalConceptProperty_21","decimal","Vital Signs Result","Vital Signs Result","True"
"True","4aa56261-41e9-4495-bdb5-3e26f4d71a6e","","BiomedicalConceptProperty_22","string","Unit of Pressure","Unit of Pressure","True"
"True","52efc5fe-7995-4820-b538-eb4356166a3b","[]","BiomedicalConceptProperty_23","string","Vital Signs Location","Vital Signs Location","True"
"True","14fdbc2c-1651-4b47-855a-aca5dbed06c8","[]","BiomedicalConceptProperty_24","string","Vital Signs Laterality","Vital Signs Laterality","True"
"True","f700538b-2b11-4406-9e9e-05c6d68f4ada","[]","BiomedicalConceptProperty_25","string","Test Method","Test Method","True"
"True","6c0cd45c-1850-4b33-9d8c-36d876f4a370","[]","BiomedicalConceptProperty_26","string","Vital Signs Position","Vital Signs Position","True"
"True","7173d4ae-db2c-4cba-a3cc-be6941b6abfa","[]","BiomedicalConceptProperty_27","decimal","Vital Signs Result","Vital Signs Result","True"
"True","ded23c4b-502d-4f26-9ec7-f0fc8fc63abb","","BiomedicalConceptProperty_28","string","Unit of Temperature","Unit of Temperature","True"
"True","9866b9d8-d829-4ca8-b9c1-a5723a2db2c5","[]","BiomedicalConceptProperty_29","string","Vital Signs Location","Vital Signs Location","True"
"True","d95cf7c9-8c6c-44d1-8589-7e45ef82c0d3","[]","BiomedicalConceptProperty_30","decimal","Vital Signs Result","Vital Signs Result","True"
"True","6231fc86-b7d8-4eb6-9832-01fe61ade4bc","","BiomedicalConceptProperty_31","string","Unit of Weight","Unit of Weight","True"
"True","3a7954f2-0a78-43fa-976c-ecbe1716919b","[]","BiomedicalConceptProperty_32","decimal","Vital Signs Result","Vital Signs Result","True"
"True","92705b20-9e54-4f9b-9e98-d00150629419","","BiomedicalConceptProperty_33","string","Unit of Height","Unit of Height","True"
"True","f54a2303-f30c-4b54-9ebb-ec9d132a32dd","[]","BiomedicalConceptProperty_34","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","d1491783-7767-4ae0-9de8-5761631f9641","[]","BiomedicalConceptProperty_35","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","4e9c3275-4054-4f24-8f0c-a5ddd9b1a572","[]","BiomedicalConceptProperty_36","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True"
"True","1e3f4b86-6b81-4ca7-8b89-77a4d3ec7413","[]","BiomedicalConceptProperty_37","string","Biospecimen Type","Biospecimen Type","True"
"True","44efa4e5-5d7f-467e-adf6-90e550e649bd","[]","BiomedicalConceptProperty_38","string","Laboratory Test Result","Laboratory Test Result","True"
"True","57cda83a-2d85-4134-962c-9b0cc75bf761","[]","BiomedicalConceptProperty_39","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","4fc3b6f9-0d58-43f1-bfe9-cc33e48de37d","[]","BiomedicalConceptProperty_40","string","Unit of Concentration","Unit of Concentration","True"
"True","10093f5d-2542-4317-b4d5-2122231ac7c7","[]","BiomedicalConceptProperty_41","string","Biospecimen Type","Biospecimen Type","True"
"True","51444d05-b4d2-4864-966f-1deb94a73166","[]","BiomedicalConceptProperty_42","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","e7eea8b4-0b7c-4d80-81c7-29d7d0bf676c","[]","BiomedicalConceptProperty_43","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","eb0d537d-911a-4b6b-a8c8-d37e01fdd135","[]","BiomedicalConceptProperty_44","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True"
"True","f1e3ff75-2925-40de-a239-30d9556c6e91","[]","BiomedicalConceptProperty_45","string","Biospecimen Type","Biospecimen Type","True"
"True","95344347-84c0-41dd-9993-b9b9b15c1498","[]","BiomedicalConceptProperty_46","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","f9e6125e-2b15-45ff-9a69-d4aee0646266","[]","BiomedicalConceptProperty_47","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","48348153-a30d-43be-9a99-37d780449d6d","[]","BiomedicalConceptProperty_48","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True"
"True","573aed99-ab81-4cf0-a1da-f3d765c33ef3","[]","BiomedicalConceptProperty_49","string","Biospecimen Type","Biospecimen Type","True"
"True","68121a30-6502-43ea-b645-7be72826d043","[]","BiomedicalConceptProperty_50","string","Laboratory Test Result","Laboratory Test Result","True"
"True","041a2a1c-bdc5-4e68-95d0-767d88a0a3fb","[]","BiomedicalConceptProperty_51","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","9e22e054-9487-4c51-b93f-759609208cb3","[]","BiomedicalConceptProperty_52","string","Unit of Concentration","Unit of Concentration","True"
"True","18ea3406-92f1-4a72-90ad-10f67e8f4959","[]","BiomedicalConceptProperty_53","string","Biospecimen Type","Biospecimen Type","True"
"True","f3040603-d8d2-4093-af31-0cf79684b2af","[]","BiomedicalConceptProperty_54","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","c2c8c07f-b8d6-4e6d-a696-fb0f466c92fe","[]","BiomedicalConceptProperty_55","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","4397b942-8f83-408a-86ff-4d4ec33866e9","[]","BiomedicalConceptProperty_56","string","Molarity Unit","Molarity Unit","True"
"True","4dccb007-3f96-4897-a90c-a6e885b80bcf","[]","BiomedicalConceptProperty_57","string","Biospecimen Type","Biospecimen Type","True"
"True","a80fbbe7-7404-490b-bbaf-ece06e0f975f","[]","BiomedicalConceptProperty_58","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","06e38ff0-0494-4e83-a590-3857a1441bad","[]","BiomedicalConceptProperty_59","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","fd149a94-3d38-41a0-a0d8-ebeb32880bc4","[]","BiomedicalConceptProperty_60","string","Molarity Unit","Molarity Unit","True"
"True","d7f20c4f-aff7-4060-9e24-6ca133b09d4f","[]","BiomedicalConceptProperty_61","string","Biospecimen Type","Biospecimen Type","True"
"True","98a7ba2e-8053-4e26-85d0-6b1ab3569406","[]","BiomedicalConceptProperty_62","decimal","Vital Signs Result","Vital Signs Result","True"
"True","9ec4f69f-3d0a-4b55-81f3-5bc71134a84f","","BiomedicalConceptProperty_63","string","Unit of Pressure","Unit of Pressure","True"
"True","bffe0908-97ff-4226-9cc5-fdd8c3a4ac43","[]","BiomedicalConceptProperty_64","string","Vital Signs Location","Vital Signs Location","True"
"True","46b561b7-d08b-44ec-bd3a-29935ba50241","[]","BiomedicalConceptProperty_65","string","Vital Signs Laterality","Vital Signs Laterality","True"
"True","162f2c3d-6942-472c-94bb-511b697afd3e","[]","BiomedicalConceptProperty_66","string","Test Method","Test Method","True"
"True","b5e0bce2-729d-43cd-ab96-ea9a2b76bdd3","[]","BiomedicalConceptProperty_67","string","Vital Signs Position","Vital Signs Position","True"
"True","7e9322ba-b038-443f-9b0b-9e2c4ce8a977","[]","BiomedicalConceptProperty_68","decimal","Vital Signs Result","Vital Signs Result","True"
"True","21380488-2e21-4e80-80dc-0345fb53bb4a","","BiomedicalConceptProperty_69","string","Unit of Pressure","Unit of Pressure","True"
"True","8c69dd57-c54f-4002-b07a-6b912deba120","[]","BiomedicalConceptProperty_70","string","Vital Signs Location","Vital Signs Location","True"
"True","4db574c5-9988-44dd-9d7d-d299563adbc8","[]","BiomedicalConceptProperty_71","string","Vital Signs Laterality","Vital Signs Laterality","True"
"True","9255ca6c-265b-4e35-8417-a670a4081e3c","[]","BiomedicalConceptProperty_72","string","Test Method","Test Method","True"
"True","d55f4a65-f8cb-41a2-8424-7c847922daae","[]","BiomedicalConceptProperty_73","string","Vital Signs Position","Vital Signs Position","True"
"True","42d4f253-c6d6-4122-9e53-09bf1ccb90af","[]","BiomedicalConceptProperty_74","decimal","Vital Signs Result","Vital Signs Result","True"
"True","a68331c3-5c3d-455a-be18-c389adb64879","","BiomedicalConceptProperty_75","string","Unit of Pressure","Unit of Pressure","True"
"True","7460be11-25df-4b3c-a9db-846eefb0034d","[]","BiomedicalConceptProperty_76","string","Vital Signs Location","Vital Signs Location","True"
"True","5f6cb83a-b8b7-4e5a-b33f-287630cde92d","[]","BiomedicalConceptProperty_77","string","Vital Signs Laterality","Vital Signs Laterality","True"
"True","3a51bdbe-d919-4280-9690-606848c14fb1","[]","BiomedicalConceptProperty_78","string","Test Method","Test Method","True"
"True","7e018a04-643e-40af-b70b-738f6ebdd0b2","[]","BiomedicalConceptProperty_79","string","Vital Signs Position","Vital Signs Position","True"
"True","72b44bfa-f25a-4179-b93e-f4d0155b55f1","[]","BiomedicalConceptProperty_80","decimal","Vital Signs Result","Vital Signs Result","True"
"True","fcb81b15-124d-4039-aa53-2575ee478574","","BiomedicalConceptProperty_81","string","Unit of Pressure","Unit of Pressure","True"
"True","397f71b6-a111-4d2e-8465-dd7f68031580","[]","BiomedicalConceptProperty_82","string","Vital Signs Location","Vital Signs Location","True"
"True","b4c3892e-e96d-48b3-bfa0-0a923184cc93","[]","BiomedicalConceptProperty_83","string","Vital Signs Laterality","Vital Signs Laterality","True"
"True","5fee1719-e974-4ea2-a799-116c7c339134","[]","BiomedicalConceptProperty_84","string","Test Method","Test Method","True"
"True","05e0e0f2-3fd9-404b-afe4-ce65c238fc6d","[]","BiomedicalConceptProperty_85","string","Vital Signs Position","Vital Signs Position","True"
