"sectionTitle","sectionNumber","name","uuid:ID","id","instanceType","text"
"Physical Activity","5.5.3","SECTION 5.5.3","e4069499-ae17-4769-bb26-cf1b4ffcc6ed","NarrativeContent_29","NarrativeContent","<div></div>"
"Other Activity","5.5.4","SECTION 5.5.4","d1a051da-e04a-47ef-b8b8-b053671b1104","NarrativeContent_30","NarrativeContent","<div></div>"
"Screen Failures","5.6","SECTION 5.6","be605576-63e7-45c8-8f05-812f6575a326","NarrativeContent_31","NarrativeContent","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","SECTION 6","befa281d-1327-4275-9a7c-3ca4989862a3","NarrativeContent_32","NarrativeContent","<div></div>"
"Description of Trial Intervention","6.1","SECTION 6.1","d5aeb3f3-4689-4744-8a50-6cf63e15165a","NarrativeContent_33","NarrativeContent","<div></div>"
"Rationale for Trial Intervention","6.2","SECTION 6.2","a14d1630-1a98-4271-a48b-ca4ecdf76a73","NarrativeContent_34","NarrativeContent","<div></div>"
"Dosing and Administration","6.3","SECTION 6.3","f8388ccd-9ed9-4f40-a3b7-1d581bb30258","NarrativeContent_35","NarrativeContent","<div></div>"
"Trial Intervention Dose Modification","6.3.1","SECTION 6.3.1","814eeff0-dd03-4a9b-b73b-c30aef10f227","NarrativeContent_36","NarrativeContent","<div></div>"
"Treatment of Overdose","6.4","SECTION 6.4","0aa9734e-fa87-43d3-b405-e4a564ab677e","NarrativeContent_37","NarrativeContent","<div></div>"
"Preparation, Handling, Storage and Accountability","6.5","SECTION 6.5","97c8e9de-c52a-496d-beb0-2ec85d971169","NarrativeContent_38","NarrativeContent","<div></div>"
"Preparation of Trial Intervention","6.5.1","SECTION 6.5.1","03661c0f-02eb-46c9-adc0-4bc5437e5c8b","NarrativeContent_39","NarrativeContent","<div></div>"
"Handling and Storage of Trial Intervention","6.5.2","SECTION 6.5.2","dbc82cc6-6834-4c1a-b9e6-8212c8b7b4b3","NarrativeContent_40","NarrativeContent","<div></div>"
"Accountability of Trial Intervention","6.5.3","SECTION 6.5.3","8c250010-9db1-4663-9747-dce53cde5127","NarrativeContent_41","NarrativeContent","<div></div>"
"Participant Assignment, Randomisation and Blinding","6.6","SECTION 6.6","fe8ad4f2-37a7-4cef-933b-65394b98531b","NarrativeContent_42","NarrativeContent","<div></div>"
"Participant Assignment","6.6.1","SECTION 6.6.1","b86beafb-affa-485b-956a-5d5ca05edfac","NarrativeContent_43","NarrativeContent","<div></div>"
"Randomisation","6.6.2","SECTION 6.6.2","4aa7d54b-f4b8-4f21-bbed-e6e2b532c6d4","NarrativeContent_44","NarrativeContent","<div></div>"
"Blinding and Unblinding","6.6.3","SECTION 6.6.3","cdf42122-1723-4432-aa3d-ecec253ce3c2","NarrativeContent_45","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"Trial Intervention Compliance","6.7","SECTION 6.7","697f47fa-7c19-49de-8ade-907eed37662d","NarrativeContent_46","NarrativeContent","<div></div>"
"Concomitant Therapy","6.8","SECTION 6.8","8b7dfd7c-adc7-47c1-8744-b99e1a3aa606","NarrativeContent_47","NarrativeContent","<div></div>"
"Prohibited Concomitant Therapy","6.8.1","SECTION 6.8.1","f2b21d35-ec5a-4b7c-9b35-9e60e51e3593","NarrativeContent_48","NarrativeContent","<div></div>"
"Permitted Concomitant Therapy","6.8.2","SECTION 6.8.2","eaed42a8-f565-41d3-a5e9-14f9d1a8645f","NarrativeContent_49","NarrativeContent","<div></div>"
"Rescue Therapy","6.8.3","SECTION 6.8.3","111c71b3-4382-4db5-9899-5b41a3b7d24a","NarrativeContent_50","NarrativeContent","<div></div>"
"Other Therapy","6.8.4","SECTION 6.8.4","3340b041-bcc9-4707-ba59-664a6e802928","NarrativeContent_51","NarrativeContent","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","SECTION 7","039e9f34-9bac-4467-ade7-4a1c257c27dc","NarrativeContent_52","NarrativeContent","<div></div>"
"Discontinuation of Trial Intervention","7.1","SECTION 7.1","83c95b96-5083-4b40-9c6f-40a36c71e0a3","NarrativeContent_53","NarrativeContent","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","SECTION 7.1.1","7a95645b-1581-40c9-a59f-bd54b3054c15","NarrativeContent_54","NarrativeContent","<div></div>"
"Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","SECTION 7.1.2","bb2d22f7-6ef8-4ae1-8a99-717b1889705d","NarrativeContent_55","NarrativeContent","<div></div>"
"Rechallenge","7.1.3","SECTION 7.1.3","87ce8aa4-291d-45b1-a9eb-94c4fe87b8d8","NarrativeContent_56","NarrativeContent","<div></div>"
"Participant Withdrawal from the Trial","7.2","SECTION 7.2","e13fba6f-c3d1-46ef-a5e5-d34bf080759d","NarrativeContent_57","NarrativeContent","<div></div>"
"Lost to Follow-Up","7.3","SECTION 7.3","42e4e9b4-c260-4997-831c-0ed2eca610b9","NarrativeContent_58","NarrativeContent","<div></div>"
"Trial Stopping Rules","7.4","SECTION 7.4","557adcf2-3331-4fd7-8429-5ebd7ddfe83e","NarrativeContent_59","NarrativeContent","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","8","SECTION 8","551e7a8b-0cfa-46b8-85a5-87e2006cfad6","NarrativeContent_60","NarrativeContent","<div></div>"
"Screening/Baseline Assessments and Procedures","8.1","SECTION 8.1","03c1815f-0034-459d-a825-7213f9d8fea9","NarrativeContent_61","NarrativeContent","<div></div>"
"Efficacy Assessments and Procedures","8.2","SECTION 8.2","b185c7f3-6ead-4cd7-bb1a-5dbc5f483950","NarrativeContent_62","NarrativeContent","<div></div>"
"Safety Assessments and Procedures","8.3","SECTION 8.3","e0192ae7-b169-4ce8-82d6-3a508f367e51","NarrativeContent_63","NarrativeContent","<div></div>"
"Physical Examination","8.3.1","SECTION 8.3.1","df3346e9-994a-453c-a737-d6d1a71e22f8","NarrativeContent_64","NarrativeContent","<div></div>"
"Vital Signs","8.3.2","SECTION 8.3.2","8b325129-e52b-48e7-b150-e024066f5863","NarrativeContent_65","NarrativeContent","<div></div>"
"Electrocardiograms","8.3.3","SECTION 8.3.3","96ddc20d-ed54-4237-a49a-a6558fd46e73","NarrativeContent_66","NarrativeContent","<div></div>"
"Clinical Laboratory Assessments","8.3.4","SECTION 8.3.4","fe3b79ef-4ed1-4868-9588-05242e570cf7","NarrativeContent_67","NarrativeContent","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","SECTION 8.3.5","90bb6def-0730-4754-8e3e-3063fe1611ab","NarrativeContent_68","NarrativeContent","<div></div>"
"Adverse Events and Serious Adverse Events","8.4","SECTION 8.4","51bb33b3-bd61-424d-ae6e-8835849e82b3","NarrativeContent_69","NarrativeContent","<div></div>"
"Definitions of AE and SAE","8.4.1","SECTION 8.4.1","a141f864-1098-489e-a224-c77cbfb0fb37","NarrativeContent_70","NarrativeContent","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","8.4.2","SECTION 8.4.2","342b3b3f-0907-4143-b425-540559a5a02e","NarrativeContent_71","NarrativeContent","<div></div>"
"Identifying AEs and SAEs","8.4.3","SECTION 8.4.3","b683fcbc-463b-446c-80bb-8bfa25a0b62f","NarrativeContent_72","NarrativeContent","<div></div>"
"Recording of AEs and SAEs","8.4.4","SECTION 8.4.4","d6b21a27-e715-4639-9860-bc62948fdbe7","NarrativeContent_73","NarrativeContent","<div></div>"
"Follow-up of AEs and SAEs","8.4.5","SECTION 8.4.5","bebd2c97-e3f7-40af-b411-4de30ef1c1cb","NarrativeContent_74","NarrativeContent","<div></div>"
"Reporting of SAEs","8.4.6","SECTION 8.4.6","4909a55b-d4fa-4db4-8aa3-f3bf779e990c","NarrativeContent_75","NarrativeContent","<div></div>"
"Regulatory Reporting Requirements for SAEs","8.4.7","SECTION 8.4.7","ae93c4ac-dc25-4c65-96ac-33ffc18b31ff","NarrativeContent_76","NarrativeContent","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","8.4.8","SECTION 8.4.8","59a04e96-f3e6-4c8f-89f2-cd53a2483c4a","NarrativeContent_77","NarrativeContent","<div></div>"
"Adverse Events of Special Interest","8.4.9","SECTION 8.4.9","00213242-1a5a-4080-9091-feed5530d0de","NarrativeContent_78","NarrativeContent","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","SECTION 8.4.10","82c69587-a2e1-4fbe-bf9b-499dc11c8e2a","NarrativeContent_79","NarrativeContent","<div></div>"
"Pregnancy and Postpartum Information","8.5","SECTION 8.5","19914b68-d1eb-404b-a115-c805f93c99db","NarrativeContent_80","NarrativeContent","<div></div>"
"Participants Who Become Pregnant During the Trial","8.5.1","SECTION 8.5.1","3ca43a46-1e76-4ad1-ba28-a44b6940e6e5","NarrativeContent_81","NarrativeContent","<div></div>"
"Participants Whose Partners Become Pregnant","8.5.2","SECTION 8.5.2","f3e89366-2501-483b-82d4-7215959ac26d","NarrativeContent_82","NarrativeContent","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","8.6","SECTION 8.6","947be7cf-2646-4f9f-a044-2a992a11eaaa","NarrativeContent_83","NarrativeContent","<div></div>"
"Definition of Medical Device Product Complaints","8.6.1","SECTION 8.6.1","8c695129-f746-418f-bb54-586982cbf9b3","NarrativeContent_84","NarrativeContent","<div></div>"
"Recording of Medical Device Product Complaints","8.6.2","SECTION 8.6.2","6a0e3e03-e930-496b-8a1e-7a61ea511826","NarrativeContent_85","NarrativeContent","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","SECTION 8.6.3","44f74e68-3818-4d7b-9c0b-c6c3e97a6c94","NarrativeContent_86","NarrativeContent","<div></div>"
"Follow-Up of Medical Device Product Complaints","8.6.4","SECTION 8.6.4","1e0bfb88-a224-48ed-82f1-f78d9c6a8d54","NarrativeContent_87","NarrativeContent","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","SECTION 8.6.5","07d366d1-4a3c-491d-a1ce-ee4e2b96bb67","NarrativeContent_88","NarrativeContent","<div></div>"
"Pharmacokinetics","8.7","SECTION 8.7","161c75a9-bb0d-4131-a5e6-782f0661ae52","NarrativeContent_89","NarrativeContent","<div></div>"
"Genetics","8.8","SECTION 8.8","89331fe6-633f-439f-8b21-cecb1f53ce23","NarrativeContent_90","NarrativeContent","<div></div>"
"Biomarkers","8.9","SECTION 8.9","9a65caef-d634-458d-a2b4-b5aa5416c78d","NarrativeContent_91","NarrativeContent","<div></div>"
"Immunogenicity Assessments","8.1","SECTION 8.1","4d22ef9c-194e-45c2-b55c-8469d821462a","NarrativeContent_92","NarrativeContent","<div></div>"
"Medical Resource Utilisation and Health Economics","8.1.1","SECTION 8.1.1","391e1844-42a6-468d-812f-7b8313e8a95e","NarrativeContent_93","NarrativeContent","<div></div>"
"STATISTICAL CONSIDERATIONS","9","SECTION 9","a8b7b4f9-2026-4ac7-99a4-847fc8eebe2d","NarrativeContent_94","NarrativeContent","<div></div>"
"Analysis Sets","9.1","SECTION 9.1","c3f87cb8-0d1e-4387-961d-dfa514b7c22c","NarrativeContent_95","NarrativeContent","<div></div>"
"Analyses Supporting Primary Objective(s)","9.2","SECTION 9.2","1da696f6-baa4-4bed-8752-e6cd034753c7","NarrativeContent_96","NarrativeContent","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","9.2.1","SECTION 9.2.1","8d3e46ac-ad4b-45d7-9a2b-d590d1c36026","NarrativeContent_97","NarrativeContent","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","SECTION 9.2.2","6b9d0629-e59e-40df-91ee-6113e6933802","NarrativeContent_98","NarrativeContent","<div></div>"
"Handling of Missing Data","9.2.3","SECTION 9.2.3","074830d4-df8c-4dc2-bba9-378f724b9de6","NarrativeContent_99","NarrativeContent","<div></div>"
"Sensitivity Analysis","9.2.4","SECTION 9.2.4","b6ee6d37-bc04-4a7a-9aea-e511e770b6c2","NarrativeContent_100","NarrativeContent","<div></div>"
"Supplementary Analysis","9.2.5","SECTION 9.2.5","1ea86402-741b-46a9-ae67-ad1b1a69b0bf","NarrativeContent_101","NarrativeContent","<div></div>"
"Analysis Supporting Secondary Objective(s)","9.3","SECTION 9.3","25c72d68-0c7e-4145-a622-d87cddbd19e9","NarrativeContent_102","NarrativeContent","<div></div>"
"Analysis of Exploratory Objective(s)","9.4","SECTION 9.4","71a1bcb6-8cc3-4e6e-a87c-2d04018b7b6b","NarrativeContent_103","NarrativeContent","<div></div>"
"Safety Analyses","9.5","SECTION 9.5","4f44a457-5e04-48a6-aaae-043c0e2c0a61","NarrativeContent_104","NarrativeContent","<div></div>"
"Other Analyses","9.6","SECTION 9.6","3831a402-8ad3-409b-a010-1e105d672774","NarrativeContent_105","NarrativeContent","<div></div>"
"Interim Analyses","9.7","SECTION 9.7","273c4dcd-4aea-4489-9775-e8c6640a7819","NarrativeContent_106","NarrativeContent","<div></div>"
"Sample Size Determination","9.8","SECTION 9.8","02c9442a-33c9-47ac-a8fb-2682fa7b1291","NarrativeContent_107","NarrativeContent","<div></div>"
"Protocol Deviations","9.9","SECTION 9.9","4818bb97-dafd-4610-baf6-61afa2282914","NarrativeContent_108","NarrativeContent","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","SECTION 10","d3692223-0de2-4a1c-8c6e-c0fb38a1bff2","NarrativeContent_109","NarrativeContent","<div></div>"
"Regulatory and Ethical Considerations","10.1","SECTION 10.1","89021ce6-5100-4a94-875b-d53f29f91058","NarrativeContent_110","NarrativeContent","<div></div>"
"Committees","10.2","SECTION 10.2","a71d05f6-cd30-46d5-b708-0c82697984d4","NarrativeContent_111","NarrativeContent","<div></div>"
"Informed Consent Process","10.3","SECTION 10.3","28ac0208-edfd-44b1-b360-81d5a351c13e","NarrativeContent_112","NarrativeContent","<div></div>"
"Data Protection","10.4","SECTION 10.4","04bd586f-07e8-47a4-8a59-98b68b40f0c8","NarrativeContent_113","NarrativeContent","<div></div>"
"Early Site Closure or Trial Termination","10.5","SECTION 10.5","63f61f70-436c-4654-9d31-4d0c3b074a3f","NarrativeContent_114","NarrativeContent","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","SECTION 11","5cab2a55-bc4e-40fe-8885-ff6958fad294","NarrativeContent_115","NarrativeContent","<div></div>"
"Quality Tolerance Limits","11.1","SECTION 11.1","8f196332-b35d-4087-84a8-086af5635846","NarrativeContent_116","NarrativeContent","<div></div>"
"Data Quality Assurance","11.2","SECTION 11.2","a7875479-5b39-43da-936f-e10b75ee7e28","NarrativeContent_117","NarrativeContent","<div></div>"
"Source Data","11.3","SECTION 11.3","f3e04c25-e743-4725-b166-5066fc2b4751","NarrativeContent_118","NarrativeContent","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","SECTION 12","2ae625d2-8f02-449f-89a8-275a148ca5e3","NarrativeContent_119","NarrativeContent","<div></div>"
"Further Details and Clarifications on the AE Definition","12.1","SECTION 12.1","750e8bbc-6f56-452a-b680-080c0d591f87","NarrativeContent_120","NarrativeContent","<div></div>"
"Further Details and Clarifications on the SAE Definition","12.2","SECTION 12.2","a56d08f5-06b2-461b-8cc5-4ef2b7720b99","NarrativeContent_121","NarrativeContent","<div></div>"
"Severity","12.3","SECTION 12.3","c0e1c738-5252-4caf-85bf-cf8298471d45","NarrativeContent_122","NarrativeContent","<div></div>"
"Causality","12.4","SECTION 12.4","6c3c33d7-482c-4de6-a3e1-f25330cff26e","NarrativeContent_123","NarrativeContent","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","SECTION 13","fa53b091-d8fc-47d4-9747-da104518db29","NarrativeContent_124","NarrativeContent","<div></div>"
"Contraception and Pregnancy Testing","13.1","SECTION 13.1","bed85f41-d684-411e-9219-b88753ed31ad","NarrativeContent_125","NarrativeContent","<div></div>"
"Definitions Related to Childbearing Potential","13.1.1","SECTION 13.1.1","a0a921dd-9195-4a54-a7cb-42cc83139bac","NarrativeContent_126","NarrativeContent","<div></div>"
"Contraception","13.1.2","SECTION 13.1.2","8fb8828c-5b06-4fe4-8156-43bbbbd0abd3","NarrativeContent_127","NarrativeContent","<div></div>"
"Pregnancy Testing","13.1.3","SECTION 13.1.3","e3ddccf6-f1d6-4d67-8b8d-f3a95a6f3de0","NarrativeContent_128","NarrativeContent","<div></div>"
"Clinical Laboratory Tests","13.2","SECTION 13.2","f6f7c8f6-b734-464f-b61f-3b384a1d86bd","NarrativeContent_129","NarrativeContent","<div></div>"
"Country/Region-Specific Differences","13.3","SECTION 13.3","a613faf7-eca2-4741-b954-356742c88ee1","NarrativeContent_130","NarrativeContent","<div></div>"
"Prior Protocol Amendments","13.4","SECTION 13.4","12713845-58a5-4c79-8ac2-6b511fe7d79a","NarrativeContent_131","NarrativeContent","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","14","SECTION 14","52bc8cf3-9f28-492b-829b-ad0405bbaff5","NarrativeContent_132","NarrativeContent","<div></div>"
"APPENDIX: REFERENCES","15","SECTION 15","81a6d543-336b-48f5-9082-ff07a73d3e11","NarrativeContent_133","NarrativeContent","<div></div>"
