"instanceType","text","name","sectionTitle","sectionNumber","id","uuid:ID"
"NarrativeContent","<div></div>","SECTION 6.8","Concomitant Therapy","6.8","NarrativeContent_47","01334b9b-de8b-417f-b3da-67b6dd940d1c"
"NarrativeContent","<div></div>","SECTION 6.8.1","Prohibited Concomitant Therapy","6.8.1","NarrativeContent_48","252503b1-d0f6-4c6d-9de2-fef526e67e60"
"NarrativeContent","<div></div>","SECTION 6.8.2","Permitted Concomitant Therapy","6.8.2","NarrativeContent_49","2c02ad69-773a-4d38-8cf5-5f11938577f6"
"NarrativeContent","<div></div>","SECTION 6.8.3","Rescue Therapy","6.8.3","NarrativeContent_50","8476ff15-2cc4-4940-b29b-c13db35da2c6"
"NarrativeContent","<div></div>","SECTION 6.8.4","Other Therapy","6.8.4","NarrativeContent_51","8d95b3b5-46b3-4dee-a1d1-0be412bc832c"
"NarrativeContent","<div></div>","SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","NarrativeContent_52","d63fa60e-584e-4440-9763-f258fe885820"
"NarrativeContent","<div></div>","SECTION 7.1","Discontinuation of Trial Intervention","7.1","NarrativeContent_53","7f14259e-85be-4be9-99be-a8235fffad67"
"NarrativeContent","<div></div>","SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","NarrativeContent_54","30973e97-6caa-4812-ba8e-7bf4e188b62f"
"NarrativeContent","<div></div>","SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","NarrativeContent_55","9bfc596c-c6a3-4fa5-aec5-3123d4c02f4a"
"NarrativeContent","<div></div>","SECTION 7.1.3","Rechallenge","7.1.3","NarrativeContent_56","62fac394-1e93-4d13-a61b-30dafdf1e960"
"NarrativeContent","<div></div>","SECTION 7.2","Participant Withdrawal from the Trial","7.2","NarrativeContent_57","782dfbac-d2c1-4b4f-b087-ae98f1abab20"
"NarrativeContent","<div></div>","SECTION 7.3","Lost to Follow-Up","7.3","NarrativeContent_58","442cb7aa-b4bd-4edf-b9ff-eba0e30e49ef"
"NarrativeContent","<div></div>","SECTION 7.4","Trial Stopping Rules","7.4","NarrativeContent_59","558fb4b0-4d4e-4dc5-b082-5365d199b03b"
"NarrativeContent","<div></div>","SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","8","NarrativeContent_60","88cdf24b-1cdf-4385-9520-1a18a3a9dbf5"
"NarrativeContent","<div></div>","SECTION 8.1","Screening/Baseline Assessments and Procedures","8.1","NarrativeContent_61","3fd85eb1-2813-4e11-a68e-c952ec1fcc6b"
"NarrativeContent","<div></div>","SECTION 8.2","Efficacy Assessments and Procedures","8.2","NarrativeContent_62","3fcd9059-034b-4c00-83a8-14bbe1cf6296"
"NarrativeContent","<div></div>","SECTION 8.3","Safety Assessments and Procedures","8.3","NarrativeContent_63","1cb17a4f-9b7e-446f-ad04-dc1c636acf99"
"NarrativeContent","<div></div>","SECTION 8.3.1","Physical Examination","8.3.1","NarrativeContent_64","989e589d-d4ef-4507-85e6-d8619b499240"
"NarrativeContent","<div></div>","SECTION 8.3.2","Vital Signs","8.3.2","NarrativeContent_65","06fd90ca-9e16-44ab-880f-47b4d7e08ac0"
"NarrativeContent","<div></div>","SECTION 8.3.3","Electrocardiograms","8.3.3","NarrativeContent_66","67ef80ab-15af-49a7-bb10-cb6420e505e7"
"NarrativeContent","<div></div>","SECTION 8.3.4","Clinical Laboratory Assessments","8.3.4","NarrativeContent_67","f0fe3b57-f5ea-49a0-a9ac-f8c8cbc50698"
"NarrativeContent","<div></div>","SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","NarrativeContent_68","3a8feb09-86c8-4d39-a72c-40120bd1fe8d"
"NarrativeContent","<div></div>","SECTION 8.4","Adverse Events and Serious Adverse Events","8.4","NarrativeContent_69","37e1e25a-43b5-48da-ad86-04c53bd8bd8a"
"NarrativeContent","<div></div>","SECTION 8.4.1","Definitions of AE and SAE","8.4.1","NarrativeContent_70","4f88b083-88f2-41c8-ad61-4272c9e977bb"
"NarrativeContent","<div></div>","SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","NarrativeContent_71","b1c3ba1b-1f7c-4bac-98a4-3c1a71e031eb"
"NarrativeContent","<div></div>","SECTION 8.4.3","Identifying AEs and SAEs","8.4.3","NarrativeContent_72","359e428a-f6cc-4441-80b8-8b00aa2c53cd"
"NarrativeContent","<div></div>","SECTION 8.4.4","Recording of AEs and SAEs","8.4.4","NarrativeContent_73","59d35a68-69be-42f1-b17c-7b0cf4f16ca1"
"NarrativeContent","<div></div>","SECTION 8.4.5","Follow-up of AEs and SAEs","8.4.5","NarrativeContent_74","8b01e574-d3d1-4ec5-a5b7-6f8c53eeec00"
"NarrativeContent","<div></div>","SECTION 8.4.6","Reporting of SAEs","8.4.6","NarrativeContent_75","c8a5d337-29ef-4401-8d35-4174f731b073"
"NarrativeContent","<div></div>","SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","8.4.7","NarrativeContent_76","a9f14242-5788-49cd-b106-d70e103116b0"
"NarrativeContent","<div></div>","SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","8.4.8","NarrativeContent_77","aff9d5a8-e6d9-4ae8-b1fa-9f41ea2940ad"
"NarrativeContent","<div></div>","SECTION 8.4.9","Adverse Events of Special Interest","8.4.9","NarrativeContent_78","d2108cf6-6b85-4291-a3f1-c95f458d8f8c"
"NarrativeContent","<div></div>","SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","NarrativeContent_79","a09758cf-5710-4a41-8656-f1f2ecfd34ff"
"NarrativeContent","<div></div>","SECTION 8.5","Pregnancy and Postpartum Information","8.5","NarrativeContent_80","821ab2a3-44f2-45d6-b7af-39ce891f78e1"
"NarrativeContent","<div></div>","SECTION 8.5.1","Participants Who Become Pregnant During the Trial","8.5.1","NarrativeContent_81","6426d300-7fbe-4d8e-9e47-d1bf87222712"
"NarrativeContent","<div></div>","SECTION 8.5.2","Participants Whose Partners Become Pregnant","8.5.2","NarrativeContent_82","b950bc99-15b6-446c-95bc-eee6cfb28a1e"
"NarrativeContent","<div></div>","SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","8.6","NarrativeContent_83","aa6ae813-f825-4261-8bfe-ede4f794af41"
"NarrativeContent","<div></div>","SECTION 8.6.1","Definition of Medical Device Product Complaints","8.6.1","NarrativeContent_84","abb19f78-b470-4144-9b69-61885c550539"
"NarrativeContent","<div></div>","SECTION 8.6.2","Recording of Medical Device Product Complaints","8.6.2","NarrativeContent_85","4a4c1c0e-b8f3-476d-a6b1-07f0998c85f9"
"NarrativeContent","<div></div>","SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","NarrativeContent_86","fe9f2b3f-3a1a-4692-a0ec-f34cb83d3bcf"
"NarrativeContent","<div></div>","SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","8.6.4","NarrativeContent_87","9ef8c5ea-b0d4-4e92-a1b8-4e354f5cab30"
"NarrativeContent","<div></div>","SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","NarrativeContent_88","a3b9dfa9-739e-4789-8909-d4a2e36305d2"
"NarrativeContent","<div></div>","SECTION 8.7","Pharmacokinetics","8.7","NarrativeContent_89","ee41e6c4-7987-400f-ab54-79bebd3e54a5"
"NarrativeContent","<div></div>","SECTION 8.8","Genetics","8.8","NarrativeContent_90","ad7714ee-fad5-479b-9dcf-9b3803d213a2"
"NarrativeContent","<div></div>","SECTION 8.9","Biomarkers","8.9","NarrativeContent_91","67522016-88bd-4eb3-96e5-9110c0d0be59"
"NarrativeContent","<div></div>","SECTION 8.1","Immunogenicity Assessments","8.1","NarrativeContent_92","05fcdc73-c1bd-40fe-a703-b4a64ceeb60f"
"NarrativeContent","<div></div>","SECTION 8.1.1","Medical Resource Utilisation and Health Economics","8.1.1","NarrativeContent_93","46bbde3e-9134-45f4-a8ca-de2d9206ec41"
"NarrativeContent","<div></div>","SECTION 9","STATISTICAL CONSIDERATIONS","9","NarrativeContent_94","9a3e45d6-ca74-4a9e-a4d4-07cfaac9a4e6"
"NarrativeContent","<div></div>","SECTION 9.1","Analysis Sets","9.1","NarrativeContent_95","f0bccf1e-a9e7-4675-96c9-1b2d901b9561"
"NarrativeContent","<div></div>","SECTION 9.2","Analyses Supporting Primary Objective(s)","9.2","NarrativeContent_96","d70e2296-6af2-4c14-9f0d-6e3326358fef"
"NarrativeContent","<div></div>","SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","NarrativeContent_97","d1d37187-b8dd-4a52-999d-f043dc8342a1"
"NarrativeContent","<div></div>","SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","NarrativeContent_98","e1d378e2-27e5-47e4-8bd7-eafa381a74c4"
"NarrativeContent","<div></div>","SECTION 9.2.3","Handling of Missing Data","9.2.3","NarrativeContent_99","6765e8ec-c999-4998-be8e-af0658f98566"
"NarrativeContent","<div></div>","SECTION 9.2.4","Sensitivity Analysis","9.2.4","NarrativeContent_100","5a429c01-e3b1-4a24-ba9d-a403e510fe0f"
"NarrativeContent","<div></div>","SECTION 9.2.5","Supplementary Analysis","9.2.5","NarrativeContent_101","6935d59d-007e-43f8-8f94-dfdd1cf24b63"
"NarrativeContent","<div></div>","SECTION 9.3","Analysis Supporting Secondary Objective(s)","9.3","NarrativeContent_102","cba56cb5-324e-4328-ba21-252eb9d6102b"
"NarrativeContent","<div></div>","SECTION 9.4","Analysis of Exploratory Objective(s)","9.4","NarrativeContent_103","0fa1ce61-0cd2-4fb8-a560-a0b59e062268"
"NarrativeContent","<div></div>","SECTION 9.5","Safety Analyses","9.5","NarrativeContent_104","67303ff9-e87f-462e-ad95-4be806531b97"
"NarrativeContent","<div></div>","SECTION 9.6","Other Analyses","9.6","NarrativeContent_105","0879eb7f-3c03-4c55-b729-a20fb800d7e5"
"NarrativeContent","<div></div>","SECTION 9.7","Interim Analyses","9.7","NarrativeContent_106","b3d4ca4c-3ab4-45e0-8ff8-57671b620280"
"NarrativeContent","<div></div>","SECTION 9.8","Sample Size Determination","9.8","NarrativeContent_107","86a5fdec-8ecf-4cb8-afb2-4a5f099f5140"
"NarrativeContent","<div></div>","SECTION 9.9","Protocol Deviations","9.9","NarrativeContent_108","79260fa4-41a6-473e-888e-e5bfa2a0406a"
"NarrativeContent","<div></div>","SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","NarrativeContent_109","956ad13b-bde7-4c1d-8612-e48c15441a44"
"NarrativeContent","<div></div>","SECTION 10.1","Regulatory and Ethical Considerations","10.1","NarrativeContent_110","ef274ed3-5539-4e18-86ab-6c33dfadd724"
"NarrativeContent","<div></div>","SECTION 10.2","Committees","10.2","NarrativeContent_111","fc6905cf-ba11-470a-b989-9518d5f26884"
"NarrativeContent","<div></div>","SECTION 10.3","Informed Consent Process","10.3","NarrativeContent_112","ce432380-34ef-4512-a53b-d42817e424b4"
"NarrativeContent","<div></div>","SECTION 10.4","Data Protection","10.4","NarrativeContent_113","4f48c6a8-917b-49db-a31a-ed2897fede14"
"NarrativeContent","<div></div>","SECTION 10.5","Early Site Closure or Trial Termination","10.5","NarrativeContent_114","f05fb5c5-81b9-42db-a677-29a3b9754719"
"NarrativeContent","<div></div>","SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","NarrativeContent_115","08c398d4-a406-4d4f-b8d3-c7b7459ebc45"
"NarrativeContent","<div></div>","SECTION 11.1","Quality Tolerance Limits","11.1","NarrativeContent_116","96bc9325-cb4e-4bd7-b9fc-70c0ae16191e"
"NarrativeContent","<div></div>","SECTION 11.2","Data Quality Assurance","11.2","NarrativeContent_117","d1ed1b27-9a20-471c-98b4-e45afae8ac93"
"NarrativeContent","<div></div>","SECTION 11.3","Source Data","11.3","NarrativeContent_118","eb0bd05d-517c-4839-9de3-787bc0025f4b"
"NarrativeContent","<div></div>","SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","NarrativeContent_119","fc6cf591-76ce-48d0-bff9-1ac0eda727e1"
"NarrativeContent","<div></div>","SECTION 12.1","Further Details and Clarifications on the AE Definition","12.1","NarrativeContent_120","effa31f1-dce2-47ad-b6cf-3da138c970d9"
"NarrativeContent","<div></div>","SECTION 12.2","Further Details and Clarifications on the SAE Definition","12.2","NarrativeContent_121","5e077da7-dfc1-4687-995d-6a3f21893d1c"
"NarrativeContent","<div></div>","SECTION 12.3","Severity","12.3","NarrativeContent_122","9888b734-5043-453c-a1a4-cf6e0b1b1ba3"
"NarrativeContent","<div></div>","SECTION 12.4","Causality","12.4","NarrativeContent_123","77d531f7-f45d-4799-ba80-360584db7891"
"NarrativeContent","<div></div>","SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","NarrativeContent_124","6da31c61-64e0-431e-b726-93bf9b114c92"
"NarrativeContent","<div></div>","SECTION 13.1","Contraception and Pregnancy Testing","13.1","NarrativeContent_125","d9b2bc2d-561d-4ca5-9a62-b8794c558077"
"NarrativeContent","<div></div>","SECTION 13.1.1","Definitions Related to Childbearing Potential","13.1.1","NarrativeContent_126","1dbcc207-eb34-4ec8-8b14-8a1d19882414"
"NarrativeContent","<div></div>","SECTION 13.1.2","Contraception","13.1.2","NarrativeContent_127","db7f61f7-4186-4d12-843d-6fa26745c6ad"
"NarrativeContent","<div></div>","SECTION 13.1.3","Pregnancy Testing","13.1.3","NarrativeContent_128","8807173d-5b9a-44c8-b408-9a9f7225f3e7"
"NarrativeContent","<div></div>","SECTION 13.2","Clinical Laboratory Tests","13.2","NarrativeContent_129","a68a698e-3dda-4964-a0bd-673be7a592fd"
"NarrativeContent","<div></div>","SECTION 13.3","Country/Region-Specific Differences","13.3","NarrativeContent_130","992610e7-3ac5-4f59-bd41-8472237ed635"
"NarrativeContent","<div></div>","SECTION 13.4","Prior Protocol Amendments","13.4","NarrativeContent_131","3a80d3f6-516a-4305-a125-4b7f371564ec"
"NarrativeContent","<div></div>","SECTION 14","APPENDIX: GLOSSARY OF TERMS","14","NarrativeContent_132","80c87356-718a-41ca-9a24-b6eb7dc6b031"
"NarrativeContent","<div></div>","SECTION 15","APPENDIX: REFERENCES","15","NarrativeContent_133","99873e5c-d046-4a3e-8835-ae39a49e5238"
