"instanceType","name","label","reference","synonyms","id","uuid:ID"
"BiomedicalConcept","Body Temperature","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4","e2728f3b-32e0-4de8-bde1-d0edad5f0235"
"BiomedicalConcept","Body Weight","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5","20da2af6-fd4f-4121-8749-0774c278993f"
"BiomedicalConcept","Body Height","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6","51355a7a-ad1f-4703-9d57-30aa48a24e1a"
"BiomedicalConcept","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7","807c6a6c-09ea-4d5a-aa5b-cfdbb28b3b81"
"BiomedicalConcept","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8","e7e2f06b-cb62-43d7-98b3-df8bfbf11fe7"
"BiomedicalConcept","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9","319d39e5-a247-4642-ba3c-b3d7e72fa007"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10","5090a444-952e-47c8-a902-fa70a1b7e086"
"BiomedicalConcept","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11","ae502fbd-2e71-4d1b-8945-992224bbe530"
"BiomedicalConcept","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_12","dedfa7ea-c80e-44e0-a69e-76f5f7b055c6"
"BiomedicalConcept","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_13","d5d12b07-4290-46b3-81bf-15d256bd0dc4"
"BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_14","26fedd6d-3a6f-4b4b-80a6-9b50c0c3d567"
"BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_15","a0caaf50-31ce-4d36-b591-caa1730b6672"
"BiomedicalConcept","Heart Rate","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","BiomedicalConcept_16","7982ff16-da42-4053-98e5-c9a30ea32627"
"BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_17","42876466-e170-4cb2-98b4-15053690f5ac"
"BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_18","aad65ad1-2e07-4bf7-8a38-c913533a3114"
"BiomedicalConcept","Heart Rate","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","BiomedicalConcept_19","86cd6cfd-a260-4d3a-beea-8628280a4a65"
