"decode","id","code","codeSystem","uuid:ID","codeSystemVersion","instanceType"
"Visit","Code_88","C25716","http://www.cdisc.org","79e216c2-ab1c-489d-8812-2c3629591456","2023-09-29","Code"
"Clinic","Code_89","C51282","http://www.cdisc.org","780cd0d6-e133-4c89-a7c4-369672794740","2023-09-29","Code"
"In Person","Code_90","C175574","http://www.cdisc.org","61228f1b-d7de-477b-aa6c-e5f30a54af93","2023-09-29","Code"
"Visit","Code_91","C25716","http://www.cdisc.org","f7e5fe85-c8cd-44dc-bff5-529a5e39d512","2023-09-29","Code"
"Clinic","Code_92","C51282","http://www.cdisc.org","0ad1afe2-a898-4ebc-858f-14215620e55a","2023-09-29","Code"
"In Person","Code_93","C175574","http://www.cdisc.org","e1b48cbe-e9cd-471b-88e8-90e899b1cb0f","2023-09-29","Code"
"Visit","Code_94","C25716","http://www.cdisc.org","f3cfa7f3-92e0-48e0-a785-57f3d3d6179f","2023-09-29","Code"
"Clinic","Code_95","C51282","http://www.cdisc.org","8eab2f0e-f9c7-4e33-904d-5488d9daa613","2023-09-29","Code"
"In Person","Code_96","C175574","http://www.cdisc.org","d633c154-94fa-4590-8988-6da1b847764e","2023-09-29","Code"
"Visit","Code_97","C25716","http://www.cdisc.org","91ae3040-c364-4cef-98cf-41bab3fe6766","2023-09-29","Code"
"Clinic","Code_98","C51282","http://www.cdisc.org","0619df0e-6674-46ab-8448-bf0d44b61ec9","2023-09-29","Code"
"In Person","Code_99","C175574","http://www.cdisc.org","ced80904-7eb5-4272-9acd-1a7ab3484981","2023-09-29","Code"
"Visit","Code_100","C25716","http://www.cdisc.org","1a88783f-69d8-4a66-827f-6ec936c9d36e","2023-09-29","Code"
"Clinic","Code_101","C51282","http://www.cdisc.org","d59b2fdb-66a0-4ddc-8726-93b42d3a6570","2023-09-29","Code"
"In Person","Code_102","C175574","http://www.cdisc.org","9550d7e7-5b15-4527-a9a1-070a595135c3","2023-09-29","Code"
"Telephone Call","Code_103","C171537","http://www.cdisc.org","ea45d2ba-ee4f-4162-89f0-f23447673c6f","2023-09-29","Code"
"Visit","Code_104","C25716","http://www.cdisc.org","5a9f0921-7bfd-4e9c-901b-37be9c7132b8","2023-09-29","Code"
"Clinic","Code_105","C51282","http://www.cdisc.org","9d447451-bca9-4e09-9f2f-3f1573b4ce22","2023-09-29","Code"
"In Person","Code_106","C175574","http://www.cdisc.org","40159126-7d5d-46a7-a644-df70a1881f68","2023-09-29","Code"
"Telephone Call","Code_107","C171537","http://www.cdisc.org","fca349a9-ac20-48e5-98fc-cad184c09c17","2023-09-29","Code"
"Visit","Code_108","C25716","http://www.cdisc.org","ae01a810-e221-405f-9498-7fd11e152249","2023-09-29","Code"
"Clinic","Code_109","C51282","http://www.cdisc.org","d847a313-f991-4478-855e-7201bbd278bc","2023-09-29","Code"
"In Person","Code_110","C175574","http://www.cdisc.org","a19f0a9a-e38a-4010-9f56-4523e878069b","2023-09-29","Code"
"Telephone Call","Code_111","C171537","http://www.cdisc.org","54b965cd-42fd-4688-90a6-c53b12d08e63","2023-09-29","Code"
"Visit","Code_112","C25716","http://www.cdisc.org","733d3dfc-bbc9-47f7-86e0-9e87e7723877","2023-09-29","Code"
"Clinic","Code_113","C51282","http://www.cdisc.org","a4b6a54f-6921-4d9a-9da8-26669452d637","2023-09-29","Code"
"In Person","Code_114","C175574","http://www.cdisc.org","f9331414-7076-46ba-9e8a-e1e5178a0bc0","2023-09-29","Code"
"Telephone Call","Code_115","C171537","http://www.cdisc.org","363576d2-e46c-4d13-bcf1-e25ad0946393","2023-09-29","Code"
"Visit","Code_116","C25716","http://www.cdisc.org","d99ebb0e-cd78-4983-914a-48b922d99834","2023-09-29","Code"
"Clinic","Code_117","C51282","http://www.cdisc.org","c903bb96-5868-4012-b090-f0bcadb65268","2023-09-29","Code"
"In Person","Code_118","C175574","http://www.cdisc.org","0dd238f3-9798-4856-aee6-d31d27a9a900","2023-09-29","Code"
"Visit","Code_119","C25716","http://www.cdisc.org","b24c6c9c-3a78-42e3-9e18-414810fd6c25","2023-09-29","Code"
"Clinic","Code_120","C51282","http://www.cdisc.org","00d970e2-7745-4b63-8a45-0d0f8c3491ee","2023-09-29","Code"
"In Person","Code_121","C175574","http://www.cdisc.org","6132b7c3-301c-4147-9378-c1045bbb5950","2023-09-29","Code"
"CT of head without contrast","Code_79","383371000119108","SNOMED","2af742cf-cd53-45e2-84bd-2fdc0725f240","January 31, 2018","Code"
"Subject Supine","Code_80","123","SPONSOR","a88b9f0c-ab53-43b5-b94b-f4f74fbcc32c","12","Code"
"Subject Standing","Code_81","124","SPONSOR","a9f95b31-937e-47eb-85b3-5aba1665ffcf","12","Code"
"Vital Signs Result","Code_278","C173522","NCI Thesaurus","88583398-e9d9-4af9-b483-484fe1613c7e","","Code"
"Kelvin","Code_279","C42537","http://www.cdisc.org","2d1f3d34-6392-46cf-abb7-3cd2b3928b8b","2023-09-29","Code"
"Unit of Temperature","Code_280","C44276","NCI Thesaurus","ab0b784b-cc41-4799-a909-410c9785c64d","","Code"
"Vital Signs Location","Code_281","C83088","NCI Thesaurus","fc148071-94cd-4ddd-9541-86a5f22871cb","","Code"
"Body Temperature","Code_277","C174446","NCI Thesaurus","7f8d5c22-388d-4cc8-aed9-24271a0ba6a8","","Code"
"Vital Signs Result","Code_283","C173522","NCI Thesaurus","9a86fdba-30d8-4bc2-9e4b-c5a3b6db0b5c","","Code"
"Kilogram","Code_284","C28252","http://www.cdisc.org","550d366e-3f43-40e6-b4d5-45f006c6cdd7","2023-09-29","Code"
"Gram","Code_285","C48155","http://www.cdisc.org","29e4bc89-3505-4eb4-ba60-0ad1712804c2","2023-09-29","Code"
"Pound","Code_286","C48531","http://www.cdisc.org","7f22878d-d8a1-4d92-9ef5-ad6fec6d5187","2023-09-29","Code"
"Unit of Weight","Code_287","C48208","NCI Thesaurus","0e5df8e7-e56f-49b5-9798-aff6d4f4d043","","Code"
"Body Weight","Code_282","C81328","NCI Thesaurus","436c174c-41ef-4214-99ad-1251276f5427","","Code"
"Vital Signs Result","Code_289","C173522","NCI Thesaurus","6eb00ebe-c139-4efd-9fdd-c4ba7b408a8f","","Code"
"Centimeter","Code_290","C49668","http://www.cdisc.org","ae782e0a-a538-4897-89d9-198dcef5d490","2023-09-29","Code"
"Inch","Code_291","C48500","http://www.cdisc.org","9dd8bcf0-8048-4c66-9a05-3e8ad03d4174","2023-09-29","Code"
"Millimeter","Code_292","C28251","http://www.cdisc.org","8bcec475-8d34-4475-806c-3259d2a8d956","2023-09-29","Code"
"Meter","Code_293","C41139","http://www.cdisc.org","6a4f535c-30a3-4352-a432-61e44c556c32","2023-09-29","Code"
"Unit of Height","Code_294","C168688","NCI Thesaurus","34b33a30-e315-401c-9609-1800d3f2e83b","","Code"
"Body Height","Code_288","C164634","NCI Thesaurus","432269c5-2aea-46bd-b9f0-8d634cf10e6f","","Code"
"Laboratory Test Result","Code_296","C36292","NCI Thesaurus","c1ff6858-3983-481f-a900-6211e76428a2","","Code"
"Laboratory Test Fasting Status","Code_297","C83309","NCI Thesaurus","a8446b87-29e5-4500-8f21-c243c6271c2f","","Code"
"Unit of Catalytic Activity Concentration","Code_298","C67365","NCI Thesaurus","ec31a21c-d125-4c7b-86b8-ff15b55a1a93","","Code"
"Biospecimen Type","Code_299","C70713","NCI Thesaurus","5dc91a05-9e97-4592-b378-090459cb34ab","","Code"
"Alanine Aminotransferase Measurement","Code_295","C64433","NCI Thesaurus","055aba82-8158-48f7-8e63-b5f5ad2c7bea","","Code"
"Laboratory Test Result","Code_301","C36292","NCI Thesaurus","51e86ba4-4e56-4828-8b2c-4b36f03ebd8b","","Code"
"Laboratory Test Fasting Status","Code_302","C83309","NCI Thesaurus","2355f140-d77e-4634-b669-336ce76f7918","","Code"
"Unit of Concentration","Code_303","C48207","NCI Thesaurus","b7fc897a-5868-40cd-b07a-a66824e3c1f9","","Code"
"Biospecimen Type","Code_304","C70713","NCI Thesaurus","c214cd5d-d375-45dd-9b05-330d84992976","","Code"
"Albumin Measurement","Code_300","C64431","NCI Thesaurus","c72f665a-b567-4453-b67d-0618ddc578df","","Code"
"Laboratory Test Result","Code_306","C36292","NCI Thesaurus","62cdcc7c-9a8a-444c-9eaf-1f9bf0c4fd1d","","Code"
"Laboratory Test Fasting Status","Code_307","C83309","NCI Thesaurus","5fee1649-c64c-4c93-ba23-fb1109eaac5f","","Code"
"Unit of Catalytic Activity Concentration","Code_308","C67365","NCI Thesaurus","89d77b77-b2c4-448e-a51d-b6e4f8c6d59b","","Code"
"Biospecimen Type","Code_309","C70713","NCI Thesaurus","acb665e2-ca80-4ef4-8b5f-15be135e1f64","","Code"
"Alkaline Phosphatase Measurement","Code_305","C64432","NCI Thesaurus","bff9c73a-c1bc-4313-aa52-73866d2f4681","","Code"
"Laboratory Test Result","Code_311","C36292","NCI Thesaurus","a2ce9aea-cb90-4253-8491-1a4d55e6dbbb","","Code"
"Laboratory Test Fasting Status","Code_312","C83309","NCI Thesaurus","5c6c275e-eacb-466f-9948-93d64afd6929","","Code"
"Unit of Catalytic Activity Concentration","Code_313","C67365","NCI Thesaurus","14978d19-ce70-4808-ba16-d44e9cb1cb67","","Code"
"Biospecimen Type","Code_314","C70713","NCI Thesaurus","1d35bc99-2d63-41c1-a8b8-54fa7272d84a","","Code"
"Aspartate Aminotransferase Measurement","Code_310","C64467","NCI Thesaurus","b6cc38fb-b891-4ceb-9840-c76f7073d3bb","","Code"
"Laboratory Test Result","Code_316","C36292","NCI Thesaurus","af79c08a-1978-41b9-bd8c-dcb578b80fb8","","Code"
"Laboratory Test Fasting Status","Code_317","C83309","NCI Thesaurus","3372282c-9386-450b-8e73-fbf02470ccee","","Code"
"Unit of Concentration","Code_318","C48207","NCI Thesaurus","1dad3025-2f47-460b-83bc-ac7e690362ac","","Code"
"Biospecimen Type","Code_319","C70713","NCI Thesaurus","3de596cb-1b12-420a-a082-07840913360d","","Code"
"Creatinine Measurement","Code_315","C64547","NCI Thesaurus","decd9343-e6d3-41ff-88d6-fed449321979","","Code"
"Laboratory Test Result","Code_321","C36292","NCI Thesaurus","bfbf42df-6910-4065-8ff0-058101ea8464","","Code"
"Laboratory Test Fasting Status","Code_322","C83309","NCI Thesaurus","aad94c4f-13ad-4a1e-a830-7a6391c1feac","","Code"
"Molarity Unit","Code_323","C64567","NCI Thesaurus","50467d49-857c-477c-b234-b0fb9e51479f","","Code"
"Biospecimen Type","Code_324","C70713","NCI Thesaurus","8cb39220-7d56-43df-93ca-c2e05b0f1da4","","Code"
"Potassium Measurement","Code_320","C64853","NCI Thesaurus","a3403ed6-bb78-4d2d-a628-8ee702a7c1ca","","Code"
"Laboratory Test Result","Code_326","C36292","NCI Thesaurus","3658ae93-1c17-4695-bf15-322a974fb0be","","Code"
"Laboratory Test Fasting Status","Code_327","C83309","NCI Thesaurus","c058b689-1679-4c08-9b0d-7fdfc2447298","","Code"
"Molarity Unit","Code_328","C64567","NCI Thesaurus","8a15576b-5460-4839-86d2-e5fb1e44bc79","","Code"
"Biospecimen Type","Code_329","C70713","NCI Thesaurus","6004243f-b6df-48bd-891f-2c021ec4080b","","Code"
"Sodium Measurement","Code_325","C64809","NCI Thesaurus","6fd297b1-9a5a-4826-b72d-54dc3c3e8000","","Code"
"Adverse Event Verbatim Description","Code_145","C78541","NCI Thesaurus","21255521-1b99-44cf-9e93-396ad947d6e1","","Code"
"Adverse Event Dictionary Derived Term","Code_146","C83344","NCI Thesaurus","d259158e-c6e2-4c5a-99aa-d2efe25b7ea9","","Code"
"Adverse Event Category","Code_147","C83198","NCI Thesaurus","5324fcc6-f39b-4f50-a1b8-690f851f957d","","Code"
"Adverse Event Subcategory","Code_148","C83212","NCI Thesaurus","15f36b9d-16d6-4215-90bd-c738d105fbad","","Code"
"Adverse Event Pre-specified","Code_149","C87840","NCI Thesaurus","d9bc0105-ee7f-4c5e-8504-4b39ecc8f702","","Code"
"Severity of Adverse Event","Code_150","C53253","NCI Thesaurus","825d2537-f1dc-43d0-ac58-10aa58b14a6d","","Code"
"Adverse Event Toxicity Grade","Code_151","C78605","NCI Thesaurus","be773f81-d471-4224-9214-3b50113cfd71","","Code"
"Seriousness of Adverse Event","Code_152","C53252","NCI Thesaurus","b1520818-6791-48bb-8660-2f4a412bde18","","Code"
"Adverse Event Action Taken with Study Treatment","Code_153","C83013","NCI Thesaurus","d24db78a-c17c-4af1-b95f-17d141eb1130","","Code"
"Adverse Event Attribution to Product or Procedure","Code_154","C41358","NCI Thesaurus","fa4df4f2-f954-4d9b-bce5-06b6c415b086","","Code"
"Intermittent","Code_155","C71325","http://www.cdisc.org","86eacbb3-d9a2-43e5-937b-3711b49f3355","2023-09-29","Code"
"Adverse Event Pattern","Code_156","C83208","NCI Thesaurus","21cab14a-f5ba-48bd-97e7-5b41ab253c49","","Code"
"Adverse Event Outcome","Code_157","C49489","NCI Thesaurus","0fb9e7eb-a445-4837-85c7-fc157d03bb8a","","Code"
"Adverse Event Start Date Time","Code_158","C83215","NCI Thesaurus","80a7abb5-3466-442d-8239-27aef2c8b99b","","Code"
"Adverse Event End Date Time","Code_159","C83201","NCI Thesaurus","3e81b5c8-1735-469b-8ebf-8ed48e696a77","","Code"
"Adverse Event","Code_144","C41331","NCI Thesaurus","8aadb574-14ba-40c2-862b-a585a2342365","","Code"
"Vital Signs Result","Code_161","C173522","NCI Thesaurus","e9cc3ea0-bbd4-4869-b727-58352f3f671e","","Code"
"Pascal","Code_162","C42547","http://www.cdisc.org","f44a588c-e7a7-434a-989e-0808dc0133d9","2023-09-29","Code"
"Unit of Pressure","Code_163","C49669","NCI Thesaurus","33a3fc5b-cdcb-441c-a97e-4ae9e57c8fdc","","Code"
"Vital Signs Location","Code_164","C83088","NCI Thesaurus","93215a2f-8528-4856-b404-1928b810ab8e","","Code"
"Vital Signs Laterality","Code_165","C123975","NCI Thesaurus","340e3282-8239-449a-b1b5-b5bda10d0ee0","","Code"
"Test Method","Code_166","C82535","NCI Thesaurus","22b130a2-171a-4005-a100-83f98b2f8ae2","","Code"
"Vital Signs Position","Code_167","C83114","NCI Thesaurus","272eebbe-1f07-4f3f-a39c-6395a9f6add8","","Code"
"Systolic Blood Pressure","Code_160","C25298","NCI Thesaurus","38ea59cf-71ad-4f8d-b1bc-6f3736caf58a","","Code"
"Vital Signs Result","Code_169","C173522","NCI Thesaurus","e3e4b3eb-381e-4ddc-aaa2-01081d21eae1","","Code"
"Pascal","Code_170","C42547","http://www.cdisc.org","aa1bcec2-6485-4958-b4ed-3195249e5a59","2023-09-29","Code"
"Unit of Pressure","Code_171","C49669","NCI Thesaurus","29742ef2-f00f-4d14-86ae-68c4d0737f61","","Code"
"Vital Signs Location","Code_172","C83088","NCI Thesaurus","8d6f3332-3e41-42e6-96f0-042dcd536d05","","Code"
"Vital Signs Laterality","Code_173","C123975","NCI Thesaurus","9e8eead1-79de-4102-82a4-7eb78b4c9860","","Code"
"Test Method","Code_174","C82535","NCI Thesaurus","90ce9065-07f3-4197-8c0e-5dddde08d313","","Code"
"Vital Signs Position","Code_175","C83114","NCI Thesaurus","1d61f3cd-1abb-4192-821e-84040567f703","","Code"
"Diastolic Blood Pressure","Code_168","C25299","NCI Thesaurus","dfe53e71-315c-4646-91b8-c4413d106ab6","","Code"
"Vital Signs Result","Code_177","C173522","NCI Thesaurus","27362be0-1a6e-4ef7-b11c-fa066c29b9af","","Code"
"Kelvin","Code_178","C42537","http://www.cdisc.org","819cdda9-29ae-4331-be7c-3b923f98909f","2023-09-29","Code"
"Unit of Temperature","Code_179","C44276","NCI Thesaurus","9615f796-d7de-4187-88b3-042b95ae5b1c","","Code"
"Vital Signs Location","Code_180","C83088","NCI Thesaurus","89d53691-e9ec-4ce4-977d-b497d37b16e9","","Code"
"Body Temperature","Code_176","C174446","NCI Thesaurus","437af786-ac91-40bc-bf2b-9506eac1574c","","Code"
"Vital Signs Result","Code_182","C173522","NCI Thesaurus","1fff40be-4aad-4217-b239-5930ff0e2ea3","","Code"
"Kilogram","Code_183","C28252","http://www.cdisc.org","2ffc60f6-6a83-4b14-9361-7bacf4a85f65","2023-09-29","Code"
"Gram","Code_184","C48155","http://www.cdisc.org","4a0d6159-cfa1-4dea-91c0-c7eae0726de4","2023-09-29","Code"
"Pound","Code_185","C48531","http://www.cdisc.org","36783a15-e9d4-42b8-b5e4-bc1ea18f8275","2023-09-29","Code"
"Unit of Weight","Code_186","C48208","NCI Thesaurus","20b38ae0-800e-4172-b7b2-7a814ee8e545","","Code"
"Body Weight","Code_181","C81328","NCI Thesaurus","c920248f-2e48-4ece-b5b8-229e776247a7","","Code"
"Vital Signs Result","Code_188","C173522","NCI Thesaurus","7b82d694-8b4e-4eab-bf83-1b8d0a7ec60f","","Code"
"Centimeter","Code_189","C49668","http://www.cdisc.org","4fbe2246-ffaf-4621-8d5e-af492234630e","2023-09-29","Code"
"Inch","Code_190","C48500","http://www.cdisc.org","5dc676bb-2747-4922-8325-bd7db4a0df58","2023-09-29","Code"
"Millimeter","Code_191","C28251","http://www.cdisc.org","6f1fdf28-9d0e-47cd-b2e7-a05a902f2e76","2023-09-29","Code"
"Meter","Code_192","C41139","http://www.cdisc.org","7866f229-7240-4ebc-a8b2-1b1ef6030f2c","2023-09-29","Code"
"Unit of Height","Code_193","C168688","NCI Thesaurus","6d36c2b8-184c-4795-bf30-f06d7e85ce72","","Code"
"Body Height","Code_187","C164634","NCI Thesaurus","5c60b7a9-e240-4f6d-ab3b-bfab9d67804f","","Code"
"Laboratory Test Result","Code_195","C36292","NCI Thesaurus","c69777c8-0b61-4d17-b37d-8120ebfe4013","","Code"
"Laboratory Test Fasting Status","Code_196","C83309","NCI Thesaurus","d49326e8-74f7-424a-99b5-495ef1bc1259","","Code"
"Unit of Catalytic Activity Concentration","Code_197","C67365","NCI Thesaurus","e4c49c35-894a-4a22-b432-8ce859b5d4b7","","Code"
"Biospecimen Type","Code_198","C70713","NCI Thesaurus","5f521f77-c838-4ce4-a547-d1a95993bffc","","Code"
"Alanine Aminotransferase Measurement","Code_194","C64433","NCI Thesaurus","d7ba5221-7889-4c35-acf9-a3ee69312835","","Code"
"Laboratory Test Result","Code_200","C36292","NCI Thesaurus","38d58fbf-f6a0-42fb-bee8-cc38affb72e8","","Code"
"Laboratory Test Fasting Status","Code_201","C83309","NCI Thesaurus","c11a5e8f-b9b9-4e3b-b9fe-7f7de5a101b1","","Code"
"Unit of Concentration","Code_202","C48207","NCI Thesaurus","cc8b43a8-745f-455e-96f6-2ef642e7af38","","Code"
"Biospecimen Type","Code_203","C70713","NCI Thesaurus","63f1dc64-5a76-4973-b312-32e76b2d7aa0","","Code"
"Albumin Measurement","Code_199","C64431","NCI Thesaurus","0c1adbd7-05fe-44ee-bd82-b87e019efc67","","Code"
"Laboratory Test Result","Code_205","C36292","NCI Thesaurus","9686ac5b-6f76-4b75-adcd-9aa16dd91572","","Code"
"Laboratory Test Fasting Status","Code_206","C83309","NCI Thesaurus","5a23426b-7c1c-4c32-82f9-c00481e4a9d2","","Code"
"Unit of Catalytic Activity Concentration","Code_207","C67365","NCI Thesaurus","aca230e2-a23a-4ca2-980a-d1151b3793d4","","Code"
"Biospecimen Type","Code_208","C70713","NCI Thesaurus","507d702d-55c6-4dd6-a953-8d5737240740","","Code"
"Alkaline Phosphatase Measurement","Code_204","C64432","NCI Thesaurus","44a493cd-0b22-4c41-806c-6f439be32ed9","","Code"
"Laboratory Test Result","Code_210","C36292","NCI Thesaurus","dd129a41-d22e-4956-9b0f-4ac46cbc0e2d","","Code"
"Laboratory Test Fasting Status","Code_211","C83309","NCI Thesaurus","ea907941-01af-43cd-a7a4-4f94ebbfc401","","Code"
"Unit of Catalytic Activity Concentration","Code_212","C67365","NCI Thesaurus","7e7ff19a-da7a-45aa-82e9-2af5b2feb162","","Code"
"Biospecimen Type","Code_213","C70713","NCI Thesaurus","a4314d5b-93ed-46ae-b89f-0003e8f35ff8","","Code"
"Aspartate Aminotransferase Measurement","Code_209","C64467","NCI Thesaurus","79bfe69a-0385-494a-a69f-883c015db54d","","Code"
"Laboratory Test Result","Code_215","C36292","NCI Thesaurus","083dc107-5493-478a-a269-db0fe2ba0911","","Code"
"Laboratory Test Fasting Status","Code_216","C83309","NCI Thesaurus","25f62880-c2e0-48fd-8128-87ee80c973f4","","Code"
"Unit of Concentration","Code_217","C48207","NCI Thesaurus","e3bd9fb2-3ab1-459f-b891-10055e1895c1","","Code"
"Biospecimen Type","Code_218","C70713","NCI Thesaurus","d15312f3-f79b-4ea1-ad5d-4d71b3cc5210","","Code"
"Creatinine Measurement","Code_214","C64547","NCI Thesaurus","edcf486d-ff10-4b2b-a6d3-62a922233df4","","Code"
"Laboratory Test Result","Code_220","C36292","NCI Thesaurus","1b5e8e29-7e9b-4166-806f-8aa914d1426b","","Code"
"Laboratory Test Fasting Status","Code_221","C83309","NCI Thesaurus","1199f97a-ca0f-44ba-a996-e2655151a7d8","","Code"
"Molarity Unit","Code_222","C64567","NCI Thesaurus","f61e26f9-9cb9-45c9-864d-e2245dfc1a2b","","Code"
"Biospecimen Type","Code_223","C70713","NCI Thesaurus","00b5ab88-e377-4e73-a1b7-bb0bd185af44","","Code"
"Potassium Measurement","Code_219","C64853","NCI Thesaurus","821b702a-66ec-4e9b-9d41-5f11cac02755","","Code"
"Laboratory Test Result","Code_225","C36292","NCI Thesaurus","d69549b2-f456-4e23-844f-d75a3f5d9ae0","","Code"
"Laboratory Test Fasting Status","Code_226","C83309","NCI Thesaurus","067b49d0-3832-4a85-a761-2af8f0610a23","","Code"
"Molarity Unit","Code_227","C64567","NCI Thesaurus","e0f56f1c-c000-4d33-aba0-9b5d7ee3d319","","Code"
"Biospecimen Type","Code_228","C70713","NCI Thesaurus","e9c4c8cb-4288-4432-829a-455d0affd8c4","","Code"
"Sodium Measurement","Code_224","C64809","NCI Thesaurus","1cc8026f-5c72-447e-bd06-742a29da7ea6","","Code"
"Vital Signs Result","Code_230","C173522","NCI Thesaurus","6b01b044-0841-47d8-9718-8ca240495533","","Code"
"Pascal","Code_231","C42547","http://www.cdisc.org","9a9604e6-b948-4a53-827f-732508da9dc7","2023-09-29","Code"
"Unit of Pressure","Code_232","C49669","NCI Thesaurus","a81fffd4-a306-466f-9812-a4a62475d747","","Code"
"Vital Signs Location","Code_233","C83088","NCI Thesaurus","ebbe3875-e06d-4435-a27d-48a67dff0ed1","","Code"
"Vital Signs Laterality","Code_234","C123975","NCI Thesaurus","ae51ea4b-1510-40d9-b9f9-41f82197b39d","","Code"
"Test Method","Code_235","C82535","NCI Thesaurus","99b9ff30-b016-49a2-93e4-d82513e5f62c","","Code"
"Vital Signs Position","Code_236","C83114","NCI Thesaurus","01daca51-b0c7-4ac6-b458-b515440203b0","","Code"
"Systolic Blood Pressure","Code_229","C25298","NCI Thesaurus","c042865c-caf0-492c-89b3-382ddd91d40f","","Code"
"Vital Signs Result","Code_238","C173522","NCI Thesaurus","4e7454d4-696c-42ac-b12b-d7dad19fef39","","Code"
"Pascal","Code_239","C42547","http://www.cdisc.org","cf7e78e2-eb54-4d38-a54e-0cb2215c35d7","2023-09-29","Code"
"Unit of Pressure","Code_240","C49669","NCI Thesaurus","1d4efff6-7e59-46d6-87a9-4fd93f473749","","Code"
"Vital Signs Location","Code_241","C83088","NCI Thesaurus","16bf9f53-09ef-48b6-bc1a-63261670c25b","","Code"
"Vital Signs Laterality","Code_242","C123975","NCI Thesaurus","d40baf9d-7177-4623-a60b-385b34114829","","Code"
"Test Method","Code_243","C82535","NCI Thesaurus","7a5776c1-830d-4d1d-8f92-0aaa548a5d5d","","Code"
"Vital Signs Position","Code_244","C83114","NCI Thesaurus","fc11acd7-acc0-4a17-a962-c5efe76a8bd9","","Code"
"Diastolic Blood Pressure","Code_237","C25299","NCI Thesaurus","b767d6b3-f4bd-4389-a43e-2d92c8255523","","Code"
"Vital Signs Result","Code_246","C173522","NCI Thesaurus","3eaab968-faf7-4e14-a5d0-32c15d54ee56","","Code"
"Beats per Minute","Code_247","C49673","http://www.cdisc.org","496430b7-6858-46b9-829b-07bcf9230d5b","2023-09-29","Code"
