"id","uuid:ID","sectionTitle","name","text","instanceType","sectionNumber"
"NarrativeContent_18","e3544c48-9a5f-4e44-be9b-fa8becb7c14b","Other Trial Design Considerations","SECTION 4.2.3","<div></div>","NarrativeContent","4.2.3"
"NarrativeContent_19","61937055-85e1-450f-a905-625fdffa04c1","Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","NarrativeContent","4.3"
"NarrativeContent_20","f2b56cf7-9bc3-4388-a319-44c828417ed0","Start of Trial and End of Trial","SECTION 4.4","<div></div>","NarrativeContent","4.4"
"NarrativeContent_21","5a589469-bb74-41b6-9d45-c66fb80273b3","TRIAL POPULATION","SECTION 5","<div></div>","NarrativeContent","5"
"NarrativeContent_22","03548a73-9e18-4c0e-939e-4091c70c56f8","Selection of Trial Population","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","5.1"
"NarrativeContent_23","9029ebc1-3c79-4cde-a7e3-4aa60404c3f2","Rationale for Trial Population","SECTION 5.2","<div></div>","NarrativeContent","5.2"
"NarrativeContent_24","8b194ba4-27fd-44fb-8697-ad32de58e2f3","Inclusion Criteria","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","5.3"
"NarrativeContent_25","e05d6cb2-5943-43f1-894e-c63f9796f839","Exclusion Criteria","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","5.4"
"NarrativeContent_26","6269f91d-1159-49d0-892b-539f86b746fe","Lifestyle Considerations","SECTION 5.5","<div></div>","NarrativeContent","5.5"
"NarrativeContent_27","4fddd9b3-f39b-45c4-ab17-dc5e1fc5968b","Meals and Dietary Restrictions","SECTION 5.5.1","<div></div>","NarrativeContent","5.5.1"
"NarrativeContent_28","ba6b18a4-34da-444f-b8fb-5b1549003447","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent","5.5.2"
"NarrativeContent_29","261c67cb-2318-40a8-87df-d5d33924eb71","Physical Activity","SECTION 5.5.3","<div></div>","NarrativeContent","5.5.3"
"NarrativeContent_30","00317f2e-9577-49e3-a555-6267eb686f8f","Other Activity","SECTION 5.5.4","<div></div>","NarrativeContent","5.5.4"
"NarrativeContent_31","f321ea7f-68dd-4bba-bf44-7fe33303ed03","Screen Failures","SECTION 5.6","<div></div>","NarrativeContent","5.6"
"NarrativeContent_32","9d33af2f-c723-4cff-9aa3-000c61f5eaf7","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","<div></div>","NarrativeContent","6"
"NarrativeContent_33","8fd39606-c2e8-471a-a98f-886af7f4b371","Description of Trial Intervention","SECTION 6.1","<div></div>","NarrativeContent","6.1"
"NarrativeContent_34","5d57922e-387c-4c59-952f-50db6f926b80","Rationale for Trial Intervention","SECTION 6.2","<div></div>","NarrativeContent","6.2"
"NarrativeContent_35","a55ce371-9df4-4b66-9708-b720855fb412","Dosing and Administration","SECTION 6.3","<div></div>","NarrativeContent","6.3"
"NarrativeContent_36","f6254409-4896-4d11-befe-20f185091bf1","Trial Intervention Dose Modification","SECTION 6.3.1","<div></div>","NarrativeContent","6.3.1"
"NarrativeContent_37","79c1b296-11ff-4249-be94-2996aa11cf1f","Treatment of Overdose","SECTION 6.4","<div></div>","NarrativeContent","6.4"
"NarrativeContent_38","4e383955-7560-4036-bf90-bdd9cdfefc24","Preparation, Handling, Storage and Accountability","SECTION 6.5","<div></div>","NarrativeContent","6.5"
"NarrativeContent_39","db11690c-e640-4a1b-8c8f-56547e2d9a60","Preparation of Trial Intervention","SECTION 6.5.1","<div></div>","NarrativeContent","6.5.1"
"NarrativeContent_40","9a6fdcdb-ec5a-4ac5-8568-f0dbdd927e38","Handling and Storage of Trial Intervention","SECTION 6.5.2","<div></div>","NarrativeContent","6.5.2"
"NarrativeContent_41","72b79c5a-ac90-4cac-8166-8ebe8ac012c5","Accountability of Trial Intervention","SECTION 6.5.3","<div></div>","NarrativeContent","6.5.3"
"NarrativeContent_42","0bb719b2-d043-4296-bab2-3aaec7785808","Participant Assignment, Randomisation and Blinding","SECTION 6.6","<div></div>","NarrativeContent","6.6"
"NarrativeContent_43","aa4dba7e-de97-4360-a395-4b40f87c90c1","Participant Assignment","SECTION 6.6.1","<div></div>","NarrativeContent","6.6.1"
"NarrativeContent_44","fe3b8839-202a-4f42-bd10-f5a49d5e9907","Randomisation","SECTION 6.6.2","<div></div>","NarrativeContent","6.6.2"
"NarrativeContent_45","153206ad-97f0-4f80-931a-2ff45b05eb0f","Blinding and Unblinding","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","6.6.3"
"NarrativeContent_46","518ced5e-5413-4cad-8a75-527fc88546bf","Trial Intervention Compliance","SECTION 6.7","<div></div>","NarrativeContent","6.7"
"NarrativeContent_47","6949ab98-9cfd-4909-99e5-917a24a7ab0a","Concomitant Therapy","SECTION 6.8","<div></div>","NarrativeContent","6.8"
"NarrativeContent_48","a1d2be4d-8e66-4262-8def-514747da0093","Prohibited Concomitant Therapy","SECTION 6.8.1","<div></div>","NarrativeContent","6.8.1"
"NarrativeContent_49","090b43b6-e516-470c-ad62-18b7102cf27c","Permitted Concomitant Therapy","SECTION 6.8.2","<div></div>","NarrativeContent","6.8.2"
"NarrativeContent_50","4cbd4ad6-b9ed-4bc9-8da5-be12744e2e43","Rescue Therapy","SECTION 6.8.3","<div></div>","NarrativeContent","6.8.3"
"NarrativeContent_51","c3d364ae-387b-4a09-8b74-ae0ce33f9410","Other Therapy","SECTION 6.8.4","<div></div>","NarrativeContent","6.8.4"
"NarrativeContent_52","222265b6-dbd8-41a9-8e8f-df8d1496d8cf","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","<div></div>","NarrativeContent","7"
"NarrativeContent_53","fd5de00e-8e42-4c02-971c-c2ad2cde9036","Discontinuation of Trial Intervention","SECTION 7.1","<div></div>","NarrativeContent","7.1"
"NarrativeContent_54","b0ef6ead-aaa9-4ec6-a558-706f86362c7c","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","<div></div>","NarrativeContent","7.1.1"
"NarrativeContent_55","88cd3d32-73a9-438f-a838-5b9c0c9a9c5e","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","<div></div>","NarrativeContent","7.1.2"
"NarrativeContent_56","6a191354-47c0-43a0-bb59-2b17e5670efc","Rechallenge","SECTION 7.1.3","<div></div>","NarrativeContent","7.1.3"
"NarrativeContent_57","b8de9553-e001-47f7-9b82-d995cf71731a","Participant Withdrawal from the Trial","SECTION 7.2","<div></div>","NarrativeContent","7.2"
"NarrativeContent_58","285291f8-fdd1-4904-ab21-94b6f0c831f7","Lost to Follow-Up","SECTION 7.3","<div></div>","NarrativeContent","7.3"
"NarrativeContent_59","b50ff844-48b7-4f22-a083-448597e817e2","Trial Stopping Rules","SECTION 7.4","<div></div>","NarrativeContent","7.4"
"NarrativeContent_60","60d2e105-e7f8-4909-bb1a-0e5f7a046500","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","<div></div>","NarrativeContent","8"
"NarrativeContent_61","cbbf7f55-3ab2-4444-95ca-0e7862dce718","Screening/Baseline Assessments and Procedures","SECTION 8.1","<div></div>","NarrativeContent","8.1"
"NarrativeContent_62","d21e61a6-0192-461f-ba34-ca19662ca7f0","Efficacy Assessments and Procedures","SECTION 8.2","<div></div>","NarrativeContent","8.2"
"NarrativeContent_63","f7340485-069f-49df-9463-0cf9df7e7f8e","Safety Assessments and Procedures","SECTION 8.3","<div></div>","NarrativeContent","8.3"
"NarrativeContent_64","1c063253-eee4-4d33-9325-978c774885a7","Physical Examination","SECTION 8.3.1","<div></div>","NarrativeContent","8.3.1"
"NarrativeContent_65","e464ab98-d13a-4a68-85d1-72902cbfe061","Vital Signs","SECTION 8.3.2","<div></div>","NarrativeContent","8.3.2"
"NarrativeContent_66","be756b81-69c9-4a22-a761-3e2e7622d91e","Electrocardiograms","SECTION 8.3.3","<div></div>","NarrativeContent","8.3.3"
"NarrativeContent_67","e53f611e-ce28-4756-a915-e2b8b74abe56","Clinical Laboratory Assessments","SECTION 8.3.4","<div></div>","NarrativeContent","8.3.4"
"NarrativeContent_68","396a310e-da82-4730-9b2b-d844227b31b7","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","<div></div>","NarrativeContent","8.3.5"
"NarrativeContent_69","2bc1337c-4710-4023-99c4-b44119d75dbf","Adverse Events and Serious Adverse Events","SECTION 8.4","<div></div>","NarrativeContent","8.4"
"NarrativeContent_70","3828e21e-d0f7-4dcc-8e6f-7b90c0d6271a","Definitions of AE and SAE","SECTION 8.4.1","<div></div>","NarrativeContent","8.4.1"
"NarrativeContent_71","d4fa33d5-3b53-48b4-be51-c6c9a66f41a6","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","<div></div>","NarrativeContent","8.4.2"
"NarrativeContent_72","bd46d76f-11b9-4938-96d3-294c23ff69f3","Identifying AEs and SAEs","SECTION 8.4.3","<div></div>","NarrativeContent","8.4.3"
"NarrativeContent_73","9a1aa8ce-8388-4191-8cbc-c3676e78a04a","Recording of AEs and SAEs","SECTION 8.4.4","<div></div>","NarrativeContent","8.4.4"
"NarrativeContent_74","0a16e912-d614-47b7-be98-9757e9565e70","Follow-up of AEs and SAEs","SECTION 8.4.5","<div></div>","NarrativeContent","8.4.5"
"NarrativeContent_75","0e4df36d-0f00-4517-961b-63cd9447e2dc","Reporting of SAEs","SECTION 8.4.6","<div></div>","NarrativeContent","8.4.6"
"NarrativeContent_76","e568a2c2-c2c2-40ef-8890-563a3eadb90c","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","<div></div>","NarrativeContent","8.4.7"
"NarrativeContent_77","0b04c726-1fd9-43d9-9386-f3cb852584bf","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","<div></div>","NarrativeContent","8.4.8"
"NarrativeContent_78","1010bcfe-f5f0-4186-8a9d-8abf81f49b49","Adverse Events of Special Interest","SECTION 8.4.9","<div></div>","NarrativeContent","8.4.9"
"NarrativeContent_79","e136696a-96ec-4e5f-80ec-6802b6c6bd79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","<div></div>","NarrativeContent","8.4.10"
"NarrativeContent_80","88de31f3-5601-4c03-af54-5362ac2b2ec4","Pregnancy and Postpartum Information","SECTION 8.5","<div></div>","NarrativeContent","8.5"
"NarrativeContent_81","714d9936-ddae-4711-96cd-03ca9b030849","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","<div></div>","NarrativeContent","8.5.1"
"NarrativeContent_82","a9df5237-21fc-4243-972b-734734e6f0d9","Participants Whose Partners Become Pregnant","SECTION 8.5.2","<div></div>","NarrativeContent","8.5.2"
"NarrativeContent_83","3863223f-e5dc-4980-b706-72ae1244fb86","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","<div></div>","NarrativeContent","8.6"
"NarrativeContent_84","c6cdbe68-29bd-48b3-9ab2-cead56df5ee1","Definition of Medical Device Product Complaints","SECTION 8.6.1","<div></div>","NarrativeContent","8.6.1"
"NarrativeContent_85","68318bfe-544b-4ddf-9b65-4d66e73dc715","Recording of Medical Device Product Complaints","SECTION 8.6.2","<div></div>","NarrativeContent","8.6.2"
"NarrativeContent_86","734bbd3f-ffe2-4898-9c3a-55d4022eafea","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","<div></div>","NarrativeContent","8.6.3"
"NarrativeContent_87","6aadb6f5-be04-4c6d-98ac-064ac42c37a5","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","<div></div>","NarrativeContent","8.6.4"
"NarrativeContent_88","83b3c244-6deb-4535-ab5d-6ea0126e136f","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","<div></div>","NarrativeContent","8.6.5"
"NarrativeContent_89","b62e4cc0-6254-46ad-9ad6-a38a7510f1ea","Pharmacokinetics","SECTION 8.7","<div></div>","NarrativeContent","8.7"
"NarrativeContent_90","1b830b28-9a97-4db1-80f7-b60313319ec0","Genetics","SECTION 8.8","<div></div>","NarrativeContent","8.8"
"NarrativeContent_91","5d9f8eb1-80ba-4d94-9b7e-3da50108bcce","Biomarkers","SECTION 8.9","<div></div>","NarrativeContent","8.9"
"NarrativeContent_92","b6ac0c34-e596-4ae4-a6cf-76125236e422","Immunogenicity Assessments","SECTION 8.1","<div></div>","NarrativeContent","8.1"
"NarrativeContent_93","58b6c974-3ed4-4903-a49c-422d577ae3a5","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","<div></div>","NarrativeContent","8.1.1"
"NarrativeContent_94","e63e9bad-cdf4-424e-bb56-841482c15c47","STATISTICAL CONSIDERATIONS","SECTION 9","<div></div>","NarrativeContent","9"
"NarrativeContent_95","3e7d1490-8a06-4ef3-b169-ff76cc2534e0","Analysis Sets","SECTION 9.1","<div></div>","NarrativeContent","9.1"
"NarrativeContent_96","e9743fc1-2342-493f-b3ee-e0ff4f19d283","Analyses Supporting Primary Objective(s)","SECTION 9.2","<div></div>","NarrativeContent","9.2"
"NarrativeContent_97","14b295e2-d757-44d3-9d5b-48763364ee0f","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","<div></div>","NarrativeContent","9.2.1"
"NarrativeContent_98","0ce5013f-77f7-4e53-aeed-9a7db258fbaa","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","<div></div>","NarrativeContent","9.2.2"
"NarrativeContent_99","fbb51cfe-1458-4f3a-bd9b-d70de6729044","Handling of Missing Data","SECTION 9.2.3","<div></div>","NarrativeContent","9.2.3"
"NarrativeContent_100","47c037a2-5439-43e1-8942-d4de93ffd4cc","Sensitivity Analysis","SECTION 9.2.4","<div></div>","NarrativeContent","9.2.4"
"NarrativeContent_101","a446b33b-6304-449e-a676-97e50817ce6e","Supplementary Analysis","SECTION 9.2.5","<div></div>","NarrativeContent","9.2.5"
"NarrativeContent_102","c39e1b7e-be73-4731-bfc8-f0bf76e8b18b","Analysis Supporting Secondary Objective(s)","SECTION 9.3","<div></div>","NarrativeContent","9.3"
"NarrativeContent_103","43b78e1d-7f90-4a44-827d-6499ffc5e943","Analysis of Exploratory Objective(s)","SECTION 9.4","<div></div>","NarrativeContent","9.4"
"NarrativeContent_104","e3a02805-fb08-4901-9377-013d1d5a3b9b","Safety Analyses","SECTION 9.5","<div></div>","NarrativeContent","9.5"
"NarrativeContent_105","145b879b-eacf-4df2-a354-c299e7d585bb","Other Analyses","SECTION 9.6","<div></div>","NarrativeContent","9.6"
"NarrativeContent_106","f0104f31-7bf4-43f4-9698-4490090fb473","Interim Analyses","SECTION 9.7","<div></div>","NarrativeContent","9.7"
"NarrativeContent_107","73158685-84fb-48d3-a05b-c06ca9179147","Sample Size Determination","SECTION 9.8","<div></div>","NarrativeContent","9.8"
"NarrativeContent_108","c3c297b5-7d5c-4b20-b290-7dc414a96484","Protocol Deviations","SECTION 9.9","<div></div>","NarrativeContent","9.9"
"NarrativeContent_109","2f6c957f-52cf-4204-b369-24529c5b2b88","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","<div></div>","NarrativeContent","10"
"NarrativeContent_110","3aa5a300-f8cb-4627-a47d-e687686248dc","Regulatory and Ethical Considerations","SECTION 10.1","<div></div>","NarrativeContent","10.1"
"NarrativeContent_111","613db155-54cb-40d0-ae0d-fef9e86c0b02","Committees","SECTION 10.2","<div></div>","NarrativeContent","10.2"
"NarrativeContent_112","6d7bbec0-41d3-4347-8b05-c12d35ab1ace","Informed Consent Process","SECTION 10.3","<div></div>","NarrativeContent","10.3"
"NarrativeContent_113","9cfb53c8-6840-4bcc-a9dd-031879660e2f","Data Protection","SECTION 10.4","<div></div>","NarrativeContent","10.4"
"NarrativeContent_114","91ea8867-ae5e-41f6-b315-250537e70da7","Early Site Closure or Trial Termination","SECTION 10.5","<div></div>","NarrativeContent","10.5"
"NarrativeContent_115","d593d9a3-43e3-434e-a6c8-cc4aced0d568","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","<div></div>","NarrativeContent","11"
"NarrativeContent_116","64227ed2-9479-440d-92eb-af6f5b22204a","Quality Tolerance Limits","SECTION 11.1","<div></div>","NarrativeContent","11.1"
"NarrativeContent_117","a58f3066-5159-4971-b595-1adfd17ecb0d","Data Quality Assurance","SECTION 11.2","<div></div>","NarrativeContent","11.2"
"NarrativeContent_118","ba6d57ac-79ec-4190-9c1f-cae775009cef","Source Data","SECTION 11.3","<div></div>","NarrativeContent","11.3"
"NarrativeContent_119","ff9d78e6-9494-4fc6-9f29-c9157ed40a3b","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","<div></div>","NarrativeContent","12"
"NarrativeContent_120","4f8f16b4-6a4d-45d8-83b4-c92055e65c07","Further Details and Clarifications on the AE Definition","SECTION 12.1","<div></div>","NarrativeContent","12.1"
"NarrativeContent_121","72fa6a57-104c-4122-b691-e655a85afa28","Further Details and Clarifications on the SAE Definition","SECTION 12.2","<div></div>","NarrativeContent","12.2"
"NarrativeContent_122","d2c7fd4a-9a57-4480-adf4-dddf12630dcd","Severity","SECTION 12.3","<div></div>","NarrativeContent","12.3"
"NarrativeContent_123","9f923412-a039-4f4e-946f-bf27c1ce4301","Causality","SECTION 12.4","<div></div>","NarrativeContent","12.4"
"NarrativeContent_124","47222e75-77b9-40b6-a0e1-4e8ac545cee9","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","<div></div>","NarrativeContent","13"
"NarrativeContent_125","8e3fc2c5-5519-4197-b7ea-34612cfd64bb","Contraception and Pregnancy Testing","SECTION 13.1","<div></div>","NarrativeContent","13.1"
"NarrativeContent_126","59752f5a-e5da-4a21-9c73-fa60ed0daa21","Definitions Related to Childbearing Potential","SECTION 13.1.1","<div></div>","NarrativeContent","13.1.1"
"NarrativeContent_127","cfcc9528-ab7a-485c-a7dd-528669ffc05d","Contraception","SECTION 13.1.2","<div></div>","NarrativeContent","13.1.2"
"NarrativeContent_128","9b10fb63-604a-4f17-915c-fe5e2abfc9df","Pregnancy Testing","SECTION 13.1.3","<div></div>","NarrativeContent","13.1.3"
"NarrativeContent_129","ae6c0630-91cc-42b5-a64e-d5cbb5f26889","Clinical Laboratory Tests","SECTION 13.2","<div></div>","NarrativeContent","13.2"
"NarrativeContent_130","a826d72a-8b3e-4a6b-95ff-e71e2dd36810","Country/Region-Specific Differences","SECTION 13.3","<div></div>","NarrativeContent","13.3"
"NarrativeContent_131","991c3c21-7ff9-4532-9697-29e4e5d933e2","Prior Protocol Amendments","SECTION 13.4","<div></div>","NarrativeContent","13.4"
"NarrativeContent_132","20e83ed1-a98b-4caa-947f-705922f6049f","APPENDIX: GLOSSARY OF TERMS","SECTION 14","<div></div>","NarrativeContent","14"
"NarrativeContent_133","3fb49e6a-7e7c-4d02-8bea-3473ada79110","APPENDIX: REFERENCES","SECTION 15","<div></div>","NarrativeContent","15"
