"label","uuid:ID","id","name","synonyms","reference","instanceType"
"Creatinine Concentration in Urine","aba6ed91-2605-4915-9ecb-4aa1f1b57f10","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","9815253b-5cc7-44cb-a458-fbbade40fb99","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","9895b14b-28fc-4d0e-91ae-68e683feee05","BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","f7e37bb7-e224-41da-b3e7-14a7bd58ce6c","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept"
"Adverse Event Prespecified","f4e2def2-f795-4136-ba75-357bce83c31a","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept"
"Systolic Blood Pressure","7484f756-b10c-4145-a5dd-23a853950988","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","dcd95e33-6e98-4f48-bb8f-8ddf3b359674","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Temperature","ed5201f1-f653-4aab-899d-3cbefa092821","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","45279beb-33f6-4d4d-be23-06f03f21d970","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","a7bc513b-fd72-4100-b65d-af55bbab4bb3","BiomedicalConcept_6","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","8048f5ef-09d9-4889-ae11-c4586cc41057","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","56f4a6f7-a87d-4ef3-9f97-ca3eae7d6343","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","5a518a42-b3d1-48e6-8778-fdb99d0fcb69","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","8282e20f-e702-4fa2-a213-4a5dfeee6398","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","f5205220-6652-412a-a29d-1b9e04c4f391","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","b13e2008-b737-486d-9fbe-78447dbbaf8a","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","c5ba8647-8640-4ab3-98f8-8dbde95d3bf7","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Systolic Blood Pressure","4699973a-240c-4812-98a0-e2c5bdf9b702","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","bc6e0d11-7f4e-47b1-9db6-eb3e77263325","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","132be1fc-aabe-4205-b051-1b855f3973d3","BiomedicalConcept_16","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
"Systolic Blood Pressure","a769cfd9-3073-46fd-8c08-a511572127ee","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","8ccbf779-b70a-48e3-9285-ef2ac56d4bb9","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","98271dfc-550e-40d8-a269-5a9e935d29bb","BiomedicalConcept_19","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
