"code","codeSystem","decode","instanceType","id","codeSystemVersion","uuid:ID"
"C25716","http://www.cdisc.org","Visit","Code","Code_94","2023-09-29","e3cb6848-b7b1-4832-8254-59cae70e276e"
"C51282","http://www.cdisc.org","Clinic","Code","Code_95","2023-09-29","6d41e17e-3b90-4db1-b840-a9b1699615f0"
"C175574","http://www.cdisc.org","In Person","Code","Code_96","2023-09-29","54161a0d-c787-4e93-a57c-2701a9dd443e"
"C25716","http://www.cdisc.org","Visit","Code","Code_97","2023-09-29","ecdcdec9-f2c9-42f4-9859-697a84ad7bcc"
"C51282","http://www.cdisc.org","Clinic","Code","Code_98","2023-09-29","fed2797c-9fe6-42ef-8423-1211af6a94a7"
"C175574","http://www.cdisc.org","In Person","Code","Code_99","2023-09-29","f6b6db7b-8404-4309-88c8-a3ceb9ea8865"
"C25716","http://www.cdisc.org","Visit","Code","Code_100","2023-09-29","2d909314-e3b7-4722-b530-81985dd68f0c"
"C51282","http://www.cdisc.org","Clinic","Code","Code_101","2023-09-29","d5cf3847-ee7a-4834-bb20-5ee300473d86"
"C175574","http://www.cdisc.org","In Person","Code","Code_102","2023-09-29","f4cfbf37-f9c1-433e-a489-3c1c7fd35e2c"
"C171537","http://www.cdisc.org","Telephone Call","Code","Code_103","2023-09-29","4782a47f-6b10-4d94-9a98-41fadd84347f"
"C25716","http://www.cdisc.org","Visit","Code","Code_104","2023-09-29","ade5121a-93d9-4bfb-b54b-c150c3701242"
"C51282","http://www.cdisc.org","Clinic","Code","Code_105","2023-09-29","1b29c93f-a31a-48ed-ac3e-f537bfaaf560"
"C175574","http://www.cdisc.org","In Person","Code","Code_106","2023-09-29","b82f0fff-cb34-4c48-b2f1-f7d7468ad74d"
"C171537","http://www.cdisc.org","Telephone Call","Code","Code_107","2023-09-29","4cc70e80-f685-4851-821f-bbd6c7062c2e"
"C25716","http://www.cdisc.org","Visit","Code","Code_108","2023-09-29","e4f924a5-26ab-48a2-9a98-1d63ccecb904"
"C51282","http://www.cdisc.org","Clinic","Code","Code_109","2023-09-29","5aa99a49-dc8e-48d7-93c7-c430414a41a5"
"C175574","http://www.cdisc.org","In Person","Code","Code_110","2023-09-29","b055d796-0f8b-4e1e-a1cb-e544c311ba92"
"C171537","http://www.cdisc.org","Telephone Call","Code","Code_111","2023-09-29","7b0e3454-efb2-4a84-b5a1-275db6a84cdd"
"C25716","http://www.cdisc.org","Visit","Code","Code_112","2023-09-29","11f135e0-3e2d-4b49-9380-754b3399f026"
"C51282","http://www.cdisc.org","Clinic","Code","Code_113","2023-09-29","ca5dce0a-946f-4bbf-b0a7-eb1d7019ec57"
"C175574","http://www.cdisc.org","In Person","Code","Code_114","2023-09-29","da46141e-7360-4602-8add-697cdd39839d"
"C171537","http://www.cdisc.org","Telephone Call","Code","Code_115","2023-09-29","58d63827-4278-4b7e-a5f6-9d04fd64b955"
"C25716","http://www.cdisc.org","Visit","Code","Code_116","2023-09-29","aa6265b3-76cb-475d-853f-244f8489d4be"
"C51282","http://www.cdisc.org","Clinic","Code","Code_117","2023-09-29","1a052f06-a878-42c6-8a22-c7f569fabc78"
"C175574","http://www.cdisc.org","In Person","Code","Code_118","2023-09-29","ced05784-813d-445e-bb9d-a15a73fc3ded"
"C25716","http://www.cdisc.org","Visit","Code","Code_119","2023-09-29","e47d8458-190c-460a-86ff-70398dc56c10"
"C51282","http://www.cdisc.org","Clinic","Code","Code_120","2023-09-29","ab65ee0e-88f8-4ead-a916-461f2e884c8a"
"C175574","http://www.cdisc.org","In Person","Code","Code_121","2023-09-29","bb94cb6a-a928-4ff3-a6f8-808e2e9728a4"
"383371000119108","SNOMED","CT of head without contrast","Code","Code_79","January 31, 2018","939e85ee-8ede-4519-955e-eef3c36d539f"
"123","SPONSOR","Subject Supine","Code","Code_80","12","022eef45-1935-4e1f-8a63-1b1e6a296b6c"
"124","SPONSOR","Subject Standing","Code","Code_81","12","5097aabe-5247-41d6-b42f-f54ee8279a8f"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_278","","4f6803c4-edd0-43e1-b300-35c4813876a7"
"C42537","http://www.cdisc.org","Kelvin","Code","Code_279","2023-09-29","bf6867f7-6f3d-409b-af41-ca2bdf8a444d"
"C44276","NCI Thesaurus","Unit of Temperature","Code","Code_280","","46956e61-9f54-4ade-85ec-fd3ef080c917"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_281","","60898bc5-4572-42a5-b940-e4f48e11498b"
"C174446","NCI Thesaurus","Body Temperature","Code","Code_277","","b7d8d189-2b9e-45ad-a35d-172c30d5bac7"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_283","","69d07a83-1abd-40c1-be51-21cd2598ab82"
"C28252","http://www.cdisc.org","Kilogram","Code","Code_284","2023-09-29","648ec194-0576-4d19-aa05-c60e9e2b3d4a"
"C48155","http://www.cdisc.org","Gram","Code","Code_285","2023-09-29","5dfbebd2-a02c-48ca-99bd-459b793f6fb6"
"C48531","http://www.cdisc.org","Pound","Code","Code_286","2023-09-29","804ab1c9-a89b-49f4-bab9-dc4d3ddf264d"
"C48208","NCI Thesaurus","Unit of Weight","Code","Code_287","","f614c574-d516-4566-8581-e5192253d1b3"
"C81328","NCI Thesaurus","Body Weight","Code","Code_282","","7a323559-dacd-467e-9d75-ef0aaca6d3c9"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_289","","0fc44fbe-c3d5-427d-b0c9-366083094de4"
"C49668","http://www.cdisc.org","Centimeter","Code","Code_290","2023-09-29","85d6ae1d-25cf-4d78-bc37-37026a6ce962"
"C48500","http://www.cdisc.org","Inch","Code","Code_291","2023-09-29","0484a5a1-02a3-4128-9265-4a74367bc6e3"
"C28251","http://www.cdisc.org","Millimeter","Code","Code_292","2023-09-29","ce073bfa-e2ff-406b-b844-4397286f29b2"
"C41139","http://www.cdisc.org","Meter","Code","Code_293","2023-09-29","2b8c27a0-bc32-4313-aea7-536cce6ab8ed"
"C168688","NCI Thesaurus","Unit of Height","Code","Code_294","","08e498dc-d12c-4e35-805d-16cd782b7f11"
"C164634","NCI Thesaurus","Body Height","Code","Code_288","","42d8a433-8962-4722-883c-27a8d38c0bb8"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_296","","0facce51-dbd1-4cba-9552-bcd28e2f0e46"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_297","","c420fc3d-36df-44ae-982c-b6d2bf4bee49"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code","Code_298","","8d25285f-cb86-4c43-8b26-a012b9930413"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_299","","6cb194da-1ffd-4f82-b5d8-37dd646c50dd"
"C64433","NCI Thesaurus","Alanine Aminotransferase Measurement","Code","Code_295","","e757c602-22a3-409e-898a-4c78245358b5"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_301","","e69ba69c-5ec6-47df-a4bc-e47ded780b34"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_302","","2af4eb7c-a742-4353-9ce6-e9451fe06b00"
"C48207","NCI Thesaurus","Unit of Concentration","Code","Code_303","","b8d69b78-0da5-40f0-815e-eaacec84da6d"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_304","","41f96a02-efa5-43f4-a85e-8e81a7394266"
"C64431","NCI Thesaurus","Albumin Measurement","Code","Code_300","","2af2ba92-a06e-484f-9c10-28caf8d81105"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_306","","3f3ad366-7842-41d6-99b9-e5f5fdb0c570"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_307","","fd3d83a2-c5b3-4881-9afc-baa66bbd8c01"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code","Code_308","","c021fdb2-d1ba-4117-aa1d-549b0672eecf"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_309","","112ededd-cf9e-4ffe-855c-f9c6de7b13a1"
"C64432","NCI Thesaurus","Alkaline Phosphatase Measurement","Code","Code_305","","411c256c-1e57-4bd3-93e7-666bd90e90b3"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_311","","699a1a0e-a29b-4720-989d-6b4b48daa431"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_312","","99256c9b-a6d8-47c3-ac7a-d5f8ef67e49f"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code","Code_313","","1ad7a360-8d39-484a-bf91-6f6197358989"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_314","","f0043a88-5fcb-46d5-b9d5-6d2bd9411c93"
"C64467","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code","Code_310","","41dcd6e6-3e7f-4a3a-a467-a6c8ba1ebed2"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_316","","410121c0-5db2-4c58-9266-ac91d0969fc1"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_317","","21727c61-4895-4e97-b07c-bdff2db3a730"
"C48207","NCI Thesaurus","Unit of Concentration","Code","Code_318","","aa3dce02-bf89-4a0c-94a7-90b577727446"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_319","","9796512f-32d2-42e4-8ebd-fbaa23921c20"
"C64547","NCI Thesaurus","Creatinine Measurement","Code","Code_315","","f96cd138-e744-480b-9b4c-1ee11f889966"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_321","","df71b125-24e9-4821-a5a8-4a96b0903d8b"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_322","","3af3be5a-75a0-4efd-af34-b2ac1c46f83b"
"C64567","NCI Thesaurus","Molarity Unit","Code","Code_323","","63465e5b-5871-4aef-b5d1-eaae4370d1fa"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_324","","2138e648-32d4-48cd-86d5-e969c23ca024"
"C64853","NCI Thesaurus","Potassium Measurement","Code","Code_320","","b5a58028-e8e8-4114-a0ea-e50a4f4abeb0"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_326","","40e9472c-f3f0-421a-a4b0-fbdd1d9e28a9"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_327","","53b5a902-e04d-426f-b23f-f9f5f2d65d1d"
"C64567","NCI Thesaurus","Molarity Unit","Code","Code_328","","de2befd5-34aa-4acd-b1d6-32589d2c276f"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_329","","2def2c15-3b2b-460a-914d-c0a2a4c7a51c"
"C64809","NCI Thesaurus","Sodium Measurement","Code","Code_325","","c72f90ac-0818-4d7c-b791-64bc9210c21d"
"C78541","NCI Thesaurus","Adverse Event Verbatim Description","Code","Code_145","","db797268-cc2e-4c71-a619-19cef95defd0"
"C83344","NCI Thesaurus","Adverse Event Dictionary Derived Term","Code","Code_146","","5c18a698-b3f5-45d5-8800-937b67c45a89"
"C83198","NCI Thesaurus","Adverse Event Category","Code","Code_147","","a22fc24b-45cb-43df-a79c-fac0481ae7fc"
"C83212","NCI Thesaurus","Adverse Event Subcategory","Code","Code_148","","0ae35cd4-7d39-4d03-8e40-4022194ddd40"
"C87840","NCI Thesaurus","Adverse Event Pre-specified","Code","Code_149","","a38356af-7ff7-4099-b3a8-401c3898df5c"
"C53253","NCI Thesaurus","Severity of Adverse Event","Code","Code_150","","46f37ac9-8f0c-46c2-b961-8d628cb2cb4f"
"C78605","NCI Thesaurus","Adverse Event Toxicity Grade","Code","Code_151","","6be8162e-7e80-4bfe-ae38-7f2b10aebd27"
"C53252","NCI Thesaurus","Seriousness of Adverse Event","Code","Code_152","","c51b6631-787c-4700-80d3-279068a1a9a5"
"C83013","NCI Thesaurus","Adverse Event Action Taken with Study Treatment","Code","Code_153","","14c57384-df26-4744-b4ff-4bc5489dd6c7"
"C41358","NCI Thesaurus","Adverse Event Attribution to Product or Procedure","Code","Code_154","","5ea8b115-9aba-41ca-bcb6-a07c0603fbc1"
"C71325","http://www.cdisc.org","Intermittent","Code","Code_155","2023-09-29","54d721af-16d7-408b-bf6d-82917dcf9fd7"
"C83208","NCI Thesaurus","Adverse Event Pattern","Code","Code_156","","95625e6c-f4d3-43a8-af8c-cad409cb24d0"
"C49489","NCI Thesaurus","Adverse Event Outcome","Code","Code_157","","ee19efaf-3ce7-44b1-b693-6180cf4ecfeb"
"C83215","NCI Thesaurus","Adverse Event Start Date Time","Code","Code_158","","6b5f9841-1a34-4efe-b3f2-fe4fe7e5adee"
"C83201","NCI Thesaurus","Adverse Event End Date Time","Code","Code_159","","7458df11-7e6c-4920-93aa-00f7bdb35ecb"
"C41331","NCI Thesaurus","Adverse Event","Code","Code_144","","1801e810-b65e-467b-ac2e-24dadf502eaf"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_161","","41304f5f-c228-4ab6-98da-7beadf94bd83"
"C42547","http://www.cdisc.org","Pascal","Code","Code_162","2023-09-29","8ca2e76a-dfcf-4e46-9e7b-a37b572e5605"
"C49669","NCI Thesaurus","Unit of Pressure","Code","Code_163","","2f01ebeb-d443-47ed-a547-0e426ec6edea"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_164","","7aa426dc-aca8-45e3-9ce3-49569d2d868a"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_165","","1656dca6-5394-4a23-b2e0-f8e48740e12f"
"C82535","NCI Thesaurus","Test Method","Code","Code_166","","f645ff9d-ad75-4a43-a538-7385eac8db17"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_167","","1068a3d9-fd94-4f5e-972d-e9f805db8599"
"C25298","NCI Thesaurus","Systolic Blood Pressure","Code","Code_160","","8f9518ec-afe6-40d4-96d2-507dbf0e0aab"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_169","","b25e7036-3a79-44df-9f28-eba68e127a0a"
"C42547","http://www.cdisc.org","Pascal","Code","Code_170","2023-09-29","92fefdd2-f7d8-49a0-8fd7-bab546e53997"
"C49669","NCI Thesaurus","Unit of Pressure","Code","Code_171","","567a69b8-8127-45a8-9a1a-342a1c83424c"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_172","","20731383-0574-4e02-91c2-9d7bca0befdc"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_173","","0c4f32b9-09cb-4217-87b7-2066b64247d6"
"C82535","NCI Thesaurus","Test Method","Code","Code_174","","496237b6-ec5c-4ea3-bb6e-e3396a6982d2"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_175","","c4065881-f424-4721-af01-de3235a1e2e4"
"C25299","NCI Thesaurus","Diastolic Blood Pressure","Code","Code_168","","c9b1f334-31ac-4fac-b59c-cec60e5e5adc"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_177","","73b5efb9-9708-44b2-ba72-813342a9993d"
"C42537","http://www.cdisc.org","Kelvin","Code","Code_178","2023-09-29","63db6c69-43da-48de-ba3e-e04744dff637"
"C44276","NCI Thesaurus","Unit of Temperature","Code","Code_179","","efa9e5d0-2468-42d7-b477-44fbd8c7b120"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_180","","2c6d28f9-20e7-4680-8a80-cafe6048778a"
"C174446","NCI Thesaurus","Body Temperature","Code","Code_176","","6ed7cc71-a622-44fd-91e7-cbb407f544a9"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_182","","96288e38-71c0-4ce9-87a8-8f56205aa07d"
"C28252","http://www.cdisc.org","Kilogram","Code","Code_183","2023-09-29","dff5fe67-3b9c-42fa-bd03-88cf90120ac4"
"C48155","http://www.cdisc.org","Gram","Code","Code_184","2023-09-29","70321abd-6a5a-4890-99b4-81015c7767c6"
"C48531","http://www.cdisc.org","Pound","Code","Code_185","2023-09-29","b63941bc-711d-473f-bb15-92f083d92340"
"C48208","NCI Thesaurus","Unit of Weight","Code","Code_186","","fdd5ca00-3e9c-4b6d-8ed2-f369d714cdf3"
"C81328","NCI Thesaurus","Body Weight","Code","Code_181","","7e5b4376-b5d9-4a78-a4c2-bfcd2422e41b"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_188","","dfffc78d-65fd-4daf-9b0b-1d3e3a2becac"
"C49668","http://www.cdisc.org","Centimeter","Code","Code_189","2023-09-29","f5690c25-ed4d-4894-ad1e-bdb5224bc61b"
"C48500","http://www.cdisc.org","Inch","Code","Code_190","2023-09-29","ed9f2123-f749-47c8-a9eb-5ea6a7fac253"
"C28251","http://www.cdisc.org","Millimeter","Code","Code_191","2023-09-29","72d3df6c-085d-4b67-8d73-eb9c0a0fbf71"
"C41139","http://www.cdisc.org","Meter","Code","Code_192","2023-09-29","3bb93206-2f78-4c17-9cfd-820e624e052c"
"C168688","NCI Thesaurus","Unit of Height","Code","Code_193","","49d3f7d6-f3a7-42df-abda-77efdb7d5aa4"
"C164634","NCI Thesaurus","Body Height","Code","Code_187","","15a41ada-df9e-4ba6-90cb-0baab28282fa"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_195","","a8f1e2db-4448-4ddd-b8af-980fdaae790c"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_196","","400ce0ff-a717-46bc-bedb-8512b1ae943f"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code","Code_197","","d04aabb4-91af-46b5-be1e-bcaf79faafe6"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_198","","94c2a173-12ea-4419-82e3-5f13e39a6e98"
"C64433","NCI Thesaurus","Alanine Aminotransferase Measurement","Code","Code_194","","c6e695e9-e893-488c-b21e-a4fb14fe983a"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_200","","5d0cee37-2f2d-45f6-af2d-b6ce1df96f13"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_201","","31c604fa-3f69-4c5b-b9c0-6c86c80dfe91"
"C48207","NCI Thesaurus","Unit of Concentration","Code","Code_202","","7e0c4a20-4404-47fb-b2c1-99e18888aa17"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_203","","a0fb19c8-59fc-4f50-85d9-e157a1f5a445"
"C64431","NCI Thesaurus","Albumin Measurement","Code","Code_199","","284d1744-d184-44eb-8149-446d37ad5e8f"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_205","","e06b323f-8b36-469a-b3d4-23ab7dcb3259"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_206","","5896dadd-f874-4190-9f77-1c28799b9190"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code","Code_207","","2a0e7f66-4217-47b2-874d-f002745662e7"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_208","","982b5df6-cf0f-457d-952a-cdf4dd009c0d"
"C64432","NCI Thesaurus","Alkaline Phosphatase Measurement","Code","Code_204","","942c88b4-a50d-4413-ad0d-906beebff38b"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_210","","6fed0ea7-a27d-4364-b77f-15aed9e5eb1b"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_211","","6b716020-6877-4e96-a3bb-02a50fafc0a3"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code","Code_212","","422755c6-5c54-4f8a-a85d-646553248247"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_213","","dd9578e0-d71e-4489-9e10-ac08afa88262"
"C64467","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code","Code_209","","5ac8e78c-820a-4a08-8f4b-23e631aba212"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_215","","4094d9ce-e24a-4775-b4dc-8248d1df2c35"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_216","","aec198c5-bbca-4ac2-b2b4-a63e93817b09"
"C48207","NCI Thesaurus","Unit of Concentration","Code","Code_217","","1264ab5d-c32c-4f1e-8382-a7b82ed287d6"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_218","","c84d47e8-a0ce-4a32-ac8e-1e0241908f21"
"C64547","NCI Thesaurus","Creatinine Measurement","Code","Code_214","","0980885c-6428-45a0-8e8f-45c71952440c"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_220","","3cfa401f-5631-49ee-a51f-1f9d2e73e11a"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_221","","f8778c92-c265-4bd0-96a4-21743570bc3d"
"C64567","NCI Thesaurus","Molarity Unit","Code","Code_222","","66ee3c42-5d34-44ed-aa47-2d8bc05b07ef"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_223","","96131ded-1b6c-44cc-9c85-ba5ad71d0e6f"
"C64853","NCI Thesaurus","Potassium Measurement","Code","Code_219","","5198d1fc-645f-4ce0-bf80-ef935590dc94"
"C36292","NCI Thesaurus","Laboratory Test Result","Code","Code_225","","8d52ba4d-a7c8-4c28-b91d-25f2577b7340"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code","Code_226","","c0a220b4-bf5a-41fa-a779-7058a7554271"
"C64567","NCI Thesaurus","Molarity Unit","Code","Code_227","","cdfec6c0-3f34-4eda-bda1-7ab4019fdb8f"
"C70713","NCI Thesaurus","Biospecimen Type","Code","Code_228","","cb5e10b0-93f3-43e8-80fe-5150a606c3f2"
"C64809","NCI Thesaurus","Sodium Measurement","Code","Code_224","","daa68a63-9726-4ee5-9744-1b8a91cde63c"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_230","","bb19085c-7a4f-4b60-81da-22769b6034cc"
"C42547","http://www.cdisc.org","Pascal","Code","Code_231","2023-09-29","5503acc4-44b5-4e46-89e0-5ea917ca9f64"
"C49669","NCI Thesaurus","Unit of Pressure","Code","Code_232","","19d5ed10-a47a-4eae-9cb8-9fa398d6546a"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_233","","a9f62d21-e0b2-4c82-bbc5-4b8a000a8d80"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_234","","00e9b7f2-4bbd-44cb-a40b-f5e96dfa4fa5"
"C82535","NCI Thesaurus","Test Method","Code","Code_235","","7a4e8637-1a1a-4ca9-a5f9-bb02de316a75"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_236","","b3904a65-cdf1-453d-bdbb-6cea1c067465"
"C25298","NCI Thesaurus","Systolic Blood Pressure","Code","Code_229","","abff2354-ec53-4eb5-95f3-eeb76591d5a6"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_238","","c3a7fd99-c721-4333-8847-bb42ccebceef"
"C42547","http://www.cdisc.org","Pascal","Code","Code_239","2023-09-29","7a72a25b-b272-465f-8ea2-86909840d64f"
"C49669","NCI Thesaurus","Unit of Pressure","Code","Code_240","","ed36f32b-ee6c-42d3-a936-9df6880e5930"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_241","","d8cca763-bf7b-421d-8490-cfa922c84481"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_242","","86da6711-6b89-4c45-b0d6-7a5d64f49a1d"
"C82535","NCI Thesaurus","Test Method","Code","Code_243","","0267a92b-d6f8-479b-9a65-8824b0c08dfc"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_244","","1871c635-c24c-4409-99f5-717c6c62adbd"
"C25299","NCI Thesaurus","Diastolic Blood Pressure","Code","Code_237","","8f74b05d-384f-49cb-9b53-c7fab804047b"
