"text","instanceType","id","sectionTitle","uuid:ID","sectionNumber","name"
"<div><p>Not applicable</p></div>","NarrativeContent","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","01d5d348-8e59-4689-b042-0b7ec728089c","5.5.2","SECTION 5.5.2"
"<div></div>","NarrativeContent","NarrativeContent_29","Physical Activity","bbf40705-7345-4328-ab41-fc8642ced025","5.5.3","SECTION 5.5.3"
"<div></div>","NarrativeContent","NarrativeContent_30","Other Activity","c9cb4a16-53b2-41bb-b713-dabd74075bcc","5.5.4","SECTION 5.5.4"
"<div></div>","NarrativeContent","NarrativeContent_31","Screen Failures","aa72c34d-4fe0-4768-a722-c22b1e4125b6","5.6","SECTION 5.6"
"<div></div>","NarrativeContent","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","60aa9cb1-5123-4e9f-be92-1e810e8ef67b","6","SECTION 6"
"<div></div>","NarrativeContent","NarrativeContent_33","Description of Trial Intervention","9df999bc-cebe-4a30-b547-0d8712aabd1c","6.1","SECTION 6.1"
"<div></div>","NarrativeContent","NarrativeContent_34","Rationale for Trial Intervention","4c53115a-3151-473e-b01e-c3deefc0b907","6.2","SECTION 6.2"
"<div></div>","NarrativeContent","NarrativeContent_35","Dosing and Administration","bd60f669-8961-4e4d-9366-d825177edf80","6.3","SECTION 6.3"
"<div></div>","NarrativeContent","NarrativeContent_36","Trial Intervention Dose Modification","ecc1cd12-31a7-4dc4-94b0-eba4c6dbbc16","6.3.1","SECTION 6.3.1"
"<div></div>","NarrativeContent","NarrativeContent_37","Treatment of Overdose","227ff029-2329-4744-b057-ae4a7a18aa06","6.4","SECTION 6.4"
"<div></div>","NarrativeContent","NarrativeContent_38","Preparation, Handling, Storage and Accountability","0c9965d1-d1f7-4fed-b8eb-f3d94e5229c7","6.5","SECTION 6.5"
"<div></div>","NarrativeContent","NarrativeContent_39","Preparation of Trial Intervention","e48ad2c0-961d-4594-b60b-398e853942b7","6.5.1","SECTION 6.5.1"
"<div></div>","NarrativeContent","NarrativeContent_40","Handling and Storage of Trial Intervention","e085bef5-c085-4639-93fc-91afa347d5df","6.5.2","SECTION 6.5.2"
"<div></div>","NarrativeContent","NarrativeContent_41","Accountability of Trial Intervention","a61da00a-585d-453b-a818-f9f06460f252","6.5.3","SECTION 6.5.3"
"<div></div>","NarrativeContent","NarrativeContent_42","Participant Assignment, Randomisation and Blinding","c4994ba2-2312-4ba5-871b-3cc8c7767d1b","6.6","SECTION 6.6"
"<div></div>","NarrativeContent","NarrativeContent_43","Participant Assignment","d6737866-18c5-4aa0-b1b2-301101237b60","6.6.1","SECTION 6.6.1"
"<div></div>","NarrativeContent","NarrativeContent_44","Randomisation","ca2d622d-0c60-4b43-96ea-056a07abc5cb","6.6.2","SECTION 6.6.2"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","NarrativeContent_45","Blinding and Unblinding","cc32c14b-0dd3-45e4-9aa0-d3003e04fde5","6.6.3","SECTION 6.6.3"
"<div></div>","NarrativeContent","NarrativeContent_46","Trial Intervention Compliance","206f300b-fa1a-4cf2-a791-28c1e1447c7b","6.7","SECTION 6.7"
"<div></div>","NarrativeContent","NarrativeContent_47","Concomitant Therapy","e616216b-e885-4e0f-9b2e-e0a294a6b623","6.8","SECTION 6.8"
"<div></div>","NarrativeContent","NarrativeContent_48","Prohibited Concomitant Therapy","efc2f3ed-8b74-4951-bbbf-5748b43eb06a","6.8.1","SECTION 6.8.1"
"<div></div>","NarrativeContent","NarrativeContent_49","Permitted Concomitant Therapy","d20b082b-dc9f-43a5-ba2c-1c191da66f1a","6.8.2","SECTION 6.8.2"
"<div></div>","NarrativeContent","NarrativeContent_50","Rescue Therapy","feefdf7c-649f-493e-9c6a-aa2abb6eae6a","6.8.3","SECTION 6.8.3"
"<div></div>","NarrativeContent","NarrativeContent_51","Other Therapy","ba4ca6db-f6ca-46a4-9479-245cf357b8e6","6.8.4","SECTION 6.8.4"
"<div></div>","NarrativeContent","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","85f70802-6bbc-4dbf-8310-ad4f062016f7","7","SECTION 7"
"<div></div>","NarrativeContent","NarrativeContent_53","Discontinuation of Trial Intervention","99b29d8a-218a-4f8a-b589-6547e7552448","7.1","SECTION 7.1"
"<div></div>","NarrativeContent","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","746d0063-0d62-4826-9324-67a254c7cdc2","7.1.1","SECTION 7.1.1"
"<div></div>","NarrativeContent","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","14293ea9-fc62-4149-88bf-56ebbc82af84","7.1.2","SECTION 7.1.2"
"<div></div>","NarrativeContent","NarrativeContent_56","Rechallenge","33819579-8e1d-4405-a930-21e815a8f4fa","7.1.3","SECTION 7.1.3"
"<div></div>","NarrativeContent","NarrativeContent_57","Participant Withdrawal from the Trial","9617d9f9-bdfc-4506-9580-5fdde16d46f7","7.2","SECTION 7.2"
"<div></div>","NarrativeContent","NarrativeContent_58","Lost to Follow-Up","9eb6b053-8824-481e-893a-c58d9c99431b","7.3","SECTION 7.3"
"<div></div>","NarrativeContent","NarrativeContent_59","Trial Stopping Rules","9e1ce983-324c-47c9-9ae8-65a4da1a1512","7.4","SECTION 7.4"
"<div></div>","NarrativeContent","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","44efebab-1116-416e-b9fe-e034653043aa","8","SECTION 8"
"<div></div>","NarrativeContent","NarrativeContent_61","Screening/Baseline Assessments and Procedures","dc73ace8-0781-416f-8f0d-3f3c92d35e38","8.1","SECTION 8.1"
"<div></div>","NarrativeContent","NarrativeContent_62","Efficacy Assessments and Procedures","0ae8b2ef-6e74-4710-8068-77be6899906b","8.2","SECTION 8.2"
"<div></div>","NarrativeContent","NarrativeContent_63","Safety Assessments and Procedures","acb2f1e0-fe46-4f9f-8291-ab82ee3e83da","8.3","SECTION 8.3"
"<div></div>","NarrativeContent","NarrativeContent_64","Physical Examination","f41ac958-7358-40f0-895a-353d6f9b9d4a","8.3.1","SECTION 8.3.1"
"<div></div>","NarrativeContent","NarrativeContent_65","Vital Signs","b5825b94-c598-44fe-918d-b7c123663454","8.3.2","SECTION 8.3.2"
"<div></div>","NarrativeContent","NarrativeContent_66","Electrocardiograms","aa738f0e-3a5a-445a-b327-d3209308adc6","8.3.3","SECTION 8.3.3"
"<div></div>","NarrativeContent","NarrativeContent_67","Clinical Laboratory Assessments","131a5ce4-61f0-472e-91b8-0a20965c46e4","8.3.4","SECTION 8.3.4"
"<div></div>","NarrativeContent","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","262fcd82-a228-408e-bcf4-44693b62c1c9","8.3.5","SECTION 8.3.5"
"<div></div>","NarrativeContent","NarrativeContent_69","Adverse Events and Serious Adverse Events","c181740d-328a-4091-ac89-77f1bec4f0b6","8.4","SECTION 8.4"
"<div></div>","NarrativeContent","NarrativeContent_70","Definitions of AE and SAE","60e07ad7-c74b-449f-aba2-9ec018b37c2d","8.4.1","SECTION 8.4.1"
"<div></div>","NarrativeContent","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","ac93085a-6d8b-47d8-aff9-2d87ed33f3fa","8.4.2","SECTION 8.4.2"
"<div></div>","NarrativeContent","NarrativeContent_72","Identifying AEs and SAEs","994d6e79-af19-477e-ae05-4bc907d81183","8.4.3","SECTION 8.4.3"
"<div></div>","NarrativeContent","NarrativeContent_73","Recording of AEs and SAEs","6c75ca07-30ef-46e5-a5f2-2dee5659216f","8.4.4","SECTION 8.4.4"
"<div></div>","NarrativeContent","NarrativeContent_74","Follow-up of AEs and SAEs","04bc1673-a48c-43d9-931c-65628bf2d410","8.4.5","SECTION 8.4.5"
"<div></div>","NarrativeContent","NarrativeContent_75","Reporting of SAEs","98ffe886-2d69-43c7-8146-35c30d470223","8.4.6","SECTION 8.4.6"
"<div></div>","NarrativeContent","NarrativeContent_76","Regulatory Reporting Requirements for SAEs","4ef5ef88-265d-4c4a-ac7f-92ff5c388ebe","8.4.7","SECTION 8.4.7"
"<div></div>","NarrativeContent","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","9d00b656-1732-4326-bb5a-6e9f6c6f6be8","8.4.8","SECTION 8.4.8"
"<div></div>","NarrativeContent","NarrativeContent_78","Adverse Events of Special Interest","2081edeb-bf41-4ab2-ac54-268b587f69b8","8.4.9","SECTION 8.4.9"
"<div></div>","NarrativeContent","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","070a8136-e6f3-4612-86e6-1400f3af6ab4","8.4.10","SECTION 8.4.10"
"<div></div>","NarrativeContent","NarrativeContent_80","Pregnancy and Postpartum Information","fa591a0c-56f3-4756-8079-3d49b8f8b0d8","8.5","SECTION 8.5"
"<div></div>","NarrativeContent","NarrativeContent_81","Participants Who Become Pregnant During the Trial","c094fc47-acdc-4043-95af-ebf12f28ffdf","8.5.1","SECTION 8.5.1"
"<div></div>","NarrativeContent","NarrativeContent_82","Participants Whose Partners Become Pregnant","9db743ef-a96d-468d-9c36-f79168ddfb8b","8.5.2","SECTION 8.5.2"
"<div></div>","NarrativeContent","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","a8adff78-1324-4f2e-9ea6-41929cfb58f9","8.6","SECTION 8.6"
"<div></div>","NarrativeContent","NarrativeContent_84","Definition of Medical Device Product Complaints","5b1b2c6a-04be-48ec-9d9e-28daa5bd90b5","8.6.1","SECTION 8.6.1"
"<div></div>","NarrativeContent","NarrativeContent_85","Recording of Medical Device Product Complaints","4181a10f-7841-4334-8e59-a70cbc5ce688","8.6.2","SECTION 8.6.2"
"<div></div>","NarrativeContent","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","83c02cbf-517e-4c1b-9905-3d042d1eedb5","8.6.3","SECTION 8.6.3"
"<div></div>","NarrativeContent","NarrativeContent_87","Follow-Up of Medical Device Product Complaints","2fc42407-cbd2-461b-ab4f-5c6ec824a707","8.6.4","SECTION 8.6.4"
"<div></div>","NarrativeContent","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","7c5a5fe5-65d1-45c0-a2d0-cbc0c5187a4f","8.6.5","SECTION 8.6.5"
"<div></div>","NarrativeContent","NarrativeContent_89","Pharmacokinetics","30abc96e-0695-45a1-8b74-d26970755408","8.7","SECTION 8.7"
"<div></div>","NarrativeContent","NarrativeContent_90","Genetics","9a869928-2bb7-4aa4-990a-0779a515eaca","8.8","SECTION 8.8"
"<div></div>","NarrativeContent","NarrativeContent_91","Biomarkers","9b0a6b58-1786-4f7d-9c84-50880d458ba4","8.9","SECTION 8.9"
"<div></div>","NarrativeContent","NarrativeContent_92","Immunogenicity Assessments","8a19645f-70fc-4650-9c08-6306132ccad6","8.1","SECTION 8.1"
"<div></div>","NarrativeContent","NarrativeContent_93","Medical Resource Utilisation and Health Economics","0dd68551-51d6-4bac-8506-cfd3b9fa262e","8.1.1","SECTION 8.1.1"
"<div></div>","NarrativeContent","NarrativeContent_94","STATISTICAL CONSIDERATIONS","9597aba0-fe7c-4b8d-ae30-537383e28597","9","SECTION 9"
"<div></div>","NarrativeContent","NarrativeContent_95","Analysis Sets","ff757570-b7e7-44a7-8a1c-c0e00560e7bc","9.1","SECTION 9.1"
"<div></div>","NarrativeContent","NarrativeContent_96","Analyses Supporting Primary Objective(s)","7e5fd808-e093-4653-81c5-6186f2d7429e","9.2","SECTION 9.2"
"<div></div>","NarrativeContent","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","af376fbd-a5d7-4077-8271-9dc1a4a487e5","9.2.1","SECTION 9.2.1"
"<div></div>","NarrativeContent","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","11d9539f-efe5-4e69-9d4c-1d2c97fbfe70","9.2.2","SECTION 9.2.2"
"<div></div>","NarrativeContent","NarrativeContent_99","Handling of Missing Data","a778a792-59e9-4397-8df0-3a067eca4366","9.2.3","SECTION 9.2.3"
"<div></div>","NarrativeContent","NarrativeContent_100","Sensitivity Analysis","e91e9bca-3059-49e1-b10a-d79cb2ca8512","9.2.4","SECTION 9.2.4"
"<div></div>","NarrativeContent","NarrativeContent_101","Supplementary Analysis","d6e88b2f-25f1-408e-9b11-36e34948edfa","9.2.5","SECTION 9.2.5"
"<div></div>","NarrativeContent","NarrativeContent_102","Analysis Supporting Secondary Objective(s)","9caec70f-c555-41f7-bef2-6f569429ba2d","9.3","SECTION 9.3"
"<div></div>","NarrativeContent","NarrativeContent_103","Analysis of Exploratory Objective(s)","c42f2f82-40c2-4342-b7a7-e6470d6ecbcd","9.4","SECTION 9.4"
"<div></div>","NarrativeContent","NarrativeContent_104","Safety Analyses","1ede941a-811e-42e0-ac26-1f8147892efd","9.5","SECTION 9.5"
"<div></div>","NarrativeContent","NarrativeContent_105","Other Analyses","deb65453-5e9b-4e39-a2f9-58d0d0f132fc","9.6","SECTION 9.6"
"<div></div>","NarrativeContent","NarrativeContent_106","Interim Analyses","926c27d2-c6e6-45bf-a690-1a0d600df51d","9.7","SECTION 9.7"
"<div></div>","NarrativeContent","NarrativeContent_107","Sample Size Determination","b0ecc832-0e1f-4f32-9e14-0b36b510ff75","9.8","SECTION 9.8"
"<div></div>","NarrativeContent","NarrativeContent_108","Protocol Deviations","45536af2-9e49-4d6d-8f64-11173820ff0f","9.9","SECTION 9.9"
"<div></div>","NarrativeContent","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","8d7c3b11-02e3-4c78-a3f8-f43a00427b85","10","SECTION 10"
"<div></div>","NarrativeContent","NarrativeContent_110","Regulatory and Ethical Considerations","925d2d70-9fc7-4307-80f5-648244bc58df","10.1","SECTION 10.1"
"<div></div>","NarrativeContent","NarrativeContent_111","Committees","65ca1eff-2447-43ab-a2e5-7eaf3ec09e18","10.2","SECTION 10.2"
"<div></div>","NarrativeContent","NarrativeContent_112","Informed Consent Process","2dab09ed-1209-45e7-850e-133014196c25","10.3","SECTION 10.3"
"<div></div>","NarrativeContent","NarrativeContent_113","Data Protection","afd20af4-f33f-4110-bd88-54b6eae3fde9","10.4","SECTION 10.4"
"<div></div>","NarrativeContent","NarrativeContent_114","Early Site Closure or Trial Termination","d1b3cd6e-2fee-482b-b0ef-dd8768d7ba16","10.5","SECTION 10.5"
"<div></div>","NarrativeContent","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","f9370e91-0eda-4adb-a19a-ee023fdb85ba","11","SECTION 11"
"<div></div>","NarrativeContent","NarrativeContent_116","Quality Tolerance Limits","1e2965db-5771-4600-a00c-800180ae91aa","11.1","SECTION 11.1"
"<div></div>","NarrativeContent","NarrativeContent_117","Data Quality Assurance","aee4d947-b315-496a-bdeb-8a260b86e142","11.2","SECTION 11.2"
"<div></div>","NarrativeContent","NarrativeContent_118","Source Data","a6b91350-9da6-48d6-aca9-6130ebe30860","11.3","SECTION 11.3"
"<div></div>","NarrativeContent","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","887da595-2e6d-4ae7-af4c-a3d5c40b3171","12","SECTION 12"
"<div></div>","NarrativeContent","NarrativeContent_120","Further Details and Clarifications on the AE Definition","7fac9a0f-f409-4442-8c3b-594c2c86ff0e","12.1","SECTION 12.1"
"<div></div>","NarrativeContent","NarrativeContent_121","Further Details and Clarifications on the SAE Definition","6af6da13-afa2-4acb-9b4a-c44048cfbf36","12.2","SECTION 12.2"
"<div></div>","NarrativeContent","NarrativeContent_122","Severity","eebbd89d-768c-4c27-be15-aca9cf126dc5","12.3","SECTION 12.3"
"<div></div>","NarrativeContent","NarrativeContent_123","Causality","db863918-c44d-4299-b648-4d92b51f7999","12.4","SECTION 12.4"
"<div></div>","NarrativeContent","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","1e758010-fe7d-46a5-b9d1-1cd65024396b","13","SECTION 13"
"<div></div>","NarrativeContent","NarrativeContent_125","Contraception and Pregnancy Testing","341ef20b-f114-4e4f-82dd-a60e499ef3fe","13.1","SECTION 13.1"
"<div></div>","NarrativeContent","NarrativeContent_126","Definitions Related to Childbearing Potential","f5101506-3108-491a-beac-19207348986c","13.1.1","SECTION 13.1.1"
"<div></div>","NarrativeContent","NarrativeContent_127","Contraception","53f61c62-f52f-4b17-8d8e-c4b9fc185e3a","13.1.2","SECTION 13.1.2"
"<div></div>","NarrativeContent","NarrativeContent_128","Pregnancy Testing","b1f2380b-434f-4b53-b7bc-c79f8ad531b9","13.1.3","SECTION 13.1.3"
"<div></div>","NarrativeContent","NarrativeContent_129","Clinical Laboratory Tests","c0ef4cff-69a4-49a1-b534-23e734fdbd7a","13.2","SECTION 13.2"
"<div></div>","NarrativeContent","NarrativeContent_130","Country/Region-Specific Differences","20790c38-c243-4dae-919b-f85cc5f93401","13.3","SECTION 13.3"
"<div></div>","NarrativeContent","NarrativeContent_131","Prior Protocol Amendments","27ec662e-b079-4ccf-a8da-d12d288317e6","13.4","SECTION 13.4"
"<div></div>","NarrativeContent","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","25b6662e-8811-4e2e-a231-3dea83171377","14","SECTION 14"
"<div></div>","NarrativeContent","NarrativeContent_133","APPENDIX: REFERENCES","42fadab2-fe1a-49e1-b34c-b852d2c718f0","15","SECTION 15"
