"sectionTitle","id","uuid:ID","name","sectionNumber","text"
"Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_54","1ece062a-8414-411b-953c-0359322ef7a5","SECTION 7.1.2","7.1.2","<div></div>"
"Rechallenge","NarrativeContent_55","20a996c0-e74d-4a9e-8d39-2253af066fee","SECTION 7.1.3","7.1.3","<div></div>"
"Participant Withdrawal from the Trial","NarrativeContent_56","af2742b0-71e9-494e-9c2e-67fdc2103e2b","SECTION 7.2","7.2","<div></div>"
"Lost to Follow-Up","NarrativeContent_57","5eb41e90-e90f-4f57-8449-6577581efbb5","SECTION 7.3","7.3","<div></div>"
"Trial Stopping Rules","NarrativeContent_58","feabf7c3-d39b-4fd2-a962-2b2fcf441981","SECTION 7.4","7.4","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_59","29e43568-7884-44c3-90a1-39ba747cbb67","SECTION 8","8","<div></div>"
"Screening/Baseline Assessments and Procedures","NarrativeContent_60","7bebe85d-d2e2-42bd-8c3d-bf1cf9b336ff","SECTION 8.1","8.1","<div></div>"
"Efficacy Assessments and Procedures","NarrativeContent_61","6164e501-0c5e-41f4-a722-13be71be670d","SECTION 8.2","8.2","<div></div>"
"Safety Assessments and Procedures","NarrativeContent_62","be15f0c4-e2a4-45c6-829f-b31647ab4d95","SECTION 8.3","8.3","<div></div>"
"Physical Examination","NarrativeContent_63","c244778c-81a0-4887-b220-68afdee77f21","SECTION 8.3.1","8.3.1","<div></div>"
"Vital Signs","NarrativeContent_64","5a353415-81f8-488d-a1b8-bcd40dc85b04","SECTION 8.3.2","8.3.2","<div></div>"
"Electrocardiograms","NarrativeContent_65","5e044e31-89db-4048-b1a8-7a682959ad2c","SECTION 8.3.3","8.3.3","<div></div>"
"Clinical Laboratory Assessments","NarrativeContent_66","82786664-0905-47b6-b9ad-e7ac6275cca5","SECTION 8.3.4","8.3.4","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_67","bfd3622d-97bc-4305-a1b8-18957c4ab999","SECTION 8.3.5","8.3.5","<div></div>"
"Adverse Events and Serious Adverse Events","NarrativeContent_68","07a5d7cc-2dbd-4ad5-ae84-d23a1dedbf5e","SECTION 8.4","8.4","<div></div>"
"Definitions of AE and SAE","NarrativeContent_69","32159034-eb8a-466d-bc63-cbd72c969ee9","SECTION 8.4.1","8.4.1","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_70","81270bb6-8176-42f2-a53d-8a2d8b0717d7","SECTION 8.4.2","8.4.2","<div></div>"
"Identifying AEs and SAEs","NarrativeContent_71","3b936c05-3ed1-4e89-9f6b-d6e30e8371ea","SECTION 8.4.3","8.4.3","<div></div>"
"Recording of AEs and SAEs","NarrativeContent_72","f9c9b794-aba1-480c-a969-7e99b7cb94a1","SECTION 8.4.4","8.4.4","<div></div>"
"Follow-up of AEs and SAEs","NarrativeContent_73","64b4908f-b971-4abe-915f-f41426f94d6f","SECTION 8.4.5","8.4.5","<div></div>"
"Reporting of SAEs","NarrativeContent_74","5092395b-390e-424c-972f-98bf68d1a3c8","SECTION 8.4.6","8.4.6","<div></div>"
"Regulatory Reporting Requirements for SAEs","NarrativeContent_75","51699b78-fa84-46b1-b06f-e0c547168076","SECTION 8.4.7","8.4.7","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_76","639abba9-16d6-4d26-9781-929f760624f6","SECTION 8.4.8","8.4.8","<div></div>"
"Adverse Events of Special Interest","NarrativeContent_77","e0590afe-25c6-4f90-bb24-00ded5f43749","SECTION 8.4.9","8.4.9","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_78","fef4d633-19dd-4339-83ad-cd19fc6060fc","SECTION 8.4.10","8.4.10","<div></div>"
"Pregnancy and Postpartum Information","NarrativeContent_79","aae05e90-8c18-4b86-b622-5c5cef941b99","SECTION 8.5","8.5","<div></div>"
"Participants Who Become Pregnant During the Trial","NarrativeContent_80","a748fac3-9bd3-44d5-bb1f-6496eb3b3bc4","SECTION 8.5.1","8.5.1","<div></div>"
"Participants Whose Partners Become Pregnant","NarrativeContent_81","ece44ee2-2e26-47aa-834a-4a201367025a","SECTION 8.5.2","8.5.2","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_82","3fb7d6fb-fb9e-490e-824b-d6230e699a78","SECTION 8.6","8.6","<div></div>"
"Definition of Medical Device Product Complaints","NarrativeContent_83","b383509c-6eea-48c6-a8b3-84ced5bf2e49","SECTION 8.6.1","8.6.1","<div></div>"
"Recording of Medical Device Product Complaints","NarrativeContent_84","2cf180aa-fc26-4973-975a-d96eb3063aaf","SECTION 8.6.2","8.6.2","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_85","cb765269-3798-4aec-af22-d7d7e8f89bee","SECTION 8.6.3","8.6.3","<div></div>"
"Follow-Up of Medical Device Product Complaints","NarrativeContent_86","e947de7a-76b8-4b67-a2c2-4b4d37090f99","SECTION 8.6.4","8.6.4","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_87","84f0d0d2-5911-4e32-97d9-1974fbf1d245","SECTION 8.6.5","8.6.5","<div></div>"
"Pharmacokinetics","NarrativeContent_88","ac3454f3-4590-4918-b03a-3c1f3e2dfdd8","SECTION 8.7","8.7","<div></div>"
"Genetics","NarrativeContent_89","43dcacb4-0683-4110-a23c-10c60e2b698c","SECTION 8.8","8.8","<div></div>"
"Biomarkers","NarrativeContent_90","86143ac5-abd5-4cca-9dd5-65b962123ca8","SECTION 8.9","8.9","<div></div>"
"Immunogenicity Assessments","NarrativeContent_91","d9f33ee9-249c-4dcb-8a13-13de4dccd577","SECTION 8.1","8.1","<div></div>"
"Medical Resource Utilisation and Health Economics","NarrativeContent_92","0b53efde-c4d2-4637-8846-92b5e0880e9d","SECTION 8.1.1","8.1.1","<div></div>"
"STATISTICAL CONSIDERATIONS","NarrativeContent_93","4ecf5e34-acec-4281-a418-05db2adb3251","SECTION 9","9","<div></div>"
"Analysis Sets","NarrativeContent_94","8996cdfc-34fb-4138-a047-8219cd08c3b3","SECTION 9.1","9.1","<div></div>"
"Analyses Supporting Primary Objective(s)","NarrativeContent_95","3a6597a3-26d1-466f-b58e-baab402a7c33","SECTION 9.2","9.2","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_96","72e60b21-eea6-4b89-9e07-b1379343e9ba","SECTION 9.2.1","9.2.1","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_97","f2b66a26-8696-429b-88c8-cb217a9a6b1b","SECTION 9.2.2","9.2.2","<div></div>"
"Handling of Missing Data","NarrativeContent_98","a5a6b3b1-1d75-4b5d-a15e-77a5c2a74e6e","SECTION 9.2.3","9.2.3","<div></div>"
"Sensitivity Analysis","NarrativeContent_99","89978193-90f0-44a2-96b8-de07adcd885a","SECTION 9.2.4","9.2.4","<div></div>"
"Supplementary Analysis","NarrativeContent_100","f4e0bcbc-a949-43e4-8fb9-b637e5dd5ace","SECTION 9.2.5","9.2.5","<div></div>"
"Analysis Supporting Secondary Objective(s)","NarrativeContent_101","a715c295-d6c0-420b-9b22-b8f8b439706d","SECTION 9.3","9.3","<div></div>"
"Analysis of Exploratory Objective(s)","NarrativeContent_102","77d3f857-1cbf-4094-af0c-abd4fdbc0a23","SECTION 9.4","9.4","<div></div>"
"Safety Analyses","NarrativeContent_103","6954c691-ae7d-45ac-a7ba-8b86ca40a517","SECTION 9.5","9.5","<div></div>"
"Other Analyses","NarrativeContent_104","5acfbca3-72a1-49df-8810-ca2197d9339f","SECTION 9.6","9.6","<div></div>"
"Interim Analyses","NarrativeContent_105","b515f6a5-b907-47c0-aac2-2df619d75b57","SECTION 9.7","9.7","<div></div>"
"Sample Size Determination","NarrativeContent_106","8db7de78-c47f-42dd-8ff7-8b535357dba5","SECTION 9.8","9.8","<div></div>"
"Protocol Deviations","NarrativeContent_107","eb3cdb6b-2cc8-415c-b2a6-c13cb4101167","SECTION 9.9","9.9","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_108","5eee1ce6-1eb9-45aa-9647-f11a681e470e","SECTION 10","10","<div></div>"
"Regulatory and Ethical Considerations","NarrativeContent_109","6c3b54ec-4edd-40e7-9adc-7a770ef042cf","SECTION 10.1","10.1","<div></div>"
"Committees","NarrativeContent_110","a3b0d6d2-1b08-459b-aa03-e6f9255004d7","SECTION 10.2","10.2","<div></div>"
"Informed Consent Process","NarrativeContent_111","a8045b12-2415-40b8-94b9-57bfba0e1a49","SECTION 10.3","10.3","<div></div>"
"Data Protection","NarrativeContent_112","f3ae1f83-1e31-4687-a71d-bdfd32a95a28","SECTION 10.4","10.4","<div></div>"
"Early Site Closure or Trial Termination","NarrativeContent_113","6714002f-38fd-4dbc-b49a-be162faea1a4","SECTION 10.5","10.5","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_114","8721da41-2ab5-4b65-a2c2-d1597b333ed5","SECTION 11","11","<div></div>"
"Quality Tolerance Limits","NarrativeContent_115","bdd851a6-e8ff-4325-b35b-433017c36827","SECTION 11.1","11.1","<div></div>"
"Data Quality Assurance","NarrativeContent_116","a7bb5138-b02d-41ce-8392-90db84256c70","SECTION 11.2","11.2","<div></div>"
"Source Data","NarrativeContent_117","d0bd8d78-cc73-4bc9-8c86-16df5e91bfbe","SECTION 11.3","11.3","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_118","11a5f06f-824b-48f7-8735-b5c6d10601a8","SECTION 12","12","<div></div>"
"Further Details and Clarifications on the AE Definition","NarrativeContent_119","8a972039-8ce4-484c-bb76-62b3a8ebfc69","SECTION 12.1","12.1","<div></div>"
"Further Details and Clarifications on the SAE Definition","NarrativeContent_120","886b7bd3-d5c4-4b77-8711-3a1833ab19f4","SECTION 12.2","12.2","<div></div>"
"Severity","NarrativeContent_121","8d017c37-0da8-4fe1-98ba-d6d5eedef021","SECTION 12.3","12.3","<div></div>"
"Causality","NarrativeContent_122","896ddf12-eabe-4001-9628-65149e92796d","SECTION 12.4","12.4","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_123","2cbff5c6-fc57-40f2-ae2f-f9d8339586ac","SECTION 13","13","<div></div>"
"Contraception and Pregnancy Testing","NarrativeContent_124","fa85bca3-c481-4b35-84ee-893fd40bdd65","SECTION 13.1","13.1","<div></div>"
"Definitions Related to Childbearing Potential","NarrativeContent_125","a8c7a3f4-8c0c-4c37-bded-fb78de587e18","SECTION 13.1.1","13.1.1","<div></div>"
"Contraception","NarrativeContent_126","0e0d0ce6-79a4-43a9-aebd-d981f2d3c3c4","SECTION 13.1.2","13.1.2","<div></div>"
"Pregnancy Testing","NarrativeContent_127","de1e544d-3e00-47ae-8c6d-0c4e9706d3b5","SECTION 13.1.3","13.1.3","<div></div>"
"Clinical Laboratory Tests","NarrativeContent_128","e79f44eb-e585-4d97-abad-e99fd76260c0","SECTION 13.2","13.2","<div></div>"
"Country/Region-Specific Differences","NarrativeContent_129","3c59f0ff-5fb1-42d7-ad4b-0c953dba1df2","SECTION 13.3","13.3","<div></div>"
"Prior Protocol Amendments","NarrativeContent_130","6686e9ba-e06b-4544-b148-c2b5c32f7efc","SECTION 13.4","13.4","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","NarrativeContent_131","9a8a6ec5-bfc2-4c9b-8e05-3b1d55508d02","SECTION 14","14","<div></div>"
"APPENDIX: REFERENCES","NarrativeContent_132","bfe18ab1-2308-40d2-8310-5a0aae3fc5e4","SECTION 15","15","<div></div>"
