"id","uuid:ID","code","decode","codeSystemVersion","codeSystem"
"Code_73","695b06a8-2f4a-453a-9ccd-b716ca8b0cad","C16576","Female","2023-09-29","http://www.cdisc.org"
"Code_74","8f269687-ee10-4b34-a3f4-5b45aed8abfc","C17998","Unknown","2023-09-29","http://www.cdisc.org"
"Code_75","abed8482-bf77-47b5-859c-7c57979a06b5","C28421","Sex","","NCI Thesaurus"
"Code_71","87a93260-7f43-4ebc-ad59-1e53f1e6b446","C28421","Sex","","NCI Thesaurus"
"Code_77","8a47682a-55c9-4153-8dce-2b3bf0abb987","C17998","Unknown","2023-09-29","http://www.cdisc.org"
"Code_78","3e475ad7-1a4b-479d-9735-d3ebf617c174","C17049","Race","","NCI Thesaurus"
"Code_76","1fd0305a-ebdb-4d86-8bb3-9af62491df18","C17049","Race","","NCI Thesaurus"
"Code_80","8bc1efec-1238-4b98-adbf-d25a651e4676","C173522","Vital Signs Result","","NCI Thesaurus"
"Code_81","7ad5774c-04ee-4de4-8226-da5d71c29120","C28252","Kilogram","2023-09-29","http://www.cdisc.org"
"Code_82","4872785c-4b69-4344-9f8c-4f9f835c94b9","C48155","Gram","2023-09-29","http://www.cdisc.org"
"Code_83","44be7fd4-0762-4601-a239-997ba7a7a1c2","C48531","Pound","2023-09-29","http://www.cdisc.org"
"Code_84","99b81f33-549e-455c-8f2f-6acf53d88141","C48208","Unit of Weight","","NCI Thesaurus"
"Code_79","37928fc4-9023-4d4f-82b4-84685636a56f","C81328","Body Weight","","NCI Thesaurus"
"Code_31","08af1e65-f7c3-4c58-9d48-d593a7ae6c99","C174267","Active Comparator Arm","2023-09-29","http://www.cdisc.org"
"Code_32","24a47eb1-7bb6-4bf7-9b33-dfbe5210c9b2","C188866","Data Generated Within Study","2023-09-29","http://www.cdisc.org"
"Code_33","e305b051-24c7-42b6-9146-09715c69f540","C174268","Placebo Comparator Arm","2023-09-29","http://www.cdisc.org"
"Code_34","2df1dff3-0dae-4fc5-a6e9-d69438c00bf7","C188866","Data Generated Within Study","2023-09-29","http://www.cdisc.org"
"Code_41","82af755e-504f-493d-9a8c-460a0f53a1f0","C49659","Open Label Study","2023-09-29","http://www.cdisc.org"
"Code_35","abedd047-0215-4926-80fa-70297e7d8a65","C48262","Trial Screening","2023-09-29","http://www.cdisc.org"
"Code_36","d5afeae3-4001-4241-8b21-7791baef0349","C125938","Baseline Epoch","2023-09-29","http://www.cdisc.org"
"Code_37","8edba30e-0765-4917-a69d-67edc3998c89","C101526","Treatment Epoch","2023-09-29","http://www.cdisc.org"
"Code_38","c4a37287-a7be-4d6a-8976-9dced48daa62","C99158","Clinical Study Follow-up","2023-09-29","http://www.cdisc.org"
"Code_85","520a302e-42e0-453a-a998-0626df03ce53","12345","Indication1","January 31, 2018","SNOMED"
"Code_88","7eccb1da-5e66-406b-be87-39b1479d145c","345678","Indication2","January 31, 2018","SNOMED"
"Code_86","de175bb4-d3ed-4ae7-8e6f-73133ad10e70","X","Y","None set","ICD-10"
"Code_87","d9902bf0-bd54-4002-aa44-ca5f1bd7b819","A","B","January 31, 2018","SNOMED"
"Code_89","3e53f0e2-71b4-4f89-a317-aa0b1e942d2c","DD","CC","None set","ICD-10"
"Code_90","5440fb2e-0ff7-416b-93b1-a743b9fdd0cd","A","B","January 31, 2018","SNOMED"
"Code_95","1e44c27e-e5f7-4fbb-a8cb-21bc44d80ede","C85826","Trial Primary Objective","2023-09-29","http://www.cdisc.org"
"Code_94","1b41e4c3-7d2a-458f-9bb8-fbd1b3cfbdd6","C94496","Primary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_97","5473120e-4705-4540-ac14-b39ffb8bc937","C85827","Trial Secondary Objective","2023-09-29","http://www.cdisc.org"
"Code_96","b5f0876a-8ffa-476b-b59e-c15193f280b3","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_98","e623de64-550f-4944-a29b-be631abc3914","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_99","4f7fd674-1f35-4b97-8e71-2993dd863495","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_100","5957dee8-009a-418d-9361-dfa74b03eab9","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_101","060d54b8-ff80-44cb-b893-c9d1908657b6","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_102","5d735a88-d512-461b-9a52-1e5c97a87ce7","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_103","831716a7-12ad-41ae-b355-9856a7208a8e","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_104","ef5d1a2c-4241-4067-b5e3-b73205c89e8c","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_105","b40eeb67-5a68-4f45-980b-f49ab5db31ae","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_106","2082b4f7-761c-4d72-b999-104c0b36f634","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_107","cf38ee40-a53a-4774-829b-3c1feab1b4a1","C139173","Secondary Endpoint","2023-09-29","http://www.cdisc.org"
"Code_91","8ab563fe-a04b-4e1f-a1e0-4bdf1c3467f8","C49636","Both","2023-09-29","http://www.cdisc.org"
"Code_92","f2b87f0b-44bf-458d-b59e-add693a9439e","C20197","Male","2023-09-29","http://www.cdisc.org"
"Code_93","4256b445-0896-4504-87e8-8ea703e9a2f7","C16576","Female","2023-09-29","http://www.cdisc.org"
"Code_48","d1f6133c-3a18-403d-ad49-c822721527e0","C201264","Before","2023-09-29","http://www.cdisc.org"
"Code_50","3c5290a7-c0b0-407a-9d1b-616148fc3575","C201265","Start to Start","2023-09-29","http://www.cdisc.org"
"Code_53","428628c6-9810-4854-9960-6d1e15e9592b","C201264","Before","2023-09-29","http://www.cdisc.org"
"Code_55","fd596ed0-131c-4e4f-8a84-d592643e8e77","C201265","Start to Start","2023-09-29","http://www.cdisc.org"
"Code_56","d45a75fa-4178-4558-8251-6acbe5ad816f","C201264","Fixed Reference","2023-09-29","http://www.cdisc.org"
"Code_60","d58df54c-021a-4fdf-b8e0-4d80ab2d3a64","C201265","Start to Start","2023-09-29","http://www.cdisc.org"
"Code_62","68b0246d-8bf1-4174-9d2f-c71a87d82f97","C201264","After","2023-09-29","http://www.cdisc.org"
"Code_65","ec73ef61-867b-4938-9873-7808e6be50b0","C201265","Start to Start","2023-09-29","http://www.cdisc.org"
"Code_67","c5cb920f-0fad-4a61-892a-03a300abefca","C201264","After","2023-09-29","http://www.cdisc.org"
"Code_70","473742dd-6c53-4ae0-bd51-50304dff1ce1","C201265","Start to Start","2023-09-29","http://www.cdisc.org"
"Code_5","df57d8be-2362-4ea6-a155-eb859dc2afa8","C85255","Draft","2023-09-29","http://www.cdisc.org"
"Code_8","a184a3e2-be0b-4145-8879-8cf3e2e9b264","C99903x1","Protocol Effective Date","2023-09-29","http://www.cdisc.org"
"Code_9","835e06d7-02d8-4157-8e71-ccd92710d02f","C68846","Global","2023-09-29","http://www.cdisc.org"
