"reference","uuid:ID","name","instanceType","id","label","synonyms"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","f099e87d-c6cc-436c-82e6-9ffe0b55df7b","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","e564ff4d-5924-45de-9cb1-c3655b504e50","Adverse Event Prespecified","BiomedicalConcept","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","1deabcbd-b7f6-4529-a06c-88b0ecd8ffa3","Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","00dc70b6-2fa0-4c6e-9895-28dc852ccd4f","Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","ee54d196-2b38-40f8-b67a-3445c15d1ac1","Temperature","BiomedicalConcept","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","bae99318-439e-431d-b50a-02209f6f2c37","Weight","BiomedicalConcept","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","acabe460-0310-49d2-b168-177cafb810a0","Height","BiomedicalConcept","BiomedicalConcept_6","Height","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","39859662-f254-43ac-9ef6-2380289987a1","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","3649d92d-e957-4439-b8dd-93f7af1fdb7f","Albumin Presence in Urine","BiomedicalConcept","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","4228bb45-1289-4e2d-8104-7dc43d812848","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","37d02264-293c-417b-b18e-589054cb43a3","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","2f66d442-8bfa-4ea7-9a7d-fae77f6ec376","Creatinine Concentration in Urine","BiomedicalConcept","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","543f4f9c-fc8a-487f-8a04-ea39b5a84366","Potassium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","490c8e3a-3d38-456c-a050-b194561324f7","Sodium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","b9f5e0fa-2266-40fb-850e-2c1a0bb25e76","Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","3196e8ec-674e-43ff-a207-a159a0822497","Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","ebac41a1-b5b7-47b8-b178-7faba212a385","Heart Rate","BiomedicalConcept","BiomedicalConcept_16","Heart Rate","['Heart Rate']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","d6612103-7c9d-4027-8ca2-2512912e44aa","Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","e3dc85ac-7642-42ca-a63f-854764cd40c7","Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","e37e4c1b-9c90-4a10-a6f7-7b9eeb08868e","Heart Rate","BiomedicalConcept","BiomedicalConcept_19","Heart Rate","['Heart Rate']"
