"decode","uuid:ID","instanceType","id","codeSystemVersion","code","codeSystem"
"Clinic","2d1ad56a-9144-494d-8ca9-a85479ee9afa","Code","Code_99","2023-12-15","C51282","http://www.cdisc.org"
"In Person","77164354-0789-4a45-bee7-7f8a71eb903f","Code","Code_100","2023-12-15","C175574","http://www.cdisc.org"
"Visit","ed1b291d-cb9b-4b5e-a09d-fc9d6190b5be","Code","Code_101","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","d109bd96-e779-4347-b678-97e7b58cbd68","Code","Code_102","2023-12-15","C51282","http://www.cdisc.org"
"In Person","89394032-01f9-46a4-844a-24429eafbad0","Code","Code_103","2023-12-15","C175574","http://www.cdisc.org"
"Telephone Call","229c9d30-2993-414f-b924-a3192a8e6a77","Code","Code_104","2023-12-15","C171537","http://www.cdisc.org"
"Visit","a735eac7-d7a3-451a-b0de-010fb235d7f4","Code","Code_105","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","e9570627-b94e-43dd-95cb-52d0a02d5b3e","Code","Code_106","2023-12-15","C51282","http://www.cdisc.org"
"In Person","966afcde-64e8-4fd2-9a64-d59529b0e986","Code","Code_107","2023-12-15","C175574","http://www.cdisc.org"
"Telephone Call","9f2792f4-bc2b-42bc-8efa-5f36388764af","Code","Code_108","2023-12-15","C171537","http://www.cdisc.org"
"Visit","fc3193d1-dc60-425d-8086-146dd58f553d","Code","Code_109","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","101397ce-8141-4d67-a5d1-3b5c7cdceccc","Code","Code_110","2023-12-15","C51282","http://www.cdisc.org"
"In Person","1de061fd-66fe-476f-8ae4-437585f32f38","Code","Code_111","2023-12-15","C175574","http://www.cdisc.org"
"Telephone Call","35a77a7f-7fc1-4b2a-bf4d-0c846e0ee2cc","Code","Code_112","2023-12-15","C171537","http://www.cdisc.org"
"Visit","dd2b43b3-6990-4258-b819-48d773084ff8","Code","Code_113","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","c9a7f133-b052-45e9-a999-b7936db91f2d","Code","Code_114","2023-12-15","C51282","http://www.cdisc.org"
"In Person","db3656f2-359a-4858-a76a-a6b0772bcf8b","Code","Code_115","2023-12-15","C175574","http://www.cdisc.org"
"Telephone Call","39fb437a-0190-43f8-a34d-75ffc683ca7f","Code","Code_116","2023-12-15","C171537","http://www.cdisc.org"
"Visit","2a833dda-f575-40a0-b9a8-c08c78c56836","Code","Code_117","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","93e979fe-a2c4-4ee5-a977-bcd89d6a70fc","Code","Code_118","2023-12-15","C51282","http://www.cdisc.org"
"In Person","a4b58615-340a-4342-879d-1e672e282c71","Code","Code_119","2023-12-15","C175574","http://www.cdisc.org"
"Visit","9a5a2e91-05c5-48c9-be74-f6e636ca1848","Code","Code_120","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","70ddc850-30f7-4136-983a-f9bee144e719","Code","Code_121","2023-12-15","C51282","http://www.cdisc.org"
"In Person","a308ea8b-bb86-4389-a03c-927c52b6f299","Code","Code_122","2023-12-15","C175574","http://www.cdisc.org"
"CT of head without contrast","a11c6565-4402-496f-8162-b1ced0444d10","Code","Code_80","January 31, 2018","383371000119108","SNOMED"
"Subject Supine","f7cf3431-5f75-49d0-80ee-926f302eba2d","Code","Code_81","12","123","SPONSOR"
"Subject Standing","d1ee7ad2-568b-40d1-85fc-0fc007285f28","Code","Code_82","12","124","SPONSOR"
"Dictionary-derived Term","4e08f702-1ea5-4471-be9b-cf3020d28a1a","Code","Code_429","2023-12-15","C82977","http://www.cdisc.org"
"Reported Event Term","95ac2c7b-ac6a-4819-a0d9-907d061e2909","Code","Code_430","2023-12-15","C82571","http://www.cdisc.org"
"Observation Start Date Time","62ab980c-51b2-47c4-b3a4-3b7419e299f5","Code","Code_431","2023-12-15","C82517","http://www.cdisc.org"
"Informed Consent","0df2575f-d535-4af5-8113-206d29feac3d","Code","Code_432","2023-12-15","C16735","http://www.cdisc.org"
"Male","05ca74e2-5db6-407a-8315-44bd0d956306","Code","Code_433","2023-12-15","C20197","http://www.cdisc.org"
"Female","b13f0483-0f1a-42ef-af8c-4b40526939ef","Code","Code_434","2023-12-15","C16576","http://www.cdisc.org"
"Sex","a0b9bd33-5fd5-4c9c-acb4-cd8b9426a36a","Code","Code_435","2023-12-15","C28421","http://www.cdisc.org"
"Sex","89a6fd74-e529-4fb3-a771-54ea133ced20","Code","Code_436","2023-12-15","C28421","http://www.cdisc.org"
"Race","a7183eaf-3717-4139-b4b6-89da737e9d3d","Code","Code_437","2023-12-15","C17049","http://www.cdisc.org"
"Race","024a9d94-b849-41c7-aea9-e45d10002dde","Code","Code_438","2023-12-15","C17049","http://www.cdisc.org"
"TEMP","2e2e4389-d32f-4825-99d2-1ad5cc6c96ad","Code","Code_439","2023-12-15","C174446","http://www.cdisc.org"
"Clinical Test Result","c6a0909e-67b7-492f-ace6-f73c56fcbf14","Code","Code_440","2023-12-15","C77140","http://www.cdisc.org"
"Degree Celsius","280ef9ee-9e54-4069-8c96-06ce294b9e6e","Code","Code_441","2023-12-15","C42559","http://www.cdisc.org"
"Degree Fahrenheit","6a086f9f-f2b3-4638-9aab-ce2f23d880eb","Code","Code_442","2023-12-15","C44277","http://www.cdisc.org"
"Kelvin","b70f88da-ea10-4c86-a4b1-7da28ae2cb32","Code","Code_443","2023-12-15","C42537","http://www.cdisc.org"
"Unit of Temperature","ac3bff9a-71a2-44cc-ab6e-14e61d91be15","Code","Code_444","2023-12-15","C44276","http://www.cdisc.org"
"Axilla","57282b89-dd52-4a08-903b-3cd573cbdd01","Code","Code_445","2023-12-15","C12674","http://www.cdisc.org"
"Ear","aefd5150-8a30-4a75-a9e8-66f1cd460e24","Code","Code_446","2023-12-15","C12394","http://www.cdisc.org"
"Forehead","c11590e6-3c74-4a81-9bca-90e476e5946b","Code","Code_447","2023-12-15","C89803","http://www.cdisc.org"
"Oral Cavity","d5480c4e-5a6a-410b-b25b-5a79eef6ff32","Code","Code_448","2023-12-15","C12421","http://www.cdisc.org"
"Rectum","24016340-6229-4fcc-9c0e-bd88cc2ca361","Code","Code_449","2023-12-15","C12390","http://www.cdisc.org"
"Anatomic Site","f11a2be0-cb7f-416e-aeb2-039a57a1876a","Code","Code_450","2023-12-15","C13717","http://www.cdisc.org"
"TEMP","7e7a290c-d3f1-4986-a1f3-8aa9b3476db7","Code","Code_451","2023-12-15","C174446","http://www.cdisc.org"
"WEIGHT","c26c2cac-5b20-4de5-b19a-6ae6b340eca6","Code","Code_452","2023-12-15","C25208","http://www.cdisc.org"
"Clinical Test Result","901327b6-5638-4f36-babd-ac66930adf64","Code","Code_453","2023-12-15","C77140","http://www.cdisc.org"
"Pound","09624ef0-3bac-4af9-894d-6586cc926631","Code","Code_454","2023-12-15","C48531","http://www.cdisc.org"
"Gram","1200f24d-68a8-4b3f-b8ac-25a3cdb3ef29","Code","Code_455","2023-12-15","C48155","http://www.cdisc.org"
"Kilogram","a4d3c1aa-d7b1-49fa-a9b5-ba937a38fba0","Code","Code_456","2023-12-15","C28252","http://www.cdisc.org"
"Unit of Weight","8da30e7c-6e29-4dd1-8ab5-40887130d73d","Code","Code_457","2023-12-15","C48208","http://www.cdisc.org"
"WEIGHT","2e191123-1c1d-41ba-9b76-df2935ea71bb","Code","Code_458","2023-12-15","C25208","http://www.cdisc.org"
"HEIGHT","390c0292-6b2b-4aea-b0f0-5467b8270459","Code","Code_459","2023-12-15","C25347","http://www.cdisc.org"
"Clinical Test Result","f7e84c96-1e3e-4ddf-a2c3-e088ceea20c1","Code","Code_460","2023-12-15","C77140","http://www.cdisc.org"
"Centimeter","53e69121-5b6f-4cea-9732-19237516a476","Code","Code_461","2023-12-15","C49668","http://www.cdisc.org"
"Inch","45006cd1-995b-4eb4-ac97-505567c3beec","Code","Code_462","2023-12-15","C48500","http://www.cdisc.org"
"Meter","d444038a-6e3d-4ee9-8dca-c391445b4d23","Code","Code_463","2023-12-15","C41139","http://www.cdisc.org"
"Unit of Height","b6a727b0-8299-4b80-9602-775f429409af","Code","Code_464","2023-12-15","C168688","http://www.cdisc.org"
"HEIGHT","efad9c30-4279-48a1-89d2-1c4f819b97fe","Code","Code_465","2023-12-15","C25347","http://www.cdisc.org"
"ALT","7fc4f4af-9586-4fe3-900d-0c9010908981","Code","Code_466","2023-12-15","C64433","http://www.cdisc.org"
"Laboratory Test Result","3bff5df5-aef3-430d-9612-d511a64da276","Code","Code_467","2023-12-15","C36292","http://www.cdisc.org"
"Unit per Liter","e0e2b1ab-6b4d-4a99-9592-2dc39a594870","Code","Code_468","2023-12-15","C67456","http://www.cdisc.org"
"Microkatal per Liter","3cba245c-3a89-443a-9ffb-c8545f802b62","Code","Code_469","2023-12-15","C67397","http://www.cdisc.org"
"International Unit per Liter","aaf6ded2-cf26-4710-8057-d174490a54f4","Code","Code_470","2023-12-15","C67376","http://www.cdisc.org"
"Nanokatal per Liter","5883aae9-441c-428a-b357-3b3427a79bf8","Code","Code_471","2023-12-15","C70510","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","224f8916-dc2e-47fb-b722-29e1769ec1d8","Code","Code_472","2023-12-15","C67365","http://www.cdisc.org"
"Biospecimen Type","6aa4e937-5a5b-4881-9ce6-bf2ea32a3732","Code","Code_473","2023-12-15","C70713","http://www.cdisc.org"
"No","b2ef0f3e-6b3e-4d2a-b717-28224f0463e4","Code","Code_474","2023-12-15","C49487","http://www.cdisc.org"
"Yes","35d7d199-a39a-4f3c-8bc7-a19979515ae8","Code","Code_475","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","c81a9c43-106b-41d0-9a5e-253cebf0a3d0","Code","Code_476","2023-12-15","C83309","http://www.cdisc.org"
"ALT","47517c97-10a8-469d-8d25-0065a7751cc5","Code","Code_477","2023-12-15","C64433","http://www.cdisc.org"
"ALB","4479bf69-8457-4ee2-8263-de1bcfd68f23","Code","Code_478","2023-12-15","C64431","http://www.cdisc.org"
"Laboratory Test Result","78baea16-a752-4557-a0ca-04758d1368a5","Code","Code_479","2023-12-15","C36292","http://www.cdisc.org"
"Biospecimen Type","6a9885d7-50a2-41fb-a77c-f373e8d8e966","Code","Code_480","2023-12-15","C70713","http://www.cdisc.org"
"No","4e36b45e-2a0b-4e58-ad87-e8e8e78003c0","Code","Code_481","2023-12-15","C49487","http://www.cdisc.org"
"Yes","46243de8-c153-4b43-a363-3f827a06ec92","Code","Code_482","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","e25f92de-cdaf-42c5-9290-71eca78630fb","Code","Code_483","2023-12-15","C83309","http://www.cdisc.org"
"ALB","03c7ed13-e2d3-4399-9b94-eb2dc42c8e0a","Code","Code_484","2023-12-15","C64431","http://www.cdisc.org"
"ALP","aca61492-38ef-455c-8700-269e062326b0","Code","Code_485","2023-12-15","C64432","http://www.cdisc.org"
"Laboratory Test Result","90d8641d-9ec8-4165-a271-447634fbc92a","Code","Code_486","2023-12-15","C36292","http://www.cdisc.org"
"Unit per Liter","1d2ca69c-2aad-44c1-98f4-bd104c7a2a02","Code","Code_487","2023-12-15","C67456","http://www.cdisc.org"
"Microkatal per Liter","7fecd743-a695-4e16-9142-3567b5c8f4cc","Code","Code_488","2023-12-15","C67397","http://www.cdisc.org"
"International Unit per Liter","a3010837-929c-40c1-a8d0-c7cc4fbd754d","Code","Code_489","2023-12-15","C67376","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","5f03c309-7878-4e3c-88b0-68d699e41846","Code","Code_490","2023-12-15","C67365","http://www.cdisc.org"
"Biospecimen Type","5c152375-77fd-4630-8829-a2fad7eaadb8","Code","Code_491","2023-12-15","C70713","http://www.cdisc.org"
"No","1c0ef0ea-b956-4a13-a1bf-32d25a8f75b0","Code","Code_492","2023-12-15","C49487","http://www.cdisc.org"
"Yes","1c1ffc79-ca3b-4310-8c1d-668ea95fd17e","Code","Code_493","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","29e61b3d-db32-4abe-8415-349c403f7ac0","Code","Code_494","2023-12-15","C83309","http://www.cdisc.org"
"ALP","f0683550-ae9a-4a6b-94b4-3fc62aff5da3","Code","Code_495","2023-12-15","C64432","http://www.cdisc.org"
"AST","4fd614e3-c862-494c-8693-883cc536139d","Code","Code_496","2023-12-15","C64467","http://www.cdisc.org"
"Laboratory Test Result","906e6d6c-cbd6-4452-a256-532dc1119a37","Code","Code_497","2023-12-15","C36292","http://www.cdisc.org"
"Unit per Liter","ce6d9e39-f114-4a6f-95c4-9e7a91cc4f6d","Code","Code_498","2023-12-15","C67456","http://www.cdisc.org"
"Microkatal per Liter","9c52bc75-1f31-4290-a96c-42a35dd92f35","Code","Code_499","2023-12-15","C67397","http://www.cdisc.org"
"International Unit per Liter","98be4dc1-ee8f-446a-81fa-40279dc3a821","Code","Code_500","2023-12-15","C67376","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","eb135eb4-a4eb-45d3-986c-99d7e6e21b5c","Code","Code_501","2023-12-15","C67365","http://www.cdisc.org"
"Biospecimen Type","67ff9075-aa5d-4b14-9168-5dc32222bce7","Code","Code_502","2023-12-15","C70713","http://www.cdisc.org"
"No","6688cc02-0086-4295-8c73-a15f9f6dc9bb","Code","Code_503","2023-12-15","C49487","http://www.cdisc.org"
"Yes","f22a01ee-ae8a-465d-8aa4-428be1024ae2","Code","Code_504","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","0582bfb0-149d-4d8e-bd3d-3e965c03683e","Code","Code_505","2023-12-15","C83309","http://www.cdisc.org"
"AST","20775a1f-0fbe-4df0-a9a9-5c6b77c7cf58","Code","Code_506","2023-12-15","C64467","http://www.cdisc.org"
"CREAT","a3610911-76f3-412a-b0c3-7776c909eb69","Code","Code_507","2023-12-15","C64547","http://www.cdisc.org"
"Laboratory Test Result","27b27d1e-2287-4d63-aa75-7cd459737b1d","Code","Code_508","2023-12-15","C36292","http://www.cdisc.org"
"Milligram per Deciliter","af5e7803-a3cd-40aa-ab3a-156504adf125","Code","Code_509","2023-12-15","C67015","http://www.cdisc.org"
"Microgram per Milliliter","771923a9-1b41-4074-a82a-f825d486aa82","Code","Code_510","2023-12-15","C64572","http://www.cdisc.org"
"Millimole per Liter","2f2d9918-ea82-4223-83ae-4e2e31ae11a2","Code","Code_511","2023-12-15","C64387","http://www.cdisc.org"
"Micromole per Liter","bcb11046-a41e-4851-944a-09e486d56e7b","Code","Code_512","2023-12-15","C48508","http://www.cdisc.org"
"Unit of Concentration","9d1354e4-1d10-4b6c-9de1-221d11588219","Code","Code_513","2023-12-15","C48207","http://www.cdisc.org"
"Biospecimen Type","35e076a5-0d0d-4817-a15e-b0affee04d84","Code","Code_514","2023-12-15","C70713","http://www.cdisc.org"
"No","d47cfe09-912c-49cd-a059-11b2f4fd818c","Code","Code_515","2023-12-15","C49487","http://www.cdisc.org"
"Yes","eabb1a45-e548-4747-944c-aa2baddadfb7","Code","Code_516","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","21ae1cc4-aece-41b3-b042-d032d9321b07","Code","Code_517","2023-12-15","C83309","http://www.cdisc.org"
"CREAT","b453f13d-0db9-45bb-afc2-6fb4f10f2285","Code","Code_518","2023-12-15","C64547","http://www.cdisc.org"
"K","2e272658-a87c-499f-b8ec-bf5e0f9ffd5a","Code","Code_519","2023-12-15","C64853","http://www.cdisc.org"
"Laboratory Test Result","665b0b54-eebe-4e6d-8afe-68945fb1a91d","Code","Code_520","2023-12-15","C36292","http://www.cdisc.org"
"Milliequivalent per Liter","3c7b8a45-321b-4081-af87-be970d3a9aca","Code","Code_521","2023-12-15","C67474","http://www.cdisc.org"
"Milliequivalent per Deciliter","40acd95a-ba69-4c53-93c4-c23b3db308f8","Code","Code_522","2023-12-15","C67473","http://www.cdisc.org"
"Millimole per Liter","d0ec6218-9458-4856-a683-5a96c98598c4","Code","Code_523","2023-12-15","C64387","http://www.cdisc.org"
"Molarity Unit","ba5f200a-0f72-41c9-9c1f-e95e0f362196","Code","Code_524","2023-12-15","C64567","http://www.cdisc.org"
"Biospecimen Type","0b2bdd11-3996-426d-b4eb-63fa2bb3027f","Code","Code_525","2023-12-15","C70713","http://www.cdisc.org"
"No","141092c2-d586-4c44-a4ea-fb4db96b6962","Code","Code_526","2023-12-15","C49487","http://www.cdisc.org"
"Yes","66a09e11-4ba8-41a5-bc2d-ad81f56b797a","Code","Code_527","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","006fda52-55a3-43ff-9720-6054dcc6d946","Code","Code_528","2023-12-15","C83309","http://www.cdisc.org"
"K","855f4da6-e20c-4c4c-a957-55ff29a037aa","Code","Code_529","2023-12-15","C64853","http://www.cdisc.org"
"SODIUM","b9fba754-f2af-4d19-976a-28acf9337579","Code","Code_530","2023-12-15","C64809","http://www.cdisc.org"
"Laboratory Test Result","88864854-742a-4a87-8d2a-64663bddfb13","Code","Code_531","2023-12-15","C36292","http://www.cdisc.org"
"Milliequivalent per Liter","e330d914-6987-4526-87fb-d589208efd71","Code","Code_532","2023-12-15","C67474","http://www.cdisc.org"
"Milliequivalent per Deciliter","b08fa45f-8233-4865-a132-4ac7874558d5","Code","Code_533","2023-12-15","C67473","http://www.cdisc.org"
"Millimole per Liter","ec27c277-e06f-4038-81b7-576f9c243d49","Code","Code_534","2023-12-15","C64387","http://www.cdisc.org"
"Molarity Unit","237bb109-a1c7-4d15-923c-aed8c0140f40","Code","Code_535","2023-12-15","C64567","http://www.cdisc.org"
"Biospecimen Type","33cfca86-b004-49a9-923b-f0fc82938e6a","Code","Code_536","2023-12-15","C70713","http://www.cdisc.org"
"No","68cc073f-cc58-4199-9fed-03457736d8af","Code","Code_537","2023-12-15","C49487","http://www.cdisc.org"
"Yes","58809202-ce61-4373-a905-53319a452dbc","Code","Code_538","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","b1e9aced-e286-4f87-b356-cbd971887799","Code","Code_539","2023-12-15","C83309","http://www.cdisc.org"
"SODIUM","a7c7dbd2-1e9d-4bf3-9da0-a349e6c809ed","Code","Code_540","2023-12-15","C64809","http://www.cdisc.org"
"HBA1C","f763508c-de20-48ed-b6e1-522c811f1a46","Code","Code_541","2023-12-15","C64849","http://www.cdisc.org"
"Laboratory Test Result","93594a60-26c7-4fc7-b9f0-9ec4c0cd2b71","Code","Code_542","2023-12-15","C36292","http://www.cdisc.org"
"Gram per Deciliter","b91c34cd-ebcc-40a4-9bce-73e92e62641b","Code","Code_543","2023-12-15","C64783","http://www.cdisc.org"
"LBORRESU","d1885953-3c43-4e02-a756-b9fb11af2167","Code","Code_544","2023-12-15","No Concept Code","http://www.cdisc.org"
"Biospecimen Type","33c7baf1-8e29-4332-9a3c-6b0189f4cb13","Code","Code_545","2023-12-15","C70713","http://www.cdisc.org"
"No","f4f9da41-1b8d-4ebe-bc8e-a7f5ca7f4b5e","Code","Code_546","2023-12-15","C49487","http://www.cdisc.org"
"Yes","f3b552ea-c575-4767-8849-7c3cd65c2525","Code","Code_547","2023-12-15","C49488","http://www.cdisc.org"
"Laboratory Test Fasting Status","2aeac328-8348-49ff-8fc9-56de6e1a3ad6","Code","Code_548","2023-12-15","C83309","http://www.cdisc.org"
"HBA1C","d0b3b9c9-730e-4e4b-9105-58321f005d12","Code","Code_549","2023-12-15","C64849","http://www.cdisc.org"
"Adverse Event Verbatim Description","b43dce2a-6ea5-492b-9b9d-cdec1114e15c","Code","Code_145","2023-12-15","C78541","http://www.cdisc.org"
"Adverse Event Dictionary Derived Term","7cc695f3-e714-434c-b6cc-753e362f888b","Code","Code_146","2023-12-15","C83344","http://www.cdisc.org"
"No","894e0e41-a335-46e1-8462-19eb0faf4f83","Code","Code_147","2023-12-15","C49487","http://www.cdisc.org"
"Yes","da0f0a5f-35cc-4b19-8eec-6dc80b9967b5","Code","Code_148","2023-12-15","C49488","http://www.cdisc.org"
"Adverse Event Pre-specified","a0bf4565-77ba-4f29-a6a8-4e0c1e6704dd","Code","Code_149","2023-12-15","C87840","http://www.cdisc.org"
"Adverse Event Location","ab2b714a-0de9-40ee-a35e-8252bdb9d74d","Code","Code_150","2023-12-15","C83205","http://www.cdisc.org"
"Severity of Adverse Event","35ef13af-9f9b-4642-b2b8-9acfa3ad55eb","Code","Code_151","2023-12-15","C53253","http://www.cdisc.org"
"No","e25ff518-3047-41c6-b050-405300309f16","Code","Code_152","2023-12-15","C49487","http://www.cdisc.org"
"Yes","0a66f002-916e-4b89-b31c-7901fdda8894","Code","Code_153","2023-12-15","C49488","http://www.cdisc.org"
"Seriousness of Adverse Event","437480e1-95e3-4058-8a84-bd8ebf6cc072","Code","Code_154","2023-12-15","C53252","http://www.cdisc.org"
"Adverse Event Action Taken with Study Treatment","7b611196-ce16-441f-a7fa-a1a8be94554e","Code","Code_155","2023-12-15","C83013","http://www.cdisc.org"
"Other Actions taken in Response to Adverse Event","034a3605-9f4c-46b9-a9e9-62b85cd5bec8","Code","Code_156","2023-12-15","C83109","http://www.cdisc.org"
"Adverse Event Attribution to Product or Procedure","3d9bd2c0-ef5e-4b6e-8dfb-caf226f2294f","Code","Code_157","2023-12-15","C41358","http://www.cdisc.org"
"Adverse Event Relationship to Non Study Treatment","f4f5b0fd-c336-4c93-ac3f-c32f7728aac3","Code","Code_158","2023-12-15","C83210","http://www.cdisc.org"
"Adverse Event Pattern","d709a758-f716-41d2-a775-8ea708bfac3d","Code","Code_159","2023-12-15","C83208","http://www.cdisc.org"
"Adverse Event Outcome","a218c7ab-98ef-4838-836f-8ffa81764d52","Code","Code_160","2023-12-15","C49489","http://www.cdisc.org"
"No","16294b3a-3c3c-4bc1-9db6-9b10bd635641","Code","Code_161","2023-12-15","C49487","http://www.cdisc.org"
"Yes","365476b0-2154-47a0-b4a9-3fb90dcff12c","Code","Code_162","2023-12-15","C49488","http://www.cdisc.org"
"Adverse Event Involves Cancer","1dc09c0c-eae4-443e-86e6-a0a7ac3aa087","Code","Code_163","2023-12-15","C83211","http://www.cdisc.org"
"No","d21e95a1-c663-43fa-88be-1a492ace9055","Code","Code_164","2023-12-15","C49487","http://www.cdisc.org"
"Yes","015ada6a-ee84-438b-b9a5-3f16e9439091","Code","Code_165","2023-12-15","C49488","http://www.cdisc.org"
"Adverse Event Seriousness Due to Congenital Anomaly","977d8cff-1f69-45f5-91ae-8bdd5a156746","Code","Code_166","2023-12-15","C83117","http://www.cdisc.org"
"No","7fffdff2-ea8f-4f6c-8eee-2abd70e5d864","Code","Code_167","2023-12-15","C49487","http://www.cdisc.org"
