"bcSynonyms","name","id","bcReference","label","uuid:ID"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","aff842ba-d68b-424e-8e98-b9039e297ac0"
"['Temperature']","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","285cd40f-d8ae-4352-92ce-d63aa764e141"
"['Weight']","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","34c52b82-28fb-4276-96cd-50dfd959672e"
"['Height']","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","35197b8d-1254-4e1d-a454-b371b8241762"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","927d775c-bd36-49d8-814d-8c76e2ab7b14"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","80ac829f-af2e-403e-9cff-6e772794e3ae"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","5ef09483-4cdf-40cb-98ff-4e2df4fac7c3"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","8bd0f2ff-18cb-40d3-a3d8-bbda3210df31"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","4ef44c36-efa2-4e78-8f3a-74b9394df857"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","34a8c322-81fb-4387-8392-ea9674a998ca"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","371c3b84-dafc-4627-a044-7217bbb69f22"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","6b8fcb31-1ed7-4269-ac9a-709c4e40fcd1"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","04814f87-0c59-4a32-a52d-db3a47d14b86"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","2787f779-e40c-43aa-8401-d0e2e1f7fb7d"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","09384d30-e1f6-41fc-869d-9737d8df0e2c"
