"bcPropertyDatatype","name","id","bcPropertyEnabled","label","uuid:ID","bcPropertyRequired"
"string","Biospecimen Type","BiomedicalConceptProperty_116","True","Biospecimen Type","29c97c01-cb57-4874-9eb5-12eb3cdb0937","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_117","True","Laboratory Test Result","01a1cb74-a98d-4b40-b8a4-1c80aa6f6a11","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","True","Laboratory Test Fasting Status","925c5cab-1dd3-48b1-a32c-f945f062ee55","True"
"string","Molarity Unit","BiomedicalConceptProperty_119","True","Molarity Unit","21cf5195-8bba-4cd5-aecf-ce95ea5c90b0","True"
"string","Biospecimen Type","BiomedicalConceptProperty_120","True","Biospecimen Type","57d969fd-4bee-4d49-a330-4bb68bb4acb2","True"
"string","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","True","Adverse Event Verbatim Description","6fa209e0-ae2c-44ff-968e-3fdf2c4034bf","True"
"string","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","True","Adverse Event Dictionary Derived Term","a5dc5008-2f4f-4610-bd0d-0b06fcca9f55","True"
"string","Adverse Event Category","BiomedicalConceptProperty_3","True","Adverse Event Category","1213c680-6704-4bd2-9737-5645c8025f05","True"
"string","Adverse Event Subcategory","BiomedicalConceptProperty_4","True","Adverse Event Subcategory","f9b4b7fa-fcc9-4fa1-93e9-3164e8fe8a6e","True"
"boolean","Adverse Event Pre-specified","BiomedicalConceptProperty_5","True","Adverse Event Pre-specified","a79d01c8-7905-43b3-bdec-d111fdcb4b8b","True"
"string","Severity of Adverse Event","BiomedicalConceptProperty_6","True","Severity of Adverse Event","66f4fdb1-aa19-497f-a0e3-d6f0354fb142","True"
"string","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","True","Adverse Event Toxicity Grade","752c99ca-9a67-40a1-83d0-9065f95cedff","True"
"boolean","Seriousness of Adverse Event","BiomedicalConceptProperty_8","True","Seriousness of Adverse Event","5302c738-5638-4d2f-bbb3-a11d6fdd3671","True"
"string","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","True","Adverse Event Action Taken with Study Treatment","9a5fa42b-c3b9-45b3-830a-d66e4238afcd","True"
"string","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","True","Adverse Event Attribution to Product or Procedure","c98277df-8613-479a-803f-f638c3a16c6d","True"
"string","Adverse Event Pattern","BiomedicalConceptProperty_11","True","Adverse Event Pattern","b64bfc33-485c-4696-8fd4-044003960497","True"
"string","Adverse Event Outcome","BiomedicalConceptProperty_12","True","Adverse Event Outcome","00978397-59c0-4011-97f9-40e94cd00c0f","True"
"datetime","Adverse Event Start Date Time","BiomedicalConceptProperty_13","True","Adverse Event Start Date Time","c73f42a8-7ee2-4c08-abac-3e2a4d625678","True"
"datetime","Adverse Event End Date Time","BiomedicalConceptProperty_14","True","Adverse Event End Date Time","a87536b5-7ace-486d-99f6-242e2d4364a6","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_15","True","Vital Signs Result","b9ccdd54-83c4-402d-900c-ac2eaf576f43","True"
"string","Unit of Pressure","BiomedicalConceptProperty_16","True","Unit of Pressure","315cc591-bfcd-47a1-af27-3d1b233cfa4d","True"
"string","Vital Signs Location","BiomedicalConceptProperty_17","True","Vital Signs Location","1b76b0ca-4d8b-4edb-be4c-e14909cf69b7","True"
"string","Vital Signs Laterality","BiomedicalConceptProperty_18","True","Vital Signs Laterality","18d22022-c881-4fe3-8b2e-361f0d3356a5","True"
"string","Test Method","BiomedicalConceptProperty_19","True","Test Method","9166a10e-7c4f-4832-9f9e-a1d34fc60770","True"
"string","Vital Signs Position","BiomedicalConceptProperty_20","True","Vital Signs Position","ec4985a6-becc-4300-a44e-918a1969fc2d","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_21","True","Vital Signs Result","71655916-cbda-4d32-9610-27de3ba6cbf0","True"
"string","Unit of Pressure","BiomedicalConceptProperty_22","True","Unit of Pressure","a7f11d03-1851-4845-b21d-0de341c7fba0","True"
"string","Vital Signs Location","BiomedicalConceptProperty_23","True","Vital Signs Location","cc4696cd-850d-423f-95b5-377a70aefca0","True"
"string","Vital Signs Laterality","BiomedicalConceptProperty_24","True","Vital Signs Laterality","d0b28765-5e04-4b9f-83eb-984ca3018537","True"
"string","Test Method","BiomedicalConceptProperty_25","True","Test Method","a0f82eef-3c10-49dd-a8fe-2d196ded54da","True"
"string","Vital Signs Position","BiomedicalConceptProperty_26","True","Vital Signs Position","284c168a-8d35-4ff1-850b-02412b8eff08","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_27","True","Vital Signs Result","7e008efb-c793-4b6a-8fe1-973d3c34b27b","True"
"string","Unit of Temperature","BiomedicalConceptProperty_28","True","Unit of Temperature","24d7330d-7ac1-43fa-844a-d919abb296b7","True"
"string","Vital Signs Location","BiomedicalConceptProperty_29","True","Vital Signs Location","845904b2-1989-48fe-b569-31f97e9ec18e","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_30","True","Vital Signs Result","7463e0d9-ed68-4c2b-b4c2-b4c41b0f0b0c","True"
"string","Unit of Weight","BiomedicalConceptProperty_31","True","Unit of Weight","c71cecf2-b93d-44b1-b558-2c2c0aa34eb7","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_32","True","Vital Signs Result","7ada2bdc-7ddd-4d3d-887c-f81b8f4ecec4","True"
"string","Unit of Height","BiomedicalConceptProperty_33","True","Unit of Height","31df48b4-d21c-40e5-846c-329a33867faa","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_34","True","Laboratory Test Result","d895de89-29c6-4682-baba-c1fe37a38d79","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_35","True","Laboratory Test Fasting Status","b3d35072-0b7c-4cfa-be4e-c0a3b4c114d9","True"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","True","Unit of Catalytic Activity Concentration","6c8c6412-93ac-44cb-8d78-7cff92b4938b","True"
"string","Biospecimen Type","BiomedicalConceptProperty_37","True","Biospecimen Type","2c5e4ba9-fe61-44bd-a78b-a093248d2246","True"
"string","Laboratory Test Result","BiomedicalConceptProperty_38","True","Laboratory Test Result","7aad366c-1a9e-4134-b39c-bfba28fa2502","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_39","True","Laboratory Test Fasting Status","1a6d4dcd-3825-4e4f-98b1-3ff96e78a174","True"
"string","Unit of Concentration","BiomedicalConceptProperty_40","True","Unit of Concentration","3a8b2c73-415b-4f86-87a8-0769b2ed38c1","True"
"string","Biospecimen Type","BiomedicalConceptProperty_41","True","Biospecimen Type","4ca82d82-3d8a-4836-a3cc-a43797682b17","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_42","True","Laboratory Test Result","337f416a-266c-4cee-8502-f70bb353fa4f","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_43","True","Laboratory Test Fasting Status","a70531c6-ac42-496e-a2de-66a44668269b","True"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","True","Unit of Catalytic Activity Concentration","e75f58b1-bb82-4e52-9afd-349e40f0f44d","True"
"string","Biospecimen Type","BiomedicalConceptProperty_45","True","Biospecimen Type","dc5eb401-39ed-458f-826b-7236830b3e51","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_46","True","Laboratory Test Result","55a6dd54-511e-4098-ae5f-c06984cbad6b","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_47","True","Laboratory Test Fasting Status","687ce733-334e-4706-8e9c-a6892651c6a8","True"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","True","Unit of Catalytic Activity Concentration","d7fec3be-7071-46cf-8390-8d0f8f1617ca","True"
"string","Biospecimen Type","BiomedicalConceptProperty_49","True","Biospecimen Type","f7818495-afcf-4683-b3a0-ea983de63b4a","True"
"string","Laboratory Test Result","BiomedicalConceptProperty_50","True","Laboratory Test Result","ee35c54b-a4a9-484c-af79-30cd1331ddd9","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_51","True","Laboratory Test Fasting Status","4a5685d4-46d5-4726-9ab5-9e09266d129a","True"
"string","Unit of Concentration","BiomedicalConceptProperty_52","True","Unit of Concentration","ccf204e2-7cdc-4c43-94b2-fe46355e5afb","True"
"string","Biospecimen Type","BiomedicalConceptProperty_53","True","Biospecimen Type","cee984a2-b31c-4cd8-8acd-ea0d75dd0fd1","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_54","True","Laboratory Test Result","810f3218-dc36-4961-9a59-73351eb7f96e","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_55","True","Laboratory Test Fasting Status","705d96fc-88fd-4d73-915f-dc1afb990527","True"
"string","Molarity Unit","BiomedicalConceptProperty_56","True","Molarity Unit","6a62c69f-8a72-43e2-af8f-5837d6f5230a","True"
"string","Biospecimen Type","BiomedicalConceptProperty_57","True","Biospecimen Type","d348029a-7d0d-4768-b2cc-f698573b4e81","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_58","True","Laboratory Test Result","a37276d0-a6dd-4a52-bf94-5f4bb6cbfd9a","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_59","True","Laboratory Test Fasting Status","69ea53cf-22d7-4c2d-bdfa-1ff2d9a8188f","True"
"string","Molarity Unit","BiomedicalConceptProperty_60","True","Molarity Unit","5e17a098-7c72-4ee5-b9ae-3b53631d21b0","True"
"string","Biospecimen Type","BiomedicalConceptProperty_61","True","Biospecimen Type","f4e496e9-18ab-400c-aaf7-4741fbc673b9","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_62","True","Vital Signs Result","d0db59ac-846e-43c3-b534-824e4b6e868e","True"
"string","Unit of Pressure","BiomedicalConceptProperty_63","True","Unit of Pressure","b9763c42-47fb-4f30-8a8e-4a03d5269a20","True"
"string","Vital Signs Location","BiomedicalConceptProperty_64","True","Vital Signs Location","87f6a906-8cdc-4421-8c0e-39ef184a5056","True"
"string","Vital Signs Laterality","BiomedicalConceptProperty_65","True","Vital Signs Laterality","47e51261-4958-4b02-9d19-920bea5a9e32","True"
"string","Test Method","BiomedicalConceptProperty_66","True","Test Method","bdd4c159-b0ad-4d1b-a7af-86e628baa688","True"
"string","Vital Signs Position","BiomedicalConceptProperty_67","True","Vital Signs Position","3b158207-e5a4-4c8e-b921-24dd520da165","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_68","True","Vital Signs Result","148d839e-eeb8-4acd-a022-bef26823627e","True"
"string","Unit of Pressure","BiomedicalConceptProperty_69","True","Unit of Pressure","ff5148da-7dc6-4190-93c4-54e0d160082a","True"
"string","Vital Signs Location","BiomedicalConceptProperty_70","True","Vital Signs Location","75b3b831-b094-45d0-9f86-405eccee1412","True"
"string","Vital Signs Laterality","BiomedicalConceptProperty_71","True","Vital Signs Laterality","f11abb79-7f39-45de-8126-581bdc3285fb","True"
"string","Test Method","BiomedicalConceptProperty_72","True","Test Method","b2470d40-6bb5-4f26-be03-218a49e3e6ad","True"
"string","Vital Signs Position","BiomedicalConceptProperty_73","True","Vital Signs Position","3745947f-1717-4fc5-8488-cbdf3d616b44","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_74","True","Vital Signs Result","0323b7d3-0466-4cb9-ac86-040e0f009ac2","True"
"string","Unit of Pressure","BiomedicalConceptProperty_75","True","Unit of Pressure","4571a7c3-d01e-41f1-be49-b70b67a3720d","True"
"string","Vital Signs Location","BiomedicalConceptProperty_76","True","Vital Signs Location","524e4a5c-b389-4682-a064-cdd5884c5bca","True"
"string","Vital Signs Laterality","BiomedicalConceptProperty_77","True","Vital Signs Laterality","1ad324eb-fba7-4401-b479-81f43409560f","True"
"string","Test Method","BiomedicalConceptProperty_78","True","Test Method","2fc933c4-19fe-4a24-b583-1ef28aee6f01","True"
"string","Vital Signs Position","BiomedicalConceptProperty_79","True","Vital Signs Position","9f348efc-643d-4b85-afd1-d414d9061dfa","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_80","True","Vital Signs Result","2fa6979a-19c9-4c69-bdba-141f98f6d56e","True"
"string","Unit of Pressure","BiomedicalConceptProperty_81","True","Unit of Pressure","e9ac6287-4a67-47b1-8cc8-c472f78daea6","True"
"string","Vital Signs Location","BiomedicalConceptProperty_82","True","Vital Signs Location","ebb2bdac-7d82-45b4-87d3-58514b6daf4c","True"
"string","Vital Signs Laterality","BiomedicalConceptProperty_83","True","Vital Signs Laterality","9dd7dc64-0778-479b-b34e-1e5ea59facc7","True"
"string","Test Method","BiomedicalConceptProperty_84","True","Test Method","5e2e5eb5-004b-4db0-954b-80dbb8f73ccc","True"
"string","Vital Signs Position","BiomedicalConceptProperty_85","True","Vital Signs Position","dc80dd05-52d1-4665-a5f5-01dc7ca58de4","True"
