"name","sectionNumber","sectionTitle","id","text","uuid:ID"
"SECTION 6.5","6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_38","<div></div>","cc3d8d9b-3020-43c4-8b89-0813ce4e6154"
"SECTION 6.5.1","6.5.1","Preparation of Trial Intervention","NarrativeContent_39","<div></div>","c1e88f27-33f1-4a3e-aa4a-1f8de021ce41"
"SECTION 6.5.2","6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_40","<div></div>","06b0c69b-1c49-42b5-88b6-eeb19324097c"
"SECTION 6.5.3","6.5.3","Accountability of Trial Intervention","NarrativeContent_41","<div></div>","c604ff94-332a-4a3a-b890-77aa9cd057d1"
"SECTION 6.6","6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_42","<div></div>","12f2ac75-875a-430e-af4e-b9c611c76c51"
"SECTION 6.6.1","6.6.1","Participant Assignment","NarrativeContent_43","<div></div>","eccb4682-d5d7-4ce5-894d-a5a13adc9090"
"SECTION 6.6.2","6.6.2","Randomisation","NarrativeContent_44","<div></div>","1d01300d-d922-42e9-8857-861172951909"
"SECTION 6.6.3","6.6.3","Blinding and Unblinding","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","cc268ba5-ccb8-4a93-a9df-906fb66373bc"
"SECTION 6.7","6.7","Trial Intervention Compliance","NarrativeContent_46","<div></div>","ee84aaad-cd8f-434c-aaf2-c8dc6f1547ea"
"SECTION 6.8","6.8","Concomitant Therapy","NarrativeContent_47","<div></div>","ac5ca1b1-a20f-4bcd-96ba-0792436960dd"
"SECTION 6.8.1","6.8.1","Prohibited Concomitant Therapy","NarrativeContent_48","<div></div>","5caaad69-e7a9-4671-a1da-bb7efa732719"
"SECTION 6.8.2","6.8.2","Permitted Concomitant Therapy","NarrativeContent_49","<div></div>","e87ee446-fa6a-4faf-8546-b31ce33071b7"
"SECTION 6.8.3","6.8.3","Rescue Therapy","NarrativeContent_50","<div></div>","62a8db9e-1410-409d-b707-4caa144bd494"
"SECTION 6.8.4","6.8.4","Other Therapy","NarrativeContent_51","<div></div>","dc3a0c9e-0a06-4be5-bb70-8898e44784c6"
"SECTION 7","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52","<div></div>","4b1e1c16-c894-46c8-bda9-7ff40421cb94"
"SECTION 7.1","7.1","Discontinuation of Trial Intervention","NarrativeContent_53","<div></div>","bf9848e7-0134-4566-a76b-0d0facb26ce5"
"SECTION 7.1.1","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54","<div></div>","99ad6ca2-a9a8-436c-a4d0-176f8f0c530c"
"SECTION 7.1.2","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55","<div></div>","e84b8f5e-097d-4f9c-be22-8de81f4c1154"
"SECTION 7.1.3","7.1.3","Rechallenge","NarrativeContent_56","<div></div>","9d8d5205-fa1a-4719-ad99-161bcc528a25"
"SECTION 7.2","7.2","Participant Withdrawal from the Trial","NarrativeContent_57","<div></div>","d9de443d-b31f-451c-b1a1-e152bdcb0a77"
"SECTION 7.3","7.3","Lost to Follow-Up","NarrativeContent_58","<div></div>","8b61083e-309f-4903-8d9b-4c7fd043fd9f"
"SECTION 7.4","7.4","Trial Stopping Rules","NarrativeContent_59","<div></div>","03aebd9d-08ce-4dae-bbc6-9b0e0f873aba"
"SECTION 8","8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60","<div></div>","8d095bc5-0f5e-43e6-954d-fdffea685841"
"SECTION 8.1","8.1","Screening/Baseline Assessments and Procedures","NarrativeContent_61","<div></div>","c519d819-6801-46ab-9d99-ebb70e8db177"
"SECTION 8.2","8.2","Efficacy Assessments and Procedures","NarrativeContent_62","<div></div>","a444f8ae-e981-4236-9e62-138466b7f3e6"
"SECTION 8.3","8.3","Safety Assessments and Procedures","NarrativeContent_63","<div></div>","46bc0e56-be24-421f-b0ff-1badadac9de9"
"SECTION 8.3.1","8.3.1","Physical Examination","NarrativeContent_64","<div></div>","f2c2e43f-6351-4bbf-8a2c-f4e2ea8e8c5f"
"SECTION 8.3.2","8.3.2","Vital Signs","NarrativeContent_65","<div></div>","ecdfd255-09f6-4f60-ac39-d97b76e0646a"
"SECTION 8.3.3","8.3.3","Electrocardiograms","NarrativeContent_66","<div></div>","45b6e680-b099-49cd-89be-cc41d6ef652a"
"SECTION 8.3.4","8.3.4","Clinical Laboratory Assessments","NarrativeContent_67","<div></div>","75d7f03c-10fa-4ba7-8b64-c4c8d9ed4d26"
"SECTION 8.3.5","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68","<div></div>","ab186593-f7aa-4e7a-adcc-d7d05cf67dcc"
"SECTION 8.4","8.4","Adverse Events and Serious Adverse Events","NarrativeContent_69","<div></div>","85c6e922-a5dd-42ba-a42f-8bdfbc5c3bdc"
"SECTION 8.4.1","8.4.1","Definitions of AE and SAE","NarrativeContent_70","<div></div>","7793bcdf-f0ea-4116-ad5c-31f343d2b5be"
"SECTION 8.4.2","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71","<div></div>","8ba4ce04-acdf-4d6c-b992-bfb769561303"
"SECTION 8.4.3","8.4.3","Identifying AEs and SAEs","NarrativeContent_72","<div></div>","d2f63f2a-c433-4d56-b9c4-9ae2dc6ffcbe"
"SECTION 8.4.4","8.4.4","Recording of AEs and SAEs","NarrativeContent_73","<div></div>","045bc61a-3a90-492b-b608-f17f86f260df"
"SECTION 8.4.5","8.4.5","Follow-up of AEs and SAEs","NarrativeContent_74","<div></div>","0c26639a-5551-430a-9716-7721bde3340c"
"SECTION 8.4.6","8.4.6","Reporting of SAEs","NarrativeContent_75","<div></div>","4f878b29-a395-4882-b0cc-ba2e246ab364"
"SECTION 8.4.7","8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent_76","<div></div>","e099d65b-d2db-446d-b65e-bd5a251a78e0"
"SECTION 8.4.8","8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77","<div></div>","bf7ca00a-5d6c-4a33-9df6-dc1a5adc6a5c"
"SECTION 8.4.9","8.4.9","Adverse Events of Special Interest","NarrativeContent_78","<div></div>","1dc41c98-5bdb-4321-8d51-07f9155589a9"
"SECTION 8.4.10","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79","<div></div>","74d84efd-639e-4bfc-afb2-f83aa36ba186"
"SECTION 8.5","8.5","Pregnancy and Postpartum Information","NarrativeContent_80","<div></div>","cb2ff948-4950-44bd-96ae-d25df1d6493d"
"SECTION 8.5.1","8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent_81","<div></div>","9d73f9b4-944b-4990-8fe0-5640da02746d"
"SECTION 8.5.2","8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent_82","<div></div>","1110ff29-8904-4eed-ac67-d49dee86bfa3"
"SECTION 8.6","8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83","<div></div>","9aeaefab-85f5-4e5d-bcde-0fe47853b27d"
"SECTION 8.6.1","8.6.1","Definition of Medical Device Product Complaints","NarrativeContent_84","<div></div>","f58bf08f-b6cf-42de-9432-43cb1dc85603"
"SECTION 8.6.2","8.6.2","Recording of Medical Device Product Complaints","NarrativeContent_85","<div></div>","80cab7f3-639d-4d11-b3f9-56ae40992744"
"SECTION 8.6.3","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86","<div></div>","3d5b6911-3e92-4a23-83aa-6a1e1962dc1d"
"SECTION 8.6.4","8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent_87","<div></div>","3cbcb804-530e-4b14-9561-00fc11c2a0a8"
"SECTION 8.6.5","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88","<div></div>","8c81c15e-d3f7-4821-9f60-9c941ec57b53"
"SECTION 8.7","8.7","Pharmacokinetics","NarrativeContent_89","<div></div>","f0b311a1-f61c-4fa9-b2ac-6f469445475b"
"SECTION 8.8","8.8","Genetics","NarrativeContent_90","<div></div>","bb235b79-bed1-4181-b8cc-19c77ef42a68"
"SECTION 8.9","8.9","Biomarkers","NarrativeContent_91","<div></div>","97b0c60c-1697-40bd-9ed9-7a25fb5a8008"
"SECTION 8.1","8.1","Immunogenicity Assessments","NarrativeContent_92","<div></div>","2427a80e-c880-4a2d-ade8-f7734be344ef"
"SECTION 8.1.1","8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent_93","<div></div>","9145a52c-76bc-4d55-aa93-b3c800a768c1"
"SECTION 9","9","STATISTICAL CONSIDERATIONS","NarrativeContent_94","<div></div>","c967217a-a48d-4b13-998a-ba6b065f5cd3"
"SECTION 9.1","9.1","Analysis Sets","NarrativeContent_95","<div></div>","d3a23ac2-9ae8-4061-9a14-59466701f0fa"
"SECTION 9.2","9.2","Analyses Supporting Primary Objective(s)","NarrativeContent_96","<div></div>","e308c82a-1709-47fb-84fa-508c4e6e658e"
"SECTION 9.2.1","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97","<div></div>","9311634a-0326-43ef-9853-fd7cdc6c4359"
"SECTION 9.2.2","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98","<div></div>","a54549d9-03ae-48ea-8fd6-2ea9a9e805ae"
"SECTION 9.2.3","9.2.3","Handling of Missing Data","NarrativeContent_99","<div></div>","08fa5922-3b9e-4bf6-86fc-9e5378b7f6db"
"SECTION 9.2.4","9.2.4","Sensitivity Analysis","NarrativeContent_100","<div></div>","e37ad66a-6976-45b7-9218-b1264a8bf104"
"SECTION 9.2.5","9.2.5","Supplementary Analysis","NarrativeContent_101","<div></div>","8b909792-a4fa-4c58-98b0-43e0015d5782"
"SECTION 9.3","9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent_102","<div></div>","fb7f5ea5-c321-47a8-bbe9-922ee12cbbe9"
"SECTION 9.4","9.4","Analysis of Exploratory Objective(s)","NarrativeContent_103","<div></div>","1f5d92ef-b237-4937-b541-6ef6d16177e0"
"SECTION 9.5","9.5","Safety Analyses","NarrativeContent_104","<div></div>","2b952c56-5196-43a6-80a0-486a9a797a5b"
"SECTION 9.6","9.6","Other Analyses","NarrativeContent_105","<div></div>","335fb925-6687-40e7-a28b-2e2b17010a90"
"SECTION 9.7","9.7","Interim Analyses","NarrativeContent_106","<div></div>","8589f99d-12a2-45da-bb10-beeb5bf556a6"
"SECTION 9.8","9.8","Sample Size Determination","NarrativeContent_107","<div></div>","681279c0-3106-42d8-a7cb-575f21684c3b"
"SECTION 9.9","9.9","Protocol Deviations","NarrativeContent_108","<div></div>","d6870a6d-f948-4a2d-b0b5-fe1f32d41e23"
"SECTION 10","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109","<div></div>","cc2c40ff-b8e4-4ba2-9ce7-9fd25b904823"
"SECTION 10.1","10.1","Regulatory and Ethical Considerations","NarrativeContent_110","<div></div>","5e2b1257-0421-4dad-9ef4-b5856140d846"
"SECTION 10.2","10.2","Committees","NarrativeContent_111","<div></div>","cfe01012-b9a8-4eb7-9d15-4bc540fd876d"
"SECTION 10.3","10.3","Informed Consent Process","NarrativeContent_112","<div></div>","90b47abd-f038-492c-9ac0-5b7f9f60b31e"
"SECTION 10.4","10.4","Data Protection","NarrativeContent_113","<div></div>","5648fcbe-39b5-4e6a-a867-2aff6ad26127"
"SECTION 10.5","10.5","Early Site Closure or Trial Termination","NarrativeContent_114","<div></div>","af45ae8d-77ff-414e-b5de-7b47277f1fcf"
"SECTION 11","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115","<div></div>","52ea0451-95f7-4cf0-8089-7c0201481a3a"
"SECTION 11.1","11.1","Quality Tolerance Limits","NarrativeContent_116","<div></div>","2de42842-f13c-444d-b96a-482283e0de5c"
"SECTION 11.2","11.2","Data Quality Assurance","NarrativeContent_117","<div></div>","30f2ec84-837e-442f-bae3-d40c6d9a30b0"
"SECTION 11.3","11.3","Source Data","NarrativeContent_118","<div></div>","4b66e900-3344-4e96-8bde-9487e2a8f3f8"
"SECTION 12","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119","<div></div>","e0a9eb4d-b3eb-4ebd-b7c7-b765a971c702"
"SECTION 12.1","12.1","Further Details and Clarifications on the AE Definition","NarrativeContent_120","<div></div>","712399c8-7635-45f3-a427-e0bbb5ce826e"
"SECTION 12.2","12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent_121","<div></div>","d2f7d280-1922-4bbc-aff1-76ee1fd46355"
"SECTION 12.3","12.3","Severity","NarrativeContent_122","<div></div>","cf3b7e2e-6106-4968-a838-98258ee3749f"
"SECTION 12.4","12.4","Causality","NarrativeContent_123","<div></div>","d111ecc7-f26a-45ce-9fbb-3eaefd575cc2"
"SECTION 13","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124","<div></div>","4f80f7cd-7616-48b3-9b10-0fb0d0b4fd27"
"SECTION 13.1","13.1","Contraception and Pregnancy Testing","NarrativeContent_125","<div></div>","6298f081-4b96-43b2-8d40-45833658bbf3"
"SECTION 13.1.1","13.1.1","Definitions Related to Childbearing Potential","NarrativeContent_126","<div></div>","eb042321-e135-4502-879c-a20d06e0e70d"
"SECTION 13.1.2","13.1.2","Contraception","NarrativeContent_127","<div></div>","a1cf6e4e-4c02-4892-b8f9-48cd9ab48675"
"SECTION 13.1.3","13.1.3","Pregnancy Testing","NarrativeContent_128","<div></div>","7e85fd64-a9a3-47f7-ae4b-fc6433e72f6a"
"SECTION 13.2","13.2","Clinical Laboratory Tests","NarrativeContent_129","<div></div>","942383f6-9473-49e5-9283-ce97c761edea"
"SECTION 13.3","13.3","Country/Region-Specific Differences","NarrativeContent_130","<div></div>","cc894538-f259-484d-a645-1283c7d97677"
"SECTION 13.4","13.4","Prior Protocol Amendments","NarrativeContent_131","<div></div>","7104d978-2d16-4e8e-9137-d07e00667e85"
"SECTION 14","14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132","<div></div>","5dba7925-fe23-4931-8985-8515710dd7c4"
"SECTION 15","15","APPENDIX: REFERENCES","NarrativeContent_133","<div></div>","6471c02b-6566-4338-a2e6-d3f20489a8dd"
