"decode","codeSystemVersion","id","code","codeSystem","uuid:ID"
"In Person","2023-09-29","Code_81","C175574","http://www.cdisc.org","8127d105-83ee-46d2-8447-749941920f6a"
"Visit","2023-09-29","Code_82","C25716","http://www.cdisc.org","1b140be3-f3d8-4f11-84b8-280ad038edbc"
"Clinic","2023-09-29","Code_83","C51282","http://www.cdisc.org","176fdda6-41c4-46b7-88a9-162513802592"
"In Person","2023-09-29","Code_84","C175574","http://www.cdisc.org","f37505e0-2b06-4b5e-88fd-1a13718a9bc9"
"Telephone Call","2023-09-29","Code_85","C171537","http://www.cdisc.org","ad94d0e8-b4a6-4dd9-9680-3a6f2f1c2982"
"Visit","2023-09-29","Code_86","C25716","http://www.cdisc.org","6cfef42e-a662-49d9-8be4-3348f887f083"
"Clinic","2023-09-29","Code_87","C51282","http://www.cdisc.org","f2b7add7-0724-433e-bccf-3c74b27b7269"
"In Person","2023-09-29","Code_88","C175574","http://www.cdisc.org","87984ba7-f99c-4148-830e-3442b8204467"
"Telephone Call","2023-09-29","Code_89","C171537","http://www.cdisc.org","6f0e214a-1e22-49c9-99c0-386879f28e45"
"Visit","2023-09-29","Code_90","C25716","http://www.cdisc.org","fdeb84ed-ec02-4632-929c-71e0e85e77f2"
"Clinic","2023-09-29","Code_91","C51282","http://www.cdisc.org","256a781a-0811-4f1c-894e-1b214a685f5d"
"In Person","2023-09-29","Code_92","C175574","http://www.cdisc.org","e08f2349-755b-4473-b881-d86ead8247d6"
"Telephone Call","2023-09-29","Code_93","C171537","http://www.cdisc.org","607fe844-83a3-4eb3-b6e0-fec81816bc27"
"Visit","2023-09-29","Code_94","C25716","http://www.cdisc.org","74fcf403-02ac-4906-bc43-cbe5037ee2db"
"Clinic","2023-09-29","Code_95","C51282","http://www.cdisc.org","c7486211-fa56-4967-aa7e-a1e466989031"
"In Person","2023-09-29","Code_96","C175574","http://www.cdisc.org","68093299-0c5c-4c02-b6a8-dc0e5029201b"
"Telephone Call","2023-09-29","Code_97","C171537","http://www.cdisc.org","36cd6e64-916b-412e-be13-f1af47a2a2ee"
"Visit","2023-09-29","Code_98","C25716","http://www.cdisc.org","e93fc408-1d09-4c65-a568-7e1533a91598"
"Clinic","2023-09-29","Code_99","C51282","http://www.cdisc.org","449ab2d3-3894-4629-b068-c02ef748c244"
"In Person","2023-09-29","Code_100","C175574","http://www.cdisc.org","0245e920-3108-415f-8250-a282baae99a5"
"Visit","2023-09-29","Code_101","C25716","http://www.cdisc.org","ce916fb5-0b20-49eb-b854-9c7d86fecbdc"
"Clinic","2023-09-29","Code_102","C51282","http://www.cdisc.org","76dffd2f-05e8-4676-9669-ed3d5b14cb92"
"In Person","2023-09-29","Code_103","C175574","http://www.cdisc.org","2ff0700e-f223-4435-89d6-5e152437d5bf"
"CT of head without contrast","January 31, 2018","Code_61","383371000119108","SNOMED","6806db7a-4a6a-4d23-aaf0-542c7bf5ec9e"
"Supine for 5 minutes","12","Code_62","123","SPONSOR","b39cabeb-925d-4ef4-8e53-00c042767e19"
"Standingfor 1-3 minutes","12","Code_63","124","SPONSOR","2c8091c1-b567-4885-9477-9f1dcf026cd8"
"Vital Signs Result","","Code_242","C173522","NCI Thesaurus","ffa47f55-65df-44cc-9116-ef6881d1e180"
"Kelvin","2023-09-29","Code_243","C42537","http://www.cdisc.org","5e11c5d5-eaeb-4294-9775-b6e54b7bb93e"
"Unit of Temperature","","Code_244","C44276","NCI Thesaurus","58c564e5-a63d-49ad-8668-cd3f5e48c846"
"Vital Signs Location","","Code_245","C83088","NCI Thesaurus","182854a2-f439-4a25-bae0-9cd8b6dea239"
"Body Temperature","","Code_241","C174446","NCI Thesaurus","d69ec28d-13c2-46f4-af88-f863a7606bc5"
"Vital Signs Result","","Code_247","C173522","NCI Thesaurus","a66a3b84-9737-4d6d-b554-c58aa1a1bb50"
"Kilogram","2023-09-29","Code_248","C28252","http://www.cdisc.org","a6967a34-2700-434d-ba05-4587a1ccdbd3"
"Gram","2023-09-29","Code_249","C48155","http://www.cdisc.org","1e5c13e9-fb49-4cf1-9f3d-3b3cfb0f51ad"
"Pound","2023-09-29","Code_250","C48531","http://www.cdisc.org","687f59a7-3528-4485-a9f9-fc6c53975f6e"
"Unit of Weight","","Code_251","C48208","NCI Thesaurus","8c0b6243-8e85-4fa1-b277-d89ad4120596"
"Body Weight","","Code_246","C81328","NCI Thesaurus","37c1672f-8620-4ae6-9116-9c02af876270"
"Vital Signs Result","","Code_253","C173522","NCI Thesaurus","ae8867a7-4016-4673-8a58-6583867ee2b5"
"Centimeter","2023-09-29","Code_254","C49668","http://www.cdisc.org","134154f6-4f44-49c9-a715-71d6c762aa1a"
"Inch","2023-09-29","Code_255","C48500","http://www.cdisc.org","d1426268-0c14-484d-9235-fe584fdad392"
"Millimeter","2023-09-29","Code_256","C28251","http://www.cdisc.org","55a52f6d-c0a0-4373-ae65-17b36648ec81"
"Meter","2023-09-29","Code_257","C41139","http://www.cdisc.org","5a09ed9b-07e6-4051-889b-5843f4479ab5"
"Unit of Height","","Code_258","C168688","NCI Thesaurus","e104c2bc-026b-4600-bf20-a2d4263f97d9"
"Body Height","","Code_252","C164634","NCI Thesaurus","1857659f-9a22-4c40-a317-a85dd895d145"
"Laboratory Test Result","","Code_260","C36292","NCI Thesaurus","d1f55492-1bf1-4147-a3d9-e4c39e5a4936"
"Laboratory Test Fasting Status","","Code_261","C83309","NCI Thesaurus","e97cb1e1-50f9-4ad0-813c-29f1fcdd0fb7"
"Unit of Catalytic Activity Concentration","","Code_262","C67365","NCI Thesaurus","ca65e679-2bb7-448a-b96d-a9f19caa6da5"
"Biospecimen Type","","Code_263","C70713","NCI Thesaurus","e06d6ec9-58a5-434b-bebb-f615c6dcc989"
"Alanine Aminotransferase Measurement","","Code_259","C64433","NCI Thesaurus","511daea6-5592-45c3-9a12-3740ef99b463"
"Laboratory Test Result","","Code_265","C36292","NCI Thesaurus","4f040d4a-dce2-4c50-804e-d04c94fe6530"
"Laboratory Test Fasting Status","","Code_266","C83309","NCI Thesaurus","27eb73bd-f3f8-4ef0-bd08-1c3240dc2423"
"Unit of Concentration","","Code_267","C48207","NCI Thesaurus","095e8a2a-ad66-4610-acd2-a08a161180ee"
"Biospecimen Type","","Code_268","C70713","NCI Thesaurus","fac05cc8-0506-418c-b789-d74232b3c5ed"
"Albumin Measurement","","Code_264","C64431","NCI Thesaurus","4aabce57-5b17-4d23-a6f2-4c3950462cfd"
"Laboratory Test Result","","Code_270","C36292","NCI Thesaurus","c219e806-749e-434c-8c05-e9870d4594d2"
"Laboratory Test Fasting Status","","Code_271","C83309","NCI Thesaurus","2d355e2f-6f63-4164-bdfb-6d3edae0c153"
"Unit of Catalytic Activity Concentration","","Code_272","C67365","NCI Thesaurus","6686bdd1-5724-41e3-b076-79b2643f7125"
"Biospecimen Type","","Code_273","C70713","NCI Thesaurus","78977e77-8071-4430-93e6-1ffd3baf5feb"
"Alkaline Phosphatase Measurement","","Code_269","C64432","NCI Thesaurus","fca0f2ec-4830-42f2-a8e6-6a9927eccdf0"
"Laboratory Test Result","","Code_275","C36292","NCI Thesaurus","a2ed7427-50be-42d3-9d10-df262e3f497c"
"Laboratory Test Fasting Status","","Code_276","C83309","NCI Thesaurus","1d503dd0-88fc-456b-8e35-841f2e160bb3"
"Unit of Catalytic Activity Concentration","","Code_277","C67365","NCI Thesaurus","d0d1a5a3-808a-4d7a-a6e0-d306ae7455d9"
"Biospecimen Type","","Code_278","C70713","NCI Thesaurus","508a6a86-fbc1-446d-8247-c040469b1dde"
"Aspartate Aminotransferase Measurement","","Code_274","C64467","NCI Thesaurus","9756e884-59d9-4517-a81f-8d8b0de082a3"
"Laboratory Test Result","","Code_280","C36292","NCI Thesaurus","b5ee5010-7ecf-4b12-932f-d01644d8e4e8"
"Laboratory Test Fasting Status","","Code_281","C83309","NCI Thesaurus","8b6f6a5e-70f8-43d5-9bcd-d09c0132220f"
"Unit of Concentration","","Code_282","C48207","NCI Thesaurus","bf0f7b16-a5b4-4348-9fc6-5f6370d121d0"
"Biospecimen Type","","Code_283","C70713","NCI Thesaurus","e7ff959a-b26d-45da-9cd6-f8acf7fe98ff"
"Creatinine Measurement","","Code_279","C64547","NCI Thesaurus","6f171f16-7243-4f26-a6de-22827b901cd5"
"Laboratory Test Result","","Code_285","C36292","NCI Thesaurus","b25cfd5f-cad4-4f43-902f-efc0c7a83be3"
"Laboratory Test Fasting Status","","Code_286","C83309","NCI Thesaurus","33b61a4e-ac80-4ab9-a1ee-786c034bbb4d"
"Molarity Unit","","Code_287","C64567","NCI Thesaurus","b53d167f-8a85-4ddd-909b-b715e25b7d89"
"Biospecimen Type","","Code_288","C70713","NCI Thesaurus","f43fce35-96ad-4106-9076-d9f327468c5e"
"Potassium Measurement","","Code_284","C64853","NCI Thesaurus","3d3a35df-f3e4-4a47-94c4-fc56fd2983d2"
"Laboratory Test Result","","Code_290","C36292","NCI Thesaurus","5bb5ccdc-9dff-48a1-bac5-64f75eff9d94"
"Laboratory Test Fasting Status","","Code_291","C83309","NCI Thesaurus","9b850a2a-d5a5-408e-ba9f-0130b69cf4cb"
"Molarity Unit","","Code_292","C64567","NCI Thesaurus","6d9a2485-b076-4b0a-a443-d861ffddb7a0"
"Biospecimen Type","","Code_293","C70713","NCI Thesaurus","ad84c594-113c-4da2-a125-efe39902c756"
"Sodium Measurement","","Code_289","C64809","NCI Thesaurus","742a19f2-c8a9-4fe8-8104-b5a1a04eeaa8"
"Adverse Event Verbatim Description","","Code_124","C78541","NCI Thesaurus","3be54562-344d-4d09-b792-0f2b4a83e6cf"
"Adverse Event Dictionary Derived Term","","Code_125","C83344","NCI Thesaurus","d13f9a4f-1f61-4e3b-a6e3-28ab100fa01c"
"Adverse Event Category","","Code_126","C83198","NCI Thesaurus","5bc0d4a5-f50d-44e7-9ccd-018a22fcdd60"
"Adverse Event Subcategory","","Code_127","C83212","NCI Thesaurus","c89369cf-0486-4b8c-be60-52e8d989519c"
"Adverse Event Pre-specified","","Code_128","C87840","NCI Thesaurus","ea3889b4-08b7-4ccd-9b64-fd7a072cacb3"
"Severity of Adverse Event","","Code_129","C53253","NCI Thesaurus","fcec0696-eeaf-4a8e-8208-403d40e90552"
"Adverse Event Toxicity Grade","","Code_130","C78605","NCI Thesaurus","c9e74307-2066-4f50-bbb3-03e6cbc1e7d8"
"Seriousness of Adverse Event","","Code_131","C53252","NCI Thesaurus","1e2422ce-319c-4e25-8030-b50311c916a1"
"Unknown","2023-09-29","Code_132","C17998","http://www.cdisc.org","ff4fff75-6990-41f6-8d4c-77c5fbdeedde"
"Adverse Event Action Taken with Study Treatment","","Code_133","C83013","NCI Thesaurus","1f58689b-0fcb-49a0-b7be-b3f6424aaa85"
"Adverse Event Attribution to Product or Procedure","","Code_134","C41358","NCI Thesaurus","c70d807b-a623-46ac-8000-7dd59fc2139c"
"Adverse Event Pattern","","Code_135","C83208","NCI Thesaurus","ad82f9a9-1820-4d2a-88a3-f66a2d60ff13"
"Unknown","2023-09-29","Code_136","C17998","http://www.cdisc.org","56cb14bd-19b1-4d74-9b3f-46b8d089cb1e"
"Adverse Event Outcome","","Code_137","C49489","NCI Thesaurus","8ea317f5-3a00-423d-b3a8-c988cb4794b3"
"Adverse Event Start Date Time","","Code_138","C83215","NCI Thesaurus","04e20cd1-142a-452b-aad7-f860e807abad"
"Adverse Event End Date Time","","Code_139","C83201","NCI Thesaurus","d56ae4b0-7e83-4bd0-9807-f141223b592f"
"Adverse Event","","Code_123","C41331","NCI Thesaurus","fcbd1903-4493-45ac-8c0b-5246af797c67"
"Vital Signs Result","","Code_141","C173522","NCI Thesaurus","86191384-c7a3-42bd-aafe-6983a67f99db"
"Pascal","2023-09-29","Code_142","C42547","http://www.cdisc.org","a9f2ae84-c7c1-4837-93b4-fa75d3c0a9d1"
"Unit of Pressure","","Code_143","C49669","NCI Thesaurus","dff7dda6-a9d4-491c-ab99-a694776b30fd"
"Vital Signs Location","","Code_144","C83088","NCI Thesaurus","176fdcab-124f-4389-bf1c-9159390d7d75"
"Vital Signs Laterality","","Code_145","C123975","NCI Thesaurus","484e5536-19d5-4094-9163-c00ef2f3cd1e"
"Test Method","","Code_146","C82535","NCI Thesaurus","0fc0e735-8d39-434c-a5f8-3887a90723aa"
"Vital Signs Position","","Code_147","C83114","NCI Thesaurus","20de30a5-5df2-448c-a095-b408250d69dc"
"Systolic Blood Pressure","","Code_140","C25298","NCI Thesaurus","0d347d32-0822-42d4-8649-0b67ee16c4b2"
"Vital Signs Result","","Code_149","C173522","NCI Thesaurus","f0efb961-de90-4699-980c-71d0b6ab31c6"
"Pascal","2023-09-29","Code_150","C42547","http://www.cdisc.org","cb8fb4b1-63b1-42a4-b251-59a51a468b61"
"Unit of Pressure","","Code_151","C49669","NCI Thesaurus","e090f710-f86b-4200-98b5-94d26108e931"
"Vital Signs Location","","Code_152","C83088","NCI Thesaurus","62fb0c58-5ea6-4053-9030-190b4af4a49a"
"Vital Signs Laterality","","Code_153","C123975","NCI Thesaurus","9efe389c-9bf9-45b2-8255-9a7af1180d0b"
"Test Method","","Code_154","C82535","NCI Thesaurus","bda51351-41e1-4364-a76f-051ae03283ba"
"Vital Signs Position","","Code_155","C83114","NCI Thesaurus","734f7a32-4f0a-4208-856b-8c3fefc2092b"
"Diastolic Blood Pressure","","Code_148","C25299","NCI Thesaurus","a44a82b4-e3f0-409a-90e7-40515621c0b8"
"Vital Signs Result","","Code_157","C173522","NCI Thesaurus","e4526d16-17ce-4776-ba14-b6055ebcce6f"
"Kelvin","2023-09-29","Code_158","C42537","http://www.cdisc.org","a298666a-434f-4579-984c-bc7dec9ce85d"
"Unit of Temperature","","Code_159","C44276","NCI Thesaurus","217e7ae3-5f46-40d1-a3c1-79d1eaa37fac"
"Vital Signs Location","","Code_160","C83088","NCI Thesaurus","f3405e56-51f7-44bc-8492-5ad2769a5572"
"Body Temperature","","Code_156","C174446","NCI Thesaurus","b487bdac-3d57-4105-9dcd-d54ef80205f3"
"Vital Signs Result","","Code_162","C173522","NCI Thesaurus","c43c565c-8b0b-46fd-9131-da64a771e4d9"
"Kilogram","2023-09-29","Code_163","C28252","http://www.cdisc.org","b7fc5118-ab04-4528-80dc-87bc9dac94a7"
"Gram","2023-09-29","Code_164","C48155","http://www.cdisc.org","4622e772-fd0d-4404-a3c4-9c67345bcb88"
"Pound","2023-09-29","Code_165","C48531","http://www.cdisc.org","8e108e6a-73b6-435e-a36f-ee903c57ded2"
"Unit of Weight","","Code_166","C48208","NCI Thesaurus","7b3379dd-6dda-4ff2-9912-4a29d1a7ee4d"
"Body Weight","","Code_161","C81328","NCI Thesaurus","14fe0d05-0570-4a4b-b8f8-ee46c2f3b38a"
"Vital Signs Result","","Code_168","C173522","NCI Thesaurus","1ee7d9e2-7dc9-4c1a-85a1-8a328f054e7d"
"Centimeter","2023-09-29","Code_169","C49668","http://www.cdisc.org","29c4332d-e292-4717-8a0b-dd324492a8ca"
"Inch","2023-09-29","Code_170","C48500","http://www.cdisc.org","f8a1d10a-3921-4505-8e16-c2c7e1436bce"
"Millimeter","2023-09-29","Code_171","C28251","http://www.cdisc.org","5b280cd8-c9f4-47e1-8d45-63d11510cff9"
"Meter","2023-09-29","Code_172","C41139","http://www.cdisc.org","5a2a2b3e-e2fa-46d2-9e85-ecce71e1b7f3"
"Unit of Height","","Code_173","C168688","NCI Thesaurus","0fadbb7f-5200-4342-b509-c749847d4814"
"Body Height","","Code_167","C164634","NCI Thesaurus","a1c94cba-9586-4331-bc92-0ef0f45c7f26"
"Laboratory Test Result","","Code_175","C36292","NCI Thesaurus","4bd05f65-4ae8-4227-9c06-ed5f1a03e895"
"Laboratory Test Fasting Status","","Code_176","C83309","NCI Thesaurus","c8fd5524-409a-4588-ac02-39385e3749e0"
"Unit of Catalytic Activity Concentration","","Code_177","C67365","NCI Thesaurus","0ccbb6ad-6e16-467d-a3d8-c9d5aa71bb9b"
"Biospecimen Type","","Code_178","C70713","NCI Thesaurus","aea8b292-5048-4982-a8fa-ccbde5f8c1ef"
"Alanine Aminotransferase Measurement","","Code_174","C64433","NCI Thesaurus","71d7be28-272d-4502-b6a0-3ea9a1524712"
"Laboratory Test Result","","Code_180","C36292","NCI Thesaurus","ad8ac98d-aaeb-4cc1-a641-a51729729652"
"Laboratory Test Fasting Status","","Code_181","C83309","NCI Thesaurus","270b2882-4200-404d-805a-6d8cab6839d6"
"Unit of Concentration","","Code_182","C48207","NCI Thesaurus","d502a032-1ffe-4b54-8fd7-e88fcd1c3cd7"
"Biospecimen Type","","Code_183","C70713","NCI Thesaurus","cb147ed5-3ba9-444f-a062-aad17210667a"
"Albumin Measurement","","Code_179","C64431","NCI Thesaurus","0af5f900-9f51-44c5-9009-4ccc1b16b0de"
"Laboratory Test Result","","Code_185","C36292","NCI Thesaurus","3419730d-97d6-4b72-b068-98e474a67242"
"Laboratory Test Fasting Status","","Code_186","C83309","NCI Thesaurus","40a5e430-fd54-4379-bbac-cce03f189d18"
"Unit of Catalytic Activity Concentration","","Code_187","C67365","NCI Thesaurus","33b6608d-b33d-42a6-a991-86e56c411b1b"
"Biospecimen Type","","Code_188","C70713","NCI Thesaurus","18abdde1-e7a6-4c31-9076-de37575ea7fa"
"Alkaline Phosphatase Measurement","","Code_184","C64432","NCI Thesaurus","a5f6deee-93ae-4880-b8d4-607d1132a96e"
"Laboratory Test Result","","Code_190","C36292","NCI Thesaurus","2c17f830-7ab1-47ad-84b0-b9697c9476be"
"Laboratory Test Fasting Status","","Code_191","C83309","NCI Thesaurus","6b876cbd-dece-4594-8bd0-d099cc810474"
"Unit of Catalytic Activity Concentration","","Code_192","C67365","NCI Thesaurus","68a6b152-b237-4357-a4f3-d4d01b82fe70"
"Biospecimen Type","","Code_193","C70713","NCI Thesaurus","85d35273-6863-45bc-a66c-b3c8ae1211da"
"Aspartate Aminotransferase Measurement","","Code_189","C64467","NCI Thesaurus","b240d416-1519-485e-9b97-ccbeb9603158"
"Laboratory Test Result","","Code_195","C36292","NCI Thesaurus","e521b001-66b3-4dd0-9b4b-6467b94319a6"
"Laboratory Test Fasting Status","","Code_196","C83309","NCI Thesaurus","6e6ae602-511a-4719-b42b-ff5313ac4da1"
"Unit of Concentration","","Code_197","C48207","NCI Thesaurus","d6251a64-b5a2-40ce-84d4-3f2361169742"
"Biospecimen Type","","Code_198","C70713","NCI Thesaurus","f106c1c0-ca50-403f-afa4-8ee5cbad00db"
"Creatinine Measurement","","Code_194","C64547","NCI Thesaurus","bd224b96-f806-44ed-ab46-cff5dd7577da"
"Laboratory Test Result","","Code_200","C36292","NCI Thesaurus","7ffee4d4-cadf-40ff-8b98-19b484006f8b"
"Laboratory Test Fasting Status","","Code_201","C83309","NCI Thesaurus","3af06b76-f88a-4e24-b69f-285881ab6d29"
"Molarity Unit","","Code_202","C64567","NCI Thesaurus","42edddfb-cef0-49e8-a212-76c1ed0f5a6d"
"Biospecimen Type","","Code_203","C70713","NCI Thesaurus","fbfca413-44b7-41c8-87e5-2c26e553c562"
"Potassium Measurement","","Code_199","C64853","NCI Thesaurus","4f649b07-8284-4e91-ba20-2ae9a8062000"
"Laboratory Test Result","","Code_205","C36292","NCI Thesaurus","bc2b1dea-a956-4fa4-8885-a75f79d666e3"
"Laboratory Test Fasting Status","","Code_206","C83309","NCI Thesaurus","374eed63-4d2f-4fe1-a29e-fa03bcadddf6"
"Molarity Unit","","Code_207","C64567","NCI Thesaurus","a9c1f446-9766-41c0-bcb8-3153cc3e63a0"
"Biospecimen Type","","Code_208","C70713","NCI Thesaurus","d787b2db-e907-4ade-849f-d1840fdb8ea5"
"Sodium Measurement","","Code_204","C64809","NCI Thesaurus","57dbead8-3a97-44ef-a9e0-5bf4e6454b11"
"Vital Signs Result","","Code_210","C173522","NCI Thesaurus","9755b942-1a21-4ae9-bb44-ef11dce7c7da"
"Pascal","2023-09-29","Code_211","C42547","http://www.cdisc.org","6c9d1ec5-7ff4-43e8-8a88-b90fa2233a0b"
"Unit of Pressure","","Code_212","C49669","NCI Thesaurus","6ab057b2-a5f9-44e5-8c11-1b3d86b6928e"
"Vital Signs Location","","Code_213","C83088","NCI Thesaurus","2fb69eba-f9c9-42e0-9c76-495b07cc2bce"
"Vital Signs Laterality","","Code_214","C123975","NCI Thesaurus","3b699509-55df-4c96-ad8f-642cdf0448df"
"Test Method","","Code_215","C82535","NCI Thesaurus","c53110ee-052a-417d-90a7-d2a5ecdbddac"
"Vital Signs Position","","Code_216","C83114","NCI Thesaurus","71ab24ce-46f2-4f75-8725-43e3988a5de5"
"Systolic Blood Pressure","","Code_209","C25298","NCI Thesaurus","b30a7b94-65ea-44e4-aef5-a62d7d1fe071"
"Vital Signs Result","","Code_218","C173522","NCI Thesaurus","e772ae82-192c-4568-9f02-aff5bcd0d87f"
"Pascal","2023-09-29","Code_219","C42547","http://www.cdisc.org","d5e03daf-e6d5-4082-8e49-411618ede163"
"Unit of Pressure","","Code_220","C49669","NCI Thesaurus","67c47bdc-e7e5-4355-af07-7bd59091ba71"
"Vital Signs Location","","Code_221","C83088","NCI Thesaurus","8fd1a50c-d0a5-4d38-badf-dd3cab6ffb3e"
"Vital Signs Laterality","","Code_222","C123975","NCI Thesaurus","5d946576-2718-4a5e-a5ec-4a732d102e1c"
"Test Method","","Code_223","C82535","NCI Thesaurus","8eb17985-ff45-453c-be21-6df7b066b7e4"
"Vital Signs Position","","Code_224","C83114","NCI Thesaurus","63d92735-c61c-46f7-a325-fd762b3c2eec"
"Diastolic Blood Pressure","","Code_217","C25299","NCI Thesaurus","7d2cb002-8417-41f7-a4a9-1b08b5b22f8c"
"Vital Signs Result","","Code_226","C173522","NCI Thesaurus","d0d9e25a-03e1-478c-b9c7-e592d243b07f"
"Pascal","2023-09-29","Code_227","C42547","http://www.cdisc.org","7b4fea51-1c43-40fd-b0f6-b0a4fc10b0fa"
"Unit of Pressure","","Code_228","C49669","NCI Thesaurus","f69c4bb4-b2c2-42ef-8fd4-6c51d4654566"
"Vital Signs Location","","Code_229","C83088","NCI Thesaurus","4e140a38-f967-4626-8cb8-0f34754fc599"
"Vital Signs Laterality","","Code_230","C123975","NCI Thesaurus","39d1c6a7-fb04-4eaf-9b7d-0deff7e0ab65"
"Test Method","","Code_231","C82535","NCI Thesaurus","983df3d9-9120-4839-8349-af6608516d3b"
"Vital Signs Position","","Code_232","C83114","NCI Thesaurus","f8ed5929-2ee8-4069-9d82-a862338af3f0"
"Systolic Blood Pressure","","Code_225","C25298","NCI Thesaurus","23164cc0-4a45-458e-8888-e43c4939e18b"
"Vital Signs Result","","Code_234","C173522","NCI Thesaurus","4bfee1d8-9faa-4753-8a11-2f0eaf9ba34d"
"Pascal","2023-09-29","Code_235","C42547","http://www.cdisc.org","2d3cf511-5334-4590-9bb3-9ee945f17724"
"Unit of Pressure","","Code_236","C49669","NCI Thesaurus","ca0d8ad0-6b2b-45b8-b424-7ecf455d2fac"
"Vital Signs Location","","Code_237","C83088","NCI Thesaurus","7484d492-f35b-40e7-b10a-b4a2fa91368e"
"Vital Signs Laterality","","Code_238","C123975","NCI Thesaurus","1d825cb4-e419-4da8-a6ae-724b96f7b994"
