"sectionNumber","uuid:ID","id","text","sectionTitle","name"
"6.6.3","73bf958f-f261-4ba6-ba4a-f9b6bdedb229","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding","SECTION 6.6.3"
"6.7","01786cc3-36d7-4151-94d1-3ec208dbfbfb","NarrativeContent_46","<div></div>","Trial Intervention Compliance","SECTION 6.7"
"6.8","3fe026c7-606d-48fc-a8ff-ecd75c3d3fb9","NarrativeContent_47","<div></div>","Concomitant Therapy","SECTION 6.8"
"6.8.1","ae49d303-2fe9-4365-af19-2d4a9c61c664","NarrativeContent_48","<div></div>","Prohibited Concomitant Therapy","SECTION 6.8.1"
"6.8.2","8f65b3f3-79c4-4e04-9caa-08ea7befafb0","NarrativeContent_49","<div></div>","Permitted Concomitant Therapy","SECTION 6.8.2"
"6.8.3","2e62bc3c-3836-485e-9a65-817b89236496","NarrativeContent_50","<div></div>","Rescue Therapy","SECTION 6.8.3"
"6.8.4","0248342e-b640-48b7-a0cf-7172decdfe7b","NarrativeContent_51","<div></div>","Other Therapy","SECTION 6.8.4"
"7","a8151039-a6f8-4681-bf5e-73211e35d333","NarrativeContent_52","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7"
"7.1","c5345e7d-d163-42f5-b740-b9bc3b87de53","NarrativeContent_53","<div></div>","Discontinuation of Trial Intervention","SECTION 7.1"
"7.1.1","bc0c8eeb-f875-41ea-88f0-df1f0cc58411","NarrativeContent_54","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1"
"7.1.2","ac081c61-6f71-47ad-af18-08535bd388e7","NarrativeContent_55","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2"
"7.1.3","6674e655-f32d-419f-bbab-998b2e7bd3f2","NarrativeContent_56","<div></div>","Rechallenge","SECTION 7.1.3"
"7.2","b55d403e-d004-43d7-a525-e0d5ac1fcbd9","NarrativeContent_57","<div></div>","Participant Withdrawal from the Trial","SECTION 7.2"
"7.3","f3a0bd4b-7e97-401a-a408-99a900506123","NarrativeContent_58","<div></div>","Lost to Follow-Up","SECTION 7.3"
"7.4","792768db-af71-48c6-a087-786715bcd16f","NarrativeContent_59","<div></div>","Trial Stopping Rules","SECTION 7.4"
"8","eaa5986c-5c49-421c-b2e0-d9d026a8528f","NarrativeContent_60","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8"
"8.1","ea91a742-34c8-4c4e-9ab5-59dea02e9ee1","NarrativeContent_61","<div></div>","Screening/Baseline Assessments and Procedures","SECTION 8.1"
"8.2","36254524-db17-4771-8a5a-55f62cc927c1","NarrativeContent_62","<div></div>","Efficacy Assessments and Procedures","SECTION 8.2"
"8.3","c577e105-f07b-477a-bfb4-1e3623cf61ad","NarrativeContent_63","<div></div>","Safety Assessments and Procedures","SECTION 8.3"
"8.3.1","cff5e0dc-43be-4435-b68a-2f37751c3f79","NarrativeContent_64","<div></div>","Physical Examination","SECTION 8.3.1"
"8.3.2","069a814e-fcf7-4f23-9df8-2d3fc0e88a27","NarrativeContent_65","<div></div>","Vital Signs","SECTION 8.3.2"
"8.3.3","fae78c27-2e8d-43be-b2d1-b363a12924f0","NarrativeContent_66","<div></div>","Electrocardiograms","SECTION 8.3.3"
"8.3.4","7e492d19-72fb-4aea-87ca-b848c9cbc845","NarrativeContent_67","<div></div>","Clinical Laboratory Assessments","SECTION 8.3.4"
"8.3.5","6f41738e-f25e-4c1d-b19b-5606676c0540","NarrativeContent_68","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5"
"8.4","6f625374-7043-4531-8e42-0d652dc7a614","NarrativeContent_69","<div></div>","Adverse Events and Serious Adverse Events","SECTION 8.4"
"8.4.1","854e952c-3c60-4269-bddb-6a7300eba10d","NarrativeContent_70","<div></div>","Definitions of AE and SAE","SECTION 8.4.1"
"8.4.2","07cbfedc-5958-432d-839b-165fa997ce95","NarrativeContent_71","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2"
"8.4.3","1863314f-1c68-47a3-a891-c18683f561b3","NarrativeContent_72","<div></div>","Identifying AEs and SAEs","SECTION 8.4.3"
"8.4.4","12c38582-b18a-4578-bbba-5951ebd95011","NarrativeContent_73","<div></div>","Recording of AEs and SAEs","SECTION 8.4.4"
"8.4.5","9dd9ea27-0bdd-4459-a289-db10db60c868","NarrativeContent_74","<div></div>","Follow-up of AEs and SAEs","SECTION 8.4.5"
"8.4.6","16821576-8627-448e-860c-20c0c4c2f99a","NarrativeContent_75","<div></div>","Reporting of SAEs","SECTION 8.4.6"
"8.4.7","68552f4c-57e3-4ba9-b2a2-c53d1d659313","NarrativeContent_76","<div></div>","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7"
"8.4.8","323de258-ceea-432a-aa73-dc998a22a899","NarrativeContent_77","<div></div>","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8"
"8.4.9","aa0ef343-84f5-4719-996b-563107bf48ca","NarrativeContent_78","<div></div>","Adverse Events of Special Interest","SECTION 8.4.9"
"8.4.10","5375696a-a7b2-47f2-8b77-2160f64ee494","NarrativeContent_79","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10"
"8.5","1d393d84-1900-4732-872f-796f089d8b2b","NarrativeContent_80","<div></div>","Pregnancy and Postpartum Information","SECTION 8.5"
"8.5.1","135df0aa-9c03-49af-8554-a0e0c204a1d3","NarrativeContent_81","<div></div>","Participants Who Become Pregnant During the Trial","SECTION 8.5.1"
"8.5.2","3d031425-a0d1-4d8c-8087-f453890d4c47","NarrativeContent_82","<div></div>","Participants Whose Partners Become Pregnant","SECTION 8.5.2"
"8.6","e0429350-c12b-43b5-84d1-176ea6c44aff","NarrativeContent_83","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6"
"8.6.1","e0685b94-597f-43d1-a02e-686bad5f924d","NarrativeContent_84","<div></div>","Definition of Medical Device Product Complaints","SECTION 8.6.1"
"8.6.2","05c25d9c-40f5-4b00-b16a-87b616c5a6de","NarrativeContent_85","<div></div>","Recording of Medical Device Product Complaints","SECTION 8.6.2"
"8.6.3","f673148e-1f92-4cf9-944c-06ac3be98d5f","NarrativeContent_86","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3"
"8.6.4","ffff65e4-1537-476c-b577-663f21d8cee3","NarrativeContent_87","<div></div>","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4"
"8.6.5","009a621e-ae2f-47e9-b0d2-daf7b8d0f24f","NarrativeContent_88","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5"
"8.7","cc51771c-99c3-4661-975d-1dc4f8dfd8a5","NarrativeContent_89","<div></div>","Pharmacokinetics","SECTION 8.7"
"8.8","68a1669d-ff47-4210-8e34-d6072a896c06","NarrativeContent_90","<div></div>","Genetics","SECTION 8.8"
"8.9","3fbe6efb-d76f-4fcf-ac11-5743cf9514e3","NarrativeContent_91","<div></div>","Biomarkers","SECTION 8.9"
"8.1","b8201218-219d-45b7-92f5-e17a256490ff","NarrativeContent_92","<div></div>","Immunogenicity Assessments","SECTION 8.1"
"8.1.1","47ca0146-50aa-418d-b93d-71e0a0d89ceb","NarrativeContent_93","<div></div>","Medical Resource Utilisation and Health Economics","SECTION 8.1.1"
"9","aaa8a59a-9090-4c86-b6c6-fb6b862625e3","NarrativeContent_94","<div></div>","STATISTICAL CONSIDERATIONS","SECTION 9"
"9.1","51898f6b-bbac-4a88-b5bf-37b9ad97bd0b","NarrativeContent_95","<div></div>","Analysis Sets","SECTION 9.1"
"9.2","f0fadee1-56b4-4d27-884b-22ee8c6fad4e","NarrativeContent_96","<div></div>","Analyses Supporting Primary Objective(s)","SECTION 9.2"
"9.2.1","084db676-3de5-49cd-a0af-303fbfa71d5b","NarrativeContent_97","<div></div>","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1"
"9.2.2","12a7c983-dfce-477e-9c56-d7974bad1b9c","NarrativeContent_98","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2"
"9.2.3","47e340f0-de81-40ee-9574-0c5c24565c8b","NarrativeContent_99","<div></div>","Handling of Missing Data","SECTION 9.2.3"
"9.2.4","4beab953-21b9-4eb7-8a84-28794b7e44e3","NarrativeContent_100","<div></div>","Sensitivity Analysis","SECTION 9.2.4"
"9.2.5","41970246-9752-425e-b272-5bff0acb8c7f","NarrativeContent_101","<div></div>","Supplementary Analysis","SECTION 9.2.5"
"9.3","1ea66b3e-27ce-4e5b-ae27-08e542b79435","NarrativeContent_102","<div></div>","Analysis Supporting Secondary Objective(s)","SECTION 9.3"
"9.4","2dcd07c5-3469-4c66-8251-0a0a2cc80039","NarrativeContent_103","<div></div>","Analysis of Exploratory Objective(s)","SECTION 9.4"
"9.5","968eed64-beac-48c6-9099-082091dbf3db","NarrativeContent_104","<div></div>","Safety Analyses","SECTION 9.5"
"9.6","15f73820-ab53-45e8-b80b-487dd37b78bc","NarrativeContent_105","<div></div>","Other Analyses","SECTION 9.6"
"9.7","e0f19c72-1c3a-48cb-b2a0-73ec2ff0fea7","NarrativeContent_106","<div></div>","Interim Analyses","SECTION 9.7"
"9.8","3b3fa34f-98e3-4dd0-894f-a8c692b4b2a9","NarrativeContent_107","<div></div>","Sample Size Determination","SECTION 9.8"
"9.9","15e8a009-3833-4d84-ab39-bf5be9896368","NarrativeContent_108","<div></div>","Protocol Deviations","SECTION 9.9"
"10","b8312166-f187-443c-84b2-d9942835a6f7","NarrativeContent_109","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10"
"10.1","60f60c60-8ce3-46cf-bf67-cb9b02807f7b","NarrativeContent_110","<div></div>","Regulatory and Ethical Considerations","SECTION 10.1"
"10.2","700de765-8311-476b-8f76-960a63ee80ba","NarrativeContent_111","<div></div>","Committees","SECTION 10.2"
"10.3","444d4c28-6f10-494b-8f08-3e37e39bed47","NarrativeContent_112","<div></div>","Informed Consent Process","SECTION 10.3"
"10.4","374043cb-79c0-4f70-aa59-8251af146bc6","NarrativeContent_113","<div></div>","Data Protection","SECTION 10.4"
"10.5","6dbfa8bb-b9b8-49e5-a197-cd268b0a05c6","NarrativeContent_114","<div></div>","Early Site Closure or Trial Termination","SECTION 10.5"
"11","20eb630e-7fbe-494d-b32b-797ab031f14d","NarrativeContent_115","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11"
"11.1","efdb543b-5faf-4cf6-bed7-6a56908099da","NarrativeContent_116","<div></div>","Quality Tolerance Limits","SECTION 11.1"
"11.2","a3fb9781-a03b-4486-8815-198962f5b9fd","NarrativeContent_117","<div></div>","Data Quality Assurance","SECTION 11.2"
"11.3","5c6d2353-b191-4131-85ff-ad99e9acc73e","NarrativeContent_118","<div></div>","Source Data","SECTION 11.3"
"12","90a5fa84-04b2-4b55-8b16-f2df0e2fce97","NarrativeContent_119","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12"
"12.1","cdc86ba6-7caa-402b-a393-68241d4fd36c","NarrativeContent_120","<div></div>","Further Details and Clarifications on the AE Definition","SECTION 12.1"
"12.2","e9cf68b9-e485-4f86-9394-8a52c93112ea","NarrativeContent_121","<div></div>","Further Details and Clarifications on the SAE Definition","SECTION 12.2"
"12.3","b168cf00-366b-4a71-b1b7-bd55b5a473b5","NarrativeContent_122","<div></div>","Severity","SECTION 12.3"
"12.4","32e867b6-0843-4e78-8d8e-3e92f737674f","NarrativeContent_123","<div></div>","Causality","SECTION 12.4"
"13","11e45d45-26c0-430c-b2c4-4b9a80c5cbc0","NarrativeContent_124","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13"
"13.1","1abbcb4b-2221-49aa-a08e-5643209e244c","NarrativeContent_125","<div></div>","Contraception and Pregnancy Testing","SECTION 13.1"
"13.1.1","70ea7254-056d-495f-a2fc-39a395353c3b","NarrativeContent_126","<div></div>","Definitions Related to Childbearing Potential","SECTION 13.1.1"
"13.1.2","e549c250-48b7-4c26-a748-267fc9d987e5","NarrativeContent_127","<div></div>","Contraception","SECTION 13.1.2"
"13.1.3","bb233305-64ac-4083-b0df-70a84d6ad85d","NarrativeContent_128","<div></div>","Pregnancy Testing","SECTION 13.1.3"
"13.2","97482a45-3b35-4ec7-b0d6-5efad5b81a5d","NarrativeContent_129","<div></div>","Clinical Laboratory Tests","SECTION 13.2"
"13.3","f5cabc35-618f-4a8e-9086-24c68cc25ab6","NarrativeContent_130","<div></div>","Country/Region-Specific Differences","SECTION 13.3"
"13.4","dd6a8b59-3513-4a83-9823-bd3e2e6d833c","NarrativeContent_131","<div></div>","Prior Protocol Amendments","SECTION 13.4"
"14","aebfd106-f1fd-40b7-b3a8-99a59dbf7c07","NarrativeContent_132","<div></div>","APPENDIX: GLOSSARY OF TERMS","SECTION 14"
"15","d5e80c44-dabf-4346-ab47-829e58096788","NarrativeContent_133","<div></div>","APPENDIX: REFERENCES","SECTION 15"
