"id","uuid:ID","codeSystem","decode","code","instanceType","codeSystemVersion"
"Code_86","3b555430-dbe9-458d-a969-4768c6539b3e","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_87","85917ce3-23f8-4115-82cb-5248df1babed","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_88","fdb27a38-2686-4c46-92d2-19711d40f167","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_89","35512040-f82e-4d83-8e3e-548e29cc5828","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_90","b5a3467e-2c38-469a-ab64-c247fd038087","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_91","9839d502-55ea-49aa-8070-7411f580c6b2","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_92","97941825-a447-43c9-8c9f-c0504cd3f086","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_93","63a8a8c5-f5fc-44a8-ab84-808a06362233","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_94","aa245dc6-933d-416a-9fa1-2744919f9a91","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_95","cdb0192e-20bf-4cc7-a775-412bc3b572d5","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_96","b21470d7-f1cc-4709-81b6-c1a3c1e36566","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_97","9ec4fc1d-3edd-4247-9a47-ba0e56f3c660","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_98","ea15d1da-8c7e-42ea-8e88-7d094433e664","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_99","57a23abf-01c8-4439-8b9f-46e72186e8ee","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_100","d3dd9392-d1e6-424c-af85-5fefeaf5dc6d","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_101","ce9c5ead-b90b-43d4-86bf-9697e03dccdc","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_102","9e950f49-1458-4809-9a9b-040ccc075471","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_103","7231a420-7417-49da-899a-5803d1442f6d","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_104","edf90755-0cbd-4fdf-acc1-88803bed0ce7","http://www.cdisc.org","Telephone Call","C171537","Code","2023-12-15"
"Code_105","f5fe009a-10ea-493f-ad99-f2a6c948eca9","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_106","44daf3b0-9fdb-4569-bf1e-0df408ef7b76","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_107","170993e2-e2b9-4781-ab39-3ac9c332f857","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_108","b2953e6d-712b-4cc1-bb17-f73e5d30eef9","http://www.cdisc.org","Telephone Call","C171537","Code","2023-12-15"
"Code_109","235444e3-a67a-4a44-8227-24685d5404cc","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_110","3fc6143e-acb3-449c-920e-effd84c5cc8b","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_111","014dfe0c-f5d3-4e1e-b34c-387a6199dfd2","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_112","674d2033-b0ba-47b0-9487-73591e4cf554","http://www.cdisc.org","Telephone Call","C171537","Code","2023-12-15"
"Code_113","8a87745b-c919-4cd9-8393-cafe5e2e734b","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_114","748b3816-989c-4546-aa5d-29c724ca5fb1","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_115","8733c0ae-420f-477b-bc9d-dd6e0e6022b9","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_116","9f2e1449-b033-4ed1-8299-5d8c59dfb5a6","http://www.cdisc.org","Telephone Call","C171537","Code","2023-12-15"
"Code_117","d45b6098-e436-4866-b0b8-63d3754d4bf0","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_118","0a226fff-8106-4634-ae02-8ee37f503fdc","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_119","d2d79008-2378-4843-849e-4740106e0e6d","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_120","26f696ea-3e73-4e27-a36c-15c15538b9bd","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_121","eab73a7f-a834-42a9-9b86-b1f54d507377","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_122","cd59e6e2-795e-4490-abe3-f21dfcb00ca7","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
"Code_80","1b2396bb-2e72-441e-81a6-3ff2437c042d","SNOMED","CT of head without contrast","383371000119108","Code","January 31, 2018"
"Code_81","590f46f9-8aea-4c3a-ae8f-23a5debb0392","SPONSOR","Subject Supine","123","Code","12"
"Code_82","806ef853-7920-4bf0-82c7-864cf1fecee0","SPONSOR","Subject Standing","124","Code","12"
"Code_429","e49e1970-b52d-4daf-85d6-8abda2b7350a","http://www.cdisc.org","Male","C20197","Code","2023-12-15"
"Code_430","9d8386b0-1b31-4824-85f8-e32f210b4755","http://www.cdisc.org","Female","C16576","Code","2023-12-15"
"Code_431","85637e76-adea-43d4-a085-4844df258d71","http://www.cdisc.org","Sex","C28421","Code","2023-12-15"
"Code_432","63e5d685-84c3-46c3-837f-f4e5ef186241","http://www.cdisc.org","Sex","C28421","Code","2023-12-15"
"Code_433","54cb9cd0-6d51-400a-8ab7-41144d5ab286","http://www.cdisc.org","Race","C17049","Code","2023-12-15"
"Code_434","de528645-429c-45f4-9207-23f1ec732216","http://www.cdisc.org","Race","C17049","Code","2023-12-15"
"Code_435","6b121599-2d86-4e0c-892e-43f23c44de39","http://www.cdisc.org","TEMP","C174446","Code","2023-12-15"
"Code_436","deb130a5-f59a-47d6-b7c4-3fd476560a93","http://www.cdisc.org","Clinical Test Result","C77140","Code","2023-12-15"
"Code_437","1c81dbaf-14c8-44b7-9e43-67cdb7b8f96f","http://www.cdisc.org","Degree Celsius","C42559","Code","2023-12-15"
"Code_438","86e9565d-379f-483f-a23c-201b5151efe6","http://www.cdisc.org","Degree Fahrenheit","C44277","Code","2023-12-15"
"Code_439","3354bc73-b6df-4651-a6d9-16e63873cde0","http://www.cdisc.org","Kelvin","C42537","Code","2023-12-15"
"Code_440","f8ba0024-4a15-4186-8c3a-24eb760eb6fa","http://www.cdisc.org","Unit of Temperature","C44276","Code","2023-12-15"
"Code_441","07450354-159f-4338-b8be-b7c316858df1","http://www.cdisc.org","Axilla","C12674","Code","2023-12-15"
"Code_442","889a34ce-a287-4dd2-9f5c-7fe3c2fdaa8a","http://www.cdisc.org","Ear","C12394","Code","2023-12-15"
"Code_443","81ee297d-580f-4dcc-a8c3-bd78f4ff3eb5","http://www.cdisc.org","Forehead","C89803","Code","2023-12-15"
"Code_444","a854dd2f-1f3d-4adc-bc89-fa9a8266ee7f","http://www.cdisc.org","Oral Cavity","C12421","Code","2023-12-15"
"Code_445","333a259f-152e-4157-bf71-14804a48d70e","http://www.cdisc.org","Rectum","C12390","Code","2023-12-15"
"Code_446","b3c8792f-5025-4e35-a09c-0264e294c236","http://www.cdisc.org","Anatomic Site","C13717","Code","2023-12-15"
"Code_447","0b2ccb4c-0aa3-444b-aaa7-86649dc84bd5","http://www.cdisc.org","TEMP","C174446","Code","2023-12-15"
"Code_448","c8c9441c-2d06-4648-9c3e-b36366ffd871","http://www.cdisc.org","WEIGHT","C25208","Code","2023-12-15"
"Code_449","9faa6cdf-7b61-4c67-b68f-57752d92f60a","http://www.cdisc.org","Clinical Test Result","C77140","Code","2023-12-15"
"Code_450","702dfe23-4f0b-4b6d-bed3-0f61da41c990","http://www.cdisc.org","Pound","C48531","Code","2023-12-15"
"Code_451","87529755-f815-442f-9eaa-3c1217afc61c","http://www.cdisc.org","Gram","C48155","Code","2023-12-15"
"Code_452","4d97fb7c-f5e0-4d5b-994c-fd71218e7f0f","http://www.cdisc.org","Kilogram","C28252","Code","2023-12-15"
"Code_453","9d0e73be-ae7c-4ee5-975d-1897daa6adf8","http://www.cdisc.org","Unit of Weight","C48208","Code","2023-12-15"
"Code_454","81e42c0f-d928-47a6-bc90-1df51da0332f","http://www.cdisc.org","WEIGHT","C25208","Code","2023-12-15"
"Code_455","b4c4d3b7-e864-4675-a044-f88438185c3a","http://www.cdisc.org","HEIGHT","C25347","Code","2023-12-15"
"Code_456","afc16283-584f-4882-ae68-f70232ab44be","http://www.cdisc.org","Clinical Test Result","C77140","Code","2023-12-15"
"Code_457","8afea047-f326-4660-9c2c-bfad3a10de53","http://www.cdisc.org","Centimeter","C49668","Code","2023-12-15"
"Code_458","921452b7-737e-478b-bab7-8a7a3cab2c1f","http://www.cdisc.org","Inch","C48500","Code","2023-12-15"
"Code_459","ea865ab7-4f8c-40d0-9e72-7e89a2dc8f1c","http://www.cdisc.org","Meter","C41139","Code","2023-12-15"
"Code_460","0990f923-d37e-4722-9790-f41dd374ea4a","http://www.cdisc.org","Unit of Height","C168688","Code","2023-12-15"
"Code_461","fd452438-b186-4e43-bc25-7ae9ec3f05dc","http://www.cdisc.org","HEIGHT","C25347","Code","2023-12-15"
"Code_462","d85b06e1-0f5c-4c2e-9371-7f0261281aba","http://www.cdisc.org","ALT","C64433","Code","2023-12-15"
"Code_463","e615010b-fc2b-47f5-940c-4e5810fae571","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_464","7247d3b8-943b-4e9c-9821-709738ae9754","http://www.cdisc.org","Unit per Liter","C67456","Code","2023-12-15"
"Code_465","289b23e8-df70-47b1-9719-993e694cbe20","http://www.cdisc.org","Microkatal per Liter","C67397","Code","2023-12-15"
"Code_466","3c25a5bf-47fa-4791-b939-cb768820a156","http://www.cdisc.org","International Unit per Liter","C67376","Code","2023-12-15"
"Code_467","caa5ac23-cf90-42a3-be4b-990eaa85b12e","http://www.cdisc.org","Nanokatal per Liter","C70510","Code","2023-12-15"
"Code_468","a7ae81fa-baff-45e8-8e24-33f1d8cc4253","http://www.cdisc.org","Unit of Catalytic Activity Concentration","C67365","Code","2023-12-15"
"Code_469","8251a696-971c-459f-ae97-012ed9b4fe27","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_470","d0787af4-7a3a-48c5-a48b-8c02122b9370","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_471","dd2b07db-5d9d-4fdc-81f4-96cb0ddc802a","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_472","13172cd9-9215-4596-8856-63b1d232aace","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_473","ed3c4384-a38c-4390-bb73-a18392538ea8","http://www.cdisc.org","ALT","C64433","Code","2023-12-15"
"Code_474","4c33450d-2f52-4176-b1fa-58d2367a8f12","http://www.cdisc.org","ALB","C64431","Code","2023-12-15"
"Code_475","81dab92d-fcff-45f5-8d9e-dab920b54e9b","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_476","50239671-5610-45d5-9bcc-d1b608ea1e9a","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_477","f5fa9193-1d03-457b-9a10-c4fb6ffdaadf","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_478","6c6e0896-254e-4e43-be81-abb1450cc689","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_479","6b8560fb-e405-40cb-b2c4-208dc101cd8e","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_480","610cd0b2-e68e-4524-b4d2-acc31c57d382","http://www.cdisc.org","ALB","C64431","Code","2023-12-15"
"Code_481","e43f7a38-f05e-4233-89fe-a6cf14fda604","http://www.cdisc.org","ALP","C64432","Code","2023-12-15"
"Code_482","90a3504d-4ebc-410e-be98-0eb1bc5d6fbf","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_483","b379c1a0-c42d-4d72-81e9-6e979a55a04d","http://www.cdisc.org","Unit per Liter","C67456","Code","2023-12-15"
"Code_484","31486e06-5a67-4f74-9079-3b0c9ebac1ef","http://www.cdisc.org","Microkatal per Liter","C67397","Code","2023-12-15"
"Code_485","414ab7c6-f92a-4833-b2b2-883a37569cc0","http://www.cdisc.org","International Unit per Liter","C67376","Code","2023-12-15"
"Code_486","720e254f-8bf4-4185-a0c7-0a69affdc596","http://www.cdisc.org","Unit of Catalytic Activity Concentration","C67365","Code","2023-12-15"
"Code_487","b60e6415-d9bb-43d2-b558-560d88dcaee0","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_488","96c56263-2f5a-4f18-9fa3-3654bac10ca5","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_489","e09f884e-5256-4b87-bae6-117f5dc4eb8e","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_490","eb0127d0-05b2-4040-8b34-6c6b8f97c7ae","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_491","262ab0ca-470c-4e66-96ac-e5a9deab216c","http://www.cdisc.org","ALP","C64432","Code","2023-12-15"
"Code_492","f05d7dc7-ddee-4a73-ab8d-6a1471288e57","http://www.cdisc.org","AST","C64467","Code","2023-12-15"
"Code_493","0f70d466-b097-4b22-9d8f-e3b9cddad527","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_494","303ba817-744b-4f60-91d2-1944d463b17b","http://www.cdisc.org","Unit per Liter","C67456","Code","2023-12-15"
"Code_495","238e884e-b10d-4ef6-ad9d-4fe9c80dce63","http://www.cdisc.org","Microkatal per Liter","C67397","Code","2023-12-15"
"Code_496","7a919895-a33e-4727-ae4c-66c0df849580","http://www.cdisc.org","International Unit per Liter","C67376","Code","2023-12-15"
"Code_497","205651d0-8bfb-452b-9ad4-a525d3d4256a","http://www.cdisc.org","Unit of Catalytic Activity Concentration","C67365","Code","2023-12-15"
"Code_498","446faf48-d183-45de-8760-244ef75379ec","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_499","cbd3c632-c545-4876-9799-feceabfca8e5","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_500","1fa51808-04a2-4eef-bd92-689cb0a3d988","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_501","d1d98d8d-4308-4c8a-ac6b-70c81f18b760","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_502","4e0a872e-217d-465c-a706-4df21c42c047","http://www.cdisc.org","AST","C64467","Code","2023-12-15"
"Code_503","a7530540-febe-46f7-b8bf-ef955d68ad95","http://www.cdisc.org","CREAT","C64547","Code","2023-12-15"
"Code_504","15168349-7b68-46d4-9149-1539965fb6d9","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_505","553567c9-b60d-427b-89f8-032501036434","http://www.cdisc.org","Milligram per Deciliter","C67015","Code","2023-12-15"
"Code_506","0269e37b-d30a-4672-a9a2-7c7646451745","http://www.cdisc.org","Microgram per Milliliter","C64572","Code","2023-12-15"
"Code_507","29a79bf3-8fce-4a38-a0d9-038a72128b10","http://www.cdisc.org","Millimole per Liter","C64387","Code","2023-12-15"
"Code_508","dc5b36e8-a032-41b0-8130-7d5a447ae3b5","http://www.cdisc.org","Micromole per Liter","C48508","Code","2023-12-15"
"Code_509","49e003c3-733f-41c8-9179-943d98bf5bc9","http://www.cdisc.org","Unit of Concentration","C48207","Code","2023-12-15"
"Code_510","d2b9ee1e-d86f-46c9-853b-390007202de5","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_511","48d0bd7c-3ae7-4dff-b872-4024a87a4914","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_512","8dd54736-3a81-412b-afce-eab41d2ba876","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_513","0ce8a2a9-35c2-47f6-8a75-97eb319f0b8c","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_514","c923cad7-7a74-404e-a79e-0b3e1107801a","http://www.cdisc.org","CREAT","C64547","Code","2023-12-15"
"Code_515","05f57616-31ec-48f4-91c9-b0b9a845e4e0","http://www.cdisc.org","K","C64853","Code","2023-12-15"
"Code_516","7f6c552f-70df-432e-8704-37f7c8323210","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_517","ebb33b6a-73dd-4849-993c-bc716a7e569e","http://www.cdisc.org","Milliequivalent per Liter","C67474","Code","2023-12-15"
"Code_518","cc71b2fb-96e5-470f-8038-9d9b4182891a","http://www.cdisc.org","Milliequivalent per Deciliter","C67473","Code","2023-12-15"
"Code_519","57b07a61-4319-480b-b05f-443e368fe0d8","http://www.cdisc.org","Millimole per Liter","C64387","Code","2023-12-15"
"Code_520","33042502-9ac7-44cb-afce-6d6dbc8aa843","http://www.cdisc.org","Molarity Unit","C64567","Code","2023-12-15"
"Code_521","2ee94fcd-a86f-4862-8208-930db9f4ea43","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_522","c4bafe22-50f9-485a-b33b-33837f09ac20","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_523","bd4cec4f-5a5e-48a0-b9b1-03883646c820","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_524","a28f8c1c-0c7c-4dc2-91c0-1d29df2c0122","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_525","4edc6652-bf62-4be9-94ad-f9d0a5ce55d9","http://www.cdisc.org","K","C64853","Code","2023-12-15"
"Code_526","a81f1f30-00d1-4baf-a73f-a891fedd70e1","http://www.cdisc.org","SODIUM","C64809","Code","2023-12-15"
"Code_527","03f9135e-9b6f-4498-9bb1-e623d221dfa6","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_528","a7f1969f-e528-4022-a087-9fda087c5b17","http://www.cdisc.org","Milliequivalent per Liter","C67474","Code","2023-12-15"
"Code_529","98b91c7a-7b72-42b6-8cee-b209c48e06b6","http://www.cdisc.org","Milliequivalent per Deciliter","C67473","Code","2023-12-15"
"Code_530","e25d3ec8-5232-4bc7-a5ad-806067e450fa","http://www.cdisc.org","Millimole per Liter","C64387","Code","2023-12-15"
"Code_531","bdbef32a-5b13-4597-b8e2-4475868398f7","http://www.cdisc.org","Molarity Unit","C64567","Code","2023-12-15"
"Code_532","2ecf2661-8245-49f7-8a5b-d59e4c012063","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_533","59ab271b-29dd-403c-b992-cd911c2fba6c","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_534","f2281747-61a3-4058-8d3f-7092ce313377","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_535","d912fb3d-a5bc-42e7-8a6a-434c1cbfc857","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_536","dd86378b-39ad-4538-b33f-d007f37e6097","http://www.cdisc.org","SODIUM","C64809","Code","2023-12-15"
"Code_537","04749673-5d33-4f9b-be2d-95ab23d52af9","http://www.cdisc.org","HBA1C","C64849","Code","2023-12-15"
"Code_538","235dac8f-121f-4768-870c-8c025ed7cc7a","http://www.cdisc.org","Laboratory Test Result","C36292","Code","2023-12-15"
"Code_539","d163f6e1-069a-40bd-a144-563890c6efe3","http://www.cdisc.org","Gram per Deciliter","C64783","Code","2023-12-15"
"Code_540","63afdda1-2b1f-4759-9fb5-baab70de999a","http://www.cdisc.org","LBORRESU","No Concept Code","Code","2023-12-15"
"Code_541","e3853b28-1bf4-4f27-98c0-cb2245e746f3","http://www.cdisc.org","Biospecimen Type","C70713","Code","2023-12-15"
"Code_542","50f756ec-5fee-4b93-8f67-cb4f077fb86b","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_543","99ab8144-5a04-41a3-a2e4-889b5b4564d4","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_544","bf309b6a-76ad-43cd-a507-10a9aae170e9","http://www.cdisc.org","Laboratory Test Fasting Status","C83309","Code","2023-12-15"
"Code_545","04dc7921-9b6e-484e-aeba-3f70ea79de48","http://www.cdisc.org","HBA1C","C64849","Code","2023-12-15"
"Code_145","313865fa-3b02-42f0-959a-b9b7171432ed","http://www.cdisc.org","Adverse Event Verbatim Description","C78541","Code","2023-12-15"
"Code_146","52df09f7-74bc-4d65-831f-d3aa5fa4902a","http://www.cdisc.org","Adverse Event Dictionary Derived Term","C83344","Code","2023-12-15"
"Code_147","15936f86-2ba0-44ab-9b4f-bb9ddefe1925","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_148","d7e07652-5408-4610-a5ad-33c7eabb8f4b","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_149","ffe85dde-35fe-4e9b-9fde-a5cb7a895caf","http://www.cdisc.org","Adverse Event Pre-specified","C87840","Code","2023-12-15"
"Code_150","60f6f484-2467-4301-b0da-75c5cd4ed6aa","http://www.cdisc.org","Adverse Event Location","C83205","Code","2023-12-15"
"Code_151","13e2d28f-bab4-465f-a7b2-c767ff144c66","http://www.cdisc.org","Severity of Adverse Event","C53253","Code","2023-12-15"
"Code_152","0f3fec09-4014-4fc3-821c-ee02eb0ab2fa","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_153","2afc05ea-bef3-4688-aaad-289feed515dd","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_154","32f0e9c4-d268-4b22-8f50-a86b2f478c37","http://www.cdisc.org","Seriousness of Adverse Event","C53252","Code","2023-12-15"
"Code_155","1cc524f1-9b23-490e-9183-aa269d1d0750","http://www.cdisc.org","Adverse Event Action Taken with Study Treatment","C83013","Code","2023-12-15"
"Code_156","f1ce6c60-e34c-4ee6-b128-858746003dd5","http://www.cdisc.org","Other Actions taken in Response to Adverse Event","C83109","Code","2023-12-15"
"Code_157","c956c941-979b-4d9e-aaa8-24ba06485861","http://www.cdisc.org","Adverse Event Attribution to Product or Procedure","C41358","Code","2023-12-15"
"Code_158","b4cdc4ef-85e2-4fc4-b7d9-97b83c9e1926","http://www.cdisc.org","Adverse Event Relationship to Non Study Treatment","C83210","Code","2023-12-15"
"Code_159","70697929-4753-4070-bf35-47c2280fb121","http://www.cdisc.org","Adverse Event Pattern","C83208","Code","2023-12-15"
"Code_160","e49d2e9c-9edb-447f-8367-75774bd2af16","http://www.cdisc.org","Adverse Event Outcome","C49489","Code","2023-12-15"
"Code_161","9224569a-9c7c-4674-88c8-10fda8156064","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_162","60bcb6c3-e4e3-437a-9568-5c53535a25b4","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_163","d5ad8b6f-e8ee-43d6-b9b0-58a56a10757d","http://www.cdisc.org","Adverse Event Involves Cancer","C83211","Code","2023-12-15"
"Code_164","6580176f-4f02-4b28-b8d7-af73d02b9800","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_165","f244d4a6-c39d-4278-8e40-d379424e05d4","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_166","928d3221-bd58-49bf-bad5-c106c3462685","http://www.cdisc.org","Adverse Event Seriousness Due to Congenital Anomaly","C83117","Code","2023-12-15"
"Code_167","4a5d3250-0e13-4451-881f-01ccb8edb2ba","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_168","011a3b97-7017-4817-a4b6-ae7278eb3829","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_169","1e35e9b1-caba-4a36-96de-7d0f3edbd131","http://www.cdisc.org","Disabling Adverse Event","C113380","Code","2023-12-15"
"Code_170","4078ff56-57e1-43b5-90f2-d83fd9bb1c1d","http://www.cdisc.org","No","C49487","Code","2023-12-15"
"Code_171","f6255146-156f-4503-8543-b4e0d3d15913","http://www.cdisc.org","Yes","C49488","Code","2023-12-15"
"Code_172","1a240d6f-4fbc-4341-9b52-7c1f2869d7c4","http://www.cdisc.org","Death Related to Adverse Event","C48275","Code","2023-12-15"
"Code_173","195bf9f5-869e-4ced-87b0-5b63747dd380","http://www.cdisc.org","No","C49487","Code","2023-12-15"
