"reference","id","synonyms","name","instanceType","uuid:ID","label"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept","c7ea1237-8f94-4ab7-b8e5-b0af2cf6a54f","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept","7fd858b6-1c15-443d-95b5-a4d3b457c2b4","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept","3b8e4c9b-5ed5-44e1-83a1-fc111d2f877f","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']","Body Temperature","BiomedicalConcept","b3b9f6cc-0e97-43a1-a8eb-ad932fe64f3a","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']","Body Weight","BiomedicalConcept","1222ee49-ad56-4a02-85bd-693d8c5ee2f8","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']","Body Height","BiomedicalConcept","8a49a7bd-8c42-498e-b6a9-566c62c39955","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept","d910bef4-6e66-40db-b26f-60147fdef7f9","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']","Albumin Measurement","BiomedicalConcept","8faa2e25-f586-43e4-b798-f994a6ca1fa5","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept","a7cc9c9a-a605-4d7e-8592-22ef506afea6","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept","cf94b175-edb6-4de8-a38b-02e50819b898","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']","Creatinine Measurement","BiomedicalConcept","eb90cf67-4a56-4a78-af20-77863f6f1ec1","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept","6c6c0bdd-0f88-4c10-94e3-c0cb7a764d34","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept","b7637f4c-7d95-4425-a8bb-70d9b3a36225","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept","0b30fca1-faf3-4f4d-9b46-aaec802421bc","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept","4e7c4cea-783a-4b4e-b72f-f7fb839e7b47","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","","Heart Rate","BiomedicalConcept","17b8455f-8a5a-47f6-a709-fe5692cfe2d9","Heart Rate"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept","d3bd39a2-3a31-45c8-a9d7-e2a7748d6b91","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept","ac6db931-6a0d-4836-8ca4-d1d5698ae17d","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","","Heart Rate","BiomedicalConcept","46bfea89-b847-4689-aa8f-6c032e37e41b","Heart Rate"
