"name","label","id","synonyms","instanceType","uuid:ID","reference"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","da4c923e-0659-43ee-9f49-e7972c33ec56","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","42da7936-a988-45a3-b6e2-852cd377f2ef","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","0cf0e152-9192-4117-9029-d919ff5e56a2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","858a3b82-70f1-4cd4-8814-00da39531069","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","f6858feb-870b-44f0-8dd4-c121ee14ebf0","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","d120c244-d117-4687-af5d-800e0832cc81","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","87fe1469-eb70-4d00-87ab-3201b124cd4e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']","BiomedicalConcept","fca07dc2-4cf7-4877-be00-cd087a0258dd","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']","BiomedicalConcept","1ca73053-484a-4561-b781-62d635f021f1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","Height","BiomedicalConcept_6","['Height', 'Body Height']","BiomedicalConcept","70943233-2d2e-45bf-a365-e9c0ea334d7b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","e4df59a3-d6b6-4fe2-8feb-05464f19e0db","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","BiomedicalConcept","106d047c-a76b-4fa0-bb54-28c85f5844a5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","1b7da430-515c-45db-8f52-3e019f0eb142","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","b9c91cdc-89ba-4dfe-aaae-7ebbbe974d5e","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","e8ed06b4-0709-44bc-9686-d0941ec047d4","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","f22cfbf9-0e72-46c6-beb0-4f40bec0040e","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","93d7b790-aa4f-4721-9c3f-5b936bbcfa21","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","ff22cb6f-2ca8-4657-a592-f60eaee4a9ad","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","38998acf-081d-4f91-be28-a7f0c1d86116","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","Heart Rate","BiomedicalConcept_16","['Heart Rate']","BiomedicalConcept","de633064-c09c-43e4-a13c-a9ccfe50b100","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","1b0ed82c-8722-4e82-a288-502428a01732","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","67bcd49b-b649-4d25-bf3b-9e5895edbb4e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","Heart Rate","BiomedicalConcept_19","['Heart Rate']","BiomedicalConcept","2ea2dda6-241d-4418-89a8-0991b4ec4ea3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
