"decode","codeSystem","id","code","instanceType","codeSystemVersion","uuid:ID"
"Visit","http://www.cdisc.org","Code_83","C25716","Code","2023-12-15","2a679ac5-f72d-43ce-8aa6-5bd9023bf5e8"
"Clinic","http://www.cdisc.org","Code_84","C51282","Code","2023-12-15","56df88bf-100a-4aa4-ac93-4c72f4cedb52"
"In Person","http://www.cdisc.org","Code_85","C175574","Code","2023-12-15","3eb89299-e4e1-4c8b-abe3-aae017ad0971"
"Visit","http://www.cdisc.org","Code_86","C25716","Code","2023-12-15","c47005cf-8dbc-4c90-970b-4739b9abba4a"
"Clinic","http://www.cdisc.org","Code_87","C51282","Code","2023-12-15","e70dced9-25af-4c40-9eea-fb588e4ea776"
"In Person","http://www.cdisc.org","Code_88","C175574","Code","2023-12-15","4537609b-1d1a-40a6-9039-08142ea1704f"
"Visit","http://www.cdisc.org","Code_89","C25716","Code","2023-12-15","c344a7aa-7470-4ff5-807f-bbe723fcfe0e"
"Clinic","http://www.cdisc.org","Code_90","C51282","Code","2023-12-15","efa1c428-cf78-4c59-9d37-aee7ca071011"
"In Person","http://www.cdisc.org","Code_91","C175574","Code","2023-12-15","d564ff77-9bf6-43fd-bd5d-77f26c927bee"
"Visit","http://www.cdisc.org","Code_92","C25716","Code","2023-12-15","7ca62e40-365b-4a5e-9bba-860d99353757"
"Clinic","http://www.cdisc.org","Code_93","C51282","Code","2023-12-15","becd40ec-adf6-4186-9c80-dc1cef7a9712"
"In Person","http://www.cdisc.org","Code_94","C175574","Code","2023-12-15","bc0ff89f-f42e-4e19-ab01-4c3405947fa9"
"Visit","http://www.cdisc.org","Code_95","C25716","Code","2023-12-15","12ca1b77-952d-46b3-94f8-3a079f5cc814"
"Clinic","http://www.cdisc.org","Code_96","C51282","Code","2023-12-15","c2f28e11-fa62-46a5-8008-753e3151669b"
"In Person","http://www.cdisc.org","Code_97","C175574","Code","2023-12-15","8f7d3733-a16c-4eda-b7f9-933c09d43c7a"
"Visit","http://www.cdisc.org","Code_98","C25716","Code","2023-12-15","da6d92fe-84ef-476b-bdb0-3fcadece6c98"
"Clinic","http://www.cdisc.org","Code_99","C51282","Code","2023-12-15","510cae2f-e9fa-4582-a601-8f7f423bdf1c"
"In Person","http://www.cdisc.org","Code_100","C175574","Code","2023-12-15","3cc34a71-8ecf-4489-aa52-a1c5986bcdd2"
"Visit","http://www.cdisc.org","Code_101","C25716","Code","2023-12-15","64118446-e137-4fb0-b557-09c88441a340"
"Clinic","http://www.cdisc.org","Code_102","C51282","Code","2023-12-15","efae5272-4924-4ff9-9bef-7467e325cba8"
"In Person","http://www.cdisc.org","Code_103","C175574","Code","2023-12-15","57a5265b-05c3-47ca-a883-2cf2c02654da"
"Telephone Call","http://www.cdisc.org","Code_104","C171537","Code","2023-12-15","39052b69-4127-41c7-ab93-2312bea5542f"
"Visit","http://www.cdisc.org","Code_105","C25716","Code","2023-12-15","ad06b530-2656-4d98-9b46-2ebd2dfa4a59"
"Clinic","http://www.cdisc.org","Code_106","C51282","Code","2023-12-15","8c1ddc93-3197-4cfc-827c-c4f645ebee57"
"In Person","http://www.cdisc.org","Code_107","C175574","Code","2023-12-15","e186a96b-4214-4b96-9723-01a370129580"
"Telephone Call","http://www.cdisc.org","Code_108","C171537","Code","2023-12-15","6e3d46cb-d89d-44c3-acb9-f7a3aa3a3d55"
"Visit","http://www.cdisc.org","Code_109","C25716","Code","2023-12-15","1a80b68c-c2b9-4b76-8b86-077ec2389f89"
"Clinic","http://www.cdisc.org","Code_110","C51282","Code","2023-12-15","9cc21da4-efd4-4d22-b642-23f1ad802943"
"In Person","http://www.cdisc.org","Code_111","C175574","Code","2023-12-15","f16c87af-c25e-49d7-9abe-3c4eae79272b"
"Telephone Call","http://www.cdisc.org","Code_112","C171537","Code","2023-12-15","1e2048f2-3400-4133-a432-9df4589c1da5"
"Visit","http://www.cdisc.org","Code_113","C25716","Code","2023-12-15","aeeb7e5f-ef7b-4a4a-8491-ac34912b1ec0"
"Clinic","http://www.cdisc.org","Code_114","C51282","Code","2023-12-15","fa467639-709b-44a6-b833-cdcc7fd1af2d"
"In Person","http://www.cdisc.org","Code_115","C175574","Code","2023-12-15","c7db7e17-e785-4524-8a3c-9c1326b8793c"
"Telephone Call","http://www.cdisc.org","Code_116","C171537","Code","2023-12-15","393d3f35-dd78-4d6c-9770-45309f00e04c"
"Visit","http://www.cdisc.org","Code_117","C25716","Code","2023-12-15","3630c152-af13-4421-a717-9cbc1470770d"
"Clinic","http://www.cdisc.org","Code_118","C51282","Code","2023-12-15","08e2c1c4-c94f-4599-bef9-ba0db2a03838"
"In Person","http://www.cdisc.org","Code_119","C175574","Code","2023-12-15","9af1e7fa-174a-435b-bccf-4616256b2b2e"
"Visit","http://www.cdisc.org","Code_120","C25716","Code","2023-12-15","23f2c471-6316-4a48-b966-7a284e6e6c5d"
"Clinic","http://www.cdisc.org","Code_121","C51282","Code","2023-12-15","4351c1fc-5540-420f-bc60-083c02a6d657"
"In Person","http://www.cdisc.org","Code_122","C175574","Code","2023-12-15","fb7ba18b-e0eb-4d6b-839d-3ddd83305cb4"
"CT of head without contrast","SNOMED","Code_80","383371000119108","Code","January 31, 2018","06491d6f-d4f7-4d0c-bd46-7bef37e4b1d0"
"Subject Supine","SPONSOR","Code_81","123","Code","12","57c008de-6e3b-45e2-8294-163f7a874be4"
"Subject Standing","SPONSOR","Code_82","124","Code","12","a7886cf8-a8a1-41f8-9879-cb2c36c82c8e"
"Dictionary-derived Term","http://www.cdisc.org","Code_429","C82977","Code","2023-12-15","49a01cee-4482-45aa-92cb-e57fd0ff4056"
"Reported Event Term","http://www.cdisc.org","Code_430","C82571","Code","2023-12-15","090f8bec-663e-4e1b-ba1c-6d71289133f4"
"Observation Start Date Time","http://www.cdisc.org","Code_431","C82517","Code","2023-12-15","4d973fcd-84b2-4ac6-9974-17abe4ed23a8"
"Informed Consent","http://www.cdisc.org","Code_432","C16735","Code","2023-12-15","75826bea-bef7-4954-bf19-367d40e1314c"
"Male","http://www.cdisc.org","Code_433","C20197","Code","2023-12-15","2796eaab-18a8-49aa-82c2-ffad64e22441"
"Female","http://www.cdisc.org","Code_434","C16576","Code","2023-12-15","bf96fc50-6061-4b27-9c98-7140204c29c6"
"Sex","http://www.cdisc.org","Code_435","C28421","Code","2023-12-15","27cd3a62-e3a6-471c-bacd-1be7f64ec246"
"Sex","http://www.cdisc.org","Code_436","C28421","Code","2023-12-15","2ff56fab-7eee-479f-b0ae-f997521580bf"
"Race","http://www.cdisc.org","Code_437","C17049","Code","2023-12-15","bd46a06d-7548-4208-9e84-2621b03d2b35"
"Race","http://www.cdisc.org","Code_438","C17049","Code","2023-12-15","0dbd4c5b-7d00-4b2d-bd15-f33368089ccc"
"TEMP","http://www.cdisc.org","Code_439","C174446","Code","2023-12-15","dfa35bc5-9466-4aa8-8cb1-08d2c234aeec"
"Clinical Test Result","http://www.cdisc.org","Code_440","C77140","Code","2023-12-15","05d03c1b-f101-412d-9cc0-16d6b8c10050"
"Degree Celsius","http://www.cdisc.org","Code_441","C42559","Code","2023-12-15","cf809562-5bdf-41f1-b7a8-5bf408d34fc0"
"Degree Fahrenheit","http://www.cdisc.org","Code_442","C44277","Code","2023-12-15","f7d68116-f7b2-4788-9bad-4fc9a37fee06"
"Kelvin","http://www.cdisc.org","Code_443","C42537","Code","2023-12-15","0b4f0972-991f-4e8f-80f3-9fe29c1753c9"
"Unit of Temperature","http://www.cdisc.org","Code_444","C44276","Code","2023-12-15","08bacc8d-b484-416d-918e-ce3247f71676"
"Axilla","http://www.cdisc.org","Code_445","C12674","Code","2023-12-15","08080208-9b30-4631-b954-eaca47e2c538"
"Ear","http://www.cdisc.org","Code_446","C12394","Code","2023-12-15","973b349c-b1b7-4a04-9d6e-87ae8ae0c575"
"Forehead","http://www.cdisc.org","Code_447","C89803","Code","2023-12-15","96527471-5c7f-487e-a099-4c17074099cd"
"Oral Cavity","http://www.cdisc.org","Code_448","C12421","Code","2023-12-15","b856edff-f250-4568-a707-ac7e33d1d40c"
"Rectum","http://www.cdisc.org","Code_449","C12390","Code","2023-12-15","1a77c815-7356-4b8e-9097-93cb1e17b99d"
"Anatomic Site","http://www.cdisc.org","Code_450","C13717","Code","2023-12-15","dd234d93-aa51-46e0-b35e-97b6fd9a9df8"
"TEMP","http://www.cdisc.org","Code_451","C174446","Code","2023-12-15","91b995d3-f747-4243-a477-048cb5804523"
"WEIGHT","http://www.cdisc.org","Code_452","C25208","Code","2023-12-15","04110374-68c0-418c-98b2-7c50ee77f207"
"Clinical Test Result","http://www.cdisc.org","Code_453","C77140","Code","2023-12-15","77b2ec0e-33e0-45c9-8be6-a7dae4d68b37"
"Pound","http://www.cdisc.org","Code_454","C48531","Code","2023-12-15","a4c25cbb-73dd-4017-bb1c-e024df37f1bd"
"Gram","http://www.cdisc.org","Code_455","C48155","Code","2023-12-15","3b45825e-cb2b-4378-b4b8-57558948ddf6"
"Kilogram","http://www.cdisc.org","Code_456","C28252","Code","2023-12-15","e689ade1-926a-45d6-a419-f5768807e31f"
"Unit of Weight","http://www.cdisc.org","Code_457","C48208","Code","2023-12-15","cdf87418-444e-4beb-b65e-2ed7f7969351"
"WEIGHT","http://www.cdisc.org","Code_458","C25208","Code","2023-12-15","808096f7-2e46-486d-b0e5-1037fc8c858a"
"HEIGHT","http://www.cdisc.org","Code_459","C25347","Code","2023-12-15","0b1dc0e8-4c9e-4c14-9e84-8f4caaf9e708"
"Clinical Test Result","http://www.cdisc.org","Code_460","C77140","Code","2023-12-15","fbdcb901-c2a4-4bc5-bb73-8a4cbdbf9536"
"Centimeter","http://www.cdisc.org","Code_461","C49668","Code","2023-12-15","c7cf6b00-4d91-40e9-9ab3-c70b30163b26"
"Inch","http://www.cdisc.org","Code_462","C48500","Code","2023-12-15","e80444d8-a2e9-474f-841d-58911af083c6"
"Meter","http://www.cdisc.org","Code_463","C41139","Code","2023-12-15","576754cd-7d0d-4d39-8fc4-7197093f5ea1"
"Unit of Height","http://www.cdisc.org","Code_464","C168688","Code","2023-12-15","5cf7518f-0dd8-4aac-8264-301514dbb0e5"
"HEIGHT","http://www.cdisc.org","Code_465","C25347","Code","2023-12-15","49244e94-524e-46b2-8499-27ed08fcd5d9"
"ALT","http://www.cdisc.org","Code_466","C64433","Code","2023-12-15","60ab8aa0-3b8a-4eeb-9eb5-3eca011a74fe"
"Laboratory Test Result","http://www.cdisc.org","Code_467","C36292","Code","2023-12-15","71f25e5b-7220-4610-9b31-fe91fd4a2757"
"Unit per Liter","http://www.cdisc.org","Code_468","C67456","Code","2023-12-15","c52edf2e-40a7-444f-8c00-4f0ef01a3896"
"Microkatal per Liter","http://www.cdisc.org","Code_469","C67397","Code","2023-12-15","35a98655-d9c3-4257-95b5-bfe4e5eddb76"
"International Unit per Liter","http://www.cdisc.org","Code_470","C67376","Code","2023-12-15","f5e70de4-a97c-41e6-aeba-42792cf9b26c"
"Nanokatal per Liter","http://www.cdisc.org","Code_471","C70510","Code","2023-12-15","d35b883b-8412-4ff3-8e28-5841b9ef6863"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_472","C67365","Code","2023-12-15","a69babc4-f51c-412d-b935-8b1cb11aecc9"
"Biospecimen Type","http://www.cdisc.org","Code_473","C70713","Code","2023-12-15","707c4110-6355-42dc-96f0-fec40a51eb4d"
"No","http://www.cdisc.org","Code_474","C49487","Code","2023-12-15","5cde9e6a-1429-424a-8d2f-164c31dd431d"
"Yes","http://www.cdisc.org","Code_475","C49488","Code","2023-12-15","6489f6b1-f74c-42b6-95ef-9ce687000ec9"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_476","C83309","Code","2023-12-15","63b59160-812c-4bda-a998-f6eced276099"
"ALT","http://www.cdisc.org","Code_477","C64433","Code","2023-12-15","bd529415-8c67-4381-bef9-a9f0fb337320"
"ALB","http://www.cdisc.org","Code_478","C64431","Code","2023-12-15","a738a971-5afc-4a66-9e6e-91ddce1a33b4"
"Laboratory Test Result","http://www.cdisc.org","Code_479","C36292","Code","2023-12-15","9d3b0734-613f-4afa-a13b-74d4a3d66977"
"Biospecimen Type","http://www.cdisc.org","Code_480","C70713","Code","2023-12-15","59eacc93-e280-407b-9a8b-8887e89a9a00"
"No","http://www.cdisc.org","Code_481","C49487","Code","2023-12-15","c4a247e0-be19-424e-acfe-d174f26f0d77"
"Yes","http://www.cdisc.org","Code_482","C49488","Code","2023-12-15","1bb12c8d-de3e-48b3-a231-7d9177386d55"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_483","C83309","Code","2023-12-15","fa830e97-65fb-464c-8e47-b423c26dfd51"
"ALB","http://www.cdisc.org","Code_484","C64431","Code","2023-12-15","676c11ef-1e02-47bb-a330-29e513783a3c"
"ALP","http://www.cdisc.org","Code_485","C64432","Code","2023-12-15","cb1b7270-2628-4605-b033-44fe8aefe677"
"Laboratory Test Result","http://www.cdisc.org","Code_486","C36292","Code","2023-12-15","d670ec63-b9c8-47ab-a1ee-17d504601477"
"Unit per Liter","http://www.cdisc.org","Code_487","C67456","Code","2023-12-15","b8bda8f8-2342-4451-a0c4-08258b5ee642"
"Microkatal per Liter","http://www.cdisc.org","Code_488","C67397","Code","2023-12-15","fe94a725-acdf-496b-9a58-41469cdf0672"
"International Unit per Liter","http://www.cdisc.org","Code_489","C67376","Code","2023-12-15","2836eba5-ee8c-4aa5-abda-fb231c45123a"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_490","C67365","Code","2023-12-15","d2f8fafb-a850-4cfb-a378-012c288307e4"
"Biospecimen Type","http://www.cdisc.org","Code_491","C70713","Code","2023-12-15","de7e6658-19e9-4b7c-a1bf-238aeb5ee8bb"
"No","http://www.cdisc.org","Code_492","C49487","Code","2023-12-15","ebf93036-b343-4307-aa98-7cab6eca3da6"
"Yes","http://www.cdisc.org","Code_493","C49488","Code","2023-12-15","31bdbaf2-4f37-4f85-af83-1964a80d47b7"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_494","C83309","Code","2023-12-15","42c9e22d-4959-4a32-9570-58b22c996023"
"ALP","http://www.cdisc.org","Code_495","C64432","Code","2023-12-15","e9831abd-022d-4d6f-bebe-c20e5ac94162"
"AST","http://www.cdisc.org","Code_496","C64467","Code","2023-12-15","219fc0d2-9ab0-46f3-9a83-b8413d58921c"
"Laboratory Test Result","http://www.cdisc.org","Code_497","C36292","Code","2023-12-15","22332bf0-2422-4576-9203-607eacec0646"
"Unit per Liter","http://www.cdisc.org","Code_498","C67456","Code","2023-12-15","18413629-d8ba-49ea-92fe-c19a874a46e3"
"Microkatal per Liter","http://www.cdisc.org","Code_499","C67397","Code","2023-12-15","9d65c039-f6be-4ef0-a5c1-91062862944e"
"International Unit per Liter","http://www.cdisc.org","Code_500","C67376","Code","2023-12-15","11ac2f71-6042-47b5-b6e0-48b80aa565d3"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_501","C67365","Code","2023-12-15","2519d00a-69a4-456c-8b54-95f147d80f4e"
"Biospecimen Type","http://www.cdisc.org","Code_502","C70713","Code","2023-12-15","9ef93861-28f0-4f59-86da-fa292c8a7a77"
"No","http://www.cdisc.org","Code_503","C49487","Code","2023-12-15","350eda12-fab5-4775-9472-a968fe167649"
"Yes","http://www.cdisc.org","Code_504","C49488","Code","2023-12-15","1135507a-626f-4e63-8864-798e84d8778b"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_505","C83309","Code","2023-12-15","8a8be9bf-9f37-40d0-9e26-d0e9ed499d17"
"AST","http://www.cdisc.org","Code_506","C64467","Code","2023-12-15","148efdcb-3451-45a7-a32e-96236dcdd27b"
"CREAT","http://www.cdisc.org","Code_507","C64547","Code","2023-12-15","2eb442ca-662c-44d5-81b9-1fa180ddc156"
"Laboratory Test Result","http://www.cdisc.org","Code_508","C36292","Code","2023-12-15","d684d0fb-d1e2-47a7-b290-269f529c6c96"
"Milligram per Deciliter","http://www.cdisc.org","Code_509","C67015","Code","2023-12-15","3f9458e8-8a0a-45a2-a754-56d892dcf558"
"Microgram per Milliliter","http://www.cdisc.org","Code_510","C64572","Code","2023-12-15","7e98c6e2-f60f-4ca8-864f-2d1ec23b7c27"
"Millimole per Liter","http://www.cdisc.org","Code_511","C64387","Code","2023-12-15","943780c3-a83c-4c7d-a6f0-0a4e1bfc2a90"
"Micromole per Liter","http://www.cdisc.org","Code_512","C48508","Code","2023-12-15","40a7d422-92c0-4d26-ac84-5b964d4796b0"
"Unit of Concentration","http://www.cdisc.org","Code_513","C48207","Code","2023-12-15","e9fe6e1a-86b3-4f37-9e5e-f498b4231c96"
"Biospecimen Type","http://www.cdisc.org","Code_514","C70713","Code","2023-12-15","6ab019b7-5a85-4c8c-a810-0983c7a865ce"
"No","http://www.cdisc.org","Code_515","C49487","Code","2023-12-15","a3a2cd1c-dd34-4094-89a1-f2d84f01bd90"
"Yes","http://www.cdisc.org","Code_516","C49488","Code","2023-12-15","a7d965ba-a324-4896-96a5-faba83523cba"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_517","C83309","Code","2023-12-15","d61509f2-f7c5-44e5-a15d-884a1946aafc"
"CREAT","http://www.cdisc.org","Code_518","C64547","Code","2023-12-15","f9545840-a759-43df-9272-1db7d1e63ae7"
"K","http://www.cdisc.org","Code_519","C64853","Code","2023-12-15","7ace6dee-de7e-4e71-8091-4e3b42df22ce"
"Laboratory Test Result","http://www.cdisc.org","Code_520","C36292","Code","2023-12-15","d5eccbfc-0a76-4dc2-ae66-dca384e2925f"
"Milliequivalent per Liter","http://www.cdisc.org","Code_521","C67474","Code","2023-12-15","7e4139df-b8ea-4be1-8c2a-d747204d3176"
"Milliequivalent per Deciliter","http://www.cdisc.org","Code_522","C67473","Code","2023-12-15","94571624-601b-49d1-97ae-f4ef90f05ae4"
"Millimole per Liter","http://www.cdisc.org","Code_523","C64387","Code","2023-12-15","7ecd7f4f-5bc6-42a6-8dd9-4110ca93cc8f"
"Molarity Unit","http://www.cdisc.org","Code_524","C64567","Code","2023-12-15","e0ad0aed-2624-4675-bfd3-8a7d3f32f632"
"Biospecimen Type","http://www.cdisc.org","Code_525","C70713","Code","2023-12-15","f4c07b14-73d5-4783-b909-520e82e85299"
"No","http://www.cdisc.org","Code_526","C49487","Code","2023-12-15","7801f4a8-d6bb-4f5f-93fc-db47d446958e"
"Yes","http://www.cdisc.org","Code_527","C49488","Code","2023-12-15","c510bac1-e684-48d0-820d-8f055fd7c3c5"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_528","C83309","Code","2023-12-15","c872b894-df94-4d61-a74c-36afc8bb5e9a"
"K","http://www.cdisc.org","Code_529","C64853","Code","2023-12-15","b492f338-e772-4158-8153-9ec76a6640d7"
"SODIUM","http://www.cdisc.org","Code_530","C64809","Code","2023-12-15","7bddff15-4dd0-44b3-9809-57a6155483fd"
"Laboratory Test Result","http://www.cdisc.org","Code_531","C36292","Code","2023-12-15","cae1113d-e180-48a0-8c86-c5010885f25b"
"Milliequivalent per Liter","http://www.cdisc.org","Code_532","C67474","Code","2023-12-15","0992d473-2aa3-4410-b7d0-e06f45293783"
"Milliequivalent per Deciliter","http://www.cdisc.org","Code_533","C67473","Code","2023-12-15","fc179dac-3e4f-4f97-8e0f-0b8e64e8db77"
"Millimole per Liter","http://www.cdisc.org","Code_534","C64387","Code","2023-12-15","4972a338-dc65-40d0-af23-ead894b701a1"
"Molarity Unit","http://www.cdisc.org","Code_535","C64567","Code","2023-12-15","37ac4015-d53d-4874-97c2-010fa2f15927"
"Biospecimen Type","http://www.cdisc.org","Code_536","C70713","Code","2023-12-15","5f37aed9-6d1f-4262-ba34-aa3bd43d111e"
"No","http://www.cdisc.org","Code_537","C49487","Code","2023-12-15","69e9c2c6-146e-40d7-b964-9dada13731a6"
"Yes","http://www.cdisc.org","Code_538","C49488","Code","2023-12-15","127866ee-61a5-43d6-b2ad-668b13c4c22f"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_539","C83309","Code","2023-12-15","c938db29-a5e1-4ee8-b7fc-bc623053ee49"
"SODIUM","http://www.cdisc.org","Code_540","C64809","Code","2023-12-15","32b53731-9e72-4b9f-a72e-6a8b51f190a2"
"HBA1C","http://www.cdisc.org","Code_541","C64849","Code","2023-12-15","23228516-e5d7-4345-908f-04ea525f7e8c"
"Laboratory Test Result","http://www.cdisc.org","Code_542","C36292","Code","2023-12-15","29404ffb-d27a-43b2-95fe-3ae25ec14254"
"Gram per Deciliter","http://www.cdisc.org","Code_543","C64783","Code","2023-12-15","f145d8b8-49fe-464d-8ab1-fb479a96006f"
"LBORRESU","http://www.cdisc.org","Code_544","No Concept Code","Code","2023-12-15","90f558e4-4fd2-4e0c-8b53-c79e0de6c0ff"
"Biospecimen Type","http://www.cdisc.org","Code_545","C70713","Code","2023-12-15","836bf3a1-82bf-4c92-bc1f-a2fc9b93ea1b"
"No","http://www.cdisc.org","Code_546","C49487","Code","2023-12-15","776f4b76-8bdd-4a25-a997-21cf57096858"
"Yes","http://www.cdisc.org","Code_547","C49488","Code","2023-12-15","475f290b-6e9a-4e93-a2ef-5b1fece678e3"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_548","C83309","Code","2023-12-15","93bd0f3d-1996-4b2d-a42b-47ff45c6cd27"
"HBA1C","http://www.cdisc.org","Code_549","C64849","Code","2023-12-15","69d8a593-0544-4c23-95c0-56dd79c0af30"
"Adverse Event Verbatim Description","http://www.cdisc.org","Code_145","C78541","Code","2023-12-15","992fa453-20f3-45c1-a49e-d1c3b4b9edfd"
"Adverse Event Dictionary Derived Term","http://www.cdisc.org","Code_146","C83344","Code","2023-12-15","32c52134-4460-460b-a421-a66979511731"
"No","http://www.cdisc.org","Code_147","C49487","Code","2023-12-15","44893b69-8d53-405f-b355-2332f14c8f58"
"Yes","http://www.cdisc.org","Code_148","C49488","Code","2023-12-15","554beb46-5eca-4f1e-af5c-0a918157f851"
"Adverse Event Pre-specified","http://www.cdisc.org","Code_149","C87840","Code","2023-12-15","3cc4c705-8cc9-495c-8154-54096cb266af"
"Adverse Event Location","http://www.cdisc.org","Code_150","C83205","Code","2023-12-15","7047e293-bbbf-4e03-84fa-b36cddb4ca3b"
"Severity of Adverse Event","http://www.cdisc.org","Code_151","C53253","Code","2023-12-15","89d3c97c-edda-48a2-a427-2066d99c7fdb"
"No","http://www.cdisc.org","Code_152","C49487","Code","2023-12-15","33753d27-1f0c-48c6-a70c-9efd431835fd"
"Yes","http://www.cdisc.org","Code_153","C49488","Code","2023-12-15","8efae0ad-fd79-44c4-85c2-69cbdbc0be1d"
"Seriousness of Adverse Event","http://www.cdisc.org","Code_154","C53252","Code","2023-12-15","4afed42a-e4e9-46b6-804d-722baf5f4247"
"Adverse Event Action Taken with Study Treatment","http://www.cdisc.org","Code_155","C83013","Code","2023-12-15","3f7c9e57-3388-441c-bca5-a9243e573d93"
"Other Actions taken in Response to Adverse Event","http://www.cdisc.org","Code_156","C83109","Code","2023-12-15","50cac3a6-75ea-46bb-9c62-036c2a70cb91"
"Adverse Event Attribution to Product or Procedure","http://www.cdisc.org","Code_157","C41358","Code","2023-12-15","77e0f638-1f6a-4624-b950-b2da966eb7a0"
"Adverse Event Relationship to Non Study Treatment","http://www.cdisc.org","Code_158","C83210","Code","2023-12-15","783f89fa-9f11-4661-a6b8-cafeb39171ec"
"Adverse Event Pattern","http://www.cdisc.org","Code_159","C83208","Code","2023-12-15","3cfd2dcb-c731-458e-a166-6492ed965f2b"
"Adverse Event Outcome","http://www.cdisc.org","Code_160","C49489","Code","2023-12-15","088bc1b5-63fd-4c35-8100-7b6c485249e7"
"No","http://www.cdisc.org","Code_161","C49487","Code","2023-12-15","cfcbdadd-5eee-4396-921b-76be13bce1ae"
"Yes","http://www.cdisc.org","Code_162","C49488","Code","2023-12-15","d2bacac5-9ed5-4893-a063-21996a729f42"
"Adverse Event Involves Cancer","http://www.cdisc.org","Code_163","C83211","Code","2023-12-15","e7611c3b-59f1-4edb-80c8-f353d663599e"
"No","http://www.cdisc.org","Code_164","C49487","Code","2023-12-15","7caa86a1-ee50-466e-93ab-602ba89b6726"
"Yes","http://www.cdisc.org","Code_165","C49488","Code","2023-12-15","abba6958-74c1-411f-a483-3914cfba9d74"
"Adverse Event Seriousness Due to Congenital Anomaly","http://www.cdisc.org","Code_166","C83117","Code","2023-12-15","503a8f13-cfad-4421-b18a-235dbe4bd783"
"No","http://www.cdisc.org","Code_167","C49487","Code","2023-12-15","93acaed1-ab8e-406d-801c-a1768a879f07"
"Yes","http://www.cdisc.org","Code_168","C49488","Code","2023-12-15","d7f7d3c0-f0e8-4b75-98a9-285f29df4a96"
