"decode","codeSystem","uuid:ID","codeSystemVersion","id","code"
"Male","http://www.cdisc.org","492894c0-1c86-49e0-87c6-52955d24291d","2023-09-29","Code_72","C20197"
"Female","http://www.cdisc.org","15a50eeb-2a72-4446-84b8-f4678b22a607","2023-09-29","Code_73","C16576"
"Sex","NCI Thesaurus","307adabb-bd8c-4d57-94ec-e29c1133ee9c","","Code_74","C28421"
"Sex","NCI Thesaurus","3082a3cd-9b24-424b-afec-ed7f28db43ed","","Code_71","C28421"
"Race","NCI Thesaurus","9f633564-1a54-48b8-8061-16436bd50e9c","","Code_76","C17049"
"Race","NCI Thesaurus","02be4d4f-10d3-4dcb-b03b-7a658e36b54b","","Code_75","C17049"
"Vital Signs Result","NCI Thesaurus","ac333c22-22cf-4ca2-a745-36eaca691185","","Code_78","C173522"
"Kilogram","http://www.cdisc.org","75ca0578-ce9d-4b92-856f-a0d3ed703b6d","2023-09-29","Code_79","C28252"
"Gram","http://www.cdisc.org","39e73781-5a38-4603-b094-015391be5206","2023-09-29","Code_80","C48155"
"Pound","http://www.cdisc.org","4917a642-5d84-43f6-9f21-9f981bff1a1a","2023-09-29","Code_81","C48531"
"Unit of Weight","NCI Thesaurus","0b65c89a-9e63-4328-8a2f-63a62c990ab8","","Code_82","C48208"
"Body Weight","NCI Thesaurus","e6ef1804-a5d1-4079-8bdc-7e4b1c3bc225","","Code_77","C81328"
"Active Comparator Arm","http://www.cdisc.org","587c49fd-80a2-47b8-b7e4-33930cdfe5fa","2023-09-29","Code_31","C174267"
"Data Generated Within Study","http://www.cdisc.org","3d0223cc-a0ae-4d6b-8153-2bca2fffa2ea","2023-09-29","Code_32","C188866"
"Placebo Comparator Arm","http://www.cdisc.org","5790d0a8-48c8-4814-abd4-308930af4e79","2023-09-29","Code_33","C174268"
"Data Generated Within Study","http://www.cdisc.org","f57864e7-e07e-4f27-b7e4-aaa45968c990","2023-09-29","Code_34","C188866"
"Open Label Study","http://www.cdisc.org","3383474a-d1f8-4e00-bf75-326afac2b4b5","2023-09-29","Code_41","C49659"
"Trial Screening","http://www.cdisc.org","e81afa70-9852-4670-b9ad-9cba8dfb8073","2023-09-29","Code_35","C48262"
"Baseline Epoch","http://www.cdisc.org","c37e2b87-1d20-4d9c-ac1c-5473b2134b1c","2023-09-29","Code_36","C125938"
"Treatment Epoch","http://www.cdisc.org","8e499f05-8532-4dc3-af02-16d8cbb278ce","2023-09-29","Code_37","C101526"
"Clinical Study Follow-up","http://www.cdisc.org","ccd4d1a7-a94f-452f-9140-af0aa386a592","2023-09-29","Code_38","C99158"
"Indication1","SNOMED","c886d9d9-8ecd-4fa7-acb4-3177f78d1146","January 31, 2018","Code_83","12345"
"Indication2","SNOMED","46b5163a-4a3e-41af-b846-924a2b19f301","January 31, 2018","Code_84","345678"
"role1","M11","f3e17ae1-c02d-45b9-932d-a0777959f123","None set","Code_90","role1"
"Pharmacologic Substance","http://www.cdisc.org","acd9535e-5219-4593-b070-631c5349c3f1","2023-09-29","Code_91","C1909"
"Day","http://www.cdisc.org","b8cb43be-f353-4fe7-86cd-6e8e7889cc29","2023-09-29","Code_94","C25301"
"B","SPONSOR","b8e50cc4-1872-4875-ae0e-ce8891422ae3","12","Code_89","A"
"Percentage","http://www.cdisc.org","1c14e1c9-3dca-4780-8de9-eacabdc9ff0c","2023-09-29","Code_85","C25613"
"Milligram","http://www.cdisc.org","62b4f834-543f-47fb-8508-e852077efc39","2023-09-29","Code_87","C28253"
"Dental Route of Administration","http://www.cdisc.org","38f2bf24-43f9-4bb1-bbd3-7714ad16d869","2023-09-29","Code_86","C38197"
"Ten Days Per Month","http://www.cdisc.org","7ddc8fa4-73ae-4a45-b7be-888aa9bd8411","2023-09-29","Code_88","C139179"
"desig_1","M11","cc90ae8a-8e4c-4499-8f86-8cdb3908f761","None set","Code_93","desig1"
"B","FDA","b780f586-300f-4c8a-8034-3dd74440c8e2","None set","Code_92","A"
"role2","M11","4b6491e3-de12-4bb8-a2df-a4a5459b5d77","None set","Code_100","role2"
"Pharmacologic Substance","http://www.cdisc.org","494c12f5-4d0b-41ce-b291-8810b0ee863e","2023-09-29","Code_101","C1909"
"Day","http://www.cdisc.org","a73de7aa-01bc-4201-b349-7e1f0793b524","2023-09-29","Code_104","C25301"
"B","SPONSOR","3b9dcd26-a99e-4487-b30a-1b2c8254e29c","12","Code_99","A"
"Percentage","http://www.cdisc.org","634c0322-4e2f-4829-9309-6976693628e1","2023-09-29","Code_95","C25613"
"Milligram","http://www.cdisc.org","6bc6e894-48d0-4576-86ac-867b1e56d964","2023-09-29","Code_97","C28253"
"Dental Route of Administration","http://www.cdisc.org","6ce44564-8022-4ccc-bf69-fafb576893b4","2023-09-29","Code_96","C38197"
"Ten Days Per Month","http://www.cdisc.org","5d0be98b-2eeb-48d9-ba58-915ea58e99ab","2023-09-29","Code_98","C139179"
"desig_2","M11","ee0e9937-7397-408b-8a06-e7648fcb569a","None set","Code_103","desig2"
"B","FDA","5688833c-be9c-40be-b4c2-0e360b2412f7","None set","Code_102","A"
"Trial Primary Objective","http://www.cdisc.org","3e324093-5019-405b-a3bd-432f0752bac1","2023-09-29","Code_111","C85826"
"Primary Endpoint","http://www.cdisc.org","87f1b273-f82c-4d83-ac48-9c9e862a8529","2023-09-29","Code_110","C94496"
"Trial Secondary Objective","http://www.cdisc.org","0a705305-21ca-4165-87da-f34fb2824eed","2023-09-29","Code_113","C85827"
"Secondary Endpoint","http://www.cdisc.org","d24a15aa-d228-4939-8f42-3227c2739bc2","2023-09-29","Code_112","C139173"
"Secondary Endpoint","http://www.cdisc.org","93e612f4-7c07-4a14-ad65-3b6f6a4483ed","2023-09-29","Code_114","C139173"
"Secondary Endpoint","http://www.cdisc.org","493081a6-2206-448e-add4-5e4af22712c3","2023-09-29","Code_115","C139173"
"Secondary Endpoint","http://www.cdisc.org","53c59ed7-2670-4f6c-ae28-f9650c204d3c","2023-09-29","Code_116","C139173"
"Secondary Endpoint","http://www.cdisc.org","f27c3755-caab-4e2b-8a26-795ad61591af","2023-09-29","Code_117","C139173"
"Secondary Endpoint","http://www.cdisc.org","334b2fe8-5f0e-4461-b9a4-ea1e913513fd","2023-09-29","Code_118","C139173"
"Secondary Endpoint","http://www.cdisc.org","46ca1403-fd8d-422d-92a7-7e4941427abc","2023-09-29","Code_119","C139173"
"Secondary Endpoint","http://www.cdisc.org","66b49288-d015-4efa-8e1b-d711e5185a47","2023-09-29","Code_120","C139173"
"Secondary Endpoint","http://www.cdisc.org","85522e09-b7b0-45eb-b2d7-f9a4eb8682ef","2023-09-29","Code_121","C139173"
"Secondary Endpoint","http://www.cdisc.org","1b4df0f2-9ec6-453f-ab92-e82da7717855","2023-09-29","Code_122","C139173"
"Secondary Endpoint","http://www.cdisc.org","ab106fd3-d459-480a-b63d-3e22bb8eb108","2023-09-29","Code_123","C139173"
"Before","http://www.cdisc.org","71cdbe98-5bfe-4a93-bfd5-4f688a445241","2023-09-29","Code_48","C201264"
"Start to Start","http://www.cdisc.org","0206ddd6-9f95-460b-8ea1-b4c777937e0f","2023-09-29","Code_50","C201265"
"Before","http://www.cdisc.org","311b9d25-d610-47c6-8808-fd9967d5f1aa","2023-09-29","Code_53","C201264"
"Start to Start","http://www.cdisc.org","dad7da5f-4e3f-4e75-a9fc-dc03d39c49d0","2023-09-29","Code_55","C201265"
"Fixed Reference","http://www.cdisc.org","4052f6c2-eb42-44b1-bcc8-40eed8ba3c6d","2023-09-29","Code_56","C201264"
"Start to Start","http://www.cdisc.org","a1bfe317-7850-4e46-aacf-fedc40f1e0f6","2023-09-29","Code_60","C201265"
"After","http://www.cdisc.org","7ba1cc51-8497-4a2d-8a2e-547ec5a6d8a7","2023-09-29","Code_62","C201264"
"Start to Start","http://www.cdisc.org","c37211af-fdb0-4bd4-b8d5-3d438a8c1c7a","2023-09-29","Code_65","C201265"
"After","http://www.cdisc.org","33f621f7-4ed1-4137-ba3d-a3412db29ddf","2023-09-29","Code_67","C201264"
"Start to Start","http://www.cdisc.org","a15acf0f-48b8-470e-b978-008711b751f4","2023-09-29","Code_70","C201265"
"Draft","http://www.cdisc.org","2efddf1c-b447-4c1e-b1f8-62a99d6bac77","2023-09-29","Code_5","C85255"
"Protocol Effective Date","http://www.cdisc.org","707fccb9-3e55-4245-9229-a7cb1bffbf02","2023-09-29","Code_8","C99903x1"
"Global","http://www.cdisc.org","cf66e5c8-2ce4-4330-af99-771faaa4f032","2023-09-29","Code_9","C68846"
