"id","name","text","sectionNumber","uuid:ID","sectionTitle"
"NarrativeContent_17","SECTION 4.2.3","<div></div>","4.2.3","6d652e71-9384-47c1-90a8-7b809eb45430","Other Trial Design Considerations"
"NarrativeContent_18","SECTION 4.3","<div></div>","4.3","b5183840-c872-40e1-b9bd-dca3ed2c5c9e","Access to Trial Intervention After End of Trial"
"NarrativeContent_19","SECTION 4.4","<div></div>","4.4","291333ad-6be7-4c9d-949e-7f7f9c4324fe","Start of Trial and End of Trial"
"NarrativeContent_20","SECTION 5","<div></div>","5","a2b1c05f-1a9f-4277-ac0a-a4ee6634cf49","TRIAL POPULATION"
"NarrativeContent_21","SECTION 5.1","<div></div>","5.1","9c5e0c00-9aaa-4d8c-ba80-935159cfabd9","Selection of Trial Population"
"NarrativeContent_22","SECTION 5.2","<div></div>","5.2","b0f132c9-c746-46a0-9659-1c6a559869ce","Rationale for Trial Population"
"NarrativeContent_23","SECTION 5.3","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","5.3","1d8c2d39-1b85-469d-a7ed-cd364f84fb66","Inclusion Criteria"
"NarrativeContent_24","SECTION 5.4","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","5.4","fd4f6a92-5d1a-4a53-89a2-aa5b8663bb11","Exclusion Criteria"
"NarrativeContent_25","SECTION 5.5","<div></div>","5.5","9be76de1-9cf6-4851-9973-baf77088c5da","Lifestyle Considerations"
"NarrativeContent_26","SECTION 5.5.1","<div></div>","5.5.1","88018d9d-38a8-42c9-8300-2e35fd0d542b","Meals and Dietary Restrictions"
"NarrativeContent_27","SECTION 5.5.2","<div></div>","5.5.2","a20f97e9-ac3e-4907-8f53-958353501b23","Caffeine, Alcohol, Tobacco, and Other Habits"
"NarrativeContent_28","SECTION 5.5.3","<div></div>","5.5.3","b8f83144-3a77-4e63-8e07-f2498d113df8","Physical Activity"
"NarrativeContent_29","SECTION 5.5.4","<div></div>","5.5.4","013004e2-506a-4a83-8d38-d6fcf197049f","Other Activity"
"NarrativeContent_30","SECTION 5.6","<div></div>","5.6","3a0a8c1c-3d0e-4e69-bd8e-bd96de52e527","Screen Failures"
"NarrativeContent_31","SECTION 6","<div></div>","6","faa0f939-0ca1-4811-92af-e0376690793c","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"NarrativeContent_32","SECTION 6.1","<div></div>","6.1","ed0ac88a-effe-4673-add1-4e6e55613415","Description of Trial Intervention"
"NarrativeContent_33","SECTION 6.2","<div></div>","6.2","5ec4e8b5-bf6e-4815-a3f6-f0e14aec6338","Rationale for Trial Intervention"
"NarrativeContent_34","SECTION 6.3","<div></div>","6.3","b259aae9-ce91-4903-bbfe-20b1a4da3d98","Dosing and Administration"
"NarrativeContent_35","SECTION 6.3.1","<div></div>","6.3.1","d1f24f42-e69e-4406-8ef9-f43028a65896","Trial Intervention Dose Modification"
"NarrativeContent_36","SECTION 6.4","<div></div>","6.4","93626b1e-5f64-4653-957f-b3ff6da483b3","Treatment of Overdose"
"NarrativeContent_37","SECTION 6.5","<div></div>","6.5","542807b5-36a2-4c90-b4a1-1bab13478182","Preparation, Handling, Storage and Accountability"
"NarrativeContent_38","SECTION 6.5.1","<div></div>","6.5.1","92835561-3423-40ca-96c6-b8b21a3f225c","Preparation of Trial Intervention"
"NarrativeContent_39","SECTION 6.5.2","<div></div>","6.5.2","c86d1737-79a8-41a9-bbf1-d38d2b73a0ab","Handling and Storage of Trial Intervention"
"NarrativeContent_40","SECTION 6.5.3","<div></div>","6.5.3","e64fbfee-158f-4df9-ae6c-613988d5ce92","Accountability of Trial Intervention"
"NarrativeContent_41","SECTION 6.6","<div></div>","6.6","6927903a-c13a-4cfb-a4a3-88fdacf1b244","Participant Assignment, Randomisation and Blinding"
"NarrativeContent_42","SECTION 6.6.1","<div></div>","6.6.1","7036b7fa-536b-4908-b51c-70f3a086d762","Participant Assignment"
"NarrativeContent_43","SECTION 6.6.2","<div></div>","6.6.2","8a23b64f-2ded-48af-bd10-5802350e1371","Randomisation"
"NarrativeContent_44","SECTION 6.6.3","<div><p>Blinding and unblinding text here please</p></div>","6.6.3","1aefaabe-7119-49dd-9716-89466fe8cb52","Blinding and Unblinding"
"NarrativeContent_45","SECTION 6.7","<div></div>","6.7","f28aa109-314f-46a6-a9e2-4cd3b80e4881","Trial Intervention Compliance"
"NarrativeContent_46","SECTION 6.8","<div></div>","6.8","231209ea-d38b-4120-ab72-218344bc4ef3","Concomitant Therapy"
"NarrativeContent_47","SECTION 6.8.1","<div></div>","6.8.1","6d5cce0f-faa3-439c-bbb3-a8f1af1c0c89","Prohibited Concomitant Therapy"
"NarrativeContent_48","SECTION 6.8.2","<div></div>","6.8.2","4b1b41c7-056e-4be4-be58-9d12e90ab486","Permitted Concomitant Therapy"
"NarrativeContent_49","SECTION 6.8.3","<div></div>","6.8.3","056c6ec1-54af-4ab8-aa9e-e8e2651790c9","Rescue Therapy"
"NarrativeContent_50","SECTION 6.8.4","<div></div>","6.8.4","749d4b74-76ff-400b-9e95-4ebfd5d1fe56","Other Therapy"
"NarrativeContent_51","SECTION 7","<div></div>","7","5a9b7b1b-2cfb-4547-a5aa-4cabb60ce90e","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"NarrativeContent_52","SECTION 7.1","<div></div>","7.1","d400c3df-e5d1-4403-96dd-aecbcd6eec4d","Discontinuation of Trial Intervention"
"NarrativeContent_53","SECTION 7.1.1","<div></div>","7.1.1","a6d9b569-a0f3-4f05-bb0f-e862ba576620","Criteria for Permanent Discontinuation of Trial Intervention"
"NarrativeContent_54","SECTION 7.1.2","<div></div>","7.1.2","d3d35518-a696-4ba7-b442-75979be409e9","Temporary Discontinuation or Interruption of Trial Intervention"
"NarrativeContent_55","SECTION 7.1.3","<div></div>","7.1.3","d4cf713a-bbce-4815-8a1d-48ed0a598b4e","Rechallenge"
"NarrativeContent_56","SECTION 7.2","<div></div>","7.2","a14eccd6-d516-4fea-a480-1d9faedafe1e","Participant Withdrawal from the Trial"
"NarrativeContent_57","SECTION 7.3","<div></div>","7.3","1a8d4051-dcc0-4c2b-ad9f-4bfba19052b9","Lost to Follow-Up"
"NarrativeContent_58","SECTION 7.4","<div></div>","7.4","07db5f8e-94c9-4ea2-8e8c-af6d32b172ac","Trial Stopping Rules"
"NarrativeContent_59","SECTION 8","<div></div>","8","8b67a116-a8d3-4931-920c-7318ea8f8d39","TRIAL ASSESSMENTS AND PROCEDURES"
"NarrativeContent_60","SECTION 8.1","<div></div>","8.1","55f86123-357d-4a91-8620-f882d21994bf","Screening/Baseline Assessments and Procedures"
"NarrativeContent_61","SECTION 8.2","<div></div>","8.2","eb3a771c-91c9-42ef-9971-1471f315bbe9","Efficacy Assessments and Procedures"
"NarrativeContent_62","SECTION 8.3","<div></div>","8.3","1e56c62d-2139-4c74-8d93-9c90ae9d356b","Safety Assessments and Procedures"
"NarrativeContent_63","SECTION 8.3.1","<div></div>","8.3.1","da61205f-0546-47e6-9a97-0678f8663f67","Physical Examination"
"NarrativeContent_64","SECTION 8.3.2","<div></div>","8.3.2","82eb45f0-1f0f-42c2-9b22-dbee8aba8331","Vital Signs"
"NarrativeContent_65","SECTION 8.3.3","<div></div>","8.3.3","4bf562ce-dcc2-4150-8ecd-8505c3ff1857","Electrocardiograms"
"NarrativeContent_66","SECTION 8.3.4","<div></div>","8.3.4","baec5565-3a77-4308-be5b-31a35399365d","Clinical Laboratory Assessments"
"NarrativeContent_67","SECTION 8.3.5","<div></div>","8.3.5","db837cfd-aae2-4277-a769-36780131f3ce","Suicidal Ideation and Behaviour Risk Monitoring"
"NarrativeContent_68","SECTION 8.4","<div></div>","8.4","2a1a80a2-ff43-44e3-a50e-c11c2f4b359b","Adverse Events and Serious Adverse Events"
"NarrativeContent_69","SECTION 8.4.1","<div></div>","8.4.1","0d1869d9-29a6-4466-b931-a528463919e1","Definitions of AE and SAE"
"NarrativeContent_70","SECTION 8.4.2","<div></div>","8.4.2","5008c240-8e4b-49d3-9345-40ca551788ab","Time Period and Frequency for Collecting AE and SAE Information"
"NarrativeContent_71","SECTION 8.4.3","<div></div>","8.4.3","ea750dbb-cd1f-4d38-b1e5-10d85c994a10","Identifying AEs and SAEs"
"NarrativeContent_72","SECTION 8.4.4","<div></div>","8.4.4","54fc274f-f26f-438e-b22d-bb115b831ccb","Recording of AEs and SAEs"
"NarrativeContent_73","SECTION 8.4.5","<div></div>","8.4.5","7225da1c-00f4-4772-8691-5953bbae53ca","Follow-up of AEs and SAEs"
"NarrativeContent_74","SECTION 8.4.6","<div></div>","8.4.6","fd7d5363-d6cd-441f-b57c-87b73d436646","Reporting of SAEs"
"NarrativeContent_75","SECTION 8.4.7","<div></div>","8.4.7","d042c33b-018d-46c7-8ff3-4c71addf67e4","Regulatory Reporting Requirements for SAEs"
"NarrativeContent_76","SECTION 8.4.8","<div></div>","8.4.8","a2843b4d-bf68-42ee-a963-d6be598418ac","Serious and Unexpected Adverse Reaction Reporting"
"NarrativeContent_77","SECTION 8.4.9","<div></div>","8.4.9","1154044c-3a2a-4084-8d2f-c1813d4ee714","Adverse Events of Special Interest"
"NarrativeContent_78","SECTION 8.4.10","<div></div>","8.4.10","765d6ce0-eb85-4bbc-b90e-3942d902c5a5","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"NarrativeContent_79","SECTION 8.5","<div></div>","8.5","6c2dc3b0-8bd5-49b3-a932-464cf39f01b6","Pregnancy and Postpartum Information"
"NarrativeContent_80","SECTION 8.5.1","<div></div>","8.5.1","76965136-8125-411d-95e5-969e29853392","Participants Who Become Pregnant During the Trial"
"NarrativeContent_81","SECTION 8.5.2","<div></div>","8.5.2","c4ca174d-7710-4821-888d-dd7a0f2dc26f","Participants Whose Partners Become Pregnant"
"NarrativeContent_82","SECTION 8.6","<div></div>","8.6","0ea2618e-f1f1-4bd7-aa71-26bdc4aa75c8","Medical Device Product Complaints for Drug/Device Combination Products"
"NarrativeContent_83","SECTION 8.6.1","<div></div>","8.6.1","c167b4c3-3160-43b7-824a-bfbfa359522c","Definition of Medical Device Product Complaints"
"NarrativeContent_84","SECTION 8.6.2","<div></div>","8.6.2","aa714ad6-fb8e-4edf-ac34-0c500f02997c","Recording of Medical Device Product Complaints"
"NarrativeContent_85","SECTION 8.6.3","<div></div>","8.6.3","bb98adb1-e54a-4701-b6cf-5fcc1fd5cb2e","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"NarrativeContent_86","SECTION 8.6.4","<div></div>","8.6.4","859d2f11-4f51-4565-8752-3e63f6fd104f","Follow-Up of Medical Device Product Complaints"
"NarrativeContent_87","SECTION 8.6.5","<div></div>","8.6.5","e933547f-8044-492c-b47d-748491f354d0","Regulatory Reporting Requirements for Medical Device Product Complaints"
"NarrativeContent_88","SECTION 8.7","<div></div>","8.7","b31f9922-9c9d-4867-9e7a-64837e79fb53","Pharmacokinetics"
"NarrativeContent_89","SECTION 8.8","<div></div>","8.8","2e5a3ff9-a2e5-44ec-b8e7-ee89009e5469","Genetics"
"NarrativeContent_90","SECTION 8.9","<div></div>","8.9","04aafb6a-01d9-4a81-8322-52c5a4ed1233","Biomarkers"
"NarrativeContent_91","SECTION 8.1","<div></div>","8.1","58d6e344-f13d-4199-b3fd-0a4a664686c2","Immunogenicity Assessments"
"NarrativeContent_92","SECTION 8.1.1","<div></div>","8.1.1","75f58472-0b12-43a9-99db-5f635bddf248","Medical Resource Utilisation and Health Economics"
"NarrativeContent_93","SECTION 9","<div></div>","9","869d964d-510d-4c29-8728-4114144729b2","STATISTICAL CONSIDERATIONS"
"NarrativeContent_94","SECTION 9.1","<div></div>","9.1","6e86536c-802d-47be-b779-1c7dbeea18d5","Analysis Sets"
"NarrativeContent_95","SECTION 9.2","<div></div>","9.2","6fa4f147-886b-47fa-8384-04709516c825","Analyses Supporting Primary Objective(s)"
"NarrativeContent_96","SECTION 9.2.1","<div></div>","9.2.1","3d6f6614-c6c2-4879-8789-e7eaa4e1c1fa","Statistical Model, Hypothesis, and Method of Analysis"
"NarrativeContent_97","SECTION 9.2.2","<div></div>","9.2.2","219a4d5e-9bb8-4d3f-b92a-2d5a3ca5f242","Handling of Intercurrent Events of Primary Estimand(s)"
"NarrativeContent_98","SECTION 9.2.3","<div></div>","9.2.3","19900eb8-d413-46be-8a2e-5c3fedd7143a","Handling of Missing Data"
"NarrativeContent_99","SECTION 9.2.4","<div></div>","9.2.4","f8cf17d2-1d33-4ce7-941d-e26675541ef3","Sensitivity Analysis"
"NarrativeContent_100","SECTION 9.2.5","<div></div>","9.2.5","4f44b9b1-636f-4d1f-9ebd-00338718c541","Supplementary Analysis"
"NarrativeContent_101","SECTION 9.3","<div></div>","9.3","d9757695-1335-494b-81c5-ec4d9746b786","Analysis Supporting Secondary Objective(s)"
"NarrativeContent_102","SECTION 9.4","<div></div>","9.4","39684ced-3fcb-4970-8211-02781af84bd1","Analysis of Exploratory Objective(s)"
"NarrativeContent_103","SECTION 9.5","<div></div>","9.5","0d30411c-dc14-4a84-9b0d-f0dcf238db78","Safety Analyses"
"NarrativeContent_104","SECTION 9.6","<div></div>","9.6","1f73ea56-9965-4b98-bba1-c35d9e07bc99","Other Analyses"
"NarrativeContent_105","SECTION 9.7","<div></div>","9.7","d70b8fea-553d-4d94-9df6-94c8ed8f9d6c","Interim Analyses"
"NarrativeContent_106","SECTION 9.8","<div></div>","9.8","c25ab463-7f7f-43af-9580-7428532a25c8","Sample Size Determination"
"NarrativeContent_107","SECTION 9.9","<div></div>","9.9","23799b7f-48d8-4de4-b20d-91e4d2455ecb","Protocol Deviations"
"NarrativeContent_108","SECTION 10","<div></div>","10","c23bbd44-71fc-48ef-bf3d-9b318020022c","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"NarrativeContent_109","SECTION 10.1","<div></div>","10.1","59e194c1-8712-4ee6-8d66-aebbc2bf6c74","Regulatory and Ethical Considerations"
"NarrativeContent_110","SECTION 10.2","<div></div>","10.2","ae80ef0f-2f28-40e3-85de-87c628052cda","Committees"
"NarrativeContent_111","SECTION 10.3","<div></div>","10.3","6088d1dd-936f-4a0e-a4bf-c5e3cf542f3a","Informed Consent Process"
"NarrativeContent_112","SECTION 10.4","<div></div>","10.4","78e7f604-2b6c-40ee-86e0-06891c7371bb","Data Protection"
"NarrativeContent_113","SECTION 10.5","<div></div>","10.5","5729979e-cb0e-4fdf-82da-cd10bd3a9549","Early Site Closure or Trial Termination"
"NarrativeContent_114","SECTION 11","<div></div>","11","d2bef5d2-a289-47b8-8e20-4a821ba7014c","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"NarrativeContent_115","SECTION 11.1","<div></div>","11.1","b25466a8-6b4c-440f-b8b9-b691fda20a39","Quality Tolerance Limits"
"NarrativeContent_116","SECTION 11.2","<div></div>","11.2","e036eff6-8e7f-4646-a656-de2fd1620615","Data Quality Assurance"
"NarrativeContent_117","SECTION 11.3","<div></div>","11.3","604f5ac0-5f17-4175-a95f-195d4ea8a11e","Source Data"
"NarrativeContent_118","SECTION 12","<div></div>","12","e0154087-fd41-4968-9465-287bef57908c","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"NarrativeContent_119","SECTION 12.1","<div></div>","12.1","8d16795b-ca68-4cdd-a7c4-cd585c816a9a","Further Details and Clarifications on the AE Definition"
"NarrativeContent_120","SECTION 12.2","<div></div>","12.2","3d7d2dc7-dbe8-402b-8549-960997eecf30","Further Details and Clarifications on the SAE Definition"
"NarrativeContent_121","SECTION 12.3","<div></div>","12.3","d2c1a041-74a4-45ee-aac6-fc54f3555acb","Severity"
"NarrativeContent_122","SECTION 12.4","<div></div>","12.4","cdb84132-2c97-4391-ab86-c55294ab72b8","Causality"
"NarrativeContent_123","SECTION 13","<div></div>","13","eea52413-e854-4c5b-834e-360d44736c0c","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"NarrativeContent_124","SECTION 13.1","<div></div>","13.1","fa2dd85a-3000-48ad-9843-51ba108ea487","Contraception and Pregnancy Testing"
"NarrativeContent_125","SECTION 13.1.1","<div></div>","13.1.1","7a26f59a-bb66-41bc-9d69-59f32137555e","Definitions Related to Childbearing Potential"
"NarrativeContent_126","SECTION 13.1.2","<div></div>","13.1.2","9c0cd8dc-de01-486e-81ee-3d75dbea2ab3","Contraception"
"NarrativeContent_127","SECTION 13.1.3","<div></div>","13.1.3","543b7e9b-e0d3-4e38-a7c6-35a62305bb4b","Pregnancy Testing"
"NarrativeContent_128","SECTION 13.2","<div></div>","13.2","19ce3dfb-ace4-4a7c-91f8-e14fe5c0cc81","Clinical Laboratory Tests"
"NarrativeContent_129","SECTION 13.3","<div></div>","13.3","4d87906c-50b9-4cda-95e9-37aa8926c9d1","Country/Region-Specific Differences"
"NarrativeContent_130","SECTION 13.4","<div></div>","13.4","9b350884-8ba5-4adb-b7c4-e70d0501edc8","Prior Protocol Amendments"
"NarrativeContent_131","SECTION 14","<div></div>","14","443503f5-eb1c-418c-aeb8-736d0fb98330","APPENDIX: GLOSSARY OF TERMS"
"NarrativeContent_132","SECTION 15","<div></div>","15","de14e5ba-ee82-4732-bb72-bf280416055a","APPENDIX: REFERENCES"
