"name","id","uuid:ID","sectionNumber","instanceType","text","sectionTitle"
"SECTION 8.5.1","NarrativeContent_81","011d9a76-7a8f-4f3d-bdd6-4e8a2b121d76","8.5.1","NarrativeContent","<div></div>","Participants Who Become Pregnant During the Trial"
"SECTION 8.5.2","NarrativeContent_82","28de66f1-02c4-4ddd-8bc1-084892c1dbfc","8.5.2","NarrativeContent","<div></div>","Participants Whose Partners Become Pregnant"
"SECTION 8.6","NarrativeContent_83","d653d2bf-47b4-491a-bae5-5547b1540d5f","8.6","NarrativeContent","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products"
"SECTION 8.6.1","NarrativeContent_84","d4e60ec3-4d28-4a43-aefa-53e6c3f72b3d","8.6.1","NarrativeContent","<div></div>","Definition of Medical Device Product Complaints"
"SECTION 8.6.2","NarrativeContent_85","eb3c7fa7-fcb2-4b0f-8f48-73d8997cc06b","8.6.2","NarrativeContent","<div></div>","Recording of Medical Device Product Complaints"
"SECTION 8.6.3","NarrativeContent_86","53c95d98-82cf-4151-8608-085aa0ad153e","8.6.3","NarrativeContent","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"SECTION 8.6.4","NarrativeContent_87","f91f5494-fefc-4afe-8c6a-9eca8e71ceb0","8.6.4","NarrativeContent","<div></div>","Follow-Up of Medical Device Product Complaints"
"SECTION 8.6.5","NarrativeContent_88","27d6c5d7-766a-405c-a70d-0e35074ff649","8.6.5","NarrativeContent","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints"
"SECTION 8.7","NarrativeContent_89","818b45e4-5df5-4769-adf0-6aa2a6eb39e6","8.7","NarrativeContent","<div></div>","Pharmacokinetics"
"SECTION 8.8","NarrativeContent_90","66160e18-47dc-40c3-a3d9-b9294885cca3","8.8","NarrativeContent","<div></div>","Genetics"
"SECTION 8.9","NarrativeContent_91","e869b36a-71bd-4880-b9d6-20bea32f754e","8.9","NarrativeContent","<div></div>","Biomarkers"
"SECTION 8.1","NarrativeContent_92","9086f881-4e06-4b5a-a5fc-fdf5d91c5397","8.1","NarrativeContent","<div></div>","Immunogenicity Assessments"
"SECTION 8.1.1","NarrativeContent_93","2db4111e-c7e9-4e32-9b0f-a092b9135dc9","8.1.1","NarrativeContent","<div></div>","Medical Resource Utilisation and Health Economics"
"SECTION 9","NarrativeContent_94","45085af1-13f2-40ce-853a-7587f9d49f48","9","NarrativeContent","<div></div>","STATISTICAL CONSIDERATIONS"
"SECTION 9.1","NarrativeContent_95","95bf7282-95ad-47b8-8070-2f8a7c69938a","9.1","NarrativeContent","<div></div>","Analysis Sets"
"SECTION 9.2","NarrativeContent_96","0e540f46-6d17-410f-b779-cdc84d2ad562","9.2","NarrativeContent","<div></div>","Analyses Supporting Primary Objective(s)"
"SECTION 9.2.1","NarrativeContent_97","b7e21f62-990d-4b6a-b3ec-7f6ff74f528a","9.2.1","NarrativeContent","<div></div>","Statistical Model, Hypothesis, and Method of Analysis"
"SECTION 9.2.2","NarrativeContent_98","c2e89dda-5fb5-4c10-ae96-7c76b8db0c71","9.2.2","NarrativeContent","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)"
"SECTION 9.2.3","NarrativeContent_99","b40ac827-84f7-481c-b291-3a095bef88d5","9.2.3","NarrativeContent","<div></div>","Handling of Missing Data"
"SECTION 9.2.4","NarrativeContent_100","7e28c33c-005e-4c19-bb70-b937057463cd","9.2.4","NarrativeContent","<div></div>","Sensitivity Analysis"
"SECTION 9.2.5","NarrativeContent_101","3e2d3b47-3f13-4986-bd7a-ca62b164be59","9.2.5","NarrativeContent","<div></div>","Supplementary Analysis"
"SECTION 9.3","NarrativeContent_102","9585c33e-3d0f-45da-8a53-f85d9137d8cb","9.3","NarrativeContent","<div></div>","Analysis Supporting Secondary Objective(s)"
"SECTION 9.4","NarrativeContent_103","81566309-e96f-4bf7-8223-fd17eb5ea5d6","9.4","NarrativeContent","<div></div>","Analysis of Exploratory Objective(s)"
"SECTION 9.5","NarrativeContent_104","6ba0f02a-b0e7-4ea3-9740-c7823b93dd24","9.5","NarrativeContent","<div></div>","Safety Analyses"
"SECTION 9.6","NarrativeContent_105","1b93cb4b-6738-4d36-aa6e-5779974e0beb","9.6","NarrativeContent","<div></div>","Other Analyses"
"SECTION 9.7","NarrativeContent_106","ef1ae7c3-0e78-4adb-8df1-91643628db74","9.7","NarrativeContent","<div></div>","Interim Analyses"
"SECTION 9.8","NarrativeContent_107","e835267e-3108-4756-99da-cbd2db868015","9.8","NarrativeContent","<div></div>","Sample Size Determination"
"SECTION 9.9","NarrativeContent_108","608211d3-a2b6-40f9-b27f-b80d25d8915b","9.9","NarrativeContent","<div></div>","Protocol Deviations"
"SECTION 10","NarrativeContent_109","5112401c-afa9-476d-a6af-7fd21444d43f","10","NarrativeContent","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"SECTION 10.1","NarrativeContent_110","711f9fbe-7f7f-44af-97a3-0f67ea9db0eb","10.1","NarrativeContent","<div></div>","Regulatory and Ethical Considerations"
"SECTION 10.2","NarrativeContent_111","5cfb7798-f1ae-4d4f-9331-749c12f496de","10.2","NarrativeContent","<div></div>","Committees"
"SECTION 10.3","NarrativeContent_112","1f2cdce9-aeac-4291-a1cf-868ae249b2b1","10.3","NarrativeContent","<div></div>","Informed Consent Process"
"SECTION 10.4","NarrativeContent_113","b7f875e0-e741-441f-a18d-a47b63d4f932","10.4","NarrativeContent","<div></div>","Data Protection"
"SECTION 10.5","NarrativeContent_114","3e2cb158-bb89-48ce-95fd-d7e8cbbe331a","10.5","NarrativeContent","<div></div>","Early Site Closure or Trial Termination"
"SECTION 11","NarrativeContent_115","8c00df5d-2a67-4009-8c41-a851300583d2","11","NarrativeContent","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"SECTION 11.1","NarrativeContent_116","a0585fcf-af26-4a8b-ae93-656275faed6e","11.1","NarrativeContent","<div></div>","Quality Tolerance Limits"
"SECTION 11.2","NarrativeContent_117","9b5598b7-b727-41b5-a4d7-7eb59a95331c","11.2","NarrativeContent","<div></div>","Data Quality Assurance"
"SECTION 11.3","NarrativeContent_118","d1173cf4-8873-48ec-ad4c-522a50b1bf1d","11.3","NarrativeContent","<div></div>","Source Data"
"SECTION 12","NarrativeContent_119","b114c0be-28d3-408b-ab57-c74e644a9b28","12","NarrativeContent","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"SECTION 12.1","NarrativeContent_120","aab98614-6c28-4c05-abae-9ee25e08af2a","12.1","NarrativeContent","<div></div>","Further Details and Clarifications on the AE Definition"
"SECTION 12.2","NarrativeContent_121","663e11ac-a4c1-42bf-b5e9-210e73a939b9","12.2","NarrativeContent","<div></div>","Further Details and Clarifications on the SAE Definition"
"SECTION 12.3","NarrativeContent_122","9e3df734-b827-45a1-a01c-9e75042cdf99","12.3","NarrativeContent","<div></div>","Severity"
"SECTION 12.4","NarrativeContent_123","6563674e-7fe3-4946-ac8c-635cfd2e0f1c","12.4","NarrativeContent","<div></div>","Causality"
"SECTION 13","NarrativeContent_124","63fb6ea9-81a7-4116-b686-5899bb260cff","13","NarrativeContent","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"SECTION 13.1","NarrativeContent_125","df8eca18-bf01-4061-b8f1-c550cc7e3df3","13.1","NarrativeContent","<div></div>","Contraception and Pregnancy Testing"
"SECTION 13.1.1","NarrativeContent_126","67b3a4bf-f421-4330-8d04-0cf940669603","13.1.1","NarrativeContent","<div></div>","Definitions Related to Childbearing Potential"
"SECTION 13.1.2","NarrativeContent_127","01a9d6f4-8597-47aa-9384-d6a25dabc4ec","13.1.2","NarrativeContent","<div></div>","Contraception"
"SECTION 13.1.3","NarrativeContent_128","5efc9ad6-3ebb-4f69-9cb1-f5d1d1a7121b","13.1.3","NarrativeContent","<div></div>","Pregnancy Testing"
"SECTION 13.2","NarrativeContent_129","503a7edf-5515-45c4-a9ad-648af314d10a","13.2","NarrativeContent","<div></div>","Clinical Laboratory Tests"
"SECTION 13.3","NarrativeContent_130","34f8f358-5bfb-49fc-856a-e5a7d6e6cdb2","13.3","NarrativeContent","<div></div>","Country/Region-Specific Differences"
"SECTION 13.4","NarrativeContent_131","e935be10-4d8a-434a-99cf-06dbaf3a8083","13.4","NarrativeContent","<div></div>","Prior Protocol Amendments"
"SECTION 14","NarrativeContent_132","d51815d6-5054-4382-bd7f-6e440c7158dd","14","NarrativeContent","<div></div>","APPENDIX: GLOSSARY OF TERMS"
"SECTION 15","NarrativeContent_133","9cd31d94-1333-4797-9a76-9bff89df5f45","15","NarrativeContent","<div></div>","APPENDIX: REFERENCES"
