"synonyms","name","id","uuid:ID","reference","instanceType","label"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","93fe46de-2ce8-4acc-9519-33eda29ccd67","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","62e784e5-9fa6-48df-a877-28c5c43cfbe0","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","d4884250-30ac-4143-a586-abd41cc7769e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","3686e828-557b-46bb-96d2-41770485f118","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","bffb7f32-61e3-4d46-af78-68fb9ec453f2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","da0881e6-e914-40e7-a39a-5def85b4f0c1","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","6c05f978-d16e-4343-874b-f65c834b7675","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","4a1d14d2-483d-4cdc-a136-5d7ed6030e94","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure"
"","Heart Rate","BiomedicalConcept_16","e2a8e098-25d3-4f12-859d-ae9777a67a6f","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","45cf73de-24b5-4ddb-92a6-e05f6e69aa0f","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","0fcc7b9a-9895-464a-acd4-c9ad9eb0bbae","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure"
"","Heart Rate","BiomedicalConcept_19","8108aabb-c67a-43cd-8849-a9308cadcc08","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate"
