"name","id","datatype","uuid:ID","instanceType","isEnabled","label","isRequired"
"Seriousness of Adverse Event","BiomedicalConceptProperty_8","boolean","7e19bd97-7e1c-4a23-8dea-ea7eb48d8faf","BiomedicalConceptProperty","True","Seriousness of Adverse Event","True"
"Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","string","7cc45a9c-0a18-47aa-ac82-1b6f426fe552","BiomedicalConceptProperty","True","Adverse Event Action Taken with Study Treatment","True"
"Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","string","3dbd8b51-6bf2-4c2b-9bc3-8957bb5d5fbc","BiomedicalConceptProperty","True","Adverse Event Attribution to Product or Procedure","True"
"Adverse Event Pattern","BiomedicalConceptProperty_11","string","6900aa94-f2fa-4d33-a27b-b55fa7643b87","BiomedicalConceptProperty","True","Adverse Event Pattern","True"
"Adverse Event Outcome","BiomedicalConceptProperty_12","string","0ff8349c-4ce1-40e6-9bf9-30e74c00ba5b","BiomedicalConceptProperty","True","Adverse Event Outcome","True"
"Adverse Event Start Date Time","BiomedicalConceptProperty_13","datetime","6ca18cba-0d1e-4696-90c7-ebbb112d8f81","BiomedicalConceptProperty","True","Adverse Event Start Date Time","True"
"Adverse Event End Date Time","BiomedicalConceptProperty_14","datetime","b0118ada-e67c-475d-bf7c-660ac88432ab","BiomedicalConceptProperty","True","Adverse Event End Date Time","True"
"Vital Signs Result","BiomedicalConceptProperty_15","decimal","b47ba60e-0d91-4a1c-8601-34ec6d796e15","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_16","string","341d973a-68c4-4371-beff-de379071d643","BiomedicalConceptProperty","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_17","string","14760f10-bf88-4fba-828d-2c285ac56f73","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_18","string","d41f9a40-b5d1-4754-9e45-26bc31d7460a","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_19","string","3f591e38-55b2-4278-bb1e-09f7d94a3116","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_20","string","ec52ff38-ee19-4442-accd-133293ca0d46","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_21","decimal","61a04eca-e1b3-47b1-923e-2a9192bd653b","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_22","string","489da35a-f4bc-4cf7-8db2-6eb4133654d6","BiomedicalConceptProperty","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_23","string","e1653b53-d8e4-45d2-94cf-eb3cfbc7fdee","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_24","string","53940a32-d438-4802-b45a-beb46ac9d012","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_25","string","4cd545a4-af7b-4564-be53-47b468a06e0f","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_26","string","fde91280-3bab-44a8-a987-d27e65a0eb6f","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_27","decimal","6f2a18ad-50b0-4e9a-a66c-244eaf2d2343","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Temperature","BiomedicalConceptProperty_28","string","221c68aa-8b34-4b94-948f-5c0d2dc565d3","BiomedicalConceptProperty","True","Unit of Temperature","True"
"Vital Signs Location","BiomedicalConceptProperty_29","string","552eacda-9830-4b59-9e74-fd941d966875","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Result","BiomedicalConceptProperty_30","decimal","39ec345c-ca39-4ec8-ab6f-ecceee98929b","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Weight","BiomedicalConceptProperty_31","string","2464f03e-cfe2-4c79-9935-d718fbf1a791","BiomedicalConceptProperty","True","Unit of Weight","True"
"Vital Signs Result","BiomedicalConceptProperty_32","decimal","bec5adaf-91b4-432a-8491-eae1cad07de3","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Height","BiomedicalConceptProperty_33","string","5691f324-10f1-47a4-a06f-240459674862","BiomedicalConceptProperty","True","Unit of Height","True"
"Laboratory Test Result","BiomedicalConceptProperty_34","decimal","a876ee4f-51e2-49d4-bce2-800170395ff4","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_35","boolean","7c1df8da-d336-43ba-af76-1dedca81dccc","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","string","0013b49a-7ccb-4519-9c3e-fb59924e5ab0","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_37","string","9d2bac89-de06-4fc8-9442-9136dd1d16f3","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_38","string","0e25d6fd-95ab-45bd-afd1-afaf91a0d188","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_39","boolean","7ab94b95-097e-4eb1-958e-dfac2d957fbc","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Concentration","BiomedicalConceptProperty_40","string","d754086c-3103-4d93-8b0d-868c5b64eaa7","BiomedicalConceptProperty","True","Unit of Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_41","string","b94f5187-e73f-400c-8a4f-5d6a2b24c283","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_42","decimal","19867754-a99f-4a6c-880f-beffbbd67292","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_43","boolean","aeee8fd5-ac3e-4cf9-9552-29568b814f2e","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","string","c37b5866-8144-46aa-86a1-547ba3c47d2a","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_45","string","fbe3c5d5-3e94-4517-bb3b-25e391060d0d","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_46","decimal","287f76f0-f769-4e19-b1db-dacd471f6378","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_47","boolean","0e77c159-4e01-497d-b784-629e4d1c5cb3","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","string","8a8b2726-8b58-41b4-b56b-9500ccccdcbe","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_49","string","747505a1-f2bb-4d09-97e0-9e66b4b0c35b","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_50","string","3e5170dc-2b72-4336-8e1c-1f12d97842b7","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_51","boolean","6761f1ae-d898-4675-b04e-3b8667be746c","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Unit of Concentration","BiomedicalConceptProperty_52","string","e4511de0-d2f3-4796-8533-79045cfff35b","BiomedicalConceptProperty","True","Unit of Concentration","True"
"Biospecimen Type","BiomedicalConceptProperty_53","string","3dc295ff-2d46-4318-a8fb-08075ec07a41","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_54","decimal","2e1dad4c-4088-44c4-9f9d-faca90d9b08e","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_55","boolean","5c7f68bc-7977-4adc-bf91-76bcc66ce90e","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Molarity Unit","BiomedicalConceptProperty_56","string","0e3e6eb9-7174-4d26-bf46-802f9b7fec5a","BiomedicalConceptProperty","True","Molarity Unit","True"
"Biospecimen Type","BiomedicalConceptProperty_57","string","4be9a363-78ac-453c-adf5-ee1e97f60cbe","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Laboratory Test Result","BiomedicalConceptProperty_58","decimal","c5fd8091-b16f-4d6d-af03-c68cfe2bc6d5","BiomedicalConceptProperty","True","Laboratory Test Result","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_59","boolean","0382bbbc-bca8-434d-9a80-790c14e99fde","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","True"
"Molarity Unit","BiomedicalConceptProperty_60","string","6e9977f0-5263-4358-a272-56d14473d44c","BiomedicalConceptProperty","True","Molarity Unit","True"
"Biospecimen Type","BiomedicalConceptProperty_61","string","6366e940-e30f-46d4-9eb4-2ab8bcf5576d","BiomedicalConceptProperty","True","Biospecimen Type","True"
"Vital Signs Result","BiomedicalConceptProperty_62","decimal","566f0a10-8b78-47de-a04d-74a12d715241","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_63","string","043e96f8-8eca-4a93-aca6-8f2874b2cce5","BiomedicalConceptProperty","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_64","string","5df2893d-9415-41bd-8615-36724df30c41","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_65","string","6a34be9d-0574-4deb-8982-2d635b3cf91d","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_66","string","bb79d8b5-6faf-47b4-8037-0ceb91110576","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_67","string","e1ebddf3-2433-4f37-adaa-dd910641327a","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_68","decimal","8e27d95c-7299-4be7-84ea-738f06e8e4e1","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_69","string","a83a9d5c-6dec-4d73-afc4-c59d04b90997","BiomedicalConceptProperty","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_70","string","df7b313a-e3c4-41eb-ba11-d703c99ee22a","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_71","string","f7fae8b7-7b8b-4876-9baa-0c5c4a83282c","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_72","string","7694d4bc-3d93-42b7-896a-2b71f0322ed5","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_73","string","25c65951-7ea6-448d-bdc8-2d60d1896fc6","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_74","integer","faccfe90-ba06-4fa0-af7d-08f1ef21daec","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Count per Minute","BiomedicalConceptProperty_75","string","fe2187c5-2ebf-40b8-abd6-824537d93ff1","BiomedicalConceptProperty","True","Count per Minute","True"
"Vital Signs Location","BiomedicalConceptProperty_76","string","d051cfda-ae7d-42eb-a0ec-c1e3e662f528","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_77","string","8d5a478d-9a68-412a-bedf-0f70d5cf9359","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_78","string","ad56470e-37b9-48f0-8da4-ef436328bca5","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_79","string","425c52d7-2b0c-4495-968c-0d60f82b2b6f","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_80","decimal","28a2e20c-5e41-4981-b03f-61aba1bc687e","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_81","string","d839206e-ea83-4b95-8196-1efe7447f8d8","BiomedicalConceptProperty","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_82","string","0cc186a6-e4fa-432d-8de5-b8d86eee9982","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_83","string","333821b7-4da6-4e0f-b004-c8ee13ab51c0","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_84","string","7d4a3755-7979-45fb-9723-b1098ba554c4","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_85","string","290d16c6-95ae-45e6-aa89-88091c314b63","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_86","decimal","ebeca58d-df5f-4b4b-8e4d-763168548b18","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Unit of Pressure","BiomedicalConceptProperty_87","string","820153f9-b3c7-450d-ba8a-64e4a5c53bc7","BiomedicalConceptProperty","True","Unit of Pressure","True"
"Vital Signs Location","BiomedicalConceptProperty_88","string","46da1744-3790-4134-83d8-e477779d0ff0","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_89","string","08558f66-7f37-483d-b53f-cfc9466dc24a","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_90","string","d5c7cf97-97be-4ab7-941d-990ab40ff0cc","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_91","string","3fa7e64a-affe-4b90-b403-4f4b437aa125","BiomedicalConceptProperty","True","Vital Signs Position","True"
"Vital Signs Result","BiomedicalConceptProperty_92","integer","b290a558-2425-498c-b1d4-3052ead0f508","BiomedicalConceptProperty","True","Vital Signs Result","True"
"Count per Minute","BiomedicalConceptProperty_93","string","56985dba-207b-407a-a10b-588fc1569722","BiomedicalConceptProperty","True","Count per Minute","True"
"Vital Signs Location","BiomedicalConceptProperty_94","string","4bb4188f-799f-4ed2-bda7-07b3ed8a24bd","BiomedicalConceptProperty","True","Vital Signs Location","True"
"Vital Signs Laterality","BiomedicalConceptProperty_95","string","211e105f-5792-4814-8a35-ec8ab5503a6c","BiomedicalConceptProperty","True","Vital Signs Laterality","True"
"Test Method","BiomedicalConceptProperty_96","string","baaf7385-e2a1-488b-a5f7-ee4094a87146","BiomedicalConceptProperty","True","Test Method","True"
"Vital Signs Position","BiomedicalConceptProperty_97","string","af16230d-306f-47b9-949a-61313428334f","BiomedicalConceptProperty","True","Vital Signs Position","True"
