"id:ID","uuid","sectionTitle","name","sectionNumber","text","id"
"848","32eaa96d-d9ff-4246-ab5e-48d44a403d2a","Meals and Dietary Restrictions","SECTION 5.5.1","5.5.1","<div></div>","NarrativeContent_27"
"849","322444f5-52db-4bb8-b321-4ae4ad031324","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","5.5.2","<div><p>Not applicable</p></div>","NarrativeContent_28"
"850","08c730a1-c7c6-480a-bb3a-1073862eb460","Physical Activity","SECTION 5.5.3","5.5.3","<div></div>","NarrativeContent_29"
"851","499678b5-2ddb-42e7-981d-2539ee0fb2ac","Other Activity","SECTION 5.5.4","5.5.4","<div></div>","NarrativeContent_30"
"852","91d127b4-9c8d-4763-a3c5-6e6df90ba1a1","Screen Failures","SECTION 5.6","5.6","<div></div>","NarrativeContent_31"
"853","fd96eff2-7ae4-42f7-bc15-98d1a71f394a","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","6","<div></div>","NarrativeContent_32"
"854","6663c22d-5bdc-439f-b217-46eb453c5566","Description of Trial Intervention","SECTION 6.1","6.1","<div></div>","NarrativeContent_33"
"855","c52d9e12-8aa2-44f8-9f1e-99c2f989b938","Rationale for Trial Intervention","SECTION 6.2","6.2","<div></div>","NarrativeContent_34"
"856","a91e8c95-cb03-47a0-bc86-cea977f8d86f","Dosing and Administration","SECTION 6.3","6.3","<div></div>","NarrativeContent_35"
"857","b252d68f-e2fa-486a-aff7-f4ad64826bdc","Trial Intervention Dose Modification","SECTION 6.3.1","6.3.1","<div></div>","NarrativeContent_36"
"858","965bfae0-90ba-495f-b656-f5a6c068d98c","Treatment of Overdose","SECTION 6.4","6.4","<div></div>","NarrativeContent_37"
"859","70c4e920-3e2e-4d73-a882-9763da7161d4","Preparation, Handling, Storage and Accountability","SECTION 6.5","6.5","<div></div>","NarrativeContent_38"
"860","0eedf410-41be-44ed-9802-51a9be2a07ba","Preparation of Trial Intervention","SECTION 6.5.1","6.5.1","<div></div>","NarrativeContent_39"
"861","e4bc9145-414c-4839-8235-00be75afde34","Handling and Storage of Trial Intervention","SECTION 6.5.2","6.5.2","<div></div>","NarrativeContent_40"
"862","1fb14223-8b71-4d42-9586-afb12c117b6b","Accountability of Trial Intervention","SECTION 6.5.3","6.5.3","<div></div>","NarrativeContent_41"
"863","0c4bb945-e307-4f1c-9f78-edf5474eae55","Participant Assignment, Randomisation and Blinding","SECTION 6.6","6.6","<div></div>","NarrativeContent_42"
"864","80472f2b-ba73-4169-a457-4f9244ed2cd8","Participant Assignment","SECTION 6.6.1","6.6.1","<div></div>","NarrativeContent_43"
"865","298b3d8b-3072-4b66-b7fc-22f9d7272a1f","Randomisation","SECTION 6.6.2","6.6.2","<div></div>","NarrativeContent_44"
"866","0f884c25-9328-4768-8eec-fb6cea2b5741","Blinding and Unblinding","SECTION 6.6.3","6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45"
"867","b609e664-a458-4b61-8079-16d441fb2d41","Trial Intervention Compliance","SECTION 6.7","6.7","<div></div>","NarrativeContent_46"
"868","f3d8a417-103e-4430-99e0-4f8a9f5fb324","Concomitant Therapy","SECTION 6.8","6.8","<div></div>","NarrativeContent_47"
"869","a634563e-130e-47a7-9c07-e404203de239","Prohibited Concomitant Therapy","SECTION 6.8.1","6.8.1","<div></div>","NarrativeContent_48"
"870","5ea86832-faf4-4f96-a30c-03d2d2972fa6","Permitted Concomitant Therapy","SECTION 6.8.2","6.8.2","<div></div>","NarrativeContent_49"
"871","5f2949ca-65b1-44a4-a04c-39815a2262a6","Rescue Therapy","SECTION 6.8.3","6.8.3","<div></div>","NarrativeContent_50"
"872","a120b4c5-b25d-4b5f-9b83-8f2ef1f665f7","Other Therapy","SECTION 6.8.4","6.8.4","<div></div>","NarrativeContent_51"
"873","c800e8d6-42b2-47c5-9324-0b5c3694f259","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","7","<div></div>","NarrativeContent_52"
"874","58211d85-0743-4885-a2a2-59461e917ce8","Discontinuation of Trial Intervention","SECTION 7.1","7.1","<div></div>","NarrativeContent_53"
"875","e0c4ec3a-74df-4e90-80dc-946903b75511","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","7.1.1","<div></div>","NarrativeContent_54"
"876","4685443b-4c6b-45b7-90fd-c61aab3a0a21","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","7.1.2","<div></div>","NarrativeContent_55"
"877","e3494e5e-4aea-4c71-8c40-a7f67e097fde","Rechallenge","SECTION 7.1.3","7.1.3","<div></div>","NarrativeContent_56"
"878","cdc0d0ac-dd9f-44dd-98ef-dc200d12271b","Participant Withdrawal from the Trial","SECTION 7.2","7.2","<div></div>","NarrativeContent_57"
"879","d259bd39-0bbf-49d8-ae77-46fb9549eeec","Lost to Follow-Up","SECTION 7.3","7.3","<div></div>","NarrativeContent_58"
"880","4b95c1e8-9a20-4a72-955a-e62fab169d68","Trial Stopping Rules","SECTION 7.4","7.4","<div></div>","NarrativeContent_59"
"881","f8bfaf18-93ab-427e-bb8f-6360ca8fe833","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","8","<div></div>","NarrativeContent_60"
"882","b828698c-709d-4626-a68e-272aa406475a","Screening/Baseline Assessments and Procedures","SECTION 8.1","8.1","<div></div>","NarrativeContent_61"
"883","ac99413e-e08e-41f0-af22-639cb70aa247","Efficacy Assessments and Procedures","SECTION 8.2","8.2","<div></div>","NarrativeContent_62"
"884","954b89ba-8949-4234-bd28-973ab2d6e7b8","Safety Assessments and Procedures","SECTION 8.3","8.3","<div></div>","NarrativeContent_63"
"885","8ca2eedf-bdc8-4f78-a029-cb8680d26aae","Physical Examination","SECTION 8.3.1","8.3.1","<div></div>","NarrativeContent_64"
"886","b0181b83-0131-4a91-b676-d91229195d72","Vital Signs","SECTION 8.3.2","8.3.2","<div></div>","NarrativeContent_65"
"887","a4162250-d018-4e20-b0b1-1f58ca0b1132","Electrocardiograms","SECTION 8.3.3","8.3.3","<div></div>","NarrativeContent_66"
"888","deab45ee-3af9-43fa-a90b-680f94398480","Clinical Laboratory Assessments","SECTION 8.3.4","8.3.4","<div></div>","NarrativeContent_67"
"889","ee30b3fe-a6b5-495a-88ef-aaee06b6a8ed","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","8.3.5","<div></div>","NarrativeContent_68"
"890","c38ad6c3-c27f-4d0e-acc3-b2e575b9ba2d","Adverse Events and Serious Adverse Events","SECTION 8.4","8.4","<div></div>","NarrativeContent_69"
"891","5ea178a7-a75c-4985-93f0-365ba3f2a95e","Definitions of AE and SAE","SECTION 8.4.1","8.4.1","<div></div>","NarrativeContent_70"
"892","f7e59f8f-2054-446f-93a6-dab716556101","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","8.4.2","<div></div>","NarrativeContent_71"
"893","5d93897b-82fb-445c-bae6-7660a98fc5d3","Identifying AEs and SAEs","SECTION 8.4.3","8.4.3","<div></div>","NarrativeContent_72"
"894","d610f52a-1a89-4a90-b941-f65db24208ca","Recording of AEs and SAEs","SECTION 8.4.4","8.4.4","<div></div>","NarrativeContent_73"
"895","3f58acfa-753a-4c17-a97a-6bb88cdf1633","Follow-up of AEs and SAEs","SECTION 8.4.5","8.4.5","<div></div>","NarrativeContent_74"
"896","a393ed7a-92e0-4395-8838-5a8cf943b85c","Reporting of SAEs","SECTION 8.4.6","8.4.6","<div></div>","NarrativeContent_75"
"897","dbf676db-476a-4e7f-84d7-fe2b2de34e86","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","8.4.7","<div></div>","NarrativeContent_76"
"898","453fa646-9288-4a79-919e-90f86f066a0c","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","8.4.8","<div></div>","NarrativeContent_77"
"899","4c984c28-b1d5-42b3-a720-2f12adbb4669","Adverse Events of Special Interest","SECTION 8.4.9","8.4.9","<div></div>","NarrativeContent_78"
"900","64b8146b-badd-49c2-b418-5d644e7bb976","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","8.4.10","<div></div>","NarrativeContent_79"
"901","ef6c0027-61a5-4f6e-ad20-f8361c87074c","Pregnancy and Postpartum Information","SECTION 8.5","8.5","<div></div>","NarrativeContent_80"
"902","0ce01ce5-1f13-4da1-aa73-fba75c0d71f4","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","8.5.1","<div></div>","NarrativeContent_81"
"903","f17551ec-70cd-4766-b24d-41e71f4e5c22","Participants Whose Partners Become Pregnant","SECTION 8.5.2","8.5.2","<div></div>","NarrativeContent_82"
"904","1db2a4c9-e5fc-4b5d-832c-6fae2f05e612","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","8.6","<div></div>","NarrativeContent_83"
"905","df80bf66-1e8e-44a0-aa74-58334e1a2fb6","Definition of Medical Device Product Complaints","SECTION 8.6.1","8.6.1","<div></div>","NarrativeContent_84"
"906","fd803b6a-2f51-477f-89ba-66bfb6a612eb","Recording of Medical Device Product Complaints","SECTION 8.6.2","8.6.2","<div></div>","NarrativeContent_85"
"907","3d6749df-9cb8-4fc2-8c25-be87fd3bdfd4","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","8.6.3","<div></div>","NarrativeContent_86"
"908","1a65c465-0356-4c3d-aa8b-3634874bcdfe","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","8.6.4","<div></div>","NarrativeContent_87"
"909","03c6808a-4354-451b-969b-e8f28517dfe3","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","8.6.5","<div></div>","NarrativeContent_88"
"910","704a1979-3441-4288-a581-4499a9e5b351","Pharmacokinetics","SECTION 8.7","8.7","<div></div>","NarrativeContent_89"
"911","ffaacb7b-7cc1-467a-a4f5-7f09fffb2c27","Genetics","SECTION 8.8","8.8","<div></div>","NarrativeContent_90"
"912","eb9a3ef8-0dce-4802-bf2b-9e6459f6de19","Biomarkers","SECTION 8.9","8.9","<div></div>","NarrativeContent_91"
"913","0e34b781-3d7d-4a9a-8273-3d608bc3c255","Immunogenicity Assessments","SECTION 8.1","8.1","<div></div>","NarrativeContent_92"
"914","a15267eb-2bb8-4034-9cf5-f5e24af3370f","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","8.1.1","<div></div>","NarrativeContent_93"
"915","e0727ae2-109a-4f4f-9c18-7baf0031aec8","STATISTICAL CONSIDERATIONS","SECTION 9","9","<div></div>","NarrativeContent_94"
"916","4ea4b3f3-e93e-4f49-81ac-99c260b0862c","Analysis Sets","SECTION 9.1","9.1","<div></div>","NarrativeContent_95"
"917","d78b6e08-6a3c-4099-9bb7-fc3c31896c05","Analyses Supporting Primary Objective(s)","SECTION 9.2","9.2","<div></div>","NarrativeContent_96"
"918","5ffa0839-c66f-44d2-bab3-1267b14d991d","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","9.2.1","<div></div>","NarrativeContent_97"
"919","d869ad37-7d8b-442e-9573-3d30a5b14f3d","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","9.2.2","<div></div>","NarrativeContent_98"
"920","e3902308-b0ac-488a-8b72-f78fd790ad5a","Handling of Missing Data","SECTION 9.2.3","9.2.3","<div></div>","NarrativeContent_99"
"921","bc16c33b-ebfa-4b74-8f39-9069e9efad6d","Sensitivity Analysis","SECTION 9.2.4","9.2.4","<div></div>","NarrativeContent_100"
"922","36799cb4-e764-41ff-80a0-92a74d098d60","Supplementary Analysis","SECTION 9.2.5","9.2.5","<div></div>","NarrativeContent_101"
"923","12607a8b-365a-49c9-83f4-f150869d8889","Analysis Supporting Secondary Objective(s)","SECTION 9.3","9.3","<div></div>","NarrativeContent_102"
"924","41411e79-98f9-4107-bd83-ec460cb5d827","Analysis of Exploratory Objective(s)","SECTION 9.4","9.4","<div></div>","NarrativeContent_103"
"925","00b7f34e-6f38-48c0-87f1-5f356b53f5c7","Safety Analyses","SECTION 9.5","9.5","<div></div>","NarrativeContent_104"
"926","0d214ac7-faea-4073-854e-95525db65e5f","Other Analyses","SECTION 9.6","9.6","<div></div>","NarrativeContent_105"
"927","ad06b6a1-a868-42cb-add6-d4c3fbabdc2d","Interim Analyses","SECTION 9.7","9.7","<div></div>","NarrativeContent_106"
"928","d64320ee-8d84-42c0-abba-ab80b65640a5","Sample Size Determination","SECTION 9.8","9.8","<div></div>","NarrativeContent_107"
"929","6e2bc7af-eac1-4636-9eff-d85799d699f1","Protocol Deviations","SECTION 9.9","9.9","<div></div>","NarrativeContent_108"
"930","53ab1b3b-e025-4e11-8d4c-dc48655e30c6","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","10","<div></div>","NarrativeContent_109"
"931","4a33bac3-7e2e-4335-823e-9791c74d403e","Regulatory and Ethical Considerations","SECTION 10.1","10.1","<div></div>","NarrativeContent_110"
"932","8ba098f0-a760-4910-8ef5-267615c83eb6","Committees","SECTION 10.2","10.2","<div></div>","NarrativeContent_111"
"933","b3b463d3-db5a-4d7d-b678-f15be1a8a643","Informed Consent Process","SECTION 10.3","10.3","<div></div>","NarrativeContent_112"
"934","35971303-c5e4-4465-8aea-f446e39da66f","Data Protection","SECTION 10.4","10.4","<div></div>","NarrativeContent_113"
"935","b5e0900c-ba05-424e-b3be-1f478474bc5d","Early Site Closure or Trial Termination","SECTION 10.5","10.5","<div></div>","NarrativeContent_114"
"936","287d031e-b944-43da-9310-f978415dea63","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","11","<div></div>","NarrativeContent_115"
"937","b2c6dc10-2549-4519-b34a-4001063056f7","Quality Tolerance Limits","SECTION 11.1","11.1","<div></div>","NarrativeContent_116"
"938","00875c12-a156-440a-b896-360141da9de9","Data Quality Assurance","SECTION 11.2","11.2","<div></div>","NarrativeContent_117"
"939","889d61d1-1e07-49c7-8aa0-5ac416b4bc2c","Source Data","SECTION 11.3","11.3","<div></div>","NarrativeContent_118"
"940","fd768b1d-645e-4d07-b8bd-18103634c32f","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","12","<div></div>","NarrativeContent_119"
"941","800a7b54-0cb7-483c-8490-1c261ee1f53a","Further Details and Clarifications on the AE Definition","SECTION 12.1","12.1","<div></div>","NarrativeContent_120"
"942","9c36de2a-d3c3-4e90-bb78-c0ba8d88075f","Further Details and Clarifications on the SAE Definition","SECTION 12.2","12.2","<div></div>","NarrativeContent_121"
"943","f9ce4a0d-cc21-4c13-adca-d7d4888ce0a5","Severity","SECTION 12.3","12.3","<div></div>","NarrativeContent_122"
"944","415f00ae-e454-4976-bad1-e920a555628a","Causality","SECTION 12.4","12.4","<div></div>","NarrativeContent_123"
"945","c77d99df-c128-42ec-9f30-0af49eecc25e","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","13","<div></div>","NarrativeContent_124"
"946","8f75fece-e747-4467-b794-250038ca2cf2","Contraception and Pregnancy Testing","SECTION 13.1","13.1","<div></div>","NarrativeContent_125"
"947","614a9230-01df-49a5-b9be-a5fccf1483e5","Definitions Related to Childbearing Potential","SECTION 13.1.1","13.1.1","<div></div>","NarrativeContent_126"
"948","fb09ebb2-267c-414a-ba59-1468818e1ef2","Contraception","SECTION 13.1.2","13.1.2","<div></div>","NarrativeContent_127"
"949","31f2ff50-2dbd-4a22-9486-3df2d064761e","Pregnancy Testing","SECTION 13.1.3","13.1.3","<div></div>","NarrativeContent_128"
"950","144db08f-4c93-49f1-8abc-a399c906e0e7","Clinical Laboratory Tests","SECTION 13.2","13.2","<div></div>","NarrativeContent_129"
"951","e5e631bb-42d4-4507-af19-1b2cd4a5123d","Country/Region-Specific Differences","SECTION 13.3","13.3","<div></div>","NarrativeContent_130"
"952","72349dfb-fc3d-45d2-bf9d-21d19b745154","Prior Protocol Amendments","SECTION 13.4","13.4","<div></div>","NarrativeContent_131"
"953","2c943ee1-8b42-4dfa-83d9-041b3114c7b0","APPENDIX: GLOSSARY OF TERMS","SECTION 14","14","<div></div>","NarrativeContent_132"
"954","ab15e82e-8633-472a-aa18-6411553291c0","APPENDIX: REFERENCES","SECTION 15","15","<div></div>","NarrativeContent_133"
