"sectionNumber","id","text","uuid:ID","name","sectionTitle","instanceType"
"6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6a8eb078-6723-4eb6-b1d9-9400d57b1235","SECTION 6.6.3","Blinding and Unblinding","NarrativeContent"
"6.7","NarrativeContent_46","<div></div>","3c758dd3-421a-4a8b-af4c-ec9ccd6a9873","SECTION 6.7","Trial Intervention Compliance","NarrativeContent"
"6.8","NarrativeContent_47","<div></div>","b05b51d3-d67e-4085-8e76-21066cc8600a","SECTION 6.8","Concomitant Therapy","NarrativeContent"
"6.8.1","NarrativeContent_48","<div></div>","93bc5665-8adb-4291-bcc5-3abe9c477ecb","SECTION 6.8.1","Prohibited Concomitant Therapy","NarrativeContent"
"6.8.2","NarrativeContent_49","<div></div>","07eeb7e7-ca76-4e1d-968b-440351136df7","SECTION 6.8.2","Permitted Concomitant Therapy","NarrativeContent"
"6.8.3","NarrativeContent_50","<div></div>","0f739d5a-a2a9-4a95-afad-749a2ade7254","SECTION 6.8.3","Rescue Therapy","NarrativeContent"
"6.8.4","NarrativeContent_51","<div></div>","f7386b70-09fb-4ce8-8508-3701caef630f","SECTION 6.8.4","Other Therapy","NarrativeContent"
"7","NarrativeContent_52","<div></div>","4c5f6e11-40a5-4c8a-b45b-3a8a56a098f4","SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent"
"7.1","NarrativeContent_53","<div></div>","9a6ed2f8-4b31-4da7-a4ac-0421489111a5","SECTION 7.1","Discontinuation of Trial Intervention","NarrativeContent"
"7.1.1","NarrativeContent_54","<div></div>","83a7b49a-162a-4f46-ae95-e71d97b370a0","SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent"
"7.1.2","NarrativeContent_55","<div></div>","87cbd9bc-3881-468c-b5da-9c4b88d1bae1","SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent"
"7.1.3","NarrativeContent_56","<div></div>","5ababc56-3174-4fa8-b7f9-9ee90cffa835","SECTION 7.1.3","Rechallenge","NarrativeContent"
"7.2","NarrativeContent_57","<div></div>","0879eaad-80f3-4f90-9238-7f5e93a72829","SECTION 7.2","Participant Withdrawal from the Trial","NarrativeContent"
"7.3","NarrativeContent_58","<div></div>","e6980f5b-9252-41de-9bd8-c005c5637d54","SECTION 7.3","Lost to Follow-Up","NarrativeContent"
"7.4","NarrativeContent_59","<div></div>","4621fd95-4db8-4efa-8989-a38e27f51fa8","SECTION 7.4","Trial Stopping Rules","NarrativeContent"
"8","NarrativeContent_60","<div></div>","ebbb923e-0a51-4022-a0b9-9c5cfa43529b","SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent"
"8.1","NarrativeContent_61","<div></div>","cc296cbc-28a5-42eb-903f-364cfd423647","SECTION 8.1","Screening/Baseline Assessments and Procedures","NarrativeContent"
"8.2","NarrativeContent_62","<div></div>","3a240343-5192-4168-a7c6-d8b9f31d1efe","SECTION 8.2","Efficacy Assessments and Procedures","NarrativeContent"
"8.3","NarrativeContent_63","<div></div>","558f2d4a-6e70-413a-bcb5-43c2a9181298","SECTION 8.3","Safety Assessments and Procedures","NarrativeContent"
"8.3.1","NarrativeContent_64","<div></div>","d51391ec-7494-4083-a86c-d3bc66a2b623","SECTION 8.3.1","Physical Examination","NarrativeContent"
"8.3.2","NarrativeContent_65","<div></div>","22474fb3-6341-4e89-a4eb-ba3181f04383","SECTION 8.3.2","Vital Signs","NarrativeContent"
"8.3.3","NarrativeContent_66","<div></div>","87c909cf-e957-4bf3-a642-7d0c5a201235","SECTION 8.3.3","Electrocardiograms","NarrativeContent"
"8.3.4","NarrativeContent_67","<div></div>","121daca9-5d81-45bb-b529-f91f13ded3df","SECTION 8.3.4","Clinical Laboratory Assessments","NarrativeContent"
"8.3.5","NarrativeContent_68","<div></div>","fb893aeb-4128-4445-b8eb-22acb8c3c31a","SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent"
"8.4","NarrativeContent_69","<div></div>","dd07de58-8161-4d1e-b2d1-aa74d26ed829","SECTION 8.4","Adverse Events and Serious Adverse Events","NarrativeContent"
"8.4.1","NarrativeContent_70","<div></div>","c973902f-aec2-4170-8083-4a1609bcb299","SECTION 8.4.1","Definitions of AE and SAE","NarrativeContent"
"8.4.2","NarrativeContent_71","<div></div>","a9f2d45a-981a-40f3-aa0c-1a2c6f75bc9e","SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent"
"8.4.3","NarrativeContent_72","<div></div>","b4148467-64f6-4cc1-a797-51d66306e0f2","SECTION 8.4.3","Identifying AEs and SAEs","NarrativeContent"
"8.4.4","NarrativeContent_73","<div></div>","c1ca9081-2ea8-48c1-85d1-8761805b9a5c","SECTION 8.4.4","Recording of AEs and SAEs","NarrativeContent"
"8.4.5","NarrativeContent_74","<div></div>","4f705212-0764-4026-ab07-f0e9013161c9","SECTION 8.4.5","Follow-up of AEs and SAEs","NarrativeContent"
"8.4.6","NarrativeContent_75","<div></div>","f911fd1f-f85d-42d0-9496-7e508fd1ff12","SECTION 8.4.6","Reporting of SAEs","NarrativeContent"
"8.4.7","NarrativeContent_76","<div></div>","be073e0f-8190-44ee-898a-86abf82dd367","SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent"
"8.4.8","NarrativeContent_77","<div></div>","8fcfb5d8-635a-4989-b681-a55d19a5ccb4","SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent"
"8.4.9","NarrativeContent_78","<div></div>","8bdda4c1-07b0-4643-8119-94ee55c408f3","SECTION 8.4.9","Adverse Events of Special Interest","NarrativeContent"
"8.4.10","NarrativeContent_79","<div></div>","63c40392-c95f-41d6-98eb-e4ce7a03cea4","SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent"
"8.5","NarrativeContent_80","<div></div>","5d7dff68-4dc7-4d8c-aeff-d7a3459b0e66","SECTION 8.5","Pregnancy and Postpartum Information","NarrativeContent"
"8.5.1","NarrativeContent_81","<div></div>","31957974-a874-4917-8aa0-6d4b5eb4b184","SECTION 8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent"
"8.5.2","NarrativeContent_82","<div></div>","a2f33f29-1d06-453e-bc4b-96b89fd90c08","SECTION 8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent"
"8.6","NarrativeContent_83","<div></div>","fa084936-76af-435d-acb1-079de2e4ad13","SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent"
"8.6.1","NarrativeContent_84","<div></div>","028f870b-a169-41a9-a8aa-7cef192499c0","SECTION 8.6.1","Definition of Medical Device Product Complaints","NarrativeContent"
"8.6.2","NarrativeContent_85","<div></div>","6e244983-ee29-4b19-84ab-1629b96a0471","SECTION 8.6.2","Recording of Medical Device Product Complaints","NarrativeContent"
"8.6.3","NarrativeContent_86","<div></div>","625bb9b0-f66a-4a79-be3f-ff6aa0b0efc0","SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent"
"8.6.4","NarrativeContent_87","<div></div>","c2c09581-e655-4136-a44b-bdf12c9d5a48","SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent"
"8.6.5","NarrativeContent_88","<div></div>","4cd1085d-1ca5-4c9e-838c-bf1522ef2aa5","SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent"
"8.7","NarrativeContent_89","<div></div>","d93530c1-7f25-45c8-b383-41b6d7e92155","SECTION 8.7","Pharmacokinetics","NarrativeContent"
"8.8","NarrativeContent_90","<div></div>","3c9ca80f-2986-4d44-911a-95d6a2180f89","SECTION 8.8","Genetics","NarrativeContent"
"8.9","NarrativeContent_91","<div></div>","14198bc4-5657-4b30-8880-a9895a08b9b6","SECTION 8.9","Biomarkers","NarrativeContent"
"8.1","NarrativeContent_92","<div></div>","db003b1c-5957-4521-8166-370779705e02","SECTION 8.1","Immunogenicity Assessments","NarrativeContent"
"8.1.1","NarrativeContent_93","<div></div>","1062601e-4479-4d4e-8895-4cbb054a368b","SECTION 8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent"
"9","NarrativeContent_94","<div></div>","dd11ff26-0279-40ed-9e05-e9141d6b6a31","SECTION 9","STATISTICAL CONSIDERATIONS","NarrativeContent"
"9.1","NarrativeContent_95","<div></div>","684ccad9-aee0-4dfc-985b-8f810e3511e2","SECTION 9.1","Analysis Sets","NarrativeContent"
"9.2","NarrativeContent_96","<div></div>","49b47a6b-b9be-4d8b-9733-781e99174fbb","SECTION 9.2","Analyses Supporting Primary Objective(s)","NarrativeContent"
"9.2.1","NarrativeContent_97","<div></div>","dd7e8c07-eb7e-4e64-9a62-d907a138209c","SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent"
"9.2.2","NarrativeContent_98","<div></div>","26a4a54e-bc71-473d-ada7-b2072f4f8f3c","SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent"
"9.2.3","NarrativeContent_99","<div></div>","a3fce3c3-5aa7-4c7d-830f-86ae7b1fc78a","SECTION 9.2.3","Handling of Missing Data","NarrativeContent"
"9.2.4","NarrativeContent_100","<div></div>","5102fa55-e256-4b08-a324-3b44b1aba24c","SECTION 9.2.4","Sensitivity Analysis","NarrativeContent"
"9.2.5","NarrativeContent_101","<div></div>","45c4d56f-598c-4b48-9c8e-1fbd8765c0ae","SECTION 9.2.5","Supplementary Analysis","NarrativeContent"
"9.3","NarrativeContent_102","<div></div>","505c61d0-6e09-483f-b9d0-a4c6303b5962","SECTION 9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent"
"9.4","NarrativeContent_103","<div></div>","f1b3a56f-fe7c-4d66-a1cc-5aae3de838fc","SECTION 9.4","Analysis of Exploratory Objective(s)","NarrativeContent"
"9.5","NarrativeContent_104","<div></div>","37998936-af4a-4ac9-8640-32e104747d14","SECTION 9.5","Safety Analyses","NarrativeContent"
"9.6","NarrativeContent_105","<div></div>","5013c972-bf40-4eda-8e78-46b71c3c791a","SECTION 9.6","Other Analyses","NarrativeContent"
"9.7","NarrativeContent_106","<div></div>","e5242586-667a-4902-927d-7969e6434117","SECTION 9.7","Interim Analyses","NarrativeContent"
"9.8","NarrativeContent_107","<div></div>","f7aa5eb7-4aa4-444e-969f-6cab92819a76","SECTION 9.8","Sample Size Determination","NarrativeContent"
"9.9","NarrativeContent_108","<div></div>","a4ecc55e-4f10-4778-98da-446994ea0942","SECTION 9.9","Protocol Deviations","NarrativeContent"
"10","NarrativeContent_109","<div></div>","267c6134-bc58-4e5b-9149-0d607ac43794","SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent"
"10.1","NarrativeContent_110","<div></div>","80ec9e72-d626-474a-9012-e83ce8c5e6db","SECTION 10.1","Regulatory and Ethical Considerations","NarrativeContent"
"10.2","NarrativeContent_111","<div></div>","b00341ca-731d-43fe-a605-30281230519d","SECTION 10.2","Committees","NarrativeContent"
"10.3","NarrativeContent_112","<div></div>","696327c6-dbff-4999-9dcc-97b17ef59aef","SECTION 10.3","Informed Consent Process","NarrativeContent"
"10.4","NarrativeContent_113","<div></div>","d698e6b8-c8b5-46dc-85c7-e27878fd1d92","SECTION 10.4","Data Protection","NarrativeContent"
"10.5","NarrativeContent_114","<div></div>","e81db30d-73cb-4e04-86b1-3978c1fe0967","SECTION 10.5","Early Site Closure or Trial Termination","NarrativeContent"
"11","NarrativeContent_115","<div></div>","9e334d10-2798-4353-92d0-9c44fd6be82a","SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent"
"11.1","NarrativeContent_116","<div></div>","7f342604-5669-4e32-9a49-c4e0bd0b4348","SECTION 11.1","Quality Tolerance Limits","NarrativeContent"
"11.2","NarrativeContent_117","<div></div>","9bfcd676-9fca-479f-9b50-2ce396c34978","SECTION 11.2","Data Quality Assurance","NarrativeContent"
"11.3","NarrativeContent_118","<div></div>","58d7eea0-b4a7-4965-ac39-960ece6d984c","SECTION 11.3","Source Data","NarrativeContent"
"12","NarrativeContent_119","<div></div>","3ff0f375-1f1d-4460-82a1-ebe143b0f1bb","SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent"
"12.1","NarrativeContent_120","<div></div>","be57947e-d675-4d60-b5b1-399fd55864ad","SECTION 12.1","Further Details and Clarifications on the AE Definition","NarrativeContent"
"12.2","NarrativeContent_121","<div></div>","aa2bfe9d-5af3-40fc-b52e-8d61903feb30","SECTION 12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent"
"12.3","NarrativeContent_122","<div></div>","fe4fcfcc-f72f-46a5-9099-d66d7255b1b1","SECTION 12.3","Severity","NarrativeContent"
"12.4","NarrativeContent_123","<div></div>","6c8fcabb-32c5-4bb5-b235-1c7b29fd8643","SECTION 12.4","Causality","NarrativeContent"
"13","NarrativeContent_124","<div></div>","b8a8aa4d-e769-4079-b949-19fd7ff4a225","SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent"
"13.1","NarrativeContent_125","<div></div>","5a0b4ffe-3ec2-4967-99c0-a2ac68e604c2","SECTION 13.1","Contraception and Pregnancy Testing","NarrativeContent"
"13.1.1","NarrativeContent_126","<div></div>","6076ad77-e932-4209-aa7a-f760ff81c2f9","SECTION 13.1.1","Definitions Related to Childbearing Potential","NarrativeContent"
"13.1.2","NarrativeContent_127","<div></div>","d6cb381f-32ab-409b-b65a-4e6e0e91d75f","SECTION 13.1.2","Contraception","NarrativeContent"
"13.1.3","NarrativeContent_128","<div></div>","f3db9f10-9904-4b56-b215-5b15423de6eb","SECTION 13.1.3","Pregnancy Testing","NarrativeContent"
"13.2","NarrativeContent_129","<div></div>","fe7b5cb8-1749-4315-b675-d246ed87ea7a","SECTION 13.2","Clinical Laboratory Tests","NarrativeContent"
"13.3","NarrativeContent_130","<div></div>","5744d274-97ef-457e-ba23-5a482e642ca3","SECTION 13.3","Country/Region-Specific Differences","NarrativeContent"
"13.4","NarrativeContent_131","<div></div>","d10748ba-afb2-4a4f-84c7-9f45105ba49a","SECTION 13.4","Prior Protocol Amendments","NarrativeContent"
"14","NarrativeContent_132","<div></div>","2d64ffef-1914-46f7-8cd7-4b80e9bf4a39","SECTION 14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent"
"15","NarrativeContent_133","<div></div>","c7dc8392-a6b2-4bdc-81f1-6dbf567120e3","SECTION 15","APPENDIX: REFERENCES","NarrativeContent"
