"decode","id","codeSystemVersion","codeSystem","uuid:ID","instanceType","code"
"Telephone Call","Code_107","2023-09-29","http://www.cdisc.org","ac8a7724-e6d1-4b48-b2a0-b434629b0607","Code","C171537"
"Visit","Code_108","2023-09-29","http://www.cdisc.org","c77e10d9-cc0a-4853-a7bb-cde4123c1fc4","Code","C25716"
"Clinic","Code_109","2023-09-29","http://www.cdisc.org","9ee5e439-8e9e-4e90-aab6-9824d803f839","Code","C51282"
"In Person","Code_110","2023-09-29","http://www.cdisc.org","c95fd786-8a36-414a-9e84-2c4224633832","Code","C175574"
"Telephone Call","Code_111","2023-09-29","http://www.cdisc.org","4b254e35-b02c-4d90-af71-9c0dbef62b39","Code","C171537"
"Visit","Code_112","2023-09-29","http://www.cdisc.org","8f8992f6-828c-408b-93c7-9ae18e7d98b1","Code","C25716"
"Clinic","Code_113","2023-09-29","http://www.cdisc.org","22e3adae-61b5-4ae1-bd2e-811d694a8552","Code","C51282"
"In Person","Code_114","2023-09-29","http://www.cdisc.org","70250757-f6ac-4eba-a394-7521fdd4bef9","Code","C175574"
"Telephone Call","Code_115","2023-09-29","http://www.cdisc.org","9d0891f4-c82c-4764-a88e-8bbf7d741560","Code","C171537"
"Visit","Code_116","2023-09-29","http://www.cdisc.org","43ddc5de-0dd5-4356-830c-d8b792023a22","Code","C25716"
"Clinic","Code_117","2023-09-29","http://www.cdisc.org","ae7df748-06b2-496b-854e-e7d2b0182b9c","Code","C51282"
"In Person","Code_118","2023-09-29","http://www.cdisc.org","7b81ccc8-df3c-4904-8b79-e4389cce607c","Code","C175574"
"Visit","Code_119","2023-09-29","http://www.cdisc.org","e65d2729-eb56-44f7-9fa0-664ac55679c5","Code","C25716"
"Clinic","Code_120","2023-09-29","http://www.cdisc.org","839b6f77-8f4a-4b64-91ba-d0b5e9216676","Code","C51282"
"In Person","Code_121","2023-09-29","http://www.cdisc.org","02f679f8-452f-4107-9ddc-3bf788086174","Code","C175574"
"CT of head without contrast","Code_79","January 31, 2018","SNOMED","80c689b7-dfca-439f-a02e-7bfd55820bce","Code","383371000119108"
"Subject Supine","Code_80","12","SPONSOR","de373431-17f0-42b4-be16-f379618547a7","Code","123"
"Subject Standing","Code_81","12","SPONSOR","77e7159e-26fe-417f-81ee-2b327484fd1f","Code","124"
"Vital Signs Result","Code_278","","NCI Thesaurus","1ad75713-aa85-4e36-8d0e-27c1a1029dd3","Code","C173522"
"Kelvin","Code_279","2023-09-29","http://www.cdisc.org","6a804500-b6d5-426c-9217-7b3f82fa2866","Code","C42537"
"Unit of Temperature","Code_280","","NCI Thesaurus","98827d1b-0c42-4dfd-a936-f0d5a91f5f33","Code","C44276"
"Vital Signs Location","Code_281","","NCI Thesaurus","6eba71fe-8c86-4189-a840-3b9034d29412","Code","C83088"
"Body Temperature","Code_277","","NCI Thesaurus","1efcca56-b875-4554-b1bb-763ad2b00fe8","Code","C174446"
"Vital Signs Result","Code_283","","NCI Thesaurus","7d714e0e-77ac-4e79-a38f-3d49082cbf4c","Code","C173522"
"Kilogram","Code_284","2023-09-29","http://www.cdisc.org","2ae79ef2-eff5-4b26-8d9f-d5b19c2db736","Code","C28252"
"Gram","Code_285","2023-09-29","http://www.cdisc.org","acb6a99b-b0de-46cc-80d6-45a0ff7a56de","Code","C48155"
"Pound","Code_286","2023-09-29","http://www.cdisc.org","ed002804-1ca6-4d93-a73c-62a2c9235cd4","Code","C48531"
"Unit of Weight","Code_287","","NCI Thesaurus","75d58acd-af23-43d1-ad4c-aa4ea20db410","Code","C48208"
"Body Weight","Code_282","","NCI Thesaurus","a0ea68cc-0cb9-49af-95f1-256c09bbcb19","Code","C81328"
"Vital Signs Result","Code_289","","NCI Thesaurus","b654502a-4a05-42e5-a4e8-8440834bdaaf","Code","C173522"
"Centimeter","Code_290","2023-09-29","http://www.cdisc.org","ea5d565b-da61-4ac3-94e7-00d2c7b897f2","Code","C49668"
"Inch","Code_291","2023-09-29","http://www.cdisc.org","f8e9c589-a86b-4ca1-b73c-a15d399e6613","Code","C48500"
"Millimeter","Code_292","2023-09-29","http://www.cdisc.org","61568bb5-82d4-408f-9fec-247c00eea9d0","Code","C28251"
"Meter","Code_293","2023-09-29","http://www.cdisc.org","6b38ff4c-9d11-435f-864d-d992e4bd65ab","Code","C41139"
"Unit of Height","Code_294","","NCI Thesaurus","4d191e96-55f0-4efa-87d3-682d7f9c816a","Code","C168688"
"Body Height","Code_288","","NCI Thesaurus","fb2fd389-6d78-4688-b6c3-622a4d7ed27a","Code","C164634"
"Laboratory Test Result","Code_296","","NCI Thesaurus","b0e0f69c-c473-4d95-a793-18e59bde3921","Code","C36292"
"Laboratory Test Fasting Status","Code_297","","NCI Thesaurus","49b647a6-d460-48de-8efb-a0e95a9a0d83","Code","C83309"
"Unit of Catalytic Activity Concentration","Code_298","","NCI Thesaurus","c5b187cf-b7db-4506-903e-8c62f11bc9ca","Code","C67365"
"Biospecimen Type","Code_299","","NCI Thesaurus","1eb472f4-5dde-4b88-9bc8-07395f47ff2b","Code","C70713"
"Alanine Aminotransferase Measurement","Code_295","","NCI Thesaurus","0b613203-76d4-48d8-9a8b-d892eb256e34","Code","C64433"
"Laboratory Test Result","Code_301","","NCI Thesaurus","acb2423f-efe3-43fd-9816-a8356cf31112","Code","C36292"
"Laboratory Test Fasting Status","Code_302","","NCI Thesaurus","ef8c0cde-98c9-48f2-8b93-0f406fbe5b80","Code","C83309"
"Unit of Concentration","Code_303","","NCI Thesaurus","5c80255f-9732-4085-af4a-f2c4c45d25e6","Code","C48207"
"Biospecimen Type","Code_304","","NCI Thesaurus","4bdea7b0-4ef2-4973-a945-fd4f40b13249","Code","C70713"
"Albumin Measurement","Code_300","","NCI Thesaurus","ff2c52d2-6e79-452a-8ed6-742e3ceaf1e2","Code","C64431"
"Laboratory Test Result","Code_306","","NCI Thesaurus","7c399944-ce86-49e5-968f-7254363aeb46","Code","C36292"
"Laboratory Test Fasting Status","Code_307","","NCI Thesaurus","e1271f8d-4b65-450c-8016-f2b005361faa","Code","C83309"
"Unit of Catalytic Activity Concentration","Code_308","","NCI Thesaurus","d465bfd3-cd54-4b06-baa9-6955b62a5370","Code","C67365"
"Biospecimen Type","Code_309","","NCI Thesaurus","cd960d6e-765e-403e-b936-4ae84186174c","Code","C70713"
"Alkaline Phosphatase Measurement","Code_305","","NCI Thesaurus","d673b051-c6d4-4cf0-9e79-c4602fc5bd9d","Code","C64432"
"Laboratory Test Result","Code_311","","NCI Thesaurus","058a21c1-d270-4d17-a51c-c1e258bb9eb1","Code","C36292"
"Laboratory Test Fasting Status","Code_312","","NCI Thesaurus","9593d86c-1e05-4b69-9fcb-183795632749","Code","C83309"
"Unit of Catalytic Activity Concentration","Code_313","","NCI Thesaurus","c718e7bc-6b97-4c9c-ab62-d235ab374df2","Code","C67365"
"Biospecimen Type","Code_314","","NCI Thesaurus","a08f687b-7c11-4e08-8973-8545f1b63bcd","Code","C70713"
"Aspartate Aminotransferase Measurement","Code_310","","NCI Thesaurus","5078d3ac-36f7-48c9-b152-e29073037694","Code","C64467"
"Laboratory Test Result","Code_316","","NCI Thesaurus","fb66e6a7-e778-4d20-9a5a-bc8d86005945","Code","C36292"
"Laboratory Test Fasting Status","Code_317","","NCI Thesaurus","c41b4d32-2185-4d5f-8238-7ede51def0a7","Code","C83309"
"Unit of Concentration","Code_318","","NCI Thesaurus","fc356cdd-29a6-4ebe-a993-00fd698afc22","Code","C48207"
"Biospecimen Type","Code_319","","NCI Thesaurus","ea5e8bc2-d1c3-4b47-aea0-88f9405d83ca","Code","C70713"
"Creatinine Measurement","Code_315","","NCI Thesaurus","cfe7c930-0c19-4966-8de3-6c4998baaea1","Code","C64547"
"Laboratory Test Result","Code_321","","NCI Thesaurus","5f3eebfb-89a5-4378-b2a6-d545fff13291","Code","C36292"
"Laboratory Test Fasting Status","Code_322","","NCI Thesaurus","82bc515e-70f1-4d56-9831-1629d4ef15c3","Code","C83309"
"Molarity Unit","Code_323","","NCI Thesaurus","f2fb048d-dc01-4f56-ae5e-ce24c5cc106c","Code","C64567"
"Biospecimen Type","Code_324","","NCI Thesaurus","5d80837a-9f57-4e95-8133-2f43f6bade9e","Code","C70713"
"Potassium Measurement","Code_320","","NCI Thesaurus","4a63ab53-b0ce-4aab-a89e-63e811c0c153","Code","C64853"
"Laboratory Test Result","Code_326","","NCI Thesaurus","5ab1d0b3-6793-4cc7-ade9-bc024d590009","Code","C36292"
"Laboratory Test Fasting Status","Code_327","","NCI Thesaurus","8d3200dd-3af9-438e-82d8-341e1819bc75","Code","C83309"
"Molarity Unit","Code_328","","NCI Thesaurus","7a532bda-f9b7-4502-9061-82c38fdb7603","Code","C64567"
"Biospecimen Type","Code_329","","NCI Thesaurus","6a66b642-96c4-4017-b125-22dda8c01d58","Code","C70713"
"Sodium Measurement","Code_325","","NCI Thesaurus","97c745ef-0a89-4926-9524-2b94ee5f51fd","Code","C64809"
"Adverse Event Verbatim Description","Code_145","","NCI Thesaurus","edcc16ff-999e-4705-ad5c-9a5f6935fd77","Code","C78541"
"Adverse Event Dictionary Derived Term","Code_146","","NCI Thesaurus","9140be36-455c-4dc2-9b75-a5bf12f09785","Code","C83344"
"Adverse Event Category","Code_147","","NCI Thesaurus","321ae353-7f50-4274-afa7-12f91ecaa8e3","Code","C83198"
"Adverse Event Subcategory","Code_148","","NCI Thesaurus","866eb0cf-245f-4ba1-ad9d-2a8735f69ab6","Code","C83212"
"Adverse Event Pre-specified","Code_149","","NCI Thesaurus","a4cc723b-3693-4f69-8a70-7c1e90ecb961","Code","C87840"
"Severity of Adverse Event","Code_150","","NCI Thesaurus","6951f73d-e0a4-4c8f-b3a5-9592c9a1e8fc","Code","C53253"
"Adverse Event Toxicity Grade","Code_151","","NCI Thesaurus","1e985f11-2856-46bb-9502-f06cb92c6223","Code","C78605"
"Seriousness of Adverse Event","Code_152","","NCI Thesaurus","f7dc8002-f132-4908-bcbe-e0ee6080b5f5","Code","C53252"
"Adverse Event Action Taken with Study Treatment","Code_153","","NCI Thesaurus","13b65650-93bf-4366-928f-e9c43c4d492d","Code","C83013"
"Adverse Event Attribution to Product or Procedure","Code_154","","NCI Thesaurus","b1568017-0c3d-476c-946e-a11161a786a5","Code","C41358"
"Intermittent","Code_155","2023-09-29","http://www.cdisc.org","08ab83db-e040-4272-9d01-06377bc1270c","Code","C71325"
"Adverse Event Pattern","Code_156","","NCI Thesaurus","0e193fe2-0516-4d2c-a333-db111971bac4","Code","C83208"
"Adverse Event Outcome","Code_157","","NCI Thesaurus","6017551b-b41e-4dc5-be8f-05c1802bab41","Code","C49489"
"Adverse Event Start Date Time","Code_158","","NCI Thesaurus","c0158fff-1f51-4840-a8a8-47053c104995","Code","C83215"
"Adverse Event End Date Time","Code_159","","NCI Thesaurus","2659b37f-8c86-4db9-8a0e-b6bf123fab6c","Code","C83201"
"Adverse Event","Code_144","","NCI Thesaurus","f9edf910-d844-401f-b911-032b1816eaba","Code","C41331"
"Vital Signs Result","Code_161","","NCI Thesaurus","cfdc9870-8d5e-471b-9efa-cbecf5cabd32","Code","C173522"
"Pascal","Code_162","2023-09-29","http://www.cdisc.org","ae29c418-4a04-4528-9985-c9cf59115ef2","Code","C42547"
"Unit of Pressure","Code_163","","NCI Thesaurus","84506125-5e28-4c73-b757-6f595ec91c52","Code","C49669"
"Vital Signs Location","Code_164","","NCI Thesaurus","7722a713-30ae-4089-86b9-ba48ce14268e","Code","C83088"
"Vital Signs Laterality","Code_165","","NCI Thesaurus","f24e1d13-8313-4c9e-9fca-deb2400c6d3e","Code","C123975"
"Test Method","Code_166","","NCI Thesaurus","2a304af0-5908-4bf1-9c5c-82444c19e08d","Code","C82535"
"Vital Signs Position","Code_167","","NCI Thesaurus","a022a108-78af-4667-bdc1-b60557681d90","Code","C83114"
"Systolic Blood Pressure","Code_160","","NCI Thesaurus","a4a9f19d-8649-4d01-befe-b9efa966f6b0","Code","C25298"
"Vital Signs Result","Code_169","","NCI Thesaurus","3cc3b9a5-dfb4-4986-8b88-d71018e8b73f","Code","C173522"
"Pascal","Code_170","2023-09-29","http://www.cdisc.org","5af4fd71-fa16-4149-9e1c-d6aa04a8a594","Code","C42547"
"Unit of Pressure","Code_171","","NCI Thesaurus","66bd5625-5101-47fe-b7b1-c4ea161e21f3","Code","C49669"
"Vital Signs Location","Code_172","","NCI Thesaurus","5960a14e-1a57-4f1f-a42d-0fd2ed505e6e","Code","C83088"
"Vital Signs Laterality","Code_173","","NCI Thesaurus","11c41f85-d74c-4144-8b6d-8dddb9a61f51","Code","C123975"
"Test Method","Code_174","","NCI Thesaurus","4dc43a12-721a-4a90-9ae7-b6f082a6a4c3","Code","C82535"
"Vital Signs Position","Code_175","","NCI Thesaurus","e2177312-d68f-46b0-9375-efadc2bbee73","Code","C83114"
"Diastolic Blood Pressure","Code_168","","NCI Thesaurus","a26e09c1-fdad-4a09-87a4-7f6b7a48d61c","Code","C25299"
"Vital Signs Result","Code_177","","NCI Thesaurus","b5ba32a8-cfe1-4621-9097-2578bd2222d5","Code","C173522"
"Kelvin","Code_178","2023-09-29","http://www.cdisc.org","ebb467ec-5f10-4d96-bc6d-f444fa141d81","Code","C42537"
"Unit of Temperature","Code_179","","NCI Thesaurus","af15c225-17f0-4a5f-9fce-682e68392a93","Code","C44276"
"Vital Signs Location","Code_180","","NCI Thesaurus","851bccc0-5e7b-4caf-85bd-e496d435ca76","Code","C83088"
"Body Temperature","Code_176","","NCI Thesaurus","e09a1a63-aa12-408e-86d7-c7a4e2444543","Code","C174446"
"Vital Signs Result","Code_182","","NCI Thesaurus","639eafde-0fde-4e40-bfc8-2d09974d4d4c","Code","C173522"
"Kilogram","Code_183","2023-09-29","http://www.cdisc.org","1ca11363-4a9d-40a9-9bd9-3b663b9ca7b3","Code","C28252"
"Gram","Code_184","2023-09-29","http://www.cdisc.org","2f95afa5-5979-48fb-8ff5-81abd61ddba2","Code","C48155"
"Pound","Code_185","2023-09-29","http://www.cdisc.org","c35d1a4c-5420-47cf-920d-1af4021db222","Code","C48531"
"Unit of Weight","Code_186","","NCI Thesaurus","4c4a7539-cd98-4b40-a0d1-f6044f394baa","Code","C48208"
"Body Weight","Code_181","","NCI Thesaurus","876c6f0e-dd10-49b7-b8d2-2feac1b54445","Code","C81328"
"Vital Signs Result","Code_188","","NCI Thesaurus","ee83c52e-fe19-45a3-a647-a5ddad7c77fd","Code","C173522"
"Centimeter","Code_189","2023-09-29","http://www.cdisc.org","e9fc49f6-08c4-4d69-a439-abb03c9a74fc","Code","C49668"
"Inch","Code_190","2023-09-29","http://www.cdisc.org","d28ef757-346c-4127-ab53-002fd8657027","Code","C48500"
"Millimeter","Code_191","2023-09-29","http://www.cdisc.org","6ceb42dd-81b5-4d7e-9d4a-3f520c2cb24f","Code","C28251"
"Meter","Code_192","2023-09-29","http://www.cdisc.org","d4918d04-34cb-43e0-b37c-c051bf622142","Code","C41139"
"Unit of Height","Code_193","","NCI Thesaurus","2e0dddcb-69f3-4274-91f1-1fafc951ff20","Code","C168688"
"Body Height","Code_187","","NCI Thesaurus","a248a2c4-55a4-45fd-a20b-6ef62c00d740","Code","C164634"
"Laboratory Test Result","Code_195","","NCI Thesaurus","fee00cbf-fc7d-4664-940b-c68f7f3567fa","Code","C36292"
"Laboratory Test Fasting Status","Code_196","","NCI Thesaurus","071b7f4b-3914-408f-98b4-372083423e20","Code","C83309"
"Unit of Catalytic Activity Concentration","Code_197","","NCI Thesaurus","335fddeb-f859-48af-a6b1-e548365f32da","Code","C67365"
"Biospecimen Type","Code_198","","NCI Thesaurus","6d89b072-4128-41f7-9d64-7c70c59f303a","Code","C70713"
"Alanine Aminotransferase Measurement","Code_194","","NCI Thesaurus","baf891c3-5019-4777-943a-923d6d6a14d5","Code","C64433"
"Laboratory Test Result","Code_200","","NCI Thesaurus","67d8d751-1be0-413f-90f0-cf96c74d4a1d","Code","C36292"
"Laboratory Test Fasting Status","Code_201","","NCI Thesaurus","8e72d8d9-f012-41af-b325-cf7bc621f752","Code","C83309"
"Unit of Concentration","Code_202","","NCI Thesaurus","5cf62dd5-0e01-414a-9c4a-761b96dc1399","Code","C48207"
"Biospecimen Type","Code_203","","NCI Thesaurus","f61cd8f2-feb2-4d36-8aa2-a19565af38c1","Code","C70713"
"Albumin Measurement","Code_199","","NCI Thesaurus","6f0224d0-3225-4493-a85e-f69f929d11dc","Code","C64431"
"Laboratory Test Result","Code_205","","NCI Thesaurus","a1169f17-ff1f-4451-a2c1-03b0ee8baeb8","Code","C36292"
"Laboratory Test Fasting Status","Code_206","","NCI Thesaurus","192132b2-2c76-4fbc-92f6-3b59a71998bb","Code","C83309"
"Unit of Catalytic Activity Concentration","Code_207","","NCI Thesaurus","f42f4a8c-9949-456f-b780-9bce5c9e3fd1","Code","C67365"
"Biospecimen Type","Code_208","","NCI Thesaurus","b5281e6d-07cf-4df7-8c42-c78dc20a7a3c","Code","C70713"
"Alkaline Phosphatase Measurement","Code_204","","NCI Thesaurus","1eee4120-1bee-49cb-af66-c3de2b08dfee","Code","C64432"
"Laboratory Test Result","Code_210","","NCI Thesaurus","db62b0b4-c1ef-42b1-8987-8bfb088a2a68","Code","C36292"
"Laboratory Test Fasting Status","Code_211","","NCI Thesaurus","8ec2fc06-79fd-48fb-85b4-ab0320cdf62b","Code","C83309"
"Unit of Catalytic Activity Concentration","Code_212","","NCI Thesaurus","2741fb63-7716-41b6-8042-60e13c0de0c9","Code","C67365"
"Biospecimen Type","Code_213","","NCI Thesaurus","10354ad5-ef0b-4b01-9d03-09ad7c37333e","Code","C70713"
"Aspartate Aminotransferase Measurement","Code_209","","NCI Thesaurus","cc631090-ccfa-4ebe-bd0c-af3173b06e83","Code","C64467"
"Laboratory Test Result","Code_215","","NCI Thesaurus","d84b0487-ce30-4079-a1ed-717093259c8d","Code","C36292"
"Laboratory Test Fasting Status","Code_216","","NCI Thesaurus","c0ce249c-fa85-48fc-a38a-c41b1e83b6dc","Code","C83309"
"Unit of Concentration","Code_217","","NCI Thesaurus","2a20eb6f-648d-41a8-9594-e6b499465e77","Code","C48207"
"Biospecimen Type","Code_218","","NCI Thesaurus","f4bd6727-f465-4d8c-8876-2e9e4352cb3b","Code","C70713"
"Creatinine Measurement","Code_214","","NCI Thesaurus","f1195314-9d06-47ad-8fad-3837a0e37cf0","Code","C64547"
"Laboratory Test Result","Code_220","","NCI Thesaurus","41f8f1ac-1b37-41ac-a434-31d4331bc35a","Code","C36292"
"Laboratory Test Fasting Status","Code_221","","NCI Thesaurus","b0d3238a-02ca-4b44-b370-e10b81e8966a","Code","C83309"
"Molarity Unit","Code_222","","NCI Thesaurus","769728e4-25bd-4989-a9ab-1bdb6b940a31","Code","C64567"
"Biospecimen Type","Code_223","","NCI Thesaurus","196c8bbd-3686-40db-9df7-b19877900f36","Code","C70713"
"Potassium Measurement","Code_219","","NCI Thesaurus","2e8370bd-6356-4c77-ae79-169ab2dabbd3","Code","C64853"
"Laboratory Test Result","Code_225","","NCI Thesaurus","196e913b-d116-4b28-84b7-2ff4e0b1842e","Code","C36292"
"Laboratory Test Fasting Status","Code_226","","NCI Thesaurus","0e750380-f003-4e21-8602-4a227659e9ac","Code","C83309"
"Molarity Unit","Code_227","","NCI Thesaurus","471128f4-d489-4da3-9b71-f04dd65ac723","Code","C64567"
"Biospecimen Type","Code_228","","NCI Thesaurus","10960d93-cf46-49b0-9336-d7dd7b70bc7c","Code","C70713"
"Sodium Measurement","Code_224","","NCI Thesaurus","3fbf7e42-7b20-4904-8cf6-474415b83934","Code","C64809"
"Vital Signs Result","Code_230","","NCI Thesaurus","61fd7fe3-cb24-45d2-a071-68757134a7aa","Code","C173522"
"Pascal","Code_231","2023-09-29","http://www.cdisc.org","7643c91d-6b5b-4353-b4fa-10620b0e315c","Code","C42547"
"Unit of Pressure","Code_232","","NCI Thesaurus","5e86d981-2851-470a-99cc-274bb6544b36","Code","C49669"
"Vital Signs Location","Code_233","","NCI Thesaurus","741b3db5-ccdc-4e26-a087-925f4f46c581","Code","C83088"
"Vital Signs Laterality","Code_234","","NCI Thesaurus","d3534d78-ad74-43a9-9c35-3041ad4b9767","Code","C123975"
"Test Method","Code_235","","NCI Thesaurus","411dbb52-ebb2-4c39-acd0-b89e68bff75f","Code","C82535"
"Vital Signs Position","Code_236","","NCI Thesaurus","6236bdac-19aa-47c9-b7f6-42b7655a64d0","Code","C83114"
"Systolic Blood Pressure","Code_229","","NCI Thesaurus","c5ff0dd5-2f47-41ae-87a6-251938ef9aab","Code","C25298"
"Vital Signs Result","Code_238","","NCI Thesaurus","0e5d07bc-0e7b-4972-9ce7-55f96a7ff2f9","Code","C173522"
"Pascal","Code_239","2023-09-29","http://www.cdisc.org","738a904d-1003-48e4-84a9-ea43dd2ae2ec","Code","C42547"
"Unit of Pressure","Code_240","","NCI Thesaurus","d5e36281-6b8b-4802-9d29-787186e33c5c","Code","C49669"
"Vital Signs Location","Code_241","","NCI Thesaurus","9b8d0a84-1f26-46d3-94cd-d757ae93e7d3","Code","C83088"
"Vital Signs Laterality","Code_242","","NCI Thesaurus","58998484-df01-445c-9dcb-a065055bbd57","Code","C123975"
"Test Method","Code_243","","NCI Thesaurus","df9c22dc-e581-4e34-874a-709052f61b2a","Code","C82535"
"Vital Signs Position","Code_244","","NCI Thesaurus","2affd583-be2e-42b4-af57-cca3e4c597ab","Code","C83114"
"Diastolic Blood Pressure","Code_237","","NCI Thesaurus","2f099765-8b41-459d-8869-31316538d3b1","Code","C25299"
"Vital Signs Result","Code_246","","NCI Thesaurus","554ca3fe-91cb-4435-97b6-455658b64811","Code","C173522"
