"sectionNumber","name","id","sectionTitle","text","uuid:ID"
"4.2.2","SECTION 4.2.2","NarrativeContent_16","Rationale for Adaptive or Novel Trial Design","<div></div>","f853d086-bc50-4876-88bb-caf743ee7df2"
"4.2.3","SECTION 4.2.3","NarrativeContent_17","Other Trial Design Considerations","<div></div>","3b77be84-6d68-4468-8a50-f7028c2b92ba"
"4.3","SECTION 4.3","NarrativeContent_18","Access to Trial Intervention After End of Trial","<div></div>","ba9930b3-4174-4aec-b3c4-2f6e233cba19"
"4.4","SECTION 4.4","NarrativeContent_19","Start of Trial and End of Trial","<div></div>","9b7765cc-f909-416c-b899-0cd4e53061ef"
"5","SECTION 5","NarrativeContent_20","TRIAL POPULATION","<div></div>","20956be0-9fd0-4244-92fb-aafd07074ad5"
"5.1","SECTION 5.1","NarrativeContent_21","Selection of Trial Population","<div></div>","2c14c953-ee94-452f-a692-e44d15bd615a"
"5.2","SECTION 5.2","NarrativeContent_22","Rationale for Trial Population","<div></div>","e4bf87a1-f7b0-4b22-8b9c-ef5b3047781e"
"5.3","SECTION 5.3","NarrativeContent_23","Inclusion Criteria","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","6fd58052-f8b5-4c1f-a9c2-0d29cb4c99bd"
"5.4","SECTION 5.4","NarrativeContent_24","Exclusion Criteria","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","dd41e847-dc78-44ee-b05b-6d3e03b5e97d"
"5.5","SECTION 5.5","NarrativeContent_25","Lifestyle Considerations","<div></div>","b727dd43-69ba-4a6c-a017-53cd8b094d70"
"5.5.1","SECTION 5.5.1","NarrativeContent_26","Meals and Dietary Restrictions","<div></div>","644a71c0-7275-4d8f-9963-b061a566e1f0"
"5.5.2","SECTION 5.5.2","NarrativeContent_27","Caffeine, Alcohol, Tobacco, and Other Habits","<div></div>","5fad3819-4767-4132-adb9-fa866e306790"
"5.5.3","SECTION 5.5.3","NarrativeContent_28","Physical Activity","<div></div>","3d33ff81-f515-4bfe-b272-f29749bb4c27"
"5.5.4","SECTION 5.5.4","NarrativeContent_29","Other Activity","<div></div>","66b1e213-32e7-4e20-909c-a99c78b8fc5d"
"5.6","SECTION 5.6","NarrativeContent_30","Screen Failures","<div></div>","65821534-a527-44aa-9a21-3b38fcecc4d1"
"6","SECTION 6","NarrativeContent_31","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","160d604d-b5bd-4fd8-99bc-9f930eb583d3"
"6.1","SECTION 6.1","NarrativeContent_32","Description of Trial Intervention","<div></div>","85c144eb-0483-4222-8947-ae164fa6700b"
"6.2","SECTION 6.2","NarrativeContent_33","Rationale for Trial Intervention","<div></div>","d4e8a9ad-a717-4529-a357-364bd6c7bb47"
"6.3","SECTION 6.3","NarrativeContent_34","Dosing and Administration","<div></div>","23b4ff0d-b4ea-4706-ac14-8c906c75b865"
"6.3.1","SECTION 6.3.1","NarrativeContent_35","Trial Intervention Dose Modification","<div></div>","5b13e96d-1564-4957-b8b6-9bff01870aaa"
"6.4","SECTION 6.4","NarrativeContent_36","Treatment of Overdose","<div></div>","06ccc952-dda0-42ae-a02f-6abfb647b3f2"
"6.5","SECTION 6.5","NarrativeContent_37","Preparation, Handling, Storage and Accountability","<div></div>","8ebd3ca9-c9d1-43ab-897c-f179126846e4"
"6.5.1","SECTION 6.5.1","NarrativeContent_38","Preparation of Trial Intervention","<div></div>","2e234597-b361-4cc8-818a-e88a5c59ce79"
"6.5.2","SECTION 6.5.2","NarrativeContent_39","Handling and Storage of Trial Intervention","<div></div>","974a4dc9-65c0-43e9-ba18-db7b5bee3a4b"
"6.5.3","SECTION 6.5.3","NarrativeContent_40","Accountability of Trial Intervention","<div></div>","9344f049-bdfd-4dff-8052-ca77258e810d"
"6.6","SECTION 6.6","NarrativeContent_41","Participant Assignment, Randomisation and Blinding","<div></div>","44aaf6cc-fd23-48c1-804e-8195c757de63"
"6.6.1","SECTION 6.6.1","NarrativeContent_42","Participant Assignment","<div></div>","8eee509b-f795-4c23-9ecb-83c7723714a0"
"6.6.2","SECTION 6.6.2","NarrativeContent_43","Randomisation","<div></div>","0868c6e9-8102-4911-a114-6822ebe41a24"
"6.6.3","SECTION 6.6.3","NarrativeContent_44","Blinding and Unblinding","<div><p>Blinding and unblinding text here please</p></div>","4f42f7b3-3b99-4843-be4f-99994e237c39"
"6.7","SECTION 6.7","NarrativeContent_45","Trial Intervention Compliance","<div></div>","ff417d1e-992b-4edd-ab59-bb3956e91da6"
"6.8","SECTION 6.8","NarrativeContent_46","Concomitant Therapy","<div></div>","50e6822a-c98e-4237-848a-e1680cc81de3"
"6.8.1","SECTION 6.8.1","NarrativeContent_47","Prohibited Concomitant Therapy","<div></div>","d69bec1a-bc42-443a-bd90-0030d8e6cec0"
"6.8.2","SECTION 6.8.2","NarrativeContent_48","Permitted Concomitant Therapy","<div></div>","a1b4a7fe-21ec-48da-810a-8b6ea866413d"
"6.8.3","SECTION 6.8.3","NarrativeContent_49","Rescue Therapy","<div></div>","0d617a3c-5e9d-4c81-a08e-852164736f34"
"6.8.4","SECTION 6.8.4","NarrativeContent_50","Other Therapy","<div></div>","b6e8baac-8eb7-4712-8ee1-d3efe35c27ef"
"7","SECTION 7","NarrativeContent_51","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","c6133be9-da2d-4d34-bfbd-cf933e58489e"
"7.1","SECTION 7.1","NarrativeContent_52","Discontinuation of Trial Intervention","<div></div>","01088f77-6171-407b-8843-e235d0e0e0a6"
"7.1.1","SECTION 7.1.1","NarrativeContent_53","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","c443efb8-e943-497b-bfb0-31e075ab3ee5"
"7.1.2","SECTION 7.1.2","NarrativeContent_54","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","11ad91c4-29a2-4e3d-b47f-ce9543706f20"
"7.1.3","SECTION 7.1.3","NarrativeContent_55","Rechallenge","<div></div>","5469cc40-25b6-4a42-b743-dcc43f760ac9"
"7.2","SECTION 7.2","NarrativeContent_56","Participant Withdrawal from the Trial","<div></div>","6394f665-0467-488a-b3dc-62369919e7bb"
"7.3","SECTION 7.3","NarrativeContent_57","Lost to Follow-Up","<div></div>","fe27acb5-ad85-4f22-a9d7-883ac5ae9435"
"7.4","SECTION 7.4","NarrativeContent_58","Trial Stopping Rules","<div></div>","e6a30154-4611-4c82-ba5d-443e3c5db016"
"8","SECTION 8","NarrativeContent_59","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","0adca871-364c-4d81-a77c-271053b30ba7"
"8.1","SECTION 8.1","NarrativeContent_60","Screening/Baseline Assessments and Procedures","<div></div>","383a0525-1f1f-4bc0-9b44-d223f77a6d45"
"8.2","SECTION 8.2","NarrativeContent_61","Efficacy Assessments and Procedures","<div></div>","715d80ac-326e-4c5d-82d5-efc177bf4e86"
"8.3","SECTION 8.3","NarrativeContent_62","Safety Assessments and Procedures","<div></div>","833595b3-4a16-4b35-b67f-7687ebd1a28f"
"8.3.1","SECTION 8.3.1","NarrativeContent_63","Physical Examination","<div></div>","58f56b45-7fb0-4933-a9da-4b4b60d25975"
"8.3.2","SECTION 8.3.2","NarrativeContent_64","Vital Signs","<div></div>","fc06e37a-f17b-44b2-99c7-121f622690d5"
"8.3.3","SECTION 8.3.3","NarrativeContent_65","Electrocardiograms","<div></div>","7c83b97f-cc7e-4006-811b-c16c8b5e43fe"
"8.3.4","SECTION 8.3.4","NarrativeContent_66","Clinical Laboratory Assessments","<div></div>","49ecde0a-6648-4f6d-9a63-f2654f7c9b37"
"8.3.5","SECTION 8.3.5","NarrativeContent_67","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","62b4cc6b-ef27-49f0-bc48-d454d6a62a84"
"8.4","SECTION 8.4","NarrativeContent_68","Adverse Events and Serious Adverse Events","<div></div>","82f8b316-0933-46db-b0fa-d9ea9e15b963"
"8.4.1","SECTION 8.4.1","NarrativeContent_69","Definitions of AE and SAE","<div></div>","b4cb9a7f-f382-4482-be59-d7c59b66d3dc"
"8.4.2","SECTION 8.4.2","NarrativeContent_70","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","662423a7-4b18-4eed-bff8-05a0c95200ff"
"8.4.3","SECTION 8.4.3","NarrativeContent_71","Identifying AEs and SAEs","<div></div>","fd6795d6-258e-44bf-b760-466aace7a46a"
"8.4.4","SECTION 8.4.4","NarrativeContent_72","Recording of AEs and SAEs","<div></div>","588fd1f7-5c4e-445d-a4b6-f44c920d1ca2"
"8.4.5","SECTION 8.4.5","NarrativeContent_73","Follow-up of AEs and SAEs","<div></div>","781adc46-a5f6-4c77-83e4-702829d659c2"
"8.4.6","SECTION 8.4.6","NarrativeContent_74","Reporting of SAEs","<div></div>","082b7054-f45d-47c6-944d-4361dad294ef"
"8.4.7","SECTION 8.4.7","NarrativeContent_75","Regulatory Reporting Requirements for SAEs","<div></div>","66391f51-12c0-466f-ab7a-0b0b97f07717"
"8.4.8","SECTION 8.4.8","NarrativeContent_76","Serious and Unexpected Adverse Reaction Reporting","<div></div>","9c2d4629-ab7c-4df2-a9a0-c3608cd7564d"
"8.4.9","SECTION 8.4.9","NarrativeContent_77","Adverse Events of Special Interest","<div></div>","13d58ab6-57c2-4924-a01b-c60b3064db8a"
"8.4.10","SECTION 8.4.10","NarrativeContent_78","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","45222790-6646-4d85-a71c-4838fbc27323"
"8.5","SECTION 8.5","NarrativeContent_79","Pregnancy and Postpartum Information","<div></div>","2bce9515-517a-4f09-88d8-390f06089398"
"8.5.1","SECTION 8.5.1","NarrativeContent_80","Participants Who Become Pregnant During the Trial","<div></div>","8063ceaf-5016-4a81-ac77-78015ea04bb0"
"8.5.2","SECTION 8.5.2","NarrativeContent_81","Participants Whose Partners Become Pregnant","<div></div>","7713c86a-b924-4e99-bc3b-e9f7f091c4ff"
"8.6","SECTION 8.6","NarrativeContent_82","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","d0ea8d62-31da-4bc9-b1a7-8f8cf76193ec"
"8.6.1","SECTION 8.6.1","NarrativeContent_83","Definition of Medical Device Product Complaints","<div></div>","9ccbad56-708c-420f-858a-96aed20d8ea3"
"8.6.2","SECTION 8.6.2","NarrativeContent_84","Recording of Medical Device Product Complaints","<div></div>","452fdb08-3169-4129-9967-2292f908daf6"
"8.6.3","SECTION 8.6.3","NarrativeContent_85","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","276addb1-55f1-4809-b059-bec75d286a7f"
"8.6.4","SECTION 8.6.4","NarrativeContent_86","Follow-Up of Medical Device Product Complaints","<div></div>","a48920f8-0e7c-4422-a5a5-76d980c308c6"
"8.6.5","SECTION 8.6.5","NarrativeContent_87","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","c9df5bf7-45f9-4cd6-be85-f82ba4e7dba8"
"8.7","SECTION 8.7","NarrativeContent_88","Pharmacokinetics","<div></div>","a0837520-ff1a-4104-864c-bac6b299fa7e"
"8.8","SECTION 8.8","NarrativeContent_89","Genetics","<div></div>","4930178e-1444-401c-aa76-9a5d58a62a87"
"8.9","SECTION 8.9","NarrativeContent_90","Biomarkers","<div></div>","daa1dcb6-9b41-47df-bd14-4299948c1d06"
"8.1","SECTION 8.1","NarrativeContent_91","Immunogenicity Assessments","<div></div>","e4472a9e-0f6b-4b8f-a3b4-444533a38c14"
"8.1.1","SECTION 8.1.1","NarrativeContent_92","Medical Resource Utilisation and Health Economics","<div></div>","2d8590de-6994-4b60-a2fe-fbf46f1c772e"
"9","SECTION 9","NarrativeContent_93","STATISTICAL CONSIDERATIONS","<div></div>","1ce7fae5-b215-497d-beac-18a6ac43094f"
"9.1","SECTION 9.1","NarrativeContent_94","Analysis Sets","<div></div>","fd130a74-b1b8-4e54-9b09-8fde2b54917e"
"9.2","SECTION 9.2","NarrativeContent_95","Analyses Supporting Primary Objective(s)","<div></div>","f334c7d6-4ce0-41e6-861d-bc0b95220d70"
"9.2.1","SECTION 9.2.1","NarrativeContent_96","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","81c0ec1b-38a0-42cf-838c-2be4e8ebebdc"
"9.2.2","SECTION 9.2.2","NarrativeContent_97","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","48c0bb73-bc94-4b24-86d9-b341ba02e65d"
"9.2.3","SECTION 9.2.3","NarrativeContent_98","Handling of Missing Data","<div></div>","59474397-82c3-4759-b3ac-d9a2d33a72cb"
"9.2.4","SECTION 9.2.4","NarrativeContent_99","Sensitivity Analysis","<div></div>","aff51235-ea7c-46b2-8f71-5a87ad1b89fe"
"9.2.5","SECTION 9.2.5","NarrativeContent_100","Supplementary Analysis","<div></div>","f7ae3831-b7c9-4d45-87d9-858b32ba210f"
"9.3","SECTION 9.3","NarrativeContent_101","Analysis Supporting Secondary Objective(s)","<div></div>","ba17146e-be0f-4153-b6c6-652446b20a75"
"9.4","SECTION 9.4","NarrativeContent_102","Analysis of Exploratory Objective(s)","<div></div>","191c2ecb-f315-4609-b214-e106e1d09494"
"9.5","SECTION 9.5","NarrativeContent_103","Safety Analyses","<div></div>","43767b4c-ba49-477b-beb0-af9f84882bda"
"9.6","SECTION 9.6","NarrativeContent_104","Other Analyses","<div></div>","b5f21f9a-b31c-4f24-bfdd-b6fe4e2d23c8"
"9.7","SECTION 9.7","NarrativeContent_105","Interim Analyses","<div></div>","4f1bd114-0a84-4a54-a13c-67b4a3634ca0"
"9.8","SECTION 9.8","NarrativeContent_106","Sample Size Determination","<div></div>","ec98c7c7-8b23-45c0-a56d-ae8c32e7dde9"
"9.9","SECTION 9.9","NarrativeContent_107","Protocol Deviations","<div></div>","e7a421ce-0c6a-4885-a745-cb39fbf071ad"
"10","SECTION 10","NarrativeContent_108","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","2d0ec4f6-ccc0-4e21-9a54-300213521a67"
"10.1","SECTION 10.1","NarrativeContent_109","Regulatory and Ethical Considerations","<div></div>","b9ffc3ff-425b-4bd3-b586-6d117611149b"
"10.2","SECTION 10.2","NarrativeContent_110","Committees","<div></div>","05a5912f-0e9b-460c-8f5f-ddbcae90fe32"
"10.3","SECTION 10.3","NarrativeContent_111","Informed Consent Process","<div></div>","4802744d-8377-4a14-8dd0-ae1455572e07"
"10.4","SECTION 10.4","NarrativeContent_112","Data Protection","<div></div>","621e2e93-cd68-42fc-b4e9-30faf0ba3c57"
"10.5","SECTION 10.5","NarrativeContent_113","Early Site Closure or Trial Termination","<div></div>","d3612301-a606-4b13-a9d3-383d79ad6087"
"11","SECTION 11","NarrativeContent_114","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","bfeeceaa-a374-4163-8b8c-041d4780dbba"
"11.1","SECTION 11.1","NarrativeContent_115","Quality Tolerance Limits","<div></div>","1916baa6-7358-442f-a7ce-d5f81a949632"
"11.2","SECTION 11.2","NarrativeContent_116","Data Quality Assurance","<div></div>","aee616e0-ee40-4db2-876c-3feb09414b85"
"11.3","SECTION 11.3","NarrativeContent_117","Source Data","<div></div>","5badb416-fc90-4b08-b67c-1bd9de10c662"
"12","SECTION 12","NarrativeContent_118","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","af19fca8-df0f-47e1-8fda-98316d2cd4b1"
"12.1","SECTION 12.1","NarrativeContent_119","Further Details and Clarifications on the AE Definition","<div></div>","580c524c-c568-4781-9671-e122f44ea3d4"
"12.2","SECTION 12.2","NarrativeContent_120","Further Details and Clarifications on the SAE Definition","<div></div>","3447b714-d95e-4674-beae-3c195d24340e"
"12.3","SECTION 12.3","NarrativeContent_121","Severity","<div></div>","83b7219a-5afc-4779-af06-a95042eb6c6d"
"12.4","SECTION 12.4","NarrativeContent_122","Causality","<div></div>","810b12fa-f640-4f58-81d8-5b7e6089e1f8"
"13","SECTION 13","NarrativeContent_123","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","8c1609d0-776a-45d3-a2c9-93c747cb835f"
"13.1","SECTION 13.1","NarrativeContent_124","Contraception and Pregnancy Testing","<div></div>","478e72b7-ee24-44f3-92e7-a730c8fe4d5c"
"13.1.1","SECTION 13.1.1","NarrativeContent_125","Definitions Related to Childbearing Potential","<div></div>","a8d3a0df-39de-4898-861f-34dd2b5c6426"
"13.1.2","SECTION 13.1.2","NarrativeContent_126","Contraception","<div></div>","89571b94-21de-4ccd-9dda-4ccbc4921141"
"13.1.3","SECTION 13.1.3","NarrativeContent_127","Pregnancy Testing","<div></div>","9c48ffd5-e337-453a-aee1-18988e342a3c"
"13.2","SECTION 13.2","NarrativeContent_128","Clinical Laboratory Tests","<div></div>","059a4e85-0462-4db3-a151-67ce21527734"
"13.3","SECTION 13.3","NarrativeContent_129","Country/Region-Specific Differences","<div></div>","4a486d83-02cd-4aec-9f33-76165c2ad0d3"
"13.4","SECTION 13.4","NarrativeContent_130","Prior Protocol Amendments","<div></div>","c0e5536b-c4cb-4b62-b63c-1033db6edc62"
"14","SECTION 14","NarrativeContent_131","APPENDIX: GLOSSARY OF TERMS","<div></div>","b7c2e121-77be-44f3-b9e2-1971f613fdd5"
"15","SECTION 15","NarrativeContent_132","APPENDIX: REFERENCES","<div></div>","5486b176-cbc0-4591-95c6-bd19dd947016"
