"code","uuid:ID","id","codeSystemVersion","codeSystem","decode","instanceType"
"C175574","95eea863-1dbc-46e0-9d16-da1fa046870f","Code_102","2023-09-29","http://www.cdisc.org","In Person","Code"
"C171537","b0cb9982-eba3-4740-816a-341b673edaae","Code_103","2023-09-29","http://www.cdisc.org","Telephone Call","Code"
"C25716","03c94370-19b1-4b35-a482-21d59d3021ea","Code_104","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","ee7ab7d6-a089-4b38-b0b2-0207164c680c","Code_105","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","ebf5a605-f9fe-4dd3-bd32-d210c6c6809e","Code_106","2023-09-29","http://www.cdisc.org","In Person","Code"
"C171537","3606f67f-72b7-41dd-bdba-fe6e9d48f019","Code_107","2023-09-29","http://www.cdisc.org","Telephone Call","Code"
"C25716","70434251-29c3-4ebb-9762-9c38fade6c02","Code_108","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","9c67c65b-efc9-4c4c-b3ae-3b39ae898089","Code_109","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","d3d4faef-1468-451c-b9f0-5155993cc155","Code_110","2023-09-29","http://www.cdisc.org","In Person","Code"
"C171537","7a6af308-d1e9-40be-aabb-96c8ec4146dd","Code_111","2023-09-29","http://www.cdisc.org","Telephone Call","Code"
"C25716","a535c1e5-666b-41b6-a10f-b1c187652310","Code_112","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","19f5a998-e47a-4972-a80a-88e9db6baee6","Code_113","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","5ec43c85-a369-4066-a700-297c4b574a6c","Code_114","2023-09-29","http://www.cdisc.org","In Person","Code"
"C171537","aa3ab603-eb42-4ad3-8ce8-d4ed50442199","Code_115","2023-09-29","http://www.cdisc.org","Telephone Call","Code"
"C25716","795c7999-88b0-4a68-9679-c8471a4a8c7c","Code_116","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","7f12deab-e11d-44b0-8e30-c7c467500e53","Code_117","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","5aa5e700-0643-4c37-8a75-5a21640c7376","Code_118","2023-09-29","http://www.cdisc.org","In Person","Code"
"C25716","080da525-d3a6-406c-a27a-862d93213620","Code_119","2023-09-29","http://www.cdisc.org","Visit","Code"
"C51282","d76c2c8c-e909-4670-b1ca-c1403a40b41a","Code_120","2023-09-29","http://www.cdisc.org","Clinic","Code"
"C175574","9bb9330f-523f-4145-8dc7-d99e782a5733","Code_121","2023-09-29","http://www.cdisc.org","In Person","Code"
"383371000119108","209ce31b-b9a9-4358-834f-e9b600b521b2","Code_79","January 31, 2018","SNOMED","CT of head without contrast","Code"
"123","1a9e8c20-2e5a-404b-8a02-1b244b487f0a","Code_80","12","SPONSOR","Subject Supine","Code"
"124","c583ec59-4d96-4946-8e6e-16588411df94","Code_81","12","SPONSOR","Subject Standing","Code"
"C173522","c3ecaaef-081d-4ebd-960b-a10c2e8c9a0b","Code_278","","NCI Thesaurus","Vital Signs Result","Code"
"C42537","6b3ab53d-e2fa-422d-b249-50f88ab73664","Code_279","2023-09-29","http://www.cdisc.org","Kelvin","Code"
"C44276","21072f22-34ee-4996-88c9-283289b05ca1","Code_280","","NCI Thesaurus","Unit of Temperature","Code"
"C83088","7401e7b5-6c7c-43ca-b399-2e92732875fa","Code_281","","NCI Thesaurus","Vital Signs Location","Code"
"C174446","d60d8cd9-0b5e-4a41-9ef2-96d26dee67f6","Code_277","","NCI Thesaurus","Body Temperature","Code"
"C173522","af419503-18bb-49e6-a360-354abc72d361","Code_283","","NCI Thesaurus","Vital Signs Result","Code"
"C28252","9b91aafa-878f-4447-810d-1e47fcf9499f","Code_284","2023-09-29","http://www.cdisc.org","Kilogram","Code"
"C48155","e4731314-c1ed-4336-99c9-b9ec32f892ac","Code_285","2023-09-29","http://www.cdisc.org","Gram","Code"
"C48531","e4598892-266c-494a-8a06-cedd764416aa","Code_286","2023-09-29","http://www.cdisc.org","Pound","Code"
"C48208","7b522e47-c725-4cac-983f-61a2a0b44746","Code_287","","NCI Thesaurus","Unit of Weight","Code"
"C81328","29342838-9754-4c5b-b461-3bfba8d10151","Code_282","","NCI Thesaurus","Body Weight","Code"
"C173522","483948e0-da8b-4697-9ff5-a573d7995e38","Code_289","","NCI Thesaurus","Vital Signs Result","Code"
"C49668","a2dbe977-a863-4a77-8ede-c2e832c12569","Code_290","2023-09-29","http://www.cdisc.org","Centimeter","Code"
"C48500","222e630f-bda4-4522-9931-206d55e24be5","Code_291","2023-09-29","http://www.cdisc.org","Inch","Code"
"C28251","019a7d08-3265-422a-b36d-01a7c8bb2805","Code_292","2023-09-29","http://www.cdisc.org","Millimeter","Code"
"C41139","e8aef5b5-016b-499d-8ca5-ef12b247d20f","Code_293","2023-09-29","http://www.cdisc.org","Meter","Code"
"C168688","8de6aa29-002e-47fc-96b1-f4617358d7cb","Code_294","","NCI Thesaurus","Unit of Height","Code"
"C164634","c915fde1-5df6-4ca4-a1ff-240f21847cf3","Code_288","","NCI Thesaurus","Body Height","Code"
"C36292","0e19b997-5c45-4620-93ff-a6ef4bd6d0f1","Code_296","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","4549cc08-2cb2-471c-b84a-bad087a39e4a","Code_297","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C67365","cc9e61ba-a011-4fd2-8eac-deaf07a0a0a8","Code_298","","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code"
"C70713","cf085cdc-8c0a-4114-aff2-0ed01849d94e","Code_299","","NCI Thesaurus","Biospecimen Type","Code"
"C64433","388540c7-8846-4eeb-862e-52d75822208e","Code_295","","NCI Thesaurus","Alanine Aminotransferase Measurement","Code"
"C36292","700fceb5-b6d4-4aa2-b00d-b744f5186f4b","Code_301","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","b4dc1c1c-c323-4aa4-b2ea-fd15bb00d60f","Code_302","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C48207","3efcc14f-eb85-41e8-a17c-66268cde3487","Code_303","","NCI Thesaurus","Unit of Concentration","Code"
"C70713","d9c2e6b3-d841-40d8-b356-6ed7527c1785","Code_304","","NCI Thesaurus","Biospecimen Type","Code"
"C64431","01939c64-7d55-48ac-bfe3-442490040f62","Code_300","","NCI Thesaurus","Albumin Measurement","Code"
"C36292","509d35f9-0712-43dc-9f23-9821e99e4503","Code_306","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","c3ec5fa2-de06-40e6-9178-d24dacd7eb79","Code_307","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C67365","3de7f7b6-1766-4f41-9e1c-1e84d7f58dca","Code_308","","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code"
"C70713","406ea62b-c795-43c1-bcfc-cbb66097d822","Code_309","","NCI Thesaurus","Biospecimen Type","Code"
"C64432","71193817-b740-4f15-baf3-b3efd684d4da","Code_305","","NCI Thesaurus","Alkaline Phosphatase Measurement","Code"
"C36292","06189212-babe-4fc9-bc7d-28ce9e1c58af","Code_311","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","e02bf05b-fe93-496a-aa5e-d531380ef023","Code_312","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C67365","8ec6a342-345a-4402-8ea2-cded49f6da60","Code_313","","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code"
"C70713","834ccc47-6a46-46d1-8d9e-4e39e3457ffc","Code_314","","NCI Thesaurus","Biospecimen Type","Code"
"C64467","bc011b8c-8852-4278-844e-a3e511b1bdd9","Code_310","","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code"
"C36292","1c7692aa-581d-4cd9-967c-37fc928419eb","Code_316","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","d429a369-77fe-49cd-9144-1c789432bd20","Code_317","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C48207","1d150809-9be6-47fc-a402-42f05897bd92","Code_318","","NCI Thesaurus","Unit of Concentration","Code"
"C70713","3f6f7517-778f-46a6-8782-231c38940be6","Code_319","","NCI Thesaurus","Biospecimen Type","Code"
"C64547","dd296796-940c-4e1d-b889-9c6bf01f9abf","Code_315","","NCI Thesaurus","Creatinine Measurement","Code"
"C36292","f7f051c6-86ac-48dd-ba0d-f28c22c87eaf","Code_321","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","0f2664b9-39f6-4f52-b1ef-f1450e0af964","Code_322","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C64567","f81232a0-326a-4284-8cdf-29d2047ff1c6","Code_323","","NCI Thesaurus","Molarity Unit","Code"
"C70713","089b3eec-4855-4aea-9011-f6a7fb1a886c","Code_324","","NCI Thesaurus","Biospecimen Type","Code"
"C64853","67863a03-ef5b-4835-95b3-d5d503b35614","Code_320","","NCI Thesaurus","Potassium Measurement","Code"
"C36292","73310a10-9c4a-4e28-af31-1493b86542de","Code_326","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","e76d163e-2f4d-4dea-a9ec-db7ab6e329fe","Code_327","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C64567","b49ca68d-9033-4b45-9786-4852659d0004","Code_328","","NCI Thesaurus","Molarity Unit","Code"
"C70713","99561fc2-f0a9-4d2e-85ba-15fa8d34b90d","Code_329","","NCI Thesaurus","Biospecimen Type","Code"
"C64809","76652d41-3812-40ad-ad7f-daa7de6a1459","Code_325","","NCI Thesaurus","Sodium Measurement","Code"
"C78541","1faed8e3-eff6-4798-bbe9-627ce9e213e0","Code_145","","NCI Thesaurus","Adverse Event Verbatim Description","Code"
"C83344","555cd581-6a74-4fa7-9d68-65edfcd81216","Code_146","","NCI Thesaurus","Adverse Event Dictionary Derived Term","Code"
"C83198","23130ba7-2c05-4b3f-a756-b698fe5fadc7","Code_147","","NCI Thesaurus","Adverse Event Category","Code"
"C83212","d945ba08-e2e1-4651-baa0-75abfe733baf","Code_148","","NCI Thesaurus","Adverse Event Subcategory","Code"
"C87840","e76710b7-30f6-4340-a42c-ebc0bd204ea3","Code_149","","NCI Thesaurus","Adverse Event Pre-specified","Code"
"C53253","7e361849-b287-41f2-8c6a-9c266cfe0de5","Code_150","","NCI Thesaurus","Severity of Adverse Event","Code"
"C78605","dd96f663-b4ee-4de0-8185-178c5894cef0","Code_151","","NCI Thesaurus","Adverse Event Toxicity Grade","Code"
"C53252","4c6d5f27-8d1c-47db-9ea3-2a34fcfcd3b4","Code_152","","NCI Thesaurus","Seriousness of Adverse Event","Code"
"C83013","96f5d83d-179b-47dc-aa1c-cba0a05af6ee","Code_153","","NCI Thesaurus","Adverse Event Action Taken with Study Treatment","Code"
"C41358","68df5587-6098-4a9c-acd6-edfa7e2df093","Code_154","","NCI Thesaurus","Adverse Event Attribution to Product or Procedure","Code"
"C71325","79a1637e-0501-48a9-b30f-d343b2c108d6","Code_155","2023-09-29","http://www.cdisc.org","Intermittent","Code"
"C83208","202753fd-a558-4534-bf01-f8121defcba3","Code_156","","NCI Thesaurus","Adverse Event Pattern","Code"
"C49489","1d9ec04d-7e1a-4da4-ab0c-8b899c6ed5f1","Code_157","","NCI Thesaurus","Adverse Event Outcome","Code"
"C83215","59ebecef-402a-4f93-8661-08fe9e3cc6d9","Code_158","","NCI Thesaurus","Adverse Event Start Date Time","Code"
"C83201","820ee88f-62dd-48e2-afee-0a71395d5dd4","Code_159","","NCI Thesaurus","Adverse Event End Date Time","Code"
"C41331","084011ac-a370-4afb-b734-485c82174b14","Code_144","","NCI Thesaurus","Adverse Event","Code"
"C173522","4ee5a2b0-638a-41bf-a338-f3bf0aed445e","Code_161","","NCI Thesaurus","Vital Signs Result","Code"
"C42547","c702e601-6474-4ae1-b4ac-180b4984e335","Code_162","2023-09-29","http://www.cdisc.org","Pascal","Code"
"C49669","3ceab196-4d4b-450c-8052-f422bc4c4758","Code_163","","NCI Thesaurus","Unit of Pressure","Code"
"C83088","88cb3f95-73be-49a4-a7a5-7879d8d541bf","Code_164","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","e889db24-8750-4fb8-931e-fcf0f9b618ff","Code_165","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","ca3b6703-748d-41a1-a2ec-f4d3f1716f5a","Code_166","","NCI Thesaurus","Test Method","Code"
"C83114","dc995dda-c126-4f77-ac52-ee342c24e3e2","Code_167","","NCI Thesaurus","Vital Signs Position","Code"
"C25298","09025806-6679-4c38-8b98-344992de4d8c","Code_160","","NCI Thesaurus","Systolic Blood Pressure","Code"
"C173522","09b1a298-47c7-44cb-9ca0-584288f4aa74","Code_169","","NCI Thesaurus","Vital Signs Result","Code"
"C42547","72d93573-2821-4a60-a9df-43f97fe36cda","Code_170","2023-09-29","http://www.cdisc.org","Pascal","Code"
"C49669","a6620689-c0d8-4119-8a45-c5a4ec30cea8","Code_171","","NCI Thesaurus","Unit of Pressure","Code"
"C83088","1928d450-8c38-4c87-a8ac-e0ccb4cc2cdd","Code_172","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","6a3139ad-4ac0-47f9-83fc-b03c95d6467a","Code_173","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","99839873-c142-4d9c-bcd1-77af2f28ec59","Code_174","","NCI Thesaurus","Test Method","Code"
"C83114","2ac17ce7-1fd5-4f1b-8819-b4db36e1096e","Code_175","","NCI Thesaurus","Vital Signs Position","Code"
"C25299","f1a450da-650b-41df-b16d-05b17372e781","Code_168","","NCI Thesaurus","Diastolic Blood Pressure","Code"
"C173522","2de6e111-5ef4-4aad-9019-a78028eaf294","Code_177","","NCI Thesaurus","Vital Signs Result","Code"
"C42537","78be82d3-9800-4262-a90d-9ccbbcf2d4c5","Code_178","2023-09-29","http://www.cdisc.org","Kelvin","Code"
"C44276","1397f8f2-69f6-46e4-86bc-22b42251c008","Code_179","","NCI Thesaurus","Unit of Temperature","Code"
"C83088","7a62ea41-649c-4def-89fb-4f022013ee4a","Code_180","","NCI Thesaurus","Vital Signs Location","Code"
"C174446","1c811865-c57c-4250-b675-8216ef530cb7","Code_176","","NCI Thesaurus","Body Temperature","Code"
"C173522","799cfdec-e25e-4a53-b187-e0a9fc1ae4d1","Code_182","","NCI Thesaurus","Vital Signs Result","Code"
"C28252","9e68b0d2-f56d-4370-9125-a544cdc15f7d","Code_183","2023-09-29","http://www.cdisc.org","Kilogram","Code"
"C48155","27d5a3a5-3302-4b89-a3e7-2c2dd0c47aa9","Code_184","2023-09-29","http://www.cdisc.org","Gram","Code"
"C48531","36f77600-ec6f-48da-bcd3-b4bc1830d2fa","Code_185","2023-09-29","http://www.cdisc.org","Pound","Code"
"C48208","c625dce9-8983-4a83-bbde-888192f8d9d7","Code_186","","NCI Thesaurus","Unit of Weight","Code"
"C81328","7bd1c283-5adb-46c2-9b84-3ad261a5c4b7","Code_181","","NCI Thesaurus","Body Weight","Code"
"C173522","497b5235-6e0b-4600-89cb-13774feb7916","Code_188","","NCI Thesaurus","Vital Signs Result","Code"
"C49668","07155dec-6e14-483c-a490-76040c75effe","Code_189","2023-09-29","http://www.cdisc.org","Centimeter","Code"
"C48500","0146a974-19ca-47fc-ab49-89374905c7f2","Code_190","2023-09-29","http://www.cdisc.org","Inch","Code"
"C28251","6946bfe1-6b18-4dde-84bd-0cbae7afcdd3","Code_191","2023-09-29","http://www.cdisc.org","Millimeter","Code"
"C41139","ffde0f29-f99a-4503-950a-14e44023557e","Code_192","2023-09-29","http://www.cdisc.org","Meter","Code"
"C168688","f8435eca-c4e9-4a70-b600-bd20d8741af7","Code_193","","NCI Thesaurus","Unit of Height","Code"
"C164634","74dce4a4-ee23-483d-9b91-008a7d7a8825","Code_187","","NCI Thesaurus","Body Height","Code"
"C36292","75dc1e08-f54d-45eb-91a0-0221fb4d3860","Code_195","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","13519067-f85f-44f0-923f-6a473a6c469b","Code_196","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C67365","8fd4cc1b-c1d2-48a0-ad83-4d3e81fe2d65","Code_197","","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code"
"C70713","79e44fe1-e4fe-4c69-9ab8-7079943eaf62","Code_198","","NCI Thesaurus","Biospecimen Type","Code"
"C64433","15e49a78-0601-4290-bfec-1108b7752bc6","Code_194","","NCI Thesaurus","Alanine Aminotransferase Measurement","Code"
"C36292","cc0079d3-651b-4f7b-97a3-e4e3a2fb4a74","Code_200","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","56c929f7-00c9-4c04-82b4-fc6ffaf152ad","Code_201","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C48207","ab3f72a8-94f1-43d1-9143-5f513edf98ac","Code_202","","NCI Thesaurus","Unit of Concentration","Code"
"C70713","380c5fa6-dfad-4eaa-a3e5-41b77977b71c","Code_203","","NCI Thesaurus","Biospecimen Type","Code"
"C64431","6a3d1acc-0fe7-4be3-a975-3c7da549ea3e","Code_199","","NCI Thesaurus","Albumin Measurement","Code"
"C36292","97ca69ab-6d01-4d9e-a267-34565356ecab","Code_205","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","fad0fee3-805e-440a-86ab-9aa580dd8326","Code_206","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C67365","70adb73d-156a-472e-9191-3a17384b650f","Code_207","","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code"
"C70713","4a0448c7-d2b1-4967-a74d-79c4fbb910a8","Code_208","","NCI Thesaurus","Biospecimen Type","Code"
"C64432","44b9822b-4c9b-485b-9406-9163c3805859","Code_204","","NCI Thesaurus","Alkaline Phosphatase Measurement","Code"
"C36292","e32464e4-be85-4e28-ac3c-43480443d453","Code_210","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","ff354932-6c1b-495a-9477-a9472b619db3","Code_211","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C67365","897c3fbe-4305-4001-914b-1e54bdb6c229","Code_212","","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code"
"C70713","a5f61f78-0b44-48c4-945e-bb9abda2a0a2","Code_213","","NCI Thesaurus","Biospecimen Type","Code"
"C64467","cb72ee0e-c1b4-4364-bd76-8f1e7d233a45","Code_209","","NCI Thesaurus","Aspartate Aminotransferase Measurement","Code"
"C36292","65b9aa7c-36b0-42f1-913a-b2ce910fdd3d","Code_215","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","feeb3802-b1d1-49e1-a426-c10344183235","Code_216","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C48207","2250835f-e87f-409d-ab67-1cdf375e933c","Code_217","","NCI Thesaurus","Unit of Concentration","Code"
"C70713","3440119d-9119-45d5-8c93-93a211c0145c","Code_218","","NCI Thesaurus","Biospecimen Type","Code"
"C64547","2e76762f-196b-4120-821a-53ee16bd32e8","Code_214","","NCI Thesaurus","Creatinine Measurement","Code"
"C36292","06596084-b330-4287-ae81-ae2e0291c450","Code_220","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","aa98b631-5461-4183-96e5-1e996d810b7f","Code_221","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C64567","e28a5ef7-231b-47e1-b27b-58bbff4e7fb1","Code_222","","NCI Thesaurus","Molarity Unit","Code"
"C70713","d842413e-0247-41c1-8825-24f8c30482fc","Code_223","","NCI Thesaurus","Biospecimen Type","Code"
"C64853","d36f5ed7-fdbc-4d90-8a29-b83ff058e1b2","Code_219","","NCI Thesaurus","Potassium Measurement","Code"
"C36292","93461044-379b-49ad-b01c-66d2cb12ff64","Code_225","","NCI Thesaurus","Laboratory Test Result","Code"
"C83309","e8b87876-4aea-45fa-b7f5-f4223d789879","Code_226","","NCI Thesaurus","Laboratory Test Fasting Status","Code"
"C64567","b0817628-3081-41b0-aac4-175d3acc6683","Code_227","","NCI Thesaurus","Molarity Unit","Code"
"C70713","30e49f65-fde5-43f8-8ab8-7bf1e7a3c8d6","Code_228","","NCI Thesaurus","Biospecimen Type","Code"
"C64809","ec7658a8-e586-4d26-9a18-570dc2181cad","Code_224","","NCI Thesaurus","Sodium Measurement","Code"
"C173522","aa39923d-acf7-470e-b8a8-235ff093a197","Code_230","","NCI Thesaurus","Vital Signs Result","Code"
"C42547","39641bed-c4c8-452c-b2ca-7bc141632dd7","Code_231","2023-09-29","http://www.cdisc.org","Pascal","Code"
"C49669","b6327a83-9b30-42e0-9c5a-be1f480ad654","Code_232","","NCI Thesaurus","Unit of Pressure","Code"
"C83088","11e42940-b33a-4b2f-a5dc-c0376f552f11","Code_233","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","54c00082-eb7b-44b8-af61-bf160827fa31","Code_234","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","a48df04f-65cc-4c63-93d2-af36047861c3","Code_235","","NCI Thesaurus","Test Method","Code"
"C83114","510e4487-943f-497e-b076-c53a53fc42e8","Code_236","","NCI Thesaurus","Vital Signs Position","Code"
"C25298","319e6079-a643-41cf-9e6b-797f5508e7ec","Code_229","","NCI Thesaurus","Systolic Blood Pressure","Code"
"C173522","c03b450d-f04a-4c8b-a4f5-ed382ca6001b","Code_238","","NCI Thesaurus","Vital Signs Result","Code"
"C42547","8f23a2ce-5916-4325-b0ef-8135f2e5fa59","Code_239","2023-09-29","http://www.cdisc.org","Pascal","Code"
"C49669","021d3898-c9ea-4a7f-bcf1-585d3e6836be","Code_240","","NCI Thesaurus","Unit of Pressure","Code"
"C83088","cf377c65-c692-45aa-88b0-0615e05a92a0","Code_241","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","a468a328-7aeb-4cfd-8232-9ae6ce9ab3c9","Code_242","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","15073065-f136-4829-9603-3b367c202b76","Code_243","","NCI Thesaurus","Test Method","Code"
"C83114","f1e401ef-093c-4013-b39a-d6acaed1df84","Code_244","","NCI Thesaurus","Vital Signs Position","Code"
"C25299","7fec922e-a533-428d-b4f1-eb87f9def8db","Code_237","","NCI Thesaurus","Diastolic Blood Pressure","Code"
"C173522","1b4fe4a8-107c-4447-a2ec-4ca453e3da49","Code_246","","NCI Thesaurus","Vital Signs Result","Code"
"C49673","df3abc26-6463-4d51-8e9b-20b10d4f4e52","Code_247","2023-09-29","http://www.cdisc.org","Beats per Minute","Code"
