"name","uuid:ID","id","instanceType","text","sectionNumber","sectionTitle"
"SECTION 4.3","d95524f0-fe87-4fd9-9747-c1ceacd87d35","NarrativeContent_19","NarrativeContent","<div></div>","4.3","Access to Trial Intervention After End of Trial"
"SECTION 4.4","2fdaa6e9-fac8-4a36-b3fe-b50372f1b57e","NarrativeContent_20","NarrativeContent","<div></div>","4.4","Start of Trial and End of Trial"
"SECTION 5","a67ffd09-f9e4-4ef1-bda0-e6f59272a7ab","NarrativeContent_21","NarrativeContent","<div></div>","5","TRIAL POPULATION"
"SECTION 5.1","8da7bdef-d2f3-41cd-a149-0a47f5894243","NarrativeContent_22","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","Selection of Trial Population"
"SECTION 5.2","9a953e3f-c63b-4d1c-b3bc-44072becda4c","NarrativeContent_23","NarrativeContent","<div></div>","5.2","Rationale for Trial Population"
"SECTION 5.3","3dac95e1-dfa5-460e-a71b-b0c9b84d1f3f","NarrativeContent_24","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","5.3","Inclusion Criteria"
"SECTION 5.4","2c8901f8-e79a-4292-a1b7-4a67e6edfb36","NarrativeContent_25","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","5.4","Exclusion Criteria"
"SECTION 5.5","a686f69e-5602-4ba0-a281-24628769a821","NarrativeContent_26","NarrativeContent","<div></div>","5.5","Lifestyle Considerations"
"SECTION 5.5.1","df0735f5-86c1-4fc4-9ae9-0b40860c943c","NarrativeContent_27","NarrativeContent","<div></div>","5.5.1","Meals and Dietary Restrictions"
"SECTION 5.5.2","fa6c69e8-ca6e-4437-a89c-2a5262619028","NarrativeContent_28","NarrativeContent","<div><p>Not applicable</p></div>","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits"
"SECTION 5.5.3","0216db88-daeb-4c1d-9b59-eb00e59efc1e","NarrativeContent_29","NarrativeContent","<div></div>","5.5.3","Physical Activity"
"SECTION 5.5.4","ed253105-368b-447f-bd17-697dbc086113","NarrativeContent_30","NarrativeContent","<div></div>","5.5.4","Other Activity"
"SECTION 5.6","a250e75e-0894-4eab-a814-9c48b9dc273e","NarrativeContent_31","NarrativeContent","<div></div>","5.6","Screen Failures"
"SECTION 6","78e6b05b-9aec-4b5d-9b7a-c2985968e15f","NarrativeContent_32","NarrativeContent","<div></div>","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"SECTION 6.1","a40c161a-8ee9-4a46-b953-24e4685ea0f2","NarrativeContent_33","NarrativeContent","<div></div>","6.1","Description of Trial Intervention"
"SECTION 6.2","acb2dd56-573b-45b8-a4c8-0ef2916c43b1","NarrativeContent_34","NarrativeContent","<div></div>","6.2","Rationale for Trial Intervention"
"SECTION 6.3","7a254472-f1b9-4b5f-b255-8821a9cb57e0","NarrativeContent_35","NarrativeContent","<div></div>","6.3","Dosing and Administration"
"SECTION 6.3.1","1a0bb0aa-1f35-4df5-af0d-1d61f0104487","NarrativeContent_36","NarrativeContent","<div></div>","6.3.1","Trial Intervention Dose Modification"
"SECTION 6.4","49ecdaff-1fb1-4d35-9c59-a11b3de3f8a6","NarrativeContent_37","NarrativeContent","<div></div>","6.4","Treatment of Overdose"
"SECTION 6.5","de8216bb-d3be-49ad-a1c2-bb2b6569df06","NarrativeContent_38","NarrativeContent","<div></div>","6.5","Preparation, Handling, Storage and Accountability"
"SECTION 6.5.1","8fdf07c0-996a-4891-baa3-fc7599476f23","NarrativeContent_39","NarrativeContent","<div></div>","6.5.1","Preparation of Trial Intervention"
"SECTION 6.5.2","c89a272b-f4a9-49de-9076-241611be9dfb","NarrativeContent_40","NarrativeContent","<div></div>","6.5.2","Handling and Storage of Trial Intervention"
"SECTION 6.5.3","4f269ebe-40b5-47d1-a240-e0b1f1376cbd","NarrativeContent_41","NarrativeContent","<div></div>","6.5.3","Accountability of Trial Intervention"
"SECTION 6.6","c08e0dbe-5506-455c-b21e-ae3c4168588d","NarrativeContent_42","NarrativeContent","<div></div>","6.6","Participant Assignment, Randomisation and Blinding"
"SECTION 6.6.1","12dc06e0-89c2-4196-8f11-080330e3a302","NarrativeContent_43","NarrativeContent","<div></div>","6.6.1","Participant Assignment"
"SECTION 6.6.2","e54dfb86-38c3-4cd9-b418-65ffce39cbca","NarrativeContent_44","NarrativeContent","<div></div>","6.6.2","Randomisation"
"SECTION 6.6.3","413b66a9-0f2d-4c1d-8dd4-5bb4fbf9f4ce","NarrativeContent_45","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","Blinding and Unblinding"
"SECTION 6.7","af25b7ca-f477-45d1-803c-8b623b80fec6","NarrativeContent_46","NarrativeContent","<div></div>","6.7","Trial Intervention Compliance"
"SECTION 6.8","60f6c705-932e-4478-b5e9-0131fb920674","NarrativeContent_47","NarrativeContent","<div></div>","6.8","Concomitant Therapy"
"SECTION 6.8.1","b3f663a2-5f72-400a-81d3-9f97f6251438","NarrativeContent_48","NarrativeContent","<div></div>","6.8.1","Prohibited Concomitant Therapy"
"SECTION 6.8.2","c30aa096-2c23-40ea-9021-4ca62e9b5a74","NarrativeContent_49","NarrativeContent","<div></div>","6.8.2","Permitted Concomitant Therapy"
"SECTION 6.8.3","f51cfb24-29f6-4993-988c-c47b1c2ea5ea","NarrativeContent_50","NarrativeContent","<div></div>","6.8.3","Rescue Therapy"
"SECTION 6.8.4","c5b3663b-387f-4ccd-92da-c285f4b5524b","NarrativeContent_51","NarrativeContent","<div></div>","6.8.4","Other Therapy"
"SECTION 7","ee8ea2cc-8126-4b1c-9d68-32a3419186c2","NarrativeContent_52","NarrativeContent","<div></div>","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"SECTION 7.1","b441c7a9-3e4e-47d4-ac76-162256d6ad2a","NarrativeContent_53","NarrativeContent","<div></div>","7.1","Discontinuation of Trial Intervention"
"SECTION 7.1.1","0f7162de-066d-45df-8845-d47d212fb21e","NarrativeContent_54","NarrativeContent","<div></div>","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention"
"SECTION 7.1.2","10c1ff23-3a83-4b8e-8beb-e155e9f8736b","NarrativeContent_55","NarrativeContent","<div></div>","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention"
"SECTION 7.1.3","25d94e87-1041-4188-a999-8dd6f8ce2ac8","NarrativeContent_56","NarrativeContent","<div></div>","7.1.3","Rechallenge"
"SECTION 7.2","07a2c77e-eb95-4f2e-bfb9-019631c9f0db","NarrativeContent_57","NarrativeContent","<div></div>","7.2","Participant Withdrawal from the Trial"
"SECTION 7.3","aa3d227c-df62-4a9d-a89b-ae54eedcdf4d","NarrativeContent_58","NarrativeContent","<div></div>","7.3","Lost to Follow-Up"
"SECTION 7.4","85133d3c-3e3f-4ed8-9abf-f731a4eaf1da","NarrativeContent_59","NarrativeContent","<div></div>","7.4","Trial Stopping Rules"
"SECTION 8","b36d41d2-d66d-44cc-a9fa-518083d66679","NarrativeContent_60","NarrativeContent","<div></div>","8","TRIAL ASSESSMENTS AND PROCEDURES"
"SECTION 8.1","ce7af181-d982-4762-84ec-27646e88de23","NarrativeContent_61","NarrativeContent","<div></div>","8.1","Screening/Baseline Assessments and Procedures"
"SECTION 8.2","0311af29-86bc-46ca-8c0f-c558c2046298","NarrativeContent_62","NarrativeContent","<div></div>","8.2","Efficacy Assessments and Procedures"
"SECTION 8.3","88b15056-47a5-4063-af05-281913764739","NarrativeContent_63","NarrativeContent","<div></div>","8.3","Safety Assessments and Procedures"
"SECTION 8.3.1","39209d97-84d5-4a8c-8c20-805f2f020c09","NarrativeContent_64","NarrativeContent","<div></div>","8.3.1","Physical Examination"
"SECTION 8.3.2","af43fa4c-37f4-47c8-a48f-a3f6543d7d5c","NarrativeContent_65","NarrativeContent","<div></div>","8.3.2","Vital Signs"
"SECTION 8.3.3","9308a6f2-4595-4a91-a2ed-c4cfcde5c59f","NarrativeContent_66","NarrativeContent","<div></div>","8.3.3","Electrocardiograms"
"SECTION 8.3.4","9becbd87-d432-4b1d-8406-8f5a094ef9fe","NarrativeContent_67","NarrativeContent","<div></div>","8.3.4","Clinical Laboratory Assessments"
"SECTION 8.3.5","d2757aa6-3ab2-48d4-89f7-69ce0e032113","NarrativeContent_68","NarrativeContent","<div></div>","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring"
"SECTION 8.4","117da53b-0069-4454-bf0c-7c90cd00277b","NarrativeContent_69","NarrativeContent","<div></div>","8.4","Adverse Events and Serious Adverse Events"
"SECTION 8.4.1","12b2bf12-6ebc-450b-9fb2-421870ff9952","NarrativeContent_70","NarrativeContent","<div></div>","8.4.1","Definitions of AE and SAE"
"SECTION 8.4.2","71b02e05-9ace-4a73-b089-45268e89795b","NarrativeContent_71","NarrativeContent","<div></div>","8.4.2","Time Period and Frequency for Collecting AE and SAE Information"
"SECTION 8.4.3","39e5cdb3-e153-4da0-8b10-bfb73338444e","NarrativeContent_72","NarrativeContent","<div></div>","8.4.3","Identifying AEs and SAEs"
"SECTION 8.4.4","e4d6808e-fc7d-4886-85ac-8da79c98ba05","NarrativeContent_73","NarrativeContent","<div></div>","8.4.4","Recording of AEs and SAEs"
"SECTION 8.4.5","438d0294-6c1b-4c39-a072-ed66c8a9ed4f","NarrativeContent_74","NarrativeContent","<div></div>","8.4.5","Follow-up of AEs and SAEs"
"SECTION 8.4.6","4d99fe81-5fac-4475-bbf9-63e3cc0cc4cc","NarrativeContent_75","NarrativeContent","<div></div>","8.4.6","Reporting of SAEs"
"SECTION 8.4.7","b675df39-f96e-4eeb-bd2e-d444dea1c3f4","NarrativeContent_76","NarrativeContent","<div></div>","8.4.7","Regulatory Reporting Requirements for SAEs"
"SECTION 8.4.8","4cb973bf-5050-4443-b5bd-f17f1266de92","NarrativeContent_77","NarrativeContent","<div></div>","8.4.8","Serious and Unexpected Adverse Reaction Reporting"
"SECTION 8.4.9","105d401f-ff97-4a7a-888f-6a8968553722","NarrativeContent_78","NarrativeContent","<div></div>","8.4.9","Adverse Events of Special Interest"
"SECTION 8.4.10","ee3cabe5-8251-400d-b8bb-ce33f1e1ae8f","NarrativeContent_79","NarrativeContent","<div></div>","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"SECTION 8.5","122d7457-2136-410e-8d20-20c64a4ef0a0","NarrativeContent_80","NarrativeContent","<div></div>","8.5","Pregnancy and Postpartum Information"
"SECTION 8.5.1","1e542f00-f6d9-4677-b5bf-ff85508bb314","NarrativeContent_81","NarrativeContent","<div></div>","8.5.1","Participants Who Become Pregnant During the Trial"
"SECTION 8.5.2","e8bace55-471e-4e39-a014-608eb0fa9f7a","NarrativeContent_82","NarrativeContent","<div></div>","8.5.2","Participants Whose Partners Become Pregnant"
"SECTION 8.6","ba2a4c26-4e54-49fb-a0a1-0b78f7a1a07f","NarrativeContent_83","NarrativeContent","<div></div>","8.6","Medical Device Product Complaints for Drug/Device Combination Products"
"SECTION 8.6.1","8947f194-2943-4035-a8f5-9812198c01e3","NarrativeContent_84","NarrativeContent","<div></div>","8.6.1","Definition of Medical Device Product Complaints"
"SECTION 8.6.2","47b9e1b2-3fec-4c21-8271-3bcb0da500e7","NarrativeContent_85","NarrativeContent","<div></div>","8.6.2","Recording of Medical Device Product Complaints"
"SECTION 8.6.3","79319bb1-b0cc-465b-b172-42210d49edc9","NarrativeContent_86","NarrativeContent","<div></div>","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"SECTION 8.6.4","7bbb0dd6-f91c-47ef-b1a4-00371d637d3e","NarrativeContent_87","NarrativeContent","<div></div>","8.6.4","Follow-Up of Medical Device Product Complaints"
"SECTION 8.6.5","52d56aa4-5303-466b-acf7-5e78fde8d0b3","NarrativeContent_88","NarrativeContent","<div></div>","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints"
"SECTION 8.7","f485295e-a3f2-4e3c-b471-80adeeb7c476","NarrativeContent_89","NarrativeContent","<div></div>","8.7","Pharmacokinetics"
"SECTION 8.8","1341be4d-9371-4487-b6d6-a8dd95022bfd","NarrativeContent_90","NarrativeContent","<div></div>","8.8","Genetics"
"SECTION 8.9","360f8fa3-cd48-4bb4-af7a-a3568f82ca59","NarrativeContent_91","NarrativeContent","<div></div>","8.9","Biomarkers"
"SECTION 8.1","e393ed70-8f3c-4ab7-90b7-2b8f1a53a1b0","NarrativeContent_92","NarrativeContent","<div></div>","8.1","Immunogenicity Assessments"
"SECTION 8.1.1","ec7e49ac-874a-46ef-81b3-0c7a66cfeb72","NarrativeContent_93","NarrativeContent","<div></div>","8.1.1","Medical Resource Utilisation and Health Economics"
"SECTION 9","ca0ab29e-dfc2-4754-adda-13edcbde123b","NarrativeContent_94","NarrativeContent","<div></div>","9","STATISTICAL CONSIDERATIONS"
"SECTION 9.1","2a41c55e-80e2-4942-8b81-b85c0ca751f3","NarrativeContent_95","NarrativeContent","<div></div>","9.1","Analysis Sets"
"SECTION 9.2","77c627bd-8905-464e-8c6f-d6b4547c7ea0","NarrativeContent_96","NarrativeContent","<div></div>","9.2","Analyses Supporting Primary Objective(s)"
"SECTION 9.2.1","48e04020-fa08-4014-a8d3-58a7906096ce","NarrativeContent_97","NarrativeContent","<div></div>","9.2.1","Statistical Model, Hypothesis, and Method of Analysis"
"SECTION 9.2.2","afd6ae44-88df-4a34-9740-96e06ad52cd1","NarrativeContent_98","NarrativeContent","<div></div>","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)"
"SECTION 9.2.3","04c624a3-4925-471c-8052-d91d650053f1","NarrativeContent_99","NarrativeContent","<div></div>","9.2.3","Handling of Missing Data"
"SECTION 9.2.4","039435e2-af11-4b8b-8f8f-c8b9bf4faf92","NarrativeContent_100","NarrativeContent","<div></div>","9.2.4","Sensitivity Analysis"
"SECTION 9.2.5","fbb91504-03ed-48cb-84ed-231b8a58ab95","NarrativeContent_101","NarrativeContent","<div></div>","9.2.5","Supplementary Analysis"
"SECTION 9.3","09093c07-c347-4477-9375-5a1b3146a3c1","NarrativeContent_102","NarrativeContent","<div></div>","9.3","Analysis Supporting Secondary Objective(s)"
"SECTION 9.4","822cf2e8-f625-4bb1-ac45-7da3b2d0d2fd","NarrativeContent_103","NarrativeContent","<div></div>","9.4","Analysis of Exploratory Objective(s)"
"SECTION 9.5","2d8d43ab-2436-4e21-861d-9425af5ddfd6","NarrativeContent_104","NarrativeContent","<div></div>","9.5","Safety Analyses"
"SECTION 9.6","218e8da3-4e37-4fcc-b039-9c10dd7203a9","NarrativeContent_105","NarrativeContent","<div></div>","9.6","Other Analyses"
"SECTION 9.7","8f509697-fcca-4935-8271-e242aff98806","NarrativeContent_106","NarrativeContent","<div></div>","9.7","Interim Analyses"
"SECTION 9.8","39ecbdff-f853-46b7-abfb-db2666a42a93","NarrativeContent_107","NarrativeContent","<div></div>","9.8","Sample Size Determination"
"SECTION 9.9","2b9cea20-2343-49f3-835c-2c58f7d8e89b","NarrativeContent_108","NarrativeContent","<div></div>","9.9","Protocol Deviations"
"SECTION 10","fcf7498d-40e6-46ff-a09c-9c0ca81056bd","NarrativeContent_109","NarrativeContent","<div></div>","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"SECTION 10.1","feb19008-e4f1-4dec-8649-3d0607cdbce2","NarrativeContent_110","NarrativeContent","<div></div>","10.1","Regulatory and Ethical Considerations"
"SECTION 10.2","804f102d-8d96-4e8f-97d7-5ecd599e7134","NarrativeContent_111","NarrativeContent","<div></div>","10.2","Committees"
"SECTION 10.3","e78f645b-ee50-47b3-a7db-617da83b79e0","NarrativeContent_112","NarrativeContent","<div></div>","10.3","Informed Consent Process"
"SECTION 10.4","b435af34-09ee-4ae0-aaef-dff413f1827a","NarrativeContent_113","NarrativeContent","<div></div>","10.4","Data Protection"
"SECTION 10.5","7e95edb8-68a8-4fd4-98e2-af47f2544190","NarrativeContent_114","NarrativeContent","<div></div>","10.5","Early Site Closure or Trial Termination"
"SECTION 11","d4de90c6-5f78-4f3d-afd3-c72372a39f4b","NarrativeContent_115","NarrativeContent","<div></div>","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"SECTION 11.1","db413e1d-0634-4131-8d8e-7aefd67dbf71","NarrativeContent_116","NarrativeContent","<div></div>","11.1","Quality Tolerance Limits"
"SECTION 11.2","04b0df9d-5b71-467d-96b1-4a556b28203f","NarrativeContent_117","NarrativeContent","<div></div>","11.2","Data Quality Assurance"
"SECTION 11.3","07d95ee8-a66e-443f-9c4f-a3eeb0e4e15a","NarrativeContent_118","NarrativeContent","<div></div>","11.3","Source Data"
"SECTION 12","43e0ff90-798f-4ace-865f-6db7b1d156ef","NarrativeContent_119","NarrativeContent","<div></div>","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"SECTION 12.1","0d922097-c296-409c-8f6a-1c3e759c09b4","NarrativeContent_120","NarrativeContent","<div></div>","12.1","Further Details and Clarifications on the AE Definition"
"SECTION 12.2","9a7d9c24-5f33-470f-a619-ac66298e2abc","NarrativeContent_121","NarrativeContent","<div></div>","12.2","Further Details and Clarifications on the SAE Definition"
"SECTION 12.3","f0e027da-668d-49ee-96fe-0deb6b8e9f06","NarrativeContent_122","NarrativeContent","<div></div>","12.3","Severity"
"SECTION 12.4","aa49fe6f-8363-4874-90ee-f5aa25962b92","NarrativeContent_123","NarrativeContent","<div></div>","12.4","Causality"
"SECTION 13","828460a4-716c-4ca8-943a-b206654eb849","NarrativeContent_124","NarrativeContent","<div></div>","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"SECTION 13.1","3e1db678-f78f-4765-85dc-983e67fbbef5","NarrativeContent_125","NarrativeContent","<div></div>","13.1","Contraception and Pregnancy Testing"
"SECTION 13.1.1","de228243-c5e0-4da0-93ee-1593d955b373","NarrativeContent_126","NarrativeContent","<div></div>","13.1.1","Definitions Related to Childbearing Potential"
"SECTION 13.1.2","2860e5ec-30cb-457a-a69f-3cee7f4dabac","NarrativeContent_127","NarrativeContent","<div></div>","13.1.2","Contraception"
"SECTION 13.1.3","7863368f-b330-484f-afab-101c01dfc571","NarrativeContent_128","NarrativeContent","<div></div>","13.1.3","Pregnancy Testing"
"SECTION 13.2","3430c676-8066-4a32-9781-6d5f550405a5","NarrativeContent_129","NarrativeContent","<div></div>","13.2","Clinical Laboratory Tests"
"SECTION 13.3","fb9cf1b4-aba2-4f4d-99e2-f9580d449cea","NarrativeContent_130","NarrativeContent","<div></div>","13.3","Country/Region-Specific Differences"
"SECTION 13.4","c29725e3-b6ea-41bf-bb12-808ec00dfe1e","NarrativeContent_131","NarrativeContent","<div></div>","13.4","Prior Protocol Amendments"
"SECTION 14","74f166a6-f542-43bb-8d4f-50c828ec0f6b","NarrativeContent_132","NarrativeContent","<div></div>","14","APPENDIX: GLOSSARY OF TERMS"
"SECTION 15","fd8ead06-4f39-4944-8b4f-fe2e75d7fc3d","NarrativeContent_133","NarrativeContent","<div></div>","15","APPENDIX: REFERENCES"
