"id","uuid:ID","name","instanceType","sectionTitle","text","sectionNumber"
"NarrativeContent_20","6469d038-5c54-4844-b205-38a8963758ee","SECTION 4.4","NarrativeContent","Start of Trial and End of Trial","<div></div>","4.4"
"NarrativeContent_21","a8366ad0-4b06-4c8e-9773-c761a6034048","SECTION 5","NarrativeContent","TRIAL POPULATION","<div></div>","5"
"NarrativeContent_22","5ecae6e1-9044-479a-815b-50dbee02a8b3","SECTION 5.1","NarrativeContent","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1"
"NarrativeContent_23","588bf89e-6619-4f39-b2fc-23a925f67300","SECTION 5.2","NarrativeContent","Rationale for Trial Population","<div></div>","5.2"
"NarrativeContent_24","ce948dd1-0e6c-4b2e-be95-4418c77e3579","SECTION 5.3","NarrativeContent","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5.3"
"NarrativeContent_25","5da523b1-99aa-4f91-bc61-52d97d687a40","SECTION 5.4","NarrativeContent","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","5.4"
"NarrativeContent_26","807b6b54-3330-443e-b6a2-9974f39c82dc","SECTION 5.5","NarrativeContent","Lifestyle Considerations","<div></div>","5.5"
"NarrativeContent_27","7c75209a-54cf-4807-ab74-5a3e9e2c6e1a","SECTION 5.5.1","NarrativeContent","Meals and Dietary Restrictions","<div></div>","5.5.1"
"NarrativeContent_28","51e60872-8cf5-4b55-8675-a0835cff45ec","SECTION 5.5.2","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","5.5.2"
"NarrativeContent_29","74425b36-c978-4a54-b9d6-f006a115f13b","SECTION 5.5.3","NarrativeContent","Physical Activity","<div></div>","5.5.3"
"NarrativeContent_30","5034c258-0edf-4068-ac26-3c2ef7aa6c4d","SECTION 5.5.4","NarrativeContent","Other Activity","<div></div>","5.5.4"
"NarrativeContent_31","b27efd00-3a70-4d23-985f-9cfe4f0c0ada","SECTION 5.6","NarrativeContent","Screen Failures","<div></div>","5.6"
"NarrativeContent_32","69cd131d-3d55-4871-bb14-24d61be9c8e7","SECTION 6","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","6"
"NarrativeContent_33","e875529f-154f-4db0-80f6-1a3b15aa6573","SECTION 6.1","NarrativeContent","Description of Trial Intervention","<div></div>","6.1"
"NarrativeContent_34","029eaffa-ed83-4fee-be83-e25f88577370","SECTION 6.2","NarrativeContent","Rationale for Trial Intervention","<div></div>","6.2"
"NarrativeContent_35","f69f55b6-85fb-4b73-b0cc-5a9bb27704a7","SECTION 6.3","NarrativeContent","Dosing and Administration","<div></div>","6.3"
"NarrativeContent_36","bc519a16-9ca2-4176-ac64-518f0cc0faf7","SECTION 6.3.1","NarrativeContent","Trial Intervention Dose Modification","<div></div>","6.3.1"
"NarrativeContent_37","e3991ce2-07fd-44e8-b181-64487f393aac","SECTION 6.4","NarrativeContent","Treatment of Overdose","<div></div>","6.4"
"NarrativeContent_38","0e75ae86-eacd-4df6-81c3-62b6ec53f088","SECTION 6.5","NarrativeContent","Preparation, Handling, Storage and Accountability","<div></div>","6.5"
"NarrativeContent_39","d64f50f6-efb0-4851-b5fb-a3704203af35","SECTION 6.5.1","NarrativeContent","Preparation of Trial Intervention","<div></div>","6.5.1"
"NarrativeContent_40","7eb5c26e-1066-435c-b424-c0c383aac4b9","SECTION 6.5.2","NarrativeContent","Handling and Storage of Trial Intervention","<div></div>","6.5.2"
"NarrativeContent_41","c4e32b3c-2f5d-4670-a4e8-9d6bf778e54a","SECTION 6.5.3","NarrativeContent","Accountability of Trial Intervention","<div></div>","6.5.3"
"NarrativeContent_42","7d3e2731-a457-4713-8201-d245a7715c69","SECTION 6.6","NarrativeContent","Participant Assignment, Randomisation and Blinding","<div></div>","6.6"
"NarrativeContent_43","9fdf00e7-8c0c-4ea9-9813-c64da57a0f68","SECTION 6.6.1","NarrativeContent","Participant Assignment","<div></div>","6.6.1"
"NarrativeContent_44","1a2879c2-4b53-4db6-8e2c-e15a5277a6db","SECTION 6.6.2","NarrativeContent","Randomisation","<div></div>","6.6.2"
"NarrativeContent_45","2053a4b4-a59b-4dd7-b003-27bdfcee14bf","SECTION 6.6.3","NarrativeContent","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3"
"NarrativeContent_46","be05194e-5c1d-4927-81d9-db7e75f8c4da","SECTION 6.7","NarrativeContent","Trial Intervention Compliance","<div></div>","6.7"
"NarrativeContent_47","599332f4-a1a8-40ad-ab5f-655fcc4756a7","SECTION 6.8","NarrativeContent","Concomitant Therapy","<div></div>","6.8"
"NarrativeContent_48","0147f02d-717b-4f78-959b-0ae786bf0ede","SECTION 6.8.1","NarrativeContent","Prohibited Concomitant Therapy","<div></div>","6.8.1"
"NarrativeContent_49","ed5c21ae-5760-4239-af1f-e693e54a567f","SECTION 6.8.2","NarrativeContent","Permitted Concomitant Therapy","<div></div>","6.8.2"
"NarrativeContent_50","0c236418-5ca1-4f2e-9548-8af27d3f65e4","SECTION 6.8.3","NarrativeContent","Rescue Therapy","<div></div>","6.8.3"
"NarrativeContent_51","8c377dda-adb6-43d6-aa20-95739cd4844e","SECTION 6.8.4","NarrativeContent","Other Therapy","<div></div>","6.8.4"
"NarrativeContent_52","4bb95cbc-207f-427e-9db4-dca3c6c5acd7","SECTION 7","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","7"
"NarrativeContent_53","0ce15723-2dd7-4c80-8dd8-1be6683579df","SECTION 7.1","NarrativeContent","Discontinuation of Trial Intervention","<div></div>","7.1"
"NarrativeContent_54","9ad06bfc-c19c-4137-a338-75be13558589","SECTION 7.1.1","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","7.1.1"
"NarrativeContent_55","233aa7c5-4bee-4ebc-a7b8-f7389a354889","SECTION 7.1.2","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","7.1.2"
"NarrativeContent_56","a61bc6b3-43c1-4190-b51a-34ad4f9c2cde","SECTION 7.1.3","NarrativeContent","Rechallenge","<div></div>","7.1.3"
"NarrativeContent_57","f9b2ed11-7c0a-44c9-a729-aaa02a2308f2","SECTION 7.2","NarrativeContent","Participant Withdrawal from the Trial","<div></div>","7.2"
"NarrativeContent_58","0e88e00d-5ba0-4375-b1c6-a8f7217a093a","SECTION 7.3","NarrativeContent","Lost to Follow-Up","<div></div>","7.3"
"NarrativeContent_59","104b127c-6c21-4610-9f55-89dd425426b3","SECTION 7.4","NarrativeContent","Trial Stopping Rules","<div></div>","7.4"
"NarrativeContent_60","ffd2b5fa-9f0e-422e-858f-fcba83a328a0","SECTION 8","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","8"
"NarrativeContent_61","c38f6313-093d-4cca-a1d1-8a11b6955e5f","SECTION 8.1","NarrativeContent","Screening/Baseline Assessments and Procedures","<div></div>","8.1"
"NarrativeContent_62","7871febb-be2f-4a5e-bd11-70bc1fb0c0a2","SECTION 8.2","NarrativeContent","Efficacy Assessments and Procedures","<div></div>","8.2"
"NarrativeContent_63","9f8553da-5475-4fb4-8e27-689c5fd2d797","SECTION 8.3","NarrativeContent","Safety Assessments and Procedures","<div></div>","8.3"
"NarrativeContent_64","237cad0c-7543-419a-9fa1-0e9b0bb8963c","SECTION 8.3.1","NarrativeContent","Physical Examination","<div></div>","8.3.1"
"NarrativeContent_65","7947bd73-34ac-4d2c-8d4e-d314710f7011","SECTION 8.3.2","NarrativeContent","Vital Signs","<div></div>","8.3.2"
"NarrativeContent_66","57d21c6c-00c4-4fdf-a864-febddc235d1c","SECTION 8.3.3","NarrativeContent","Electrocardiograms","<div></div>","8.3.3"
"NarrativeContent_67","d6908795-e60c-466b-b048-969a12a7308b","SECTION 8.3.4","NarrativeContent","Clinical Laboratory Assessments","<div></div>","8.3.4"
"NarrativeContent_68","f95f6b7d-0bf6-475b-bda2-d0413cdc3f8d","SECTION 8.3.5","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","8.3.5"
"NarrativeContent_69","f4f062c6-3d29-4d65-b0cc-de3b60554232","SECTION 8.4","NarrativeContent","Adverse Events and Serious Adverse Events","<div></div>","8.4"
"NarrativeContent_70","bd826892-207f-4400-b84b-15bdb5263482","SECTION 8.4.1","NarrativeContent","Definitions of AE and SAE","<div></div>","8.4.1"
"NarrativeContent_71","1c9f34dc-bb72-4a1b-9cf5-df7cdeba5ace","SECTION 8.4.2","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","8.4.2"
"NarrativeContent_72","542facc7-9ee2-4b34-83c6-ed12e9e9f06e","SECTION 8.4.3","NarrativeContent","Identifying AEs and SAEs","<div></div>","8.4.3"
"NarrativeContent_73","632e1e71-309a-4793-8f24-d849446cc3c9","SECTION 8.4.4","NarrativeContent","Recording of AEs and SAEs","<div></div>","8.4.4"
"NarrativeContent_74","8ec0f913-7914-4b36-819e-92fbfd594585","SECTION 8.4.5","NarrativeContent","Follow-up of AEs and SAEs","<div></div>","8.4.5"
"NarrativeContent_75","3dc41c74-36ad-49e3-acf2-4de01c6f642c","SECTION 8.4.6","NarrativeContent","Reporting of SAEs","<div></div>","8.4.6"
"NarrativeContent_76","76213916-07a5-4f66-a50b-02d21c5d14a0","SECTION 8.4.7","NarrativeContent","Regulatory Reporting Requirements for SAEs","<div></div>","8.4.7"
"NarrativeContent_77","3378e354-a528-46f5-92d5-42084c220946","SECTION 8.4.8","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","<div></div>","8.4.8"
"NarrativeContent_78","8cf1942d-f616-4683-a00c-8acad507e592","SECTION 8.4.9","NarrativeContent","Adverse Events of Special Interest","<div></div>","8.4.9"
"NarrativeContent_79","27b00d6d-d5c6-4673-b70f-28c97f7284af","SECTION 8.4.10","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","8.4.10"
"NarrativeContent_80","8068b82d-e99c-4536-b2a2-4cd2c24de0c4","SECTION 8.5","NarrativeContent","Pregnancy and Postpartum Information","<div></div>","8.5"
"NarrativeContent_81","e43c51d5-5933-467a-8d6a-834544c923c5","SECTION 8.5.1","NarrativeContent","Participants Who Become Pregnant During the Trial","<div></div>","8.5.1"
"NarrativeContent_82","d6525d0f-a438-4430-b15a-6f59b40f000b","SECTION 8.5.2","NarrativeContent","Participants Whose Partners Become Pregnant","<div></div>","8.5.2"
"NarrativeContent_83","76923b6c-3363-4957-b9fb-51d9e42fa3d4","SECTION 8.6","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","8.6"
"NarrativeContent_84","de53e6de-73e3-4a32-9899-ece076ac4ff2","SECTION 8.6.1","NarrativeContent","Definition of Medical Device Product Complaints","<div></div>","8.6.1"
"NarrativeContent_85","671eafea-9acb-440a-964c-686ac914ab05","SECTION 8.6.2","NarrativeContent","Recording of Medical Device Product Complaints","<div></div>","8.6.2"
"NarrativeContent_86","fa577e54-f68d-4634-bacb-16929a40e8fd","SECTION 8.6.3","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","8.6.3"
"NarrativeContent_87","08fa96d3-cf74-475f-9e3c-e4abd70152e9","SECTION 8.6.4","NarrativeContent","Follow-Up of Medical Device Product Complaints","<div></div>","8.6.4"
"NarrativeContent_88","022a165e-e4c7-4d4a-b270-9b3d5a295dd8","SECTION 8.6.5","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","8.6.5"
"NarrativeContent_89","e676c322-e5f8-43f2-a569-31d8f763c188","SECTION 8.7","NarrativeContent","Pharmacokinetics","<div></div>","8.7"
"NarrativeContent_90","bd5bc7bf-cb3d-497a-8be4-b9e9847f30e3","SECTION 8.8","NarrativeContent","Genetics","<div></div>","8.8"
"NarrativeContent_91","5f360555-2578-49e7-901a-c7759c778687","SECTION 8.9","NarrativeContent","Biomarkers","<div></div>","8.9"
"NarrativeContent_92","ea401dac-3974-4443-89fc-cb5b5341b24b","SECTION 8.1","NarrativeContent","Immunogenicity Assessments","<div></div>","8.1"
"NarrativeContent_93","41f88198-3fbf-4505-888b-2f7980d47d35","SECTION 8.1.1","NarrativeContent","Medical Resource Utilisation and Health Economics","<div></div>","8.1.1"
"NarrativeContent_94","388cf8a9-3ad1-4f37-aa09-2a494489c727","SECTION 9","NarrativeContent","STATISTICAL CONSIDERATIONS","<div></div>","9"
"NarrativeContent_95","e9d9096a-91b7-402c-b213-93e8c004a63e","SECTION 9.1","NarrativeContent","Analysis Sets","<div></div>","9.1"
"NarrativeContent_96","2d445c3b-2f5e-4c60-828f-b6e3f860b538","SECTION 9.2","NarrativeContent","Analyses Supporting Primary Objective(s)","<div></div>","9.2"
"NarrativeContent_97","83cbe673-65cc-452f-b0c6-18da826a53b2","SECTION 9.2.1","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","9.2.1"
"NarrativeContent_98","2f3cfcd9-867d-4cdc-8fcb-c68d863a789a","SECTION 9.2.2","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","9.2.2"
"NarrativeContent_99","763fdef3-06ec-4b63-8cb0-bcc767b555e7","SECTION 9.2.3","NarrativeContent","Handling of Missing Data","<div></div>","9.2.3"
"NarrativeContent_100","2d3f023f-d938-4921-b2e0-a069ce595504","SECTION 9.2.4","NarrativeContent","Sensitivity Analysis","<div></div>","9.2.4"
"NarrativeContent_101","6a6f690d-5bfc-4835-bb44-7f2de8920cae","SECTION 9.2.5","NarrativeContent","Supplementary Analysis","<div></div>","9.2.5"
"NarrativeContent_102","6632a0c6-265f-4345-9071-d2ff8028cce3","SECTION 9.3","NarrativeContent","Analysis Supporting Secondary Objective(s)","<div></div>","9.3"
"NarrativeContent_103","83ec586d-adf6-4077-991f-842e69d5fc5b","SECTION 9.4","NarrativeContent","Analysis of Exploratory Objective(s)","<div></div>","9.4"
"NarrativeContent_104","f5e3b443-5c3c-441e-9bf3-1059592107ca","SECTION 9.5","NarrativeContent","Safety Analyses","<div></div>","9.5"
"NarrativeContent_105","fbc901d8-8744-4d52-b907-0ff6dd0c7eef","SECTION 9.6","NarrativeContent","Other Analyses","<div></div>","9.6"
"NarrativeContent_106","70d8dd42-fa83-48f8-98ec-46f707b28a40","SECTION 9.7","NarrativeContent","Interim Analyses","<div></div>","9.7"
"NarrativeContent_107","3886e10a-8d95-4bad-9482-83ae1a4fb9eb","SECTION 9.8","NarrativeContent","Sample Size Determination","<div></div>","9.8"
"NarrativeContent_108","1b78d8c0-0206-429d-ada1-a022605717ca","SECTION 9.9","NarrativeContent","Protocol Deviations","<div></div>","9.9"
"NarrativeContent_109","8e532dfd-92cb-45b5-8c4b-72b262104368","SECTION 10","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","10"
"NarrativeContent_110","3c7b9734-358b-49f0-8d14-43db6dd1a8d3","SECTION 10.1","NarrativeContent","Regulatory and Ethical Considerations","<div></div>","10.1"
"NarrativeContent_111","6d597132-29ef-4acf-87a1-e09a4bb44bce","SECTION 10.2","NarrativeContent","Committees","<div></div>","10.2"
"NarrativeContent_112","20fdf730-a5ff-4c81-ad6a-86a5e87540ad","SECTION 10.3","NarrativeContent","Informed Consent Process","<div></div>","10.3"
"NarrativeContent_113","21776bab-b68e-4f50-a569-ce32f1c7108a","SECTION 10.4","NarrativeContent","Data Protection","<div></div>","10.4"
"NarrativeContent_114","bda3a011-77f3-45f7-8e02-52bd548bf6ec","SECTION 10.5","NarrativeContent","Early Site Closure or Trial Termination","<div></div>","10.5"
"NarrativeContent_115","f64f11ce-d287-4569-b2c9-90d3d0c6eb68","SECTION 11","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","11"
"NarrativeContent_116","af291393-e46c-44d7-a05e-26c501b16edc","SECTION 11.1","NarrativeContent","Quality Tolerance Limits","<div></div>","11.1"
"NarrativeContent_117","8ccc716a-1874-4b55-88a2-1b957fe49cde","SECTION 11.2","NarrativeContent","Data Quality Assurance","<div></div>","11.2"
"NarrativeContent_118","1c7730f5-b952-487e-9ff6-2f03396928a7","SECTION 11.3","NarrativeContent","Source Data","<div></div>","11.3"
"NarrativeContent_119","ea62f1d2-5e89-4a5a-8583-66c385236df5","SECTION 12","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","12"
"NarrativeContent_120","04958451-f888-4577-929b-e0de55b123a3","SECTION 12.1","NarrativeContent","Further Details and Clarifications on the AE Definition","<div></div>","12.1"
"NarrativeContent_121","32050f24-87c7-41be-9e61-cb1320ad9955","SECTION 12.2","NarrativeContent","Further Details and Clarifications on the SAE Definition","<div></div>","12.2"
"NarrativeContent_122","6bd6b051-dde8-4b78-b755-84b508149b1c","SECTION 12.3","NarrativeContent","Severity","<div></div>","12.3"
"NarrativeContent_123","729d8464-5dcd-4e31-9e8e-ef4e1322c265","SECTION 12.4","NarrativeContent","Causality","<div></div>","12.4"
"NarrativeContent_124","a7535ae1-4fd6-4b12-a824-a70ffebe0ff3","SECTION 13","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","13"
"NarrativeContent_125","56bd9b7f-0eae-42c2-8c86-3fcf62b2753a","SECTION 13.1","NarrativeContent","Contraception and Pregnancy Testing","<div></div>","13.1"
"NarrativeContent_126","792b4e0f-2441-4921-afdb-3f8d167517ed","SECTION 13.1.1","NarrativeContent","Definitions Related to Childbearing Potential","<div></div>","13.1.1"
"NarrativeContent_127","e8eafd02-0d21-440e-97f7-77872bcef260","SECTION 13.1.2","NarrativeContent","Contraception","<div></div>","13.1.2"
"NarrativeContent_128","03a148a7-a9a1-4646-b1d3-5535ef651c87","SECTION 13.1.3","NarrativeContent","Pregnancy Testing","<div></div>","13.1.3"
"NarrativeContent_129","0045e566-9161-4bb5-8bc5-453f9c13ac0a","SECTION 13.2","NarrativeContent","Clinical Laboratory Tests","<div></div>","13.2"
"NarrativeContent_130","c16f7623-c589-41f1-91aa-ced9ef659aca","SECTION 13.3","NarrativeContent","Country/Region-Specific Differences","<div></div>","13.3"
"NarrativeContent_131","f385311f-ac75-4d8b-8f27-b98f953fcea3","SECTION 13.4","NarrativeContent","Prior Protocol Amendments","<div></div>","13.4"
"NarrativeContent_132","fc14ff93-9735-4eb5-847c-a426547cb51b","SECTION 14","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","<div></div>","14"
"NarrativeContent_133","40ae7fef-a341-4032-af08-eed2524a7434","SECTION 15","NarrativeContent","APPENDIX: REFERENCES","<div></div>","15"
