"bcPropertyDatatype","name","label","uuid:ID","bcPropertyRequired","id","bcPropertyEnabled"
"string","Biospecimen Type","Biospecimen Type","a49b7e9e-dfb6-4d9c-b00b-a3e0e0466545","True","BiomedicalConceptProperty_112","True"
"decimal","Laboratory Test Result","Laboratory Test Result","8149e428-c5c6-4bac-925d-879ce212bbd2","True","BiomedicalConceptProperty_113","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","26844021-3feb-4973-b444-08b29910cbf5","True","BiomedicalConceptProperty_114","True"
"string","Molarity Unit","Molarity Unit","45575bc5-62b1-4689-904d-2cae8a4115b6","True","BiomedicalConceptProperty_115","True"
"string","Biospecimen Type","Biospecimen Type","01540b6a-5031-4795-9469-c4b87e881d2d","True","BiomedicalConceptProperty_116","True"
"decimal","Laboratory Test Result","Laboratory Test Result","245041e3-a9bf-4a34-b962-fe2295acd815","True","BiomedicalConceptProperty_117","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","6b2fee97-02c5-4e41-887a-94933e1ee6a4","True","BiomedicalConceptProperty_118","True"
"string","Molarity Unit","Molarity Unit","945b3c5b-af43-46b4-b5ed-781f61a1081f","True","BiomedicalConceptProperty_119","True"
"string","Biospecimen Type","Biospecimen Type","b418325c-49e0-4bd5-944f-eab563e0a6f0","True","BiomedicalConceptProperty_120","True"
"string","Adverse Event Verbatim Description","Adverse Event Verbatim Description","fefb701f-d382-40f3-ae75-bc18c308b898","True","BiomedicalConceptProperty_1","True"
"string","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","fc80f625-b605-4f23-85cf-25393b632c2f","True","BiomedicalConceptProperty_2","True"
"string","Adverse Event Category","Adverse Event Category","708092b8-1378-4cfc-8fdd-f66363075cdd","True","BiomedicalConceptProperty_3","True"
"string","Adverse Event Subcategory","Adverse Event Subcategory","3960264b-cce1-4b34-95c8-2ede348645f5","True","BiomedicalConceptProperty_4","True"
"boolean","Adverse Event Pre-specified","Adverse Event Pre-specified","02c91b66-8270-4bb5-9d06-7c08a2459bee","True","BiomedicalConceptProperty_5","True"
"string","Severity of Adverse Event","Severity of Adverse Event","0e794da8-670b-4653-a906-9b7e98029a07","True","BiomedicalConceptProperty_6","True"
"string","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","f7fee017-ed85-4758-ad66-d8707a5ac2af","True","BiomedicalConceptProperty_7","True"
"boolean","Seriousness of Adverse Event","Seriousness of Adverse Event","559a7496-6a3a-4bc1-a4d2-359f238f9acf","True","BiomedicalConceptProperty_8","True"
"string","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","50d6b18c-6a6b-44e7-8516-8200b754f5df","True","BiomedicalConceptProperty_9","True"
"string","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","d2802751-d700-4c18-b330-b233c0a8cae5","True","BiomedicalConceptProperty_10","True"
"string","Adverse Event Pattern","Adverse Event Pattern","abd45125-c643-4ebf-924b-53c220b933ad","True","BiomedicalConceptProperty_11","True"
"string","Adverse Event Outcome","Adverse Event Outcome","f90e6195-6bef-4cd5-8080-27d7c53899cf","True","BiomedicalConceptProperty_12","True"
"datetime","Adverse Event Start Date Time","Adverse Event Start Date Time","9132a073-8465-43b7-b250-7208a2843a36","True","BiomedicalConceptProperty_13","True"
"datetime","Adverse Event End Date Time","Adverse Event End Date Time","d98f0707-c46f-4005-8da6-c4c1d85c999f","True","BiomedicalConceptProperty_14","True"
"decimal","Vital Signs Result","Vital Signs Result","842be45e-4c08-4036-b37e-65cfe52325de","True","BiomedicalConceptProperty_15","True"
"string","Unit of Pressure","Unit of Pressure","77b665ad-10b8-410a-aa56-7d01a2bdab73","True","BiomedicalConceptProperty_16","True"
"string","Vital Signs Location","Vital Signs Location","fddb7917-15ad-4fab-a5b3-e3da202ec5e9","True","BiomedicalConceptProperty_17","True"
"string","Vital Signs Laterality","Vital Signs Laterality","92e8f51d-c7fd-49c2-af44-5ba40d292a8b","True","BiomedicalConceptProperty_18","True"
"string","Test Method","Test Method","3e248b1d-ccd2-4d7d-b323-897e4ee5d0b0","True","BiomedicalConceptProperty_19","True"
"string","Vital Signs Position","Vital Signs Position","97a66df0-b4d6-4dc7-8d98-2854180b2c1f","True","BiomedicalConceptProperty_20","True"
"decimal","Vital Signs Result","Vital Signs Result","f3112bad-33e7-4e5f-a9e5-c172b7d12ae4","True","BiomedicalConceptProperty_21","True"
"string","Unit of Pressure","Unit of Pressure","d7eae499-5f91-4d48-aeec-2b66e1223d1a","True","BiomedicalConceptProperty_22","True"
"string","Vital Signs Location","Vital Signs Location","8e3e48fe-cefa-472e-bd2f-475e9c28925f","True","BiomedicalConceptProperty_23","True"
"string","Vital Signs Laterality","Vital Signs Laterality","f6ab02d8-4cbe-4121-8d5f-ae5063d26c58","True","BiomedicalConceptProperty_24","True"
"string","Test Method","Test Method","8626456c-aa7c-4dfa-a209-61ba4d415202","True","BiomedicalConceptProperty_25","True"
"string","Vital Signs Position","Vital Signs Position","0537b38f-7ecc-4160-b771-c121a0cd261f","True","BiomedicalConceptProperty_26","True"
"decimal","Vital Signs Result","Vital Signs Result","98342b83-6823-4db4-a398-fe35fb9d181f","True","BiomedicalConceptProperty_27","True"
"string","Unit of Temperature","Unit of Temperature","53c99772-26df-46e3-9412-02ad21a1e5da","True","BiomedicalConceptProperty_28","True"
"string","Vital Signs Location","Vital Signs Location","ce1c8b24-1edf-4149-bb34-aafdc5b88e23","True","BiomedicalConceptProperty_29","True"
"decimal","Vital Signs Result","Vital Signs Result","ff32a70e-4c62-42bd-b826-ceed907c8a1a","True","BiomedicalConceptProperty_30","True"
"string","Unit of Weight","Unit of Weight","8a3e5dd1-70f8-4094-9e09-ed58ee002566","True","BiomedicalConceptProperty_31","True"
"decimal","Vital Signs Result","Vital Signs Result","e7720dad-e4e1-49e0-a30f-dc73f49126b2","True","BiomedicalConceptProperty_32","True"
"string","Unit of Height","Unit of Height","26f11d72-d940-4e48-8147-b842b885310c","True","BiomedicalConceptProperty_33","True"
"decimal","Laboratory Test Result","Laboratory Test Result","9d994d9f-ebb3-4230-ac16-19abb3edf6a5","True","BiomedicalConceptProperty_34","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","ccf0190b-8803-4546-8b96-0ab3f0f2db88","True","BiomedicalConceptProperty_35","True"
"string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","f3f16519-924f-4382-8ec6-5ecc1933e78f","True","BiomedicalConceptProperty_36","True"
"string","Biospecimen Type","Biospecimen Type","99805902-5ca2-464f-a231-a4bfef302df8","True","BiomedicalConceptProperty_37","True"
"string","Laboratory Test Result","Laboratory Test Result","9bc4c577-a1ac-4735-8c29-e5613733381a","True","BiomedicalConceptProperty_38","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","def48a81-af9f-481a-bd50-ed5b1180ebb5","True","BiomedicalConceptProperty_39","True"
"string","Unit of Concentration","Unit of Concentration","abf79f37-6d37-4e61-bc14-f523d3f93d40","True","BiomedicalConceptProperty_40","True"
"string","Biospecimen Type","Biospecimen Type","94d599fd-fa06-48e7-8632-828a2ace99b3","True","BiomedicalConceptProperty_41","True"
"decimal","Laboratory Test Result","Laboratory Test Result","7a614663-6772-463a-92f0-023ffa357f64","True","BiomedicalConceptProperty_42","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","9e94666c-3d94-420f-949c-ee0f2b4ea7c0","True","BiomedicalConceptProperty_43","True"
"string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","f2607701-4e67-4602-855b-85df9eaf10fc","True","BiomedicalConceptProperty_44","True"
"string","Biospecimen Type","Biospecimen Type","1ca46f88-f912-4fbd-b233-cf8f801d1436","True","BiomedicalConceptProperty_45","True"
"decimal","Laboratory Test Result","Laboratory Test Result","6a5025f7-bc6b-4238-83c9-7ff7777a4203","True","BiomedicalConceptProperty_46","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","3c055c37-ac28-4145-a6e7-fa4118649b17","True","BiomedicalConceptProperty_47","True"
"string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","c82811bf-dcf8-411c-8e80-f61eff1bc1e3","True","BiomedicalConceptProperty_48","True"
"string","Biospecimen Type","Biospecimen Type","cccf8e59-d6f8-4d4f-bb0a-6dbe2443c790","True","BiomedicalConceptProperty_49","True"
"string","Laboratory Test Result","Laboratory Test Result","bc76d13f-9259-4c00-8ecd-94c810ba9796","True","BiomedicalConceptProperty_50","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","cd7f9929-d3d3-4f62-8835-e78035cb9cfb","True","BiomedicalConceptProperty_51","True"
"string","Unit of Concentration","Unit of Concentration","42b9aa69-d923-4945-9693-fe835941555b","True","BiomedicalConceptProperty_52","True"
"string","Biospecimen Type","Biospecimen Type","e2221d34-6ea8-4c66-a222-a084ee78974b","True","BiomedicalConceptProperty_53","True"
"decimal","Laboratory Test Result","Laboratory Test Result","41da28f6-c251-4eda-bf9d-91fe3ebb642d","True","BiomedicalConceptProperty_54","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","045ca8f1-24a3-4087-9b49-1970e977420a","True","BiomedicalConceptProperty_55","True"
"string","Molarity Unit","Molarity Unit","34852bb8-57c6-4694-aaf0-23ebef117901","True","BiomedicalConceptProperty_56","True"
"string","Biospecimen Type","Biospecimen Type","ed2f09d6-0d06-41e3-be46-8580d020b05b","True","BiomedicalConceptProperty_57","True"
"decimal","Laboratory Test Result","Laboratory Test Result","a7544017-8af4-4dfa-82c9-fc24b40aec4c","True","BiomedicalConceptProperty_58","True"
"boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","d157725d-4c7f-46c1-8a43-1a46a6793985","True","BiomedicalConceptProperty_59","True"
"string","Molarity Unit","Molarity Unit","70af4754-eb30-4b26-bd78-c82d065009e8","True","BiomedicalConceptProperty_60","True"
"string","Biospecimen Type","Biospecimen Type","abdb9507-d38a-4b07-bfe7-953bf38fd413","True","BiomedicalConceptProperty_61","True"
"decimal","Vital Signs Result","Vital Signs Result","b69259e3-7c4d-43eb-ab49-6e104446e8b2","True","BiomedicalConceptProperty_62","True"
"string","Unit of Pressure","Unit of Pressure","ba75fcf7-64bb-4f1f-8763-b9fba91261da","True","BiomedicalConceptProperty_63","True"
"string","Vital Signs Location","Vital Signs Location","6f1a52ee-1885-49eb-b883-a67638fc5da9","True","BiomedicalConceptProperty_64","True"
"string","Vital Signs Laterality","Vital Signs Laterality","1911b782-6dbe-478b-92f5-15e192320da9","True","BiomedicalConceptProperty_65","True"
"string","Test Method","Test Method","2bb2efe4-cac5-4807-9fd3-61f961e26dd7","True","BiomedicalConceptProperty_66","True"
"string","Vital Signs Position","Vital Signs Position","4af5e7e4-46a5-4c84-8049-308c127a05f5","True","BiomedicalConceptProperty_67","True"
"decimal","Vital Signs Result","Vital Signs Result","6ec6863c-3a9c-481a-8619-348317b4ab95","True","BiomedicalConceptProperty_68","True"
"string","Unit of Pressure","Unit of Pressure","d82fe274-e6b7-402e-8f85-5b51cdc3c1f3","True","BiomedicalConceptProperty_69","True"
"string","Vital Signs Location","Vital Signs Location","14ea2886-30ca-4893-bd81-f62b04f50506","True","BiomedicalConceptProperty_70","True"
"string","Vital Signs Laterality","Vital Signs Laterality","acbdc532-87de-43e5-ae3e-937227a31071","True","BiomedicalConceptProperty_71","True"
"string","Test Method","Test Method","2507b04c-606c-4e4b-83c8-d0f05df4f8cb","True","BiomedicalConceptProperty_72","True"
"string","Vital Signs Position","Vital Signs Position","a4e97378-512f-48c3-b52f-23ec94513fd7","True","BiomedicalConceptProperty_73","True"
"decimal","Vital Signs Result","Vital Signs Result","d103beb0-d6e1-4146-b6b7-b5d94d183faf","True","BiomedicalConceptProperty_74","True"
"string","Unit of Pressure","Unit of Pressure","637b8510-d4c4-48e8-b2bc-138b01299c42","True","BiomedicalConceptProperty_75","True"
"string","Vital Signs Location","Vital Signs Location","34662173-5801-4168-b4bb-6b3bfe32efe1","True","BiomedicalConceptProperty_76","True"
"string","Vital Signs Laterality","Vital Signs Laterality","4b656b91-a87f-480c-81b9-b99dbf0306f5","True","BiomedicalConceptProperty_77","True"
"string","Test Method","Test Method","37e33775-3684-4eb0-82ce-3b0b3339d8ed","True","BiomedicalConceptProperty_78","True"
"string","Vital Signs Position","Vital Signs Position","13c32dbc-14df-4893-951a-7f2e3c083932","True","BiomedicalConceptProperty_79","True"
"decimal","Vital Signs Result","Vital Signs Result","aff50b84-d2e3-48a8-98c0-d365cadaba4e","True","BiomedicalConceptProperty_80","True"
"string","Unit of Pressure","Unit of Pressure","3b29f85a-c0af-4612-b5cf-481e3ac1d064","True","BiomedicalConceptProperty_81","True"
"string","Vital Signs Location","Vital Signs Location","33c761e7-e141-4198-b05d-6061105118e5","True","BiomedicalConceptProperty_82","True"
"string","Vital Signs Laterality","Vital Signs Laterality","57f82d0a-2a27-4ff0-a411-a3be8f196043","True","BiomedicalConceptProperty_83","True"
"string","Test Method","Test Method","30537450-fc02-4fa9-baa5-18d9543b55e9","True","BiomedicalConceptProperty_84","True"
"string","Vital Signs Position","Vital Signs Position","b5c9a539-82b3-4e00-bf5b-dfd9ce32fc50","True","BiomedicalConceptProperty_85","True"
