"decode","codeSystemVersion","uuid:ID","codeSystem","id","code"
"Biospecimen Type","","555ad584-f983-4c65-8190-8a1aa8b5d761","NCI Thesaurus","Code_263","C70713"
"Alanine Aminotransferase Measurement","","4a8e61d3-4f8b-49d9-87b7-f56df5f60613","NCI Thesaurus","Code_259","C64433"
"Laboratory Test Result","","75f3ed0e-a1a7-4b8b-947e-c690507ca693","NCI Thesaurus","Code_265","C36292"
"Laboratory Test Fasting Status","","ab4a2cfe-87f0-4df8-a920-c6f19dd6a9fa","NCI Thesaurus","Code_266","C83309"
"Unit of Concentration","","a12b51b7-8648-4cf7-8f54-ebf2a3f350d5","NCI Thesaurus","Code_267","C48207"
"Biospecimen Type","","f7b64a86-af7b-4c0e-aec7-1765c0753e48","NCI Thesaurus","Code_268","C70713"
"Albumin Measurement","","5bcc691c-8902-4a32-9d29-1485928dabae","NCI Thesaurus","Code_264","C64431"
"Laboratory Test Result","","929d240e-c3e3-42f3-a5dc-ed8e86e71f44","NCI Thesaurus","Code_270","C36292"
"Laboratory Test Fasting Status","","7bc51dd8-3b99-4f4c-b7ce-9aee29bf8cf2","NCI Thesaurus","Code_271","C83309"
"Unit of Catalytic Activity Concentration","","739a0a5f-1bbf-4887-b77c-9347f4fcf2ef","NCI Thesaurus","Code_272","C67365"
"Biospecimen Type","","e3d69fae-558f-4cd7-b449-af522d1c6fb0","NCI Thesaurus","Code_273","C70713"
"Alkaline Phosphatase Measurement","","b5f4516f-9115-4353-be37-457854be83d1","NCI Thesaurus","Code_269","C64432"
"Laboratory Test Result","","7faba58d-d79d-4a85-a81c-2569d031e441","NCI Thesaurus","Code_275","C36292"
"Laboratory Test Fasting Status","","a19bd8c3-5810-4b78-b0e4-36a2cac04f89","NCI Thesaurus","Code_276","C83309"
"Unit of Catalytic Activity Concentration","","b0f2a5f7-fe39-42a8-add4-6ff0d397a55f","NCI Thesaurus","Code_277","C67365"
"Biospecimen Type","","e3dc3572-6724-46b3-b7cb-61dfdf3c6def","NCI Thesaurus","Code_278","C70713"
"Aspartate Aminotransferase Measurement","","2608f814-3874-4a73-b87e-750d7b977f9f","NCI Thesaurus","Code_274","C64467"
"Laboratory Test Result","","f2e04357-053d-40ea-ba1a-936bc0ca7fc2","NCI Thesaurus","Code_280","C36292"
"Laboratory Test Fasting Status","","fce16d19-2292-4b43-9440-0eec4d37b602","NCI Thesaurus","Code_281","C83309"
"Unit of Concentration","","585fe5c2-26c6-4707-a2ac-ad6789415070","NCI Thesaurus","Code_282","C48207"
"Biospecimen Type","","67175bfc-59fd-4cd7-b545-c392ea7ae810","NCI Thesaurus","Code_283","C70713"
"Creatinine Measurement","","0fa6ec7f-5d25-4a31-ae91-14f12da139e3","NCI Thesaurus","Code_279","C64547"
"Laboratory Test Result","","c823af78-61c0-49fb-ae53-c0791fd88cd6","NCI Thesaurus","Code_285","C36292"
"Laboratory Test Fasting Status","","27e1c676-7a40-4f39-ac88-8990cd10b585","NCI Thesaurus","Code_286","C83309"
"Molarity Unit","","f291c276-0494-4f3a-9139-dafced5d14bf","NCI Thesaurus","Code_287","C64567"
"Biospecimen Type","","039fa4b4-4f4c-4331-aeff-fbc4a9596ff7","NCI Thesaurus","Code_288","C70713"
"Potassium Measurement","","c6763bc7-98c7-4406-8079-2d0c5c26a7a6","NCI Thesaurus","Code_284","C64853"
"Laboratory Test Result","","12813613-a0e8-44d5-a321-cc6b6d6c8aaf","NCI Thesaurus","Code_290","C36292"
"Laboratory Test Fasting Status","","ae74803d-1aa9-4330-b1a2-3b2ca332ad89","NCI Thesaurus","Code_291","C83309"
"Molarity Unit","","28ed68f8-fe00-4065-bac4-62e593cddd1d","NCI Thesaurus","Code_292","C64567"
"Biospecimen Type","","948dbd28-c98f-4850-9fe6-f02773ca767d","NCI Thesaurus","Code_293","C70713"
"Sodium Measurement","","a33e3a50-d252-4092-a3d1-e4b40eae919e","NCI Thesaurus","Code_289","C64809"
"Adverse Event Verbatim Description","","4225b8c6-eaf4-4295-9830-d5a2ce2b409f","NCI Thesaurus","Code_124","C78541"
"Adverse Event Dictionary Derived Term","","e0afb64c-cd98-4623-a397-024fbb03dbfa","NCI Thesaurus","Code_125","C83344"
"Adverse Event Category","","3e7ad032-ff9e-422a-b8f7-fa97f55f92c0","NCI Thesaurus","Code_126","C83198"
"Adverse Event Subcategory","","c63b16f3-690f-4927-89ea-4168320ae0ed","NCI Thesaurus","Code_127","C83212"
"Adverse Event Pre-specified","","bb506b41-b2fa-4bb7-be24-e4372543ab51","NCI Thesaurus","Code_128","C87840"
"Severity of Adverse Event","","df870098-8984-49f4-a779-cc08aa3c2e82","NCI Thesaurus","Code_129","C53253"
"Adverse Event Toxicity Grade","","d2429017-beca-48b6-bada-6cf531db8c5f","NCI Thesaurus","Code_130","C78605"
"Seriousness of Adverse Event","","4a1e0208-2577-4356-97b3-88b2893ecbe3","NCI Thesaurus","Code_131","C53252"
"Unknown","2023-09-29","3e6cced1-959c-499a-bfc0-eb8c41965e6f","http://www.cdisc.org","Code_132","C17998"
"Adverse Event Action Taken with Study Treatment","","6dadfa3a-8a02-4263-805f-1405c6560c28","NCI Thesaurus","Code_133","C83013"
"Adverse Event Attribution to Product or Procedure","","09db91b1-7f1c-410a-a46c-42dc90797d25","NCI Thesaurus","Code_134","C41358"
"Adverse Event Pattern","","fb9e08e0-1220-43bd-a88d-e4a848a27c32","NCI Thesaurus","Code_135","C83208"
"Unknown","2023-09-29","ab832aa4-5ec8-469e-874a-4ef6934c8c22","http://www.cdisc.org","Code_136","C17998"
"Adverse Event Outcome","","4c821144-ab46-4690-a73a-e925ba4d141a","NCI Thesaurus","Code_137","C49489"
"Adverse Event Start Date Time","","7ae62c4c-47ed-4061-ad23-2c04d325013e","NCI Thesaurus","Code_138","C83215"
"Adverse Event End Date Time","","58356820-9a80-4912-ba50-aa63f6d9631f","NCI Thesaurus","Code_139","C83201"
"Adverse Event","","e83ff3c7-f0d7-4004-8246-391db5c4f252","NCI Thesaurus","Code_123","C41331"
"Vital Signs Result","","e907d117-4174-4691-886e-c8c34ed398f1","NCI Thesaurus","Code_141","C173522"
"Pascal","2023-09-29","931f382d-4998-4a4c-ba03-f6e8690d6398","http://www.cdisc.org","Code_142","C42547"
"Unit of Pressure","","1ffb3755-bbd6-47fc-b4dd-6cf48df04873","NCI Thesaurus","Code_143","C49669"
"Vital Signs Location","","57fb0cf4-2691-4e46-bd86-b7c559b4a975","NCI Thesaurus","Code_144","C83088"
"Vital Signs Laterality","","2a89e37c-a19c-4b61-8d78-fd20b83a1242","NCI Thesaurus","Code_145","C123975"
"Test Method","","dd2aee6a-8132-4595-80bd-6fbd2d197608","NCI Thesaurus","Code_146","C82535"
"Vital Signs Position","","9deb7377-4776-4f8a-8e5f-7a3110969c65","NCI Thesaurus","Code_147","C83114"
"Systolic Blood Pressure","","425e8274-fe5d-4473-a968-ad82bb2702d5","NCI Thesaurus","Code_140","C25298"
"Vital Signs Result","","97df3ab7-f7fe-45bc-ac48-95abd963cae9","NCI Thesaurus","Code_149","C173522"
"Pascal","2023-09-29","b1c0b172-a335-44d2-9066-a4901719ff51","http://www.cdisc.org","Code_150","C42547"
"Unit of Pressure","","61c9368b-94b2-4ad8-8a17-57a59a44ad37","NCI Thesaurus","Code_151","C49669"
"Vital Signs Location","","9784afd5-42be-4262-a367-bb1ac3fe5e0d","NCI Thesaurus","Code_152","C83088"
"Vital Signs Laterality","","8e55c507-83d9-49e3-925f-b426574e1a13","NCI Thesaurus","Code_153","C123975"
"Test Method","","787dbfb3-df81-439f-9428-6e13a6b3e12c","NCI Thesaurus","Code_154","C82535"
"Vital Signs Position","","46d7fd13-502d-4db1-a21d-8be24b5149cf","NCI Thesaurus","Code_155","C83114"
"Diastolic Blood Pressure","","84ec11c4-6138-4a43-ad6d-f36af466dad7","NCI Thesaurus","Code_148","C25299"
"Vital Signs Result","","b5dc12af-940d-4587-b9ce-7b386771075f","NCI Thesaurus","Code_157","C173522"
"Kelvin","2023-09-29","94e5933e-b0cb-425e-bdfd-d214ec20e66f","http://www.cdisc.org","Code_158","C42537"
"Unit of Temperature","","c87be857-1609-47b5-be4f-89e8f98a7fc5","NCI Thesaurus","Code_159","C44276"
"Vital Signs Location","","e007598e-325c-44b8-9f32-8837a91c138e","NCI Thesaurus","Code_160","C83088"
"Body Temperature","","e3e077ce-4614-42e9-a019-80f6d07eee36","NCI Thesaurus","Code_156","C174446"
"Vital Signs Result","","e614bb51-bbca-4dd7-8604-d0a8b4ddb442","NCI Thesaurus","Code_162","C173522"
"Kilogram","2023-09-29","904bc51b-c352-431e-b847-f6c4e7b40db9","http://www.cdisc.org","Code_163","C28252"
"Gram","2023-09-29","99b5922b-dc4a-4363-a892-66ae1d5c7e17","http://www.cdisc.org","Code_164","C48155"
"Pound","2023-09-29","29415bf2-c142-4959-a73f-ba71552f7518","http://www.cdisc.org","Code_165","C48531"
"Unit of Weight","","488368d7-6945-4377-8a70-2c44be125801","NCI Thesaurus","Code_166","C48208"
"Body Weight","","118d72ca-a561-4642-9b36-99a8aa49b492","NCI Thesaurus","Code_161","C81328"
"Vital Signs Result","","96243a18-b83d-46f5-a87a-b10498c2fa22","NCI Thesaurus","Code_168","C173522"
"Centimeter","2023-09-29","6c343f7e-fb48-4c59-a2b1-686a10e574ba","http://www.cdisc.org","Code_169","C49668"
"Inch","2023-09-29","44c850f9-8e49-4924-8193-07ffde8a8364","http://www.cdisc.org","Code_170","C48500"
"Millimeter","2023-09-29","f0d86e55-958d-4982-a221-06142f294c4a","http://www.cdisc.org","Code_171","C28251"
"Meter","2023-09-29","affd7043-0fa6-4767-b64b-75dbdc993eab","http://www.cdisc.org","Code_172","C41139"
"Unit of Height","","3a4c83ee-a606-4a0d-8926-6e88f79714b5","NCI Thesaurus","Code_173","C168688"
"Body Height","","17e012f5-d38e-4d9c-a71d-4fc83c033d81","NCI Thesaurus","Code_167","C164634"
"Laboratory Test Result","","b811cd87-b25b-437d-8b95-ce72aa252efd","NCI Thesaurus","Code_175","C36292"
"Laboratory Test Fasting Status","","4a1f2934-98e2-4791-84e4-1229c9ad4e1b","NCI Thesaurus","Code_176","C83309"
"Unit of Catalytic Activity Concentration","","accccf59-364b-4f0a-bdfd-176385e4d1be","NCI Thesaurus","Code_177","C67365"
"Biospecimen Type","","4222f2d4-3456-4be7-874d-d5105565c724","NCI Thesaurus","Code_178","C70713"
"Alanine Aminotransferase Measurement","","e983e839-7336-4ba4-8db8-0a811c762b73","NCI Thesaurus","Code_174","C64433"
"Laboratory Test Result","","4ef63fab-d3b6-4f83-a675-c27a38530af8","NCI Thesaurus","Code_180","C36292"
"Laboratory Test Fasting Status","","094c2cef-d998-400e-9b3d-2139c263e398","NCI Thesaurus","Code_181","C83309"
"Unit of Concentration","","b0ae6f90-9a87-41ad-b9be-97a7f1e1596e","NCI Thesaurus","Code_182","C48207"
"Biospecimen Type","","bea03e52-964e-4ac6-82c5-032ec7ac8fc4","NCI Thesaurus","Code_183","C70713"
"Albumin Measurement","","d1bd600f-4cf8-429d-87e7-c700430b5ca9","NCI Thesaurus","Code_179","C64431"
"Laboratory Test Result","","ea933a5d-0a72-45b7-b02b-5bb880888b0a","NCI Thesaurus","Code_185","C36292"
"Laboratory Test Fasting Status","","4a607385-cce9-4667-8bda-f6c3057e2832","NCI Thesaurus","Code_186","C83309"
"Unit of Catalytic Activity Concentration","","4b7344ec-6015-4b85-925a-ffa9fa995a57","NCI Thesaurus","Code_187","C67365"
"Biospecimen Type","","d1c33bca-a5f9-4874-b7c7-7096b38890f6","NCI Thesaurus","Code_188","C70713"
"Alkaline Phosphatase Measurement","","8eb74f98-09c9-4b81-9436-1bfcfe3bd83e","NCI Thesaurus","Code_184","C64432"
"Laboratory Test Result","","12d2b5c1-f655-474f-bfe6-e767eec1953b","NCI Thesaurus","Code_190","C36292"
"Laboratory Test Fasting Status","","351c339e-637e-4272-958b-22af08a46c9c","NCI Thesaurus","Code_191","C83309"
"Unit of Catalytic Activity Concentration","","2b7b79dc-f314-4f4f-b44b-956da9bcd329","NCI Thesaurus","Code_192","C67365"
"Biospecimen Type","","1caa537a-a60c-4b19-ba38-4befb6215de0","NCI Thesaurus","Code_193","C70713"
"Aspartate Aminotransferase Measurement","","97d02cce-89ac-49a6-a396-e58815b44d9a","NCI Thesaurus","Code_189","C64467"
"Laboratory Test Result","","c68f4ce1-12a8-4e29-92c2-c72b89fb8c69","NCI Thesaurus","Code_195","C36292"
"Laboratory Test Fasting Status","","8ac2cd79-2fb9-468b-b3f3-8ed1af5cfa38","NCI Thesaurus","Code_196","C83309"
"Unit of Concentration","","88c70a5c-3f2b-4362-b818-340b42a4e913","NCI Thesaurus","Code_197","C48207"
"Biospecimen Type","","50f0f46f-6126-4522-9ec7-cce531aabab6","NCI Thesaurus","Code_198","C70713"
"Creatinine Measurement","","5900f7ca-43cc-4d0a-a165-06f95a5e3025","NCI Thesaurus","Code_194","C64547"
"Laboratory Test Result","","94612a6d-733d-46a3-9162-b697719798c5","NCI Thesaurus","Code_200","C36292"
"Laboratory Test Fasting Status","","d0203e49-2e7e-4e8f-9d65-392bce414819","NCI Thesaurus","Code_201","C83309"
"Molarity Unit","","14302fce-e716-4e8b-b6d1-075f8636e991","NCI Thesaurus","Code_202","C64567"
"Biospecimen Type","","302fb808-21f3-4010-8095-4b3d15817a98","NCI Thesaurus","Code_203","C70713"
"Potassium Measurement","","acba7303-e5ed-4dd8-9293-3aa5266e17bd","NCI Thesaurus","Code_199","C64853"
"Laboratory Test Result","","2b0d9a90-9c68-4c08-99fa-8154bfdb874e","NCI Thesaurus","Code_205","C36292"
"Laboratory Test Fasting Status","","d9fa521d-e0cc-46ef-9c75-86b0310bfea9","NCI Thesaurus","Code_206","C83309"
"Molarity Unit","","c1d0bfea-bf82-4ee3-9be4-df820bf3852a","NCI Thesaurus","Code_207","C64567"
"Biospecimen Type","","14073b60-6fdc-4351-bb26-467361f70faa","NCI Thesaurus","Code_208","C70713"
"Sodium Measurement","","0a120a47-af8d-44b6-a296-519f87d29278","NCI Thesaurus","Code_204","C64809"
"Vital Signs Result","","1fad8901-e250-483b-b656-948714412974","NCI Thesaurus","Code_210","C173522"
"Pascal","2023-09-29","28fe144b-ffd3-469e-9e5a-a74f9a74c52c","http://www.cdisc.org","Code_211","C42547"
"Unit of Pressure","","1d09ffdb-1605-48b3-b842-e999f05f69f7","NCI Thesaurus","Code_212","C49669"
"Vital Signs Location","","0470fe8f-f6b6-4b76-a4eb-a19ef2367283","NCI Thesaurus","Code_213","C83088"
"Vital Signs Laterality","","8cf104c5-d7a0-43ea-971e-66a14f262cb2","NCI Thesaurus","Code_214","C123975"
"Test Method","","f70b7b3b-4125-4cda-bad3-b4a5fc03081f","NCI Thesaurus","Code_215","C82535"
"Vital Signs Position","","042e0b73-3759-42e8-983a-2a331cd9f27e","NCI Thesaurus","Code_216","C83114"
"Systolic Blood Pressure","","ac47ba46-5de5-4082-9a0d-58a2e4201d7b","NCI Thesaurus","Code_209","C25298"
"Vital Signs Result","","5285e2b4-a282-4e85-81c7-308047265aee","NCI Thesaurus","Code_218","C173522"
"Pascal","2023-09-29","03bfd893-0c15-45cf-9763-85db477e44ba","http://www.cdisc.org","Code_219","C42547"
"Unit of Pressure","","5b8be65e-21da-460c-988d-daa009e6c063","NCI Thesaurus","Code_220","C49669"
"Vital Signs Location","","6b016d10-df05-4fe3-b34b-11262aab11c9","NCI Thesaurus","Code_221","C83088"
"Vital Signs Laterality","","d6614281-b77b-4fb1-868e-f1460fe471cf","NCI Thesaurus","Code_222","C123975"
"Test Method","","f6252261-8f2c-485e-b4d6-7ffefdbc2fcb","NCI Thesaurus","Code_223","C82535"
"Vital Signs Position","","6c5d1dee-b1f3-475b-92d2-32871081e7cd","NCI Thesaurus","Code_224","C83114"
"Diastolic Blood Pressure","","5b931f14-b868-4d2d-9c07-10d06871a591","NCI Thesaurus","Code_217","C25299"
"Vital Signs Result","","0804eeee-4f54-4626-93f5-418966ee17cc","NCI Thesaurus","Code_226","C173522"
"Pascal","2023-09-29","c823ccf9-1f67-4531-ad7d-39cf8b1b0c26","http://www.cdisc.org","Code_227","C42547"
"Unit of Pressure","","13b8a2af-b579-4de2-9dd7-5228fbcaa73a","NCI Thesaurus","Code_228","C49669"
"Vital Signs Location","","9af7128d-f6c2-4e61-9a68-d8534cb8d95d","NCI Thesaurus","Code_229","C83088"
"Vital Signs Laterality","","c9d3bdfd-c2e2-4dcd-a966-3acb47745590","NCI Thesaurus","Code_230","C123975"
"Test Method","","54e6179b-ab52-43a2-aec0-ca1ff5972724","NCI Thesaurus","Code_231","C82535"
"Vital Signs Position","","e24f1d33-f7fa-44e1-aafb-8ce791994c63","NCI Thesaurus","Code_232","C83114"
"Systolic Blood Pressure","","691246eb-e556-4668-b9a7-012b265394b7","NCI Thesaurus","Code_225","C25298"
"Vital Signs Result","","e8512e5e-a33a-45a2-a43a-a523b27ba3d0","NCI Thesaurus","Code_234","C173522"
"Pascal","2023-09-29","740fb620-a8e0-4f9e-8e1e-371297268e0e","http://www.cdisc.org","Code_235","C42547"
"Unit of Pressure","","5d9597a0-fa40-4e6a-a52a-569cdcb0043b","NCI Thesaurus","Code_236","C49669"
"Vital Signs Location","","d5dabb57-523f-46bd-9fc8-040b947d8970","NCI Thesaurus","Code_237","C83088"
"Vital Signs Laterality","","0126fc96-9f3d-459c-987e-6609a87297d7","NCI Thesaurus","Code_238","C123975"
"Test Method","","16f62c4e-8f39-4816-a6e9-fc15ef2e145e","NCI Thesaurus","Code_239","C82535"
