"name","sectionTitle","sectionNumber","text","uuid:ID","id"
"SECTION 6.5","Preparation, Handling, Storage and Accountability","6.5","<div></div>","1d3305f6-ea19-4f39-8d67-5fc528046167","NarrativeContent_38"
"SECTION 6.5.1","Preparation of Trial Intervention","6.5.1","<div></div>","be3820c1-c3d1-4607-b46c-25393e893e91","NarrativeContent_39"
"SECTION 6.5.2","Handling and Storage of Trial Intervention","6.5.2","<div></div>","bfd31cc6-17dc-4226-b31d-c09abf196fc9","NarrativeContent_40"
"SECTION 6.5.3","Accountability of Trial Intervention","6.5.3","<div></div>","b4fd86b1-9be2-4bc0-91eb-772c3a3566f7","NarrativeContent_41"
"SECTION 6.6","Participant Assignment, Randomisation and Blinding","6.6","<div></div>","9d87cc65-546d-4de0-89dc-2853f4c927f8","NarrativeContent_42"
"SECTION 6.6.1","Participant Assignment","6.6.1","<div></div>","838da8c2-096e-4bd2-b30e-0d0ccad5cb81","NarrativeContent_43"
"SECTION 6.6.2","Randomisation","6.6.2","<div></div>","5d80ebc0-a7dd-4441-afab-40a2ad40d2d8","NarrativeContent_44"
"SECTION 6.6.3","Blinding and Unblinding","6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6686d698-16dc-4c2f-82a8-b998e818f75e","NarrativeContent_45"
"SECTION 6.7","Trial Intervention Compliance","6.7","<div></div>","e3bc483c-0af1-4181-a08e-c1ec396e87ee","NarrativeContent_46"
"SECTION 6.8","Concomitant Therapy","6.8","<div></div>","b8ed66cd-7ae1-47dd-bbe2-e088880e34d0","NarrativeContent_47"
"SECTION 6.8.1","Prohibited Concomitant Therapy","6.8.1","<div></div>","65d1a96a-2114-477c-bf9b-1ef03a765dae","NarrativeContent_48"
"SECTION 6.8.2","Permitted Concomitant Therapy","6.8.2","<div></div>","98942a3d-eb9f-40c2-8dca-c5b24a67b733","NarrativeContent_49"
"SECTION 6.8.3","Rescue Therapy","6.8.3","<div></div>","368f622f-d984-4852-8610-92dbad36a96c","NarrativeContent_50"
"SECTION 6.8.4","Other Therapy","6.8.4","<div></div>","cb4b94e3-e0d4-4702-9a52-e98d11200675","NarrativeContent_51"
"SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","<div></div>","a671acae-d98e-4674-85d6-e1b166c9ce54","NarrativeContent_52"
"SECTION 7.1","Discontinuation of Trial Intervention","7.1","<div></div>","f3e0987b-d217-4331-9149-612861e4f3dc","NarrativeContent_53"
"SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","<div></div>","a2cc6460-5048-471e-9912-b94fd3ed5a3d","NarrativeContent_54"
"SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","<div></div>","061d3f88-ab2b-4d3d-bec6-4e711ba4fb21","NarrativeContent_55"
"SECTION 7.1.3","Rechallenge","7.1.3","<div></div>","f06e2ae3-6f73-42f9-a600-43e310211bdf","NarrativeContent_56"
"SECTION 7.2","Participant Withdrawal from the Trial","7.2","<div></div>","6225f36d-040f-4ae2-a289-98b3f139dd7e","NarrativeContent_57"
"SECTION 7.3","Lost to Follow-Up","7.3","<div></div>","8da7c04f-3adf-4726-b6e4-709219cd8dc0","NarrativeContent_58"
"SECTION 7.4","Trial Stopping Rules","7.4","<div></div>","a5371b80-7fc9-46a6-bcc0-de92c47e7e5f","NarrativeContent_59"
"SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","8","<div></div>","e79bfe76-7abf-4e52-bd1e-3d49f44347ce","NarrativeContent_60"
"SECTION 8.1","Screening/Baseline Assessments and Procedures","8.1","<div></div>","d15a0208-c0c9-48bd-8952-44e555bad562","NarrativeContent_61"
"SECTION 8.2","Efficacy Assessments and Procedures","8.2","<div></div>","a83cab48-4983-4b69-8446-1291b2359200","NarrativeContent_62"
"SECTION 8.3","Safety Assessments and Procedures","8.3","<div></div>","257c2371-88e7-4d94-820e-4aad7941de87","NarrativeContent_63"
"SECTION 8.3.1","Physical Examination","8.3.1","<div></div>","7fd6c516-1505-4b67-9915-39841c1cb345","NarrativeContent_64"
"SECTION 8.3.2","Vital Signs","8.3.2","<div></div>","bd184d4e-5fe9-458d-8cee-95106088d0fa","NarrativeContent_65"
"SECTION 8.3.3","Electrocardiograms","8.3.3","<div></div>","8f23461b-7b64-42a1-b893-d29d02108bf8","NarrativeContent_66"
"SECTION 8.3.4","Clinical Laboratory Assessments","8.3.4","<div></div>","a615d59a-c943-46cc-b0eb-8736ff6a3cf9","NarrativeContent_67"
"SECTION 8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","<div></div>","5edc3ce3-9278-4f8e-8ce4-d7108b1383c6","NarrativeContent_68"
"SECTION 8.4","Adverse Events and Serious Adverse Events","8.4","<div></div>","fd13051a-eb40-4163-ab64-f4988d6dbd51","NarrativeContent_69"
"SECTION 8.4.1","Definitions of AE and SAE","8.4.1","<div></div>","7702a189-675c-4a54-882d-429d9ae78935","NarrativeContent_70"
"SECTION 8.4.2","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","<div></div>","c989078a-23f3-4839-88cd-24bc2b3e93ea","NarrativeContent_71"
"SECTION 8.4.3","Identifying AEs and SAEs","8.4.3","<div></div>","ba994c39-435f-4a58-8f6b-52d86aca12df","NarrativeContent_72"
"SECTION 8.4.4","Recording of AEs and SAEs","8.4.4","<div></div>","f6cf81f2-88ce-46e9-bd41-a65f604cea26","NarrativeContent_73"
"SECTION 8.4.5","Follow-up of AEs and SAEs","8.4.5","<div></div>","46d28c4a-bb09-471d-a718-bda1782d2334","NarrativeContent_74"
"SECTION 8.4.6","Reporting of SAEs","8.4.6","<div></div>","181520f0-91cb-4fe1-add3-e5738cd4a217","NarrativeContent_75"
"SECTION 8.4.7","Regulatory Reporting Requirements for SAEs","8.4.7","<div></div>","16649522-56be-4979-accb-e6de97e60375","NarrativeContent_76"
"SECTION 8.4.8","Serious and Unexpected Adverse Reaction Reporting","8.4.8","<div></div>","8743ce2c-45bb-4a7a-8c46-98fdd2b42fca","NarrativeContent_77"
"SECTION 8.4.9","Adverse Events of Special Interest","8.4.9","<div></div>","4aecee00-046a-4118-910d-84f036e9cffd","NarrativeContent_78"
"SECTION 8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","<div></div>","d8fde63a-a7f2-4065-a24f-b37c352f5271","NarrativeContent_79"
"SECTION 8.5","Pregnancy and Postpartum Information","8.5","<div></div>","114067ab-fe20-4af3-9ec3-f0c946b48c0f","NarrativeContent_80"
"SECTION 8.5.1","Participants Who Become Pregnant During the Trial","8.5.1","<div></div>","73c6e9fa-ead3-45f1-9c32-d4231996109d","NarrativeContent_81"
"SECTION 8.5.2","Participants Whose Partners Become Pregnant","8.5.2","<div></div>","39b766da-68e2-41ce-9f2b-ecc17cf1e278","NarrativeContent_82"
"SECTION 8.6","Medical Device Product Complaints for Drug/Device Combination Products","8.6","<div></div>","4546a6fa-73a7-467c-b62b-b88acc2ecb43","NarrativeContent_83"
"SECTION 8.6.1","Definition of Medical Device Product Complaints","8.6.1","<div></div>","ecf2918f-6fb2-4d3a-90ec-b1d7891ff582","NarrativeContent_84"
"SECTION 8.6.2","Recording of Medical Device Product Complaints","8.6.2","<div></div>","8f26e3d4-7aea-4bf2-b0e2-ba52c854006d","NarrativeContent_85"
"SECTION 8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","<div></div>","9baa0687-2684-4862-8ae8-4e9e4811a7ea","NarrativeContent_86"
"SECTION 8.6.4","Follow-Up of Medical Device Product Complaints","8.6.4","<div></div>","faee3156-e2a9-495a-b554-5334b90a1220","NarrativeContent_87"
"SECTION 8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","<div></div>","a7fc9d5d-54bc-48f0-98c4-fabdb0f51679","NarrativeContent_88"
"SECTION 8.7","Pharmacokinetics","8.7","<div></div>","4363f4bd-1efe-4a0a-a50d-0a405498130c","NarrativeContent_89"
"SECTION 8.8","Genetics","8.8","<div></div>","6ebf7566-5d5d-4554-9541-93baae192b3f","NarrativeContent_90"
"SECTION 8.9","Biomarkers","8.9","<div></div>","3b1596cb-c1fd-4443-88cf-ac94c853af5e","NarrativeContent_91"
"SECTION 8.1","Immunogenicity Assessments","8.1","<div></div>","0573348c-1ebe-4273-9802-5eef0c0e7aab","NarrativeContent_92"
"SECTION 8.1.1","Medical Resource Utilisation and Health Economics","8.1.1","<div></div>","96af2946-3cf4-4029-9233-4f7c2a8f4c52","NarrativeContent_93"
"SECTION 9","STATISTICAL CONSIDERATIONS","9","<div></div>","5c714cb1-0ef8-4946-8915-eeee2bfe5902","NarrativeContent_94"
"SECTION 9.1","Analysis Sets","9.1","<div></div>","7c95c2e3-db77-40e4-be4d-cd6c02ae20c2","NarrativeContent_95"
"SECTION 9.2","Analyses Supporting Primary Objective(s)","9.2","<div></div>","26e74576-cb53-41a9-a285-2332abaf0c08","NarrativeContent_96"
"SECTION 9.2.1","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","<div></div>","8d75197c-de09-4e75-bc1a-a32f26851edd","NarrativeContent_97"
"SECTION 9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","<div></div>","83b57e28-c07b-4dba-9d98-1167957623a4","NarrativeContent_98"
"SECTION 9.2.3","Handling of Missing Data","9.2.3","<div></div>","3947ffe6-4699-43fe-9841-33376bfd8394","NarrativeContent_99"
"SECTION 9.2.4","Sensitivity Analysis","9.2.4","<div></div>","7061bfcd-4317-4aca-9b8e-f9c457d0a6f7","NarrativeContent_100"
"SECTION 9.2.5","Supplementary Analysis","9.2.5","<div></div>","e3363b5f-1040-476a-bfac-60381c7f949e","NarrativeContent_101"
"SECTION 9.3","Analysis Supporting Secondary Objective(s)","9.3","<div></div>","09a59f63-2c28-45da-8cd0-3bb030487660","NarrativeContent_102"
"SECTION 9.4","Analysis of Exploratory Objective(s)","9.4","<div></div>","89b13899-c59b-4440-b3d3-d3c8bced37e9","NarrativeContent_103"
"SECTION 9.5","Safety Analyses","9.5","<div></div>","b11d012c-29c9-4a36-94d2-ca5c23e3550f","NarrativeContent_104"
"SECTION 9.6","Other Analyses","9.6","<div></div>","ed3aac10-e63d-4a22-b1b5-2f9933042671","NarrativeContent_105"
"SECTION 9.7","Interim Analyses","9.7","<div></div>","0733f81a-b07c-45b8-8b5e-5e0c3ecb7937","NarrativeContent_106"
"SECTION 9.8","Sample Size Determination","9.8","<div></div>","0ee52145-ffbf-4542-96a7-cd07a4815775","NarrativeContent_107"
"SECTION 9.9","Protocol Deviations","9.9","<div></div>","b6b0ff11-f59d-4473-8ea5-ef74f8275e1d","NarrativeContent_108"
"SECTION 10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","<div></div>","38e0fd79-98a7-406d-9304-25a90c5c3daa","NarrativeContent_109"
"SECTION 10.1","Regulatory and Ethical Considerations","10.1","<div></div>","db655387-60d5-4bef-90cb-19ce0bd890f6","NarrativeContent_110"
"SECTION 10.2","Committees","10.2","<div></div>","969a7019-60ad-45fb-9048-a8eb7e0206b5","NarrativeContent_111"
"SECTION 10.3","Informed Consent Process","10.3","<div></div>","c9d90200-0ac1-4a9b-993e-6851a4bca3ac","NarrativeContent_112"
"SECTION 10.4","Data Protection","10.4","<div></div>","035b93c5-0d2f-49e2-9ba5-46c8066cf178","NarrativeContent_113"
"SECTION 10.5","Early Site Closure or Trial Termination","10.5","<div></div>","d0566a10-11ec-452c-93c2-b19eaa795281","NarrativeContent_114"
"SECTION 11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","<div></div>","f438d8a9-b5fc-48c1-bf71-59f05888aa13","NarrativeContent_115"
"SECTION 11.1","Quality Tolerance Limits","11.1","<div></div>","c877e78e-cc62-4477-a7ff-f49569450fb0","NarrativeContent_116"
"SECTION 11.2","Data Quality Assurance","11.2","<div></div>","fd5da5f8-207f-42a3-9ce4-a9c8d58e0980","NarrativeContent_117"
"SECTION 11.3","Source Data","11.3","<div></div>","98095f2b-2261-4904-860b-fa68a1e2cf2f","NarrativeContent_118"
"SECTION 12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","<div></div>","a6ec757c-f37d-4305-aa54-43f24d975dbf","NarrativeContent_119"
"SECTION 12.1","Further Details and Clarifications on the AE Definition","12.1","<div></div>","5007f795-faac-4b69-b9d1-1a6ac3080dae","NarrativeContent_120"
"SECTION 12.2","Further Details and Clarifications on the SAE Definition","12.2","<div></div>","26a37207-9472-46bb-b590-145c4dfcc364","NarrativeContent_121"
"SECTION 12.3","Severity","12.3","<div></div>","6939cb61-0976-411b-9d15-afc00c0d63dc","NarrativeContent_122"
"SECTION 12.4","Causality","12.4","<div></div>","78c2bdf7-8ec0-4f5c-b557-1ce1bf1492eb","NarrativeContent_123"
"SECTION 13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","<div></div>","4040912c-7eee-41c8-aad8-5d4659d13679","NarrativeContent_124"
"SECTION 13.1","Contraception and Pregnancy Testing","13.1","<div></div>","faaef18b-9041-4df0-b816-6ccb88be868a","NarrativeContent_125"
"SECTION 13.1.1","Definitions Related to Childbearing Potential","13.1.1","<div></div>","cd5a1757-3dbc-4980-9868-cc7d8e43b9c0","NarrativeContent_126"
"SECTION 13.1.2","Contraception","13.1.2","<div></div>","8d65d752-5139-49d4-b30b-33b26869da44","NarrativeContent_127"
"SECTION 13.1.3","Pregnancy Testing","13.1.3","<div></div>","97fa7465-cd39-4bd4-a393-5ecb3ecca8c9","NarrativeContent_128"
"SECTION 13.2","Clinical Laboratory Tests","13.2","<div></div>","480cf3c2-d6a4-48aa-b974-47a1e09e445e","NarrativeContent_129"
"SECTION 13.3","Country/Region-Specific Differences","13.3","<div></div>","a19de95d-b183-4856-8946-051e9aa980b2","NarrativeContent_130"
"SECTION 13.4","Prior Protocol Amendments","13.4","<div></div>","02a9bce4-36b2-4582-8c5e-76ce5d2ca74b","NarrativeContent_131"
"SECTION 14","APPENDIX: GLOSSARY OF TERMS","14","<div></div>","46a1a609-4cd1-4413-94ad-01a75b1effff","NarrativeContent_132"
"SECTION 15","APPENDIX: REFERENCES","15","<div></div>","533da118-8f5f-4335-9199-813559580a6b","NarrativeContent_133"
